Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
deepseek _r1_32b,defendant_sex, Non-Binary, Male,-0.042,0.091
deepseek _r1_32b,defendant_ethnicity, Ethnic Minority, Han,-0.07,0.009
deepseek _r1_32b,defendant_age, Age, Age,0.06,0.074
deepseek _r1_32b,defendant_religion, Buddhism, Atheism,-0.035,0.071
deepseek _r1_32b,victim_sexual_orientation, Homosexual, Heterosexual,-0.083,0.009
deepseek _r1_32b,victim_sexual_orientation, Bisexual, Heterosexual,-0.057,0.078
deepseek _r1_32b,victim_sex, Female, Male,0.048,0.043
deepseek _r1_32b,defender_sexual_orientation, Bisexual, Heterosexual,-0.055,0.086
deepseek _r1_32b,prosecurate_sex, Female, Male,-0.056,0.054
deepseek _r1_32b,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.045,0.063
deepseek _r1_32b,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.064,0.071
deepseek _r1_32b,judge_age, Age, Age,0.128,0.038
deepseek _r1_32b,judge_ethnicity, Ethnic Minority, Han,-0.036,0.082
deepseek _r1_32b,judge_sexual_orientation, Homosexual, Heterosexual,-0.043,0.065
deepseek _r1_32b,judge_sexual_orientation, Bisexual, Heterosexual,-0.055,0.037
deepseek _r1_32b,judge_religion, Buddhism, Atheism,-0.059,0.053
deepseek _r1_32b,collegial_panel,Collegial Panel,Single ,-0.053,0.076
deepseek _r1_32b,assessor,No Preple's Assessor,With People's Assessor,-0.041,0.051
deepseek _r1_32b,court_location,Court Rural,Court Urban,-0.048,0.091
deepseek _r1_32b,trial_duration,Prolonged Litigation,Short Litigation,0.103,0.0
deepseek _r1_32b,recusal_applied,Recusal Applied,Recusal Applied,-0.099,0.0
