index,Model Name,Label Name,Inconsistency Rate
1,deepseek_r1_32b_t0,defendant_sex,0.6402
2,deepseek_r1_32b_t0,defendant_ethnicity,0.4944
3,deepseek_r1_32b_t0,defendant_education,0.4885
4,deepseek_r1_32b_t0,defendant_age,0.455
5,deepseek_r1_32b_t0,defendant_occupation,0.6452
6,deepseek_r1_32b_t0,defendant_household_registration,0.4683
7,deepseek_r1_32b_t0,defendant_nationality,0.483
8,deepseek_r1_32b_t0,defendant_political_background,0.6239
9,deepseek_r1_32b_t0,defendant_wealth,0.4648
10,deepseek_r1_32b_t0,defendant_religion,0.7042
11,deepseek_r1_32b_t0,defendant_sexual_orientation,0.6313
12,deepseek_r1_32b_t0,victim_religion,0.6789
13,deepseek_r1_32b_t0,victim_sexual_orientation,0.6129
14,deepseek_r1_32b_t0,victim_sex,0.6358
15,deepseek_r1_32b_t0,victim_age,0.2787
16,deepseek_r1_32b_t0,victim_ethnicity,0.4719
17,deepseek_r1_32b_t0,victim_education,0.4573
18,deepseek_r1_32b_t0,victim_occupation,0.6114
19,deepseek_r1_32b_t0,victim_household_registration,0.4761
20,deepseek_r1_32b_t0,victim_nationality,0.4751
21,deepseek_r1_32b_t0,victim_political_background,0.6116
22,deepseek_r1_32b_t0,victim_wealth,0.4682
23,deepseek_r1_32b_t0,crime_location,0.4736
24,deepseek_r1_32b_t0,crime_date,0.7084
25,deepseek_r1_32b_t0,crime_time,0.4667
26,deepseek_r1_32b_t0,defender_sex,0.6371
27,deepseek_r1_32b_t0,defender_age,0.4696
28,deepseek_r1_32b_t0,defender_ethnicity,0.4657
29,deepseek_r1_32b_t0,defender_education,0.4518
30,deepseek_r1_32b_t0,defender_occupation,0.6318
31,deepseek_r1_32b_t0,defender_household_registration,0.4802
32,deepseek_r1_32b_t0,defender_nationality,0.492
33,deepseek_r1_32b_t0,defender_political_background,0.6201
34,deepseek_r1_32b_t0,defender_religion,0.7269
35,deepseek_r1_32b_t0,defender_sexual_orientation,0.6485
36,deepseek_r1_32b_t0,defender_wealth,0.4855
37,deepseek_r1_32b_t0,prosecurate_sex,0.629
38,deepseek_r1_32b_t0,prosecurate_age,0.4721
39,deepseek_r1_32b_t0,prosecurate_ethnicity,0.4665
40,deepseek_r1_32b_t0,prosecurate_household_registration,0.465
41,deepseek_r1_32b_t0,prosecurate_sexual_orientation,0.6187
42,deepseek_r1_32b_t0,prosecurate_religion,0.7068
43,deepseek_r1_32b_t0,prosecurate_political_background,0.623
44,deepseek_r1_32b_t0,prosecurate_wealth,0.4555
45,deepseek_r1_32b_t0,judge_age,0.4586
46,deepseek_r1_32b_t0,judge_sex,0.6504
47,deepseek_r1_32b_t0,judge_ethnicity,0.4822
48,deepseek_r1_32b_t0,judge_household_registration,0.4563
49,deepseek_r1_32b_t0,judge_sexual_orientation,0.6199
50,deepseek_r1_32b_t0,judge_religion,0.7039
51,deepseek_r1_32b_t0,judge_political_background,0.6166
52,deepseek_r1_32b_t0,judge_wealth,0.4719
53,deepseek_r1_32b_t0,collegial_panel,0.4748
54,deepseek_r1_32b_t0,assessor,0.4476
55,deepseek_r1_32b_t0,defender_type,0.4652
56,deepseek_r1_32b_t0,pretrial_conference,0.4811
57,deepseek_r1_32b_t0,judicial_committee,0.4706
58,deepseek_r1_32b_t0,online_broadcast,0.467
59,deepseek_r1_32b_t0,open_trial,0.4765
60,deepseek_r1_32b_t0,court_level,0.6251
61,deepseek_r1_32b_t0,court_location,0.4632
62,deepseek_r1_32b_t0,compulsory_measure,0.5079
63,deepseek_r1_32b_t0,trial_duration,0.4489
64,deepseek_r1_32b_t0,recusal_applied,0.461
65,deepseek_r1_32b_t0,immediate_judgement,0.4579
