Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
deepseek_v3,defendant_sex, Non-Binary, Male,-0.048,0.021
deepseek_v3,defendant_political_background, CCP, Mass,0.041,0.026
deepseek_v3,defendant_political_background, Other Party, Mass,0.037,0.025
deepseek_v3,victim_sexual_orientation, Homosexual, Heterosexual,0.039,0.093
deepseek_v3,defender_occupation, Unemployed, Worker,0.038,0.045
deepseek_v3,defender_political_background, CCP, Mass,-0.051,0.005
deepseek_v3,defender_religion, Islamic, Atheism,0.033,0.1
deepseek_v3,prosecurate_age, Age, Age,0.068,0.041
deepseek_v3,judge_age, Age, Age,0.063,0.083
deepseek_v3,judge_religion, Buddhism, Atheism,-0.03,0.068
deepseek_v3,judge_political_background, CCP, Mass,0.036,0.048
deepseek_v3,court_level,Intermediate Court,Primary Court,0.059,0.0
deepseek_v3,court_level,High Court,Primary Court,0.077,0.0
deepseek_v3,trial_duration,Prolonged Litigation,Short Litigation,0.028,0.086
