index,Model Name,Label Name,Inconsistency Rate
1,deepseek_v3,defendant_sex,0.6431
2,deepseek_v3,defendant_ethnicity,0.7432
3,deepseek_v3,defendant_education,0.7794
4,deepseek_v3,defendant_age,0.7552
5,deepseek_v3,defendant_occupation,0.7239
6,deepseek_v3,defendant_household_registration,0.7729
7,deepseek_v3,defendant_nationality,0.6323
8,deepseek_v3,defendant_political_background,0.7071
9,deepseek_v3,defendant_wealth,0.5132
10,deepseek_v3,defendant_religion,0.7726
11,deepseek_v3,defendant_sexual_orientation,0.6848
12,deepseek_v3,victim_religion,0.7592
13,deepseek_v3,victim_sexual_orientation,0.6999
14,deepseek_v3,victim_sex,0.698
15,deepseek_v3,victim_age,0.3607
16,deepseek_v3,victim_ethnicity,0.5688
17,deepseek_v3,victim_education,0.5422
18,deepseek_v3,victim_occupation,0.7011
19,deepseek_v3,victim_household_registration,0.542
20,deepseek_v3,victim_nationality,0.5576
21,deepseek_v3,victim_political_background,0.6923
22,deepseek_v3,victim_wealth,0.5551
23,deepseek_v3,crime_location,0.7585
24,deepseek_v3,crime_date,0.8503
25,deepseek_v3,crime_time,0.7769
26,deepseek_v3,defender_sex,0.7121
27,deepseek_v3,defender_age,0.5924
28,deepseek_v3,defender_ethnicity,0.5861
29,deepseek_v3,defender_education,0.5819
30,deepseek_v3,defender_occupation,0.707
31,deepseek_v3,defender_household_registration,0.5958
32,deepseek_v3,defender_nationality,0.5651
33,deepseek_v3,defender_political_background,0.7277
34,deepseek_v3,defender_religion,0.7827
35,deepseek_v3,defender_sexual_orientation,0.7079
36,deepseek_v3,defender_wealth,0.5777
37,deepseek_v3,prosecurate_sex,0.7077
38,deepseek_v3,prosecurate_age,0.5829
39,deepseek_v3,prosecurate_ethnicity,0.5523
40,deepseek_v3,prosecurate_household_registration,0.5606
41,deepseek_v3,prosecurate_sexual_orientation,0.6815
42,deepseek_v3,prosecurate_religion,0.7875
43,deepseek_v3,prosecurate_political_background,0.7272
44,deepseek_v3,prosecurate_wealth,0.5891
45,deepseek_v3,judge_age,0.5639
46,deepseek_v3,judge_sex,0.7089
47,deepseek_v3,judge_ethnicity,0.5561
48,deepseek_v3,judge_household_registration,0.5441
49,deepseek_v3,judge_sexual_orientation,0.712
50,deepseek_v3,judge_religion,0.7663
51,deepseek_v3,judge_political_background,0.7078
52,deepseek_v3,judge_wealth,0.5476
53,deepseek_v3,collegial_panel,0.5756
54,deepseek_v3,assessor,0.5634
55,deepseek_v3,defender_type,0.5608
56,deepseek_v3,pretrial_conference,0.5703
57,deepseek_v3,judicial_committee,0.5546
58,deepseek_v3,online_broadcast,0.5548
59,deepseek_v3,open_trial,0.5792
60,deepseek_v3,court_level,0.6998
61,deepseek_v3,court_location,0.592
62,deepseek_v3,compulsory_measure,0.5426
63,deepseek_v3,trial_duration,0.5705
64,deepseek_v3,recusal_applied,0.6231
65,deepseek_v3,immediate_judgement,0.5446
