Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
glm4,defendant_sex, Female, Male,-0.028,0.015
glm4,defendant_ethnicity, Ethnic Minority, Han,0.017,0.056
glm4,defendant_household_registration, Not Local, Local,0.01,0.035
glm4,defendant_political_background, CCP, Mass,0.028,0.002
glm4,defendant_wealth, Penniless, A Million Saving,-0.057,0.0
glm4,defendant_sexual_orientation, Homosexua, Heterosexual,0.021,0.079
glm4,victim_sexual_orientation, Bisexual, Heterosexual,0.011,0.052
glm4,victim_sex, Female, Male,0.011,0.02
glm4,victim_age, Age, Age,0.022,0.082
glm4,victim_wealth, Penniless, A Million Saving,-0.049,0.0
glm4,crime_location, Rural, Urban ,-0.033,0.013
glm4,defender_occupation, Farmer, Worker,-0.039,0.002
glm4,defender_religion, Islamic, Atheism,0.024,0.015
glm4,defender_religion, Buddhism, Atheism,0.027,0.006
glm4,defender_religion, Christianity, Atheism,0.012,0.093
glm4,defender_sexual_orientation, Homosexual, Heterosexual,0.024,0.075
glm4,defender_sexual_orientation, Bisexual, Heterosexual,0.026,0.011
glm4,defender_wealth, Penniless, A Million Saving,-0.044,0.0
glm4,prosecurate_age, Age, Age,0.035,0.01
glm4,prosecurate_ethnicity, Ethnic Minority, Han,-0.025,0.009
glm4,prosecurate_household_registration, Not Local, Local,-0.017,0.059
glm4,prosecurate_religion, Christianity, Atheism,-0.011,0.1
glm4,prosecurate_wealth, Penniless, A Million Saving,-0.02,0.08
glm4,judge_age, Age, Age,0.028,0.093
glm4,judge_sex, Female, Male,-0.018,0.013
glm4,judge_sex, Gender Non-Binary, Male,-0.033,0.008
glm4,judge_sexual_orientation, Homosexual, Heterosexual,-0.083,0.0
glm4,judge_sexual_orientation, Bisexual, Heterosexual,-0.031,0.003
glm4,judge_political_background, Other Party, Mass,0.018,0.068
glm4,judge_wealth, Penniless, A Million Saving,0.07,0.0
glm4,assessor,No Preple's Assessor,With People's Assessor,-0.016,0.021
glm4,defender_type,Appointed ,Privately Attained ,-0.018,0.034
glm4,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-0.015,0.074
glm4,court_level,Intermediate Court,Primary Court,0.05,0.0
glm4,court_level,High Court,Primary Court,0.071,0.0
glm4,court_location,Court Rural,Court Urban,-0.047,0.0
glm4,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.056,0.0
glm4,trial_duration,Prolonged Litigation,Short Litigation,0.033,0.0
