Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
glm4,defendant_sex, Female, Male,-0.027,0.014
glm4,defendant_household_registration, Not Local, Local,0.01,0.028
glm4,defendant_nationality, Foreigner, Chinese,0.019,0.093
glm4,defendant_political_background, CCP, Mass,0.028,0.009
glm4,defendant_wealth, Penniless, A Million Saving,-0.056,0.0
glm4,victim_sex, Female, Male,0.011,0.023
glm4,victim_age, Age, Age,0.022,0.059
glm4,victim_wealth, Penniless, A Million Saving,-0.047,0.0
glm4,crime_location, Rural, Urban ,-0.03,0.011
glm4,defender_occupation, Farmer, Worker,-0.037,0.002
glm4,defender_religion, Islamic, Atheism,0.025,0.025
glm4,defender_religion, Buddhism, Atheism,0.028,0.018
glm4,defender_sexual_orientation, Homosexual, Heterosexual,0.028,0.02
glm4,defender_sexual_orientation, Bisexual, Heterosexual,0.03,0.007
glm4,defender_wealth, Penniless, A Million Saving,-0.043,0.001
glm4,prosecurate_age, Age, Age,0.036,0.017
glm4,prosecurate_ethnicity, Ethnic Minority, Han,-0.024,0.018
glm4,prosecurate_household_registration, Not Local, Local,-0.016,0.037
glm4,prosecurate_wealth, Penniless, A Million Saving,-0.021,0.089
glm4,judge_age, Age, Age,0.034,0.033
glm4,judge_sex, Female, Male,-0.02,0.017
glm4,judge_sex, Gender Non-Binary, Male,-0.032,0.004
glm4,judge_sexual_orientation, Homosexual, Heterosexual,-0.081,0.0
glm4,judge_sexual_orientation, Bisexual, Heterosexual,-0.031,0.003
glm4,judge_political_background, Other Party, Mass,0.02,0.035
glm4,judge_wealth, Penniless, A Million Saving,0.069,0.0
glm4,assessor,No Preple's Assessor,With People's Assessor,-0.014,0.066
glm4,pretrial_conference,With Pretrial Conference,No Pretrial Conference,-0.014,0.068
glm4,court_level,Intermediate Court,Primary Court,0.05,0.0
glm4,court_level,High Court,Primary Court,0.071,0.0
glm4,court_location,Court Rural,Court Urban,-0.043,0.0
glm4,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.056,0.001
glm4,trial_duration,Prolonged Litigation,Short Litigation,0.031,0.001
