	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00196
	(0.0108)
1.ID	-1.588***
	(0.00139)
2.ID	0
	(0.00139)
3.ID	-1.980***
	(0.00139)
4.ID	0
	(0.00139)
5.ID	-1.765***
	(0.00139)
6.ID	-1.980***
	(0.00139)
7.ID	0
	(0.00139)
8.ID	-1.676***
	(0.0896)
9.ID	-1.980***
	(0.00139)
10.ID	0.509***
	(0.00139)
12.ID	0.509***
	(0.00139)
14.ID	0
	(0.00139)
15.ID	-1.980***
	(0.00139)
16.ID	0
	(0.00139)
17.ID	-1.980***
	(0.00139)
18.ID	-1.980***
	(0.00139)
19.ID	-1.765***
	(0.00139)
20.ID	0
	(0.00139)
21.ID	-1.765***
	(0.00139)
22.ID	-1.588***
	(0.00139)
23.ID	0
	(0.00139)
24.ID	-0.990
	(0.992)
25.ID	-1.765***
	(0.00139)
26.ID	-2.634***
	(0.00139)
27.ID	-1.980***
	(0.00139)
28.ID	-2.117***
	(0.136)
29.ID	-1.980***
	(0.00139)
30.ID	-1.980***
	(0.00139)
31.ID	-0.908***
	(0.00139)
32.ID	0
	(0.00139)
33.ID	0
	(0.00139)
34.ID	0
	(0.00139)
35.ID	-1.980***
	(0.00139)
36.ID	-1.980***
	(0.00139)
37.ID	-1.980***
	(0.00139)
38.ID	-1.980***
	(0.00139)
39.ID	0
	(0.00139)
40.ID	0
	(0.00139)
41.ID	-1.588***
	(0.00139)
42.ID	0.509***
	(0.00139)
43.ID	-1.980***
	(0.00139)
46.ID	-1.765***
	(0.00139)
47.ID	-2.254***
	(0.00139)
48.ID	0
	(0.00139)
49.ID	0
	(0.00139)
50.ID	0
	(0.00139)
51.ID	-1.980***
	(0.00139)
52.ID	-1.765***
	(0.00139)
53.ID	0.286***
	(0.00139)
54.ID	-1.980***
	(0.00139)
55.ID	-1.980***
	(0.00139)
56.ID	0
	(0.00139)
57.ID	-1.980***
	(0.00139)
58.ID	0
	(0.00139)
59.ID	-1.307***
	(0.00139)
60.ID	-1.980***
	(0.00139)
61.ID	-1.980***
	(0.00139)
62.ID	-1.765***
	(0.00139)
63.ID	-1.980***
	(0.00139)
64.ID	0
	(0.00139)
65.ID	-1.980***
	(0.00139)
66.ID	-1.765***
	(0.00139)
67.ID	0
	(0.00139)
68.ID	-0.403***
	(0.00139)
69.ID	-1.980***
	(0.00139)
70.ID	0.509***
	(0.00139)
71.ID	0.509***
	(0.00139)
72.ID	0.509***
	(0.00139)
73.ID	-1.980***
	(0.00139)
74.ID	0
	(0.00139)
76.ID	-1.980***
	(0.00139)
77.ID	-0.882
	(0.882)
78.ID	-1.980***
	(0.00139)
79.ID	-1.980***
	(0.00139)
80.ID	0
	(0.00139)
81.ID	-1.980***
	(0.00139)
82.ID	-1.588***
	(0.00139)
83.ID	-1.765***
	(0.00139)
84.ID	0
	(0.00139)
85.ID	0
	(0.00139)
86.ID	0
	(0.00139)
87.ID	0
	(0.00139)
88.ID	0.509***
	(0.00139)
89.ID	-1.980***
	(0.00139)
90.ID	-1.980***
	(0.00139)
91.ID	-0.624***
	(0.00139)
92.ID	-2.634***
	(0.00139)
93.ID	-1.588***
	(0.00139)
94.ID	-1.980***
	(0.00139)
95.ID	0.509***
	(0.00139)
96.ID	-1.980***
	(0.00139)
97.ID	-2.896***
	(0.00139)
98.ID	-1.088***
	(0.00139)
99.ID	-1.980***
	(0.00139)
100.ID	-1.765***
	(0.00139)
101.ID	-1.980***
	(0.00139)
102.ID	-2.634***
	(0.00139)
103.ID	-1.980***
	(0.00139)
104.ID	-1.980***
	(0.00139)
105.ID	-1.980***
	(0.00139)
106.ID	0.509***
	(0.00139)
107.ID	0.509***
	(0.00139)
108.ID	0.509***
	(0.00139)
109.ID	-1.765***
	(0.00139)
110.ID	-2.634***
	(0.00139)
111.ID	-2.634***
	(0.00139)
112.ID	0
	(0.00139)
113.ID	-1.980***
	(0.00139)
114.ID	0
	(0.00139)
115.ID	0
	(0.00139)
116.ID	-1.588***
	(0.00139)
117.ID	0
	(0.00139)
118.ID	0
	(0.00139)
119.ID	0.509***
	(0.00139)
120.ID	-0.756***
	(0.00139)
121.ID	0
	(0.00139)
122.ID	0.509***
	(0.00139)
123.ID	0.509***
	(0.00139)
125.ID	0
	(0.00139)
126.ID	0
	(0.00139)
127.ID	-2.634***
	(0.00139)
128.ID	-1.765***
	(0.00139)
129.ID	0
	(0.00139)
130.ID	-2.117***
	(0.136)
131.ID	-1.765***
	(0.00139)
132.ID	-2.634***
	(0.00139)
133.ID	0
	(0.00139)
134.ID	-1.088***
	(0.00139)
135.ID	-0.990
	(0.992)
136.ID	-0.990
	(0.992)
137.ID	0
	(0.00139)
138.ID	0.509***
	(0.00139)
139.ID	-1.980***
	(0.00139)
140.ID	-1.588***
	(0.00139)
142.ID	-1.980***
	(0.00139)
144.ID	-1.980***
	(0.00139)
145.ID	-1.765***
	(0.00139)
146.ID	0
	(0.00139)
147.ID	0.509***
	(0.00139)
148.ID	0
	(0.00139)
149.ID	-2.634***
	(0.00139)
150.ID	-1.980***
	(0.00139)
151.ID	-1.765***
	(0.00139)
152.ID	0
	(0.00139)
153.ID	0
	(0.00139)
154.ID	0
	(0.00139)
155.ID	-1.980***
	(0.00139)
156.ID	-1.980***
	(0.00139)
157.ID	0
	(0.00139)
158.ID	0
	(0.00139)
159.ID	-1.765***
	(0.00139)
160.ID	0
	(0.00139)
161.ID	0.286***
	(0.00139)
163.ID	-1.426***
	(0.340)
164.ID	-1.980***
	(0.00139)
165.ID	-1.980***
	(0.00139)
167.ID	-1.980***
	(0.00139)
168.ID	0
	(0.00139)
169.ID	0
	(0.00139)
170.ID	-1.765***
	(0.00139)
171.ID	-1.765***
	(0.00139)
172.ID	-1.980***
	(0.00139)
173.ID	0
	(0.00139)
174.ID	0
	(0.00139)
175.ID	-1.765***
	(0.00139)
176.ID	-1.980***
	(0.00139)
177.ID	0
	(0.00139)
178.ID	-2.634***
	(0.00139)
179.ID	0
	(0.00139)
180.ID	-0.829***
	(0.00139)
181.ID	-2.634***
	(0.00139)
182.ID	-1.980***
	(0.00139)
183.ID	-1.765***
	(0.00139)
184.ID	-1.980***
	(0.00139)
185.ID	-0.882
	(0.884)
186.ID	-0.403***
	(0.00139)
187.ID	0.509***
	(0.00139)
188.ID	0
	(0.00139)
189.ID	-1.765***
	(0.00139)
190.ID	-1.980***
	(0.00139)
191.ID	-1.765***
	(0.00139)
192.ID	-1.980***
	(0.00139)
194.ID	-0.0906
	(0.0917)
196.ID	-1.980***
	(0.00139)
197.ID	0
	(0.00139)
198.ID	-1.980***
	(0.00139)
199.ID	-1.980***
	(0.00139)
200.ID	0
	(0.00139)
201.ID	-1.980***
	(0.00139)
202.ID	0
	(0.00139)
203.ID	0.509***
	(0.00139)
204.ID	0.509***
	(0.00139)
205.ID	0
	(0.00139)
206.ID	-1.980***
	(0.00139)
207.ID	-1.980***
	(0.00139)
208.ID	-1.980***
	(0.00139)
209.ID	0
	(0.00139)
210.ID	-1.980***
	(0.00139)
212.ID	-1.980***
	(0.00139)
213.ID	0.509***
	(0.00139)
214.ID	-1.980***
	(0.00139)
217.ID	0
	(0.00139)
218.ID	-1.980***
	(0.00139)
219.ID	-1.765***
	(0.00139)
220.ID	0
	(0.00139)
221.ID	0
	(0.00139)
222.ID	-0.628
	(1.139)
223.ID	-1.765***
	(0.00139)
224.ID	0
	(0.00139)
225.ID	0
	(0.00139)
226.ID	-2.117***
	(0.138)
227.ID	0
	(0.00139)
228.ID	0.509***
	(0.00139)
229.ID	0
	(0.00139)
230.ID	0
	(0.00139)
231.ID	0
	(0.00139)
232.ID	-1.980***
	(0.00139)
233.ID	-1.765***
	(0.00139)
234.ID	0
	(0.00139)
235.ID	-1.088***
	(0.00139)
236.ID	0.509***
	(0.00139)
237.ID	0
	(0.00139)
238.ID	0
	(0.00139)
239.ID	0.143
	(0.144)
240.ID	0
	(0.00139)
241.ID	0
	(0.00139)
242.ID	-1.980***
	(0.00139)
243.ID	-0.403***
	(0.00139)
244.ID	0.286***
	(0.00139)
245.ID	-1.980***
	(0.00139)
246.ID	0
	(0.00139)
247.ID	0
	(0.00139)
248.ID	-1.588***
	(0.00139)
249.ID	-1.980***
	(0.00139)
250.ID	0.509***
	(0.00139)
251.ID	-1.980***
	(0.00139)
252.ID	-1.765***
	(0.00139)
253.ID	-1.980***
	(0.00139)
254.ID	-1.980***
	(0.00139)
255.ID	0.509***
	(0.00139)
256.ID	0
	(0.00139)
257.ID	0
	(0.00139)
258.ID	-1.980***
	(0.00139)
259.ID	0
	(0.00139)
260.ID	0
	(0.00139)
261.ID	-2.634***
	(0.00139)
263.ID	-1.980***
	(0.00139)
264.ID	0.509***
	(0.00139)
265.ID	-0.000980
	(0.00549)
266.ID	0
	(0.00139)
267.ID	-1.765***
	(0.00139)
268.ID	0
	(0.00139)
269.ID	0
	(0.00139)
270.ID	0
	(0.00139)
271.ID	-0.990
	(0.992)
272.ID	0.509***
	(0.00139)
274.ID	-1.980***
	(0.00139)
275.ID	-1.765***
	(0.00139)
276.ID	-0.403***
	(0.00139)
277.ID	0
	(0.00139)
278.ID	-2.426***
	(0.00139)
279.ID	-1.765***
	(0.00139)
280.ID	0
	(0.00139)
281.ID	0
	(0.00139)
282.ID	-2.254***
	(0.00139)
283.ID	-1.980***
	(0.00139)
284.ID	-1.980***
	(0.00139)
285.ID	-1.980***
	(0.00139)
286.ID	-1.980***
	(0.00139)
288.ID	0
	(0.00139)
289.ID	0
	(0.00139)
290.ID	0
	(0.00139)
291.ID	-1.980***
	(0.00139)
292.ID	0
	(0.00139)
293.ID	-1.980***
	(0.00139)
294.ID	-1.588***
	(0.00139)
295.ID	-0.990
	(0.992)
296.ID	-1.307***
	(0.00139)
297.ID	0
	(0.00139)
298.ID	0
	(0.00139)
299.ID	-0.628
	(1.137)
300.ID	0
	(0.00139)
301.ID	-1.980***
	(0.00139)
302.ID	-0.628
	(1.137)
303.ID	-1.307***
	(0.00139)
304.ID	0.509***
	(0.00139)
305.ID	0
	(0.00139)
306.ID	-1.588***
	(0.00139)
307.ID	-1.437***
	(0.00139)
308.ID	-1.088***
	(0.00139)
309.ID	-1.765***
	(0.00139)
310.ID	-1.980***
	(0.00139)
311.ID	-3.253***
	(0.00139)
312.ID	0
	(0.00139)
313.ID	-1.872***
	(0.109)
315.ID	-1.980***
	(0.00139)
316.ID	-1.588***
	(0.00139)
317.ID	0
	(0.00139)
318.ID	0
	(0.00139)
319.ID	0
	(0.00139)
320.ID	-1.765***
	(0.00139)
321.ID	-1.588***
	(0.00139)
322.ID	0.286***
	(0.00139)
323.ID	-1.765***
	(0.00139)
324.ID	-0.990
	(0.990)
325.ID	-1.980***
	(0.00139)
326.ID	0
	(0.00139)
327.ID	0
	(0.00139)
328.ID	0
	(0.00139)
329.ID	-1.980***
	(0.00139)
330.ID	0.286***
	(0.00139)
331.ID	-1.980***
	(0.00139)
332.ID	0
	(0.00139)
333.ID	0
	(0.00139)
334.ID	-1.980***
	(0.00139)
335.ID	-1.980***
	(0.00139)
336.ID	-0.0686***
	(0.00139)
337.ID	-1.980***
	(0.00139)
338.ID	0
	(0.00139)
339.ID	0
	(0.00139)
340.ID	0.509***
	(0.00139)
341.ID	-1.765***
	(0.00139)
342.ID	-1.980***
	(0.00139)
343.ID	0
	(0.00139)
344.ID	-1.588***
	(0.00139)
345.ID	0.254
	(0.254)
346.ID	-3.253***
	(0.00139)
347.ID	-1.588***
	(0.00139)
348.ID	-1.980***
	(0.00139)
349.ID	-3.253***
	(0.00139)
350.ID	-1.980***
	(0.00139)
352.ID	0
	(0.00139)
353.ID	-0.403***
	(0.00139)
354.ID	-1.980***
	(0.00139)
355.ID	-1.588***
	(0.00139)
356.ID	-1.765***
	(0.00139)
357.ID	0
	(0.00139)
358.ID	-1.980***
	(0.00139)
359.ID	0
	(0.00139)
361.ID	-1.980***
	(0.00139)
364.ID	0.286***
	(0.00139)
365.ID	-1.980***
	(0.00139)
366.ID	0.397***
	(0.112)
369.ID	0
	(0.00139)
370.ID	-0.990
	(0.990)
372.ID	0
	(0.00139)
373.ID	-1.980***
	(0.00139)
374.ID	0
	(0.00139)
375.ID	-1.980***
	(0.00139)
377.ID	-1.980***
	(0.00139)
378.ID	-1.980***
	(0.00139)
379.ID	-1.872***
	(0.109)
381.ID	-2.254***
	(0.00139)
382.ID	-3.253***
	(0.00139)
383.ID	-1.980***
	(0.00139)
385.ID	0
	(0.00139)
386.ID	-2.634***
	(0.00139)
387.ID	-1.980***
	(0.00139)
388.ID	-1.765***
	(0.00139)
389.ID	0
	(0.00139)
390.ID	0.509***
	(0.00139)
391.ID	-1.980***
	(0.00139)
393.ID	0
	(0.00139)
394.ID	-0.0711
	(0.0722)
395.ID	0
	(0.00139)
396.ID	0
	(0.00139)
397.ID	-1.980***
	(0.00139)
398.ID	-2.634***
	(0.00139)
399.ID	-1.765***
	(0.00139)
400.ID	-0.990
	(0.990)
401.ID	-1.088***
	(0.00139)
402.ID	-1.980***
	(0.00139)
403.ID	-1.980***
	(0.00139)
404.ID	-1.588***
	(0.00139)
405.ID	-1.980***
	(0.00139)
406.ID	-0.403***
	(0.00139)
407.ID	0
	(0.00139)
408.ID	0.509***
	(0.00139)
409.ID	-2.634***
	(0.00139)
410.ID	-1.980***
	(0.00139)
411.ID	-2.117***
	(0.136)
412.ID	0
	(0.00139)
413.ID	-1.588***
	(0.00139)
414.ID	-1.980***
	(0.00139)
415.ID	-1.980***
	(0.00139)
416.ID	-1.765***
	(0.00139)
417.ID	-2.634***
	(0.00139)
418.ID	-1.980***
	(0.00139)
419.ID	-1.980***
	(0.00139)
420.ID	-1.765***
	(0.00139)
421.ID	-1.980***
	(0.00139)
423.ID	0
	(0.00139)
424.ID	0
	(0.00139)
425.ID	0
	(0.00139)
426.ID	-1.980***
	(0.00139)
428.ID	-1.980***
	(0.00139)
429.ID	-1.980***
	(0.00139)
430.ID	0.509***
	(0.00139)
431.ID	-1.765***
	(0.00139)
432.ID	0
	(0.00139)
433.ID	-1.980***
	(0.00139)
434.ID	-1.980***
	(0.00139)
435.ID	0.509***
	(0.00139)
436.ID	-1.765***
	(0.00139)
437.ID	-2.254***
	(0.00139)
438.ID	0
	(0.00139)
439.ID	0
	(0.00139)
440.ID	-1.765***
	(0.00139)
441.ID	0
	(0.00139)
442.ID	0
	(0.00139)
445.ID	-1.980***
	(0.00139)
446.ID	0
	(0.00139)
447.ID	-1.088***
	(0.00139)
448.ID	0
	(0.00139)
449.ID	0
	(0.00139)
450.ID	-1.980***
	(0.00139)
451.ID	0
	(0.00139)
452.ID	-1.765***
	(0.00139)
453.ID	0.254
	(0.256)
454.ID	-1.765***
	(0.00139)
455.ID	0
	(0.00139)
456.ID	-3.253***
	(0.00139)
457.ID	0.509***
	(0.00139)
458.ID	0.509***
	(0.00139)
459.ID	-1.765***
	(0.00139)
460.ID	-1.980***
	(0.00139)
461.ID	0.509***
	(0.00139)
462.ID	0
	(0.00139)
464.ID	0
	(0.00139)
465.ID	-1.088***
	(0.00139)
466.ID	0
	(0.00139)
467.ID	0
	(0.00139)
468.ID	0.254
	(0.256)
469.ID	-1.980***
	(0.00139)
470.ID	0
	(0.00139)
471.ID	0.509***
	(0.00139)
472.ID	0.509***
	(0.00139)
473.ID	0
	(0.00139)
474.ID	0
	(0.00139)
475.ID	-1.980***
	(0.00139)
476.ID	0
	(0.00139)
477.ID	0.286***
	(0.00139)
478.ID	0.509***
	(0.00139)
479.ID	0
	(0.00139)
480.ID	-1.088***
