	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0104
	(0.0216)
1.ID	-1.588***
	(0)
2.ID	0
	(0)
3.ID	-1.980***
	(0)
4.ID	0
	(0)
5.ID	-1.872***
	(0)
6.ID	-1.980***
	(0)
7.ID	0
	(0)
8.ID	-1.765***
	(0)
9.ID	-1.980***
	(0)
12.ID	0.509***
	(0)
14.ID	0
	(0)
15.ID	-1.980***
	(0)
16.ID	0
	(0)
17.ID	-1.980***
	(0)
18.ID	-1.980***
	(0)
19.ID	-1.765***
	(0)
20.ID	0
	(0)
21.ID	-1.765***
	(0)
22.ID	-1.588***
	(0)
23.ID	0
	(0)
24.ID	0
	(0)
25.ID	-1.765***
	(0)
26.ID	-2.634***
	(0)
27.ID	-1.980***
	(0)
28.ID	-2.117***
	(0)
29.ID	-1.980***
	(0)
30.ID	-1.980***
	(0)
31.ID	-0.908***
	(0)
32.ID	0
	(0)
33.ID	0
	(0)
34.ID	0
	(0)
35.ID	-1.980***
	(0)
36.ID	-1.980***
	(0)
37.ID	-1.980***
	(0)
39.ID	0
	(0)
40.ID	0
	(0)
41.ID	-1.588***
	(0)
42.ID	0.509***
	(0)
43.ID	-1.980***
	(0)
47.ID	-2.254***
	(0)
48.ID	0
	(0)
49.ID	0
	(0)
50.ID	0
	(0)
52.ID	-1.676***
	(0)
54.ID	-1.980***
	(0)
55.ID	-1.980***
	(0)
56.ID	0
	(0)
57.ID	-1.980***
	(0)
58.ID	0
	(0)
60.ID	-1.980***
	(0)
61.ID	-1.980***
	(0)
62.ID	-1.765***
	(0)
63.ID	-0.847***
	(0)
64.ID	0
	(0)
65.ID	-1.980***
	(0)
66.ID	-1.765***
	(0)
67.ID	0
	(0)
69.ID	-1.980***
	(0)
70.ID	0.397***
	(0)
71.ID	0.509***
	(0)
72.ID	0.509***
	(0)
73.ID	-1.980***
	(0)
76.ID	-1.980***
	(0)
77.ID	-1.765***
	(0)
79.ID	-1.980***
	(0)
80.ID	0
	(0)
81.ID	-1.980***
	(0)
82.ID	-1.588***
	(0)
83.ID	-1.765***
	(0)
84.ID	0
	(0)
85.ID	-0.990***
	(0)
87.ID	0
	(0)
89.ID	-1.980***
	(0)
90.ID	-1.980***
	(0)
91.ID	-0.624***
	(0)
93.ID	-1.588***
	(0)
94.ID	-1.980***
	(0)
98.ID	-1.088***
	(0)
99.ID	-1.765***
	(0)
103.ID	-1.980***
	(0)
104.ID	-1.980***
	(0)
105.ID	-1.980***
	(0)
106.ID	0.254***
	(0)
107.ID	0.509***
	(0)
109.ID	-1.765***
	(0)
110.ID	-2.634***
	(0)
112.ID	0
	(0)
113.ID	-1.980***
	(0)
114.ID	0
	(0)
115.ID	0.143***
	(0)
117.ID	-0.990***
	(0)
118.ID	0
	(0)
120.ID	-0.756***
	(0)
121.ID	0
	(0)
122.ID	0.509***
	(0)
133.ID	0
	(0)
134.ID	-1.088***
	(0)
144.ID	-1.872***
	(0)
145.ID	-1.765***
	(0)
147.ID	0.509***
	(0)
148.ID	0
	(0)
149.ID	-2.444***
	(0)
152.ID	0
	(0)
153.ID	0
	(0)
156.ID	-1.980***
	(0)
167.ID	-1.980***
	(0)
169.ID	0
	(0)
174.ID	0
	(0)
187.ID	0.509***
	(0)
188.ID	0
	(0)
189.ID	-1.765***
	(0)
190.ID	-2.117***
	(0)
191.ID	-1.765***
	(0)
194.ID	-0.0906***
	(0)
196.ID	-1.980***
	(0)
197.ID	0
	(0)
198.ID	-1.980***
	(0)
199.ID	-1.980***
	(0)
200.ID	0
	(0)
201.ID	-1.980***
	(0)
202.ID	0
	(0)
203.ID	0.509***
	(0)
204.ID	0.509***
	(0)
205.ID	0
	(0)
206.ID	-1.980***
	(0)
207.ID	-1.980***
	(0)
208.ID	-1.980***
	(0)
209.ID	0
	(0)
212.ID	-1.980***
	(0)
213.ID	0.509***
	(0)
214.ID	-0.990***
	(0)
218.ID	-1.980***
	(0)
219.ID	-1.765***
	(0)
220.ID	0
	(0)
222.ID	-0.628***
	(0)
223.ID	-1.765***
	(0)
224.ID	0
	(0)
225.ID	0
	(0)
226.ID	-2.254***
	(0)
227.ID	0
	(0)
228.ID	0.509***
	(0)
229.ID	0
	(0)
230.ID	0
	(0)
231.ID	-1.765***
	(0)
232.ID	-1.980***
	(0)
233.ID	-1.765***
	(0)
234.ID	0
	(0)
235.ID	-1.088***
	(0)
237.ID	0
	(0)
238.ID	0
	(0)
239.ID	0.254***
	(0)
240.ID	0
	(0)
241.ID	0
	(0)
243.ID	-0.403***
	(0)
244.ID	0
	(0)
245.ID	-1.980***
	(0)
246.ID	0
	(0)
247.ID	0
	(0)
248.ID	-1.588***
	(0)
249.ID	-1.980***
	(0)
250.ID	-0.628***
	(0)
251.ID	-1.980***
	(0)
252.ID	-1.765***
	(0)
253.ID	-1.980***
	(0)
254.ID	-1.980***
	(0)
255.ID	0.503***
	(0.0108)
256.ID	0
	(0)
257.ID	0
	(0)
258.ID	-1.980***
	(0)
259.ID	0
	(0)
260.ID	0
	(0)
261.ID	-2.634***
	(0)
264.ID	0.509***
	(0)
265.ID	0.00518
	(0.0108)
266.ID	0
	(0)
267.ID	-1.765***
	(0)
268.ID	0
	(0)
269.ID	-1.980***
	(0)
270.ID	0
	(0)
271.ID	-1.980***
	(0)
274.ID	-1.980***
	(0)
275.ID	-1.765***
	(0)
277.ID	0
	(0)
278.ID	-2.530***
	(0)
279.ID	-1.765***
	(0)
280.ID	0
	(0)
281.ID	0
	(0)
282.ID	-1.980***
	(0)
283.ID	-1.980***
	(0)
284.ID	-1.980***
	(0)
285.ID	-1.980***
	(0)
286.ID	-1.980***
	(0)
288.ID	0
	(0)
289.ID	0
	(0)
290.ID	0
	(0)
291.ID	-1.980***
	(0)
292.ID	0.143***
	(0)
293.ID	-1.980***
	(0)
294.ID	-1.588***
	(0)
295.ID	-0.990***
	(0)
296.ID	-1.307***
	(0)
297.ID	0.254***
	(0)
298.ID	0
	(0)
299.ID	0.509***
	(0)
300.ID	0
	(0)
301.ID	-1.980***
	(0)
302.ID	0.509***
	(0)
303.ID	-1.447***
	(0)
304.ID	0.509***
	(0)
305.ID	0
	(0)
306.ID	-1.588***
	(0)
307.ID	-1.601***
	(0)
308.ID	-1.088***
	(0)
309.ID	-1.765***
	(0)
310.ID	-1.980***
	(0)
311.ID	-3.253***
	(0)
312.ID	0
	(0)
313.ID	-1.765***
	(0)
314.ID	-1.784***
	(0)
315.ID	-1.980***
	(0)
317.ID	0
	(0)
319.ID	0
	(0)
320.ID	-1.765***
	(0)
321.ID	-1.588***
	(0)
322.ID	0.397***
	(0)
323.ID	-1.765***
	(0)
325.ID	-1.980***
	(0)
326.ID	0
	(0)
327.ID	0
	(0)
328.ID	0
	(0)
329.ID	-1.980***
	(0)
330.ID	0.286***
	(0)
331.ID	-1.980***
	(0)
332.ID	0
	(0)
333.ID	0
	(0)
335.ID	-1.980***
	(0)
336.ID	-0.0686***
	(0)
337.ID	-1.980***
	(0)
338.ID	0
	(0)
339.ID	0
	(0)
340.ID	0.509***
	(0)
341.ID	-0.628***
	(0)
342.ID	-1.980***
	(0)
343.ID	-0.544***
	(0)
344.ID	-1.588***
	(0)
345.ID	0.509***
	(0)
347.ID	-1.588***
	(0)
348.ID	-1.980***
	(0)
349.ID	-3.258***
	(0.0108)
350.ID	-1.980***
	(0)
352.ID	0
	(0)
353.ID	-0.403***
	(0)
354.ID	-1.980***
	(0)
356.ID	-1.765***
	(0)
358.ID	-1.980***
	(0)
359.ID	0
	(0)
361.ID	-1.980***
	(0)
382.ID	-3.253***
	(0)
385.ID	0
	(0)
386.ID	-2.634***
	(0)
387.ID	-1.980***
	(0)
390.ID	0
	(0)
391.ID	-1.980***
	(0)
395.ID	0
	(0)
398.ID	-2.634***
	(0)
399.ID	-1.765***
	(0)
400.ID	0
	(0)
403.ID	-1.980***
	(0)
405.ID	-1.980***
	(0)
406.ID	-0.403***
	(0)
407.ID	0
	(0)
408.ID	0.509***
	(0)
409.ID	-2.634***
	(0)
412.ID	0
	(0)
413.ID	-1.588***
	(0)
414.ID	-1.980***
	(0)
415.ID	-1.980***
	(0)
416.ID	-1.765***
	(0)
417.ID	-2.634***
	(0)
419.ID	-1.980***
	(0)
420.ID	-1.765***
	(0)
421.ID	-1.980***
	(0)
423.ID	0
	(0)
424.ID	0
	(0)
425.ID	0
	(0)
428.ID	-1.980***
	(0)
429.ID	-1.980***
	(0)
430.ID	0.509***
	(0)
431.ID	-1.765***
	(0)
432.ID	0
	(0)
434.ID	-1.980***
	(0)
435.ID	0.509***
	(0)
436.ID	-1.765***
	(0)
437.ID	-2.254***
	(0)
438.ID	0
	(0)
439.ID	0
	(0)
440.ID	-1.765***
	(0)
441.ID	0
	(0)
442.ID	0
	(0)
445.ID	-1.980***
	(0)
446.ID	0
	(0)
447.ID	-1.088***
	(0)
448.ID	0
	(0)
450.ID	-1.980***
	(0)
451.ID	0
	(0)
452.ID	-1.765***
	(0)
453.ID	0.509***
	(0)
454.ID	-1.765***
	(0)
456.ID	-2.639***
	(0.0108)
457.ID	0.509***
	(0)
458.ID	0.509***
	(0)
459.ID	-1.765***
	(0)
460.ID	-1.980***
	(0)
461.ID	0.509***
	(0)
462.ID	0
	(0)
464.ID	0
	(0)
467.ID	0
	(0)
468.ID	0.254***
	(0)
469.ID	-1.980***
	(0)
470.ID	0
	(0)
471.ID	0.397***
	(0)
472.ID	0.509***
	(0)
473.ID	0
	(0)
474.ID	0
	(0)
475.ID	-1.980***
	(0)
476.ID	0
	(0)
477.ID	0.286***
	(0)
478.ID	0.509***
	(0)
479.ID	0
	(0)
481.ID	0
	(0)
482.ID	0.509***
	(0)
483.ID	-2.634***
	(0)
484.ID	0.286***
	(0)
485.ID	0.509***
	(0)
486.ID	-1.980***
	(0)
488.ID	0.509***
	(0)
489.ID	-2.753***
	(0)
490.ID	-1.980***
	(0)
493.ID	-1.784***
	(0)
494.ID	0
	(0)
495.ID	0
	(0)
497.ID	-1.872***
	(0)
498.ID	0.509***
	(0)
499.ID	-1.437***
	(0)
501.ID	-1.765***
	(0)
502.ID	-3.253***
	(0)
503.ID	-0.312***
	(0)
505.ID	-1.088***
	(0)
506.ID	-1.872***
	(0)
507.ID	0
	(0)
508.ID	-1.980***
	(0)
509.ID	-1.980***
	(0)
510.ID	0
	(0)
512.ID	-1.980***
	(0)
514.ID	0.509***
	(0)
515.ID	0.286***
	(0)
518.ID	-1.980***
	(0)
519.ID	-2.254***
	(0)
521.ID	0
	(0)
523.ID	0.143***
	(0)
525.ID	-1.765***
	(0)
526.ID	0
	(0)
527.ID	0
	(0)
528.ID	0.286***
	(0)
530.ID	-1.872***
	(0)
532.ID	0
	(0)
535.ID	-1.980***
	(0)
536.ID	0
	(0)
538.ID	-0.403***
	(0)
539.ID	-0.990***
	(0)
540.ID	-1.784***
	(0)
541.ID	0.143***
	(0)
542.ID	0.509***
	(0)
543.ID	0
	(0)
544.ID	-1.980***
	(0)
545.ID	-2.634***
	(0)
546.ID	-1.980***
	(0)
548.ID	-1.980***
	(0)
549.ID	-0.990***
	(0)
550.ID	0
	(0)
551.ID	0
	(0)
552.ID	-1.980***
	(0)
553.ID	0
	(0)
554.ID	-1.980***
	(0)
555.ID	0
	(0)
556.ID	-1.980***
	(0)
559.ID	0
	(0)
560.ID	0.509***
	(0)
561.ID	0
	(0)
562.ID	-1.980***
	(0)
563.ID	-0.454***
	(0)
564.ID	0
	(0)
567.ID	-1.980***
	(0)
568.ID	-1.980***
	(0)
569.ID	0
	(0)
570.ID	-2.896***
	(0)
571.ID	0
	(0)
573.ID	-1.980***
	(0)
575.ID	0
	(0)
577.ID	0
	(0)
578.ID	-1.601***
	(0)
579.ID	0
	(0)
581.ID	0
	(0)
582.ID	-1.980***
	(0)
583.ID	-1.980***
	(0)
584.ID	0
	(0)
585.ID	0.509***
	(0)
586.ID	-1.980***
	(0)
587.ID	-1.765***
	(0)
588.ID	-1.980***
	(0)
589.ID	0
	(0)
590.ID	0
	(0)
591.ID	-0.908***
	(0)
592.ID	-1.765***
	(0)
593.ID	-1.980***
	(0)
596.ID	-1.980***
	(0)
597.ID	0
	(0)
598.ID	-0.403***
	(0)
599.ID	-1.980***
	(0)
600.ID	-1.980***
	(0)
601.ID	0.509***
	(0)
605.ID	-1.980***
	(0)
607.ID	0
	(0)
608.ID	-1.980***
	(0)
610.ID	-1.980***
	(0)
611.ID	-1.588***
	(0)
612.ID	0
	(0)
613.ID	0
	(0)
614.ID	-1.980***
	(0)
615.ID	-1.980***
	(0)
616.ID	0
	(0)
618.ID	0
	(0)
619.ID	-1.980***
	(0)
621.ID	-1.588***
	(0)
622.ID	-1.980***
	(0)
623.ID	0
	(0)
624.ID	0
	(0)
625.ID	0
	(0)
627.ID	-1.980***
	(0)
628.ID	0
	(0)
629.ID	0.286***
	(0)
630.ID	-0.756***
	(0)
631.ID	0
	(0)
632.ID	-1.765***
	(0)
633.ID	0.509***
	(0)
634.ID	-1.980***
	(0)
635.ID	0
	(0)
637.ID	-0.628***
	(0)
639.ID	-2.254***
	(0)
640.ID	0
	(0)
641.ID	-0.990***
	(0)
644.ID	-1.980***
	(0)
645.ID	-1.980***
	(0)
647.ID	-1.980***
	(0)
650.ID	-1.980***
	(0)
652.ID	-2.117***
	(0)
653.ID	-1.980***
	(0)
654.ID	-1.980***
	(0)
655.ID	-1.765***
	(0)
657.ID	0
	(0)
658.ID	-1.980***
	(0)
659.ID	-0.628***
	(0)
660.ID	-1.980***
	(0)
661.ID	0.509***
	(0)
662.ID	-0.990***
	(0)
663.ID	-1.317***
	(0)
665.ID	-1.980***
	(0)
667.ID	0
	(0)
668.ID	-1.765***
	(0)
669.ID	-1.980***
	(0)
670.ID	0
	(0)
671.ID	-1.588***
	(0)
672.ID	-1.980***
	(0)
673.ID	-1.765***
	(0)
674.ID	-1.980***
	(0)
675.ID	-1.588***
	(0)
677.ID	-1.980***
	(0)
678.ID	-1.088***
	(0)
679.ID	0.509***
	(0)
680.ID	-1.980***
	(0)
681.ID	-1.980***
	(0)
682.ID	0.509***
	(0)
683.ID	-1.765***
	(0)
684.ID	-1.676***
	(0)
685.ID	-2.634***
	(0)
687.ID	-1.980***
	(0)
688.ID	0
	(0)
689.ID	0
	(0)
690.ID	-1.980***
	(0)
691.ID	-1.980***
	(0)
692.ID	0
	(0)
693.ID	0
	(0)
695.ID	0.254***
	(0)
698.ID	-1.980***
	(0)
699.ID	-1.980***
	(0)
700.ID	-1.980***
	(0)
701.ID	0
	(0)
702.ID	0.509***
	(0)
703.ID	-1.980***
	(0)
704.ID	-1.765***
	(0)
705.ID	-1.980***
	(0)
706.ID	-1.980***
	(0)
707.ID	-1.980***
	(0)
708.ID	-2.634***
	(0)
709.ID	-3.247***
	(0.0108)
710.ID	-2.634***
	(0)
711.ID	0.509***
	(0)
712.ID	-1.765***
	(0)
713.ID	0
	(0)
714.ID	0.254***
	(0)
715.ID	0
	(0)
717.ID	-1.980***
	(0)
718.ID	-1.088***
	(0)
719.ID	-1.980***
	(0)
720.ID	0
	(0)
721.ID	-1.980***
	(0)
722.ID	-0.756***
	(0)
724.ID	0
	(0)
725.ID	0
	(0)
728.ID	-1.980***
	(0)
729.ID	-1.980***
	(0)
730.ID	-1.980***
	(0)
731.ID	0
	(0)
732.ID	0.509***
	(0)
733.ID	-1.980***
	(0)
734.ID	-1.765***
	(0)
735.ID	0
	(0)
736.ID	-1.980***
	(0)
737.ID	-1.980***
	(0)
738.ID	-1.980***
	(0)
739.ID	-1.588***
	(0)
