	(1)
VARIABLES	llm_刑期
	
1.treated	0.893
	(1.892)
1.ID	-144***
	(0)
2.ID	0
	(0)
3.ID	-156***
	(0)
4.ID	0
	(0)
5.ID	-153***
	(0)
6.ID	-156***
	(0)
7.ID	0
	(0)
8.ID	-150***
	(0)
9.ID	-156***
	(0)
12.ID	120***
	(0)
14.ID	0
	(0)
15.ID	-156***
	(0)
16.ID	0
	(0)
17.ID	-156***
	(0)
18.ID	-156***
	(0)
19.ID	-150***
	(0)
20.ID	0
	(0)
21.ID	-150***
	(0)
22.ID	-144***
	(0)
23.ID	0
	(0)
24.ID	0
	(0)
25.ID	-150***
	(0)
26.ID	-168***
	(0)
27.ID	-156***
	(0)
28.ID	-159***
	(0)
29.ID	-156***
	(0)
30.ID	-156***
	(0)
31.ID	-108***
	(0)
32.ID	0
	(0)
33.ID	0
	(0)
34.ID	0
	(0)
35.ID	-156***
	(0)
36.ID	-156***
	(0)
37.ID	-156***
	(0)
39.ID	0
	(0)
40.ID	0
	(0)
41.ID	-144***
	(0)
42.ID	120***
	(0)
43.ID	-156***
	(0)
47.ID	-162***
	(0)
48.ID	0
	(0)
49.ID	0
	(0)
50.ID	0
	(0)
52.ID	-147***
	(0)
54.ID	-156***
	(0)
55.ID	-156***
	(0)
56.ID	0
	(0)
57.ID	-156***
	(0)
58.ID	0
	(0)
60.ID	-156***
	(0)
61.ID	-156***
	(0)
62.ID	-150***
	(0)
63.ID	-48***
	(0)
64.ID	0
	(0)
65.ID	-156***
	(0)
66.ID	-150***
	(0)
67.ID	0
	(0)
69.ID	-156***
	(0)
70.ID	90***
	(0)
71.ID	120***
	(0)
72.ID	120***
	(0)
73.ID	-156***
	(0)
76.ID	-156***
	(0)
77.ID	-150***
	(0)
79.ID	-156***
	(0)
80.ID	0
	(0)
81.ID	-156***
	(0)
82.ID	-144***
	(0)
83.ID	-150***
	(0)
84.ID	0
	(0)
85.ID	-78***
	(0)
87.ID	0
	(0)
89.ID	-156***
	(0)
90.ID	-156***
	(0)
91.ID	-84***
	(0)
93.ID	-144***
	(0)
94.ID	-156***
	(0)
98.ID	-120***
	(0)
99.ID	-150***
	(0)
103.ID	-156***
	(0)
104.ID	-156***
	(0)
105.ID	-156***
	(0)
106.ID	60***
	(0)
107.ID	120***
	(0)
109.ID	-150***
	(0)
110.ID	-168***
	(0)
112.ID	0
	(0)
113.ID	-156***
	(0)
114.ID	0
	(0)
115.ID	30***
	(0)
117.ID	-78***
	(0)
118.ID	0
	(0)
120.ID	-96***
	(0)
121.ID	0
	(0)
122.ID	120***
	(0)
133.ID	0
	(0)
134.ID	-120***
	(0)
144.ID	-153***
	(0)
145.ID	-150***
	(0)
147.ID	120***
	(0)
148.ID	0
	(0)
149.ID	-165***
	(0)
152.ID	0
	(0)
153.ID	0
	(0)
156.ID	-156***
	(0)
167.ID	-156***
	(0)
169.ID	0
	(0)
174.ID	0
	(0)
187.ID	120***
	(0)
188.ID	0
	(0)
189.ID	-150***
	(0)
190.ID	-159***
	(0)
191.ID	-150***
	(0)
194.ID	-15***
	(0)
196.ID	-156***
	(0)
197.ID	0
	(0)
198.ID	-156***
	(0)
199.ID	-156***
	(0)
200.ID	0
	(0)
201.ID	-156***
	(0)
202.ID	0
	(0)
203.ID	120***
	(0)
204.ID	120***
	(0)
205.ID	0
	(0)
206.ID	-156***
	(0)
207.ID	-156***
	(0)
208.ID	-156***
	(0)
209.ID	0
	(0)
212.ID	-156***
	(0)
213.ID	120***
	(0)
214.ID	-78***
	(0)
218.ID	-156***
	(0)
219.ID	-150***
	(0)
220.ID	0
	(0)
222.ID	-15***
	(0)
223.ID	-150***
	(0)
224.ID	0
	(0)
225.ID	0
	(0)
226.ID	-162***
	(0)
227.ID	0
	(0)
228.ID	120***
	(0)
229.ID	0
	(0)
230.ID	0
	(0)
231.ID	-150***
	(0)
232.ID	-156***
	(0)
233.ID	-150***
	(0)
234.ID	0
	(0)
235.ID	-120***
	(0)
237.ID	0
	(0)
238.ID	0
	(0)
239.ID	60***
	(0)
240.ID	0
	(0)
241.ID	0
	(0)
243.ID	-60***
	(0)
244.ID	0
	(0)
245.ID	-156***
	(0)
246.ID	0
	(0)
247.ID	0
	(0)
248.ID	-144***
	(0)
249.ID	-156***
	(0)
250.ID	-15***
	(0)
251.ID	-156***
	(0)
252.ID	-150***
	(0)
