	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00434
	(0.00966)
2.treated	0.0267**
	(0.0111)
1.ID	-1.588***
	(0.0117)
2.ID	-0
	(0.0117)
3.ID	-1.980***
	(0.0117)
4.ID	-0.134
	(0.143)
5.ID	-1.765***
	(0.0117)
6.ID	-1.980***
	(0.0117)
7.ID	-0.00518
	(0.0131)
8.ID	-1.007
	(0.751)
9.ID	-1.980***
	(0.0117)
10.ID	0.509***
	(0.0117)
12.ID	0.509***
	(0.0117)
14.ID	-0
	(0.0117)
15.ID	-1.980***
	(0.0117)
16.ID	-0
	(0.0117)
17.ID	-1.980***
	(0.0117)
18.ID	-1.980***
	(0.0117)
19.ID	-1.765***
	(0.0117)
20.ID	-0
	(0.0117)
21.ID	-1.765***
	(0.0117)
22.ID	-1.588***
	(0.0117)
23.ID	-0
	(0.0117)
24.ID	-0.588
	(0.597)
25.ID	-1.765***
	(0.0117)
26.ID	-2.634***
	(0.0117)
27.ID	-1.980***
	(0.0117)
28.ID	-1.980***
	(0.0117)
29.ID	-1.980***
	(0.0117)
30.ID	-1.320**
	(0.653)
31.ID	-0.908***
	(0.0117)
32.ID	0.00818
	(0.00902)
33.ID	-0
	(0.0117)
34.ID	-0
	(0.0117)
35.ID	-1.980***
	(0.0117)
36.ID	-1.980***
	(0.0117)
37.ID	-1.980***
	(0.0117)
38.ID	-1.980***
	(0.0117)
39.ID	-0
	(0.0117)
40.ID	-0
	(0.0117)
41.ID	-1.588***
	(0.0117)
42.ID	0.509***
	(0.0117)
43.ID	-1.980***
	(0.0117)
46.ID	-1.765***
	(0.0117)
47.ID	-2.254***
	(0.0117)
48.ID	-0.660
	(0.669)
49.ID	-0
	(0.0117)
50.ID	-0
	(0.0117)
51.ID	-1.980***
	(0.0117)
53.ID	0.509***
	(0.0117)
54.ID	-1.980***
	(0.0117)
55.ID	-1.980***
	(0.0117)
56.ID	-0
	(0.0117)
57.ID	-1.980***
	(0.0117)
58.ID	-0
	(0.0117)
59.ID	-1.307***
	(0.0117)
60.ID	-1.980***
	(0.0117)
61.ID	-1.980***
	(0.0117)
62.ID	-1.765***
	(0.0117)
63.ID	-1.980***
	(0.0117)
64.ID	-0
	(0.0117)
65.ID	-1.320**
	(0.653)
66.ID	-1.765***
	(0.0117)
67.ID	-0
	(0.0117)
68.ID	-0.403***
	(0.0117)
69.ID	-1.980***
	(0.0117)
70.ID	0.435***
	(0.0721)
71.ID	0.509***
	(0.0117)
72.ID	0.509***
	(0.0117)
73.ID	-1.980***
	(0.0117)
74.ID	0.509***
	(0.0117)
76.ID	-1.980***
	(0.0117)
77.ID	-1.248**
	(0.634)
78.ID	-1.980***
	(0.0117)
79.ID	-1.980***
	(0.0117)
80.ID	-0
	(0.0117)
81.ID	-1.980***
	(0.0117)
82.ID	-1.588***
	(0.0117)
83.ID	-1.765***
	(0.0117)
84.ID	0.265*
	(0.149)
85.ID	-0
	(0.0117)
86.ID	-0
	(0.0117)
87.ID	-0
	(0.0117)
88.ID	0.339**
	(0.165)
89.ID	-1.980***
	(0.0117)
90.ID	-1.980***
	(0.0117)
91.ID	-0.624***
	(0.0117)
92.ID	-2.634***
	(0.0117)
93.ID	-1.588***
	(0.0117)
94.ID	-1.980***
	(0.0117)
95.ID	0.509***
	(0.0117)
96.ID	-1.980***
	(0.0117)
97.ID	-2.896***
	(0.0117)
98.ID	-1.088***
	(0.0117)
99.ID	-1.765***
	(0.0117)
100.ID	-1.765***
	(0.0117)
101.ID	-1.980***
	(0.0117)
102.ID	-2.634***
	(0.0117)
103.ID	-1.980***
	(0.0117)
104.ID	-1.980***
	(0.0117)
105.ID	-1.980***
	(0.0117)
106.ID	0.509***
	(0.0117)
107.ID	0.509***
	(0.0117)
108.ID	0.509***
	(0.0117)
109.ID	-1.765***
	(0.0117)
110.ID	-2.634***
	(0.0117)
111.ID	-2.634***
	(0.0117)
112.ID	-0
	(0.0117)
113.ID	-1.980***
	(0.0117)
114.ID	-0
	(0.0117)
115.ID	-0
	(0.0117)
116.ID	-1.765***
	(0.0117)
117.ID	-0
	(0.0117)
118.ID	-0
	(0.0117)
119.ID	0.509***
	(0.0117)
120.ID	-0.756***
	(0.0117)
121.ID	-0
	(0.0117)
122.ID	0.339*
	(0.178)
123.ID	0.509***
	(0.0117)
125.ID	-0
	(0.0117)
126.ID	-0
	(0.0117)
127.ID	-2.634***
	(0.0117)
128.ID	-1.765***
	(0.0117)
129.ID	-0
	(0.0117)
130.ID	-2.071***
	(0.0871)
131.ID	-1.765***
	(0.0117)
132.ID	-2.634***
	(0.0117)
133.ID	-0
	(0.0117)
134.ID	-1.088***
	(0.0117)
135.ID	-0
	(0.0117)
136.ID	-0
	(0.0117)
137.ID	-0
	(0.0117)
138.ID	0.509***
	(0.0117)
139.ID	-1.980***
	(0.0117)
140.ID	-1.588***
	(0.0117)
142.ID	-1.980***
	(0.0117)
144.ID	-1.980***
	(0.0117)
145.ID	-1.765***
	(0.0117)
146.ID	-0
	(0.0117)
147.ID	0.509***
	(0.0117)
148.ID	-0
	(0.0117)
149.ID	-2.634***
	(0.0117)
150.ID	-1.980***
	(0.0117)
151.ID	-1.765***
	(0.0117)
152.ID	-0
	(0.0117)
153.ID	-0
	(0.0117)
154.ID	-0
	(0.0117)
155.ID	-1.980***
	(0.0117)
156.ID	-1.980***
	(0.0117)
157.ID	-0
	(0.0117)
158.ID	-0
	(0.0117)
159.ID	-1.765***
	(0.0117)
160.ID	-0
	(0.0117)
161.ID	0.286***
	(0.0117)
163.ID	-1.313***
	(0.223)
164.ID	-1.980***
	(0.0117)
165.ID	-1.980***
	(0.0117)
166.ID	-0
	(0.0117)
167.ID	-1.980***
	(0.0117)
168.ID	-0.660
	(0.669)
169.ID	-0
	(0.0117)
170.ID	-1.836***
	(0.0674)
171.ID	-1.765***
	(0.0117)
172.ID	-1.980***
	(0.0117)
173.ID	-0
	(0.0117)
174.ID	-0
	(0.0117)
175.ID	-1.765***
	(0.0117)
176.ID	-1.980***
	(0.0117)
177.ID	-0
	(0.0117)
178.ID	-2.634***
	(0.0117)
179.ID	-1.320**
	(0.666)
180.ID	-0.829***
	(0.0117)
181.ID	-2.634***
	(0.0117)
182.ID	-1.980***
	(0.0117)
183.ID	-1.765***
	(0.0117)
184.ID	-1.980***
	(0.0117)
185.ID	0.509***
	(0.0117)
186.ID	-0.403***
	(0.0117)
187.ID	0.509***
	(0.0117)
188.ID	-0
	(0.0117)
189.ID	-1.765***
	(0.0117)
190.ID	-1.980***
	(0.0117)
191.ID	-1.765***
	(0.0117)
192.ID	-1.980***
	(0.0117)
194.ID	-0
	(0.0117)
196.ID	-1.980***
	(0.0117)
197.ID	-0
	(0.0117)
198.ID	-1.980***
	(0.0117)
199.ID	-1.980***
	(0.0117)
200.ID	-0
	(0.0117)
201.ID	-1.980***
	(0.0117)
202.ID	-0
	(0.0117)
203.ID	0.509***
	(0.0117)
204.ID	0.509***
	(0.0117)
205.ID	-0
	(0.0117)
206.ID	-1.980***
	(0.0117)
207.ID	-1.980***
	(0.0117)
208.ID	-1.980***
	(0.0117)
209.ID	0.170
	(0.162)
210.ID	-1.980***
	(0.0117)
212.ID	-1.320**
	(0.653)
213.ID	0.509***
	(0.0117)
214.ID	-1.980***
	(0.0117)
215.ID	-3.247***
	(0.00975)
217.ID	-0
	(0.0117)
218.ID	-1.980***
	(0.0117)
219.ID	-1.765***
	(0.0117)
220.ID	-0
	(0.0117)
221.ID	-0
	(0.0117)
222.ID	-1.765***
	(0.0117)
223.ID	-1.765***
	(0.0117)
224.ID	-0
	(0.0117)
225.ID	-0
	(0.0117)
226.ID	-2.254***
	(0.0117)
227.ID	-0
	(0.0117)
228.ID	0.509***
	(0.0117)
229.ID	-0
	(0.0117)
230.ID	-0
	(0.0117)
231.ID	-0.588
	(0.584)
232.ID	-1.980***
	(0.0117)
233.ID	-1.765***
	(0.0117)
234.ID	-0
	(0.0117)
235.ID	-1.088***
	(0.0117)
236.ID	0.509***
	(0.0117)
237.ID	-0
	(0.0117)
238.ID	-0
	(0.0117)
239.ID	0.191**
	(0.0910)
240.ID	-0
	(0.0117)
241.ID	-0
	(0.0117)
242.ID	-1.980***
	(0.0117)
243.ID	-0.403***
	(0.0117)
244.ID	0.286***
	(0.0117)
245.ID	-1.980***
	(0.0117)
246.ID	-0
	(0.0117)
247.ID	-0
	(0.0117)
248.ID	-1.588***
	(0.0117)
249.ID	-1.980***
	(0.0117)
250.ID	0.509***
	(0.0117)
251.ID	-1.980***
	(0.0117)
252.ID	-1.765***
	(0.0117)
253.ID	-1.980***
	(0.0117)
254.ID	-1.980***
	(0.0117)
255.ID	0.509***
	(0.0117)
256.ID	-0
	(0.0117)
257.ID	-0
	(0.0117)
258.ID	-1.980***
	(0.0117)
259.ID	-0
	(0.0117)
260.ID	-0
	(0.0117)
261.ID	-2.634***
	(0.0117)
263.ID	-1.980***
	(0.0117)
264.ID	0.339**
	(0.165)
266.ID	-0
	(0.0117)
267.ID	-1.765***
	(0.0117)
268.ID	-0
	(0.0117)
269.ID	-0.660
	(0.656)
270.ID	-0
	(0.0117)
271.ID	-1.248**
	(0.633)
272.ID	0.509***
	(0.0117)
274.ID	-1.980***
	(0.0117)
275.ID	-1.765***
	(0.0117)
276.ID	-0.268*
	(0.138)
277.ID	-0
	(0.0117)
278.ID	-2.426***
	(0.0117)
279.ID	-1.765***
	(0.0117)
280.ID	-0
	(0.0117)
281.ID	-0
	(0.0117)
282.ID	-2.254***
	(0.0117)
283.ID	-1.980***
	(0.0117)
284.ID	-1.980***
	(0.0117)
285.ID	-1.980***
	(0.0117)
286.ID	-1.980***
	(0.0117)
288.ID	-0
	(0.0117)
289.ID	-0
	(0.0117)
290.ID	-0
	(0.0117)
291.ID	-1.980***
	(0.0117)
292.ID	0.286***
	(0.0117)
293.ID	-1.980***
	(0.0117)
294.ID	-1.588***
	(0.0117)
295.ID	-0
	(0.0117)
296.ID	-1.400***
	(0.0892)
297.ID	-0
	(0.0117)
298.ID	-0
	(0.0117)
299.ID	0.509***
	(0.0117)
300.ID	-0
	(0.0117)
301.ID	-1.980***
	(0.0117)
302.ID	-0.249
	(0.754)
303.ID	-1.494***
	(0.0995)
304.ID	0.509***
	(0.0117)
305.ID	-0
	(0.0117)
306.ID	-1.058**
	(0.522)
307.ID	-1.437***
	(0.0117)
308.ID	-1.088***
	(0.0117)
309.ID	-1.836***
	(0.0697)
310.ID	-1.980***
	(0.0117)
311.ID	-3.253***
	(0.0117)
312.ID	-0
	(0.0117)
313.ID	-1.765***
	(0.0117)
314.ID	-1.849***
	(0.134)
315.ID	-1.980***
	(0.0117)
316.ID	-1.588***
	(0.0117)
317.ID	-0
	(0.0117)
318.ID	-0
	(0.0117)
319.ID	-0
	(0.0117)
320.ID	-1.765***
	(0.0117)
321.ID	-1.588***
	(0.0117)
322.ID	0.509***
	(0.0117)
323.ID	-1.765***
	(0.0117)
324.ID	-1.980***
	(0.0117)
325.ID	-1.980***
	(0.0117)
326.ID	-0
	(0.0117)
327.ID	-0
	(0.0117)
328.ID	-0
	(0.0117)
329.ID	-1.320**
	(0.666)
330.ID	0.286***
	(0.0117)
331.ID	-1.980***
	(0.0117)
332.ID	-0
	(0.0117)
333.ID	-0.169
	(0.164)
334.ID	-1.980***
	(0.0117)
335.ID	-1.980***
	(0.0117)
336.ID	-0.0686***
	(0.0117)
337.ID	-1.980***
	(0.0117)
338.ID	-0
	(0.0117)
339.ID	-0
	(0.0117)
340.ID	0.509***
	(0.0117)
341.ID	-1.081
	(0.676)
342.ID	-1.980***
	(0.0117)
343.ID	-0
	(0.0117)
344.ID	-1.647***
	(0.0572)
345.ID	0.339**
	(0.165)
346.ID	-3.253***
	(0.0117)
347.ID	-1.588***
	(0.0117)
348.ID	-1.980***
	(0.0117)
349.ID	-3.253***
	(0.0117)
350.ID	-1.980***
	(0.0117)
352.ID	-0
	(0.0117)
353.ID	-0.403***
	(0.0117)
354.ID	-1.980***
	(0.0117)
355.ID	-1.588***
	(0.0117)
356.ID	-1.765***
	(0.0117)
357.ID	-0
	(0.0117)
358.ID	-1.980***
	(0.0117)
359.ID	-0
	(0.0117)
361.ID	-1.980***
	(0.0117)
364.ID	0.286***
	(0.0117)
365.ID	-1.980***
	(0.0117)
366.ID	0.435***
	(0.0698)
369.ID	-0
	(0.0117)
370.ID	-0
	(0.0117)
372.ID	-0
	(0.0117)
373.ID	-1.980***
	(0.0117)
374.ID	-0
	(0.0117)
375.ID	-1.980***
	(0.0117)
377.ID	-1.980***
	(0.0117)
378.ID	-1.980***
	(0.0117)
379.ID	-1.836***
	(0.0674)
381.ID	-1.980***
	(0.0117)
382.ID	-3.253***
	(0.0117)
383.ID	-1.980***
	(0.0117)
385.ID	-0
	(0.0117)
386.ID	-2.634***
	(0.0117)
387.ID	-1.980***
	(0.0117)
388.ID	-1.706***
	(0.0631)
389.ID	-0
	(0.0117)
390.ID	0.509***
	(0.0117)
391.ID	-1.980***
	(0.0117)
393.ID	-0
	(0.0117)
394.ID	-0
	(0.0117)
395.ID	-0
	(0.0117)
396.ID	-0
	(0.0117)
397.ID	-1.980***
	(0.0117)
398.ID	-2.634***
	(0.0117)
399.ID	-1.765***
	(0.0117)
400.ID	-0
	(0.0117)
401.ID	-1.088***
	(0.0117)
402.ID	-1.980***
	(0.0117)
403.ID	-1.980***
	(0.0117)
404.ID	-1.588***
	(0.0117)
405.ID	-1.980***
	(0.0117)
406.ID	-0.859***
	(0.232)
407.ID	-0
	(0.0117)
408.ID	0.509***
	(0.0117)
409.ID	-2.634***
	(0.0117)
410.ID	-1.980***
	(0.0117)
411.ID	-2.071***
	(0.0871)
412.ID	-0
	(0.0117)
413.ID	-1.588***
	(0.0117)
414.ID	-1.980***
	(0.0117)
415.ID	-1.980***
	(0.0117)
416.ID	-1.765***
	(0.0117)
417.ID	-2.634***
	(0.0117)
418.ID	-1.980***
	(0.0117)
419.ID	-1.980***
	(0.0117)
420.ID	-1.765***
	(0.0117)
421.ID	-1.980***
	(0.0117)
423.ID	-0
	(0.0117)
424.ID	-0
	(0.0117)
425.ID	-0
	(0.0117)
426.ID	-1.980***
	(0.0117)
428.ID	-1.980***
	(0.0117)
429.ID	-1.980***
	(0.0117)
430.ID	0.509***
	(0.0117)
431.ID	-1.765***
	(0.0117)
432.ID	-0
	(0.0117)
433.ID	-1.980***
	(0.0117)
434.ID	-1.980***
	(0.0117)
435.ID	0.509***
	(0.0117)
436.ID	-1.765***
	(0.0117)
437.ID	-2.634***
	(0.0117)
438.ID	-0
	(0.0117)
439.ID	-0
	(0.0117)
440.ID	-1.765***
	(0.0117)
441.ID	-0
	(0.0117)
442.ID	-0.507***
	(0.0117)
445.ID	-1.980***
	(0.0117)
446.ID	-0
	(0.0117)
447.ID	-1.088***
	(0.0117)
448.ID	-0
	(0.0117)
449.ID	-0
	(0.0117)
450.ID	-1.980***
	(0.0117)
451.ID	-0
	(0.0117)
452.ID	-1.765***
	(0.0117)
453.ID	0.509***
	(0.0117)
454.ID	-1.765***
	(0.0117)
455.ID	-0
	(0.0117)
456.ID	-3.046***
	(0.210)
457.ID	0.509***
	(0.0117)
458.ID	0.509***
	(0.0117)
459.ID	-1.765***
	(0.0117)
460.ID	-1.980***
	(0.0117)
461.ID	0.509***
	(0.0117)
462.ID	-0
	(0.0117)
464.ID	-0
	(0.0117)
465.ID	-1.088***
	(0.0117)
466.ID	-0
	(0.0117)
467.ID	-0
	(0.0117)
468.ID	0.509***
	(0.0117)
469.ID	-1.980***
