	(1)
VARIABLES	llm_刑期
	
1.treated	0.0198
	(1.221)
1.ID	-0
	(0)
2.ID	144***
	(0)
3.ID	-12***
	(0)
4.ID	144***
	(0)
5.ID	-6***
	(0)
6.ID	-12***
	(0)
7.ID	144***
	(0)
8.ID	-6***
	(0)
9.ID	-12***
	(0)
10.ID	264***
	(0)
12.ID	264***
	(0)
14.ID	144***
	(0)
15.ID	-12***
	(0)
16.ID	144***
	(0)
17.ID	144***
	(0)
18.ID	-12***
	(0)
19.ID	-6***
	(0)
20.ID	144***
	(0)
21.ID	-6***
	(0)
22.ID	-0
	(0)
23.ID	144***
	(0)
24.ID	144***
	(0)
25.ID	-6***
	(0)
26.ID	-24***
	(0)
27.ID	-12***
	(0)
28.ID	-12***
	(0)
29.ID	-12***
	(0)
30.ID	-12***
	(0)
31.ID	36***
	(0)
32.ID	144***
	(0)
33.ID	144***
	(0)
34.ID	144***
	(0)
35.ID	-12***
	(0)
36.ID	-12***
	(0)
37.ID	-12***
	(0)
38.ID	-12***
	(0)
39.ID	144***
	(0)
40.ID	144***
	(0)
41.ID	-0
	(0)
42.ID	204***
	(0)
43.ID	-12***
	(0)
46.ID	-6***
	(0)
47.ID	-18***
	(0)
48.ID	144***
	(0)
49.ID	144***
	(0)
50.ID	144***
	(0)
51.ID	-12***
	(0)
52.ID	-6***
	(0)
53.ID	144***
	(0)
54.ID	-12***
	(0)
55.ID	-12***
	(0)
56.ID	144***
	(0)
57.ID	-12***
	(0)
58.ID	144***
	(0)
59.ID	12***
	(0)
60.ID	-12***
	(0)
61.ID	-12***
	(0)
62.ID	-6***
	(0)
63.ID	-12***
	(0)
64.ID	204***
	(0)
65.ID	66***
	(0)
66.ID	-6***
	(0)
67.ID	144***
	(0)
68.ID	84***
	(0)
69.ID	-12***
	(0)
70.ID	264***
	(0)
72.ID	264***
	(0)
73.ID	-12***
	(0)
74.ID	144***
	(0)
76.ID	-12***
	(0)
77.ID	-6***
	(0)
78.ID	-12***
	(0)
79.ID	-12***
	(0)
80.ID	144***
	(0)
81.ID	-12***
	(0)
82.ID	-0
	(0)
83.ID	-6***
	(0)
84.ID	144***
	(0)
85.ID	144***
	(0)
86.ID	144***
	(0)
87.ID	144***
	(0)
88.ID	264***
	(0)
89.ID	-12***
	(0)
90.ID	-12***
	(0)
91.ID	60***
	(0)
92.ID	-24***
	(0)
93.ID	-0
	(0)
94.ID	-12***
	(0)
95.ID	264***
	(0)
96.ID	-12***
	(0)
97.ID	-27***
	(0)
98.ID	24***
	(0)
99.ID	-12***
	(0)
100.ID	-6***
	(0)
101.ID	-12***
	(0)
102.ID	-24***
	(0)
103.ID	-12***
	(0)
104.ID	-12***
	(0)
105.ID	-12***
	(0)
106.ID	264***
	(0)
107.ID	264***
	(0)
108.ID	264***
	(0)
109.ID	-6***
	(0)
110.ID	-24***
	(0)
111.ID	-24***
	(0)
112.ID	144***
	(0)
113.ID	-12***
	(0)
114.ID	144***
	(0)
115.ID	144***
	(0)
116.ID	-0
	(0)
117.ID	63***
	(0)
118.ID	144***
	(0)
119.ID	264***
	(0)
120.ID	48***
	(0)
121.ID	144***
	(0)
122.ID	264***
	(0)
123.ID	264***
	(0)
125.ID	144***
	(0)
126.ID	144***
	(0)
127.ID	-18***
	(0)
128.ID	-6***
	(0)
129.ID	144***
	(0)
130.ID	-12***
	(0)
131.ID	-6***
	(0)
132.ID	-24***
	(0)
133.ID	144***
	(0)
134.ID	24***
	(0)
135.ID	144***
	(0)
136.ID	144***
	(0)
137.ID	-12***
	(0)
138.ID	264***
	(0)
139.ID	-12***
	(0)
140.ID	-0
	(0)
142.ID	-12***
	(0)
144.ID	-12***
	(0)
145.ID	-6***
	(0)
146.ID	144***
	(0)
147.ID	264***
	(0)
148.ID	144***
	(0)
149.ID	-24***
	(0)
150.ID	-12***
	(0)
151.ID	-6***
	(0)
152.ID	144***
	(0)
153.ID	144***
	(0)
154.ID	264***
	(0)
155.ID	-12***
	(0)
156.ID	-12***
	(0)
157.ID	264***
	(0)
158.ID	144***
	(0)
159.ID	-6***
	(0)
160.ID	144***
	(0)
161.ID	204***
	(0)
163.ID	24***
	(0)
164.ID	-12***
	(0)
165.ID	-12***
	(0)
166.ID	144***
	(0)
167.ID	-12***
	(0)
168.ID	144***
	(0)
169.ID	144***
	(0)
170.ID	144***
	(0)
