	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0269***
	(0.0100)
1.ID	0
	(0.0191)
2.ID	1.588***
	(0.0191)
3.ID	-0.392***
	(0.0191)
4.ID	1.588***
	(0.0191)
5.ID	-0.177***
	(0.0191)
6.ID	-0.392***
	(0.0191)
7.ID	1.588***
	(0.0191)
8.ID	-0.177***
	(0.0191)
9.ID	-0.392***
	(0.0191)
10.ID	2.096***
	(0.0191)
12.ID	2.096***
	(0.0191)
14.ID	1.588***
	(0.0191)
15.ID	-0.392***
	(0.0191)
16.ID	1.588***
	(0.0191)
17.ID	1.588***
	(0.0191)
18.ID	-0.392***
	(0.0191)
19.ID	-0.177***
	(0.0191)
20.ID	1.588***
	(0.0191)
21.ID	0
	(0.0191)
22.ID	0
	(0.0191)
23.ID	1.588***
	(0.0191)
24.ID	1.588***
	(0.0191)
25.ID	-0.177***
	(0.0191)
26.ID	-1.046***
	(0.0191)
27.ID	-0.392***
	(0.0191)
28.ID	-0.529***
	(0.125)
29.ID	-0.392***
	(0.0191)
30.ID	-0.392***
	(0.0191)
31.ID	0.680***
	(0.0191)
32.ID	1.588***
	(0.0191)
33.ID	1.588***
	(0.0191)
34.ID	1.588***
	(0.0191)
35.ID	-0.392***
	(0.0191)
36.ID	-0.392***
	(0.0191)
37.ID	-0.392***
	(0.0191)
38.ID	-0.392***
	(0.0191)
39.ID	1.588***
	(0.0191)
40.ID	1.588***
	(0.0191)
41.ID	0
	(0.0191)
42.ID	2.096***
	(0.0191)
43.ID	-0.392***
	(0.0191)
46.ID	-0.177***
	(0.0191)
47.ID	-0.666***
	(0.0191)
48.ID	1.588***
	(0.0191)
49.ID	1.588***
	(0.0191)
50.ID	1.588***
	(0.0191)
51.ID	-0.392***
	(0.0191)
52.ID	0.705
	(0.870)
53.ID	1.588***
	(0.0191)
54.ID	-0.392***
	(0.0191)
55.ID	-0.392***
	(0.0191)
56.ID	1.588***
	(0.0191)
57.ID	-0.392***
	(0.0191)
58.ID	1.588***
	(0.0191)
59.ID	0.281***
	(0.0191)
60.ID	-0.392***
	(0.0191)
61.ID	-0.392***
	(0.0191)
62.ID	-0.177***
	(0.0191)
63.ID	-0.392***
	(0.0191)
64.ID	1.874***
	(0.0191)
65.ID	1.588***
	(0.0191)
66.ID	-0.177***
	(0.0191)
67.ID	1.588***
	(0.0191)
68.ID	1.185***
	(0.0191)
69.ID	-0.392***
	(0.0191)
70.ID	2.096***
	(0.0191)
71.ID	2.096***
	(0.0191)
72.ID	2.096***
	(0.0191)
73.ID	-0.392***
	(0.0191)
74.ID	1.588***
	(0.0191)
76.ID	-0.392***
	(0.0191)
77.ID	-0.177***
	(0.0191)
78.ID	-0.392***
	(0.0191)
79.ID	-0.392***
	(0.0191)
80.ID	1.588***
	(0.0191)
81.ID	-0.392***
	(0.0191)
82.ID	0
	(0.0191)
83.ID	-0.177***
	(0.0191)
84.ID	1.588***
	(0.0191)
85.ID	1.588***
	(0.0191)
86.ID	1.588***
	(0.0191)
87.ID	1.588***
	(0.0191)
88.ID	2.096***
	(0.0191)
89.ID	-0.392***
	(0.0191)
90.ID	-0.392***
	(0.0191)
91.ID	0.964***
	(0.0191)
92.ID	-1.046***
	(0.0191)
93.ID	0
	(0.0191)
94.ID	-0.392***
	(0.0191)
95.ID	2.096***
	(0.0191)
96.ID	-0.392***
	(0.0191)
97.ID	-1.308***
	(0.0191)
98.ID	0.500***
	(0.0191)
99.ID	-0.392***
	(0.0191)
100.ID	-0.177***
	(0.0191)
101.ID	0.598
	(0.978)
102.ID	-1.046***
	(0.0191)
103.ID	-0.392***
	(0.0191)
104.ID	-0.392***
	(0.0191)
105.ID	-0.284**
	(0.122)
106.ID	2.096***
	(0.0191)
107.ID	2.096***
	(0.0191)
108.ID	2.096***
	(0.0191)
109.ID	-0.177***
	(0.0191)
110.ID	-1.046***
	(0.0191)
111.ID	-1.046***
	(0.0191)
112.ID	1.588***
	(0.0191)
113.ID	-0.392***
	(0.0191)
114.ID	1.588***
	(0.0191)
115.ID	1.588***
	(0.0191)
116.ID	0
	(0.0191)
117.ID	1.588***
	(0.0191)
118.ID	1.588***
	(0.0191)
119.ID	2.096***
	(0.0191)
120.ID	0.832***
	(0.0191)
121.ID	1.588***
	(0.0191)
122.ID	2.096***
	(0.0191)
123.ID	2.096***
	(0.0191)
125.ID	1.588***
	(0.0191)
126.ID	1.588***
	(0.0191)
127.ID	-1.046***
	(0.0191)
128.ID	-0.177***
	(0.0191)
129.ID	1.588***
	(0.0191)
130.ID	-0.392***
	(0.0191)
131.ID	-0.177***
	(0.0191)
132.ID	-1.046***
	(0.0191)
133.ID	1.588***
	(0.0191)
134.ID	0.162
	(0.326)
135.ID	-0.392***
	(0.0191)
136.ID	-0.392***
	(0.0191)
137.ID	-0.392***
	(0.0191)
138.ID	2.096***
	(0.0191)
139.ID	-0.392***
	(0.0191)
140.ID	0
	(0.0191)
142.ID	-0.392***
	(0.0191)
144.ID	-0.392***
	(0.0191)
145.ID	-0.177***
	(0.0191)
146.ID	1.588***
	(0.0191)
147.ID	2.096***
	(0.0191)
148.ID	1.588***
	(0.0191)
149.ID	-1.046***
	(0.0191)
150.ID	-0.392***
	(0.0191)
151.ID	-0.177***
	(0.0191)
152.ID	1.588***
	(0.0191)
153.ID	1.588***
	(0.0191)
154.ID	2.096***
	(0.0191)
155.ID	-0.392***
	(0.0191)
156.ID	-0.392***
	(0.0191)
157.ID	1.842***
	(0.242)
158.ID	1.588***
	(0.0191)
159.ID	-0.177***
	(0.0191)
160.ID	1.588***
	(0.0191)
161.ID	1.874***
	(0.0191)
163.ID	0.162
	(0.326)
164.ID	-0.392***
	(0.0191)
165.ID	-0.392***
	(0.0191)
166.ID	1.588***
	(0.0191)
167.ID	-0.392***
	(0.0191)
168.ID	1.588***
	(0.0191)
169.ID	1.588***
	(0.0191)
170.ID	1.588***
	(0.0191)
171.ID	-0.177***
	(0.0191)
172.ID	-0.392***
	(0.0191)
173.ID	1.588***
	(0.0191)
174.ID	1.588***
	(0.0191)
175.ID	-0.177***
	(0.0191)
176.ID	-0.392***
	(0.0191)
177.ID	1.588***
	(0.0191)
178.ID	-1.046***
	(0.0191)
179.ID	1.588***
	(0.0191)
180.ID	0.759***
	(0.0191)
181.ID	-1.046***
	(0.0191)
182.ID	-0.392***
	(0.0191)
183.ID	-0.177***
	(0.0191)
184.ID	-0.392***
	(0.0191)
185.ID	-0.177***
	(0.0191)
186.ID	1.588***
	(0.0191)
187.ID	2.096***
	(0.0191)
188.ID	1.588***
	(0.0191)
189.ID	-0.392***
	(0.0191)
190.ID	-0.392***
	(0.0191)
191.ID	-0.177***
	(0.0191)
192.ID	-0.392***
	(0.0191)
194.ID	1.406***
	(0.0191)
196.ID	-0.392***
	(0.0191)
197.ID	1.588***
	(0.0191)
198.ID	-0.392***
	(0.0191)
199.ID	-0.392***
	(0.0191)
200.ID	1.588***
	(0.0191)
201.ID	-0.392***
	(0.0191)
202.ID	1.588***
	(0.0191)
203.ID	2.096***
	(0.0191)
204.ID	2.096***
	(0.0191)
205.ID	1.588***
	(0.0191)
206.ID	-0.392***
	(0.0191)
207.ID	-0.392***
	(0.0191)
208.ID	-0.392***
	(0.0191)
209.ID	2.096***
	(0.0191)
210.ID	-0.392***
	(0.0191)
212.ID	-0.392***
	(0.0191)
213.ID	2.096***
	(0.0191)
214.ID	-0.392***
	(0.0191)
217.ID	1.588***
	(0.0191)
218.ID	-0.392***
	(0.0191)
219.ID	-0.177***
	(0.0191)
220.ID	1.588***
	(0.0191)
221.ID	1.588***
	(0.0191)
222.ID	2.096***
	(0.0191)
223.ID	-0.177***
	(0.0191)
224.ID	1.588***
	(0.0191)
225.ID	0.598
	(0.978)
226.ID	-0.529***
	(0.152)
227.ID	1.588***
	(0.0191)
228.ID	2.096***
	(0.0191)
229.ID	0.598
	(0.978)
230.ID	1.588***
	(0.0191)
231.ID	1.588***
	(0.0191)
232.ID	1.588***
	(0.0191)
233.ID	-0.177***
	(0.0191)
234.ID	1.588***
	(0.0191)
235.ID	0.500***
	(0.0191)
236.ID	2.096***
	(0.0191)
237.ID	1.588***
	(0.0191)
238.ID	1.588***
	(0.0191)
239.ID	1.588***
	(0.0191)
240.ID	1.588***
	(0.0191)
241.ID	1.588***
	(0.0191)
242.ID	-0.392***
	(0.0191)
243.ID	1.185***
	(0.0191)
244.ID	1.588***
	(0.0191)
245.ID	-0.392***
	(0.0191)
246.ID	1.588***
	(0.0191)
247.ID	1.588***
	(0.0191)
248.ID	0
	(0.0191)
249.ID	-0.392***
	(0.0191)
250.ID	2.096***
	(0.0191)
251.ID	-0.392***
	(0.0191)
252.ID	-0.177***
	(0.0191)
253.ID	-0.392***
	(0.0191)
254.ID	-0.392***
	(0.0191)
255.ID	2.096***
	(0.0191)
256.ID	1.588***
	(0.0191)
257.ID	1.588***
	(0.0191)
258.ID	-0.392***
	(0.0191)
259.ID	1.588***
	(0.0191)
260.ID	1.588***
	(0.0191)
261.ID	-1.046***
	(0.0191)
263.ID	-0.392***
	(0.0191)
264.ID	2.096***
	(0.0191)
265.ID	1.588***
	(0.0191)
266.ID	1.842***
	(0.269)
267.ID	-0.177***
	(0.0191)
268.ID	1.588***
	(0.0191)
269.ID	1.588***
	(0.0191)
270.ID	1.588***
	(0.0191)
271.ID	-0.392***
	(0.0191)
272.ID	2.096***
	(0.0191)
274.ID	-0.392***
	(0.0191)
275.ID	-0.177***
	(0.0191)
276.ID	1.185***
	(0.0191)
277.ID	1.588***
	(0.0191)
278.ID	-0.942***
	(0.0915)
279.ID	-0.177***
	(0.0191)
280.ID	1.588***
	(0.0191)
281.ID	1.588***
	(0.0191)
282.ID	-0.392***
	(0.0191)
283.ID	-0.392***
	(0.0191)
284.ID	-0.392***
	(0.0191)
285.ID	-0.392***
	(0.0191)
286.ID	-0.392***
	(0.0191)
288.ID	1.588***
	(0.0191)
289.ID	1.588***
	(0.0191)
290.ID	1.588***
	(0.0191)
291.ID	-0.392***
	(0.0191)
292.ID	1.874***
	(0.0191)
293.ID	-0.392***
	(0.0191)
294.ID	0
	(0.0191)
295.ID	1.588***
	(0.0191)
296.ID	0
	(0.0191)
297.ID	1.588***
	(0.0191)
298.ID	1.588***
	(0.0191)
299.ID	1.048
	(1.064)
300.ID	1.588***
	(0.0191)
301.ID	-0.392***
	(0.0191)
302.ID	2.096***
	(0.0191)
303.ID	0
	(0.0191)
304.ID	2.096***
	(0.0191)
305.ID	1.588***
	(0.0191)
306.ID	0
	(0.0191)
307.ID	-0.177***
	(0.0191)
308.ID	0.500***
	(0.0191)
309.ID	-0.177***
	(0.0191)
310.ID	-0.392***
	(0.0191)
311.ID	-1.665***
	(0.0191)
312.ID	1.588***
	(0.0191)
313.ID	-0.392***
	(0.0191)
314.ID	0.598
	(1.005)
315.ID	-0.392***
	(0.0191)
316.ID	1.588***
	(0.0191)
317.ID	1.588***
	(0.0191)
318.ID	1.588***
	(0.0191)
319.ID	1.588***
	(0.0191)
320.ID	0.705
	(0.870)
322.ID	2.096***
	(0.0191)
323.ID	2.096***
	(0.0191)
324.ID	-0.392***
	(0.0191)
325.ID	-0.392***
	(0.0191)
326.ID	1.588***
	(0.0191)
327.ID	1.588***
	(0.0191)
328.ID	1.588***
	(0.0191)
329.ID	-0.392***
	(0.0191)
330.ID	1.874***
	(0.0191)
331.ID	-0.392***
	(0.0191)
332.ID	1.588***
	(0.0191)
333.ID	1.588***
	(0.0191)
334.ID	-0.392***
	(0.0191)
335.ID	-0.392***
	(0.0191)
336.ID	1.519***
	(0.0191)
337.ID	-0.392***
	(0.0191)
338.ID	1.588***
	(0.0191)
339.ID	1.588***
	(0.0191)
340.ID	2.096***
	(0.0191)
341.ID	-0.177***
	(0.0191)
342.ID	-0.392***
	(0.0191)
343.ID	1.588***
	(0.0191)
344.ID	-0.177***
	(0.0191)
345.ID	1.874***
	(0.0191)
346.ID	-1.665***
	(0.0191)
347.ID	0
	(0.0191)
348.ID	-0.392***
	(0.0191)
349.ID	1.588***
	(0.0191)
350.ID	-0.392***
	(0.0191)
352.ID	1.588***
	(0.0191)
353.ID	1.185***
	(0.0191)
354.ID	-0.392***
	(0.0191)
355.ID	0
	(0.0191)
356.ID	-0.177***
	(0.0191)
357.ID	1.588***
	(0.0191)
358.ID	-0.392***
	(0.0191)
359.ID	1.588***
	(0.0191)
360.ID	-1.652***
	(0.0144)
361.ID	-0.392***
	(0.0191)
364.ID	1.874***
	(0.0191)
365.ID	-0.392***
	(0.0191)
366.ID	2.096***
	(0.0191)
369.ID	1.588***
	(0.0191)
370.ID	1.588***
	(0.0191)
372.ID	1.588***
	(0.0191)
373.ID	-0.392***
	(0.0191)
374.ID	1.588***
	(0.0191)
375.ID	-0.392***
	(0.0191)
377.ID	1.588***
	(0.0191)
378.ID	-0.392***
	(0.0191)
379.ID	-0.392***
	(0.0191)
381.ID	-1.046***
	(0.0191)
382.ID	-1.665***
	(0.0191)
383.ID	-0.392***
	(0.0191)
385.ID	1.588***
	(0.0191)
386.ID	-1.046***
	(0.0191)
387.ID	-0.392***
	(0.0191)
388.ID	-0.0885
	(0.0763)
389.ID	1.588***
	(0.0191)
390.ID	1.588***
	(0.0191)
391.ID	-0.392***
	(0.0191)
393.ID	1.588***
	(0.0191)
394.ID	1.588***
	(0.0191)
395.ID	1.588***
	(0.0191)
396.ID	1.588***
	(0.0191)
397.ID	-0.392***
	(0.0191)
398.ID	-1.046***
	(0.0191)
399.ID	-0.177***
	(0.0191)
400.ID	1.588***
	(0.0191)
401.ID	0.500***
	(0.0191)
402.ID	-0.392***
	(0.0191)
403.ID	-0.392***
	(0.0191)
404.ID	0
	(0.0191)
405.ID	-0.392***
	(0.0191)
406.ID	1.185***
	(0.0191)
407.ID	1.588***
	(0.0191)
408.ID	2.096***
	(0.0191)
409.ID	-1.046***
	(0.0191)
410.ID	-0.392***
	(0.0191)
411.ID	-0.666***
	(0.0191)
412.ID	1.588***
	(0.0191)
413.ID	0
	(0.0191)
414.ID	-0.392***
	(0.0191)
415.ID	-0.392***
	(0.0191)
416.ID	-0.177***
	(0.0191)
417.ID	-1.046***
	(0.0191)
418.ID	-0.392***
	(0.0191)
419.ID	-0.392***
	(0.0191)
420.ID	-0.177***
	(0.0191)
421.ID	-0.392***
	(0.0191)
423.ID	1.588***
	(0.0191)
424.ID	1.588***
	(0.0191)
425.ID	1.588***
	(0.0191)
426.ID	-0.392***
	(0.0191)
428.ID	-0.392***
	(0.0191)
429.ID	-0.392***
	(0.0191)
430.ID	2.096***
	(0.0191)
431.ID	-0.177***
	(0.0191)
432.ID	1.588***
	(0.0191)
433.ID	-0.392***
	(0.0191)
434.ID	-0.392***
	(0.0191)
435.ID	2.096***
	(0.0191)
436.ID	-0.177***
	(0.0191)
437.ID	-0.856***
	(0.204)
438.ID	1.588***
	(0.0191)
439.ID	1.588***
	(0.0191)
440.ID	-0.177***
	(0.0191)
441.ID	1.588***
	(0.0191)
442.ID	1.080***
	(0.0191)
445.ID	-0.392***
	(0.0191)
446.ID	1.588***
	(0.0191)
447.ID	0.500***
	(0.0191)
448.ID	1.588***
	(0.0191)
449.ID	1.588***
	(0.0191)
450.ID	-0.392***
	(0.0191)
451.ID	1.588***
	(0.0191)
452.ID	-0.177***
	(0.0191)
453.ID	2.096***
	(0.0191)
454.ID	-0.177***
	(0.0191)
455.ID	1.588***
	(0.0191)
456.ID	-1.665***
	(0.0191)
457.ID	-0.177***
	(0.0191)
458.ID	2.096***
	(0.0191)
459.ID	-0.177***
	(0.0191)
