	(1)
VARIABLES	llm_刑期
	
1.treated	-5.918***
	(1.770)
3.ID	-156***
	(0)
4.ID	0
	(0)
6.ID	-156***
	(0)
8.ID	-150***
	(0)
9.ID	-156***
	(0)
10.ID	120***
	(0)
12.ID	120***
	(0)
15.ID	-156***
	(0)
16.ID	0
	(0)
21.ID	-150***
	(0)
28.ID	-81***
	(0)
29.ID	-156***
	(0)
30.ID	-156***
	(0)
32.ID	0
	(0)
36.ID	-156***
	(0)
38.ID	-156***
	(0)
42.ID	120***
	(0)
43.ID	-156***
	(0)
46.ID	-150***
	(0)
48.ID	0
	(0)
50.ID	0
	(0)
53.ID	90***
	(0)
54.ID	-156***
	(0)
55.ID	-156***
	(0)
57.ID	-156***
	(0)
61.ID	-156***
	(0)
63.ID	-156***
	(0)
64.ID	0
	(0)
65.ID	-156***
	(0)
66.ID	-150***
	(0)
67.ID	0
	(0)
69.ID	-156***
	(0)
70.ID	60***
	(0)
71.ID	123.0***
	(0.885)
72.ID	120***
	(0)
73.ID	-78***
	(0)
74.ID	-120***
	(0)
76.ID	-156***
	(0)
78.ID	-156***
	(0)
79.ID	-156***
	(0)
80.ID	0
	(0)
81.ID	-156***
	(0)
82.ID	-72***
	(0)
83.ID	-150***
	(0)
89.ID	-156***
	(0)
90.ID	-78***
	(0)
91.ID	-42***
	(0)
96.ID	-156***
	(0)
98.ID	-120***
	(0)
99.ID	-75***
	(0)
100.ID	-75***
	(0)
102.ID	-168***
	(0)
103.ID	-156***
	(0)
105.ID	-156***
	(0)
106.ID	120***
	(0)
108.ID	120***
	(0)
109.ID	-150***
	(0)
110.ID	-168***
	(0)
111.ID	-168***
	(0)
112.ID	0
	(0)
117.ID	0
	(0)
118.ID	0
	(0)
119.ID	60***
	(0)
120.ID	-96***
	(0)
122.ID	120***
	(0)
123.ID	120***
	(0)
125.ID	0
	(0)
128.ID	-150***
	(0)
130.ID	-156***
	(0)
131.ID	-150***
	(0)
132.ID	-168***
	(0)
133.ID	0
	(0)
135.ID	0
	(0)
136.ID	-156***
	(0)
137.ID	0
	(0)
140.ID	-144***
	(0)
142.ID	-156***
	(0)
144.ID	-156***
	(0)
145.ID	-150***
	(0)
146.ID	0
	(0)
147.ID	120***
	(0)
148.ID	0
	(0)
149.ID	-168***
	(0)
150.ID	-78***
	(0)
153.ID	0
	(0)
154.ID	0
	(0)
156.ID	-156***
	(0)
157.ID	0
	(0)
158.ID	0
	(0)
159.ID	-150***
	(0)
161.ID	60***
	(0)
163.ID	-120***
	(0)
165.ID	-156***
	(0)
167.ID	-156***
	(0)
168.ID	0
	(0)
173.ID	0
	(0)
174.ID	0
	(0)
175.ID	-150***
	(0)
178.ID	-168***
	(0)
179.ID	-156***
	(0)
181.ID	-168***
	(0)
182.ID	-156***
	(0)
183.ID	-150***
	(0)
184.ID	-156***
	(0)
185.ID	120***
	(0)
186.ID	-60***
	(0)
187.ID	120***
	(0)
188.ID	0
	(0)
189.ID	-150***
	(0)
192.ID	-156***
	(0)
194.ID	0
	(0)
197.ID	0
	(0)
198.ID	-156***
	(0)
200.ID	0
	(0)
204.ID	120***
	(0)
205.ID	0
	(0)
206.ID	-156***
	(0)
207.ID	-156***
	(0)
212.ID	-156***
	(0)
213.ID	120***
	(0)
214.ID	0
	(0)
218.ID	-156***
	(0)
219.ID	-150***
	(0)
222.ID	120***
	(0)
223.ID	120***
	(0)
225.ID	0
	(0)
226.ID	-162***
	(0)
227.ID	0
	(0)
228.ID	120***
	(0)
229.ID	0
	(0)
233.ID	-150***
	(0)
234.ID	0
	(0)
235.ID	-120***
	(0)
236.ID	120***
	(0)
237.ID	0
	(0)
238.ID	0
	(0)
240.ID	0
	(0)
245.ID	-156***
	(0)
246.ID	0
	(0)
247.ID	0
	(0)
253.ID	-156***
	(0)
255.ID	120***
	(0)
257.ID	0
	(0)
258.ID	-78***
	(0)
259.ID	0
	(0)
260.ID	0
	(0)
261.ID	-168***
	(0)
263.ID	-156***
	(0)
264.ID	120***
	(0)
267.ID	-150***
	(0)
269.ID	-156***
	(0)
270.ID	0
	(0)
277.ID	0
	(0)
278.ID	-165***
	(0)
280.ID	0
	(0)
282.ID	-156***
	(0)
283.ID	-156***
	(0)
284.ID	-156***
	(0)
285.ID	-156***
	(0)
286.ID	-156***
	(0)
289.ID	0
	(0)
290.ID	0
	(0)
