	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00156
	(0.00307)
1.ID	-1.588***
	(0.00110)
2.ID	-0
	(0.00110)
3.ID	-1.980***
	(0.00110)
4.ID	-0
	(0.00110)
5.ID	-1.765***
	(0.00110)
6.ID	-1.980***
	(0.00110)
7.ID	-1.980***
	(0.00110)
8.ID	-1.765***
	(0.00110)
9.ID	-1.980***
	(0.00110)
10.ID	0.509***
	(0.00110)
11.ID	-1.088***
	(0.00110)
12.ID	-1.765***
	(0.00110)
13.ID	-1.980***
	(0.00110)
14.ID	-0
	(0.00110)
15.ID	-1.980***
	(0.00110)
16.ID	-0
	(0.00110)
18.ID	-1.980***
	(0.00110)
19.ID	-1.765***
	(0.00110)
20.ID	-1.980***
	(0.00110)
21.ID	-1.765***
	(0.00110)
22.ID	-1.588***
	(0.00110)
23.ID	-1.980***
	(0.00110)
24.ID	-0
	(0.00110)
25.ID	-1.765***
	(0.00110)
26.ID	-2.634***
	(0.00110)
27.ID	-1.980***
	(0.00110)
28.ID	-1.980***
	(0.00110)
29.ID	-1.980***
	(0.00110)
30.ID	-1.980***
	(0.00110)
31.ID	-0.908***
	(0.00110)
32.ID	-0
	(0.00110)
33.ID	-0
	(0.00110)
34.ID	-0
	(0.00110)
35.ID	-1.980***
	(0.00110)
36.ID	-1.980***
	(0.00110)
37.ID	-1.980***
	(0.00110)
38.ID	-1.980***
	(0.00110)
39.ID	-0
	(0.00110)
40.ID	-0
	(0.00110)
41.ID	-1.588***
	(0.00110)
42.ID	0.509***
	(0.00110)
43.ID	-1.980***
	(0.00110)
46.ID	-1.765***
	(0.00110)
47.ID	-2.254***
	(0.00110)
48.ID	-0
	(0.00110)
49.ID	-0
	(0.00110)
50.ID	-0
	(0.00110)
51.ID	-1.980***
	(0.00110)
52.ID	-1.765***
	(0.00110)
53.ID	-1.765***
	(0.00110)
54.ID	-1.980***
	(0.00110)
55.ID	-1.980***
	(0.00110)
56.ID	-1.765***
	(0.00110)
57.ID	-1.980***
	(0.00110)
58.ID	-0
	(0.00110)
59.ID	-1.307***
	(0.00110)
60.ID	-1.980***
	(0.00110)
61.ID	-1.980***
	(0.00110)
62.ID	-1.765***
	(0.00110)
63.ID	0.286***
	(0.00110)
64.ID	-0
	(0.00110)
65.ID	-1.980***
	(0.00110)
66.ID	-1.765***
	(0.00110)
67.ID	-0
	(0.00110)
68.ID	-0.403***
	(0.00110)
69.ID	-1.980***
	(0.00110)
70.ID	0.509***
	(0.00110)
71.ID	0.509***
	(0.00110)
72.ID	0.509***
	(0.00110)
73.ID	-1.980***
	(0.00110)
74.ID	-1.088***
	(0.00110)
75.ID	0.509***
	(0.00110)
76.ID	-1.980***
	(0.00110)
77.ID	-1.765***
	(0.00110)
78.ID	-1.980***
	(0.00110)
79.ID	-1.980***
	(0.00110)
80.ID	-0
	(0.00110)
81.ID	-1.980***
	(0.00110)
82.ID	-1.588***
	(0.00110)
83.ID	-1.765***
	(0.00110)
84.ID	-0
	(0.00110)
85.ID	-0
	(0.00110)
86.ID	-0
	(0.00110)
87.ID	-0
	(0.00110)
88.ID	0.509***
	(0.00110)
89.ID	-1.980***
	(0.00110)
90.ID	-1.588***
	(0.00110)
91.ID	-0.624***
	(0.00110)
92.ID	-2.634***
	(0.00110)
93.ID	-1.588***
	(0.00110)
94.ID	-1.980***
	(0.00110)
95.ID	0.509***
	(0.00110)
96.ID	-1.980***
	(0.00110)
97.ID	-2.896***
	(0.00110)
98.ID	-1.088***
	(0.00110)
99.ID	-1.765***
	(0.00110)
100.ID	-1.765***
	(0.00110)
101.ID	-1.980***
	(0.00110)
102.ID	-2.634***
	(0.00110)
103.ID	-1.980***
	(0.00110)
104.ID	-1.980***
	(0.00110)
105.ID	-1.980***
	(0.00110)
106.ID	-0
	(0.00110)
107.ID	0.509***
	(0.00110)
108.ID	0.509***
	(0.00110)
109.ID	-1.765***
	(0.00110)
110.ID	-2.634***
	(0.00110)
111.ID	-2.307***
	(0.326)
112.ID	-0
	(0.00110)
113.ID	-1.980***
	(0.00110)
114.ID	-0
	(0.00110)
115.ID	-0
	(0.00110)
116.ID	-1.588***
	(0.00110)
117.ID	-0
	(0.00110)
118.ID	-0
	(0.00110)
119.ID	0.509***
	(0.00110)
120.ID	-0.756***
	(0.00110)
121.ID	-0
	(0.00110)
122.ID	0.509***
	(0.00110)
123.ID	-1.765***
	(0.00110)
124.ID	0.509***
	(0.00110)
125.ID	-0
	(0.00110)
126.ID	-0
	(0.00110)
127.ID	-2.634***
	(0.00110)
128.ID	-1.765***
	(0.00110)
129.ID	-0
	(0.00110)
130.ID	-2.254***
	(0.00110)
131.ID	-1.765***
	(0.00110)
132.ID	-2.634***
	(0.00110)
133.ID	-0
	(0.00110)
134.ID	-1.088***
	(0.00110)
135.ID	-1.980***
	(0.00110)
136.ID	-1.980***
	(0.00110)
137.ID	-0
	(0.00110)
138.ID	0.509***
	(0.00110)
139.ID	-1.980***
	(0.00110)
140.ID	-1.588***
	(0.00110)
141.ID	-0
	(0.00110)
142.ID	-1.980***
	(0.00110)
144.ID	-1.765***
	(0.00110)
145.ID	-1.765***
	(0.00110)
146.ID	-0
	(0.00110)
147.ID	0.509***
	(0.00110)
148.ID	-0
	(0.00110)
149.ID	-2.634***
	(0.00110)
150.ID	-1.980***
	(0.00110)
151.ID	-1.765***
	(0.00110)
152.ID	-0
	(0.00110)
153.ID	-0
	(0.00110)
154.ID	-0
	(0.00110)
155.ID	-1.980***
	(0.00110)
156.ID	-1.980***
	(0.00110)
157.ID	-0
	(0.00110)
158.ID	-0
	(0.00110)
159.ID	-1.765***
	(0.00110)
160.ID	-0
	(0.00110)
161.ID	0.286***
	(0.00110)
162.ID	-1.588***
	(0.00110)
163.ID	-1.088***
	(0.00110)
164.ID	-1.980***
	(0.00110)
165.ID	-1.980***
	(0.00110)
166.ID	-0
	(0.00110)
167.ID	-1.980***
	(0.00110)
168.ID	-0
	(0.00110)
169.ID	-0
	(0.00110)
170.ID	-1.765***
	(0.00110)
171.ID	-1.765***
	(0.00110)
172.ID	-1.980***
	(0.00110)
173.ID	-0
	(0.00110)
174.ID	-0
	(0.00110)
175.ID	-1.765***
	(0.00110)
176.ID	-1.980***
	(0.00110)
177.ID	-0
	(0.00110)
178.ID	-3.253***
	(0.00110)
179.ID	-1.980***
	(0.00110)
180.ID	-0.829***
	(0.00110)
181.ID	-2.634***
	(0.00110)
182.ID	-1.980***
	(0.00110)
183.ID	-1.765***
	(0.00110)
184.ID	-1.980***
	(0.00110)
185.ID	-1.765***
	(0.00110)
186.ID	-0.403***
	(0.00110)
187.ID	0.509***
	(0.00110)
188.ID	0.286***
	(0.00110)
189.ID	-1.872***
	(0.107)
190.ID	-1.980***
	(0.00110)
191.ID	-1.765***
	(0.00110)
192.ID	-1.980***
	(0.00110)
194.ID	-0
	(0.00110)
196.ID	-1.980***
	(0.00110)
197.ID	-0
	(0.00110)
198.ID	-1.980***
	(0.00110)
199.ID	-1.980***
	(0.00110)
200.ID	-0
	(0.00110)
201.ID	-1.980***
	(0.00110)
202.ID	-0
	(0.00110)
203.ID	0.509***
	(0.00110)
204.ID	0.509***
	(0.00110)
205.ID	-0.154
	(0.153)
206.ID	-1.980***
	(0.00110)
207.ID	-1.980***
	(0.00110)
208.ID	-1.980***
	(0.00110)
209.ID	-0
	(0.00110)
210.ID	-1.980***
	(0.00110)
212.ID	-1.980***
	(0.00110)
213.ID	0.509***
	(0.00110)
214.ID	-1.980***
	(0.00110)
217.ID	-0
	(0.00110)
218.ID	-1.980***
	(0.00110)
219.ID	-1.765***
	(0.00110)
220.ID	-0
	(0.00110)
221.ID	-0
	(0.00110)
222.ID	-1.765***
	(0.00110)
223.ID	-1.765***
	(0.00110)
224.ID	-0
	(0.00110)
225.ID	-1.980***
	(0.00110)
226.ID	-2.254***
	(0.00110)
227.ID	-0
	(0.00110)
228.ID	-0
	(0.00110)
229.ID	-0
	(0.00110)
230.ID	-0
	(0.00110)
231.ID	-1.765***
	(0.00110)
232.ID	-0
	(0.00110)
233.ID	-1.765***
	(0.00110)
234.ID	-0
	(0.00110)
235.ID	-1.088***
	(0.00110)
236.ID	0.509***
	(0.00110)
237.ID	-0
	(0.00110)
238.ID	-0
	(0.00110)
239.ID	-0
	(0.00110)
240.ID	-0
	(0.00110)
241.ID	-0
	(0.00110)
242.ID	-1.980***
	(0.00110)
243.ID	-0.403***
	(0.00110)
244.ID	-0
	(0.00110)
245.ID	-1.980***
	(0.00110)
246.ID	-0
	(0.00110)
247.ID	-0
	(0.00110)
248.ID	-1.588***
	(0.00110)
249.ID	-1.980***
	(0.00110)
250.ID	0.509***
	(0.00110)
251.ID	-1.980***
	(0.00110)
252.ID	-1.765***
	(0.00110)
253.ID	-1.980***
	(0.00110)
254.ID	-1.980***
	(0.00110)
255.ID	0.509***
	(0.00110)
256.ID	-0
	(0.00110)
257.ID	-0
	(0.00110)
258.ID	-1.980***
	(0.00110)
260.ID	-0
	(0.00110)
261.ID	-2.634***
	(0.00110)
263.ID	-1.980***
	(0.00110)
264.ID	0.509***
	(0.00110)
265.ID	0.509***
	(0.00110)
266.ID	-0
	(0.00110)
267.ID	-1.765***
	(0.00110)
268.ID	-0
	(0.00110)
269.ID	-1.980***
	(0.00110)
270.ID	-0
	(0.00110)
271.ID	-0.882
	(0.883)
272.ID	0.509***
	(0.00110)
274.ID	-1.980***
	(0.00110)
275.ID	-1.765***
	(0.00110)
276.ID	-0.403***
	(0.00110)
277.ID	-0
	(0.00110)
278.ID	-2.426***
	(0.00110)
279.ID	-1.765***
	(0.00110)
280.ID	-0
	(0.00110)
281.ID	-0
	(0.00110)
282.ID	-2.254***
	(0.00110)
283.ID	-1.980***
	(0.00110)
284.ID	-1.980***
	(0.00110)
285.ID	-1.980***
	(0.00110)
286.ID	-1.980***
	(0.00110)
288.ID	-0
	(0.00110)
289.ID	-0
	(0.00110)
290.ID	-0
	(0.00110)
291.ID	-1.980***
	(0.00110)
292.ID	0.286***
	(0.00110)
293.ID	-1.980***
	(0.00110)
294.ID	-1.588***
	(0.00110)
295.ID	-0
	(0.00110)
296.ID	-1.307***
	(0.00110)
297.ID	0.509***
	(0.00110)
298.ID	-0
	(0.00110)
299.ID	0.509***
	(0.00110)
300.ID	-1.765***
	(0.00110)
301.ID	-1.980***
	(0.00110)
302.ID	-1.765***
	(0.00110)
303.ID	-1.588***
	(0.00110)
304.ID	0.509***
	(0.00110)
305.ID	-0
	(0.00110)
306.ID	-1.588***
	(0.00110)
307.ID	-1.437***
	(0.00110)
308.ID	-1.088***
	(0.00110)
309.ID	-1.765***
	(0.00110)
310.ID	-1.980***
	(0.00110)
311.ID	-3.253***
	(0.00110)
312.ID	-0
	(0.00110)
313.ID	-1.765***
	(0.00110)
314.ID	-1.980***
	(0.00110)
315.ID	-1.980***
	(0.00110)
317.ID	-0
	(0.00110)
318.ID	-0
	(0.00110)
319.ID	-0
	(0.00110)
320.ID	-1.980***
	(0.00110)
321.ID	-1.588***
	(0.00110)
322.ID	0.509***
	(0.00110)
323.ID	-1.765***
	(0.00110)
324.ID	-0
	(0.00110)
325.ID	-1.980***
	(0.00110)
326.ID	-0
	(0.00110)
327.ID	-0
	(0.00110)
328.ID	-0
	(0.00110)
329.ID	-1.980***
	(0.00110)
330.ID	0.286***
	(0.00110)
331.ID	-1.980***
	(0.00110)
332.ID	-0
	(0.00110)
333.ID	-0
	(0.00110)
334.ID	-1.980***
	(0.00110)
335.ID	-1.980***
	(0.00110)
336.ID	-0.0686***
	(0.00110)
337.ID	-1.980***
	(0.00110)
338.ID	-0
	(0.00110)
339.ID	-0
	(0.00110)
340.ID	0.509***
	(0.00110)
341.ID	-1.765***
	(0.00110)
342.ID	-1.980***
	(0.00110)
343.ID	-0
	(0.00110)
345.ID	-0
	(0.00110)
346.ID	-3.253***
	(0.00110)
347.ID	-1.588***
	(0.00110)
348.ID	-1.980***
	(0.00110)
349.ID	-3.253***
	(0.00110)
350.ID	-1.980***
	(0.00110)
352.ID	-0
	(0.00110)
353.ID	-0.403***
	(0.00110)
354.ID	-1.980***
	(0.00110)
355.ID	-1.588***
	(0.00110)
356.ID	-1.765***
	(0.00110)
357.ID	-0
	(0.00110)
358.ID	-1.980***
	(0.00110)
359.ID	-0
	(0.00110)
361.ID	-1.980***
	(0.00110)
364.ID	-0
	(0.00110)
365.ID	-1.980***
	(0.00110)
366.ID	0.509***
	(0.00110)
369.ID	-0
	(0.00110)
370.ID	-1.980***
	(0.00110)
371.ID	-1.980***
	(0.00110)
372.ID	-2.801***
	(0.00110)
373.ID	-1.980***
	(0.00110)
374.ID	-0
	(0.00110)
375.ID	-1.980***
	(0.00110)
377.ID	-1.980***
	(0.00110)
378.ID	-1.980***
	(0.00110)
379.ID	-0
	(0.00110)
381.ID	-2.634***
	(0.00110)
382.ID	-3.253***
	(0.00110)
383.ID	-1.980***
	(0.00110)
385.ID	-0
	(0.00110)
386.ID	-2.634***
	(0.00110)
387.ID	-1.980***
	(0.00110)
388.ID	-1.765***
	(0.00110)
389.ID	-0
	(0.00110)
390.ID	0.509***
	(0.00110)
391.ID	-1.980***
	(0.00110)
392.ID	-2.634***
	(0.00110)
393.ID	-0
	(0.00110)
395.ID	0.509***
	(0.00110)
396.ID	-0
	(0.00110)
397.ID	-1.980***
	(0.00110)
398.ID	-1.980***
	(0.00110)
399.ID	-1.765***
	(0.00110)
400.ID	-0
	(0.00110)
401.ID	-1.088***
	(0.00110)
402.ID	-1.980***
	(0.00110)
403.ID	-1.980***
	(0.00110)
404.ID	-1.588***
	(0.00110)
405.ID	-1.980***
	(0.00110)
406.ID	-0.403***
	(0.00110)
407.ID	-0
	(0.00110)
408.ID	0.509***
	(0.00110)
409.ID	-2.634***
	(0.00110)
410.ID	-1.980***
	(0.00110)
411.ID	-2.254***
	(0.00110)
412.ID	-0
	(0.00110)
413.ID	-1.588***
	(0.00110)
414.ID	-1.980***
	(0.00110)
415.ID	-1.980***
	(0.00110)
417.ID	-2.634***
	(0.00110)
418.ID	-1.980***
	(0.00110)
419.ID	-1.980***
	(0.00110)
420.ID	-1.765***
	(0.00110)
421.ID	-1.980***
	(0.00110)
423.ID	-0
	(0.00110)
424.ID	-0
	(0.00110)
425.ID	-0
	(0.00110)
426.ID	-1.980***
	(0.00110)
428.ID	-1.980***
	(0.00110)
429.ID	-1.980***
	(0.00110)
430.ID	0.509***
	(0.00110)
431.ID	-1.765***
	(0.00110)
432.ID	-0
	(0.00110)
433.ID	-1.980***
	(0.00110)
434.ID	-1.980***
	(0.00110)
435.ID	0.509***
	(0.00110)
436.ID	-1.765***
	(0.00110)
437.ID	-2.634***
	(0.00110)
438.ID	-0
	(0.00110)
439.ID	-0
	(0.00110)
440.ID	-1.765***
	(0.00110)
441.ID	-0
	(0.00110)
442.ID	-0
	(0.00110)
443.ID	-1.980***
	(0.00110)
444.ID	0.286***
	(0.00110)
445.ID	-1.980***
	(0.00110)
446.ID	-0
	(0.00110)
447.ID	-1.088***
	(0.00110)
448.ID	-0
	(0.00110)
449.ID	-0
	(0.00110)
450.ID	-1.980***
	(0.00110)
451.ID	-0
	(0.00110)
452.ID	-1.765***
	(0.00110)
453.ID	0.509***
	(0.00110)
454.ID	-1.765***
	(0.00110)
455.ID	-0
	(0.00110)
456.ID	-2.943***
	(0.309)
457.ID	-1.765***
	(0.00110)
458.ID	-0
	(0.00110)
459.ID	-1.765***
	(0.00110)
460.ID	-1.980***
	(0.00110)
461.ID	0.509***
	(0.00110)
462.ID	-0
	(0.00110)
