	(1)
VARIABLES	llm_刑期
	
1.treated	-3.843
	(5.475)
42.ID	288***
	(0)
77.ID	18***
	(0)
84.ID	168***
	(0)
92.ID	-0
	(0)
104.ID	12***
	(0)
173.ID	168***
	(0)
187.ID	288***
	(0)
205.ID	168***
	(0)
210.ID	12***
	(0)
250.ID	288***
	(0)
267.ID	18***
	(0)
272.ID	288***
	(0)
274.ID	12***
	(0)
276.ID	108***
	(0)
302.ID	288***
	(0)
324.ID	168***
	(0)
370.ID	168***
	(0)
393.ID	168***
	(0)
406.ID	108.5***
	(0)
438.ID	168***
	(0)
441.ID	168***
	(0)
447.ID	48***
	(0)
451.ID	168***
	(0)
457.ID	288***
	(0)
458.ID	288***
	(0)
461.ID	288***
	(0)
465.ID	48***
	(0)
470.ID	168***
	(0)
471.ID	153***
	(0)
480.ID	48***
	(0)
482.ID	288***
	(0)
485.ID	288***
	(0)
494.ID	168***
	(0)
495.ID	168***
	(0)
549.ID	168***
	(0)
595.ID	12***
	(0)
682.ID	288***
	(0)
717.ID	12***
	(0)
749.ID	24***
	(0)
761.ID	168***
	(0)
771.ID	168***
	(0)
828.ID	168***
	(0)
874.ID	12***
	(0)
885.ID	108***
	(0)
902.ID	288***
	(0)
913.ID	12***
	(0)
941.ID	24***
	(0)
979.ID	78***
	(0)
986.ID	18***
	(0)
1043.ID	288***
	(0)
1049.ID	12***
	(0)
1078.ID	24***
	(0)
1086.ID	168***
	(0)
1104.ID	168***
	(0)
1145.ID	168***
	(0)
1161.ID	168***
	(0)
1239.ID	60***
	(0)
1241.ID	18***
	(0)
1254.ID	168***
	(0)
1255.ID	18***
	(0)
1259.ID	108***
	(0)
1267.ID	168***
	(0)
1292.ID	12***
	(0)
1300.ID	12***
	(0)
1364.ID	168***
	(0)
1373.ID	-0
	(0)
1381.ID	12***
	(0)
1467.ID	288***
	(0)
1532.ID	288***
	(0)
Constant	13.92***
	(2.737)
	
Observations	140
R-squared	0.976
Robust standard errors in parentheses	
*** p<0.01, ** p<0.05, * p<0.1	
