	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0173*
	(0.00966)
4.ID	0
	(0.0122)
5.ID	-1.765***
	(0.0122)
7.ID	0
	(0.0122)
9.ID	-1.980***
	(0.0122)
12.ID	0.509***
	(0.0122)
14.ID	0
	(0.0122)
17.ID	0
	(0.0122)
18.ID	-1.980***
	(0.0122)
19.ID	-1.765***
	(0.0122)
20.ID	0
	(0.0122)
21.ID	-1.765***
	(0.0122)
22.ID	-1.588***
	(0.0122)
24.ID	0
	(0.0122)
25.ID	-1.676***
	(0.0977)
27.ID	-1.980***
	(0.0122)
30.ID	-1.980***
	(0.0122)
31.ID	-0.908***
	(0.0122)
32.ID	0
	(0.0122)
34.ID	0
	(0.0122)
35.ID	-1.980***
	(0.0122)
36.ID	-1.980***
	(0.0122)
37.ID	-1.980***
	(0.0122)
40.ID	0
	(0.0122)
43.ID	-1.980***
	(0.0122)
46.ID	-1.765***
	(0.0122)
47.ID	-2.254***
	(0.0122)
49.ID	0
	(0.0122)
51.ID	-1.980***
	(0.0122)
52.ID	-1.765***
	(0.0122)
55.ID	-1.980***
	(0.0122)
56.ID	0
	(0.0122)
57.ID	-1.980***
	(0.0122)
58.ID	0
	(0.0122)
59.ID	-1.307***
	(0.0122)
60.ID	-1.980***
	(0.0122)
61.ID	-0.990
	(0.984)
62.ID	-1.765***
	(0.0122)
64.ID	0
	(0.0122)
65.ID	-1.980***
	(0.0122)
68.ID	-0.403***
	(0.0122)
71.ID	0.500***
	(0.00991)
72.ID	0.509***
	(0.0122)
73.ID	-0.990
	(1.001)
74.ID	0
	(0.0122)
78.ID	-1.980***
	(0.0122)
79.ID	-1.980***
	(0.0122)
80.ID	0
	(0.0122)
83.ID	-1.765***
	(0.0122)
85.ID	0
	(0.0122)
86.ID	0
	(0.0122)
88.ID	0.509***
	(0.0122)
93.ID	-1.588***
	(0.0122)
94.ID	-1.980***
	(0.0122)
95.ID	0.509***
	(0.0122)
97.ID	-2.896***
	(0.0122)
100.ID	-1.765***
	(0.0122)
101.ID	-1.980***
	(0.0122)
102.ID	-2.634***
	(0.0122)
105.ID	-1.980***
	(0.0122)
110.ID	-2.634***
	(0.0122)
111.ID	-2.634***
	(0.0122)
113.ID	-1.980***
	(0.0122)
114.ID	0
	(0.0122)
115.ID	0
	(0.0122)
116.ID	-1.588***
	(0.0122)
117.ID	0
	(0.0122)
119.ID	0.509***
	(0.0122)
120.ID	-0.756***
	(0.0122)
121.ID	0
	(0.0122)
123.ID	0.509***
	(0.0122)
125.ID	0
	(0.0122)
126.ID	0
	(0.0122)
128.ID	-1.765***
	(0.0122)
129.ID	0
	(0.0122)
131.ID	-1.765***
	(0.0122)
132.ID	-2.634***
	(0.0122)
134.ID	-1.088***
	(0.0122)
135.ID	-1.980***
	(0.0122)
137.ID	0
	(0.0122)
138.ID	0.509***
	(0.0122)
139.ID	-1.980***
	(0.0122)
142.ID	-1.980***
	(0.0122)
147.ID	0.509***
	(0.0122)
149.ID	-2.444***
	(0.182)
151.ID	-1.765***
	(0.0122)
152.ID	-0.990
	(1.001)
153.ID	0
	(0.0122)
154.ID	0
	(0.0122)
155.ID	-1.980***
	(0.0122)
156.ID	-1.980***
	(0.0122)
158.ID	0
	(0.0122)
159.ID	-1.765***
	(0.0122)
160.ID	0
	(0.0122)
163.ID	-1.088***
	(0.0122)
164.ID	-1.980***
	(0.0122)
166.ID	0
	(0.0122)
168.ID	0
	(0.0122)
169.ID	0
	(0.0122)
170.ID	-1.765***
	(0.0122)
171.ID	-1.765***
	(0.0122)
172.ID	-1.980***
	(0.0122)
175.ID	-1.765***
	(0.0122)
176.ID	-1.980***
	(0.0122)
178.ID	-2.634***
	(0.0122)
179.ID	-0.990
	(0.984)
180.ID	-0.829***
	(0.0122)
181.ID	-2.634***
	(0.0122)
183.ID	-1.765***
	(0.0122)
185.ID	0.509***
	(0.0122)
188.ID	0
	(0.0122)
190.ID	-1.980***
	(0.0122)
191.ID	-1.765***
	(0.0122)
196.ID	-1.980***
	(0.0122)
197.ID	0
	(0.0122)
199.ID	-1.980***
	(0.0122)
200.ID	0
	(0.0122)
201.ID	-1.980***
	(0.0122)
202.ID	0
	(0.0122)
203.ID	0.509***
	(0.0122)
206.ID	-1.980***
	(0.0122)
207.ID	-1.980***
	(0.0122)
213.ID	0.509***
	(0.0122)
214.ID	0
	(0.0122)
218.ID	-1.980***
	(0.0122)
219.ID	-1.765***
	(0.0122)
222.ID	-0.628
	(1.131)
224.ID	0
	(0.0122)
225.ID	0
	(0.0122)
230.ID	0
	(0.0122)
231.ID	-1.765***
	(0.0122)
232.ID	-1.980***
	(0.0122)
233.ID	-1.765***
	(0.0122)
239.ID	0.509***
	(0.0122)
240.ID	0
	(0.0122)
242.ID	-1.980***
	(0.0122)
243.ID	-0.403***
	(0.0122)
244.ID	0.143
	(0.135)
245.ID	-1.980***
	(0.0122)
247.ID	0
	(0.0122)
251.ID	-1.980***
	(0.0122)
254.ID	-1.980***
	(0.0122)
255.ID	0.509***
	(0.0122)
258.ID	-1.980***
	(0.0122)
259.ID	0
	(0.0122)
260.ID	0
	(0.0122)
261.ID	-2.634***
	(0.0122)
264.ID	0.254
	(0.246)
266.ID	0
	(0.0122)
269.ID	0
	(0.0122)
271.ID	-1.980***
	(0.0122)
278.ID	-2.426***
	(0.0122)
279.ID	-1.765***
	(0.0122)
280.ID	0
	(0.0122)
281.ID	0
	(0.0122)
282.ID	-2.254***
	(0.0122)
284.ID	-1.980***
	(0.0122)
285.ID	-1.980***
	(0.0122)
286.ID	-1.980***
	(0.0122)
288.ID	0
	(0.0122)
289.ID	0
	(0.0122)
292.ID	0
	(0.0122)
293.ID	-1.980***
	(0.0122)
294.ID	-1.588***
	(0.0122)
296.ID	-1.307***
	(0.0122)
303.ID	-1.307***
	(0.0122)
304.ID	0.509***
	(0.0122)
305.ID	0
	(0.0122)
306.ID	-1.588***
	(0.0122)
310.ID	-1.980***
	(0.0122)
312.ID	0
	(0.0122)
313.ID	-1.765***
	(0.0122)
316.ID	-1.588***
	(0.0122)
317.ID	0
	(0.0122)
318.ID	0
	(0.0122)
322.ID	0.509***
	(0.0122)
323.ID	-1.765***
	(0.0122)
325.ID	-1.980***
	(0.0122)
330.ID	0.286***
	(0.0122)
331.ID	-1.980***
	(0.0122)
332.ID	0
	(0.0122)
334.ID	-1.980***
	(0.0122)
337.ID	-1.980***
	(0.0122)
339.ID	0
	(0.0122)
341.ID	-1.765***
	(0.0122)
342.ID	-1.980***
	(0.0122)
343.ID	0
	(0.0122)
345.ID	0.509***
	(0.0122)
347.ID	-1.588***
	(0.0122)
349.ID	-3.253***
	(0.0122)
352.ID	0
	(0.0122)
353.ID	-0.403***
	(0.0122)
355.ID	-1.588***
	(0.0122)
358.ID	-1.980***
	(0.0122)
359.ID	0
	(0.0122)
364.ID	0.143
	(0.152)
365.ID	-1.980***
	(0.0122)
366.ID	0.509***
	(0.0122)
369.ID	0
	(0.0122)
375.ID	-1.980***
	(0.0122)
377.ID	-0.990
	(0.984)
379.ID	-1.872***
	(0.0996)
381.ID	-2.307***
	(0.319)
382.ID	-3.253***
	(0.0122)
383.ID	-1.980***
	(0.0122)
386.ID	-2.634***
	(0.0122)
387.ID	-2.117***
	(0.146)
388.ID	-1.765***
	(0.0122)
397.ID	-1.980***
	(0.0122)
398.ID	-2.634***
	(0.0122)
399.ID	-1.765***
	(0.0122)
404.ID	-1.588***
	(0.0122)
405.ID	-1.980***
	(0.0122)
408.ID	0.509***
	(0.0122)
410.ID	-1.980***
	(0.0122)
411.ID	-2.254***
	(0.0122)
412.ID	0
	(0.0122)
416.ID	-1.765***
	(0.0122)
417.ID	-2.634***
	(0.0122)
418.ID	-0.990
	(0.984)
419.ID	-1.980***
	(0.0122)
420.ID	-1.765***
	(0.0122)
421.ID	-1.980***
	(0.0122)
423.ID	0
	(0.0122)
424.ID	0
	(0.0122)
425.ID	0
	(0.0122)
426.ID	-1.980***
	(0.0122)
428.ID	-1.980***
	(0.0122)
429.ID	-1.980***
	(0.0122)
431.ID	-1.765***
	(0.0122)
434.ID	-1.980***
	(0.0122)
437.ID	-2.444***
	(0.182)
442.ID	0
	(0.0122)
446.ID	0
	(0.0122)
449.ID	0
	(0.0122)
454.ID	-1.765***
	(0.0122)
455.ID	0
	(0.0122)
462.ID	0
	(0.0122)
466.ID	0
	(0.0122)
469.ID	-1.980***
	(0.0122)
474.ID	0
	(0.0122)
477.ID	0.286***
	(0.0122)
483.ID	-2.634***
	(0.0122)
488.ID	0.509***
	(0.0122)
489.ID	-2.254***
	(0.0122)
491.ID	-2.642***
	(0.00991)
493.ID	-1.980***
	(0.0122)
497.ID	-1.765***
	(0.0122)
499.ID	-1.437***
	(0.0122)
502.ID	-3.253***
	(0.0122)
503.ID	-0.624***
	(0.0122)
504.ID	0
	(0.0122)
505.ID	-1.088***
	(0.0122)
514.ID	0.509***
	(0.0122)
518.ID	-1.980***
	(0.0122)
519.ID	-2.254***
	(0.0122)
520.ID	0
	(0.0122)
521.ID	0.286***
	(0.0122)
524.ID	0
	(0.0122)
526.ID	0
	(0.0122)
527.ID	0
	(0.0122)
530.ID	-1.765***
	(0.0122)
535.ID	-1.980***
	(0.0122)
536.ID	0
	(0.0122)
538.ID	-0.403***
	(0.0122)
539.ID	-1.980***
	(0.0122)
540.ID	-1.980***
	(0.0122)
544.ID	-1.980***
	(0.0122)
546.ID	-1.980***
	(0.0122)
550.ID	0
	(0.0122)
552.ID	-1.980***
	(0.0122)
553.ID	0
	(0.0122)
555.ID	0
	(0.0122)
558.ID	0
	(0.0122)
559.ID	0
	(0.0122)
560.ID	0.509***
	(0.0122)
565.ID	-1.980***
	(0.0122)
568.ID	-1.980***
	(0.0122)
573.ID	-1.980***
	(0.0122)
574.ID	0
	(0.0122)
575.ID	0
	(0.0122)
577.ID	0
	(0.0122)
578.ID	-1.601***
	(0.173)
579.ID	0
	(0.0122)
580.ID	0
	(0.0122)
581.ID	0
	(0.0122)
583.ID	-1.980***
	(0.0122)
585.ID	0.509***
	(0.0122)
587.ID	-1.765***
	(0.0122)
588.ID	-1.980***
	(0.0122)
590.ID	0
	(0.0122)
594.ID	-2.634***
	(0.0122)
599.ID	-1.980***
	(0.0122)
600.ID	-1.980***
	(0.0122)
604.ID	0
	(0.0122)
606.ID	0.509***
	(0.0122)
607.ID	0
	(0.0122)
608.ID	-1.980***
	(0.0122)
610.ID	-1.872***
	(0.117)
611.ID	-1.588***
	(0.0122)
612.ID	0
	(0.0122)
613.ID	0
	(0.0122)
614.ID	-1.980***
	(0.0122)
615.ID	-1.980***
	(0.0122)
616.ID	0
	(0.0122)
617.ID	-1.980***
	(0.0122)
622.ID	-1.980***
	(0.0122)
623.ID	0
	(0.0122)
626.ID	0
	(0.0122)
627.ID	-1.980***
	(0.0122)
628.ID	0
	(0.0122)
629.ID	0.286***
	(0.0122)
630.ID	-0.756***
	(0.0122)
631.ID	0
	(0.0122)
634.ID	-1.980***
	(0.0122)
635.ID	0
	(0.0122)
636.ID	-1.980***
	(0.0122)
638.ID	0
	(0.0122)
639.ID	-2.117***
	(0.129)
640.ID	0
	(0.0122)
641.ID	0
	(0.0122)
642.ID	0
	(0.0122)
643.ID	0
	(0.0122)
644.ID	-1.980***
	(0.0122)
645.ID	-1.980***
	(0.0122)
647.ID	-1.980***
	(0.0122)
648.ID	0
	(0.0122)
649.ID	-1.980***
	(0.0122)
651.ID	-1.437***
	(0.0122)
652.ID	-2.117***
	(0.129)
653.ID	-1.980***
	(0.0122)
654.ID	-1.980***
	(0.0122)
655.ID	-1.765***
	(0.0122)
656.ID	-0.756***
	(0.0122)
658.ID	-1.980***
	(0.0122)
659.ID	0.509***
	(0.0122)
660.ID	-1.980***
	(0.0122)
662.ID	-1.980***
	(0.0122)
663.ID	-2.307***
	(0.319)
664.ID	-1.980***
	(0.0122)
666.ID	-1.980***
	(0.0122)
670.ID	0
	(0.0122)
672.ID	-1.980***
	(0.0122)
674.ID	-1.980***
	(0.0122)
675.ID	-1.588***
	(0.0122)
676.ID	-1.765***
	(0.0122)
680.ID	-1.980***
	(0.0122)
683.ID	-1.765***
	(0.0122)
687.ID	-1.980***
	(0.0122)
688.ID	0
	(0.0122)
690.ID	-1.980***
	(0.0122)
691.ID	-1.980***
	(0.0122)
692.ID	0
	(0.0122)
695.ID	0.509***
	(0.0122)
696.ID	0
	(0.0122)
697.ID	-1.765***
	(0.0122)
698.ID	-1.980***
	(0.0122)
699.ID	-1.980***
	(0.0122)
700.ID	-1.980***
	(0.0122)
702.ID	0.509***
	(0.0122)
703.ID	-1.980***
	(0.0122)
705.ID	-1.980***
	(0.0122)
706.ID	-1.980***
	(0.0122)
707.ID	-1.980***
	(0.0122)
708.ID	-2.634***
	(0.0122)
715.ID	0
	(0.0122)
716.ID	0
	(0.0122)
719.ID	-1.980***
	(0.0122)
720.ID	0
	(0.0122)
722.ID	-0.756***
	(0.0122)
724.ID	0
	(0.0122)
726.ID	-1.980***
	(0.0122)
727.ID	-1.765***
	(0.0122)
730.ID	-1.980***
	(0.0122)
731.ID	0
	(0.0122)
733.ID	-1.980***
	(0.0122)
734.ID	-1.765***
	(0.0122)
737.ID	-1.980***
	(0.0122)
738.ID	-1.980***
	(0.0122)
739.ID	-1.588***
	(0.0122)
741.ID	0
	(0.0122)
743.ID	0.397***
	(0.103)
744.ID	-1.588***
	(0.0122)
746.ID	-3.253***
	(0.0122)
747.ID	0
	(0.0122)
752.ID	-1.980***
	(0.0122)
753.ID	0.509***
	(0.0122)
754.ID	0
	(0.0122)
755.ID	0
	(0.0122)
757.ID	-1.307***
	(0.0122)
758.ID	0
	(0.0122)
759.ID	0.286***
	(0.0122)
760.ID	0
	(0.0122)
762.ID	0.286***
	(0.0122)
763.ID	-1.980***
	(0.0122)
764.ID	-1.765***
	(0.0122)
765.ID	-1.980***
	(0.0122)
767.ID	0
	(0.0122)
768.ID	0
	(0.0122)
769.ID	-1.980***
	(0.0122)
770.ID	-1.980***
	(0.0122)
773.ID	-1.588***
	(0.0122)
774.ID	-1.980***
	(0.0122)
777.ID	-1.980***
	(0.0122)
778.ID	-1.980***
	(0.0122)
780.ID	-1.980***
	(0.0122)
781.ID	0.509***
	(0.0122)
783.ID	0
	(0.0122)
785.ID	0
	(0.0122)
790.ID	-1.588***
	(0.0122)
791.ID	0
	(0.0122)
792.ID	0.509***
	(0.0122)
793.ID	0
	(0.0122)
794.ID	-3.253***
	(0.0122)
797.ID	-1.765***
	(0.0122)
799.ID	0
	(0.0122)
801.ID	0
	(0.0122)
802.ID	-1.980***
	(0.0122)
804.ID	-1.872***
	(0.117)
808.ID	-1.588***
	(0.0122)
809.ID	0.286***
	(0.0122)
810.ID	-0.403***
	(0.0122)
813.ID	0
	(0.0122)
814.ID	-1.980***
	(0.0122)
815.ID	-1.980***
	(0.0122)
816.ID	0
	(0.0122)
817.ID	0
	(0.0122)
818.ID	0.509***
	(0.0122)
819.ID	-1.980***
	(0.0122)
820.ID	-1.765***
	(0.0122)
821.ID	0
	(0.0122)
822.ID	-1.588***
	(0.0122)
824.ID	0.254
	(0.246)
825.ID	0
	(0.0122)
826.ID	0
	(0.0122)
827.ID	0
	(0.0122)
830.ID	-1.980***
	(0.0122)
833.ID	-1.980***
	(0.0122)
834.ID	-1.765***
	(0.0122)
838.ID	0.254
	(0.264)
839.ID	-1.980***
	(0.0122)
840.ID	0
	(0.0122)
841.ID	-1.138***
	(0.0122)
846.ID	-1.980***
	(0.0122)
850.ID	-1.980***
	(0.0122)
