	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00569
	(0.0107)
2.treated	-0.0104
	(0.0119)
3.ID	-0.392***
	(0)
4.ID	1.588***
	(0)
9.ID	-0.392***
	(0)
14.ID	1.588***
	(0)
16.ID	1.588***
	(0)
17.ID	-0.392***
	(0)
28.ID	-0.392***
	(0)
29.ID	-0.392***
	(0)
31.ID	0.680***
	(0)
32.ID	1.588***
	(0)
39.ID	1.588***
	(0)
43.ID	-0.392***
	(0)
47.ID	-0.666***
	(0)
49.ID	1.588***
	(0)
50.ID	1.588***
	(0)
52.ID	-0.177***
	(0)
54.ID	-0.392***
	(0)
55.ID	-0.392***
	(0)
56.ID	1.588***
	(0)
62.ID	-0.177***
	(0)
65.ID	-0.392***
	(0)
67.ID	1.588***
	(0)
69.ID	-0.392***
	(0)
70.ID	1.948***
	(0)
71.ID	2.096***
	(0)
74.ID	0.862***
	(0)
76.ID	-0.392***
	(0)
79.ID	-0.392***
	(0)
80.ID	1.588***
	(0)
81.ID	-0.392***
	(0)
82.ID	0
	(0)
83.ID	-0.177***
	(0)
85.ID	1.588***
	(0)
91.ID	0.964***
	(0)
98.ID	0.500***
	(0)
99.ID	-0.177***
	(0)
100.ID	-0.177***
	(0)
103.ID	-0.392***
	(0)
105.ID	-0.392***
	(0)
106.ID	2.096***
	(0)
107.ID	2.096***
	(0)
108.ID	2.096***
	(0)
110.ID	-1.046***
	(0)
111.ID	-1.046***
	(0)
115.ID	1.588***
	(0)
117.ID	1.588***
	(0)
118.ID	1.588***
	(0)
122.ID	2.096***
	(0)
123.ID	2.096***
	(0)
126.ID	1.588***
	(0)
128.ID	-0.177***
	(0)
130.ID	-0.392***
	(0)
132.ID	-1.046***
	(0)
134.ID	0.500***
	(0)
136.ID	0.928***
	(0)
137.ID	1.588***
	(0)
142.ID	-0.392***
	(0)
148.ID	1.588***
	(0)
149.ID	-1.046***
	(0)
150.ID	-0.392***
	(0)
153.ID	1.588***
	(0)
154.ID	1.757***
	(0)
159.ID	-0.177***
	(0)
163.ID	0.500***
	(0)
167.ID	-0.392***
	(0)
168.ID	1.588***
	(0)
172.ID	-0.392***
	(0)
174.ID	1.588***
	(0)
175.ID	-0.177***
	(0)
176.ID	-0.392***
	(0)
179.ID	0.268***
	(0)
183.ID	-0.177***
	(0)
184.ID	-0.392***
	(0)
189.ID	-0.177***
	(0)
191.ID	-0.177***
	(0)
197.ID	1.588***
	(0)
198.ID	-0.392***
	(0)
204.ID	2.096***
	(0)
206.ID	-0.392***
	(0)
207.ID	-0.392***
	(0)
208.ID	-0.392***
	(0)
212.ID	-0.610***
	(0)
218.ID	-0.392***
	(0)
219.ID	-0.177***
	(0)
220.ID	1.588***
	(0)
223.ID	1.169***
	(0)
225.ID	1.588***
	(0)
228.ID	2.096***
	(0)
229.ID	1.588***
	(0)
231.ID	-0.177***
	(0)
233.ID	-0.177***
	(0)
234.ID	1.588***
	(0)
237.ID	1.588***
	(0)
240.ID	1.588***
	(0)
247.ID	1.588***
	(0)
257.ID	1.588***
	(0)
259.ID	1.588***
	(0)
260.ID	1.588***
	(0)
261.ID	-1.046***
	(0)
264.ID	2.096***
	(0)
270.ID	1.588***
	(0)
277.ID	1.588***
	(0)
278.ID	-0.838***
	(0)
280.ID	1.588***
	(0)
283.ID	-0.392***
	(0)
285.ID	-0.392***
	(0)
289.ID	1.588***
	(0)
290.ID	1.588***
	(0)
292.ID	1.874***
	(0)
295.ID	-0.392***
	(0)
296.ID	0.281***
	(0)
297.ID	1.588***
	(0)
299.ID	2.096***
	(0)
300.ID	0.529***
	(0)
301.ID	-0.392***
	(0)
303.ID	0.187***
	(0)
304.ID	2.096***
	(0)
311.ID	-1.665***
	(0)
315.ID	-0.392***
	(0)
318.ID	1.588***
	(0)
321.ID	0
	(0)
325.ID	-0.392***
	(0)
327.ID	1.588***
	(0)
328.ID	1.588***
	(0)
330.ID	1.874***
	(0)
332.ID	1.588***
	(0)
335.ID	-0.392***
	(0)
337.ID	-0.392***
	(0)
340.ID	2.096***
	(0)
341.ID	-0.177***
	(0)
342.ID	-0.392***
	(0)
343.ID	1.588***
	(0)
347.ID	0
	(0)
348.ID	-0.392***
	(0)
349.ID	-1.332***
	(0)
352.ID	1.588***
	(0)
353.ID	1.185***
	(0)
354.ID	-0.392***
	(0)
359.ID	0.928***
	(0)
365.ID	-0.392***
	(0)
369.ID	1.588***
	(0)
379.ID	-0.249***
	(0)
394.ID	1.588***
	(0)
395.ID	1.588***
	(0)
398.ID	-1.046***
	(0)
400.ID	1.588***
	(0)
403.ID	-0.392***
	(0)
405.ID	-0.392***
	(0)
407.ID	1.588***
	(0)
412.ID	1.588***
	(0)
413.ID	0
	(0)
414.ID	-0.392***
	(0)
416.ID	-0.177***
	(0)
417.ID	-1.046***
	(0)
419.ID	-0.392***
	(0)
421.ID	-0.392***
	(0)
429.ID	-0.392***
	(0)
432.ID	1.588***
	(0)
434.ID	-0.392***
	(0)
436.ID	-0.177***
	(0)
442.ID	1.588***
	(0)
445.ID	-0.392***
	(0)
446.ID	1.588***
	(0)
448.ID	1.588***
	(0)
450.ID	-0.392***
	(0)
456.ID	-1.048***
	(0.00678)
459.ID	-0.177***
	(0)
462.ID	1.588***
	(0)
464.ID	1.588***
	(0)
469.ID	-0.392***
	(0)
474.ID	1.588***
	(0)
479.ID	1.588***
	(0)
486.ID	-0.392***
	(0)
489.ID	-0.666***
	(0)
497.ID	-0.392***
	(0)
499.ID	0.150***
	(0)
503.ID	1.588***
	(0)
504.ID	1.588***
	(0)
507.ID	1.588***
	(0)
509.ID	-0.392***
	(0)
521.ID	1.683***
	(0)
523.ID	1.778***
	(0)
525.ID	-0.177***
	(0)
530.ID	-0.177***
	(0)
532.ID	1.588***
	(0)
536.ID	1.588***
	(0)
542.ID	2.096***
	(0)
543.ID	1.588***
	(0)
544.ID	-0.392***
	(0)
546.ID	-0.392***
	(0)
548.ID	-0.392***
	(0)
550.ID	1.588***
	(0)
552.ID	-0.392***
	(0)
554.ID	-0.392***
	(0)
559.ID	1.058***
	(0)
560.ID	2.096***
	(0)
563.ID	1.134***
	(0)
564.ID	1.588***
	(0)
575.ID	1.588***
	(0)
578.ID	-0.177***
	(0)
581.ID	1.588***
	(0)
583.ID	-0.392***
	(0)
584.ID	1.588***
	(0)
586.ID	-0.392***
	(0)
587.ID	-0.177***
	(0)
592.ID	-0.177***
	(0)
594.ID	-1.046***
	(0)
600.ID	-0.392***
	(0)
605.ID	-0.392***
	(0)
607.ID	1.588***
	(0)
611.ID	0
	(0)
615.ID	-0.392***
	(0)
618.ID	1.588***
	(0)
621.ID	0
	(0)
622.ID	-0.392***
	(0)
624.ID	1.588***
	(0)
628.ID	1.588***
	(0)
629.ID	1.874***
	(0)
630.ID	0.832***
	(0)
634.ID	-0.392***
	(0)
639.ID	-0.666***
	(0)
640.ID	1.588***
	(0)
644.ID	-0.392***
	(0)
645.ID	-0.392***
	(0)
650.ID	-0.392***
	(0)
653.ID	-0.392***
	(0)
658.ID	-0.392***
	(0)
660.ID	-0.392***
	(0)
662.ID	-0.392***
	(0)
663.ID	-1.046***
	(0)
665.ID	-0.392***
	(0)
668.ID	-0.177***
	(0)
670.ID	1.588***
	(0)
678.ID	0.500***
	(0)
683.ID	-0.177***
	(0)
687.ID	-0.392***
	(0)
688.ID	1.588***
	(0)
691.ID	-0.392***
	(0)
693.ID	1.588***
	(0)
695.ID	1.757***
	(0)
699.ID	-0.392***
	(0)
703.ID	-0.392***
	(0)
704.ID	-0.177***
	(0)
706.ID	-0.392***
	(0)
707.ID	-0.392***
	(0)
708.ID	-1.046***
	(0)
724.ID	1.588***
	(0)
730.ID	-0.392***
	(0)
732.ID	2.096***
	(0)
733.ID	-0.392***
	(0)
735.ID	0.716***
	(0)
740.ID	-0.392***
	(0)
741.ID	1.058***
	(0)
745.ID	2.096***
	(0)
747.ID	1.588***
	(0)
751.ID	1.588***
	(0)
752.ID	-0.392***
	(0)
757.ID	0.281***
	(0)
758.ID	1.588***
	(0)
767.ID	1.588***
	(0)
768.ID	1.588***
	(0)
770.ID	0
	(0)
774.ID	-0.392***
	(0)
776.ID	1.588***
	(0)
778.ID	-0.392***
	(0)
783.ID	1.588***
	(0)
785.ID	1.588***
	(0)
790.ID	0
	(0)
792.ID	2.096***
	(0)
793.ID	1.588***
	(0)
794.ID	-1.665***
	(0)
806.ID	2.096***
	(0)
808.ID	0
	(0)
810.ID	1.185***
	(0)
813.ID	1.588***
	(0)
815.ID	-0.392***
	(0)
818.ID	2.096***
	(0)
821.ID	1.588***
	(0)
823.ID	0.928***
	(0)
826.ID	1.588***
	(0)
827.ID	1.588***
	(0)
830.ID	-0.392***
	(0)
832.ID	-0.392***
	(0)
835.ID	-0.177***
	(0)
836.ID	-0.177***
	(0)
837.ID	2.096***
	(0)
838.ID	1.927***
	(0)
839.ID	-0.392***
	(0)
843.ID	-0.392***
	(0)
847.ID	-0.177***
	(0)
848.ID	-0.177***
	(0)
850.ID	-0.392***
	(0)
851.ID	1.588***
	(0)
852.ID	1.588***
	(0)
853.ID	1.588***
	(0)
857.ID	-0.392***
	(0)
858.ID	-0.392***
	(0)
862.ID	-0.392***
	(0)
865.ID	1.588***
	(0)
870.ID	-0.666***
	(0)
871.ID	2.096***
	(0)
872.ID	1.588***
	(0)
875.ID	1.588***
	(0)
880.ID	1.588***
	(0)
884.ID	1.588***
	(0)
904.ID	-0.392***
	(0)
905.ID	-0.392***
	(0)
906.ID	-0.392***
	(0)
911.ID	1.588***
	(0)
914.ID	-0.118***
	(0)
917.ID	-0.177***
	(0)
918.ID	1.588***
	(0)
924.ID	1.588***
	(0)
928.ID	-0.392***
	(0)
929.ID	1.588***
	(0)
932.ID	1.588***
	(0)
935.ID	1.588***
	(0)
936.ID	1.588***
	(0)
939.ID	1.588***
	(0)
940.ID	-0.392***
	(0)
944.ID	1.588***
	(0)
947.ID	-0.392***
	(0)
953.ID	1.588***
	(0)
954.ID	1.588***
	(0)
955.ID	0
	(0)
958.ID	-0.392***
	(0)
959.ID	1.588***
	(0)
960.ID	0
	(0)
961.ID	1.588***
	(0)
962.ID	-0.177***
	(0)
963.ID	-0.177***
	(0)
968.ID	1.588***
	(0)
969.ID	1.588***
	(0)
970.ID	-0.392***
	(0)
974.ID	1.588***
	(0)
975.ID	-0.392***
	(0)
977.ID	1.588***
	(0)
978.ID	1.588***
	(0)
990.ID	-0.177***
	(0)
991.ID	1.588***
	(0)
992.ID	1.588***
	(0)
993.ID	-0.392***
	(0)
995.ID	-0.392***
	(0)
1004.ID	1.588***
	(0)
1005.ID	1.588***
	(0)
1007.ID	1.588***
	(0)
1009.ID	-1.213***
	(0)
1013.ID	1.588***
	(0)
1016.ID	1.588***
	(0)
1017.ID	-0.392***
	(0)
1019.ID	1.588***
	(0)
1021.ID	1.874***
	(0)
1022.ID	-0.392***
	(0)
1023.ID	-0.392***
	(0)
1024.ID	-0.392***
	(0)
1025.ID	-0.392***
	(0)
1048.ID	-0.177***
	(0)
1052.ID	1.588***
	(0)
1092.ID	1.588***
	(0)
1094.ID	-0.392***
	(0)
1095.ID	1.588***
	(0)
1101.ID	1.588***
	(0)
1103.ID	1.948***
	(0)
1112.ID	-1.665***
	(0)
1129.ID	1.588***
	(0)
1130.ID	1.588***
	(0)
1133.ID	-0.999***
	(0)
1136.ID	-0.392***
	(0)
1139.ID	-0.392***
	(0)
1141.ID	-0.392***
	(0)
1143.ID	1.588***
	(0)
1144.ID	1.588***
	(0)
1146.ID	1.588***
	(0)
1147.ID	-0.666***
	(0)
1150.ID	-0.666***
	(0)
1153.ID	1.588***
	(0)
1156.ID	-0.392***
	(0)
1158.ID	-0.177***
	(0)
1160.ID	-0.392***
	(0)
1163.ID	-1.046***
	(0)
1167.ID	-0.177***
	(0)
1169.ID	1.588***
	(0)
1173.ID	-0.666***
	(0)
1174.ID	1.588***
	(0)
1175.ID	-1.308***
	(0)
1176.ID	-1.046***
	(0)
1177.ID	-0.392***
	(0)
1180.ID	-0.392***
	(0)
1187.ID	0.999***
	(0)
1188.ID	1.588***
	(0)
1190.ID	-0.177***
	(0)
1191.ID	-0.392***
	(0)
1192.ID	1.588***
	(0)
1194.ID	2.096***
	(0)
1197.ID	-0.177***
	(0)
1200.ID	-0.392***
	(0)
1201.ID	1.874***
	(0)
1203.ID	-0.392***
	(0)
1207.ID	-1.046***
	(0)
1211.ID	-0.392***
	(0)
1219.ID	1.588***
	(0)
1220.ID	-0.392***
	(0)
1226.ID	-0.392***
	(0)
1227.ID	-0.392***
	(0)
1229.ID	1.588***
	(0)
1230.ID	1.874***
	(0)
1231.ID	-0.666***
	(0)
1232.ID	-0.177***
	(0)
1242.ID	-0.392***
	(0)
1244.ID	-0.177***
	(0)
1247.ID	-0.392***
	(0)
1248.ID	0.964***
	(0)
1250.ID	1.588***
	(0)
1252.ID	1.588***
	(0)
1258.ID	-0.392***
	(0)
1263.ID	-0.392***
	(0)
1266.ID	-0.392***
	(0)
1271.ID	-0.392***
	(0)
1274.ID	1.588***
	(0)
1276.ID	1.588***
	(0)
1277.ID	-0.392***
	(0)
1281.ID	1.874***
	(0)
1284.ID	1.588***
	(0)
1288.ID	-0.392***
	(0)
1290.ID	-0.177***
	(0)
1293.ID	0
	(0)
1296.ID	-1.046***
	(0)
1297.ID	1.588***
	(0)
1299.ID	-0.392***
	(0)
1302.ID	0
	(0)
1303.ID	-0.392***
	(0)
1304.ID	2.096***
	(0)
1305.ID	-0.392***
	(0)
1307.ID	1.588***
	(0)
1308.ID	1.588***
	(0)
1310.ID	1.874***
	(0)
1315.ID	-1.665***
	(0)
1316.ID	1.588***
	(0)
1318.ID	-0.177***
	(0)
1320.ID	-0.0590***
	(0)
1321.ID	-0.392***
	(0)
1322.ID	-1.046***
	(0)
1326.ID	-0.177***
	(0)
1329.ID	1.588***
	(0)
1330.ID	0
	(0)
1333.ID	-0.392***
	(0)
1334.ID	1.588***
	(0)
1338.ID	-0.392***
	(0)
1340.ID	-0.666***
	(0)
1341.ID	-0.392***
	(0)
1344.ID	-1.370***
	(0)
1345.ID	1.588***
	(0)
1347.ID	-0.392***
	(0)
1348.ID	-0.392***
	(0)
1352.ID	-0.392***
	(0)
1353.ID	0
	(0)
1354.ID	-0.392***
	(0)
1356.ID	1.588***
	(0)
1357.ID	-0.392***
	(0)
1359.ID	-0.392***
	(0)
1361.ID	1.588***
	(0)
1363.ID	-0.666***
	(0)
1366.ID	-0.392***
	(0)
1367.ID	-0.392***
	(0)
1368.ID	-1.046***
	(0)
1370.ID	-0.392***
	(0)
1382.ID	-0.392***
	(0)
1385.ID	-0.392***
	(0)
1387.ID	-0.392***
	(0)
1393.ID	-0.392***
	(0)
1395.ID	-0.392***
	(0)
1397.ID	-0.392***
	(0)
1398.ID	-1.665***
	(0)
1405.ID	-1.046***
	(0)
1406.ID	-0.392***
	(0)
1411.ID	-0.392***
	(0)
1417.ID	-0.392***
	(0)
1423.ID	-0.392***
	(0)
1424.ID	1.588***
	(0)
1425.ID	1.190***
	(0)
1428.ID	-0.392***
	(0)
1429.ID	-0.666***
	(0)
1431.ID	1.588***
	(0)
1437.ID	-0.392***
	(0)
1440.ID	-0.392***
	(0)
1443.ID	1.588***
	(0)
1447.ID	-0.177***
	(0)
1453.ID	-0.392***
	(0)
1454.ID	-0.392***
	(0)
1457.ID	1.588***
	(0)
1459.ID	1.874***
	(0)
1461.ID	-0.392***
	(0)
1462.ID	1.588***
	(0)
1463.ID	-0.392***
	(0)
1465.ID	1.588***
	(0)
