	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0111*
	(0.00626)
2.treated	0.0133**
	(0.00635)
3.treated	0.00618
	(0.00628)
1.ID	-1.588***
	(0.00416)
2.ID	-0
	(0.00416)
3.ID	-1.980***
	(0.00416)
4.ID	-0
	(0.00416)
5.ID	-1.765***
	(0.00416)
6.ID	-1.980***
	(0.00416)
7.ID	-1.980***
	(0.00416)
8.ID	-1.765***
	(0.00416)
9.ID	-1.980***
	(0.00416)
10.ID	0.509***
	(0.00416)
11.ID	-1.088***
	(0.00416)
12.ID	-1.765***
	(0.00416)
13.ID	-1.980***
	(0.00416)
14.ID	-0
	(0.00416)
15.ID	-1.980***
	(0.00416)
16.ID	-0
	(0.00416)
18.ID	-1.980***
	(0.00416)
19.ID	-1.765***
	(0.00416)
20.ID	-0
	(0.00416)
21.ID	-1.765***
	(0.00416)
22.ID	-1.588***
	(0.00416)
23.ID	-0
	(0.00416)
24.ID	-0
	(0.00416)
25.ID	-1.765***
	(0.00416)
26.ID	-2.634***
	(0.00416)
27.ID	-1.980***
	(0.00416)
28.ID	-2.048***
	(0.0662)
29.ID	-1.980***
	(0.00416)
30.ID	-1.980***
	(0.00416)
31.ID	-0.908***
	(0.00416)
32.ID	-0
	(0.00416)
33.ID	-0
	(0.00416)
34.ID	-0
	(0.00416)
35.ID	-1.980***
	(0.00416)
36.ID	-1.980***
	(0.00416)
37.ID	-1.980***
	(0.00416)
38.ID	-1.980***
	(0.00416)
39.ID	-0
	(0.00416)
40.ID	-0
	(0.00416)
41.ID	-1.588***
	(0.00416)
42.ID	0.509***
	(0.00416)
43.ID	-1.980***
	(0.00416)
46.ID	-1.765***
	(0.00416)
47.ID	-2.504***
	(0.247)
48.ID	-0
	(0.00416)
49.ID	-0
	(0.00416)
50.ID	-0
	(0.00416)
51.ID	-1.980***
	(0.00416)
52.ID	-1.765***
	(0.00416)
53.ID	0.509***
	(0.00416)
54.ID	-1.980***
	(0.00416)
55.ID	-1.980***
	(0.00416)
56.ID	-0.882*
	(0.511)
57.ID	-1.980***
	(0.00416)
58.ID	-0
	(0.00416)
59.ID	-1.307***
	(0.00416)
60.ID	-1.980***
	(0.00416)
61.ID	-1.980***
	(0.00416)
62.ID	-1.765***
	(0.00416)
63.ID	-1.980***
	(0.00416)
64.ID	-0
	(0.00416)
65.ID	-0.990*
	(0.569)
66.ID	-1.765***
	(0.00416)
67.ID	-0
	(0.00416)
68.ID	-0.403***
	(0.00416)
69.ID	-1.980***
	(0.00416)
70.ID	0.286***
	(0.00416)
71.ID	0.509***
	(0.00416)
72.ID	0.509***
	(0.00416)
73.ID	-1.980***
	(0.00416)
74.ID	-1.088***
	(0.00416)
75.ID	0.381***
	(0.125)
76.ID	-1.980***
	(0.00416)
77.ID	-1.818***
	(0.0514)
78.ID	-1.980***
	(0.00416)
79.ID	-1.980***
	(0.00416)
80.ID	-0
	(0.00416)
81.ID	-1.980***
	(0.00416)
82.ID	-1.588***
	(0.00416)
83.ID	-1.765***
	(0.00416)
84.ID	0.509***
	(0.00416)
85.ID	-0
	(0.00416)
86.ID	-0
	(0.00416)
87.ID	-0
	(0.00416)
88.ID	0.509***
	(0.00416)
89.ID	-1.980***
	(0.00416)
90.ID	-1.980***
	(0.00416)
91.ID	-0.624***
	(0.00416)
92.ID	-3.916***
	(0.740)
93.ID	-1.588***
	(0.00416)
94.ID	-1.980***
	(0.00416)
95.ID	0.509***
	(0.00416)
96.ID	-1.980***
	(0.00416)
97.ID	-2.896***
	(0.00416)
98.ID	-1.088***
	(0.00416)
99.ID	-1.980***
	(0.00416)
100.ID	-1.765***
	(0.00416)
101.ID	-1.980***
	(0.00416)
102.ID	-2.634***
	(0.00416)
103.ID	-1.980***
	(0.00416)
104.ID	-1.980***
	(0.00416)
105.ID	-1.980***
	(0.00416)
106.ID	0.509***
	(0.00416)
107.ID	0.381***
	(0.129)
108.ID	0.509***
	(0.00416)
109.ID	-1.765***
	(0.00416)
110.ID	-2.634***
	(0.00416)
111.ID	-2.634***
	(0.00416)
112.ID	-0
	(0.00416)
113.ID	-1.980***
	(0.00416)
114.ID	-0
	(0.00416)
115.ID	-0
	(0.00416)
116.ID	-1.676***
	(0.0501)
117.ID	-0
	(0.00416)
118.ID	-0
	(0.00416)
119.ID	0.509***
	(0.00416)
120.ID	-0.756***
	(0.00416)
121.ID	-0
	(0.00416)
122.ID	0.509***
	(0.00416)
123.ID	-1.323***
	(0.440)
124.ID	0.509***
	(0.00416)
125.ID	-0
	(0.00416)
126.ID	-0
	(0.00416)
127.ID	-2.634***
	(0.00416)
128.ID	-1.765***
	(0.00416)
129.ID	-0
	(0.00416)
130.ID	-2.254***
	(0.00416)
131.ID	-1.765***
	(0.00416)
132.ID	-2.634***
	(0.00416)
133.ID	-0.441
	(0.439)
134.ID	-1.088***
	(0.00416)
135.ID	-1.980***
	(0.00416)
136.ID	-0
	(0.00416)
137.ID	-0
	(0.00416)
138.ID	0.509***
	(0.00416)
139.ID	-1.980***
	(0.00416)
140.ID	-1.588***
	(0.00416)
141.ID	-0
	(0.00416)
142.ID	-1.980***
	(0.00416)
144.ID	-1.926***
	(0.0565)
145.ID	-1.765***
	(0.00416)
146.ID	0.127
	(0.130)
147.ID	0.509***
	(0.00416)
148.ID	-0
	(0.00416)
149.ID	-2.634***
	(0.00416)
150.ID	-1.980***
	(0.00416)
151.ID	-1.765***
	(0.00416)
152.ID	-0
	(0.00416)
153.ID	-0
	(0.00416)
154.ID	-0
	(0.00416)
155.ID	-1.980***
	(0.00416)
156.ID	-1.980***
	(0.00416)
157.ID	-0
	(0.00416)
158.ID	-0
	(0.00416)
159.ID	-1.765***
	(0.00416)
160.ID	-0
	(0.00416)
161.ID	0.286***
	(0.00416)
162.ID	-1.588***
	(0.00416)
163.ID	-1.088***
	(0.00416)
164.ID	-1.980***
	(0.00416)
165.ID	-1.980***
	(0.00416)
166.ID	-0
	(0.00416)
167.ID	-1.980***
	(0.00416)
168.ID	-0
	(0.00416)
169.ID	-0
	(0.00416)
170.ID	-1.765***
	(0.00416)
171.ID	-1.765***
	(0.00416)
172.ID	-1.980***
	(0.00416)
173.ID	-0
	(0.00416)
174.ID	-0
	(0.00416)
175.ID	-1.765***
	(0.00416)
176.ID	-1.980***
	(0.00416)
177.ID	-0
	(0.00416)
178.ID	-2.634***
	(0.00416)
179.ID	-1.980***
	(0.00416)
180.ID	-0.829***
	(0.00416)
181.ID	-2.634***
	(0.00416)
182.ID	-1.980***
	(0.00416)
183.ID	-1.765***
	(0.00416)
184.ID	-1.980***
	(0.00416)
185.ID	-1.765***
	(0.00416)
186.ID	-0.403***
	(0.00416)
187.ID	0.509***
	(0.00416)
188.ID	0.286***
	(0.00416)
189.ID	-1.765***
	(0.00416)
190.ID	-1.980***
	(0.00416)
191.ID	-1.765***
	(0.00416)
192.ID	-1.980***
	(0.00416)
194.ID	-0
	(0.00416)
196.ID	-1.980***
	(0.00416)
197.ID	-0
	(0.00416)
198.ID	-1.980***
	(0.00416)
199.ID	-1.980***
	(0.00416)
200.ID	-0
	(0.00416)
201.ID	-2.048***
	(0.0662)
202.ID	-0
	(0.00416)
203.ID	0.509***
	(0.00416)
204.ID	0.509***
	(0.00416)
205.ID	-0.154*
	(0.0879)
206.ID	-1.980***
	(0.00416)
207.ID	-1.980***
	(0.00416)
208.ID	-1.980***
	(0.00416)
209.ID	0.254*
	(0.150)
210.ID	-1.980***
	(0.00416)
212.ID	-1.980***
	(0.00416)
213.ID	0.509***
	(0.00416)
214.ID	-1.980***
	(0.00416)
217.ID	-0
	(0.00416)
218.ID	-1.980***
	(0.00416)
219.ID	-0.882*
	(0.509)
220.ID	-0
	(0.00416)
221.ID	-0
	(0.00416)
222.ID	-1.765***
	(0.00416)
223.ID	-1.765***
	(0.00416)
224.ID	-0
	(0.00416)
225.ID	-1.980***
	(0.00416)
226.ID	-2.254***
	(0.00416)
227.ID	-0
	(0.00416)
228.ID	0.509***
	(0.00416)
229.ID	-0
	(0.00416)
230.ID	-0
	(0.00416)
231.ID	-1.765***
	(0.00416)
232.ID	-0.990*
	(0.571)
233.ID	-1.765***
	(0.00416)
234.ID	-0
	(0.00416)
235.ID	-1.088***
	(0.00416)
236.ID	0.509***
	(0.00416)
237.ID	-0
	(0.00416)
238.ID	-0
	(0.00416)
239.ID	0.127
	(0.125)
240.ID	-0
	(0.00416)
241.ID	-0
	(0.00416)
242.ID	-1.980***
	(0.00416)
243.ID	-0.403***
	(0.00416)
244.ID	-0
	(0.00416)
245.ID	-1.980***
	(0.00416)
246.ID	-0
	(0.00416)
247.ID	-0
	(0.00416)
248.ID	-1.588***
	(0.00416)
249.ID	-1.980***
	(0.00416)
250.ID	0.509***
	(0.00416)
251.ID	-1.980***
	(0.00416)
252.ID	-1.765***
	(0.00416)
253.ID	-1.980***
	(0.00416)
254.ID	-1.980***
	(0.00416)
255.ID	0.509***
	(0.00416)
256.ID	-0
	(0.00416)
257.ID	-0
	(0.00416)
258.ID	-1.980***
	(0.00416)
260.ID	-0
	(0.00416)
261.ID	-2.634***
	(0.00416)
263.ID	-1.980***
	(0.00416)
264.ID	0.509***
	(0.00416)
265.ID	0.254*
	(0.146)
266.ID	-0
	(0.00416)
267.ID	-1.765***
	(0.00416)
268.ID	-0
	(0.00416)
269.ID	-1.980***
	(0.00416)
270.ID	-0
	(0.00416)
271.ID	-0
	(0.00416)
272.ID	0.509***
	(0.00416)
274.ID	-1.980***
	(0.00416)
275.ID	-1.765***
	(0.00416)
276.ID	-0.403***
	(0.00416)
277.ID	-0
	(0.00416)
278.ID	-2.426***
	(0.00416)
279.ID	-1.765***
	(0.00416)
280.ID	-0
	(0.00416)
281.ID	-0
	(0.00416)
282.ID	-2.254***
	(0.00416)
283.ID	-1.980***
	(0.00416)
284.ID	-1.980***
	(0.00416)
285.ID	-1.980***
	(0.00416)
286.ID	-1.980***
	(0.00416)
288.ID	-0
	(0.00416)
289.ID	-0
	(0.00416)
290.ID	-0
	(0.00416)
291.ID	-1.980***
	(0.00416)
292.ID	0.215***
	(0.0692)
293.ID	-1.980***
	(0.00416)
294.ID	-1.588***
	(0.00416)
295.ID	-0
	(0.00416)
296.ID	-1.307***
	(0.00416)
297.ID	0.509***
	(0.00416)
298.ID	-0
	(0.00416)
299.ID	0.509***
	(0.00416)
300.ID	-0
	(0.00416)
301.ID	-1.980***
	(0.00416)
302.ID	-1.765***
	(0.00416)
303.ID	-1.588***
	(0.00416)
304.ID	0.509***
	(0.00416)
305.ID	-0
	(0.00416)
306.ID	-1.588***
	(0.00416)
307.ID	-1.437***
	(0.00416)
308.ID	-1.088***
	(0.00416)
309.ID	-1.765***
	(0.00416)
310.ID	-1.980***
	(0.00416)
311.ID	-3.253***
	(0.00416)
312.ID	-0
	(0.00416)
313.ID	-1.765***
	(0.00416)
314.ID	-1.980***
	(0.00416)
315.ID	-1.980***
	(0.00416)
317.ID	-0
	(0.00416)
318.ID	-0
	(0.00416)
319.ID	-0
	(0.00416)
320.ID	-1.980***
	(0.00416)
321.ID	-1.588***
	(0.00416)
322.ID	0.509***
	(0.00416)
323.ID	-1.765***
	(0.00416)
324.ID	-0
	(0.00416)
325.ID	-1.980***
	(0.00416)
326.ID	-0
	(0.00416)
327.ID	-0
	(0.00416)
328.ID	-0
	(0.00416)
329.ID	-1.980***
	(0.00416)
330.ID	0.286***
	(0.00416)
331.ID	-1.980***
	(0.00416)
332.ID	-0
	(0.00416)
333.ID	-0
	(0.00416)
334.ID	-1.980***
	(0.00416)
335.ID	-1.980***
	(0.00416)
336.ID	-0.0686***
	(0.00416)
337.ID	-1.980***
	(0.00416)
338.ID	-0
	(0.00416)
339.ID	-0
	(0.00416)
340.ID	0.509***
	(0.00416)
341.ID	-1.765***
	(0.00416)
342.ID	-1.980***
	(0.00416)
343.ID	-0
	(0.00416)
345.ID	0.509***
	(0.00416)
346.ID	-3.253***
	(0.00416)
347.ID	-1.588***
	(0.00416)
348.ID	-1.980***
	(0.00416)
349.ID	-3.253***
	(0.00416)
350.ID	-0.495
	(0.495)
352.ID	-0
	(0.00416)
353.ID	-0.403***
	(0.00416)
354.ID	-1.980***
	(0.00416)
355.ID	-1.588***
	(0.00416)
356.ID	-1.765***
	(0.00416)
357.ID	-0
	(0.00416)
358.ID	-1.980***
	(0.00416)
359.ID	-0
	(0.00416)
361.ID	-1.980***
	(0.00416)
364.ID	-0
	(0.00416)
365.ID	-1.980***
	(0.00416)
366.ID	0.509***
	(0.00416)
369.ID	-0
	(0.00416)
370.ID	-1.485***
	(0.494)
371.ID	-1.980***
	(0.00416)
372.ID	-2.100***
	(0.699)
373.ID	-1.980***
	(0.00416)
374.ID	-0.00254
	(0.00377)
375.ID	-1.980***
	(0.00416)
377.ID	-1.980***
	(0.00416)
378.ID	-1.980***
	(0.00416)
379.ID	-0.882*
	(0.512)
381.ID	-2.634***
	(0.00416)
382.ID	-3.253***
	(0.00416)
383.ID	-1.980***
	(0.00416)
385.ID	-0
	(0.00416)
386.ID	-2.634***
	(0.00416)
387.ID	-1.980***
	(0.00416)
388.ID	-1.765***
	(0.00416)
389.ID	-0
	(0.00416)
390.ID	-1.765***
	(0.00416)
391.ID	-1.980***
	(0.00416)
392.ID	-3.253***
	(0.00416)
393.ID	-0
	(0.00416)
395.ID	-0
	(0.00416)
396.ID	-0
	(0.00416)
397.ID	-1.980***
	(0.00416)
398.ID	-1.980***
	(0.00416)
399.ID	-1.765***
	(0.00416)
400.ID	-0.495
	(0.495)
401.ID	-1.088***
	(0.00416)
402.ID	-1.980***
	(0.00416)
403.ID	-1.980***
	(0.00416)
404.ID	-1.588***
	(0.00416)
405.ID	-1.980***
	(0.00416)
406.ID	-0.101
	(0.0983)
407.ID	-0
	(0.00416)
408.ID	0.509***
	(0.00416)
409.ID	-2.634***
	(0.00416)
410.ID	-1.980***
	(0.00416)
411.ID	-2.254***
	(0.00416)
412.ID	-0
	(0.00416)
413.ID	-1.588***
	(0.00416)
414.ID	-1.980***
	(0.00416)
415.ID	-1.980***
	(0.00416)
417.ID	-2.634***
	(0.00416)
418.ID	-1.980***
	(0.00416)
419.ID	-1.980***
	(0.00416)
420.ID	-1.765***
	(0.00416)
421.ID	-1.980***
	(0.00416)
423.ID	-0
	(0.00416)
424.ID	-0
	(0.00416)
425.ID	-0
	(0.00416)
426.ID	-1.980***
	(0.00416)
428.ID	-1.980***
	(0.00416)
429.ID	-1.980***
	(0.00416)
430.ID	0.509***
	(0.00416)
431.ID	-1.765***
	(0.00416)
432.ID	-0
	(0.00416)
433.ID	-1.980***
	(0.00416)
434.ID	-1.980***
	(0.00416)
435.ID	0.509***
	(0.00416)
436.ID	-1.765***
	(0.00416)
437.ID	-2.634***
	(0.00416)
438.ID	-0
	(0.00416)
439.ID	-0
	(0.00416)
440.ID	-1.765***
	(0.00416)
441.ID	-0
	(0.00416)
442.ID	-0
	(0.00416)
443.ID	-1.980***
	(0.00416)
444.ID	0.286***
	(0.00416)
445.ID	-1.980***
	(0.00416)
446.ID	-0
	(0.00416)
447.ID	-1.088***
	(0.00416)
448.ID	-0
	(0.00416)
449.ID	-0
	(0.00416)
450.ID	-1.980***
	(0.00416)
451.ID	-0
	(0.00416)
452.ID	-1.765***
	(0.00416)
453.ID	0.254*
	(0.148)
454.ID	-1.765***
	(0.00416)
455.ID	-0
	(0.00416)
456.ID	-3.253***
	(0.00416)
457.ID	-1.765***
	(0.00416)
458.ID	-0
	(0.00416)
459.ID	-1.765***
	(0.00416)
460.ID	-1.980***
	(0.00416)
