	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.113***
	(0.0168)
1.ID	-1.588***
	(0.0797)
2.ID	-0
	(0.0797)
3.ID	-1.980***
	(0.0797)
4.ID	-0
	(0.0797)
5.ID	-1.872***
	(0.0763)
6.ID	-1.980***
	(0.0797)
7.ID	-0
	(0.0797)
8.ID	-0.628
	(1.083)
9.ID	-0.990
	(0.937)
10.ID	0.509***
	(0.0797)
12.ID	0.509***
	(0.0797)
14.ID	-0
	(0.0797)
15.ID	-1.980***
	(0.0797)
16.ID	-0
	(0.0797)
17.ID	-1.980***
	(0.0797)
18.ID	-0.990
	(0.937)
19.ID	-1.765***
	(0.0797)
20.ID	-0.990
	(0.937)
21.ID	-1.765***
	(0.0797)
22.ID	-1.588***
	(0.0797)
23.ID	-0
	(0.0797)
24.ID	-0
	(0.0797)
25.ID	-0.628
	(1.083)
26.ID	-2.634***
	(0.0797)
27.ID	-1.980***
	(0.0797)
28.ID	-2.117***
	(0.0987)
29.ID	-1.980***
	(0.0797)
30.ID	-0.990
	(0.937)
31.ID	-0.908***
	(0.0797)
32.ID	-0
	(0.0797)
33.ID	-0
	(0.0797)
34.ID	-0
	(0.0797)
35.ID	-0.990
	(0.937)
36.ID	-1.980***
	(0.0797)
37.ID	-1.980***
	(0.0797)
38.ID	-1.980***
	(0.0797)
39.ID	-0
	(0.0797)
40.ID	-0
	(0.0797)
41.ID	-1.588***
	(0.0797)
42.ID	0.509***
	(0.0797)
43.ID	-1.980***
	(0.0797)
44.ID	-3.309***
	(0.0570)
46.ID	-1.765***
	(0.0797)
47.ID	-2.254***
	(0.0797)
48.ID	-0
	(0.0797)
49.ID	-0
	(0.0797)
50.ID	-0
	(0.0797)
51.ID	-1.980***
	(0.0797)
52.ID	-1.765***
	(0.0797)
53.ID	0.286***
	(0.0797)
54.ID	-1.980***
	(0.0797)
55.ID	-1.980***
	(0.0797)
56.ID	-0.882
	(0.829)
57.ID	-1.980***
	(0.0797)
58.ID	-0
	(0.0797)
59.ID	-0.653
	(0.601)
60.ID	-1.980***
	(0.0797)
61.ID	-1.980***
	(0.0797)
62.ID	-1.765***
	(0.0797)
63.ID	-1.980***
	(0.0797)
64.ID	-0
	(0.0797)
65.ID	-0.990
	(0.937)
66.ID	-1.765***
	(0.0797)
67.ID	-0
	(0.0797)
68.ID	-0.403***
	(0.0797)
69.ID	-1.980***
	(0.0797)
70.ID	0.397***
	(0.0787)
71.ID	0.509***
	(0.0797)
72.ID	0.509***
	(0.0797)
73.ID	-1.980***
	(0.0797)
74.ID	-0
	(0.0797)
76.ID	-1.980***
	(0.0797)
77.ID	-1.765***
	(0.0797)
78.ID	-1.980***
	(0.0797)
79.ID	-1.980***
	(0.0797)
80.ID	-0
	(0.0797)
81.ID	-1.980***
	(0.0797)
82.ID	-1.588***
	(0.0797)
83.ID	-1.765***
	(0.0797)
84.ID	-0
	(0.0797)
85.ID	-0
	(0.0797)
86.ID	-0
	(0.0797)
87.ID	-0
	(0.0797)
88.ID	0.509***
	(0.0797)
89.ID	-1.980***
	(0.0797)
90.ID	-1.980***
	(0.0797)
91.ID	-0.624***
	(0.0797)
92.ID	-2.634***
	(0.0797)
93.ID	-1.588***
	(0.0797)
94.ID	-0.990
	(0.937)
95.ID	0.509***
	(0.0797)
96.ID	-1.980***
	(0.0797)
97.ID	-2.896***
	(0.0797)
98.ID	-1.088***
	(0.0797)
99.ID	-1.980***
	(0.0797)
100.ID	-1.765***
	(0.0797)
101.ID	-1.980***
	(0.0797)
102.ID	-2.634***
	(0.0797)
103.ID	-1.980***
	(0.0797)
104.ID	-1.980***
	(0.0797)
105.ID	-1.980***
	(0.0797)
106.ID	0.509***
	(0.0797)
107.ID	0.509***
	(0.0797)
108.ID	0.509***
	(0.0797)
109.ID	-1.765***
	(0.0797)
110.ID	-2.634***
	(0.0797)
111.ID	-2.307***
	(0.277)
112.ID	-0
	(0.0797)
113.ID	-0.990
	(0.937)
114.ID	-0
	(0.0797)
115.ID	-0
	(0.0797)
116.ID	-1.676***
	(0.156)
117.ID	-0
	(0.0797)
118.ID	-0
	(0.0797)
119.ID	0.509***
	(0.0797)
120.ID	-0.756***
	(0.0797)
121.ID	-0
	(0.0797)
122.ID	0.509***
	(0.0797)
123.ID	-0.882
	(0.829)
125.ID	0.143
	(0.104)
126.ID	-0
	(0.0797)
127.ID	-2.634***
	(0.0797)
128.ID	-1.765***
	(0.0797)
129.ID	-0
	(0.0797)
130.ID	-1.980***
	(0.0797)
131.ID	-1.765***
	(0.0797)
132.ID	-2.634***
	(0.0797)
133.ID	-0
	(0.0797)
134.ID	-1.088***
	(0.0797)
135.ID	-0.990
	(0.937)
136.ID	-0
	(0.0797)
137.ID	-0
	(0.0797)
138.ID	0.509***
	(0.0797)
139.ID	-1.980***
	(0.0797)
140.ID	-1.588***
	(0.0797)
142.ID	-1.980***
	(0.0797)
144.ID	-1.980***
	(0.0797)
145.ID	-1.765***
	(0.0797)
146.ID	-0
	(0.0797)
147.ID	0.509***
	(0.0797)
148.ID	-0
	(0.0797)
149.ID	-2.444***
	(0.145)
150.ID	-1.980***
	(0.0797)
151.ID	-1.765***
	(0.0797)
152.ID	-0
	(0.0797)
153.ID	-0
	(0.0797)
154.ID	-0
	(0.0797)
155.ID	-1.980***
	(0.0797)
156.ID	-1.980***
	(0.0797)
157.ID	-0
	(0.0797)
158.ID	-0
	(0.0797)
159.ID	-1.765***
	(0.0797)
160.ID	-0
	(0.0797)
161.ID	-0.739
	(1.085)
163.ID	-1.088***
	(0.0797)
164.ID	-1.980***
	(0.0797)
165.ID	-1.980***
	(0.0797)
166.ID	-0
	(0.0797)
167.ID	-1.980***
	(0.0797)
168.ID	-0
	(0.0797)
169.ID	-0
	(0.0797)
170.ID	-0.882
	(0.829)
171.ID	-1.765***
	(0.0797)
172.ID	-1.980***
	(0.0797)
173.ID	-0
	(0.0797)
174.ID	-0
	(0.0797)
175.ID	-1.765***
	(0.0797)
176.ID	-1.980***
	(0.0797)
177.ID	-0
	(0.0797)
178.ID	-2.634***
	(0.0797)
179.ID	-0.990
	(0.937)
180.ID	-0.829***
	(0.0797)
181.ID	-2.634***
	(0.0797)
182.ID	-1.980***
	(0.0797)
183.ID	-1.765***
	(0.0797)
184.ID	-0.990
	(0.937)
185.ID	0.509***
	(0.0797)
186.ID	-0.403***
	(0.0797)
187.ID	0.509***
	(0.0797)
188.ID	0.143
	(0.104)
189.ID	-1.765***
	(0.0797)
190.ID	-1.980***
	(0.0797)
191.ID	-1.765***
	(0.0797)
192.ID	-1.980***
	(0.0797)
194.ID	-0.0906
	(0.0660)
196.ID	-1.980***
	(0.0797)
197.ID	-0
	(0.0797)
198.ID	-1.980***
	(0.0797)
199.ID	-1.980***
	(0.0797)
200.ID	-0
	(0.0797)
201.ID	-1.980***
	(0.0797)
202.ID	-0
	(0.0797)
203.ID	0.509***
	(0.0797)
204.ID	0.509***
	(0.0797)
205.ID	-0
	(0.0797)
206.ID	-1.980***
	(0.0797)
207.ID	-1.980***
	(0.0797)
208.ID	-1.980***
	(0.0797)
209.ID	-0
	(0.0797)
210.ID	-1.980***
	(0.0797)
212.ID	-1.980***
	(0.0797)
213.ID	0.509***
	(0.0797)
214.ID	-0.990
	(0.937)
217.ID	-0
	(0.0797)
218.ID	-1.980***
	(0.0797)
219.ID	-0.628
	(1.083)
220.ID	-0
	(0.0797)
221.ID	-0
	(0.0797)
222.ID	-0.628
	(1.083)
223.ID	0.509***
	(0.0797)
224.ID	-0
	(0.0797)
225.ID	-0
	(0.0797)
226.ID	-2.117***
	(0.0987)
227.ID	-0
	(0.0797)
228.ID	0.509***
	(0.0797)
229.ID	-0
	(0.0797)
230.ID	-0
	(0.0797)
231.ID	-0.882
	(0.829)
232.ID	-0
	(0.0797)
233.ID	-1.765***
	(0.0797)
234.ID	-0
	(0.0797)
235.ID	-1.088***
	(0.0797)
236.ID	0.254
	(0.316)
237.ID	-0
	(0.0797)
238.ID	-0
	(0.0797)
239.ID	0.254
	(0.316)
240.ID	-0
	(0.0797)
241.ID	-0
	(0.0797)
242.ID	-1.980***
	(0.0797)
243.ID	-0.403***
	(0.0797)
244.ID	-0
	(0.0797)
245.ID	-1.980***
	(0.0797)
246.ID	-0
	(0.0797)
247.ID	-0
	(0.0797)
248.ID	-1.588***
	(0.0797)
249.ID	-1.980***
	(0.0797)
250.ID	0.509***
	(0.0797)
251.ID	-1.980***
	(0.0797)
252.ID	-1.765***
	(0.0797)
253.ID	-1.980***
	(0.0797)
254.ID	-1.980***
	(0.0797)
255.ID	0.509***
	(0.0797)
256.ID	-0
	(0.0797)
257.ID	-0
	(0.0797)
258.ID	-1.980***
	(0.0797)
259.ID	-0
	(0.0797)
260.ID	-0
	(0.0797)
261.ID	-2.634***
	(0.0797)
263.ID	-1.980***
	(0.0797)
264.ID	0.509***
	(0.0797)
265.ID	-0.0563
	(0.0570)
266.ID	-0
	(0.0797)
267.ID	-1.765***
	(0.0797)
268.ID	-0
	(0.0797)
269.ID	-0
	(0.0797)
270.ID	-0
	(0.0797)
271.ID	-1.872***
	(0.0763)
272.ID	0.509***
	(0.0797)
274.ID	-1.980***
	(0.0797)
275.ID	-0.628
	(1.083)
276.ID	-0.403***
	(0.0797)
277.ID	-0
	(0.0797)
278.ID	-2.340***
	(0.153)
279.ID	-1.765***
	(0.0797)
280.ID	-0
	(0.0797)
281.ID	-0
	(0.0797)
282.ID	-1.980***
	(0.0797)
283.ID	-1.980***
	(0.0797)
284.ID	-1.980***
	(0.0797)
285.ID	-1.980***
	(0.0797)
286.ID	-1.980***
	(0.0797)
288.ID	-0
	(0.0797)
289.ID	-0
	(0.0797)
290.ID	-0
	(0.0797)
291.ID	-1.980***
	(0.0797)
292.ID	0.286***
	(0.0797)
293.ID	-1.980***
	(0.0797)
294.ID	-1.512***
	(0.0594)
295.ID	-0.990
	(0.937)
296.ID	-1.307***
	(0.0797)
297.ID	-0
	(0.0797)
298.ID	-0
	(0.0797)
299.ID	0.509***
	(0.0797)
300.ID	-0
	(0.0797)
301.ID	-1.980***
	(0.0797)
302.ID	0.509***
	(0.0797)
303.ID	-1.447***
	(0.101)
304.ID	0.509***
	(0.0797)
305.ID	-0
	(0.0797)
306.ID	-1.588***
	(0.0797)
307.ID	-1.437***
	(0.0797)
308.ID	-1.088***
	(0.0797)
309.ID	-1.765***
	(0.0797)
310.ID	-1.980***
	(0.0797)
311.ID	-3.253***
	(0.0797)
312.ID	-0
	(0.0797)
313.ID	-1.765***
	(0.0797)
314.ID	-0.990
	(0.937)
315.ID	-1.980***
	(0.0797)
317.ID	-0
	(0.0797)
318.ID	-0
	(0.0797)
319.ID	-0
	(0.0797)
320.ID	-1.765***
	(0.0797)
321.ID	-1.588***
	(0.0797)
322.ID	0.397**
	(0.177)
323.ID	-0.628
	(1.083)
324.ID	-0
	(0.0797)
325.ID	-1.980***
	(0.0797)
326.ID	-0
	(0.0797)
327.ID	-0
	(0.0797)
328.ID	-0
	(0.0797)
329.ID	-1.980***
	(0.0797)
330.ID	0.286***
	(0.0797)
331.ID	-1.980***
	(0.0797)
332.ID	-0
	(0.0797)
333.ID	-0
	(0.0797)
334.ID	-1.980***
	(0.0797)
335.ID	-1.980***
	(0.0797)
336.ID	-0.0686
	(0.0797)
337.ID	-1.980***
	(0.0797)
338.ID	-0
	(0.0797)
339.ID	-0
	(0.0797)
340.ID	0.509***
	(0.0797)
341.ID	-0.739
	(0.972)
342.ID	-1.980***
	(0.0797)
343.ID	-0
	(0.0797)
344.ID	-1.588***
	(0.0797)
345.ID	-0
	(0.0797)
346.ID	-3.253***
	(0.0797)
347.ID	-1.588***
	(0.0797)
348.ID	-1.980***
	(0.0797)
349.ID	-1.626
	(1.573)
350.ID	-1.980***
	(0.0797)
352.ID	-0
	(0.0797)
353.ID	-0.403***
	(0.0797)
354.ID	-1.980***
	(0.0797)
355.ID	-1.588***
	(0.0797)
356.ID	-1.765***
	(0.0797)
357.ID	-0
	(0.0797)
358.ID	-1.980***
	(0.0797)
359.ID	-0.990
	(0.937)
361.ID	-1.980***
	(0.0797)
364.ID	0.286***
	(0.0797)
365.ID	-1.980***
	(0.0797)
366.ID	0.509***
	(0.0797)
369.ID	-0
	(0.0797)
370.ID	-0
	(0.0797)
372.ID	-0
	(0.0797)
373.ID	-1.980***
	(0.0797)
374.ID	-0
	(0.0797)
375.ID	-1.980***
	(0.0797)
377.ID	-0
	(0.0797)
378.ID	-1.980***
	(0.0797)
379.ID	-1.872***
	(0.0763)
381.ID	-2.117***
	(0.0987)
382.ID	-3.253***
	(0.0797)
383.ID	-1.980***
	(0.0797)
385.ID	-0
	(0.0797)
386.ID	-2.634***
	(0.0797)
387.ID	-1.980***
	(0.0797)
388.ID	-1.765***
	(0.0797)
389.ID	-0
	(0.0797)
390.ID	0.509***
	(0.0797)
391.ID	-1.980***
	(0.0797)
393.ID	-0
	(0.0797)
394.ID	-0
	(0.0797)
395.ID	-0
	(0.0797)
396.ID	-0
	(0.0797)
397.ID	-1.980***
	(0.0797)
398.ID	-2.307***
	(0.277)
399.ID	-1.765***
	(0.0797)
400.ID	-0
	(0.0797)
401.ID	-1.088***
	(0.0797)
402.ID	-1.980***
	(0.0797)
403.ID	-1.980***
	(0.0797)
404.ID	-1.588***
	(0.0797)
405.ID	-1.980***
	(0.0797)
406.ID	-0.745*
	(0.403)
407.ID	-0
	(0.0797)
408.ID	0.509***
	(0.0797)
409.ID	-2.634***
	(0.0797)
410.ID	-1.980***
	(0.0797)
411.ID	-2.117***
	(0.0987)
412.ID	-0
	(0.0797)
413.ID	-1.588***
	(0.0797)
414.ID	-1.980***
	(0.0797)
415.ID	-1.980***
	(0.0797)
416.ID	-1.765***
	(0.0797)
417.ID	-2.634***
	(0.0797)
418.ID	-1.980***
	(0.0797)
419.ID	-0.990
	(0.937)
420.ID	-1.765***
	(0.0797)
421.ID	-1.980***
	(0.0797)
423.ID	-0
	(0.0797)
424.ID	-0
	(0.0797)
425.ID	-0
	(0.0797)
426.ID	-1.980***
	(0.0797)
428.ID	-1.980***
	(0.0797)
429.ID	-0.990
	(0.937)
430.ID	0.509***
	(0.0797)
431.ID	-1.872***
	(0.0763)
432.ID	-0
	(0.0797)
433.ID	-1.980***
	(0.0797)
434.ID	-1.980***
	(0.0797)
435.ID	0.509***
	(0.0797)
436.ID	-0.628
	(1.083)
437.ID	-2.254***
	(0.0797)
438.ID	-0
	(0.0797)
439.ID	-0
	(0.0797)
440.ID	-1.765***
	(0.0797)
441.ID	-0
	(0.0797)
442.ID	-0
	(0.0797)
445.ID	-1.980***
	(0.0797)
446.ID	-0
	(0.0797)
447.ID	-1.088***
	(0.0797)
448.ID	-0
	(0.0797)
449.ID	-0
	(0.0797)
450.ID	-1.980***
	(0.0797)
451.ID	-0
	(0.0797)
452.ID	-1.765***
	(0.0797)
453.ID	0.509***
	(0.0797)
454.ID	-1.765***
	(0.0797)
455.ID	-0
	(0.0797)
456.ID	-2.943***
	(0.260)
457.ID	0.509***
	(0.0797)
458.ID	0.509***
	(0.0797)
459.ID	-1.765***
	(0.0797)
460.ID	-1.980***
	(0.0797)
461.ID	0.509***
	(0.0797)
462.ID	-0
	(0.0797)
464.ID	-0
	(0.0797)
465.ID	-1.088***
	(0.0797)
466.ID	-0
	(0.0797)
467.ID	-0
	(0.0797)
468.ID	-0
	(0.0797)
469.ID	-1.980***
	(0.0797)
470.ID	-0
	(0.0797)
471.ID	0.509***
	(0.0797)
472.ID	0.509***
	(0.0797)
473.ID	-0
