	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0172*
	(0.00959)
1.ID	0.392***
	(0.0122)
2.ID	1.980***
	(0.0122)
3.ID	-0
	(0.0122)
4.ID	1.980***
	(0.0122)
5.ID	0.215***
	(0.0122)
6.ID	-0
	(0.0122)
7.ID	1.980***
	(0.0122)
8.ID	0.215***
	(0.0122)
9.ID	-0
	(0.0122)
10.ID	2.488***
	(0.0122)
12.ID	2.488***
	(0.0122)
14.ID	1.980***
	(0.0122)
15.ID	-0
	(0.0122)
16.ID	1.980***
	(0.0122)
17.ID	-0
	(0.0122)
18.ID	-0
	(0.0122)
19.ID	0.215***
	(0.0122)
20.ID	1.980***
	(0.0122)
21.ID	0.215***
	(0.0122)
22.ID	0.392***
	(0.0122)
23.ID	1.980***
	(0.0122)
24.ID	1.980***
	(0.0122)
25.ID	0.215***
	(0.0122)
26.ID	-0.654***
	(0.0122)
27.ID	-0
	(0.0122)
28.ID	-0
	(0.0122)
29.ID	-0
	(0.0122)
30.ID	-0
	(0.0122)
31.ID	1.072***
	(0.0122)
32.ID	1.980***
	(0.0122)
33.ID	1.980***
	(0.0122)
34.ID	1.980***
	(0.0122)
35.ID	-0
	(0.0122)
36.ID	-0
	(0.0122)
37.ID	-0
	(0.0122)
38.ID	-0
	(0.0122)
39.ID	1.980***
	(0.0122)
40.ID	1.980***
	(0.0122)
41.ID	0.392***
	(0.0122)
42.ID	2.488***
	(0.0122)
43.ID	-0
	(0.0122)
46.ID	0.215***
	(0.0122)
47.ID	-0.274***
	(0.0122)
48.ID	1.980***
	(0.0122)
49.ID	1.980***
	(0.0122)
50.ID	1.980***
	(0.0122)
51.ID	-0
	(0.0122)
52.ID	1.097
	(0.892)
53.ID	2.488***
	(0.0122)
54.ID	-0
	(0.0122)
55.ID	-0
	(0.0122)
56.ID	1.980***
	(0.0122)
57.ID	-0
	(0.0122)
58.ID	1.980***
	(0.0122)
59.ID	0.673***
	(0.0122)
60.ID	-0
	(0.0122)
61.ID	-0
	(0.0122)
62.ID	0.215***
	(0.0122)
63.ID	-0
	(0.0122)
64.ID	2.266***
	(0.0122)
65.ID	0.990
	(0.983)
66.ID	0.215***
	(0.0122)
67.ID	1.980***
	(0.0122)
68.ID	1.577***
	(0.0122)
69.ID	-0
	(0.0122)
70.ID	2.488***
	(0.0122)
71.ID	2.488***
	(0.0122)
72.ID	2.488***
	(0.0122)
73.ID	-0
	(0.0122)
74.ID	2.488***
	(0.0122)
76.ID	-0
	(0.0122)
77.ID	0.215***
	(0.0122)
78.ID	-0
	(0.0122)
79.ID	-0
	(0.0122)
80.ID	1.980***
	(0.0122)
81.ID	-0
	(0.0122)
82.ID	0.392***
	(0.0122)
83.ID	0.215***
	(0.0122)
84.ID	2.266***
	(0.0122)
85.ID	1.980***
	(0.0122)
86.ID	0.990
	(1.000)
87.ID	1.980***
	(0.0122)
88.ID	2.488***
	(0.0122)
89.ID	-0
	(0.0122)
90.ID	-0
	(0.0122)
91.ID	1.356***
	(0.0122)
92.ID	-0.654***
	(0.0122)
93.ID	0.392***
	(0.0122)
94.ID	-0
	(0.0122)
95.ID	2.488***
	(0.0122)
96.ID	-0
	(0.0122)
97.ID	-0.916***
	(0.0122)
98.ID	0.892***
	(0.0122)
99.ID	0.215***
	(0.0122)
100.ID	0.215***
	(0.0122)
101.ID	-0
	(0.0122)
102.ID	-0.654***
	(0.0122)
103.ID	-0
	(0.0122)
104.ID	-0
	(0.0122)
105.ID	-0
	(0.0122)
106.ID	2.488***
	(0.0122)
107.ID	2.488***
	(0.0122)
108.ID	2.488***
	(0.0122)
109.ID	0.215***
	(0.0122)
110.ID	-0.654***
	(0.0122)
111.ID	-0.654***
	(0.0122)
112.ID	1.980***
	(0.0122)
113.ID	-0
	(0.0122)
114.ID	1.980***
	(0.0122)
115.ID	1.980***
	(0.0122)
116.ID	0.215***
	(0.0122)
117.ID	1.980***
	(0.0122)
118.ID	1.980***
	(0.0122)
119.ID	2.488***
	(0.0122)
120.ID	1.224***
	(0.0122)
121.ID	1.980***
	(0.0122)
122.ID	2.488***
	(0.0122)
123.ID	2.377***
	(0.103)
125.ID	1.980***
	(0.0122)
126.ID	1.980***
	(0.0122)
127.ID	-0.654***
	(0.0122)
128.ID	0.215***
	(0.0122)
129.ID	1.980***
	(0.0122)
130.ID	-0
	(0.0122)
131.ID	0.215***
	(0.0122)
132.ID	-0.654***
	(0.0122)
133.ID	1.980***
	(0.0122)
134.ID	0.892***
	(0.0122)
135.ID	1.980***
	(0.0122)
136.ID	1.980***
	(0.0122)
137.ID	1.980***
	(0.0122)
138.ID	2.488***
	(0.0122)
139.ID	-0
	(0.0122)
140.ID	0.392***
	(0.0122)
142.ID	-0
	(0.0122)
144.ID	-0
	(0.0122)
145.ID	0.215***
	(0.0122)
146.ID	1.980***
	(0.0122)
147.ID	2.488***
	(0.0122)
148.ID	1.980***
	(0.0122)
149.ID	-0.654***
	(0.0122)
150.ID	-0
	(0.0122)
151.ID	0.215***
	(0.0122)
152.ID	1.980***
	(0.0122)
153.ID	1.980***
	(0.0122)
154.ID	2.488***
	(0.0122)
155.ID	-0
	(0.0122)
156.ID	-0
	(0.0122)
157.ID	1.980***
	(0.0122)
158.ID	1.980***
	(0.0122)
159.ID	0.215***
	(0.0122)
160.ID	1.980***
	(0.0122)
161.ID	2.266***
	(0.0122)
163.ID	0.215***
	(0.0122)
164.ID	-0
	(0.0122)
165.ID	-0
	(0.0122)
166.ID	1.980***
	(0.0122)
167.ID	-0
	(0.0122)
168.ID	1.980***
	(0.0122)
169.ID	1.980***
	(0.0122)
170.ID	0.215***
	(0.0122)
171.ID	0.215***
	(0.0122)
172.ID	-0
	(0.0122)
173.ID	1.980***
	(0.0122)
174.ID	1.186
	(0.804)
175.ID	0.215***
	(0.0122)
176.ID	-0
	(0.0122)
177.ID	1.980***
	(0.0122)
178.ID	-0.654***
	(0.0122)
179.ID	-0
	(0.0122)
180.ID	1.151***
	(0.0122)
181.ID	-0.654***
	(0.0122)
182.ID	-0
	(0.0122)
183.ID	0.215***
	(0.0122)
184.ID	-0
	(0.0122)
185.ID	2.488***
	(0.0122)
186.ID	1.577***
	(0.0122)
187.ID	2.488***
	(0.0122)
188.ID	1.980***
	(0.0122)
189.ID	0.215***
	(0.0122)
190.ID	-0
	(0.0122)
191.ID	0.215***
	(0.0122)
192.ID	-0
	(0.0122)
194.ID	1.980***
	(0.0122)
196.ID	-0
	(0.0122)
197.ID	1.980***
	(0.0122)
198.ID	-0
	(0.0122)
199.ID	-0
	(0.0122)
201.ID	-0
	(0.0122)
202.ID	1.980***
	(0.0122)
203.ID	2.488***
	(0.0122)
204.ID	2.488***
	(0.0122)
205.ID	1.980***
	(0.0122)
206.ID	-0
	(0.0122)
207.ID	-0
	(0.0122)
208.ID	-0
	(0.0122)
209.ID	2.488***
	(0.0122)
210.ID	-0
	(0.0122)
212.ID	-0
	(0.0122)
213.ID	2.488***
	(0.0122)
214.ID	0.990
	(0.983)
215.ID	-1.264***
	(0.00986)
217.ID	1.980***
	(0.0122)
218.ID	-0
	(0.0122)
219.ID	0.215***
	(0.0122)
220.ID	1.980***
	(0.0122)
221.ID	1.980***
	(0.0122)
222.ID	2.488***
	(0.0122)
223.ID	0.215***
	(0.0122)
224.ID	2.488***
	(0.0122)
225.ID	1.980***
	(0.0122)
226.ID	-0.274***
	(0.0122)
227.ID	1.980***
	(0.0122)
228.ID	2.488***
	(0.0122)
229.ID	1.980***
	(0.0122)
230.ID	1.980***
	(0.0122)
231.ID	1.097
	(0.875)
232.ID	-0
	(0.0122)
233.ID	0.215***
	(0.0122)
234.ID	1.980***
	(0.0122)
235.ID	0.892***
	(0.0122)
236.ID	2.377***
	(0.120)
237.ID	1.980***
	(0.0122)
238.ID	1.980***
	(0.0122)
239.ID	2.377***
	(0.120)
240.ID	1.980***
	(0.0122)
241.ID	1.980***
	(0.0122)
242.ID	-0
	(0.0122)
243.ID	1.577***
	(0.0122)
244.ID	2.266***
	(0.0122)
245.ID	-0
	(0.0122)
246.ID	1.980***
	(0.0122)
247.ID	1.980***
	(0.0122)
248.ID	0.392***
	(0.0122)
249.ID	-0
	(0.0122)
250.ID	2.488***
	(0.0122)
251.ID	-0
	(0.0122)
252.ID	0.215***
	(0.0122)
253.ID	-0
	(0.0122)
254.ID	-0
	(0.0122)
255.ID	2.488***
	(0.0122)
256.ID	1.980***
	(0.0122)
257.ID	1.980***
	(0.0122)
258.ID	-0
	(0.0122)
259.ID	1.980***
	(0.0122)
260.ID	1.980***
	(0.0122)
261.ID	-0.654***
	(0.0122)
263.ID	-0
	(0.0122)
264.ID	2.488***
	(0.0122)
266.ID	1.980***
	(0.0122)
267.ID	0.215***
	(0.0122)
268.ID	1.980***
	(0.0122)
269.ID	-0
	(0.0122)
270.ID	1.980***
	(0.0122)
271.ID	-0
	(0.0122)
272.ID	2.488***
	(0.0122)
274.ID	-0
	(0.0122)
275.ID	0.215***
	(0.0122)
276.ID	1.577***
	(0.0122)
277.ID	1.980***
	(0.0122)
278.ID	-0.446***
	(0.0122)
279.ID	0.215***
	(0.0122)
280.ID	1.980***
	(0.0122)
281.ID	1.980***
	(0.0122)
282.ID	-0.137
	(0.129)
283.ID	-0
	(0.0122)
284.ID	-0
	(0.0122)
285.ID	-0
	(0.0122)
286.ID	-0
	(0.0122)
288.ID	1.980***
	(0.0122)
289.ID	1.980***
	(0.0122)
290.ID	1.980***
	(0.0122)
291.ID	-0
	(0.0122)
292.ID	2.266***
	(0.0122)
293.ID	-0
	(0.0122)
294.ID	0.392***
	(0.0122)
295.ID	-0
	(0.0122)
296.ID	0.673***
	(0.0122)
297.ID	1.980***
	(0.0122)
298.ID	1.980***
	(0.0122)
299.ID	2.234***
	(0.246)
300.ID	1.097
	(0.892)
301.ID	-0
	(0.0122)
302.ID	2.488***
	(0.0122)
303.ID	0.673***
	(0.0122)
304.ID	2.488***
	(0.0122)
305.ID	1.980***
	(0.0122)
306.ID	0.392***
	(0.0122)
307.ID	0.215***
	(0.0122)
308.ID	0.892***
	(0.0122)
309.ID	0.215***
	(0.0122)
310.ID	-0
	(0.0122)
311.ID	-1.273***
	(0.0122)
312.ID	1.980***
	(0.0122)
313.ID	0.215***
	(0.0122)
314.ID	-0
	(0.0122)
315.ID	-0
	(0.0122)
316.ID	0.392***
	(0.0122)
317.ID	1.980***
	(0.0122)
318.ID	1.980***
	(0.0122)
319.ID	1.980***
	(0.0122)
320.ID	0.215***
	(0.0122)
321.ID	0.392***
	(0.0122)
322.ID	2.266***
	(0.0122)
323.ID	1.352
	(1.130)
324.ID	0.990
	(0.983)
325.ID	-0
	(0.0122)
326.ID	1.980***
	(0.0122)
327.ID	1.980***
	(0.0122)
328.ID	1.980***
	(0.0122)
329.ID	-0
	(0.0122)
330.ID	2.266***
	(0.0122)
331.ID	-0
	(0.0122)
332.ID	1.980***
	(0.0122)
333.ID	1.980***
	(0.0122)
334.ID	-0
	(0.0122)
335.ID	-0
	(0.0122)
336.ID	1.911***
	(0.0122)
337.ID	-0
	(0.0122)
338.ID	1.980***
	(0.0122)
339.ID	1.980***
	(0.0122)
340.ID	2.488***
	(0.0122)
341.ID	0.215***
	(0.0122)
342.ID	-0
	(0.0122)
343.ID	1.980***
	(0.0122)
344.ID	0.215***
	(0.0122)
345.ID	2.488***
	(0.0122)
346.ID	-1.273***
	(0.0122)
347.ID	0.392***
	(0.0122)
348.ID	-0
	(0.0122)
349.ID	-1.273***
	(0.0122)
352.ID	1.980***
	(0.0122)
353.ID	1.577***
	(0.0122)
354.ID	-0
	(0.0122)
355.ID	0.392***
	(0.0122)
356.ID	0.215***
	(0.0122)
357.ID	1.980***
	(0.0122)
358.ID	-0
	(0.0122)
359.ID	1.980***
	(0.0122)
361.ID	-0
	(0.0122)
364.ID	2.266***
	(0.0122)
365.ID	-0
	(0.0122)
366.ID	2.377***
	(0.120)
369.ID	1.980***
	(0.0122)
370.ID	1.980***
	(0.0122)
372.ID	1.980***
	(0.0122)
373.ID	-0
	(0.0122)
374.ID	1.980***
	(0.0122)
375.ID	-0
	(0.0122)
377.ID	-0
	(0.0122)
378.ID	-0
	(0.0122)
379.ID	0.215***
	(0.0122)
381.ID	-0
	(0.0122)
382.ID	-1.273***
	(0.0122)
383.ID	-0
	(0.0122)
385.ID	1.980***
	(0.0122)
386.ID	-0.654***
	(0.0122)
387.ID	-0
	(0.0122)
388.ID	0.215***
	(0.0122)
389.ID	1.980***
	(0.0122)
390.ID	2.488***
	(0.0122)
391.ID	-0
	(0.0122)
393.ID	2.234***
	(0.246)
394.ID	1.980***
	(0.0122)
395.ID	1.980***
	(0.0122)
396.ID	1.980***
	(0.0122)
397.ID	-0
	(0.0122)
398.ID	-0.654***
	(0.0122)
399.ID	0.215***
	(0.0122)
400.ID	0.990
	(1.000)
401.ID	0.892***
	(0.0122)
402.ID	-0
	(0.0122)
403.ID	-0
	(0.0122)
404.ID	0.392***
	(0.0122)
405.ID	-0
	(0.0122)
406.ID	1.577***
	(0.0122)
407.ID	1.980***
	(0.0122)
408.ID	2.234***
	(0.263)
409.ID	-0.654***
	(0.0122)
410.ID	-0
	(0.0122)
411.ID	-0.137
	(0.129)
412.ID	1.980***
	(0.0122)
413.ID	0.392***
	(0.0122)
414.ID	-0
	(0.0122)
415.ID	-0
	(0.0122)
416.ID	0.215***
	(0.0122)
417.ID	-0.654***
	(0.0122)
418.ID	-0
	(0.0122)
419.ID	-0
	(0.0122)
420.ID	0.215***
	(0.0122)
421.ID	-0
	(0.0122)
423.ID	1.980***
	(0.0122)
424.ID	1.980***
	(0.0122)
425.ID	1.980***
	(0.0122)
426.ID	-0
	(0.0122)
428.ID	-0
	(0.0122)
429.ID	-0
	(0.0122)
430.ID	2.488***
	(0.0122)
431.ID	0.215***
	(0.0122)
432.ID	1.980***
	(0.0122)
433.ID	-0
	(0.0122)
434.ID	-0
	(0.0122)
435.ID	2.488***
	(0.0122)
436.ID	0.215***
	(0.0122)
437.ID	-0.654***
	(0.0122)
438.ID	1.980***
	(0.0122)
439.ID	1.980***
	(0.0122)
440.ID	0.215***
	(0.0122)
441.ID	1.980***
	(0.0122)
442.ID	1.472***
	(0.0122)
445.ID	-0
	(0.0122)
446.ID	1.980***
	(0.0122)
447.ID	0.892***
	(0.0122)
448.ID	1.980***
	(0.0122)
449.ID	1.980***
	(0.0122)
450.ID	-0
	(0.0122)
451.ID	1.980***
	(0.0122)
452.ID	0.215***
	(0.0122)
453.ID	2.488***
	(0.0122)
454.ID	0.215***
	(0.0122)
455.ID	1.980***
	(0.0122)
456.ID	-1.273***
	(0.0122)
457.ID	2.488***
	(0.0122)
458.ID	2.488***
	(0.0122)
459.ID	0.215***
	(0.0122)
460.ID	-0
	(0.0122)
461.ID	2.488***
	(0.0122)
462.ID	1.980***
	(0.0122)
464.ID	1.980***
	(0.0122)
465.ID	0.892***
	(0.0122)
466.ID	1.980***
	(0.0122)
467.ID	1.980***
	(0.0122)
468.ID	2.488***
	(0.0122)
469.ID	-0
	(0.0122)
470.ID	1.980***
	(0.0122)
471.ID	2.488***
	(0.0122)
472.ID	2.488***
	(0.0122)
473.ID	1.980***
	(0.0122)
474.ID	1.980***
	(0.0122)
475.ID	-0
	(0.0122)
476.ID	1.980***
	(0.0122)
477.ID	2.266***
	(0.0122)
478.ID	2.488***
	(0.0122)
479.ID	1.980***
	(0.0122)
480.ID	0.892***
	(0.0122)
481.ID	1.980***
	(0.0122)
482.ID	2.488***
	(0.0122)
483.ID	-0.654***
	(0.0122)
