	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00453
	(0.00951)
1.ID	0.196
	(0.194)
2.ID	1.784***
	(0.194)
3.ID	-0.196
	(0.194)
4.ID	1.784***
	(0.194)
5.ID	0.0191
	(0.194)
6.ID	-0.196
	(0.194)
7.ID	1.784***
	(0.194)
8.ID	1.156
	(1.157)
9.ID	-0.196
	(0.194)
10.ID	2.292***
	(0.194)
12.ID	2.292***
	(0.194)
14.ID	1.784***
	(0.194)
15.ID	-0.196
	(0.194)
16.ID	1.784***
	(0.194)
17.ID	-0.196
	(0.194)
18.ID	-0.196
	(0.194)
19.ID	0.0191
	(0.194)
20.ID	1.784***
	(0.194)
21.ID	0.901
	(0.907)
22.ID	0.196
	(0.194)
23.ID	1.784***
	(0.194)
24.ID	1.784***
	(0.194)
25.ID	0.0191
	(0.194)
26.ID	-0.850***
	(0.194)
27.ID	-0.196
	(0.194)
28.ID	-0.196
	(0.194)
29.ID	-0.196
	(0.194)
30.ID	-0.196
	(0.194)
31.ID	0.876***
	(0.194)
32.ID	1.784***
	(0.194)
33.ID	1.784***
	(0.194)
34.ID	1.784***
	(0.194)
35.ID	-0.196
	(0.194)
36.ID	-0.196
	(0.194)
37.ID	-0.196
	(0.194)
38.ID	-0.196
	(0.194)
39.ID	1.784***
	(0.194)
40.ID	1.784***
	(0.194)
41.ID	0.196
	(0.194)
42.ID	2.292***
	(0.194)
43.ID	-0.196
	(0.194)
46.ID	0.0191
	(0.194)
47.ID	-0.470**
	(0.194)
48.ID	1.784***
	(0.194)
49.ID	1.784***
	(0.194)
50.ID	1.784***
	(0.194)
51.ID	-0.196
	(0.194)
52.ID	0.0191
	(0.194)
53.ID	1.927***
	(0.240)
54.ID	-0.196
	(0.194)
55.ID	-0.196
	(0.194)
56.ID	1.784***
	(0.194)
57.ID	-0.196
	(0.194)
58.ID	1.784***
	(0.194)
59.ID	0.477**
	(0.194)
60.ID	-0.196
	(0.194)
61.ID	-0.196
	(0.194)
62.ID	0.0191
	(0.194)
63.ID	-0.196
	(0.194)
64.ID	2.070***
	(0.194)
65.ID	-0.196
	(0.194)
66.ID	0.0191
	(0.194)
67.ID	1.784***
	(0.194)
68.ID	1.381***
	(0.194)
69.ID	-0.196
	(0.194)
70.ID	2.292***
	(0.194)
71.ID	2.292***
	(0.194)
72.ID	2.292***
	(0.194)
73.ID	-0.196
	(0.194)
74.ID	2.292***
	(0.194)
76.ID	-0.196
	(0.194)
77.ID	0.0191
	(0.194)
78.ID	-0.196
	(0.194)
79.ID	-0.196
	(0.194)
80.ID	1.784***
	(0.194)
81.ID	-0.196
	(0.194)
82.ID	0.196
	(0.194)
83.ID	0.0191
	(0.194)
84.ID	2.038***
	(0.318)
85.ID	1.784***
	(0.194)
86.ID	1.784***
	(0.194)
87.ID	1.784***
	(0.194)
88.ID	2.292***
	(0.194)
89.ID	-0.0885
	(0.223)
90.ID	-0.196
	(0.194)
91.ID	1.160***
	(0.194)
92.ID	-0.850***
	(0.194)
93.ID	0.196
	(0.194)
94.ID	-0.196
	(0.194)
95.ID	2.292***
	(0.194)
96.ID	-0.196
	(0.194)
97.ID	-1.112***
	(0.194)
98.ID	0.446
	(0.315)
99.ID	-0.0885
	(0.223)
100.ID	0.0191
	(0.194)
101.ID	-0.196
	(0.194)
102.ID	-0.850***
	(0.194)
103.ID	-0.196
	(0.194)
104.ID	-0.196
	(0.194)
105.ID	-0.196
	(0.194)
106.ID	2.292***
	(0.194)
107.ID	2.292***
	(0.194)
108.ID	2.292***
	(0.194)
109.ID	0.0191
	(0.194)
110.ID	-0.850***
	(0.194)
111.ID	-0.850***
	(0.194)
112.ID	1.784***
	(0.194)
113.ID	-0.196
	(0.194)
114.ID	1.784***
	(0.194)
115.ID	1.784***
	(0.194)
116.ID	0.0191
	(0.194)
117.ID	1.784***
	(0.194)
118.ID	1.784***
	(0.194)
119.ID	2.292***
	(0.194)
120.ID	1.028***
	(0.194)
121.ID	1.784***
	(0.194)
122.ID	2.292***
	(0.194)
123.ID	1.156
	(1.153)
125.ID	1.784***
	(0.194)
126.ID	1.784***
	(0.194)
127.ID	-0.850***
	(0.194)
128.ID	0.0191
	(0.194)
129.ID	1.784***
	(0.194)
130.ID	-0.196
	(0.194)
131.ID	0.0191
	(0.194)
132.ID	-0.850***
	(0.194)
133.ID	1.784***
	(0.194)
134.ID	0.358
	(0.393)
135.ID	0.794
	(1.008)
136.ID	0.794
	(1.013)
137.ID	1.784***
	(0.194)
138.ID	2.292***
	(0.194)
139.ID	-0.196
	(0.194)
140.ID	-0
	(0.275)
142.ID	-0.196
	(0.194)
144.ID	-0.196
	(0.194)
145.ID	0.0191
	(0.194)
146.ID	2.038***
	(0.318)
147.ID	2.292***
	(0.194)
148.ID	1.784***
	(0.194)
149.ID	-0.850***
	(0.194)
150.ID	-0.196
	(0.194)
151.ID	0.0191
	(0.194)
152.ID	1.784***
	(0.194)
153.ID	1.784***
	(0.194)
154.ID	2.292***
	(0.194)
155.ID	-0.196
	(0.194)
156.ID	-0.196
	(0.194)
157.ID	1.784***
	(0.194)
158.ID	1.784***
	(0.194)
159.ID	0.0191
	(0.194)
160.ID	1.784***
	(0.194)
161.ID	1.044
	(1.048)
163.ID	0.696***
	(0.194)
164.ID	-0.196
	(0.194)
165.ID	-0.196
	(0.194)
166.ID	1.784***
	(0.194)
167.ID	-0.196
	(0.194)
168.ID	1.784***
	(0.194)
169.ID	1.784***
	(0.194)
170.ID	0.0191
	(0.194)
171.ID	0.0191
	(0.194)
172.ID	-0.196
	(0.194)
173.ID	1.784***
	(0.194)
174.ID	1.784***
	(0.194)
175.ID	0.0191
	(0.194)
176.ID	-0.196
	(0.194)
177.ID	1.784***
	(0.194)
178.ID	-0.850***
	(0.194)
179.ID	-0.196
	(0.194)
180.ID	0.955***
	(0.194)
181.ID	-0.850***
	(0.194)
182.ID	-0.196
	(0.194)
183.ID	0.0191
	(0.194)
184.ID	-0.196
	(0.194)
185.ID	2.292***
	(0.194)
186.ID	1.582***
	(0.278)
187.ID	2.292***
	(0.194)
188.ID	1.784***
	(0.194)
189.ID	0.0191
	(0.194)
190.ID	-0.196
	(0.194)
191.ID	0.0191
	(0.194)
192.ID	-0.196
	(0.194)
194.ID	1.784***
	(0.194)
196.ID	-0.196
	(0.194)
197.ID	1.784***
	(0.194)
198.ID	-0.196
	(0.194)
199.ID	-0.196
	(0.194)
200.ID	1.784***
	(0.194)
201.ID	-0.196
	(0.194)
202.ID	1.784***
	(0.194)
203.ID	2.292***
	(0.194)
204.ID	2.292***
	(0.194)
205.ID	1.784***
	(0.194)
206.ID	-0.196
	(0.194)
207.ID	-0.196
	(0.194)
208.ID	-0.196
	(0.194)
209.ID	2.292***
	(0.194)
210.ID	-0.196
	(0.194)
212.ID	-0.196
	(0.194)
213.ID	2.292***
	(0.194)
214.ID	1.784***
	(0.194)
215.ID	-1.471***
	(0.194)
218.ID	-0.196
	(0.194)
219.ID	0.0191
	(0.194)
220.ID	1.784***
	(0.194)
221.ID	1.784***
	(0.194)
222.ID	2.292***
	(0.194)
223.ID	0.0191
	(0.194)
224.ID	2.038***
	(0.318)
225.ID	1.784***
	(0.194)
226.ID	-0.470**
	(0.194)
227.ID	1.784***
	(0.194)
228.ID	2.292***
	(0.194)
229.ID	1.784***
	(0.194)
230.ID	1.784***
	(0.194)
231.ID	0.0191
	(0.194)
232.ID	-0.196
	(0.194)
233.ID	0.0191
	(0.194)
234.ID	1.784***
	(0.194)
235.ID	0.743***
	(0.199)
236.ID	2.292***
	(0.194)
237.ID	1.784***
	(0.194)
238.ID	0.901
	(0.903)
239.ID	2.070***
	(0.194)
240.ID	1.784***
	(0.194)
241.ID	1.784***
	(0.194)
242.ID	-0.196
	(0.194)
243.ID	1.381***
	(0.194)
244.ID	1.927***
	(0.240)
245.ID	-0.196
	(0.194)
246.ID	1.784***
	(0.194)
247.ID	1.784***
	(0.194)
248.ID	0.196
	(0.194)
249.ID	-0.196
	(0.194)
250.ID	2.292***
	(0.194)
251.ID	-0.196
	(0.194)
252.ID	0.0191
	(0.194)
253.ID	-0.196
	(0.194)
254.ID	-0.196
	(0.194)
255.ID	2.292***
	(0.194)
256.ID	1.784***
	(0.194)
257.ID	1.784***
	(0.194)
258.ID	-0.196
	(0.194)
259.ID	1.784***
	(0.194)
260.ID	1.784***
	(0.194)
261.ID	-0.850***
	(0.194)
263.ID	-0.196
	(0.194)
264.ID	2.292***
	(0.194)
266.ID	1.784***
	(0.194)
267.ID	0.0191
	(0.194)
268.ID	1.784***
	(0.194)
269.ID	1.784***
	(0.194)
270.ID	1.784***
	(0.194)
271.ID	-0.196
	(0.194)
272.ID	2.292***
	(0.194)
274.ID	-0.196
	(0.194)
275.ID	0.0191
	(0.194)
276.ID	1.381***
	(0.194)
277.ID	1.784***
	(0.194)
278.ID	-0.642***
	(0.194)
279.ID	0.0191
	(0.194)
280.ID	1.784***
	(0.194)
281.ID	1.784***
	(0.194)
282.ID	-0.333
	(0.237)
283.ID	-0.196
	(0.194)
284.ID	-0.196
	(0.194)
285.ID	-0.196
	(0.194)
286.ID	-0.196
	(0.194)
288.ID	1.784***
	(0.194)
289.ID	1.784***
	(0.194)
290.ID	1.784***
	(0.194)
291.ID	-0.196
	(0.194)
292.ID	2.070***
	(0.194)
293.ID	-0.196
	(0.194)
294.ID	0.196
	(0.194)
295.ID	0.794
	(1.013)
296.ID	0.477**
	(0.194)
297.ID	1.784***
	(0.194)
298.ID	1.784***
	(0.194)
299.ID	2.292***
	(0.194)
300.ID	1.784***
	(0.194)
301.ID	-0.196
	(0.194)
302.ID	2.292***
	(0.194)
303.ID	0.477**
	(0.194)
304.ID	2.292***
	(0.194)
305.ID	1.784***
	(0.194)
306.ID	0.196
	(0.194)
307.ID	0.0191
	(0.194)
308.ID	0.696***
	(0.194)
309.ID	0.0191
	(0.194)
310.ID	-0.196
	(0.194)
311.ID	-1.469***
	(0.194)
313.ID	0.0191
	(0.194)
314.ID	-0
	(0.275)
315.ID	-0.196
	(0.194)
316.ID	0.196
	(0.194)
317.ID	1.784***
	(0.194)
318.ID	1.784***
	(0.194)
319.ID	1.784***
	(0.194)
320.ID	0.0191
	(0.194)
321.ID	0.196
	(0.194)
322.ID	2.181***
	(0.225)
323.ID	0.0191
	(0.194)
324.ID	0.794
	(1.008)
325.ID	-0.196
	(0.194)
326.ID	1.784***
	(0.194)
327.ID	1.784***
	(0.194)
328.ID	1.784***
	(0.194)
329.ID	-0.196
	(0.194)
330.ID	2.070***
	(0.194)
331.ID	-0.196
	(0.194)
332.ID	1.784***
	(0.194)
333.ID	1.530***
	(0.318)
334.ID	-0.196
	(0.194)
335.ID	-0.196
	(0.194)
336.ID	1.715***
	(0.194)
337.ID	-0.196
	(0.194)
338.ID	1.784***
	(0.194)
339.ID	1.784***
	(0.194)
340.ID	2.292***
	(0.194)
341.ID	0.0191
	(0.194)
342.ID	-0.196
	(0.194)
343.ID	1.784***
	(0.194)
344.ID	0.0191
	(0.194)
345.ID	2.038***
	(0.318)
346.ID	-1.469***
	(0.194)
347.ID	0.196
	(0.194)
348.ID	-0.196
	(0.194)
349.ID	-1.469***
	(0.194)
350.ID	-0.196
	(0.194)
352.ID	1.784***
	(0.194)
353.ID	1.381***
	(0.194)
354.ID	-0.196
	(0.194)
355.ID	0.196
	(0.194)
356.ID	0.108
	(0.214)
357.ID	1.784***
	(0.194)
358.ID	-0.196
	(0.194)
359.ID	0.794
	(1.008)
361.ID	-0.196
	(0.194)
364.ID	2.070***
	(0.194)
365.ID	-0.196
	(0.194)
366.ID	2.292***
	(0.194)
369.ID	1.784***
	(0.194)
370.ID	1.784***
	(0.194)
372.ID	1.784***
	(0.194)
373.ID	-0.196
	(0.194)
374.ID	1.784***
	(0.194)
375.ID	-0.196
	(0.194)
377.ID	0.794
	(1.008)
378.ID	-0.196
	(0.194)
379.ID	0.0191
	(0.194)
381.ID	-0.196
	(0.194)
382.ID	-1.469***
	(0.194)
383.ID	-0.196
	(0.194)
385.ID	1.784***
	(0.194)
386.ID	-0.850***
	(0.194)
387.ID	-0.196
	(0.194)
388.ID	0.0191
	(0.194)
389.ID	1.784***
	(0.194)
390.ID	2.292***
	(0.194)
391.ID	-0.196
	(0.194)
393.ID	1.784***
	(0.194)
394.ID	1.784***
	(0.194)
395.ID	1.784***
	(0.194)
396.ID	1.784***
	(0.194)
397.ID	-0.196
	(0.194)
398.ID	-0.850***
	(0.194)
399.ID	0.0191
	(0.194)
400.ID	1.784***
	(0.194)
401.ID	0.696***
	(0.194)
402.ID	-0.196
	(0.194)
403.ID	-0.196
	(0.194)
404.ID	0.196
	(0.194)
405.ID	-0.196
	(0.194)
406.ID	1.381***
	(0.194)
407.ID	1.784***
	(0.194)
408.ID	2.292***
	(0.194)
409.ID	-0.850***
	(0.194)
410.ID	-0.196
	(0.194)
411.ID	-0.333
	(0.237)
412.ID	1.784***
	(0.194)
413.ID	0.196
	(0.194)
414.ID	-0.196
	(0.194)
415.ID	-0.196
	(0.194)
416.ID	0.0191
	(0.194)
417.ID	-0.850***
	(0.194)
418.ID	-0.196
	(0.194)
419.ID	-0.196
	(0.194)
420.ID	0.0191
	(0.194)
421.ID	-0.196
	(0.194)
423.ID	1.784***
	(0.194)
424.ID	1.784***
	(0.194)
425.ID	1.784***
	(0.194)
426.ID	-0.333
	(0.237)
428.ID	-0.196
	(0.194)
429.ID	-0.196
	(0.194)
430.ID	2.292***
	(0.194)
431.ID	0.0191
	(0.194)
432.ID	1.784***
	(0.194)
433.ID	-0.196
	(0.194)
434.ID	-0.196
	(0.194)
435.ID	2.292***
	(0.194)
436.ID	0.0191
	(0.194)
437.ID	-0.850***
	(0.194)
438.ID	1.784***
	(0.194)
439.ID	1.784***
	(0.194)
440.ID	0.0191
	(0.194)
441.ID	1.784***
	(0.194)
442.ID	1.276***
	(0.194)
445.ID	-0.196
	(0.194)
446.ID	1.784***
	(0.194)
447.ID	0.696***
	(0.194)
448.ID	1.784***
	(0.194)
449.ID	1.784***
	(0.194)
450.ID	-0.196
	(0.194)
451.ID	1.784***
	(0.194)
452.ID	0.0191
	(0.194)
453.ID	2.292***
	(0.194)
454.ID	0.0191
	(0.194)
455.ID	1.784***
	(0.194)
456.ID	-0.850***
	(0.194)
457.ID	2.292***
	(0.194)
458.ID	2.292***
	(0.194)
459.ID	0.0191
	(0.194)
460.ID	-0.196
	(0.194)
461.ID	2.292***
	(0.194)
462.ID	1.784***
	(0.194)
464.ID	1.784***
	(0.194)
465.ID	0.696***
	(0.194)
466.ID	1.784***
	(0.194)
467.ID	1.784***
	(0.194)
468.ID	2.292***
	(0.194)
469.ID	-0.196
	(0.194)
470.ID	1.784***
	(0.194)
471.ID	2.292***
	(0.194)
472.ID	2.292***
	(0.194)
473.ID	1.784***
	(0.194)
474.ID	1.784***
	(0.194)
475.ID	-0.196
	(0.194)
476.ID	1.784***
	(0.194)
477.ID	2.070***
	(0.194)
478.ID	2.292***
	(0.194)
479.ID	1.784***
	(0.194)
480.ID	0.696***
	(0.194)
481.ID	1.784***
	(0.194)
482.ID	2.292***
	(0.194)
483.ID	-0.850***
	(0.194)
484.ID	2.070***
	(0.194)
485.ID	2.292***
	(0.194)
486.ID	-0.196
	(0.194)
488.ID	2.292***
	(0.194)
489.ID	-0.470**
	(0.194)
490.ID	-0.196
	(0.194)
491.ID	-1.471***
	(0.194)
493.ID	-0.196
	(0.194)
494.ID	1.784***
	(0.194)
495.ID	2.292***
	(0.194)
497.ID	0.0191
	(0.194)
