	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00564
	(0.00915)
2.treated	0.0116
	(0.00943)
1.ID	0.261*
	(0.134)
2.ID	1.849***
	(0.134)
3.ID	-0.131
	(0.134)
5.ID	0.0844
	(0.134)
6.ID	-0.131
	(0.134)
7.ID	1.849***
	(0.134)
8.ID	1.600**
	(0.770)
9.ID	-0.131
	(0.134)
10.ID	2.358***
	(0.134)
12.ID	2.358***
	(0.134)
14.ID	1.849***
	(0.134)
15.ID	-0.131
	(0.134)
16.ID	1.849***
	(0.134)
17.ID	0.529
	(0.671)
18.ID	-0.131
	(0.134)
19.ID	0.0844
	(0.134)
20.ID	1.849***
	(0.134)
21.ID	0.0844
	(0.134)
22.ID	0.261*
	(0.134)
23.ID	1.849***
	(0.134)
24.ID	1.849***
	(0.134)
25.ID	0.0844
	(0.134)
26.ID	-0.785***
	(0.134)
27.ID	-0.131
	(0.134)
28.ID	-0.131
	(0.134)
29.ID	-0.131
	(0.134)
30.ID	-0.131
	(0.134)
31.ID	0.941***
	(0.134)
32.ID	1.846***
	(0.134)
33.ID	1.849***
	(0.134)
34.ID	1.849***
	(0.134)
35.ID	-0.131
	(0.134)
36.ID	-0.131
	(0.134)
37.ID	-0.131
	(0.134)
38.ID	-0.131
	(0.134)
39.ID	1.849***
	(0.134)
40.ID	1.849***
	(0.134)
41.ID	0.261*
	(0.134)
42.ID	2.358***
	(0.134)
43.ID	-0.131
	(0.134)
46.ID	0.0844
	(0.134)
47.ID	-0.405***
	(0.134)
48.ID	1.849***
	(0.134)
49.ID	1.849***
	(0.134)
50.ID	1.849***
	(0.134)
51.ID	-0.131
	(0.134)
52.ID	0.0844
	(0.134)
53.ID	2.283***
	(0.153)
55.ID	-0.131
	(0.134)
56.ID	1.849***
	(0.134)
57.ID	-0.131
	(0.134)
58.ID	1.849***
	(0.134)
59.ID	0.542***
	(0.134)
60.ID	-0.131
	(0.134)
61.ID	-0.131
	(0.134)
62.ID	0.0844
	(0.134)
63.ID	-0.131
	(0.134)
64.ID	2.040***
	(0.166)
65.ID	-0.131
	(0.134)
66.ID	0.0844
	(0.134)
67.ID	1.849***
	(0.134)
68.ID	1.446***
	(0.134)
69.ID	-0.131
	(0.134)
70.ID	2.209***
	(0.152)
71.ID	2.358***
	(0.134)
72.ID	2.358***
	(0.134)
73.ID	-0.131
	(0.134)
74.ID	2.358***
	(0.134)
76.ID	-0.131
	(0.134)
77.ID	0.0844
	(0.134)
78.ID	-0.131
	(0.134)
79.ID	-0.131
	(0.134)
80.ID	1.849***
	(0.134)
81.ID	-0.131
	(0.134)
82.ID	0.261*
	(0.134)
83.ID	0.0844
	(0.134)
84.ID	2.018***
	(0.216)
85.ID	1.849***
	(0.134)
86.ID	1.849***
	(0.134)
87.ID	1.849***
	(0.134)
88.ID	2.358***
	(0.134)
89.ID	-0.131
	(0.134)
90.ID	-0.131
	(0.134)
91.ID	1.225***
	(0.134)
92.ID	-0.785***
	(0.134)
93.ID	0.261*
	(0.134)
94.ID	-0.131
	(0.134)
95.ID	2.358***
	(0.134)
96.ID	-0.131
	(0.134)
97.ID	-1.047***
	(0.134)
98.ID	0.761***
	(0.134)
99.ID	0.0127
	(0.152)
100.ID	0.0844
	(0.134)
101.ID	-0.131
	(0.134)
102.ID	-0.785***
	(0.134)
103.ID	-0.131
	(0.134)
104.ID	-0.131
	(0.134)
105.ID	-0.131
	(0.134)
106.ID	2.358***
	(0.134)
107.ID	2.358***
	(0.134)
108.ID	2.188***
	(0.214)
109.ID	0.0844
	(0.134)
110.ID	-0.785***
	(0.134)
111.ID	-0.785***
	(0.134)
112.ID	1.849***
	(0.134)
113.ID	-0.131
	(0.134)
114.ID	1.849***
	(0.134)
115.ID	1.849***
	(0.134)
116.ID	0.0844
	(0.134)
117.ID	1.849***
	(0.134)
118.ID	1.849***
	(0.134)
119.ID	2.358***
	(0.134)
120.ID	1.093***
	(0.134)
121.ID	1.849***
	(0.134)
122.ID	2.188***
	(0.216)
123.ID	2.358***
	(0.134)
125.ID	1.849***
	(0.134)
126.ID	1.849***
	(0.134)
127.ID	-0.785***
	(0.134)
128.ID	0.0844
	(0.134)
129.ID	1.849***
	(0.134)
130.ID	-0.131
	(0.134)
131.ID	0.0844
	(0.134)
132.ID	-0.785***
	(0.134)
133.ID	1.849***
	(0.134)
134.ID	0.761***
	(0.134)
135.ID	1.849***
	(0.134)
136.ID	0.529
	(0.671)
137.ID	1.189*
	(0.674)
138.ID	2.358***
	(0.134)
139.ID	-0.131
	(0.134)
140.ID	0.261*
	(0.134)
142.ID	-0.131
	(0.134)
144.ID	-0.131
	(0.134)
145.ID	0.0127
	(0.152)
146.ID	1.849***
	(0.134)
147.ID	2.358***
	(0.134)
148.ID	1.849***
	(0.134)
149.ID	-0.785***
	(0.134)
150.ID	-0.131
	(0.134)
151.ID	0.0844
	(0.134)
152.ID	1.849***
	(0.134)
153.ID	1.849***
	(0.134)
154.ID	2.188***
	(0.218)
155.ID	-0.131
	(0.134)
156.ID	-0.131
	(0.134)
157.ID	1.849***
	(0.134)
158.ID	1.849***
	(0.134)
159.ID	0.0844
	(0.134)
160.ID	1.849***
	(0.134)
161.ID	2.135***
	(0.134)
163.ID	0.673
	(0.601)
164.ID	-0.131
	(0.134)
165.ID	-0.131
	(0.134)
166.ID	1.849***
	(0.134)
167.ID	-0.131
	(0.134)
168.ID	1.849***
	(0.134)
169.ID	1.849***
	(0.134)
170.ID	0.673
	(0.607)
171.ID	0.0844
	(0.134)
172.ID	-0.131
	(0.134)
173.ID	1.849***
	(0.134)
174.ID	1.849***
	(0.134)
175.ID	0.0844
	(0.134)
176.ID	-0.131
	(0.134)
177.ID	1.849***
	(0.134)
178.ID	-0.785***
	(0.134)
179.ID	-0.131
	(0.134)
180.ID	1.020***
	(0.134)
181.ID	-0.785***
	(0.134)
182.ID	-0.131
	(0.134)
183.ID	0.0844
	(0.134)
184.ID	-0.131
	(0.134)
185.ID	2.358***
	(0.134)
186.ID	1.580***
	(0.190)
187.ID	2.358***
	(0.134)
188.ID	1.849***
	(0.134)
189.ID	0.0844
	(0.134)
190.ID	-0.131
	(0.134)
191.ID	0.0844
	(0.134)
192.ID	0.529
	(0.674)
194.ID	1.849***
	(0.134)
196.ID	-0.131
	(0.134)
197.ID	1.849***
	(0.134)
198.ID	-0.131
	(0.134)
199.ID	-0.131
	(0.134)
200.ID	1.849***
	(0.134)
201.ID	-0.131
	(0.134)
202.ID	1.849***
	(0.134)
203.ID	2.358***
	(0.134)
204.ID	2.358***
	(0.134)
205.ID	1.849***
	(0.134)
206.ID	-0.131
	(0.134)
207.ID	-0.131
	(0.134)
208.ID	-0.131
	(0.134)
209.ID	2.188***
	(0.218)
210.ID	-0.131
	(0.134)
212.ID	-0.131
	(0.134)
213.ID	2.358***
	(0.134)
214.ID	1.849***
	(0.134)
217.ID	1.849***
	(0.134)
218.ID	-0.131
	(0.134)
219.ID	0.0844
	(0.134)
220.ID	1.849***
	(0.134)
221.ID	1.849***
	(0.134)
222.ID	2.358***
	(0.134)
223.ID	0.0844
	(0.134)
224.ID	2.018***
	(0.218)
225.ID	1.849***
	(0.134)
226.ID	-0.405***
	(0.134)
227.ID	1.849***
	(0.134)
228.ID	2.358***
	(0.134)
229.ID	1.849***
	(0.134)
230.ID	1.849***
	(0.134)
231.ID	0.0844
	(0.134)
232.ID	-0.131
	(0.134)
233.ID	0.0844
	(0.134)
234.ID	1.849***
	(0.134)
235.ID	0.761***
	(0.134)
236.ID	2.358***
	(0.134)
237.ID	1.849***
	(0.134)
238.ID	1.849***
	(0.134)
239.ID	2.135***
	(0.134)
240.ID	1.849***
	(0.134)
241.ID	1.849***
	(0.134)
242.ID	-0.131
	(0.134)
243.ID	1.446***
	(0.134)
244.ID	2.135***
	(0.134)
245.ID	-0.131
	(0.134)
246.ID	1.849***
	(0.134)
247.ID	1.849***
	(0.134)
248.ID	0.261*
	(0.134)
249.ID	-0.131
	(0.134)
250.ID	2.358***
	(0.134)
251.ID	-0.131
	(0.134)
252.ID	0.0844
	(0.134)
253.ID	-0.131
	(0.134)
254.ID	-0.131
	(0.134)
255.ID	2.358***
	(0.134)
256.ID	1.849***
	(0.134)
257.ID	1.849***
	(0.134)
258.ID	-0.131
	(0.134)
259.ID	1.849***
	(0.134)
260.ID	1.849***
	(0.134)
261.ID	-0.785***
	(0.134)
263.ID	-0.131
	(0.134)
264.ID	2.358***
	(0.134)
266.ID	1.849***
	(0.134)
267.ID	0.0844
	(0.134)
268.ID	1.849***
	(0.134)
269.ID	0.529
	(0.671)
270.ID	1.849***
	(0.134)
271.ID	-0.131
	(0.134)
272.ID	2.358***
	(0.134)
274.ID	-0.131
	(0.134)
275.ID	0.842
	(0.770)
276.ID	1.446***
	(0.134)
277.ID	1.849***
	(0.134)
278.ID	-0.577***
	(0.134)
279.ID	0.0844
	(0.134)
280.ID	1.849***
	(0.134)
281.ID	1.849***
	(0.134)
282.ID	-0.405***
	(0.134)
283.ID	-0.131
	(0.134)
284.ID	-0.131
	(0.134)
285.ID	-0.131
	(0.134)
286.ID	-0.131
	(0.134)
288.ID	1.849***
	(0.134)
289.ID	1.849***
	(0.134)
290.ID	1.849***
	(0.134)
291.ID	-0.131
	(0.134)
292.ID	2.135***
	(0.134)
293.ID	-0.131
	(0.134)
294.ID	0.261*
	(0.134)
295.ID	0.529
	(0.671)
296.ID	0.542***
	(0.134)
297.ID	1.849***
	(0.134)
298.ID	1.849***
	(0.134)
299.ID	2.358***
	(0.134)
300.ID	0.673
	(0.601)
301.ID	-0.131
	(0.134)
302.ID	2.358***
	(0.134)
303.ID	0.542***
	(0.134)
304.ID	2.358***
	(0.134)
305.ID	1.849***
	(0.134)
306.ID	0.261*
	(0.134)
307.ID	0.0844
	(0.134)
308.ID	0.761***
	(0.134)
309.ID	0.0127
	(0.152)
310.ID	-0.131
	(0.134)
311.ID	-1.404***
	(0.134)
312.ID	1.849***
	(0.134)
313.ID	0.0844
	(0.134)
314.ID	0.529
	(0.674)
315.ID	-0.131
	(0.134)
316.ID	0.258*
	(0.134)
317.ID	1.849***
	(0.134)
318.ID	1.849***
	(0.134)
319.ID	1.849***
	(0.134)
320.ID	0.0844
	(0.134)
321.ID	0.261*
	(0.134)
322.ID	2.135***
	(0.134)
323.ID	2.358***
	(0.134)
324.ID	1.189*
	(0.677)
325.ID	-0.131
	(0.134)
326.ID	1.849***
	(0.134)
327.ID	1.849***
	(0.134)
328.ID	1.849***
	(0.134)
329.ID	-0.131
	(0.134)
330.ID	2.135***
	(0.134)
331.ID	-0.131
	(0.134)
332.ID	1.849***
	(0.134)
333.ID	1.849***
	(0.134)
334.ID	-0.131
	(0.134)
335.ID	-0.0590
	(0.153)
336.ID	1.780***
	(0.134)
337.ID	-0.131
	(0.134)
338.ID	1.849***
	(0.134)
339.ID	1.849***
	(0.134)
340.ID	2.358***
	(0.134)
341.ID	0.673
	(0.604)
342.ID	-0.131
	(0.134)
343.ID	1.849***
	(0.134)
344.ID	0.0844
	(0.134)
345.ID	2.188***
	(0.214)
346.ID	-1.404***
	(0.134)
347.ID	0.261*
	(0.134)
348.ID	-0.131
	(0.134)
349.ID	-1.404***
	(0.134)
350.ID	-0.131
	(0.134)
352.ID	1.849***
	(0.134)
353.ID	1.446***
	(0.134)
354.ID	-0.131
	(0.134)
355.ID	0.261*
	(0.134)
356.ID	0.0844
	(0.134)
357.ID	1.849***
	(0.134)
358.ID	-0.222
	(0.164)
359.ID	1.849***
	(0.134)
361.ID	-0.131
	(0.134)
364.ID	2.135***
	(0.134)
365.ID	-0.131
	(0.134)
366.ID	2.209***
	(0.154)
369.ID	1.849***
	(0.134)
370.ID	1.849***
	(0.134)
372.ID	1.849***
	(0.134)
373.ID	-0.131
	(0.134)
374.ID	1.849***
	(0.134)
375.ID	-0.131
	(0.134)
377.ID	1.189*
	(0.671)
378.ID	-0.131
	(0.134)
379.ID	0.0127
	(0.153)
381.ID	-0.131
	(0.134)
382.ID	-1.404***
	(0.134)
383.ID	-0.131
	(0.134)
385.ID	1.849***
	(0.134)
386.ID	-0.785***
	(0.134)
387.ID	-0.131
	(0.134)
388.ID	0.0844
	(0.134)
389.ID	1.849***
	(0.134)
390.ID	2.188***
	(0.214)
391.ID	-0.131
	(0.134)
393.ID	1.849***
	(0.134)
394.ID	1.849***
	(0.134)
395.ID	1.849***
	(0.134)
396.ID	1.849***
	(0.134)
397.ID	-0.131
	(0.134)
398.ID	-0.785***
	(0.134)
399.ID	0.0844
	(0.134)
400.ID	1.849***
	(0.134)
401.ID	0.761***
	(0.134)
402.ID	-0.131
	(0.134)
403.ID	-0.131
	(0.134)
404.ID	0.261*
	(0.134)
405.ID	-0.131
	(0.134)
406.ID	1.446***
	(0.134)
407.ID	1.320**
	(0.546)
408.ID	2.358***
	(0.134)
409.ID	-0.785***
	(0.134)
410.ID	-0.131
	(0.134)
411.ID	-0.405***
	(0.134)
412.ID	1.849***
	(0.134)
413.ID	0.261*
	(0.134)
414.ID	-0.131
	(0.134)
415.ID	-0.131
	(0.134)
416.ID	0.0844
	(0.134)
417.ID	-0.785***
	(0.134)
418.ID	-0.131
	(0.134)
419.ID	-0.131
	(0.134)
420.ID	0.0844
	(0.134)
421.ID	-0.131
	(0.134)
423.ID	1.849***
	(0.134)
424.ID	1.849***
	(0.134)
425.ID	1.849***
	(0.134)
426.ID	-0.131
	(0.134)
428.ID	-0.131
	(0.134)
429.ID	-0.131
	(0.134)
430.ID	2.358***
	(0.134)
431.ID	0.0844
	(0.134)
432.ID	1.849***
	(0.134)
433.ID	-0.131
	(0.134)
434.ID	-0.131
	(0.134)
435.ID	2.358***
	(0.134)
436.ID	0.0844
	(0.134)
437.ID	-0.785***
	(0.134)
438.ID	1.849***
	(0.134)
439.ID	1.849***
	(0.134)
440.ID	0.0844
	(0.134)
441.ID	1.849***
	(0.134)
442.ID	1.351***
	(0.134)
445.ID	-0.131
	(0.134)
446.ID	1.849***
	(0.134)
447.ID	0.761***
	(0.134)
448.ID	1.849***
	(0.134)
449.ID	1.849***
	(0.134)
450.ID	-0.131
	(0.134)
451.ID	1.849***
	(0.134)
452.ID	0.0844
	(0.134)
453.ID	2.358***
	(0.134)
454.ID	0.0844
	(0.134)
455.ID	1.849***
	(0.134)
456.ID	-0.991***
	(0.249)
457.ID	2.358***
	(0.134)
458.ID	2.358***
	(0.134)
459.ID	0.0844
	(0.134)
460.ID	-0.131
	(0.134)
461.ID	2.358***
	(0.134)
462.ID	1.849***
	(0.134)
464.ID	1.849***
	(0.134)
465.ID	0.761***
	(0.134)
466.ID	1.849***
	(0.134)
467.ID	1.849***
	(0.134)
468.ID	2.358***
	(0.134)
469.ID	-0.131
	(0.134)
470.ID	1.849***
	(0.134)
471.ID	2.358***
	(0.134)
472.ID	2.358***
	(0.134)
473.ID	1.849***
	(0.134)
474.ID	1.849***
	(0.134)
475.ID	-0.131
	(0.134)
476.ID	1.849***
	(0.134)
477.ID	2.135***
	(0.134)
478.ID	2.358***
	(0.134)
479.ID	1.849***
	(0.134)
480.ID	0.761***
	(0.134)
481.ID	1.849***
	(0.134)
482.ID	2.358***
	(0.134)
483.ID	-0.785***
	(0.134)
484.ID	2.040***
	(0.164)
485.ID	2.358***
	(0.134)
486.ID	-0.131
	(0.134)
488.ID	2.358***
	(0.134)
489.ID	-0.405***
	(0.134)
490.ID	-0.131
	(0.134)
491.ID	-1.401***
	(0.134)
493.ID	-0.131
	(0.134)
494.ID	1.849***
	(0.134)
495.ID	2.188***
	(0.218)
