	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0102
	(0.00770)
2.treated	0.00700
	(0.00865)
3.treated	-0.0130*
	(0.00752)
1.ID	-0
	(0.00655)
2.ID	1.588***
	(0.00655)
3.ID	-0.392***
	(0.00655)
4.ID	1.588***
	(0.00655)
5.ID	-0.177***
	(0.00655)
6.ID	-0.392***
	(0.00655)
7.ID	1.588***
	(0.00655)
8.ID	-0.177***
	(0.00655)
9.ID	-0.392***
	(0.00655)
10.ID	2.096***
	(0.00655)
11.ID	0.500***
	(0.00655)
12.ID	0.391
	(0.565)
13.ID	-0.392***
	(0.00655)
14.ID	1.588***
	(0.00655)
15.ID	-0.392***
	(0.00655)
16.ID	1.588***
	(0.00655)
18.ID	-0.392***
	(0.00655)
19.ID	-0.177***
	(0.00655)
20.ID	1.588***
	(0.00655)
21.ID	-0.177***
	(0.00655)
22.ID	-0
	(0.00655)
23.ID	1.588***
	(0.00655)
24.ID	1.588***
	(0.00655)
25.ID	-0.177***
	(0.00655)
26.ID	-1.046***
	(0.00655)
27.ID	-0.392***
	(0.00655)
28.ID	-0.392***
	(0.00655)
29.ID	-0.392***
	(0.00655)
30.ID	-0.392***
	(0.00655)
31.ID	0.680***
	(0.00655)
32.ID	1.588***
	(0.00655)
33.ID	1.588***
	(0.00655)
34.ID	1.842***
	(0.146)
35.ID	-0.392***
	(0.00655)
36.ID	-0.392***
	(0.00655)
37.ID	-0.392***
	(0.00655)
38.ID	-0.392***
	(0.00655)
39.ID	1.588***
	(0.00655)
40.ID	1.588***
	(0.00655)
41.ID	-0
	(0.00655)
42.ID	2.096***
	(0.00655)
43.ID	-0.392***
	(0.00655)
44.ID	-1.676***
	(0.00700)
46.ID	-0.177***
	(0.00655)
47.ID	-0.666***
	(0.00655)
48.ID	0.598
	(0.573)
49.ID	1.588***
	(0.00655)
50.ID	1.588***
	(0.00655)
51.ID	-0.392***
	(0.00655)
52.ID	-0.177***
	(0.00655)
53.ID	0.794*
	(0.459)
54.ID	-0.392***
	(0.00655)
55.ID	-0.392***
	(0.00655)
56.ID	1.588***
	(0.00655)
57.ID	-0.392***
	(0.00655)
58.ID	1.588***
	(0.00655)
59.ID	0.281***
	(0.00655)
60.ID	-0.392***
	(0.00655)
61.ID	-0.392***
	(0.00655)
62.ID	-0.177***
	(0.00655)
63.ID	-0.392***
	(0.00655)
64.ID	1.588***
	(0.00655)
65.ID	-0.392***
	(0.00655)
66.ID	-0.177***
	(0.00655)
67.ID	1.588***
	(0.00655)
68.ID	1.185***
	(0.00655)
69.ID	-0.392***
	(0.00655)
70.ID	2.096***
	(0.00655)
71.ID	2.096***
	(0.00655)
72.ID	2.096***
	(0.00655)
73.ID	-0.392***
	(0.00655)
74.ID	0.500***
	(0.00655)
75.ID	2.096***
	(0.00655)
76.ID	-0.392***
	(0.00655)
77.ID	1.146***
	(0.440)
78.ID	-0.392***
	(0.00655)
79.ID	-0.392***
	(0.00655)
80.ID	1.588***
	(0.00655)
81.ID	-0.392***
	(0.00655)
82.ID	-0
	(0.00655)
83.ID	-0.177***
	(0.00655)
84.ID	1.659***
	(0.0682)
85.ID	1.588***
	(0.00655)
86.ID	1.588***
	(0.00655)
87.ID	1.588***
	(0.00655)
88.ID	2.096***
	(0.00655)
89.ID	-0.392***
	(0.00655)
90.ID	-0.392***
	(0.00655)
91.ID	0.964***
	(0.00655)
92.ID	-1.046***
	(0.00655)
93.ID	-0
	(0.00655)
94.ID	-0.392***
	(0.00655)
95.ID	2.096***
	(0.00655)
96.ID	-0.392***
	(0.00655)
97.ID	-1.308***
	(0.00655)
98.ID	0.500***
	(0.00655)
99.ID	-0.392***
	(0.00655)
100.ID	-0.177***
	(0.00655)
101.ID	-0.392***
	(0.00655)
102.ID	-1.046***
	(0.00655)
103.ID	-0.392***
	(0.00655)
104.ID	-0.392***
	(0.00655)
105.ID	-0.392***
	(0.00655)
106.ID	2.096***
	(0.00655)
107.ID	1.969***
	(0.131)
108.ID	2.096***
	(0.00655)
109.ID	-0.177***
	(0.00655)
110.ID	-1.046***
	(0.00655)
111.ID	-1.046***
	(0.00655)
112.ID	1.588***
	(0.00655)
113.ID	-0.392***
	(0.00655)
114.ID	1.588***
	(0.00655)
115.ID	1.588***
	(0.00655)
116.ID	-0.133***
	(0.0467)
117.ID	1.588***
	(0.00655)
118.ID	1.588***
	(0.00655)
119.ID	2.096***
	(0.00655)
120.ID	0.832***
	(0.00655)
121.ID	1.588***
	(0.00655)
122.ID	2.096***
	(0.00655)
123.ID	2.096***
	(0.00655)
124.ID	2.096***
	(0.00655)
125.ID	1.588***
	(0.00655)
126.ID	1.588***
	(0.00655)
127.ID	-1.046***
	(0.00655)
128.ID	-0.177***
	(0.00655)
129.ID	1.588***
	(0.00655)
130.ID	-0.392***
	(0.00655)
131.ID	-0.177***
	(0.00655)
132.ID	-1.046***
	(0.00655)
133.ID	1.588***
	(0.00655)
134.ID	0.500***
	(0.00655)
135.ID	1.588***
	(0.00655)
136.ID	1.588***
	(0.00655)
137.ID	1.588***
	(0.00655)
138.ID	2.096***
	(0.00655)
139.ID	-0.392***
	(0.00655)
140.ID	-0
	(0.00655)
141.ID	1.588***
	(0.00655)
142.ID	-0.392***
	(0.00655)
143.ID	-0.392***
	(0.00655)
144.ID	-0.392***
	(0.00655)
145.ID	-0.177***
	(0.00655)
146.ID	1.969***
	(0.129)
147.ID	2.096***
	(0.00655)
148.ID	1.588***
	(0.00655)
149.ID	-1.046***
	(0.00655)
150.ID	-0.392***
	(0.00655)
151.ID	-0.177***
	(0.00655)
152.ID	1.588***
	(0.00655)
153.ID	1.588***
	(0.00655)
154.ID	1.588***
	(0.00655)
155.ID	-0.392***
	(0.00655)
156.ID	-0.392***
	(0.00655)
157.ID	1.588***
	(0.00655)
158.ID	1.588***
	(0.00655)
159.ID	-0.177***
	(0.00655)
160.ID	1.588***
	(0.00655)
161.ID	1.361***
	(0.511)
162.ID	-0
	(0.00655)
163.ID	0.500***
	(0.00655)
164.ID	-0.392***
	(0.00655)
165.ID	-0.392***
	(0.00655)
166.ID	1.588***
	(0.00655)
167.ID	-0.392***
	(0.00655)
168.ID	1.588***
	(0.00655)
169.ID	1.588***
	(0.00655)
170.ID	-0.177***
	(0.00655)
171.ID	-0.177***
	(0.00655)
172.ID	-0.392***
	(0.00655)
173.ID	1.588***
	(0.00655)
174.ID	1.588***
	(0.00655)
175.ID	-0.177***
	(0.00655)
176.ID	-0.392***
	(0.00655)
177.ID	1.588***
	(0.00655)
178.ID	-1.046***
	(0.00655)
179.ID	-0.392***
	(0.00655)
180.ID	0.759***
	(0.00655)
181.ID	-1.046***
	(0.00655)
182.ID	-0.392***
	(0.00655)
183.ID	-0.177***
	(0.00655)
184.ID	-0.392***
	(0.00655)
185.ID	0.391
	(0.565)
186.ID	1.185***
	(0.00655)
187.ID	2.096***
	(0.00655)
188.ID	1.588***
	(0.00655)
189.ID	-0.177***
	(0.00655)
190.ID	-0.392***
	(0.00655)
191.ID	-0.177***
	(0.00655)
192.ID	-0.392***
	(0.00655)
194.ID	1.588***
	(0.00655)
196.ID	-0.392***
	(0.00655)
197.ID	1.588***
	(0.00655)
198.ID	-0.392***
	(0.00655)
199.ID	-0.392***
	(0.00655)
200.ID	1.969***
	(0.129)
201.ID	-0.392***
	(0.00655)
202.ID	1.588***
	(0.00655)
203.ID	2.096***
	(0.00655)
204.ID	2.096***
	(0.00655)
205.ID	1.511***
	(0.0753)
206.ID	-0.392***
	(0.00655)
207.ID	-0.392***
	(0.00655)
208.ID	-0.392***
	(0.00655)
209.ID	1.969***
	(0.131)
210.ID	-0.392***
	(0.00655)
212.ID	-0.392***
	(0.00655)
213.ID	2.096***
	(0.00655)
214.ID	-0.392***
	(0.00655)
217.ID	1.588***
	(0.00655)
218.ID	-0.392***
	(0.00655)
219.ID	-0.177***
	(0.00655)
220.ID	1.588***
	(0.00655)
221.ID	1.588***
	(0.00655)
222.ID	1.528***
	(0.570)
223.ID	-0.177***
	(0.00655)
224.ID	1.588***
	(0.00655)
225.ID	-0.392***
	(0.00655)
226.ID	-0.666***
	(0.00655)
227.ID	1.588***
	(0.00655)
228.ID	1.969***
	(0.129)
229.ID	1.588***
	(0.00655)
230.ID	1.588***
	(0.00655)
231.ID	-0.177***
	(0.00655)
232.ID	-0.392***
	(0.00655)
233.ID	-0.177***
	(0.00655)
234.ID	1.588***
	(0.00655)
235.ID	0.500***
	(0.00655)
236.ID	2.096***
	(0.00655)
237.ID	1.588***
	(0.00655)
238.ID	1.588***
	(0.00655)
239.ID	1.929***
	(0.0546)
240.ID	1.588***
	(0.00655)
241.ID	1.588***
	(0.00655)
242.ID	-0.392***
	(0.00655)
243.ID	1.588***
	(0.00655)
244.ID	1.802***
	(0.0733)
245.ID	-0.392***
	(0.00655)
246.ID	1.588***
	(0.00655)
247.ID	1.588***
	(0.00655)
248.ID	-0
	(0.00655)
249.ID	-0.392***
	(0.00655)
250.ID	2.096***
	(0.00655)
251.ID	-0.392***
	(0.00655)
252.ID	-0.177***
	(0.00655)
253.ID	0.103
	(0.497)
254.ID	-0.392***
	(0.00655)
255.ID	2.096***
	(0.00655)
256.ID	1.588***
	(0.00655)
257.ID	1.588***
	(0.00655)
258.ID	-0.392***
	(0.00655)
260.ID	1.588***
	(0.00655)
261.ID	-1.046***
	(0.00655)
263.ID	-0.392***
	(0.00655)
264.ID	2.096***
	(0.00655)
265.ID	1.587***
	(0.00980)
266.ID	1.588***
	(0.00655)
267.ID	-0.177***
	(0.00655)
268.ID	1.588***
	(0.00655)
269.ID	0.103
	(0.497)
270.ID	1.588***
	(0.00655)
271.ID	0.705
	(0.505)
272.ID	2.096***
	(0.00655)
274.ID	-0.392***
	(0.00655)
275.ID	-0.177***
	(0.00655)
276.ID	1.185***
	(0.00655)
277.ID	1.588***
	(0.00655)
278.ID	-0.838***
	(0.00655)
279.ID	-0.177***
	(0.00655)
280.ID	1.588***
	(0.00655)
281.ID	1.588***
	(0.00655)
282.ID	-0.666***
	(0.00655)
283.ID	-0.392***
	(0.00655)
284.ID	-0.392***
	(0.00655)
285.ID	-0.392***
	(0.00655)
286.ID	-0.392***
	(0.00655)
288.ID	1.588***
	(0.00655)
289.ID	1.588***
	(0.00655)
290.ID	1.588***
	(0.00655)
291.ID	-0.392***
	(0.00655)
292.ID	1.731***
	(0.0872)
293.ID	-0.392***
	(0.00655)
294.ID	-0
	(0.00655)
295.ID	-0.392***
	(0.00655)
296.ID	0.281***
	(0.00655)
297.ID	1.588***
	(0.00655)
298.ID	1.588***
	(0.00655)
299.ID	2.096***
	(0.00655)
300.ID	1.146***
	(0.439)
301.ID	-0.392***
	(0.00655)
302.ID	-0.177***
	(0.00655)
303.ID	-0
	(0.00655)
304.ID	2.096***
	(0.00655)
305.ID	1.588***
	(0.00655)
306.ID	-0
	(0.00655)
307.ID	0.150***
	(0.00655)
308.ID	0.500***
	(0.00655)
309.ID	-0.177***
	(0.00655)
310.ID	-0.392***
	(0.00655)
311.ID	-1.665***
	(0.00655)
312.ID	1.588***
	(0.00655)
313.ID	-0.177***
	(0.00655)
314.ID	-0.392***
	(0.00655)
315.ID	-0.392***
	(0.00655)
317.ID	1.588***
	(0.00655)
318.ID	1.588***
	(0.00655)
319.ID	1.588***
	(0.00655)
320.ID	-0.392***
	(0.00655)
321.ID	-0
	(0.00655)
322.ID	2.096***
	(0.00655)
323.ID	0.391
	(0.565)
324.ID	1.588***
	(0.00655)
325.ID	-0.392***
	(0.00655)
326.ID	1.588***
	(0.00655)
327.ID	1.588***
	(0.00655)
328.ID	1.588***
	(0.00655)
329.ID	-0.392***
	(0.00655)
330.ID	1.874***
	(0.00655)
331.ID	-0.392***
	(0.00655)
332.ID	1.588***
	(0.00655)
333.ID	1.588***
	(0.00655)
334.ID	-0.392***
	(0.00655)
335.ID	-0.392***
	(0.00655)
336.ID	1.519***
	(0.00655)
337.ID	-0.392***
	(0.00655)
338.ID	1.588***
	(0.00655)
339.ID	1.588***
	(0.00655)
340.ID	2.096***
	(0.00655)
341.ID	-0.177***
	(0.00655)
342.ID	-0.392***
	(0.00655)
343.ID	1.588***
	(0.00655)
345.ID	2.096***
	(0.00655)
346.ID	-1.665***
	(0.00655)
347.ID	-0
	(0.00655)
348.ID	-0.392***
	(0.00655)
349.ID	-1.665***
	(0.00655)
350.ID	0.598
	(0.568)
351.ID	-1.664***
	(0.00769)
352.ID	1.588***
	(0.00655)
353.ID	1.185***
	(0.00655)
354.ID	-0.392***
	(0.00655)
355.ID	-0
	(0.00655)
356.ID	-0.177***
	(0.00655)
357.ID	1.588***
	(0.00655)
358.ID	-0.392***
	(0.00655)
359.ID	1.588***
	(0.00655)
360.ID	-1.665***
	(0.00655)
361.ID	-0.392***
	(0.00655)
364.ID	1.874***
	(0.00655)
365.ID	-0.392***
	(0.00655)
366.ID	2.096***
	(0.00655)
369.ID	1.588***
	(0.00655)
370.ID	1.093**
	(0.497)
371.ID	-0.392***
	(0.00655)
372.ID	1.588***
	(0.00655)
373.ID	-0.392***
	(0.00655)
374.ID	1.588***
	(0.00655)
375.ID	-0.392***
	(0.00655)
377.ID	1.588***
	(0.00655)
378.ID	-0.392***
	(0.00655)
379.ID	-0.177***
	(0.00655)
381.ID	-0.719***
	(0.193)
382.ID	-1.665***
	(0.00655)
383.ID	-0.392***
	(0.00655)
385.ID	1.588***
	(0.00655)
386.ID	-1.046***
	(0.00655)
387.ID	-0.392***
	(0.00655)
388.ID	-0.177***
	(0.00655)
389.ID	1.588***
	(0.00655)
390.ID	2.096***
	(0.00655)
391.ID	-0.392***
	(0.00655)
392.ID	-1.665***
	(0.00655)
393.ID	1.715***
	(0.124)
395.ID	1.588***
	(0.00655)
396.ID	1.588***
	(0.00655)
397.ID	-0.392***
	(0.00655)
398.ID	-1.046***
	(0.00655)
399.ID	-0.177***
	(0.00655)
400.ID	-0.392***
	(0.00655)
401.ID	0.500***
	(0.00655)
402.ID	-0.392***
	(0.00655)
403.ID	-0.392***
	(0.00655)
404.ID	-0
	(0.00655)
405.ID	-0.392***
	(0.00655)
406.ID	1.185***
	(0.00655)
407.ID	1.588***
	(0.00655)
408.ID	2.096***
	(0.00655)
409.ID	-1.046***
	(0.00655)
410.ID	-0.392***
	(0.00655)
411.ID	-0.461***
	(0.0703)
412.ID	1.588***
	(0.00655)
413.ID	-0
	(0.00655)
414.ID	-0.392***
	(0.00655)
415.ID	-0.392***
	(0.00655)
417.ID	-1.046***
	(0.00655)
418.ID	-0.392***
	(0.00655)
419.ID	-0.392***
	(0.00655)
420.ID	-0.177***
	(0.00655)
421.ID	-0.392***
	(0.00655)
423.ID	1.588***
	(0.00655)
424.ID	1.588***
	(0.00655)
425.ID	1.588***
	(0.00655)
426.ID	-0.392***
	(0.00655)
428.ID	-0.392***
	(0.00655)
429.ID	-0.392***
	(0.00655)
430.ID	2.096***
	(0.00655)
431.ID	-0.177***
	(0.00655)
432.ID	1.588***
	(0.00655)
433.ID	-0.392***
	(0.00655)
434.ID	-0.392***
	(0.00655)
435.ID	2.096***
	(0.00655)
436.ID	-0.177***
	(0.00655)
437.ID	-1.046***
	(0.00655)
438.ID	1.842***
	(0.146)
439.ID	1.191***
	(0.401)
440.ID	-0.177***
	(0.00655)
441.ID	1.588***
	(0.00655)
442.ID	1.588***
	(0.00655)
443.ID	-0.392***
	(0.00655)
444.ID	1.874***
	(0.00655)
445.ID	-0.392***
	(0.00655)
446.ID	1.588***
	(0.00655)
447.ID	0.500***
	(0.00655)
448.ID	1.588***
	(0.00655)
