	(1)
VARIABLES	llm_刑期
	
1.treated	0.742
	(1.045)
2.treated	-0.617
	(1.208)
1.ID	4***
	(0)
2.ID	148***
	(0)
3.ID	-8***
	(0)
4.ID	148***
	(0)
5.ID	-2***
	(0)
6.ID	-8***
	(0)
7.ID	148***
	(0)
8.ID	88***
	(0)
9.ID	-8***
	(0)
10.ID	268***
	(0)
12.ID	268***
	(0)
14.ID	148***
	(0)
15.ID	-8***
	(0)
16.ID	148***
	(0)
17.ID	96***
	(0)
18.ID	-8***
	(0)
19.ID	-2***
	(0)
20.ID	148***
	(0)
21.ID	-2***
	(0)
22.ID	4***
	(0)
23.ID	148***
	(0)
24.ID	148***
	(0)
25.ID	88***
	(0)
26.ID	-20***
	(0)
27.ID	-8***
	(0)
28.ID	-8***
	(0)
29.ID	-8***
	(0)
30.ID	-8***
	(0)
31.ID	40***
	(0)
32.ID	148***
	(0)
33.ID	96***
	(0)
34.ID	148***
	(0)
35.ID	-8***
	(0)
36.ID	-8***
	(0)
37.ID	-8***
	(0)
39.ID	148***
	(0)
40.ID	148***
	(0)
41.ID	4***
	(0)
42.ID	268***
	(0)
43.ID	-8***
	(0)
46.ID	-2***
	(0)
47.ID	-14***
	(0)
48.ID	148***
	(0)
49.ID	148***
	(0)
50.ID	148***
	(0)
51.ID	-8***
	(0)
52.ID	-2***
	(0)
53.ID	208***
	(0)
54.ID	-8***
	(0)
55.ID	-8***
	(0)
56.ID	148***
	(0)
57.ID	-8***
	(0)
58.ID	148***
	(0)
60.ID	-8***
	(0)
61.ID	-8***
	(0)
62.ID	-2***
	(0)
63.ID	-8***
	(0)
66.ID	-2***
	(0)
67.ID	148***
	(0)
68.ID	88***
	(0)
69.ID	-8***
	(0)
70.ID	248***
	(0)
71.ID	268***
	(0)
72.ID	268***
	(0)
73.ID	-8***
	(0)
74.ID	228***
	(0)
76.ID	-8***
	(0)
77.ID	48***
	(0)
78.ID	-8***
	(0)
79.ID	-8***
	(0)
81.ID	-8***
	(0)
82.ID	4***
	(0)
83.ID	-2***
	(0)
84.ID	168***
	(0)
85.ID	98***
	(0)
86.ID	148***
	(0)
87.ID	148***
	(0)
88.ID	268***
	(0)
89.ID	-8***
	(0)
90.ID	-8***
	(0)
91.ID	64***
	(0)
92.ID	-20***
	(0)
93.ID	4***
	(0)
94.ID	-8***
	(0)
95.ID	268***
	(0)
96.ID	-8***
	(0)
97.ID	-23***
	(0)
98.ID	20***
	(0)
99.ID	-2***
	(0)
100.ID	-2***
	(0)
102.ID	-20***
	(0)
103.ID	-8***
	(0)
104.ID	-8***
	(0)
105.ID	-8***
	(0)
106.ID	268***
	(0)
107.ID	268***
	(0)
108.ID	268***
	(0)
109.ID	-2***
	(0)
110.ID	-20***
	(0)
111.ID	-20***
	(0)
113.ID	-8***
	(0)
114.ID	148***
	(0)
115.ID	168***
	(0)
116.ID	-2***
	(0)
117.ID	148***
	(0)
118.ID	148***
	(0)
119.ID	268***
	(0)
120.ID	52***
	(0)
121.ID	148***
	(0)
122.ID	268***
	(0)
123.ID	268***
	(0)
126.ID	148***
	(0)
127.ID	-20***
	(0)
128.ID	-2***
	(0)
129.ID	148***
	(0)
130.ID	-8***
	(0)
131.ID	-2***
	(0)
132.ID	-20***
	(0)
133.ID	148***
	(0)
134.ID	18***
	(0)
135.ID	96***
	(0)
136.ID	96***
	(0)
137.ID	148***
	(0)
138.ID	268***
	(0)
139.ID	-8***
	(0)
140.ID	4***
	(0)
142.ID	-8***
	(0)
143.ID	-7.341***
	(0.733)
144.ID	-8***
	(0)
145.ID	-2***
	(0)
146.ID	228***
	(0)
147.ID	268***
	(0)
149.ID	-20***
	(0)
150.ID	-8***
	(0)
151.ID	-2***
	(0)
152.ID	148***
	(0)
153.ID	148***
	(0)
154.ID	188***
	(0)
155.ID	-8***
	(0)
156.ID	-8***
	(0)
157.ID	148***
	(0)
158.ID	148***
	(0)
159.ID	-2***
	(0)
160.ID	148***
	(0)
161.ID	208***
	(0)
163.ID	8***
	(0)
164.ID	-8***
	(0)
165.ID	-8***
	(0)
166.ID	148***
	(0)
167.ID	-8***
	(0)
168.ID	148***
	(0)
169.ID	148***
	(0)
170.ID	-2***
	(0)
171.ID	-2***
	(0)
172.ID	-8***
	(0)
173.ID	148***
	(0)
174.ID	148***
	(0)
175.ID	-2***
	(0)
176.ID	-8***
