	(1)
VARIABLES	llm_刑期
	
1.treated	8.520
	(7.622)
2.treated	0.240
	(0.296)
38.ID	-28***
	(0)
59.ID	-4***
	(0)
65.ID	-28***
	(0)
80.ID	128***
	(0)
101.ID	-28***
	(0)
125.ID	128***
	(0)
148.ID	128***
	(0)
222.ID	68***
	(0)
238.ID	128***
	(0)
247.ID	128***
	(0)
260.ID	128***
	(0)
270.ID	128***
	(0)
296.ID	-4***
	(0)
325.ID	-28***
	(0)
369.ID	128***
	(0)
372.ID	128***
	(0)
396.ID	128***
	(0)
412.ID	128***
	(0)
425.ID	128***
	(0)
442.ID	128***
	(0)
445.ID	24***
	(0)
446.ID	128***
	(0)
449.ID	128***
	(0)
464.ID	128***
	(0)
486.ID	-28***
	(0)
514.ID	248***
	(0)
526.ID	128***
	(0)
544.ID	-28***
	(0)
550.ID	128***
	(0)
601.ID	248***
	(0)
670.ID	128***
	(0)
675.ID	-16***
	(0)
688.ID	128***
	(0)
713.ID	128***
	(0)
720.ID	128***
	(0)
755.ID	128***
	(0)
758.ID	128***
	(0)
785.ID	128***
	(0)
807.ID	-22***
	(0)
811.ID	-28***
	(0)
826.ID	128***
	(0)
882.ID	128***
	(0)
900.ID	-22***
	(0)
919.ID	188***
	(0)
944.ID	128***
	(0)
967.ID	248***
	(0)
975.ID	128***
	(0)
991.ID	128***
	(0)
997.ID	-28***
	(0)
Constant	49.08***
	(2.540)
	
Observations	150
R-squared	0.936
Robust standard errors in parentheses	
*** p<0.01, ** p<0.05, * p<0.1	
