	(1)
VARIABLES	llm_刑期
	
1.treated	-0.300
	(1.647)
1.ID	-66***
	(0)
2.ID	78***
	(0)
3.ID	-78***
	(0)
4.ID	78***
	(0)
8.ID	-72***
	(0)
9.ID	-78***
	(0)
10.ID	198***
	(0)
12.ID	63***
	(0)
14.ID	78***
	(0)
15.ID	-78***
	(0)
16.ID	78***
	(0)
17.ID	0
	(0)
18.ID	-78***
	(0)
19.ID	-72***
	(0)
22.ID	-66***
	(0)
24.ID	78***
	(0)
25.ID	-72***
	(0)
26.ID	-90***
	(0)
29.ID	-78***
	(0)
31.ID	-30***
	(0)
32.ID	78***
	(0)
33.ID	78***
	(0)
34.ID	78***
	(0)
36.ID	-78***
	(0)
37.ID	-78***
	(0)
38.ID	-78***
	(0)
39.ID	78***
	(0)
41.ID	-66***
	(0)
42.ID	198***
	(0)
48.ID	78***
	(0)
49.ID	78***
	(0)
50.ID	78***
	(0)
51.ID	-78***
	(0)
53.ID	198***
	(0)
54.ID	-78***
	(0)
55.ID	-78***
	(0)
56.ID	6***
	(0)
59.ID	-54***
	(0)
62.ID	-72***
	(0)
63.ID	-78***
	(0)
64.ID	78***
	(0)
65.ID	-78***
	(0)
66.ID	-72***
	(0)
68.ID	18***
	(0)
69.ID	-78***
	(0)
72.ID	198***
	(0)
74.ID	-42***
	(0)
84.ID	78***
	(0)
85.ID	78***
	(0)
86.ID	78***
	(0)
87.ID	78***
	(0)
89.ID	-78***
	(0)
98.ID	-42***
	(0)
101.ID	-78***
	(0)
102.ID	-90***
	(0)
104.ID	-78***
	(0)
105.ID	-78***
	(0)
107.ID	198***
	(0)
110.ID	-90***
	(0)
112.ID	78***
	(0)
118.ID	78***
	(0)
119.ID	198***
	(0)
120.ID	-18***
	(0)
121.ID	78***
	(0)
122.ID	198***
	(0)
125.ID	78***
	(0)
126.ID	78***
	(0)
127.ID	-90***
	(0)
128.ID	-72***
	(0)
129.ID	78***
	(0)
130.ID	-81***
	(0)
135.ID	-78***
	(0)
137.ID	78***
	(0)
140.ID	-66***
	(0)
142.ID	-78***
	(0)
144.ID	-78***
	(0)
145.ID	-72***
	(0)
146.ID	3***
	(0)
148.ID	78***
	(0)
151.ID	-72***
	(0)
153.ID	78***
	(0)
154.ID	78***
	(0)
156.ID	-78***
	(0)
157.ID	78***
	(0)
158.ID	78***
	(0)
160.ID	78***
	(0)
163.ID	-57***
	(0)
164.ID	-78***
	(0)
166.ID	78***
	(0)
168.ID	78***
	(0)
169.ID	78***
	(0)
170.ID	-72***
	(0)
173.ID	78***
	(0)
174.ID	78***
	(0)
175.ID	-72***
	(0)
176.ID	-78***
	(0)
177.ID	78***
	(0)
178.ID	-93***
	(0)
179.ID	0
	(0)
183.ID	-72***
	(0)
185.ID	198***
	(0)
186.ID	18***
	(0)
187.ID	198***
	(0)
188.ID	78***
	(0)
192.ID	-78***
	(0)
194.ID	78***
	(0)
197.ID	78***
	(0)
198.ID	-78***
	(0)
200.ID	78***
	(0)
202.ID	78***
	(0)
203.ID	198***
	(0)
204.ID	198***
	(0)
205.ID	78***
	(0)
209.ID	198***
	(0)
210.ID	-78***
	(0)
212.ID	-78***
	(0)
213.ID	198***
	(0)
222.ID	198***
	(0)
224.ID	78***
	(0)
225.ID	0
	(0)
226.ID	-84***
	(0)
229.ID	78***
	(0)
230.ID	78***
	(0)
232.ID	-78***
	(0)
233.ID	-72***
	(0)
234.ID	198***
	(0)
235.ID	-42***
	(0)
236.ID	198***
	(0)
237.ID	78***
	(0)
238.ID	0
	(0)
239.ID	78***
	(0)
240.ID	78***
	(0)
241.ID	78***
	(0)
242.ID	-78***
	(0)
243.ID	18***
	(0)
244.ID	78***
	(0)
246.ID	78***
	(0)
247.ID	78***
	(0)
248.ID	-66***
	(0)
249.ID	-78***
	(0)
250.ID	198***
	(0)
252.ID	-72***
	(0)
253.ID	-78***
	(0)
255.ID	198***
	(0)
256.ID	78***
	(0)
257.ID	78***
	(0)
258.ID	-78***
	(0)
259.ID	78***
	(0)
261.ID	-90***
	(0)
263.ID	-78***
	(0)
267.ID	-72***
	(0)
268.ID	78***
	(0)
269.ID	0
	(0)
270.ID	78***
	(0)
272.ID	198***
	(0)
274.ID	-78***
	(0)
275.ID	198***
	(0)
276.ID	18***
	(0)
277.ID	78***
	(0)
280.ID	78***
	(0)
281.ID	78***
	(0)
