	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.000867
	(0.0188)
1.ID	-0.598***
	(0)
2.ID	0.990***
	(0)
3.ID	-0.990***
	(0)
4.ID	0.990***
	(0)
8.ID	-0.775***
	(0)
9.ID	-0.990***
	(0)
10.ID	1.498***
	(0)
12.ID	0.362***
	(0)
14.ID	0.990***
	(0)
15.ID	-0.990***
	(0)
16.ID	0.990***
	(0)
17.ID	0
	(0)
18.ID	-0.990***
	(0)
19.ID	-0.775***
	(0)
22.ID	-0.598***
	(0)
24.ID	0.990***
	(0)
25.ID	-0.775***
	(0)
26.ID	-1.644***
	(0)
29.ID	-0.990***
	(0)
31.ID	0.0818***
	(0)
32.ID	0.990***
	(0)
33.ID	0.990***
	(0)
34.ID	0.990***
	(0)
36.ID	-0.990***
	(0)
37.ID	-0.990***
	(0)
38.ID	-0.990***
	(0)
39.ID	0.990***
	(0)
41.ID	-0.598***
	(0)
42.ID	1.498***
	(0)
48.ID	0.990***
	(0)
49.ID	0.990***
	(0)
50.ID	0.990***
	(0)
51.ID	-0.990***
	(0)
53.ID	1.498***
	(0)
54.ID	-0.990***
	(0)
55.ID	-0.990***
	(0)
56.ID	0.196***
	(0)
59.ID	-0.317***
	(0)
62.ID	-0.775***
	(0)
63.ID	-0.990***
	(0)
64.ID	0.990***
	(0)
65.ID	-0.990***
	(0)
66.ID	-0.775***
	(0)
68.ID	0.587***
	(0)
69.ID	-0.990***
	(0)
72.ID	1.498***
	(0)
74.ID	-0.0978***
	(0)
84.ID	0.990***
	(0)
85.ID	0.990***
	(0)
86.ID	0.990***
	(0)
87.ID	0.990***
	(0)
89.ID	-0.990***
	(0)
98.ID	-0.0978***
	(0)
101.ID	-0.990***
	(0)
102.ID	-1.644***
	(0)
104.ID	-0.990***
	(0)
105.ID	-0.990***
	(0)
107.ID	1.498***
	(0)
110.ID	-1.644***
	(0)
112.ID	0.990***
	(0)
118.ID	0.990***
	(0)
119.ID	1.498***
	(0)
120.ID	0.234***
	(0)
121.ID	0.990***
	(0)
122.ID	1.498***
	(0)
125.ID	0.990***
	(0)
126.ID	0.990***
	(0)
127.ID	-1.644***
	(0)
128.ID	-0.775***
	(0)
129.ID	0.990***
	(0)
130.ID	-1.127***
	(0)
135.ID	-0.990***
	(0)
137.ID	0.990***
	(0)
140.ID	-0.598***
	(0)
142.ID	-0.990***
	(0)
144.ID	-0.990***
	(0)
145.ID	-0.775***
	(0)
146.ID	0.108***
	(0)
148.ID	0.990***
	(0)
151.ID	-0.775***
	(0)
153.ID	0.990***
	(0)
154.ID	0.990***
	(0)
156.ID	-0.990***
	(0)
157.ID	0.990***
	(0)
158.ID	0.990***
	(0)
160.ID	0.990***
	(0)
163.ID	-0.436***
	(0)
164.ID	-0.990***
	(0)
166.ID	0.990***
	(0)
168.ID	0.990***
	(0)
169.ID	0.990***
	(0)
170.ID	-0.775***
	(0)
173.ID	0.990***
	(0)
174.ID	0.990***
	(0)
175.ID	-0.775***
	(0)
176.ID	-0.990***
	(0)
177.ID	0.990***
	(0)
178.ID	-1.953***
	(0)
179.ID	0
	(0)
183.ID	-0.775***
	(0)
185.ID	1.498***
	(0)
186.ID	0.587***
	(0)
187.ID	1.498***
	(0)
188.ID	0.990***
	(0)
192.ID	-0.990***
	(0)
194.ID	0.990***
	(0)
197.ID	0.990***
	(0)
198.ID	-0.990***
	(0)
200.ID	0.990***
	(0)
202.ID	0.990***
	(0)
203.ID	1.498***
	(0)
204.ID	1.498***
	(0)
205.ID	0.990***
	(0)
209.ID	1.498***
	(0)
210.ID	-0.990***
	(0)
212.ID	-0.990***
	(0)
213.ID	1.498***
	(0)
222.ID	1.498***
	(0)
224.ID	0.990***
	(0)
225.ID	0
	(0)
226.ID	-1.264***
	(0)
229.ID	0.990***
	(0)
230.ID	0.990***
	(0)
232.ID	-0.990***
	(0)
233.ID	-0.775***
	(0)
234.ID	1.498***
	(0)
235.ID	-0.0978***
	(0)
236.ID	1.498***
	(0)
237.ID	0.990***
	(0)
238.ID	0
	(0)
239.ID	0.990***
	(0)
240.ID	0.990***
	(0)
241.ID	0.990***
	(0)
243.ID	0.587***
	(0)
244.ID	0.990***
	(0)
246.ID	0.990***
	(0)
247.ID	0.990***
	(0)
248.ID	-0.598***
	(0)
249.ID	-0.990***
	(0)
250.ID	1.498***
	(0)
252.ID	-0.775***
	(0)
253.ID	-0.990***
	(0)
255.ID	1.498***
	(0)
256.ID	0.990***
	(0)
257.ID	0.990***
	(0)
258.ID	-0.990***
	(0)
259.ID	0.990***
	(0)
261.ID	-1.644***
	(0)
263.ID	-0.990***
	(0)
267.ID	-0.775***
	(0)
268.ID	0.990***
	(0)
269.ID	0
	(0)
270.ID	0.990***
	(0)
272.ID	1.498***
	(0)
274.ID	-0.990***
	(0)
275.ID	1.498***
	(0)
276.ID	0.587***
	(0)
277.ID	0.990***
	(0)
280.ID	0.990***
	(0)
281.ID	0.990***
	(0)
284.ID	-0.990***
	(0)
286.ID	-0.990***
	(0)
288.ID	0.990***
	(0)
289.ID	0.990***
	(0)
290.ID	0.990***
	(0)
292.ID	0.990***
	(0)
293.ID	-0.990***
	(0)
295.ID	0
	(0)
296.ID	-0.317***
	(0)
297.ID	0.990***
	(0)
298.ID	0.990***
	(0)
301.ID	-0.990***
	(0)
302.ID	1.498***
	(0)
304.ID	1.498***
	(0)
305.ID	0.990***
	(0)
306.ID	-0.598***
	(0)
308.ID	-0.0978***
	(0)
309.ID	-0.775***
	(0)
310.ID	-0.990***
	(0)
312.ID	0.990***
	(0)
314.ID	-0.794***
	(0)
317.ID	0.990***
	(0)
319.ID	0.990***
	(0)
320.ID	-0.775***
	(0)
322.ID	1.498***
	(0)
323.ID	0.362***
	(0)
324.ID	0
	(0)
325.ID	-0.990***
	(0)
326.ID	0.990***
	(0)
327.ID	0.990***
	(0)
328.ID	0.990***
	(0)
329.ID	-0.990***
	(0)
330.ID	1.133***
	(0)
332.ID	0.990***
	(0)
333.ID	0.483***
	(0)
338.ID	0.990***
	(0)
339.ID	0.990***
	(0)
340.ID	1.498***
	(0)
344.ID	-0.598***
	(0)
345.ID	0.990***
	(0)
346.ID	-2.263***
	(0)
348.ID	-0.990***
	(0)
350.ID	-0.990***
	(0)
352.ID	0.990***
	(0)
354.ID	-0.990***
	(0)
355.ID	-0.598***
	(0)
356.ID	-0.775***
	(0)
361.ID	-0.990***
	(0)
364.ID	1.276***
	(0)
365.ID	-0.990***
	(0)
369.ID	0.990***
	(0)
370.ID	0.990***
	(0)
372.ID	0.990***
	(0)
374.ID	0.990***
	(0)
375.ID	-0.990***
	(0)
377.ID	-0.990***
	(0)
378.ID	-0.990***
	(0)
385.ID	0.990***
	(0)
389.ID	0.990***
	(0)
390.ID	1.244***
	(0)
391.ID	-0.990***
	(0)
393.ID	0.990***
	(0)
394.ID	0.990***
	(0)
395.ID	0.990***
	(0)
396.ID	0.990***
	(0)
400.ID	0.990***
	(0)
402.ID	-0.990***
	(0)
405.ID	-0.990***
	(0)
406.ID	0.587***
	(0)
407.ID	0.990***
	(0)
408.ID	1.498***
	(0)
409.ID	-1.644***
	(0)
414.ID	-0.990***
	(0)
415.ID	-0.990***
	(0)
416.ID	-0.775***
	(0)
417.ID	-1.644***
	(0)
424.ID	0.990***
	(0)
425.ID	0.990***
	(0)
426.ID	-0.990***
	(0)
429.ID	-0.990***
	(0)
430.ID	1.498***
	(0)
432.ID	0.990***
	(0)
434.ID	-0.990***
	(0)
435.ID	1.498***
	(0)
436.ID	-0.775***
	(0)
438.ID	0.990***
	(0)
439.ID	0.990***
	(0)
440.ID	-0.775***
	(0)
441.ID	0.990***
	(0)
445.ID	-0.990***
	(0)
447.ID	-0.0978***
	(0)
448.ID	0.990***
	(0)
451.ID	0.990***
	(0)
452.ID	-0.775***
	(0)
453.ID	1.498***
	(0)
457.ID	0.362***
	(0)
458.ID	1.498***
	(0)
460.ID	-0.990***
	(0)
461.ID	1.498***
	(0)
462.ID	0.990***
	(0)
463.ID	1.498***
	(0)
464.ID	0.990***
	(0)
465.ID	-0.0978***
	(0)
466.ID	0.990***
	(0)
467.ID	0.990***
	(0)
468.ID	1.244***
	(0)
470.ID	0.990***
	(0)
471.ID	1.498***
	(0)
472.ID	1.498***
	(0)
473.ID	0.990***
	(0)
475.ID	-0.990***
	(0)
476.ID	0.990***
	(0)
478.ID	1.498***
	(0)
479.ID	0.990***
	(0)
480.ID	-0.0978***
	(0)
481.ID	0.990***
	(0)
482.ID	1.498***
	(0)
484.ID	1.276***
	(0)
485.ID	1.498***
	(0)
486.ID	-0.990***
	(0)
488.ID	0.990***
	(0)
493.ID	-0.990***
	(0)
495.ID	0.990***
	(0)
498.ID	1.498***
	(0)
501.ID	-0.775***
	(0)
503.ID	0.366***
	(0)
505.ID	-0.0978***
	(0)
507.ID	0.990***
	(0)
508.ID	-0.990***
	(0)
509.ID	-0.990***
	(0)
512.ID	-0.990***
	(0)
514.ID	1.498***
	(0)
515.ID	1.276***
	(0)
518.ID	-0.990***
	(0)
520.ID	0.990***
	(0)
521.ID	1.133***
	(0)
523.ID	1.276***
	(0)
525.ID	-0.990***
	(0)
527.ID	0.990***
	(0)
528.ID	1.133***
	(0)
529.ID	0.990***
	(0)
532.ID	0.990***
	(0)
536.ID	0.990***
	(0)
539.ID	0.990***
	(0)
540.ID	-0.990***
	(0)
541.ID	1.276***
	(0)
542.ID	1.498***
	(0)
545.ID	-1.644***
	(0)
546.ID	-0.990***
	(0)
548.ID	-0.990***
	(0)
550.ID	0.990***
	(0)
555.ID	0.990***
	(0)
556.ID	-0.990***
	(0)
560.ID	1.498***
	(0)
561.ID	0.990***
	(0)
562.ID	-0.990***
	(0)
564.ID	0.990***
	(0)
569.ID	0.990***
	(0)
571.ID	0.990***
	(0)
574.ID	0.990***
	(0)
575.ID	0.108***
	(0)
577.ID	0.990***
	(0)
578.ID	-0.775***
	(0)
581.ID	0.990***
	(0)
582.ID	-0.990***
	(0)
584.ID	0.990***
	(0)
585.ID	1.498***
	(0)
586.ID	-0.990***
	(0)
588.ID	-0.990***
	(0)
589.ID	0.990***
	(0)
590.ID	0.990***
	(0)
591.ID	0.0818***
	(0)
592.ID	-0.775***
	(0)
597.ID	0.990***
	(0)
598.ID	0.587***
	(0)
599.ID	-0.990***
	(0)
600.ID	-0.990***
	(0)
611.ID	-0.598***
	(0)
612.ID	0.990***
	(0)
616.ID	0.990***
	(0)
618.ID	0.990***
	(0)
619.ID	-0.990***
	(0)
621.ID	-0.598***
	(0)
622.ID	-0.990***
	(0)
623.ID	0.990***
	(0)
624.ID	0.990***
	(0)
625.ID	0.990***
	(0)
628.ID	0.990***
	(0)
629.ID	1.276***
	(0)
630.ID	0.234***
	(0)
631.ID	0.990***
	(0)
632.ID	-0.775***
	(0)
633.ID	1.498***
	(0)
634.ID	-0.990***
	(0)
635.ID	0.990***
	(0)
636.ID	0.990***
	(0)
637.ID	1.498***
	(0)
641.ID	0.990***
	(0)
647.ID	0
	(0)
648.ID	0.990***
	(0)
650.ID	-0.990***
	(0)
651.ID	-0.447***
	(0)
654.ID	-0.990***
	(0)
656.ID	0.234***
	(0)
659.ID	1.498***
	(0)
661.ID	1.498***
	(0)
664.ID	-0.990***
	(0)
665.ID	-0.990***
	(0)
667.ID	0.990***
	(0)
669.ID	-0.990***
	(0)
673.ID	-0.775***
	(0)
674.ID	-0.990***
	(0)
675.ID	-0.598***
	(0)
677.ID	-0.990***
	(0)
678.ID	-0.0978***
	(0)
679.ID	1.498***
	(0)
680.ID	0
	(0)
681.ID	0
	(0)
682.ID	1.498***
	(0)
683.ID	-0.775***
	(0)
684.ID	-0.598***
	(0)
685.ID	-1.644***
	(0)
687.ID	-0.990***
	(0)
689.ID	0.990***
	(0)
690.ID	-0.990***
	(0)
692.ID	0.990***
	(0)
693.ID	0.990***
	(0)
695.ID	1.498***
	(0)
696.ID	0.990***
	(0)
697.ID	-0.775***
	(0)
699.ID	-0.990***
	(0)
700.ID	-0.990***
	(0)
702.ID	1.498***
	(0)
703.ID	-0.990***
	(0)
705.ID	-0.990***
	(0)
706.ID	-0.990***
	(0)
708.ID	-1.644***
	(0)
710.ID	-1.644***
	(0)
711.ID	1.498***
	(0)
712.ID	-0.775***
	(0)
713.ID	0.990***
	(0)
714.ID	0.990***
	(0)
716.ID	0.990***
	(0)
718.ID	-0.0978***
	(0)
719.ID	-0.990***
	(0)
724.ID	0.196***
	(0)
725.ID	0.990***
	(0)
727.ID	-0.775***
	(0)
728.ID	-0.990***
	(0)
730.ID	-0.990***
	(0)
731.ID	0.990***
	(0)
732.ID	1.498***
	(0)
734.ID	-0.775***
	(0)
735.ID	-0.317***
	(0)
737.ID	-0.990***
	(0)
738.ID	-0.990***
	(0)
739.ID	-0.598***
	(0)
741.ID	-0.598***
	(0)
742.ID	-0.990***
	(0)
743.ID	1.498***
	(0)
744.ID	-0.523***
	(0)
745.ID	1.498***
	(0)
747.ID	0.990***
	(0)
748.ID	0.990***
	(0)
749.ID	-0.598***
	(0)
750.ID	1.498***
	(0)
751.ID	0.990***
	(0)
755.ID	0.990***
	(0)
756.ID	1.498***
	(0)
757.ID	-0.317***
	(0)
758.ID	0.990***
	(0)
761.ID	0.990***
	(0)
763.ID	-0.990***
	(0)
764.ID	-0.775***
	(0)
767.ID	0.990***
	(0)
769.ID	-0.990***
	(0)
770.ID	-0.794***
	(0)
772.ID	-0.990***
	(0)
773.ID	-0.598***
	(0)
774.ID	-0.990***
	(0)
776.ID	0.990***
	(0)
777.ID	-0.990***
	(0)
782.ID	1.498***
	(0)
783.ID	0.990***
	(0)
785.ID	0.990***
	(0)
788.ID	0.990***
	(0)
789.ID	-0.990***
	(0)
792.ID	1.498***
	(0)
793.ID	0.990***
	(0)
797.ID	-0.775***
	(0)
799.ID	0.990***
	(0)
800.ID	0.990***
	(0)
801.ID	0.990***
	(0)
805.ID	-1.317***
	(0)
807.ID	-0.775***
	(0)
811.ID	-0.990***
	(0)
812.ID	0.990***
	(0)
814.ID	-0.990***
	(0)
818.ID	1.387***
	(0)
821.ID	0.446***
	(0)
823.ID	0
	(0)
824.ID	0.990***
	(0)
825.ID	1.133***
	(0)
826.ID	0.990***
	(0)
828.ID	0.990***
	(0)
829.ID	0
	(0)
831.ID	-0.990***
	(0)
832.ID	-0.990***
	(0)
833.ID	-0.990***
	(0)
834.ID	-0.775***
	(0)
835.ID	-0.775***
	(0)
836.ID	-0.775***
	(0)
837.ID	1.498***
	(0)
838.ID	1.244***
	(0)
839.ID	-0.990***
	(0)
840.ID	0.990***
	(0)
842.ID	0
	(0)
846.ID	-0.990***
	(0)
847.ID	-0.775***
	(0)
848.ID	-0.775***
	(0)
849.ID	-2.263***
	(0)
850.ID	-0.990***
	(0)
851.ID	0.990***
	(0)
854.ID	-0.990***
	(0)
855.ID	-0.990***
	(0)
858.ID	-0.990***
	(0)
859.ID	-2.263***
	(0)
860.ID	-0.990***
	(0)
861.ID	-0.990***
	(0)
863.ID	-0.990***
	(0)
865.ID	0.990***
	(0)
867.ID	-0.990***
	(0)
871.ID	1.498***
	(0)
875.ID	0.990***
	(0)
877.ID	-0.0509***
	(0)
880.ID	0.990***
	(0)
881.ID	-1.644***
	(0)
885.ID	0.587***
	(0)
887.ID	-0.990***
	(0)
888.ID	-0.775***
	(0)
889.ID	-0.990***
	(0)
892.ID	-0.327***
	(0)
896.ID	-0.990***
	(0)
899.ID	-0.990***
	(0)
901.ID	-0.990***
	(0)
902.ID	1.498***
	(0)
903.ID	-0.990***
	(0)
