	(1)
VARIABLES	sentence_inaccuracy
	
1.treated	0.335
	(1.489)
1.ID	-90***
	(0)
2.ID	66***
	(0)
3.ID	-78***
	(0)
4.ID	18***
	(0)
8.ID	-81***
	(0)
9.ID	-80***
	(0)
10.ID	210***
	(0)
12.ID	75***
	(0)
14.ID	-78***
	(0)
15.ID	-83***
	(0)
16.ID	90***
	(0)
18.ID	-48***
	(0)
19.ID	-66***
	(0)
22.ID	-90***
	(0)
24.ID	18***
	(0)
25.ID	36***
	(0)
26.ID	-78***
	(0)
29.ID	-72***
	(0)
31.ID	-42***
	(0)
32.ID	-90***
	(0)
33.ID	72***
	(0)
34.ID	54***
	(0)
36.ID	-54***
	(0)
37.ID	-74***
	(0)
38.ID	-84***
	(0)
39.ID	25***
	(0)
41.ID	-54***
	(0)
42.ID	66***
	(0)
48.ID	64***
	(0)
49.ID	90***
	(0)
50.ID	90***
	(0)
51.ID	-78***
	(0)
53.ID	156***
	(0)
54.ID	-78***
	(0)
55.ID	-80***
	(0)
56.ID	0
	(0)
59.ID	-90***
	(0)
62.ID	-78***
	(0)
63.ID	-66***
	(0)
64.ID	18***
	(0)
65.ID	-84***
	(0)
66.ID	-52***
	(0)
68.ID	-66***
	(0)
69.ID	-78***
	(0)
72.ID	180***
	(0)
74.ID	-72***
	(0)
84.ID	90***
	(0)
85.ID	69***
	(0)
86.ID	12***
	(0)
87.ID	54***
	(0)
89.ID	-78***
	(0)
98.ID	-72***
	(0)
101.ID	-90***
	(0)
102.ID	-90***
	(0)
104.ID	-42***
	(0)
105.ID	-66***
	(0)
107.ID	168***
	(0)
110.ID	-84***
	(0)
112.ID	90***
	(0)
118.ID	-78***
	(0)
119.ID	162***
	(0)
120.ID	-6***
	(0)
121.ID	90***
	(0)
122.ID	66***
	(0)
125.ID	11***
	(0)
126.ID	-90***
	(0)
127.ID	-88***
	(0)
128.ID	-84***
	(0)
129.ID	90***
	(0)
130.ID	-87***
	(0)
135.ID	-66***
	(0)
137.ID	83***
	(0)
140.ID	-78***
	(0)
142.ID	-48***
	(0)
144.ID	-84***
	(0)
145.ID	-77***
	(0)
146.ID	-15***
	(0)
148.ID	60***
	(0)
151.ID	-72***
	(0)
153.ID	-42***
	(0)
154.ID	-54***
	(0)
156.ID	-60***
	(0)
157.ID	-64***
	(0)
158.ID	42***
	(0)
160.ID	54***
	(0)
163.ID	-27***
	(0)
164.ID	-78***
	(0)
166.ID	81***
	(0)
168.ID	76***
	(0)
169.ID	66***
	(0)
170.ID	12***
	(0)
173.ID	0
	(0)
174.ID	24***
	(0)
175.ID	-79***
	(0)
176.ID	-66***
	(0)
177.ID	90***
	(0)
178.ID	-81***
	(0)
179.ID	-12***
	(0)
183.ID	-82***
	(0)
185.ID	72***
	(0)
186.ID	30***
	(0)
187.ID	88***
	(0)
188.ID	54***
	(0)
192.ID	-80***
	(0)
194.ID	-30***
	(0)
197.ID	90***
	(0)
198.ID	-66***
	(0)
200.ID	-42***
	(0)
202.ID	-54***
	(0)
203.ID	108***
	(0)
204.ID	120***
	(0)
205.ID	6***
	(0)
209.ID	-30***
	(0)
210.ID	-78***
	(0)
212.ID	-66***
	(0)
213.ID	210***
	(0)
222.ID	170***
	(0)
224.ID	90***
	(0)
225.ID	-12***
	(0)
226.ID	-86***
	(0)
229.ID	-42***
	(0)
230.ID	-42***
	(0)
232.ID	-60***
	(0)
233.ID	-88***
	(0)
234.ID	144***
	(0)
235.ID	-84***
	(0)
236.ID	198***
	(0)
237.ID	-90***
	(0)
238.ID	-12***
	(0)
239.ID	-48***
	(0)
240.ID	-66***
	(0)
241.ID	90***
	(0)
242.ID	-66***
	(0)
243.ID	30***
	(0)
244.ID	90***
	(0)
246.ID	-90***
	(0)
247.ID	54***
	(0)
248.ID	-78***
	(0)
249.ID	-84***
	(0)
250.ID	174***
	(0)
252.ID	-82***
	(0)
253.ID	-78***
	(0)
255.ID	138***
	(0)
256.ID	6***
	(0)
257.ID	90***
	(0)
258.ID	-66***
	(0)
259.ID	90***
	(0)
261.ID	-86***
	(0)
263.ID	-66***
	(0)
267.ID	-66***
	(0)
268.ID	90***
	(0)
269.ID	3***
	(0)
270.ID	54***
	(0)
272.ID	114***
	(0)
274.ID	-18***
	(0)
275.ID	156***
	(0)
276.ID	-12***
	(0)
277.ID	90***
	(0)
280.ID	90***
	(0)
281.ID	90***
	(0)
284.ID	-82***
	(0)
286.ID	-78***
	(0)
288.ID	90***
	(0)
289.ID	90***
	(0)
290.ID	90***
	(0)
292.ID	60***
	(0)
293.ID	-90***
	(0)
295.ID	-12***
	(0)
296.ID	-78***
	(0)
297.ID	90***
	(0)
298.ID	-54***
	(0)
301.ID	-66***
	(0)
302.ID	210***
	(0)
304.ID	-30***
	(0)
305.ID	90***
	(0)
306.ID	-84***
	(0)
308.ID	-84***
	(0)
309.ID	-86***
	(0)
310.ID	-86***
	(0)
312.ID	6***
	(0)
314.ID	-78***
	(0)
317.ID	-60***
	(0)
319.ID	0
	(0)
320.ID	-81***
	(0)
322.ID	156***
	(0)
323.ID	57***
	(0)
324.ID	12***
	(0)
325.ID	-78***
	(0)
326.ID	-32***
	(0)
327.ID	-30***
	(0)
328.ID	-54***
	(0)
329.ID	-82***
	(0)
330.ID	120***
	(0)
332.ID	90***
	(0)
333.ID	18***
	(0)
338.ID	-90***
	(0)
339.ID	-72***
	(0)
340.ID	144***
	(0)
344.ID	-90***
	(0)
345.ID	24***
	(0)
346.ID	-90***
	(0)
348.ID	-72***
	(0)
350.ID	-66***
	(0)
352.ID	54***
	(0)
354.ID	-74***
	(0)
355.ID	-84***
	(0)
356.ID	-48***
	(0)
361.ID	-72***
	(0)
364.ID	66***
	(0)
365.ID	-66***
	(0)
369.ID	80***
	(0)
370.ID	30***
	(0)
372.ID	30***
	(0)
374.ID	54***
	(0)
375.ID	-48***
	(0)
377.ID	-77***
	(0)
378.ID	-72***
	(0)
385.ID	6***
	(0)
389.ID	84***
	(0)
390.ID	140***
	(0)
391.ID	-73***
	(0)
393.ID	42***
	(0)
394.ID	-72***
	(0)
395.ID	36***
	(0)
396.ID	75***
	(0)
400.ID	42***
	(0)
402.ID	-78***
	(0)
405.ID	-84***
	(0)
406.ID	-78***
	(0)
407.ID	48***
	(0)
408.ID	30***
	(0)
409.ID	-86***
	(0)
414.ID	-90***
	(0)
415.ID	-83***
	(0)
416.ID	-70***
	(0)
417.ID	-90***
	(0)
424.ID	66***
	(0)
425.ID	24***
	(0)
426.ID	42***
	(0)
429.ID	-72***
	(0)
430.ID	138***
	(0)
432.ID	54***
	(0)
434.ID	-66***
	(0)
435.ID	210***
	(0)
436.ID	-87***
	(0)
438.ID	90***
	(0)
439.ID	42***
	(0)
440.ID	-87***
	(0)
441.ID	-36***
	(0)
445.ID	-76***
	(0)
447.ID	-72***
	(0)
448.ID	54***
	(0)
451.ID	54***
	(0)
452.ID	-89***
	(0)
453.ID	78***
	(0)
457.ID	51***
	(0)
458.ID	42***
	(0)
460.ID	-80***
	(0)
461.ID	42***
	(0)
462.ID	90***
	(0)
463.ID	168***
	(0)
464.ID	18***
	(0)
465.ID	-90***
	(0)
466.ID	-90***
	(0)
467.ID	-66***
	(0)
468.ID	102***
	(0)
470.ID	54***
	(0)
471.ID	180***
	(0)
472.ID	189***
	(0)
473.ID	55***
	(0)
475.ID	-80***
	(0)
476.ID	48***
	(0)
478.ID	114***
	(0)
479.ID	75***
	(0)
480.ID	-66***
	(0)
481.ID	54***
	(0)
482.ID	190***
	(0)
484.ID	114***
	(0)
485.ID	210***
	(0)
486.ID	-78***
	(0)
488.ID	36***
	(0)
493.ID	-66***
	(0)
495.ID	-30***
	(0)
498.ID	78***
	(0)
501.ID	-75***
	(0)
503.ID	-60***
	(0)
505.ID	-90***
	(0)
507.ID	-90***
	(0)
508.ID	-75***
	(0)
509.ID	-84***
	(0)
512.ID	-79***
	(0)
514.ID	143***
	(0)
515.ID	114***
	(0)
518.ID	-78***
	(0)
520.ID	72***
	(0)
521.ID	-60***
	(0)
523.ID	150***
	(0)
525.ID	-83***
	(0)
527.ID	90***
	(0)
528.ID	120***
	(0)
529.ID	-52***
	(0)
532.ID	90***
	(0)
536.ID	90***
	(0)
539.ID	-66***
	(0)
540.ID	-72***
	(0)
541.ID	-30***
	(0)
542.ID	210***
	(0)
545.ID	-86***
	(0)
546.ID	-87***
	(0)
548.ID	-84***
	(0)
550.ID	30***
	(0)
555.ID	90***
	(0)
556.ID	-81***
	(0)
560.ID	182***
	(0)
561.ID	-66***
	(0)
562.ID	-66***
	(0)
564.ID	-84***
	(0)
569.ID	90***
	(0)
571.ID	30***
	(0)
574.ID	-60***
	(0)
575.ID	-15***
	(0)
577.ID	24***
	(0)
578.ID	-78***
	(0)
581.ID	90***
	(0)
582.ID	-66***
	(0)
584.ID	18***
	(0)
585.ID	-6***
	(0)
586.ID	-72***
	(0)
588.ID	-90***
	(0)
589.ID	-66***
	(0)
590.ID	-30***
	(0)
591.ID	-90***
	(0)
592.ID	0
	(0)
597.ID	90***
	(0)
598.ID	-90***
	(0)
599.ID	-90***
	(0)
600.ID	-49***
	(0)
611.ID	-90***
	(0)
612.ID	42***
	(0)
616.ID	-90***
	(0)
618.ID	39***
	(0)
619.ID	-78***
	(0)
621.ID	-66***
	(0)
622.ID	-72***
	(0)
623.ID	68***
	(0)
624.ID	-54***
	(0)
625.ID	48***
	(0)
628.ID	18***
	(0)
629.ID	150***
	(0)
630.ID	-84***
	(0)
631.ID	28***
	(0)
632.ID	-72***
	(0)
633.ID	102***
	(0)
634.ID	-54***
	(0)
635.ID	90***
	(0)
636.ID	70***
	(0)
637.ID	182***
	(0)
641.ID	-19***
	(0)
647.ID	-12***
	(0)
648.ID	90***
	(0)
650.ID	-78***
	(0)
651.ID	-84***
	(0)
654.ID	-54***
	(0)
656.ID	-78***
	(0)
659.ID	78***
	(0)
661.ID	78***
	(0)
664.ID	-75***
	(0)
665.ID	-74***
	(0)
667.ID	-54***
	(0)
669.ID	-72***
	(0)
673.ID	-82***
