	(1)
VARIABLES	lgxq_llm_full
	
1.treated	-0.0174
	(0.0150)
1.ID	0.392***
	(0)
2.ID	1.980***
	(0)
3.ID	-0
	(0)
4.ID	1.980***
	(0)
5.ID	0.215***
	(0)
6.ID	-0
	(0)
7.ID	1.980***
	(0)
8.ID	1.352***
	(0)
9.ID	-0
	(0)
10.ID	2.488***
	(0)
12.ID	2.234***
	(0)
14.ID	1.980***
	(0)
15.ID	-0
	(0)
16.ID	1.980***
	(0)
17.ID	-0
	(0)
18.ID	-0
	(0)
19.ID	0.215***
	(0)
20.ID	1.980***
	(0)
21.ID	0.215***
	(0)
22.ID	0.392***
	(0)
23.ID	1.980***
	(0)
24.ID	1.980***
	(0)
25.ID	1.352***
	(0)
26.ID	-0.654***
	(0)
27.ID	-0
	(0)
28.ID	-0
	(0)
29.ID	-0
	(0)
30.ID	-0
	(0)
31.ID	1.072***
	(0)
32.ID	1.971***
	(0.00752)
33.ID	1.980***
	(0)
34.ID	1.980***
	(0)
35.ID	-0
	(0)
36.ID	-0
	(0)
37.ID	-0
	(0)
38.ID	-0
	(0)
39.ID	1.980***
	(0)
40.ID	1.980***
	(0)
41.ID	0.392***
	(0)
42.ID	2.488***
	(0)
43.ID	-0
	(0)
44.ID	-1.273***
	(0)
45.ID	-2.120***
	(0)
46.ID	0.215***
	(0)
47.ID	-0.274***
	(0)
48.ID	1.980***
	(0)
49.ID	1.980***
	(0)
50.ID	1.980***
	(0)
51.ID	-0
	(0)
52.ID	0.215***
	(0)
53.ID	2.266***
	(0)
54.ID	-0
	(0)
55.ID	-0
	(0)
56.ID	1.980***
	(0)
57.ID	-0
	(0)
58.ID	1.980***
	(0)
59.ID	0.673***
	(0)
60.ID	-0
	(0)
61.ID	-0
	(0)
62.ID	0.215***
	(0)
63.ID	-0
	(0)
64.ID	2.123***
	(0)
65.ID	-0
	(0)
66.ID	0.215***
	(0)
67.ID	1.980***
	(0)
68.ID	1.577***
	(0)
69.ID	-0
	(0)
70.ID	2.488***
	(0)
71.ID	2.488***
	(0)
72.ID	2.488***
	(0)
73.ID	-0
	(0)
74.ID	2.488***
	(0)
76.ID	-0
	(0)
77.ID	0.108***
	(0)
78.ID	-0
	(0)
79.ID	-0
	(0)
80.ID	1.980***
	(0)
81.ID	-0
	(0)
82.ID	0.392***
	(0)
83.ID	0.215***
	(0)
84.ID	2.488***
	(0)
85.ID	1.980***
	(0)
86.ID	1.980***
	(0)
87.ID	1.980***
	(0)
88.ID	2.488***
	(0)
89.ID	-0
	(0)
90.ID	-0
	(0)
91.ID	1.356***
	(0)
92.ID	-0.654***
	(0)
93.ID	0.392***
	(0)
94.ID	-0
	(0)
95.ID	2.488***
	(0)
96.ID	-0
	(0)
97.ID	-0.916***
	(0)
98.ID	0.892***
	(0)
99.ID	0.108***
	(0)
