	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0177
	(0.0110)
1.ID	0.392***
	(0.0125)
2.ID	1.980***
	(0.0125)
3.ID	-0
	(0.0125)
4.ID	1.980***
	(0.0125)
5.ID	0.215***
	(0.0125)
6.ID	-0
	(0.0125)
7.ID	1.980***
	(0.0125)
8.ID	1.352
	(1.129)
9.ID	-0
	(0.0125)
10.ID	2.488***
	(0.0125)
12.ID	2.234***
	(0.264)
14.ID	1.980***
	(0.0125)
15.ID	-0
	(0.0125)
16.ID	1.980***
	(0.0125)
17.ID	-0
	(0.0125)
18.ID	-0
	(0.0125)
19.ID	0.215***
	(0.0125)
20.ID	1.980***
	(0.0125)
21.ID	0.215***
	(0.0125)
22.ID	0.392***
	(0.0125)
23.ID	1.980***
	(0.0125)
24.ID	1.980***
	(0.0125)
25.ID	1.352
	(1.129)
26.ID	-0.654***
	(0.0125)
27.ID	-0
	(0.0125)
28.ID	-0
	(0.0125)
29.ID	-0
	(0.0125)
30.ID	-0
	(0.0125)
31.ID	1.072***
	(0.0125)
32.ID	1.971***
	(0.0104)
33.ID	1.980***
	(0.0125)
34.ID	1.980***
	(0.0125)
35.ID	-0
	(0.0125)
36.ID	-0
	(0.0125)
37.ID	-0
	(0.0125)
38.ID	-0
	(0.0125)
39.ID	1.980***
	(0.0125)
40.ID	1.980***
	(0.0125)
41.ID	0.392***
	(0.0125)
42.ID	2.488***
	(0.0125)
43.ID	-0
	(0.0125)
46.ID	0.215***
	(0.0125)
47.ID	-0.274***
	(0.0125)
48.ID	1.980***
	(0.0125)
49.ID	1.980***
	(0.0125)
50.ID	1.980***
	(0.0125)
51.ID	-0
	(0.0125)
52.ID	0.215***
	(0.0125)
53.ID	2.266***
	(0.0125)
54.ID	-0
	(0.0125)
55.ID	-0
	(0.0125)
56.ID	1.980***
	(0.0125)
57.ID	-0
	(0.0125)
58.ID	1.980***
	(0.0125)
59.ID	0.673***
	(0.0125)
60.ID	-0
	(0.0125)
61.ID	-0
	(0.0125)
62.ID	0.215***
	(0.0125)
63.ID	-0
	(0.0125)
64.ID	2.123***
	(0.135)
65.ID	-0
	(0.0125)
66.ID	0.215***
	(0.0125)
67.ID	1.980***
	(0.0125)
68.ID	1.577***
	(0.0125)
69.ID	-0
	(0.0125)
70.ID	2.488***
	(0.0125)
71.ID	2.488***
	(0.0125)
72.ID	2.488***
	(0.0125)
73.ID	-0
	(0.0125)
74.ID	2.488***
	(0.0125)
76.ID	-0
	(0.0125)
77.ID	0.108
	(0.117)
78.ID	-0
	(0.0125)
79.ID	-0
	(0.0125)
80.ID	1.980***
	(0.0125)
81.ID	-0
	(0.0125)
82.ID	0.392***
	(0.0125)
83.ID	0.215***
	(0.0125)
84.ID	2.488***
	(0.0125)
85.ID	1.980***
	(0.0125)
86.ID	1.980***
	(0.0125)
87.ID	1.980***
	(0.0125)
88.ID	2.488***
	(0.0125)
89.ID	-0
	(0.0125)
90.ID	-0
	(0.0125)
91.ID	1.356***
	(0.0125)
92.ID	-0.654***
	(0.0125)
93.ID	0.392***
	(0.0125)
94.ID	-0
	(0.0125)
95.ID	2.488***
	(0.0125)
96.ID	-0
	(0.0125)
97.ID	-0.916***
	(0.0125)
98.ID	0.892***
	(0.0125)
99.ID	0.108
	(0.117)
100.ID	0.215***
	(0.0125)
101.ID	-0
	(0.0125)
102.ID	-0.654***
	(0.0125)
103.ID	-0
	(0.0125)
104.ID	-0
	(0.0125)
105.ID	-0
	(0.0125)
106.ID	2.488***
	(0.0125)
107.ID	2.488***
	(0.0125)
108.ID	2.488***
	(0.0125)
109.ID	0.215***
	(0.0125)
110.ID	-0.654***
	(0.0125)
111.ID	-0.654***
	(0.0125)
112.ID	1.980***
	(0.0125)
113.ID	-0
	(0.0125)
114.ID	1.980***
	(0.0125)
115.ID	1.980***
	(0.0125)
116.ID	0.215***
	(0.0125)
117.ID	1.980***
	(0.0125)
118.ID	1.980***
	(0.0125)
119.ID	2.488***
	(0.0125)
120.ID	1.224***
	(0.0125)
121.ID	1.980***
	(0.0125)
122.ID	2.234***
	(0.246)
123.ID	2.488***
	(0.0125)
125.ID	1.980***
	(0.0125)
126.ID	1.980***
	(0.0125)
127.ID	-0.327
	(0.319)
128.ID	0.215***
	(0.0125)
129.ID	1.980***
	(0.0125)
130.ID	-0
	(0.0125)
131.ID	0.215***
	(0.0125)
132.ID	-0.654***
	(0.0125)
133.ID	1.980***
	(0.0125)
134.ID	0.892***
	(0.0125)
135.ID	1.980***
	(0.0125)
136.ID	1.980***
	(0.0125)
137.ID	1.980***
	(0.0125)
138.ID	2.488***
	(0.0125)
139.ID	-0
	(0.0125)
140.ID	0.392***
	(0.0125)
142.ID	-0
	(0.0125)
144.ID	-0
	(0.0125)
145.ID	0.215***
	(0.0125)
146.ID	1.980***
	(0.0125)
147.ID	2.488***
	(0.0125)
148.ID	1.980***
	(0.0125)
149.ID	-0.654***
	(0.0125)
150.ID	-0
	(0.0125)
151.ID	0.215***
	(0.0125)
152.ID	1.980***
	(0.0125)
153.ID	1.980***
	(0.0125)
154.ID	1.980***
	(0.0125)
155.ID	-0
	(0.0125)
156.ID	-0
	(0.0125)
157.ID	1.980***
	(0.0125)
158.ID	1.980***
	(0.0125)
159.ID	0.215***
	(0.0125)
160.ID	1.980***
	(0.0125)
161.ID	2.266***
	(0.0125)
163.ID	0.892***
	(0.0125)
164.ID	-0
	(0.0125)
165.ID	-0
	(0.0125)
166.ID	1.980***
	(0.0125)
167.ID	-0
	(0.0125)
168.ID	1.980***
	(0.0125)
169.ID	1.980***
	(0.0125)
170.ID	0.215***
	(0.0125)
172.ID	-0
	(0.0125)
173.ID	1.980***
	(0.0125)
174.ID	1.980***
	(0.0125)
175.ID	0.215***
	(0.0125)
176.ID	-0
	(0.0125)
177.ID	1.980***
	(0.0125)
178.ID	-0.654***
	(0.0125)
179.ID	1.980***
	(0.0125)
180.ID	1.151***
	(0.0125)
181.ID	-0.654***
	(0.0125)
182.ID	-0
	(0.0125)
183.ID	0.215***
	(0.0125)
184.ID	-0
	(0.0125)
185.ID	2.488***
	(0.0125)
186.ID	1.980***
	(0.0125)
188.ID	1.980***
	(0.0125)
189.ID	0.215***
	(0.0125)
190.ID	-0
	(0.0125)
191.ID	0.215***
	(0.0125)
192.ID	-0
	(0.0125)
194.ID	1.980***
	(0.0125)
196.ID	-0
	(0.0125)
197.ID	1.980***
	(0.0125)
198.ID	-0
	(0.0125)
199.ID	-0
	(0.0125)
200.ID	1.980***
	(0.0125)
201.ID	-0
	(0.0125)
202.ID	1.980***
	(0.0125)
203.ID	2.488***
	(0.0125)
204.ID	2.488***
	(0.0125)
205.ID	1.980***
	(0.0125)
206.ID	-0
	(0.0125)
207.ID	-0
	(0.0125)
208.ID	-0
	(0.0125)
209.ID	2.234***
	(0.246)
210.ID	-0
	(0.0125)
212.ID	-0
	(0.0125)
213.ID	2.488***
	(0.0125)
214.ID	0.990
	(0.983)
215.ID	-1.282***
	(0.0104)
217.ID	1.980***
	(0.0125)
218.ID	-0
	(0.0125)
219.ID	0.215***
	(0.0125)
220.ID	1.980***
	(0.0125)
221.ID	1.980***
	(0.0125)
222.ID	2.488***
	(0.0125)
223.ID	1.352
	(1.129)
224.ID	1.980***
	(0.0125)
225.ID	1.980***
	(0.0125)
226.ID	-0.274***
	(0.0125)
227.ID	1.980***
	(0.0125)
228.ID	2.488***
	(0.0125)
229.ID	1.980***
	(0.0125)
230.ID	1.980***
	(0.0125)
231.ID	1.980***
	(0.0125)
232.ID	-0
	(0.0125)
233.ID	0.215***
	(0.0125)
234.ID	1.980***
	(0.0125)
235.ID	0.892***
	(0.0125)
236.ID	2.488***
	(0.0125)
237.ID	1.980***
	(0.0125)
238.ID	1.980***
	(0.0125)
239.ID	2.266***
	(0.0125)
240.ID	1.980***
	(0.0125)
241.ID	1.980***
	(0.0125)
242.ID	-0
	(0.0125)
243.ID	1.778***
	(0.193)
244.ID	2.266***
	(0.0125)
245.ID	-0
	(0.0125)
246.ID	1.980***
	(0.0125)
247.ID	1.980***
	(0.0125)
248.ID	0.392***
	(0.0125)
249.ID	-0
	(0.0125)
250.ID	2.488***
	(0.0125)
251.ID	-0
	(0.0125)
252.ID	0.215***
	(0.0125)
253.ID	-0
	(0.0125)
254.ID	-0
	(0.0125)
255.ID	2.488***
	(0.0125)
256.ID	1.980***
	(0.0125)
257.ID	1.980***
	(0.0125)
258.ID	-0
	(0.0125)
259.ID	1.980***
	(0.0125)
260.ID	1.980***
	(0.0125)
261.ID	-0.219
	(0.444)
263.ID	-0
	(0.0125)
264.ID	2.488***
	(0.0125)
266.ID	1.980***
	(0.0125)
267.ID	0.215***
	(0.0125)
268.ID	1.980***
	(0.0125)
269.ID	0.990
	(1.000)
270.ID	1.980***
	(0.0125)
271.ID	0.108
	(0.0993)
272.ID	2.488***
	(0.0125)
274.ID	-0
	(0.0125)
275.ID	0.215***
	(0.0125)
276.ID	1.577***
	(0.0125)
277.ID	1.980***
	(0.0125)
278.ID	-0.446***
	(0.0125)
279.ID	0.215***
	(0.0125)
280.ID	1.980***
	(0.0125)
281.ID	1.980***
	(0.0125)
282.ID	-0
	(0.0125)
283.ID	-0
	(0.0125)
284.ID	-0
	(0.0125)
285.ID	-0
	(0.0125)
286.ID	-0
	(0.0125)
288.ID	1.980***
	(0.0125)
289.ID	1.980***
	(0.0125)
290.ID	1.980***
	(0.0125)
291.ID	-0
	(0.0125)
292.ID	2.266***
	(0.0125)
294.ID	0.392***
	(0.0125)
295.ID	0.990
	(1.000)
296.ID	0.673***
	(0.0125)
297.ID	1.980***
	(0.0125)
298.ID	1.980***
	(0.0125)
299.ID	2.488***
	(0.0125)
300.ID	1.980***
	(0.0125)
301.ID	-0
	(0.0125)
302.ID	2.488***
	(0.0125)
303.ID	0.532***
	(0.132)
304.ID	2.488***
	(0.0125)
305.ID	1.980***
	(0.0125)
306.ID	0.392***
	(0.0125)
307.ID	0.215***
	(0.0125)
308.ID	0.892***
	(0.0125)
309.ID	0.215***
	(0.0125)
310.ID	-0
	(0.0125)
311.ID	-1.273***
	(0.0125)
312.ID	1.980***
	(0.0125)
313.ID	0.215***
	(0.0125)
314.ID	0.990
	(0.983)
315.ID	-0
	(0.0125)
316.ID	1.186
	(0.786)
317.ID	1.980***
	(0.0125)
318.ID	1.980***
	(0.0125)
319.ID	1.980***
	(0.0125)
320.ID	0.215***
	(0.0125)
321.ID	0.392***
	(0.0125)
322.ID	2.266***
	(0.0125)
323.ID	1.352
	(1.129)
324.ID	1.980***
	(0.0125)
325.ID	-0
	(0.0125)
326.ID	1.980***
	(0.0125)
327.ID	1.980***
	(0.0125)
328.ID	1.980***
	(0.0125)
329.ID	-0
	(0.0125)
330.ID	2.266***
	(0.0125)
331.ID	-0
	(0.0125)
332.ID	1.980***
	(0.0125)
333.ID	1.980***
	(0.0125)
334.ID	-0
	(0.0125)
335.ID	-0
	(0.0125)
336.ID	1.911***
	(0.0125)
337.ID	-0
	(0.0125)
338.ID	1.980***
	(0.0125)
339.ID	1.980***
	(0.0125)
340.ID	2.488***
	(0.0125)
341.ID	0.215***
	(0.0125)
342.ID	-0
	(0.0125)
343.ID	1.980***
	(0.0125)
344.ID	0.215***
	(0.0125)
345.ID	1.980***
	(0.0125)
346.ID	-1.273***
	(0.0125)
347.ID	0.392***
	(0.0125)
348.ID	-0
	(0.0125)
349.ID	-0.774
	(0.491)
350.ID	-0
	(0.0125)
351.ID	-1.264***
	(0.0104)
352.ID	0.990
	(0.983)
353.ID	1.577***
	(0.0125)
354.ID	-0
	(0.0125)
355.ID	0.392***
	(0.0125)
356.ID	0.215***
	(0.0125)
357.ID	1.980***
	(0.0125)
358.ID	-0
	(0.0125)
359.ID	1.980***
	(0.0125)
361.ID	-0
	(0.0125)
364.ID	2.123***
	(0.152)
365.ID	-0
	(0.0125)
366.ID	2.488***
	(0.0125)
369.ID	1.980***
	(0.0125)
370.ID	1.980***
	(0.0125)
372.ID	1.980***
	(0.0125)
373.ID	-0
	(0.0125)
374.ID	1.980***
	(0.0125)
375.ID	-0
	(0.0125)
377.ID	1.980***
	(0.0125)
378.ID	-0
	(0.0125)
379.ID	0.215***
	(0.0125)
381.ID	-0
	(0.0125)
382.ID	-1.273***
	(0.0125)
383.ID	-0
	(0.0125)
385.ID	1.980***
	(0.0125)
386.ID	-0.654***
	(0.0125)
387.ID	-0
	(0.0125)
388.ID	0.215***
	(0.0125)
389.ID	1.980***
	(0.0125)
390.ID	2.488***
	(0.0125)
391.ID	-0
	(0.0125)
393.ID	2.234***
	(0.246)
394.ID	1.980***
	(0.0125)
395.ID	1.980***
	(0.0125)
396.ID	1.980***
	(0.0125)
397.ID	-0
	(0.0125)
398.ID	-0.654***
	(0.0125)
399.ID	0.215***
	(0.0125)
400.ID	1.980***
	(0.0125)
401.ID	0.892***
	(0.0125)
402.ID	-0
	(0.0125)
403.ID	-0
	(0.0125)
404.ID	0.392***
	(0.0125)
405.ID	-0
	(0.0125)
406.ID	1.234***
	(0.352)
407.ID	1.980***
	(0.0125)
408.ID	2.488***
	(0.0125)
409.ID	-0.654***
	(0.0125)
410.ID	-0
	(0.0125)
411.ID	-0
	(0.0125)
412.ID	1.980***
	(0.0125)
413.ID	0.392***
	(0.0125)
414.ID	-0
	(0.0125)
415.ID	-0
	(0.0125)
416.ID	0.215***
	(0.0125)
417.ID	-0.654***
	(0.0125)
418.ID	-0
	(0.0125)
419.ID	-0
	(0.0125)
420.ID	0.215***
	(0.0125)
421.ID	-0
	(0.0125)
423.ID	1.980***
	(0.0125)
424.ID	1.980***
	(0.0125)
425.ID	1.980***
	(0.0125)
426.ID	-0
	(0.0125)
428.ID	-0
	(0.0125)
429.ID	-0
	(0.0125)
430.ID	2.488***
	(0.0125)
431.ID	0.215***
	(0.0125)
432.ID	1.980***
	(0.0125)
433.ID	-0
	(0.0125)
434.ID	-0
	(0.0125)
435.ID	2.488***
	(0.0125)
436.ID	0.215***
	(0.0125)
437.ID	-0.654***
	(0.0125)
438.ID	1.980***
	(0.0125)
439.ID	1.980***
	(0.0125)
440.ID	0.215***
	(0.0125)
441.ID	1.980***
	(0.0125)
442.ID	1.726***
	(0.263)
445.ID	-0
	(0.0125)
446.ID	1.980***
	(0.0125)
447.ID	0.892***
	(0.0125)
448.ID	1.980***
	(0.0125)
449.ID	1.980***
	(0.0125)
450.ID	-0
	(0.0125)
451.ID	1.980***
	(0.0125)
452.ID	0.304***
	(0.0979)
453.ID	2.488***
	(0.0125)
454.ID	0.215***
	(0.0125)
455.ID	1.980***
	(0.0125)
456.ID	-1.273***
	(0.0125)
457.ID	2.488***
	(0.0125)
458.ID	2.488***
	(0.0125)
459.ID	0.215***
	(0.0125)
460.ID	-0
	(0.0125)
461.ID	2.488***
	(0.0125)
462.ID	1.980***
	(0.0125)
464.ID	1.980***
	(0.0125)
465.ID	0.892***
	(0.0125)
466.ID	1.980***
	(0.0125)
467.ID	1.980***
	(0.0125)
468.ID	2.488***
	(0.0125)
469.ID	-0
	(0.0125)
470.ID	1.980***
	(0.0125)
471.ID	2.488***
	(0.0125)
472.ID	2.488***
	(0.0125)
473.ID	1.980***
	(0.0125)
474.ID	1.980***
	(0.0125)
475.ID	-0
	(0.0125)
476.ID	1.980***
	(0.0125)
477.ID	2.266***
	(0.0125)
478.ID	2.488***
	(0.0125)
479.ID	1.980***
	(0.0125)
480.ID	0.892***
	(0.0125)
481.ID	1.980***
	(0.0125)
482.ID	2.488***
	(0.0125)
483.ID	-0.654***
	(0.0125)
