	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0177
	(0.0110)
1.ID	0.392***
	(0.0126)
2.ID	1.980***
	(0.0126)
3.ID	0
	(0.0126)
4.ID	1.980***
	(0.0126)
5.ID	0.215***
	(0.0126)
6.ID	0
	(0.0126)
7.ID	1.980***
	(0.0126)
8.ID	1.352
	(1.129)
9.ID	0
	(0.0126)
10.ID	2.488***
	(0.0126)
12.ID	2.234***
	(0.264)
14.ID	1.980***
	(0.0126)
15.ID	0
	(0.0126)
16.ID	1.980***
	(0.0126)
17.ID	0
	(0.0126)
18.ID	0
	(0.0126)
19.ID	0.215***
	(0.0126)
20.ID	1.980***
	(0.0126)
21.ID	0.215***
	(0.0126)
22.ID	0.392***
	(0.0126)
23.ID	1.980***
	(0.0126)
24.ID	1.980***
	(0.0126)
25.ID	1.352
	(1.129)
26.ID	-0.654***
	(0.0126)
27.ID	0
	(0.0126)
28.ID	0
	(0.0126)
29.ID	0
	(0.0126)
30.ID	0
	(0.0126)
31.ID	1.072***
	(0.0126)
32.ID	1.971***
	(0.0104)
33.ID	1.980***
	(0.0126)
34.ID	1.980***
	(0.0126)
35.ID	0
	(0.0126)
36.ID	0
	(0.0126)
37.ID	0
	(0.0126)
38.ID	0
	(0.0126)
39.ID	1.980***
	(0.0126)
40.ID	1.980***
	(0.0126)
41.ID	0.392***
	(0.0126)
42.ID	2.488***
	(0.0126)
43.ID	0
	(0.0126)
46.ID	0.215***
	(0.0126)
47.ID	-0.274***
	(0.0126)
48.ID	1.980***
	(0.0126)
49.ID	1.980***
	(0.0126)
50.ID	1.980***
	(0.0126)
51.ID	0
	(0.0126)
52.ID	0.215***
	(0.0126)
53.ID	2.266***
	(0.0126)
54.ID	0
	(0.0126)
55.ID	0
	(0.0126)
56.ID	1.980***
	(0.0126)
57.ID	0
	(0.0126)
58.ID	1.980***
	(0.0126)
59.ID	0.673***
	(0.0126)
60.ID	0
	(0.0126)
61.ID	0
	(0.0126)
62.ID	0.215***
	(0.0126)
63.ID	0
	(0.0126)
64.ID	2.123***
	(0.135)
65.ID	0
	(0.0126)
66.ID	0.215***
	(0.0126)
67.ID	1.980***
	(0.0126)
68.ID	1.577***
	(0.0126)
69.ID	0
	(0.0126)
70.ID	2.488***
	(0.0126)
71.ID	2.488***
	(0.0126)
72.ID	2.488***
	(0.0126)
73.ID	0
	(0.0126)
74.ID	2.488***
	(0.0126)
76.ID	0
	(0.0126)
77.ID	0.108
	(0.117)
78.ID	0
	(0.0126)
79.ID	0
	(0.0126)
80.ID	1.980***
	(0.0126)
81.ID	0
	(0.0126)
82.ID	0.392***
	(0.0126)
83.ID	0.215***
	(0.0126)
84.ID	2.488***
	(0.0126)
85.ID	1.980***
	(0.0126)
86.ID	1.980***
	(0.0126)
87.ID	1.980***
	(0.0126)
88.ID	2.488***
	(0.0126)
89.ID	0
	(0.0126)
90.ID	0
	(0.0126)
91.ID	1.356***
	(0.0126)
92.ID	-0.654***
	(0.0126)
93.ID	0.392***
	(0.0126)
94.ID	0
	(0.0126)
95.ID	2.488***
	(0.0126)
96.ID	0
	(0.0126)
97.ID	-0.916***
	(0.0126)
98.ID	0.892***
	(0.0126)
99.ID	0.108
	(0.117)
100.ID	0.215***
	(0.0126)
101.ID	0
	(0.0126)
102.ID	-0.654***
	(0.0126)
103.ID	0
	(0.0126)
104.ID	0
	(0.0126)
105.ID	0
	(0.0126)
106.ID	2.488***
	(0.0126)
107.ID	2.488***
	(0.0126)
108.ID	2.488***
	(0.0126)
109.ID	0.215***
	(0.0126)
110.ID	-0.654***
	(0.0126)
111.ID	-0.654***
	(0.0126)
112.ID	1.980***
	(0.0126)
113.ID	0
	(0.0126)
114.ID	1.980***
	(0.0126)
115.ID	1.980***
	(0.0126)
116.ID	0.215***
	(0.0126)
117.ID	1.980***
	(0.0126)
118.ID	1.980***
	(0.0126)
119.ID	2.488***
	(0.0126)
120.ID	1.224***
	(0.0126)
121.ID	1.980***
	(0.0126)
122.ID	2.234***
	(0.246)
123.ID	2.488***
	(0.0126)
125.ID	1.980***
	(0.0126)
126.ID	1.980***
	(0.0126)
127.ID	-0.327
	(0.319)
128.ID	0.215***
	(0.0126)
129.ID	1.980***
	(0.0126)
130.ID	0
	(0.0126)
131.ID	0.215***
	(0.0126)
132.ID	-0.654***
	(0.0126)
133.ID	1.980***
	(0.0126)
134.ID	0.892***
	(0.0126)
135.ID	1.980***
	(0.0126)
136.ID	1.980***
	(0.0126)
137.ID	1.980***
	(0.0126)
138.ID	2.488***
	(0.0126)
139.ID	0
	(0.0126)
140.ID	0.392***
	(0.0126)
142.ID	0
	(0.0126)
144.ID	0
	(0.0126)
145.ID	0.215***
	(0.0126)
146.ID	1.980***
	(0.0126)
147.ID	2.488***
	(0.0126)
148.ID	1.980***
	(0.0126)
149.ID	-0.654***
	(0.0126)
150.ID	0
	(0.0126)
151.ID	0.215***
	(0.0126)
152.ID	1.980***
	(0.0126)
153.ID	1.980***
	(0.0126)
154.ID	1.980***
	(0.0126)
155.ID	0
	(0.0126)
156.ID	0
	(0.0126)
157.ID	1.980***
	(0.0126)
158.ID	1.980***
	(0.0126)
159.ID	0.215***
	(0.0126)
160.ID	1.980***
	(0.0126)
161.ID	2.266***
	(0.0126)
163.ID	0.892***
	(0.0126)
164.ID	0
	(0.0126)
165.ID	0
	(0.0126)
166.ID	1.980***
	(0.0126)
167.ID	0
	(0.0126)
168.ID	1.980***
	(0.0126)
169.ID	1.980***
	(0.0126)
170.ID	0.215***
	(0.0126)
172.ID	0
	(0.0126)
173.ID	1.980***
	(0.0126)
174.ID	1.980***
	(0.0126)
175.ID	0.215***
	(0.0126)
176.ID	0
	(0.0126)
177.ID	1.980***
	(0.0126)
178.ID	-0.654***
	(0.0126)
179.ID	1.980***
	(0.0126)
180.ID	1.151***
	(0.0126)
181.ID	-0.654***
	(0.0126)
182.ID	0
	(0.0126)
183.ID	0.215***
	(0.0126)
184.ID	0
	(0.0126)
185.ID	2.488***
	(0.0126)
186.ID	1.980***
	(0.0126)
188.ID	1.980***
	(0.0126)
189.ID	0.215***
	(0.0126)
190.ID	0
	(0.0126)
191.ID	0.215***
	(0.0126)
192.ID	0
	(0.0126)
194.ID	1.980***
	(0.0126)
196.ID	0
	(0.0126)
197.ID	1.980***
	(0.0126)
198.ID	0
	(0.0126)
199.ID	0
	(0.0126)
200.ID	1.980***
	(0.0126)
201.ID	0
	(0.0126)
202.ID	1.980***
	(0.0126)
203.ID	2.488***
	(0.0126)
204.ID	2.488***
	(0.0126)
205.ID	1.980***
	(0.0126)
206.ID	0
	(0.0126)
207.ID	0
	(0.0126)
208.ID	0
	(0.0126)
209.ID	2.234***
	(0.246)
210.ID	0
	(0.0126)
212.ID	0
	(0.0126)
213.ID	2.488***
	(0.0126)
214.ID	0.990
	(0.983)
215.ID	-1.282***
	(0.0104)
217.ID	1.980***
	(0.0126)
218.ID	0
	(0.0126)
219.ID	0.215***
	(0.0126)
220.ID	1.980***
	(0.0126)
221.ID	1.980***
	(0.0126)
222.ID	2.488***
	(0.0126)
223.ID	1.352
	(1.129)
224.ID	1.980***
	(0.0126)
225.ID	1.980***
	(0.0126)
226.ID	-0.274***
	(0.0126)
227.ID	1.980***
	(0.0126)
228.ID	2.488***
	(0.0126)
229.ID	1.980***
	(0.0126)
230.ID	1.980***
	(0.0126)
231.ID	1.980***
	(0.0126)
232.ID	0
	(0.0126)
233.ID	0.215***
	(0.0126)
234.ID	1.980***
	(0.0126)
235.ID	0.892***
	(0.0126)
236.ID	2.488***
	(0.0126)
237.ID	1.980***
	(0.0126)
238.ID	1.980***
	(0.0126)
239.ID	2.266***
	(0.0126)
240.ID	1.980***
	(0.0126)
241.ID	1.980***
	(0.0126)
242.ID	0
	(0.0126)
243.ID	1.778***
	(0.193)
244.ID	2.266***
	(0.0126)
245.ID	0
	(0.0126)
246.ID	1.980***
	(0.0126)
247.ID	1.980***
	(0.0126)
248.ID	0.392***
	(0.0126)
249.ID	0
	(0.0126)
250.ID	2.488***
	(0.0126)
251.ID	0
	(0.0126)
252.ID	0.215***
	(0.0126)
253.ID	0
	(0.0126)
254.ID	0
	(0.0126)
255.ID	2.488***
	(0.0126)
256.ID	1.980***
	(0.0126)
257.ID	1.980***
	(0.0126)
258.ID	0
	(0.0126)
259.ID	1.980***
	(0.0126)
260.ID	1.980***
	(0.0126)
261.ID	-0.219
	(0.444)
263.ID	0
	(0.0126)
264.ID	2.488***
	(0.0126)
266.ID	1.980***
	(0.0126)
267.ID	0.215***
	(0.0126)
268.ID	1.980***
	(0.0126)
269.ID	0.990
	(1.000)
270.ID	1.980***
	(0.0126)
271.ID	0.108
	(0.0992)
272.ID	2.488***
	(0.0126)
274.ID	0
	(0.0126)
275.ID	0.215***
	(0.0126)
276.ID	1.577***
	(0.0126)
277.ID	1.980***
	(0.0126)
278.ID	-0.446***
	(0.0126)
279.ID	0.215***
	(0.0126)
280.ID	1.980***
	(0.0126)
281.ID	1.980***
	(0.0126)
282.ID	0
	(0.0126)
283.ID	0
	(0.0126)
284.ID	0
	(0.0126)
285.ID	0
	(0.0126)
286.ID	0
	(0.0126)
288.ID	1.980***
	(0.0126)
289.ID	1.980***
	(0.0126)
290.ID	1.980***
	(0.0126)
291.ID	0
	(0.0126)
292.ID	2.266***
	(0.0126)
294.ID	0.392***
	(0.0126)
295.ID	0.990
	(1.000)
296.ID	0.673***
	(0.0126)
297.ID	1.980***
	(0.0126)
298.ID	1.980***
	(0.0126)
299.ID	2.488***
	(0.0126)
300.ID	1.980***
	(0.0126)
301.ID	0
	(0.0126)
302.ID	2.488***
	(0.0126)
303.ID	0.532***
	(0.132)
304.ID	2.488***
	(0.0126)
305.ID	1.980***
	(0.0126)
306.ID	0.392***
	(0.0126)
307.ID	0.215***
	(0.0126)
308.ID	0.892***
	(0.0126)
309.ID	0.215***
	(0.0126)
310.ID	0
	(0.0126)
311.ID	-1.273***
	(0.0126)
312.ID	1.980***
	(0.0126)
313.ID	0.215***
	(0.0126)
314.ID	0.990
	(0.983)
315.ID	0
	(0.0126)
316.ID	1.186
	(0.786)
317.ID	1.980***
	(0.0126)
318.ID	1.980***
	(0.0126)
319.ID	1.980***
	(0.0126)
320.ID	0.215***
	(0.0126)
321.ID	0.392***
	(0.0126)
322.ID	2.266***
	(0.0126)
323.ID	1.352
	(1.129)
324.ID	1.980***
	(0.0126)
325.ID	0
	(0.0126)
326.ID	1.980***
	(0.0126)
327.ID	1.980***
	(0.0126)
328.ID	1.980***
	(0.0126)
329.ID	0
	(0.0126)
330.ID	2.266***
	(0.0126)
331.ID	0
	(0.0126)
332.ID	1.980***
	(0.0126)
333.ID	1.980***
	(0.0126)
334.ID	0
	(0.0126)
335.ID	0
	(0.0126)
336.ID	1.911***
	(0.0126)
337.ID	0
	(0.0126)
338.ID	1.980***
	(0.0126)
339.ID	1.980***
	(0.0126)
340.ID	2.488***
	(0.0126)
341.ID	0.215***
	(0.0126)
342.ID	0
	(0.0126)
343.ID	1.980***
	(0.0126)
344.ID	0.215***
	(0.0126)
345.ID	1.980***
	(0.0126)
346.ID	-1.273***
	(0.0126)
347.ID	0.392***
	(0.0126)
348.ID	0
	(0.0126)
349.ID	-0.774
	(0.491)
350.ID	0
	(0.0126)
351.ID	-1.264***
	(0.0104)
352.ID	0.990
	(0.983)
353.ID	1.577***
	(0.0126)
354.ID	0
	(0.0126)
355.ID	0.392***
	(0.0126)
356.ID	0.215***
	(0.0126)
357.ID	1.980***
	(0.0126)
358.ID	0
	(0.0126)
359.ID	1.980***
	(0.0126)
361.ID	0
	(0.0126)
364.ID	2.123***
	(0.153)
365.ID	0
	(0.0126)
366.ID	2.488***
	(0.0126)
369.ID	1.980***
	(0.0126)
370.ID	1.980***
	(0.0126)
372.ID	1.980***
	(0.0126)
373.ID	0
	(0.0126)
374.ID	1.980***
	(0.0126)
375.ID	0
	(0.0126)
377.ID	1.980***
	(0.0126)
378.ID	0
	(0.0126)
379.ID	0.215***
	(0.0126)
381.ID	0
	(0.0126)
382.ID	-1.273***
	(0.0126)
383.ID	0
	(0.0126)
385.ID	1.980***
	(0.0126)
386.ID	-0.654***
	(0.0126)
387.ID	0
	(0.0126)
388.ID	0.215***
	(0.0126)
389.ID	1.980***
	(0.0126)
390.ID	2.488***
	(0.0126)
391.ID	0
	(0.0126)
393.ID	2.234***
	(0.246)
394.ID	1.980***
	(0.0126)
395.ID	1.980***
	(0.0126)
396.ID	1.980***
	(0.0126)
397.ID	0
	(0.0126)
398.ID	-0.654***
	(0.0126)
399.ID	0.215***
	(0.0126)
400.ID	1.980***
	(0.0126)
401.ID	0.892***
	(0.0126)
402.ID	0
	(0.0126)
403.ID	0
	(0.0126)
404.ID	0.392***
	(0.0126)
405.ID	0
	(0.0126)
406.ID	1.234***
	(0.352)
407.ID	1.980***
	(0.0126)
408.ID	2.488***
	(0.0126)
409.ID	-0.654***
	(0.0126)
410.ID	0
	(0.0126)
411.ID	0
	(0.0126)
412.ID	1.980***
	(0.0126)
413.ID	0.392***
	(0.0126)
414.ID	0
	(0.0126)
415.ID	0
	(0.0126)
416.ID	0.215***
	(0.0126)
417.ID	-0.654***
	(0.0126)
418.ID	0
	(0.0126)
419.ID	0
	(0.0126)
420.ID	0.215***
	(0.0126)
421.ID	0
	(0.0126)
423.ID	1.980***
	(0.0126)
424.ID	1.980***
	(0.0126)
425.ID	1.980***
	(0.0126)
426.ID	0
	(0.0126)
428.ID	0
	(0.0126)
429.ID	0
	(0.0126)
430.ID	2.488***
	(0.0126)
431.ID	0.215***
	(0.0126)
432.ID	1.980***
	(0.0126)
433.ID	0
	(0.0126)
434.ID	0
	(0.0126)
435.ID	2.488***
	(0.0126)
436.ID	0.215***
	(0.0126)
437.ID	-0.654***
	(0.0126)
438.ID	1.980***
	(0.0126)
439.ID	1.980***
	(0.0126)
440.ID	0.215***
	(0.0126)
441.ID	1.980***
	(0.0126)
442.ID	1.726***
	(0.263)
445.ID	0
	(0.0126)
446.ID	1.980***
	(0.0126)
447.ID	0.892***
	(0.0126)
448.ID	1.980***
	(0.0126)
449.ID	1.980***
	(0.0126)
450.ID	0
	(0.0126)
451.ID	1.980***
	(0.0126)
452.ID	0.304***
	(0.0979)
453.ID	2.488***
	(0.0126)
454.ID	0.215***
	(0.0126)
455.ID	1.980***
	(0.0126)
456.ID	-1.273***
	(0.0126)
457.ID	2.488***
	(0.0126)
458.ID	2.488***
	(0.0126)
459.ID	0.215***
	(0.0126)
460.ID	0
	(0.0126)
461.ID	2.488***
	(0.0126)
462.ID	1.980***
	(0.0126)
464.ID	1.980***
	(0.0126)
465.ID	0.892***
	(0.0126)
466.ID	1.980***
	(0.0126)
467.ID	1.980***
	(0.0126)
468.ID	2.488***
	(0.0126)
469.ID	0
	(0.0126)
470.ID	1.980***
	(0.0126)
471.ID	2.488***
	(0.0126)
472.ID	2.488***
	(0.0126)
473.ID	1.980***
	(0.0126)
474.ID	1.980***
	(0.0126)
475.ID	0
	(0.0126)
476.ID	1.980***
	(0.0126)
477.ID	2.266***
	(0.0126)
478.ID	2.488***
	(0.0126)
479.ID	1.980***
	(0.0126)
480.ID	0.892***
	(0.0126)
481.ID	1.980***
	(0.0126)
482.ID	2.488***
	(0.0126)
483.ID	-0.654***
	(0.0126)
484.ID	2.266***
	(0.0126)
485.ID	2.488***
	(0.0126)
486.ID	0
	(0.0126)
488.ID	2.488***
	(0.0126)
489.ID	-0.274***
	(0.0126)
490.ID	0
	(0.0126)
493.ID	0
	(0.0126)
494.ID	1.980***
