
. cap set processors 2

. cap set processors 4

. cap set processors 8

. 
. import excel "$path_base/merged/$filename.xlsx", sheet("Sheet1") firstrow clear
(2,203 vars, 2,000 obs)

. 
. gen defendant_age_llm=label_value

. destring defendant_age_llm,force replace
defendant_age_llm: all characters numeric; replaced as byte

. gen lgage_llm=log(defendant_age_llm)

. 
. gen treated=0

. *replace treated=1 if label_value=="$keyword"
. replace treated=lgage_llm
(2,000 real changes made)

. 
. destring llm_刑期, replace 
llm_刑期 already numeric; no replace

. gen lgxq_llm=log(llm_刑期+1)

. gen llm_刑期_full=llm_刑期

. gen fajin=0

. replace fajin = 1 if strpos(llm_刑罚类型, "罚金") > 0
(3 real changes made)

. replace llm_刑期_full=300 if llm_刑罚类型=="无期徒刑"
(2 real changes made)

. replace llm_刑期_full=400 if llm_刑罚类型=="死刑缓期执行"
(0 real changes made)

. replace llm_刑期_full=600 if llm_刑罚类型=="死刑立即执行"
(0 real changes made)

. replace llm_刑期_full=600 if llm_刑罚类型=="死刑" //折算方式 参考白建军：量刑基
> 准实证研究（[1]白建军.(2008).量刑基准实证研究. 法学研究(01),97-105. doi:CNKI:SU
> N:LAWS.0.2008-01-011.）
(0 real changes made)

. replace llm_刑期_full=0 if fajin==1
(3 real changes made)

. replace llm_刑期_full=llm_刑期/2 if llm_刑罚类型=="管制" //拘役一天算一天，不用
> 改，管制一天算半天，参考我国关于已羁押时长折抵刑期的规定
(0 real changes made)

. gen lgxq_llm_full=log(llm_刑期_full+1)

. 
. reg lgxq_llm treated i.ID if llm_刑罚类型=="有期徒刑" & llm_刑期<=600  ,vce(clu
> ster ID) //*+

Linear regression                               Number of obs     =      1,926
                                                F(0, 963)         =          .
                                                Prob > F          =          .
                                                R-squared         =     0.9801
                                                Root MSE          =      .2115

                                   (Std. err. adjusted for 964 clusters in ID)
------------------------------------------------------------------------------
             |               Robust
    lgxq_llm | Coefficient  std. err.      t    P>|t|     [95% conf. interval]
-------------+----------------------------------------------------------------
     treated |   .0320558   .0260166     1.23   0.218    -.0190001    .0831116
             |
          ID |
          1  |  -1.587295   .0002302 -6894.07   0.000    -1.587747   -1.586843
          2  |   .0050223   .0040762     1.23   0.218    -.0029768    .0130215
          3  |  -1.968679   .0088805  -221.69   0.000    -1.986106   -1.951252
          4  |  -.0027889   .0022635    -1.23   0.218    -.0072308     .001653
          5  |  -1.761212   .0026765  -658.03   0.000    -1.766464   -1.755959
          6  |  -1.982092   .0020052  -988.45   0.000    -1.986027   -1.978156
          7  |  -.9907479   .0007608 -1302.16   0.000     -.992241   -.9892548
          8  |  -1.767338   .0022954  -769.95   0.000    -1.771842   -1.762833
          9  |  -1.973262   .0051608  -382.36   0.000     -1.98339   -1.963134
         10  |   .5117282   .0025278   202.44   0.000     .5067675    .5166888
         12  |   .5129458    .003516   145.89   0.000     .5060458    .5198457
         14  |   .0014715   .0011943     1.23   0.218    -.0008722    .0038151
         15  |  -1.975423   .0034068  -579.84   0.000    -1.982109   -1.968738
         16  |  -.0052855   .0042897    -1.23   0.218    -.0137037    .0031328
         17  |  -.0074038   .0060089    -1.23   0.218    -.0191959    .0043884
         18  |     -1.979   .0005041 -3925.72   0.000    -1.979989   -1.978011
         19  |  -1.767649    .002548  -693.74   0.000    -1.772649   -1.762649
         20  |   .0019089   .0015493     1.23   0.218    -.0011315    .0049493
         21  |  -1.582454   .0041597  -380.43   0.000    -1.590617   -1.574291
         22  |  -1.589107   .0012398 -1281.72   0.000     -1.59154   -1.586674
         23  |  -.0023173   .0018808    -1.23   0.218    -.0060082    .0013735
         24  |  -.0074745   .0060663    -1.23   0.218    -.0193792    .0044303
         25  |   -1.75529   .0074828  -234.58   0.000    -1.769974   -1.740605
         26  |  -2.623699    .007993  -328.25   0.000    -2.639385   -2.608013
         27  |  -1.973415    .005037  -391.79   0.000    -1.983299    -1.96353
         28  |  -2.637023   .0028203  -935.01   0.000    -2.642557   -2.631488
         29  |  -1.984524   .0039797  -498.66   0.000    -1.992334   -1.976715
         30  |  -1.977901   .0013959 -1416.89   0.000     -1.98064   -1.975162
         31  |  -.9125211   .0036392  -250.75   0.000    -.9196627   -.9053795
         32  |  -.0042051   .0034129    -1.23   0.218    -.0109028    .0024925
         33  |  -.0083553   .0067812    -1.23   0.218    -.0216629    .0049523
         34  |    .002911   .0023626     1.23   0.218    -.0017254    .0075474
         35  |  -1.977943   .0013621 -1452.11   0.000    -1.980616    -1.97527
         36  |  -1.975227    .003566  -553.91   0.000    -1.982225   -1.968229
         37  |   -1.97484   .0038799  -508.99   0.000    -1.982454   -1.967226
         38  |  -1.987095   .0060663  -327.56   0.000       -1.999   -1.975191
         39  |   .0042587   .0034564     1.23   0.218    -.0025242    .0110415
         40  |  -.0031395    .002548    -1.23   0.218    -.0081397    .0018608
         41  |  -1.577238   .0083929  -187.93   0.000    -1.593708   -1.560767
         42  |     .50718   .0011635   435.90   0.000     .5048966    .5094633
         43  |  -1.978505   .0009056 -2184.66   0.000    -1.980282   -1.976728
         46  |  -1.766037   .0012398 -1424.42   0.000     -1.76847   -1.763604
         47  |  -2.249516   .0036866  -610.19   0.000     -2.25675   -2.242281
         48  |  -.0049035   .0039797    -1.23   0.218    -.0127134    .0029064
         49  |   .0070131   .0056918     1.23   0.218    -.0041568    .0181829
         50  |   .0071882    .005834     1.23   0.218    -.0042606    .0186371
         51  |  -1.983962   .0035236  -563.05   0.000    -1.990877   -1.977048
         52  |  -1.762537   .0016008 -1101.03   0.000    -1.765679   -1.759396
         53  |   .5103023   .0013706   372.33   0.000     .5076127    .5129919
         54  |   -1.97898   .0005199 -3806.18   0.000    -1.980001    -1.97796
         55  |  -1.981427   .0014661 -1351.53   0.000    -1.984304    -1.97855
         56  |  -.0039215   .0031827    -1.23   0.218    -.0101672    .0023243
         57  |  -1.980443   .0006672 -2968.11   0.000    -1.981752   -1.979134
         58  |  -.0024707   .0020052    -1.23   0.218    -.0064059    .0014644
         59  |  -1.311786   .0041467  -316.34   0.000    -1.319923   -1.303648
         60  |  -1.977838   .0014469 -1366.99   0.000    -1.980678   -1.974999
         61  |  -1.971433    .006645  -296.68   0.000    -1.984474   -1.958393
         62  |  -1.756784   .0062701  -280.19   0.000    -1.769089    -1.74448
         63  |  -1.983804   .0033954  -584.27   0.000    -1.990468   -1.977141
         64  |  -.0041835   .0033954    -1.23   0.218    -.0108466    .0024796
         65  |  -1.968436   .0090777  -216.84   0.000     -1.98625   -1.950622
         66  |  -1.758672   .0047379  -371.19   0.000     -1.76797   -1.749374
         67  |   .0022612   .0018352     1.23   0.218    -.0013403    .0058626
         68  |  -.4056284   .0023717  -171.03   0.000    -.4102827   -.4009741
         69  |  -1.982543   .0023717  -835.92   0.000    -1.987197   -1.977889
         70  |   .5075353   .0008751   579.94   0.000     .5058179    .5092527
         71  |    .504272   .0035236   143.11   0.000     .4973572    .5111869
         72  |   .5073091   .0010588   479.15   0.000     .5052313    .5093868
         73  |  -1.976977   .0021455  -921.47   0.000    -1.981188   -1.972767
         74  |   .2603892   .0049365    52.75   0.000     .2507016    .2700768
         76  |  -.9851181   .0038084  -258.67   0.000    -.9925917   -.9776445
         77  |  -1.768298    .003075  -575.05   0.000    -1.774333   -1.762264
         78  |  -1.978364   .0010203 -1938.97   0.000    -1.980366   -1.976361
         79  |  -1.979527   .0000763 -2.6e+04   0.000    -1.979677   -1.979377
         80  |  -.0031395    .002548    -1.23   0.218    -.0081397    .0018608
         81  |  -1.971433    .006645  -296.68   0.000    -1.984474   -1.958393
         82  |  -1.585253   .0018879  -839.71   0.000    -1.588958   -1.581548
         83  |  -1.762216   .0018615  -946.66   0.000    -1.765869   -1.758563
         84  |   .2650642   .0087308    30.36   0.000     .2479307    .2821977
         85  |   .0008963   .0007274     1.23   0.218    -.0005313    .0023238
         86  |  -.0020556   .0016684    -1.23   0.218    -.0053297    .0012184
         87  |    .005048    .004097     1.23   0.218     -.002992    .0130881
         88  |   .5101778   .0012695   401.86   0.000     .5076864    .5126692
         89  |   -1.97227   .0059657  -330.60   0.000    -1.983978   -1.960563
         90  |  -1.090357   .0022187  -491.45   0.000    -1.094711   -1.086003
         91  |  -.6290714   .0042897  -146.65   0.000    -.6374897   -.6206532
         92  |  -2.633715   .0001362 -1.9e+04   0.000    -2.633983   -2.633448
         93  |  -1.590872   .0026725  -595.28   0.000    -1.596116   -1.585627
         94  |  -1.977327   .0018615 -1062.22   0.000     -1.98098   -1.973674
         95  |   .5154247   .0055279    93.24   0.000     .5045765    .5262728
         96  |  -1.978149   .0011943 -1656.38   0.000    -1.980493   -1.975806
         97  |  -2.896273   .0002933 -9873.15   0.000    -2.896849   -2.895697
