	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0141
	(0.0113)
2.treated	-0.00958
	(0.0103)
3.treated	-0.0156
	(0.00990)
1.ID	-1.588***
	(0.00497)
2.ID	0
	(0.00497)
3.ID	-1.980***
	(0.00497)
4.ID	0
	(0.00497)
5.ID	-1.765***
	(0.00497)
6.ID	-1.980***
	(0.00497)
7.ID	0
	(0.00497)
8.ID	-1.765***
	(0.00497)
9.ID	-1.980***
	(0.00497)
10.ID	0.509***
	(0.00497)
12.ID	0.509***
	(0.00497)
14.ID	0
	(0.00497)
15.ID	-1.980***
	(0.00497)
16.ID	0
	(0.00497)
17.ID	0
	(0.00497)
18.ID	-1.980***
	(0.00497)
19.ID	-1.765***
	(0.00497)
20.ID	0
	(0.00497)
21.ID	-1.676***
	(0.0484)
22.ID	-1.588***
	(0.00497)
23.ID	0
	(0.00497)
24.ID	0
	(0.00497)
25.ID	-1.765***
	(0.00497)
26.ID	-2.634***
	(0.00497)
27.ID	-1.980***
	(0.00497)
28.ID	-2.254***
	(0.00497)
29.ID	-1.980***
	(0.00497)
30.ID	-1.980***
	(0.00497)
31.ID	-0.908***
	(0.00497)
32.ID	0
	(0.00497)
33.ID	0
	(0.00497)
34.ID	0
	(0.00497)
35.ID	-1.980***
	(0.00497)
36.ID	-1.980***
	(0.00497)
37.ID	-1.980***
	(0.00497)
38.ID	-1.980***
	(0.00497)
39.ID	0
	(0.00497)
40.ID	0
	(0.00497)
41.ID	-1.588***
	(0.00497)
42.ID	0.254*
	(0.145)
43.ID	-1.980***
	(0.00497)
46.ID	-1.765***
	(0.00497)
47.ID	-2.254***
	(0.00497)
48.ID	0
	(0.00497)
49.ID	0
	(0.00497)
50.ID	0
	(0.00497)
51.ID	-1.980***
	(0.00497)
52.ID	-1.765***
	(0.00497)
53.ID	0.509***
	(0.00497)
54.ID	-1.980***
	(0.00497)
55.ID	-1.980***
	(0.00497)
56.ID	0
	(0.00497)
57.ID	-1.980***
	(0.00497)
58.ID	0
	(0.00497)
59.ID	-0.980***
	(0.324)
60.ID	-1.980***
	(0.00497)
61.ID	-1.980***
	(0.00497)
62.ID	-1.765***
	(0.00497)
63.ID	-1.980***
	(0.00497)
65.ID	-1.980***
	(0.00497)
66.ID	-1.765***
	(0.00497)
67.ID	0
	(0.00497)
68.ID	-0.403***
	(0.00497)
69.ID	-1.980***
	(0.00497)
70.ID	0.509***
	(0.00497)
71.ID	0.381***
	(0.131)
72.ID	0.509***
	(0.00497)
73.ID	-1.980***
	(0.00497)
74.ID	-0.544*
	(0.316)
76.ID	-1.980***
	(0.00497)
77.ID	-1.323***
	(0.438)
78.ID	-1.980***
	(0.00497)
79.ID	-1.980***
	(0.00497)
80.ID	0
	(0.00497)
81.ID	-1.980***
	(0.00497)
82.ID	-1.588***
	(0.00497)
83.ID	-1.765***
	(0.00497)
84.ID	0
	(0.00497)
85.ID	0
	(0.00497)
86.ID	0
	(0.00497)
87.ID	0
	(0.00497)
88.ID	0.509***
	(0.00497)
89.ID	-1.980***
	(0.00497)
90.ID	-1.534***
	(0.256)
91.ID	-0.624***
	(0.00497)
92.ID	-2.634***
	(0.00497)
93.ID	-1.588***
	(0.00497)
94.ID	-1.485***
	(0.497)
95.ID	0.509***
	(0.00497)
96.ID	-1.980***
	(0.00497)
97.ID	-2.896***
	(0.00497)
98.ID	-1.088***
	(0.00497)
99.ID	-1.765***
	(0.00497)
100.ID	-1.765***
	(0.00497)
101.ID	-1.485***
	(0.492)
102.ID	-2.634***
	(0.00497)
103.ID	-1.980***
	(0.00497)
104.ID	-1.980***
	(0.00497)
105.ID	-1.980***
	(0.00497)
106.ID	0.381***
	(0.131)
107.ID	0.509***
	(0.00497)
108.ID	0.509***
	(0.00497)
109.ID	-1.196**
	(0.566)
110.ID	-2.634***
	(0.00497)
111.ID	-2.634***
	(0.00497)
112.ID	0
	(0.00497)
113.ID	-1.980***
	(0.00497)
114.ID	0
	(0.00497)
115.ID	-0.495
	(0.494)
116.ID	-1.765***
	(0.00497)
117.ID	0
	(0.00497)
118.ID	0
	(0.00497)
119.ID	0.509***
	(0.00497)
120.ID	-0.756***
	(0.00497)
121.ID	-0.495
	(0.494)
122.ID	0.509***
	(0.00497)
123.ID	-0.0597
	(0.567)
125.ID	0
	(0.00497)
126.ID	0
	(0.00497)
127.ID	-2.634***
	(0.00497)
128.ID	-1.765***
	(0.00497)
129.ID	0
	(0.00497)
130.ID	-1.980***
	(0.00497)
131.ID	-1.765***
	(0.00497)
132.ID	-2.634***
	(0.00497)
133.ID	0
	(0.00497)
134.ID	-1.088***
	(0.00497)
135.ID	0
	(0.00497)
136.ID	0
	(0.00497)
137.ID	0
	(0.00497)
138.ID	0.509***
	(0.00497)
139.ID	-1.980***
	(0.00497)
140.ID	-1.588***
	(0.00497)
142.ID	-1.980***
	(0.00497)
143.ID	-1.975***
	(0.00751)
144.ID	-1.980***
	(0.00497)
145.ID	-1.765***
	(0.00497)
146.ID	0
	(0.00497)
147.ID	0.509***
	(0.00497)
148.ID	0
	(0.00497)
149.ID	-2.634***
	(0.00497)
150.ID	-1.980***
	(0.00497)
151.ID	-1.765***
	(0.00497)
152.ID	0
	(0.00497)
153.ID	0
	(0.00497)
154.ID	0
	(0.00497)
155.ID	-1.980***
	(0.00497)
156.ID	-1.980***
	(0.00497)
157.ID	0
	(0.00497)
158.ID	0
	(0.00497)
159.ID	-1.765***
	(0.00497)
160.ID	0
	(0.00497)
161.ID	0.286***
	(0.00497)
163.ID	-1.595***
	(0.166)
164.ID	-1.980***
	(0.00497)
165.ID	-1.980***
	(0.00497)
166.ID	0
	(0.00497)
167.ID	-1.980***
	(0.00497)
168.ID	0
	(0.00497)
169.ID	0
	(0.00497)
170.ID	-1.765***
	(0.00497)
171.ID	-0.272
	(0.275)
172.ID	-1.980***
	(0.00497)
173.ID	0
	(0.00497)
174.ID	0
	(0.00497)
175.ID	-1.765***
	(0.00497)
176.ID	-1.980***
	(0.00497)
177.ID	0
	(0.00497)
178.ID	-2.634***
	(0.00497)
179.ID	0
	(0.00497)
180.ID	-0.829***
	(0.00497)
181.ID	-2.444***
	(0.111)
182.ID	-1.980***
	(0.00497)
183.ID	-1.765***
	(0.00497)
184.ID	-1.980***
	(0.00497)
185.ID	0.509***
	(0.00497)
186.ID	-0.403***
	(0.00497)
187.ID	0.127
	(0.129)
188.ID	0
	(0.00497)
189.ID	-1.765***
	(0.00497)
190.ID	-1.980***
	(0.00497)
191.ID	-1.765***
	(0.00497)
192.ID	-1.980***
	(0.00497)
194.ID	0
	(0.00497)
196.ID	-1.980***
	(0.00497)
197.ID	0
	(0.00497)
198.ID	-1.980***
	(0.00497)
199.ID	-2.143***
	(0.164)
200.ID	0
	(0.00497)
201.ID	-1.980***
	(0.00497)
202.ID	-0.495
	(0.496)
203.ID	0.509***
	(0.00497)
204.ID	0.509***
	(0.00497)
205.ID	0
	(0.00497)
206.ID	-1.980***
	(0.00497)
207.ID	-1.980***
	(0.00497)
208.ID	-1.980***
	(0.00497)
209.ID	0.127
	(0.124)
210.ID	-1.980***
	(0.00497)
212.ID	-1.980***
	(0.00497)
213.ID	0.509***
	(0.00497)
217.ID	0
	(0.00497)
218.ID	-1.980***
	(0.00497)
219.ID	-1.765***
	(0.00497)
220.ID	0
	(0.00497)
221.ID	0
	(0.00497)
222.ID	0.509***
	(0.00497)
223.ID	0.509***
	(0.00497)
224.ID	0
	(0.00497)
225.ID	0
	(0.00497)
226.ID	-2.254***
	(0.00497)
227.ID	0
	(0.00497)
228.ID	0.509***
	(0.00497)
229.ID	0
	(0.00497)
230.ID	0
	(0.00497)
231.ID	0
	(0.00497)
232.ID	-0.495
	(0.494)
233.ID	-1.765***
	(0.00497)
234.ID	0
	(0.00497)
235.ID	-1.088***
	(0.00497)
236.ID	0.509***
	(0.00497)
237.ID	0
	(0.00497)
238.ID	0
	(0.00497)
239.ID	0
	(0.00497)
240.ID	0
	(0.00497)
241.ID	0
	(0.00497)
242.ID	-1.980***
	(0.00497)
243.ID	-0.403***
	(0.00497)
244.ID	0
	(0.00497)
245.ID	-1.980***
	(0.00497)
246.ID	0
	(0.00497)
247.ID	0
	(0.00497)
248.ID	-1.588***
	(0.00497)
249.ID	-1.980***
	(0.00497)
250.ID	0.509***
	(0.00497)
251.ID	-1.980***
	(0.00497)
252.ID	-1.323***
	(0.438)
253.ID	-1.980***
	(0.00497)
254.ID	-1.980***
	(0.00497)
255.ID	0.509***
	(0.00497)
256.ID	0
	(0.00497)
257.ID	0
	(0.00497)
258.ID	-1.980***
	(0.00497)
259.ID	0
	(0.00497)
260.ID	0
	(0.00497)
261.ID	-2.539***
	(0.0918)
263.ID	-1.980***
	(0.00497)
264.ID	0.509***
	(0.00497)
265.ID	0.509***
	(0.00497)
266.ID	0
	(0.00497)
267.ID	-1.765***
	(0.00497)
268.ID	0
	(0.00497)
269.ID	0
	(0.00497)
270.ID	0
	(0.00497)
271.ID	-0.936*
	(0.540)
272.ID	0.509***
	(0.00497)
274.ID	-1.980***
	(0.00497)
275.ID	0.509***
	(0.00497)
276.ID	-0.403***
	(0.00497)
277.ID	0
	(0.00497)
278.ID	-2.426***
	(0.00497)
279.ID	-1.765***
	(0.00497)
280.ID	0
	(0.00497)
281.ID	0
	(0.00497)
282.ID	-1.980***
	(0.00497)
283.ID	-1.980***
	(0.00497)
284.ID	-1.485***
	(0.497)
285.ID	-1.980***
	(0.00497)
286.ID	-1.980***
	(0.00497)
288.ID	0
	(0.00497)
289.ID	0
	(0.00497)
290.ID	0
	(0.00497)
291.ID	-1.980***
	(0.00497)
292.ID	0
	(0.00497)
293.ID	-1.980***
	(0.00497)
294.ID	-1.588***
	(0.00497)
295.ID	-1.980***
	(0.00497)
296.ID	-1.307***
	(0.00497)
297.ID	0
	(0.00497)
298.ID	0
	(0.00497)
299.ID	0.509***
	(0.00497)
300.ID	0
	(0.00497)
301.ID	-1.980***
	(0.00497)
302.ID	0.509***
	(0.00497)
303.ID	-1.588***
	(0.00497)
304.ID	0.509***
	(0.00497)
305.ID	0
	(0.00497)
306.ID	-1.588***
	(0.00497)
307.ID	-1.765***
	(0.00497)
308.ID	-1.088***
	(0.00497)
309.ID	-1.765***
	(0.00497)
310.ID	-1.980***
	(0.00497)
311.ID	-3.253***
	(0.00497)
312.ID	0
	(0.00497)
313.ID	-1.765***
	(0.00497)
314.ID	-0.495
	(0.499)
315.ID	-1.980***
	(0.00497)
316.ID	-1.585***
	(0.00557)
317.ID	0
	(0.00497)
318.ID	0
	(0.00497)
319.ID	0
	(0.00497)
320.ID	-1.765***
	(0.00497)
321.ID	-1.588***
	(0.00497)
322.ID	0.509***
	(0.00497)
323.ID	-1.765***
	(0.00497)
324.ID	0
	(0.00497)
325.ID	-1.980***
	(0.00497)
326.ID	0
	(0.00497)
327.ID	0
	(0.00497)
328.ID	0
	(0.00497)
329.ID	-1.980***
	(0.00497)
330.ID	0
	(0.00497)
331.ID	-1.980***
	(0.00497)
332.ID	0
	(0.00497)
333.ID	-0.380***
	(0.129)
334.ID	-1.980***
	(0.00497)
335.ID	-1.980***
	(0.00497)
336.ID	-0.0686***
	(0.00497)
337.ID	-1.980***
	(0.00497)
338.ID	0
	(0.00497)
339.ID	0
	(0.00497)
340.ID	0.509***
	(0.00497)
341.ID	-1.765***
	(0.00497)
342.ID	-1.980***
	(0.00497)
343.ID	0
	(0.00497)
344.ID	-1.676***
	(0.0484)
345.ID	0.127
	(0.124)
346.ID	-3.253***
	(0.00497)
347.ID	-1.588***
	(0.00497)
348.ID	-1.980***
	(0.00497)
349.ID	-3.253***
	(0.00497)
350.ID	-1.980***
	(0.00497)
352.ID	0
	(0.00497)
353.ID	-0.403***
	(0.00497)
354.ID	-1.980***
	(0.00497)
355.ID	-1.588***
	(0.00497)
356.ID	-1.765***
	(0.00497)
357.ID	0
	(0.00497)
358.ID	-1.980***
	(0.00497)
359.ID	0
	(0.00497)
361.ID	-1.980***
	(0.00497)
364.ID	0.286***
	(0.00497)
365.ID	-1.980***
	(0.00497)
366.ID	0.509***
	(0.00497)
369.ID	0
	(0.00497)
370.ID	-0.495
	(0.499)
372.ID	0
	(0.00497)
373.ID	-1.980***
	(0.00497)
374.ID	0
	(0.00497)
375.ID	-1.980***
	(0.00497)
377.ID	-1.980***
	(0.00497)
378.ID	-1.980***
	(0.00497)
379.ID	-1.765***
	(0.00497)
381.ID	-2.634***
	(0.00497)
382.ID	-3.253***
	(0.00497)
383.ID	-1.980***
	(0.00497)
385.ID	0
	(0.00497)
386.ID	-2.634***
	(0.00497)
387.ID	-1.980***
	(0.00497)
388.ID	-1.632***
	(0.0446)
389.ID	0
	(0.00497)
390.ID	0
	(0.00497)
391.ID	-1.980***
	(0.00497)
393.ID	0
	(0.00497)
394.ID	0
	(0.00497)
395.ID	0
	(0.00497)
396.ID	0
	(0.00497)
397.ID	-1.980***
	(0.00497)
398.ID	-2.634***
	(0.00497)
399.ID	-1.765***
	(0.00497)
400.ID	0
	(0.00497)
401.ID	-1.088***
	(0.00497)
402.ID	-1.980***
	(0.00497)
403.ID	-1.980***
	(0.00497)
404.ID	-1.588***
	(0.00497)
405.ID	-1.980***
	(0.00497)
406.ID	-0.403***
	(0.00497)
407.ID	0
	(0.00497)
408.ID	0.509***
	(0.00497)
409.ID	-2.634***
	(0.00497)
410.ID	-1.980***
	(0.00497)
411.ID	-2.254***
	(0.00497)
412.ID	0
	(0.00497)
413.ID	-1.588***
	(0.00497)
414.ID	-1.980***
	(0.00497)
415.ID	-1.980***
	(0.00497)
416.ID	-1.765***
	(0.00497)
417.ID	-2.634***
	(0.00497)
418.ID	0
	(0.00497)
419.ID	-1.980***
	(0.00497)
420.ID	-1.765***
	(0.00497)
421.ID	-1.980***
	(0.00497)
423.ID	0
	(0.00497)
424.ID	0
	(0.00497)
425.ID	0
	(0.00497)
426.ID	-1.980***
	(0.00497)
428.ID	-1.980***
	(0.00497)
429.ID	-1.980***
	(0.00497)
430.ID	0.509***
	(0.00497)
431.ID	-1.765***
	(0.00497)
432.ID	0
	(0.00497)
433.ID	-1.980***
	(0.00497)
434.ID	-1.980***
	(0.00497)
435.ID	0.509***
	(0.00497)
436.ID	-0.441
	(0.445)
437.ID	-2.444***
	(0.113)
438.ID	0
	(0.00497)
439.ID	0
	(0.00497)
440.ID	-1.818***
	(0.0572)
441.ID	0
	(0.00497)
442.ID	0
	(0.00497)
445.ID	-1.980***
	(0.00497)
446.ID	0
	(0.00497)
447.ID	-1.088***
	(0.00497)
448.ID	0
	(0.00497)
449.ID	0
	(0.00497)
450.ID	-1.980***
	(0.00497)
451.ID	0
	(0.00497)
452.ID	-1.252**
	(0.513)
453.ID	0.509***
	(0.00497)
454.ID	-1.765***
	(0.00497)
455.ID	0
	(0.00497)
456.ID	-2.943***
	(0.182)
457.ID	0.509***
	(0.00497)
458.ID	0.509***
	(0.00497)
459.ID	-1.765***
	(0.00497)
460.ID	-1.980***
	(0.00497)
461.ID	0.509***
	(0.00497)
462.ID	0
	(0.00497)
463.ID	0.509***
	(0.00497)
464.ID	0
	(0.00497)
465.ID	-1.088***
	(0.00497)
466.ID	0
	(0.00497)
467.ID	0
	(0.00497)
468.ID	0
	(0.00497)
469.ID	-1.980***
	(0.00497)
470.ID	0
	(0.00497)
471.ID	0.509***
	(0.00497)
472.ID	0.509***
	(0.00497)
473.ID	0
	(0.00497)
474.ID	0
	(0.00497)
475.ID	-1.980***
	(0.00497)
476.ID	0
	(0.00497)
477.ID	0.0716
	(0.0685)
