	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0141
	(0.0113)
2.treated	-0.00958
	(0.0103)
3.treated	-0.0163
	(0.00991)
1.ID	-1.588***
	(0.00511)
2.ID	-0
	(0.00511)
3.ID	-1.980***
	(0.00511)
4.ID	-0
	(0.00511)
5.ID	-1.765***
	(0.00511)
6.ID	-1.980***
	(0.00511)
7.ID	-0
	(0.00511)
8.ID	-1.765***
	(0.00511)
9.ID	-1.980***
	(0.00511)
10.ID	0.509***
	(0.00511)
12.ID	0.509***
	(0.00511)
14.ID	-0
	(0.00511)
15.ID	-1.980***
	(0.00511)
16.ID	-0
	(0.00511)
17.ID	-0
	(0.00511)
18.ID	-1.980***
	(0.00511)
19.ID	-1.765***
	(0.00511)
20.ID	-0
	(0.00511)
21.ID	-1.676***
	(0.0483)
22.ID	-1.588***
	(0.00511)
23.ID	-0
	(0.00511)
24.ID	-0
	(0.00511)
25.ID	-1.765***
	(0.00511)
26.ID	-2.634***
	(0.00511)
27.ID	-1.980***
	(0.00511)
28.ID	-2.254***
	(0.00511)
29.ID	-1.980***
	(0.00511)
30.ID	-1.980***
	(0.00511)
31.ID	-0.908***
	(0.00511)
32.ID	-0
	(0.00511)
33.ID	-0
	(0.00511)
34.ID	-0
	(0.00511)
35.ID	-1.980***
	(0.00511)
36.ID	-1.980***
	(0.00511)
37.ID	-1.980***
	(0.00511)
38.ID	-1.980***
	(0.00511)
39.ID	-0
	(0.00511)
40.ID	-0
	(0.00511)
41.ID	-1.588***
	(0.00511)
42.ID	0.254*
	(0.145)
43.ID	-1.980***
	(0.00511)
46.ID	-1.765***
	(0.00511)
47.ID	-2.254***
	(0.00511)
48.ID	-0
	(0.00511)
49.ID	-0
	(0.00511)
50.ID	-0
	(0.00511)
51.ID	-1.980***
	(0.00511)
52.ID	-1.765***
	(0.00511)
53.ID	0.509***
	(0.00511)
54.ID	-1.980***
	(0.00511)
55.ID	-1.980***
	(0.00511)
56.ID	-0
	(0.00511)
57.ID	-1.980***
	(0.00511)
58.ID	-0
	(0.00511)
59.ID	-0.980***
	(0.324)
60.ID	-1.980***
	(0.00511)
61.ID	-1.980***
	(0.00511)
62.ID	-1.765***
	(0.00511)
63.ID	-1.980***
	(0.00511)
65.ID	-1.980***
	(0.00511)
66.ID	-1.765***
	(0.00511)
67.ID	-0
	(0.00511)
68.ID	-0.403***
	(0.00511)
69.ID	-1.980***
	(0.00511)
70.ID	0.509***
	(0.00511)
71.ID	0.381***
	(0.131)
72.ID	0.509***
	(0.00511)
73.ID	-1.980***
	(0.00511)
74.ID	-0.544*
	(0.316)
76.ID	-1.980***
	(0.00511)
77.ID	-1.323***
	(0.438)
78.ID	-1.980***
	(0.00511)
79.ID	-1.980***
	(0.00511)
80.ID	-0
	(0.00511)
81.ID	-1.980***
	(0.00511)
82.ID	-1.588***
	(0.00511)
83.ID	-1.765***
	(0.00511)
84.ID	-0
	(0.00511)
85.ID	-0
	(0.00511)
86.ID	-0
	(0.00511)
87.ID	-0
	(0.00511)
88.ID	0.509***
	(0.00511)
89.ID	-1.980***
	(0.00511)
90.ID	-1.534***
	(0.256)
91.ID	-0.624***
	(0.00511)
92.ID	-2.634***
	(0.00511)
93.ID	-1.588***
	(0.00511)
94.ID	-1.485***
	(0.497)
95.ID	0.509***
	(0.00511)
96.ID	-1.980***
	(0.00511)
97.ID	-2.896***
	(0.00511)
98.ID	-1.088***
	(0.00511)
99.ID	-1.765***
	(0.00511)
100.ID	-1.765***
	(0.00511)
101.ID	-1.485***
	(0.492)
102.ID	-2.634***
	(0.00511)
103.ID	-1.980***
	(0.00511)
104.ID	-1.980***
	(0.00511)
105.ID	-1.980***
	(0.00511)
106.ID	0.381***
	(0.131)
107.ID	0.509***
	(0.00511)
108.ID	0.509***
	(0.00511)
109.ID	-1.196**
	(0.565)
110.ID	-2.634***
	(0.00511)
111.ID	-2.634***
	(0.00511)
112.ID	-0
	(0.00511)
113.ID	-1.980***
	(0.00511)
114.ID	-0
	(0.00511)
115.ID	-0.495
	(0.494)
116.ID	-1.765***
	(0.00511)
117.ID	-0
	(0.00511)
118.ID	-0
	(0.00511)
119.ID	0.509***
	(0.00511)
120.ID	-0.756***
	(0.00511)
121.ID	-0.495
	(0.493)
122.ID	0.509***
	(0.00511)
123.ID	-0.0597
	(0.567)
125.ID	-0
	(0.00511)
126.ID	-0
	(0.00511)
127.ID	-2.634***
	(0.00511)
128.ID	-1.765***
	(0.00511)
129.ID	-0
	(0.00511)
130.ID	-1.980***
	(0.00511)
131.ID	-1.765***
	(0.00511)
132.ID	-2.634***
	(0.00511)
133.ID	-0
	(0.00511)
134.ID	-1.088***
	(0.00511)
135.ID	-0
	(0.00511)
136.ID	-0
	(0.00511)
137.ID	-0
	(0.00511)
138.ID	0.509***
	(0.00511)
139.ID	-1.980***
	(0.00511)
140.ID	-1.588***
	(0.00511)
142.ID	-1.980***
	(0.00511)
143.ID	-1.976***
	(0.00756)
144.ID	-1.980***
	(0.00511)
145.ID	-1.765***
	(0.00511)
146.ID	-0
	(0.00511)
147.ID	0.509***
	(0.00511)
148.ID	-0
	(0.00511)
149.ID	-2.634***
	(0.00511)
150.ID	-1.980***
	(0.00511)
151.ID	-1.765***
	(0.00511)
152.ID	-0
	(0.00511)
153.ID	-0
	(0.00511)
154.ID	-0
	(0.00511)
155.ID	-1.980***
	(0.00511)
156.ID	-1.980***
	(0.00511)
157.ID	-0
	(0.00511)
158.ID	-0
	(0.00511)
159.ID	-1.765***
	(0.00511)
160.ID	-0
	(0.00511)
161.ID	0.286***
	(0.00511)
163.ID	-1.595***
	(0.166)
164.ID	-1.980***
	(0.00511)
165.ID	-1.980***
	(0.00511)
166.ID	-0
	(0.00511)
167.ID	-1.980***
	(0.00511)
168.ID	-0
	(0.00511)
169.ID	-0
	(0.00511)
170.ID	-1.765***
	(0.00511)
171.ID	-0.272
	(0.276)
172.ID	-1.980***
	(0.00511)
173.ID	-0
	(0.00511)
174.ID	-0
	(0.00511)
175.ID	-1.765***
	(0.00511)
176.ID	-1.980***
	(0.00511)
177.ID	-0
	(0.00511)
178.ID	-2.634***
	(0.00511)
179.ID	-0
	(0.00511)
180.ID	-0.829***
	(0.00511)
181.ID	-2.444***
	(0.111)
182.ID	-1.980***
	(0.00511)
183.ID	-1.765***
	(0.00511)
184.ID	-1.980***
	(0.00511)
185.ID	0.509***
	(0.00511)
186.ID	-0.403***
	(0.00511)
187.ID	0.127
	(0.129)
188.ID	-0
	(0.00511)
189.ID	-1.765***
	(0.00511)
190.ID	-1.980***
	(0.00511)
191.ID	-1.765***
	(0.00511)
192.ID	-1.980***
	(0.00511)
194.ID	-0
	(0.00511)
196.ID	-1.980***
	(0.00511)
197.ID	-0
	(0.00511)
198.ID	-1.980***
	(0.00511)
199.ID	-2.143***
	(0.164)
200.ID	-0
	(0.00511)
201.ID	-1.980***
	(0.00511)
202.ID	-0.495
	(0.496)
203.ID	0.509***
	(0.00511)
204.ID	0.509***
	(0.00511)
205.ID	-0
	(0.00511)
206.ID	-1.980***
	(0.00511)
207.ID	-1.980***
	(0.00511)
208.ID	-1.980***
	(0.00511)
209.ID	0.127
	(0.124)
210.ID	-1.980***
	(0.00511)
212.ID	-1.980***
	(0.00511)
213.ID	0.509***
	(0.00511)
217.ID	-0
	(0.00511)
218.ID	-1.980***
	(0.00511)
219.ID	-1.765***
	(0.00511)
220.ID	-0
	(0.00511)
221.ID	-0
	(0.00511)
222.ID	0.509***
	(0.00511)
223.ID	0.509***
	(0.00511)
224.ID	-0
	(0.00511)
225.ID	-0
	(0.00511)
226.ID	-2.254***
	(0.00511)
227.ID	-0
	(0.00511)
228.ID	0.509***
	(0.00511)
229.ID	-0
	(0.00511)
230.ID	-0
	(0.00511)
231.ID	-0
	(0.00511)
232.ID	-0.495
	(0.494)
233.ID	-1.765***
	(0.00511)
234.ID	-0
	(0.00511)
235.ID	-1.088***
	(0.00511)
236.ID	0.509***
	(0.00511)
237.ID	-0
	(0.00511)
238.ID	-0
	(0.00511)
239.ID	-0
	(0.00511)
240.ID	-0
	(0.00511)
241.ID	-0
	(0.00511)
242.ID	-1.980***
	(0.00511)
243.ID	-0.403***
	(0.00511)
244.ID	-0
	(0.00511)
245.ID	-1.980***
	(0.00511)
246.ID	-0
	(0.00511)
247.ID	-0
	(0.00511)
248.ID	-1.588***
	(0.00511)
249.ID	-1.980***
	(0.00511)
250.ID	0.509***
	(0.00511)
251.ID	-1.980***
	(0.00511)
252.ID	-1.323***
	(0.438)
253.ID	-1.980***
	(0.00511)
254.ID	-1.980***
	(0.00511)
255.ID	0.509***
	(0.00511)
256.ID	-0
	(0.00511)
257.ID	-0
	(0.00511)
258.ID	-1.980***
	(0.00511)
259.ID	-0
	(0.00511)
260.ID	-0
	(0.00511)
261.ID	-2.539***
	(0.0917)
263.ID	-1.980***
	(0.00511)
264.ID	0.509***
	(0.00511)
265.ID	0.509***
	(0.00511)
266.ID	-0
	(0.00511)
267.ID	-1.765***
	(0.00511)
268.ID	-0
	(0.00511)
269.ID	-0
	(0.00511)
270.ID	-0
	(0.00511)
271.ID	-0.936*
	(0.540)
272.ID	0.509***
	(0.00511)
274.ID	-1.980***
	(0.00511)
275.ID	0.509***
	(0.00511)
276.ID	-0.403***
	(0.00511)
277.ID	-0
	(0.00511)
278.ID	-2.426***
	(0.00511)
279.ID	-1.765***
	(0.00511)
280.ID	-0
	(0.00511)
281.ID	-0
	(0.00511)
282.ID	-1.980***
	(0.00511)
283.ID	-1.980***
	(0.00511)
284.ID	-1.485***
	(0.497)
285.ID	-1.980***
	(0.00511)
286.ID	-1.980***
	(0.00511)
288.ID	-0
	(0.00511)
289.ID	-0
	(0.00511)
290.ID	-0
	(0.00511)
291.ID	-1.980***
	(0.00511)
292.ID	-0
	(0.00511)
293.ID	-1.980***
	(0.00511)
294.ID	-1.588***
	(0.00511)
295.ID	-1.980***
	(0.00511)
296.ID	-1.307***
	(0.00511)
297.ID	-0
	(0.00511)
298.ID	-0
	(0.00511)
299.ID	0.509***
	(0.00511)
300.ID	-0
	(0.00511)
301.ID	-1.980***
	(0.00511)
302.ID	0.509***
	(0.00511)
303.ID	-1.588***
	(0.00511)
304.ID	0.509***
	(0.00511)
305.ID	-0
	(0.00511)
306.ID	-1.588***
	(0.00511)
307.ID	-1.765***
	(0.00511)
308.ID	-1.088***
	(0.00511)
309.ID	-1.765***
	(0.00511)
310.ID	-1.980***
	(0.00511)
311.ID	-3.253***
	(0.00511)
312.ID	-0
	(0.00511)
313.ID	-1.765***
	(0.00511)
314.ID	-0.495
	(0.499)
315.ID	-1.980***
	(0.00511)
316.ID	-1.585***
	(0.00576)
317.ID	-0
	(0.00511)
318.ID	-0
	(0.00511)
319.ID	-0
	(0.00511)
320.ID	-1.765***
	(0.00511)
321.ID	-1.588***
	(0.00511)
322.ID	0.509***
	(0.00511)
323.ID	-1.765***
	(0.00511)
324.ID	-0
	(0.00511)
325.ID	-1.980***
	(0.00511)
326.ID	-0
	(0.00511)
327.ID	-0
	(0.00511)
328.ID	-0
	(0.00511)
329.ID	-1.980***
	(0.00511)
330.ID	-0
	(0.00511)
331.ID	-1.980***
	(0.00511)
332.ID	-0
	(0.00511)
333.ID	-0.380***
	(0.129)
334.ID	-1.980***
	(0.00511)
335.ID	-1.980***
	(0.00511)
336.ID	-0.0686***
	(0.00511)
337.ID	-1.980***
	(0.00511)
338.ID	-0
	(0.00511)
339.ID	-0
	(0.00511)
340.ID	0.509***
	(0.00511)
341.ID	-1.765***
	(0.00511)
342.ID	-1.980***
	(0.00511)
343.ID	-0
	(0.00511)
344.ID	-1.676***
	(0.0483)
345.ID	0.127
	(0.124)
346.ID	-3.253***
	(0.00511)
347.ID	-1.588***
	(0.00511)
348.ID	-1.980***
	(0.00511)
349.ID	-3.253***
	(0.00511)
350.ID	-1.980***
	(0.00511)
352.ID	-0
	(0.00511)
353.ID	-0.403***
	(0.00511)
354.ID	-1.980***
	(0.00511)
355.ID	-1.588***
	(0.00511)
356.ID	-1.765***
	(0.00511)
357.ID	-0
	(0.00511)
358.ID	-1.980***
	(0.00511)
359.ID	-0
	(0.00511)
361.ID	-1.980***
	(0.00511)
364.ID	0.286***
	(0.00511)
365.ID	-1.980***
	(0.00511)
366.ID	0.509***
	(0.00511)
369.ID	-0
	(0.00511)
370.ID	-0.495
	(0.499)
372.ID	-0
	(0.00511)
373.ID	-1.980***
	(0.00511)
374.ID	-0
	(0.00511)
375.ID	-1.980***
	(0.00511)
377.ID	-1.980***
	(0.00511)
378.ID	-1.980***
	(0.00511)
379.ID	-1.765***
	(0.00511)
381.ID	-2.634***
	(0.00511)
382.ID	-3.253***
	(0.00511)
383.ID	-1.980***
	(0.00511)
385.ID	-0
	(0.00511)
386.ID	-2.634***
	(0.00511)
387.ID	-1.980***
	(0.00511)
388.ID	-1.632***
	(0.0447)
389.ID	-0
	(0.00511)
390.ID	-0
	(0.00511)
391.ID	-1.980***
	(0.00511)
393.ID	-0
	(0.00511)
394.ID	-0
	(0.00511)
395.ID	-0
	(0.00511)
396.ID	-0
	(0.00511)
397.ID	-1.980***
	(0.00511)
398.ID	-2.634***
	(0.00511)
399.ID	-1.765***
	(0.00511)
400.ID	-0
	(0.00511)
401.ID	-1.088***
	(0.00511)
402.ID	-1.980***
	(0.00511)
403.ID	-1.980***
	(0.00511)
404.ID	-1.588***
	(0.00511)
405.ID	-1.980***
	(0.00511)
406.ID	-0.403***
	(0.00511)
407.ID	-0
	(0.00511)
408.ID	0.509***
	(0.00511)
409.ID	-2.634***
	(0.00511)
410.ID	-1.980***
	(0.00511)
411.ID	-2.254***
	(0.00511)
412.ID	-0
	(0.00511)
413.ID	-1.588***
	(0.00511)
414.ID	-1.980***
	(0.00511)
415.ID	-1.980***
	(0.00511)
416.ID	-1.765***
	(0.00511)
417.ID	-2.634***
	(0.00511)
418.ID	-0
	(0.00511)
419.ID	-1.980***
	(0.00511)
420.ID	-1.765***
	(0.00511)
421.ID	-1.980***
	(0.00511)
423.ID	-0
	(0.00511)
424.ID	-0
	(0.00511)
425.ID	-0
	(0.00511)
426.ID	-1.980***
	(0.00511)
428.ID	-1.980***
	(0.00511)
429.ID	-1.980***
	(0.00511)
430.ID	0.509***
	(0.00511)
431.ID	-1.765***
	(0.00511)
432.ID	-0
	(0.00511)
433.ID	-1.980***
	(0.00511)
434.ID	-1.980***
	(0.00511)
435.ID	0.509***
	(0.00511)
436.ID	-0.441
	(0.445)
437.ID	-2.444***
	(0.113)
438.ID	-0
	(0.00511)
439.ID	-0
	(0.00511)
440.ID	-1.818***
	(0.0573)
441.ID	-0
	(0.00511)
442.ID	-0
	(0.00511)
445.ID	-1.980***
	(0.00511)
446.ID	-0
	(0.00511)
447.ID	-1.088***
	(0.00511)
448.ID	-0
	(0.00511)
449.ID	-0
	(0.00511)
450.ID	-1.980***
	(0.00511)
451.ID	-0
	(0.00511)
452.ID	-1.252**
	(0.513)
453.ID	0.509***
	(0.00511)
454.ID	-1.765***
	(0.00511)
455.ID	-0
	(0.00511)
456.ID	-2.943***
	(0.182)
457.ID	0.509***
	(0.00511)
458.ID	0.509***
	(0.00511)
459.ID	-1.765***
	(0.00511)
460.ID	-1.980***
	(0.00511)
461.ID	0.509***
	(0.00511)
462.ID	-0
	(0.00511)
463.ID	0.509***
	(0.00511)
464.ID	-0
	(0.00511)
465.ID	-1.088***
	(0.00511)
466.ID	-0
	(0.00511)
467.ID	-0
	(0.00511)
468.ID	-0
	(0.00511)
469.ID	-1.980***
	(0.00511)
