	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0620***
	(0.0137)
1.ID	-1.588***
	(0.0439)
2.ID	-0.990
	(0.961)
3.ID	-1.980***
	(0.0439)
4.ID	-0
	(0.0439)
5.ID	-1.765***
	(0.0439)
6.ID	-1.980***
	(0.0439)
7.ID	-0
	(0.0439)
8.ID	-1.765***
	(0.0439)
9.ID	-1.980***
	(0.0439)
10.ID	0.509***
	(0.0439)
12.ID	-0.628
	(1.108)
14.ID	-0
	(0.0439)
15.ID	-1.980***
	(0.0439)
16.ID	-0
	(0.0439)
17.ID	-1.980***
	(0.0439)
18.ID	-1.980***
	(0.0439)
19.ID	-1.765***
	(0.0439)
20.ID	-0
	(0.0439)
21.ID	-1.765***
	(0.0439)
22.ID	-1.588***
	(0.0439)
23.ID	-0
	(0.0439)
24.ID	-0
	(0.0439)
25.ID	-1.765***
	(0.0439)
26.ID	-2.634***
	(0.0439)
27.ID	-1.872***
	(0.0827)
28.ID	-2.307***
	(0.298)
29.ID	-1.980***
	(0.0439)
30.ID	-1.980***
	(0.0439)
31.ID	-0.908***
	(0.0439)
32.ID	-0
	(0.0439)
33.ID	-0
	(0.0439)
34.ID	-0
	(0.0439)
35.ID	-1.980***
	(0.0439)
36.ID	-1.980***
	(0.0439)
37.ID	-1.980***
	(0.0439)
38.ID	-1.980***
	(0.0439)
39.ID	-0
	(0.0439)
40.ID	-0
	(0.0439)
41.ID	-1.588***
	(0.0439)
42.ID	0.254
	(0.287)
43.ID	-1.980***
	(0.0439)
46.ID	-1.765***
	(0.0439)
47.ID	-2.753***
	(0.532)
48.ID	-0
	(0.0439)
49.ID	-0
	(0.0439)
50.ID	-0
	(0.0439)
51.ID	-1.980***
	(0.0439)
52.ID	-1.765***
	(0.0439)
53.ID	-0.628
	(1.108)
54.ID	-1.980***
	(0.0439)
55.ID	-1.980***
	(0.0439)
56.ID	-0.794
	(0.827)
57.ID	-1.980***
	(0.0439)
58.ID	-0
	(0.0439)
59.ID	-1.307***
	(0.0439)
60.ID	-1.980***
	(0.0439)
61.ID	-1.980***
	(0.0439)
62.ID	-1.765***
	(0.0439)
63.ID	-1.980***
	(0.0439)
64.ID	-0
	(0.0439)
65.ID	-1.980***
	(0.0439)
66.ID	-1.765***
	(0.0439)
67.ID	-0
	(0.0439)
68.ID	-1.191
	(0.759)
69.ID	-1.980***
	(0.0439)
70.ID	0.397***
	(0.146)
71.ID	0.509***
	(0.0439)
72.ID	0.509***
	(0.0439)
73.ID	-1.980***
	(0.0439)
74.ID	-1.426***
	(0.309)
76.ID	-1.980***
	(0.0439)
77.ID	-2.254***
	(0.0439)
78.ID	-1.980***
	(0.0439)
79.ID	-1.980***
	(0.0439)
80.ID	-0
	(0.0439)
81.ID	-1.980***
	(0.0439)
82.ID	-1.588***
	(0.0439)
83.ID	-1.765***
	(0.0439)
84.ID	-0
	(0.0439)
85.ID	-0
	(0.0439)
86.ID	-0
	(0.0439)
87.ID	-0
	(0.0439)
88.ID	0.509***
	(0.0439)
89.ID	-1.872***
	(0.0827)
90.ID	-1.534***
	(0.417)
91.ID	-0.624***
	(0.0439)
92.ID	-2.634***
	(0.0439)
93.ID	-1.588***
	(0.0439)
94.ID	-1.980***
	(0.0439)
95.ID	0.509***
	(0.0439)
96.ID	-1.980***
	(0.0439)
97.ID	-2.896***
	(0.0439)
98.ID	-1.088***
	(0.0439)
99.ID	-1.872***
	(0.0827)
100.ID	-1.765***
	(0.0439)
101.ID	-1.980***
	(0.0439)
102.ID	-2.634***
	(0.0439)
103.ID	-1.980***
	(0.0439)
104.ID	-1.980***
	(0.0439)
105.ID	-1.980***
	(0.0439)
106.ID	0.254
	(0.226)
107.ID	0.509***
	(0.0439)
108.ID	0.509***
	(0.0439)
109.ID	-1.765***
	(0.0439)
110.ID	-2.634***
	(0.0439)
111.ID	-2.634***
	(0.0439)
113.ID	-1.980***
	(0.0439)
114.ID	-1.980***
	(0.0439)
115.ID	-0
	(0.0439)
116.ID	-1.765***
	(0.0439)
117.ID	-0
	(0.0439)
118.ID	-0
	(0.0439)
119.ID	0.509***
	(0.0439)
120.ID	-0.756***
	(0.0439)
121.ID	-0
	(0.0439)
122.ID	0.509***
	(0.0439)
123.ID	0.509***
	(0.0439)
125.ID	-0
	(0.0439)
126.ID	-0
	(0.0439)
127.ID	-2.634***
	(0.0439)
128.ID	-1.765***
	(0.0439)
129.ID	-0
	(0.0439)
130.ID	-2.117***
	(0.111)
131.ID	-1.765***
	(0.0439)
132.ID	-2.634***
	(0.0439)
133.ID	-0
	(0.0439)
134.ID	-1.088***
	(0.0439)
135.ID	-1.980***
	(0.0439)
136.ID	-1.980***
	(0.0439)
137.ID	-0.990
	(0.961)
138.ID	0.509***
	(0.0439)
139.ID	-1.980***
	(0.0439)
140.ID	-1.588***
	(0.0439)
142.ID	-1.980***
	(0.0439)
144.ID	-1.980***
	(0.0439)
145.ID	-1.765***
	(0.0439)
146.ID	-0
	(0.0439)
147.ID	0.509***
	(0.0439)
148.ID	-0
	(0.0439)
149.ID	-2.634***
	(0.0439)
150.ID	-1.980***
	(0.0439)
151.ID	-1.765***
	(0.0439)
152.ID	-0
	(0.0439)
153.ID	-0
	(0.0439)
154.ID	-0
	(0.0439)
155.ID	-1.980***
	(0.0439)
156.ID	-1.980***
	(0.0439)
157.ID	-0
	(0.0439)
158.ID	-0
	(0.0439)
159.ID	-1.765***
	(0.0439)
160.ID	-0.990
	(0.961)
161.ID	0.286***
	(0.0439)
163.ID	-1.765***
	(0.0439)
164.ID	-1.980***
	(0.0439)
165.ID	-1.980***
	(0.0439)
166.ID	-0
	(0.0439)
167.ID	-1.980***
	(0.0439)
168.ID	-0
	(0.0439)
169.ID	-0
	(0.0439)
170.ID	-0
	(0.0439)
171.ID	-0.882
	(0.915)
172.ID	-1.980***
	(0.0439)
173.ID	-0
	(0.0439)
174.ID	-0
	(0.0439)
175.ID	-1.765***
	(0.0439)
176.ID	-1.980***
	(0.0439)
177.ID	-0
	(0.0439)
178.ID	-3.253***
	(0.0439)
179.ID	-0.990
	(0.961)
180.ID	-0.829***
	(0.0439)
181.ID	-2.753***
	(0.470)
182.ID	-1.980***
	(0.0439)
183.ID	-1.765***
	(0.0439)
184.ID	-1.980***
	(0.0439)
185.ID	0.509***
	(0.0439)
186.ID	-0.403***
	(0.0439)
187.ID	0.509***
	(0.0439)
188.ID	-0
	(0.0439)
189.ID	-1.765***
	(0.0439)
190.ID	-1.980***
	(0.0439)
191.ID	-1.765***
	(0.0439)
192.ID	-1.980***
	(0.0439)
194.ID	-0
	(0.0439)
196.ID	-1.980***
	(0.0439)
197.ID	-0
	(0.0439)
198.ID	-1.980***
	(0.0439)
199.ID	-2.254***
	(0.0439)
200.ID	0.254
	(0.287)
201.ID	-1.980***
	(0.0439)
202.ID	-0
	(0.0439)
203.ID	0.509***
	(0.0439)
204.ID	0.509***
	(0.0439)
205.ID	-0
	(0.0439)
206.ID	-1.980***
	(0.0439)
207.ID	-1.980***
	(0.0439)
208.ID	-1.980***
	(0.0439)
209.ID	0.509***
	(0.0439)
210.ID	-1.980***
	(0.0439)
212.ID	-1.980***
	(0.0439)
213.ID	0.509***
	(0.0439)
214.ID	-1.980***
	(0.0439)
217.ID	-0
	(0.0439)
218.ID	-1.980***
	(0.0439)
219.ID	-1.872***
	(0.0827)
220.ID	-0
	(0.0439)
221.ID	-0
	(0.0439)
222.ID	-0.628
	(1.108)
223.ID	-0.628
	(1.108)
224.ID	-0
	(0.0439)
225.ID	-0
	(0.0439)
226.ID	-2.254***
	(0.0439)
227.ID	-0
	(0.0439)
228.ID	0.254
	(0.226)
229.ID	-0
	(0.0439)
230.ID	-0
	(0.0439)
231.ID	-1.765***
	(0.0439)
232.ID	-1.980***
	(0.0439)
233.ID	-1.765***
	(0.0439)
234.ID	-0
	(0.0439)
235.ID	-1.088***
	(0.0439)
236.ID	0.509***
	(0.0439)
237.ID	-0
	(0.0439)
238.ID	-0.882
	(0.853)
239.ID	-0
	(0.0439)
240.ID	-0
	(0.0439)
241.ID	-0
	(0.0439)
242.ID	-1.980***
	(0.0439)
243.ID	-0.403***
	(0.0439)
244.ID	-0
	(0.0439)
245.ID	-1.980***
	(0.0439)
246.ID	-0
	(0.0439)
247.ID	-0
	(0.0439)
248.ID	-1.588***
	(0.0439)
249.ID	-1.980***
	(0.0439)
250.ID	0.397***
	(0.146)
251.ID	-1.980***
	(0.0439)
252.ID	-1.765***
	(0.0439)
253.ID	-1.980***
	(0.0439)
254.ID	-1.980***
	(0.0439)
255.ID	0.509***
	(0.0439)
256.ID	-0
	(0.0439)
257.ID	-0
	(0.0439)
258.ID	-1.980***
	(0.0439)
259.ID	-0
	(0.0439)
260.ID	-0
	(0.0439)
261.ID	-2.444***
	(0.162)
263.ID	-1.980***
	(0.0439)
264.ID	0.509***
	(0.0439)
265.ID	0.509***
	(0.0439)
266.ID	-0
	(0.0439)
267.ID	-1.765***
	(0.0439)
268.ID	-0
	(0.0439)
269.ID	-1.980***
	(0.0439)
270.ID	-0
	(0.0439)
271.ID	-2.634***
	(0.0439)
272.ID	0.509***
	(0.0439)
274.ID	-1.980***
	(0.0439)
275.ID	0.509***
	(0.0439)
276.ID	-0.403***
	(0.0439)
277.ID	-0
	(0.0439)
278.ID	-2.426***
	(0.0439)
279.ID	-1.765***
	(0.0439)
280.ID	-0
	(0.0439)
281.ID	-0
	(0.0439)
282.ID	-2.117***
	(0.171)
283.ID	-1.980***
	(0.0439)
284.ID	-1.980***
	(0.0439)
285.ID	-1.980***
	(0.0439)
286.ID	-1.980***
	(0.0439)
288.ID	-0
	(0.0439)
289.ID	-0
	(0.0439)
290.ID	-0
	(0.0439)
291.ID	-1.980***
	(0.0439)
292.ID	-0
	(0.0439)
293.ID	-1.980***
	(0.0439)
294.ID	-1.588***
	(0.0439)
295.ID	-0
	(0.0439)
296.ID	-1.307***
	(0.0439)
297.ID	-0
	(0.0439)
298.ID	-0
	(0.0439)
299.ID	0.509***
	(0.0439)
300.ID	-1.588***
	(0.0439)
301.ID	-1.980***
	(0.0439)
302.ID	-0.628
	(1.108)
303.ID	-1.588***
	(0.0439)
304.ID	0.509***
	(0.0439)
305.ID	-0
	(0.0439)
306.ID	-1.588***
	(0.0439)
307.ID	-1.601***
	(0.197)
308.ID	-1.088***
	(0.0439)
309.ID	-1.765***
	(0.0439)
310.ID	-1.980***
	(0.0439)
311.ID	-3.253***
	(0.0439)
312.ID	-0
	(0.0439)
313.ID	-1.765***
	(0.0439)
314.ID	-1.980***
	(0.0439)
315.ID	-1.980***
	(0.0439)
317.ID	-0
	(0.0439)
318.ID	-0
	(0.0439)
319.ID	-0
	(0.0439)
320.ID	-1.765***
	(0.0439)
321.ID	-1.588***
	(0.0439)
322.ID	0.397***
	(0.0861)
323.ID	-1.765***
	(0.0439)
324.ID	-1.980***
	(0.0439)
325.ID	-1.980***
	(0.0439)
326.ID	-0
	(0.0439)
327.ID	-0
	(0.0439)
328.ID	-0
	(0.0439)
329.ID	-1.980***
	(0.0439)
330.ID	-0
	(0.0439)
331.ID	-1.980***
	(0.0439)
332.ID	-0
	(0.0439)
333.ID	-0.507***
	(0.0439)
334.ID	-1.980***
	(0.0439)
335.ID	-1.980***
	(0.0439)
336.ID	-0.0686
	(0.0439)
337.ID	-1.980***
	(0.0439)
338.ID	-0
	(0.0439)
339.ID	-0
	(0.0439)
340.ID	0.509***
	(0.0439)
341.ID	-0.882
	(0.853)
342.ID	-1.980***
	(0.0439)
343.ID	-0
	(0.0439)
344.ID	-1.588***
	(0.0439)
345.ID	-0
	(0.0439)
346.ID	-3.253***
	(0.0439)
347.ID	-1.588***
	(0.0439)
348.ID	-2.117***
	(0.171)
349.ID	-3.253***
	(0.0439)
350.ID	-1.980***
	(0.0439)
352.ID	-0
	(0.0439)
353.ID	-0.403***
	(0.0439)
354.ID	-1.980***
	(0.0439)
355.ID	-1.588***
	(0.0439)
356.ID	-1.765***
	(0.0439)
357.ID	-0
	(0.0439)
358.ID	-1.980***
	(0.0439)
359.ID	-1.980***
	(0.0439)
361.ID	-1.980***
	(0.0439)
364.ID	-0
	(0.0439)
365.ID	-1.980***
	(0.0439)
366.ID	0.509***
	(0.0439)
369.ID	-0
	(0.0439)
370.ID	-1.980***
	(0.0439)
372.ID	-0
	(0.0439)
373.ID	-1.980***
	(0.0439)
374.ID	-0.0310
	(0.0318)
375.ID	-1.980***
	(0.0439)
377.ID	-1.980***
	(0.0439)
378.ID	-1.980***
	(0.0439)
379.ID	-1.980***
	(0.0439)
381.ID	-2.444***
	(0.223)
382.ID	-3.253***
	(0.0439)
383.ID	-1.980***
	(0.0439)
385.ID	-0
	(0.0439)
386.ID	-2.634***
	(0.0439)
387.ID	-1.980***
	(0.0439)
388.ID	-1.676***
	(0.124)
389.ID	-0
	(0.0439)
390.ID	-0
	(0.0439)
391.ID	-1.980***
	(0.0439)
393.ID	-0
	(0.0439)
394.ID	-0
	(0.0439)
395.ID	-0
	(0.0439)
396.ID	-0
	(0.0439)
397.ID	-1.980***
	(0.0439)
398.ID	-2.634***
	(0.0439)
399.ID	-1.765***
	(0.0439)
400.ID	-0.990
	(0.961)
401.ID	-1.088***
	(0.0439)
402.ID	-1.980***
	(0.0439)
403.ID	-1.980***
	(0.0439)
404.ID	-1.588***
	(0.0439)
405.ID	-1.980***
	(0.0439)
406.ID	-0.403***
	(0.0439)
407.ID	-0
	(0.0439)
408.ID	0.509***
	(0.0439)
409.ID	-2.634***
	(0.0439)
410.ID	-1.980***
	(0.0439)
411.ID	-2.254***
	(0.0439)
412.ID	-0
	(0.0439)
413.ID	-1.588***
	(0.0439)
414.ID	-1.980***
	(0.0439)
415.ID	-1.980***
	(0.0439)
416.ID	-1.765***
	(0.0439)
417.ID	-2.634***
	(0.0439)
418.ID	-1.980***
	(0.0439)
419.ID	-1.980***
	(0.0439)
420.ID	-1.765***
	(0.0439)
421.ID	-1.980***
	(0.0439)
423.ID	-0
	(0.0439)
424.ID	-0
	(0.0439)
425.ID	-0
	(0.0439)
426.ID	-1.980***
	(0.0439)
428.ID	-1.980***
	(0.0439)
429.ID	-1.980***
	(0.0439)
430.ID	0.509***
	(0.0439)
431.ID	-1.765***
	(0.0439)
432.ID	-0
	(0.0439)
433.ID	-1.980***
	(0.0439)
434.ID	-1.980***
	(0.0439)
435.ID	0.509***
	(0.0439)
436.ID	-1.765***
	(0.0439)
437.ID	-2.254***
	(0.0439)
438.ID	-0
	(0.0439)
439.ID	-0
	(0.0439)
440.ID	-1.765***
	(0.0439)
441.ID	-0
	(0.0439)
442.ID	-0.254
	(0.225)
445.ID	-1.980***
	(0.0439)
446.ID	-1.127
	(1.098)
447.ID	-1.088***
	(0.0439)
448.ID	-0
	(0.0439)
449.ID	-0
	(0.0439)
450.ID	-1.980***
	(0.0439)
451.ID	-0
	(0.0439)
452.ID	-1.765***
	(0.0439)
453.ID	0.509***
	(0.0439)
454.ID	-1.765***
	(0.0439)
455.ID	-0.990
	(0.961)
456.ID	-3.253***
	(0.0439)
457.ID	-1.765***
	(0.0439)
458.ID	0.509***
	(0.0439)
459.ID	-1.765***
	(0.0439)
460.ID	-1.980***
	(0.0439)
461.ID	0.509***
	(0.0439)
462.ID	-1.213
	(1.184)
463.ID	0.509***
	(0.0439)
464.ID	-0
	(0.0439)
465.ID	-1.088***
	(0.0439)
466.ID	-0
	(0.0439)
467.ID	-0
	(0.0439)
468.ID	-0
	(0.0439)
469.ID	-1.980***
	(0.0439)
470.ID	-0
	(0.0439)
