	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0626***
	(0.0137)
1.ID	-1.588***
	(0.0443)
2.ID	-0.990
	(0.960)
3.ID	-1.980***
	(0.0443)
4.ID	-0
	(0.0443)
5.ID	-1.765***
	(0.0443)
6.ID	-1.980***
	(0.0443)
7.ID	-0
	(0.0443)
8.ID	-1.765***
	(0.0443)
9.ID	-1.980***
	(0.0443)
10.ID	0.509***
	(0.0443)
12.ID	-0.628
	(1.107)
14.ID	-0
	(0.0443)
15.ID	-1.980***
	(0.0443)
16.ID	-0
	(0.0443)
17.ID	-1.980***
	(0.0443)
18.ID	-1.980***
	(0.0443)
19.ID	-1.765***
	(0.0443)
20.ID	-0
	(0.0443)
21.ID	-1.765***
	(0.0443)
22.ID	-1.588***
	(0.0443)
23.ID	-0
	(0.0443)
24.ID	-0
	(0.0443)
25.ID	-1.765***
	(0.0443)
26.ID	-2.634***
	(0.0443)
27.ID	-1.872***
	(0.0825)
28.ID	-2.307***
	(0.298)
29.ID	-1.980***
	(0.0443)
30.ID	-1.980***
	(0.0443)
31.ID	-0.908***
	(0.0443)
32.ID	-0
	(0.0443)
33.ID	-0
	(0.0443)
34.ID	-0
	(0.0443)
35.ID	-1.980***
	(0.0443)
36.ID	-1.980***
	(0.0443)
37.ID	-1.980***
	(0.0443)
38.ID	-1.980***
	(0.0443)
39.ID	-0
	(0.0443)
40.ID	-0
	(0.0443)
41.ID	-1.588***
	(0.0443)
42.ID	0.254
	(0.288)
43.ID	-1.980***
	(0.0443)
46.ID	-1.765***
	(0.0443)
47.ID	-2.753***
	(0.532)
48.ID	-0
	(0.0443)
49.ID	-0
	(0.0443)
50.ID	-0
	(0.0443)
51.ID	-1.980***
	(0.0443)
52.ID	-1.765***
	(0.0443)
53.ID	-0.628
	(1.107)
54.ID	-1.980***
	(0.0443)
55.ID	-1.980***
	(0.0443)
56.ID	-0.794
	(0.827)
57.ID	-1.980***
	(0.0443)
58.ID	-0
	(0.0443)
59.ID	-1.307***
	(0.0443)
60.ID	-1.980***
	(0.0443)
61.ID	-1.980***
	(0.0443)
62.ID	-1.765***
	(0.0443)
63.ID	-1.980***
	(0.0443)
64.ID	-0
	(0.0443)
65.ID	-1.980***
	(0.0443)
66.ID	-1.765***
	(0.0443)
67.ID	-0
	(0.0443)
68.ID	-1.191
	(0.759)
69.ID	-1.980***
	(0.0443)
70.ID	0.397***
	(0.146)
71.ID	0.509***
	(0.0443)
72.ID	0.509***
	(0.0443)
73.ID	-1.980***
	(0.0443)
74.ID	-1.426***
	(0.309)
76.ID	-1.980***
	(0.0443)
77.ID	-2.254***
	(0.0443)
78.ID	-1.980***
	(0.0443)
79.ID	-1.980***
	(0.0443)
80.ID	-0
	(0.0443)
81.ID	-1.980***
	(0.0443)
82.ID	-1.588***
	(0.0443)
83.ID	-1.765***
	(0.0443)
84.ID	-0
	(0.0443)
85.ID	-0
	(0.0443)
86.ID	-0
	(0.0443)
87.ID	-0
	(0.0443)
88.ID	0.509***
	(0.0443)
89.ID	-1.872***
	(0.0825)
90.ID	-1.534***
	(0.416)
91.ID	-0.624***
	(0.0443)
92.ID	-2.634***
	(0.0443)
93.ID	-1.588***
	(0.0443)
94.ID	-1.980***
	(0.0443)
95.ID	0.509***
	(0.0443)
96.ID	-1.980***
	(0.0443)
97.ID	-2.896***
	(0.0443)
98.ID	-1.088***
	(0.0443)
99.ID	-1.872***
	(0.0825)
100.ID	-1.765***
	(0.0443)
101.ID	-1.980***
	(0.0443)
102.ID	-2.634***
	(0.0443)
103.ID	-1.980***
	(0.0443)
104.ID	-1.980***
	(0.0443)
105.ID	-1.980***
	(0.0443)
106.ID	0.254
	(0.225)
107.ID	0.509***
	(0.0443)
108.ID	0.509***
	(0.0443)
109.ID	-1.765***
	(0.0443)
110.ID	-2.634***
	(0.0443)
111.ID	-2.634***
	(0.0443)
113.ID	-1.980***
	(0.0443)
114.ID	-1.980***
	(0.0443)
115.ID	-0
	(0.0443)
116.ID	-1.765***
	(0.0443)
117.ID	-0
	(0.0443)
118.ID	-0
	(0.0443)
119.ID	0.509***
	(0.0443)
120.ID	-0.756***
	(0.0443)
121.ID	-0
	(0.0443)
122.ID	0.509***
	(0.0443)
123.ID	0.509***
	(0.0443)
125.ID	-0
	(0.0443)
126.ID	-0
	(0.0443)
127.ID	-2.634***
	(0.0443)
128.ID	-1.765***
	(0.0443)
129.ID	-0
	(0.0443)
130.ID	-2.117***
	(0.111)
131.ID	-1.765***
	(0.0443)
132.ID	-2.634***
	(0.0443)
133.ID	-0
	(0.0443)
134.ID	-1.088***
	(0.0443)
135.ID	-1.980***
	(0.0443)
136.ID	-1.980***
	(0.0443)
137.ID	-0.990
	(0.960)
138.ID	0.509***
	(0.0443)
139.ID	-1.980***
	(0.0443)
140.ID	-1.588***
	(0.0443)
142.ID	-1.980***
	(0.0443)
144.ID	-1.980***
	(0.0443)
145.ID	-1.765***
	(0.0443)
146.ID	-0
	(0.0443)
147.ID	0.509***
	(0.0443)
148.ID	-0
	(0.0443)
149.ID	-2.634***
	(0.0443)
150.ID	-1.980***
	(0.0443)
151.ID	-1.765***
	(0.0443)
152.ID	-0
	(0.0443)
153.ID	-0
	(0.0443)
154.ID	-0
	(0.0443)
155.ID	-1.980***
	(0.0443)
156.ID	-1.980***
	(0.0443)
157.ID	-0
	(0.0443)
158.ID	-0
	(0.0443)
159.ID	-1.765***
	(0.0443)
160.ID	-0.990
	(0.960)
161.ID	0.286***
	(0.0443)
163.ID	-1.765***
	(0.0443)
164.ID	-1.980***
	(0.0443)
165.ID	-1.980***
	(0.0443)
166.ID	-0
	(0.0443)
167.ID	-1.980***
	(0.0443)
168.ID	-0
	(0.0443)
169.ID	-0
	(0.0443)
170.ID	-0
	(0.0443)
171.ID	-0.882
	(0.915)
172.ID	-1.980***
	(0.0443)
173.ID	-0
	(0.0443)
174.ID	-0
	(0.0443)
175.ID	-1.765***
	(0.0443)
176.ID	-1.980***
	(0.0443)
177.ID	-0
	(0.0443)
178.ID	-3.253***
	(0.0443)
179.ID	-0.990
	(0.960)
180.ID	-0.829***
	(0.0443)
181.ID	-2.753***
	(0.470)
182.ID	-1.980***
	(0.0443)
183.ID	-1.765***
	(0.0443)
184.ID	-1.980***
	(0.0443)
185.ID	0.509***
	(0.0443)
186.ID	-0.403***
	(0.0443)
187.ID	0.509***
	(0.0443)
188.ID	-0
	(0.0443)
189.ID	-1.765***
	(0.0443)
190.ID	-1.980***
	(0.0443)
191.ID	-1.765***
	(0.0443)
192.ID	-1.980***
	(0.0443)
194.ID	-0
	(0.0443)
196.ID	-1.980***
	(0.0443)
197.ID	-0
	(0.0443)
198.ID	-1.980***
	(0.0443)
199.ID	-2.254***
	(0.0443)
200.ID	0.254
	(0.288)
201.ID	-1.980***
	(0.0443)
202.ID	-0
	(0.0443)
203.ID	0.509***
	(0.0443)
204.ID	0.509***
	(0.0443)
205.ID	-0
	(0.0443)
206.ID	-1.980***
	(0.0443)
207.ID	-1.980***
	(0.0443)
208.ID	-1.980***
	(0.0443)
209.ID	0.509***
	(0.0443)
210.ID	-1.980***
	(0.0443)
212.ID	-1.980***
	(0.0443)
213.ID	0.509***
	(0.0443)
214.ID	-1.980***
	(0.0443)
217.ID	-0
	(0.0443)
218.ID	-1.980***
	(0.0443)
219.ID	-1.872***
	(0.0825)
220.ID	-0
	(0.0443)
221.ID	-0
	(0.0443)
222.ID	-0.628
	(1.107)
223.ID	-0.628
	(1.107)
224.ID	-0
	(0.0443)
225.ID	-0
	(0.0443)
226.ID	-2.254***
	(0.0443)
227.ID	-0
	(0.0443)
228.ID	0.254
	(0.225)
229.ID	-0
	(0.0443)
230.ID	-0
	(0.0443)
231.ID	-1.765***
	(0.0443)
232.ID	-1.980***
	(0.0443)
233.ID	-1.765***
	(0.0443)
234.ID	-0
	(0.0443)
235.ID	-1.088***
	(0.0443)
236.ID	0.509***
	(0.0443)
237.ID	-0
	(0.0443)
238.ID	-0.882
	(0.853)
239.ID	-0
	(0.0443)
240.ID	-0
	(0.0443)
241.ID	-0
	(0.0443)
242.ID	-1.980***
	(0.0443)
243.ID	-0.403***
	(0.0443)
244.ID	-0
	(0.0443)
245.ID	-1.980***
	(0.0443)
246.ID	-0
	(0.0443)
247.ID	-0
	(0.0443)
248.ID	-1.588***
	(0.0443)
249.ID	-1.980***
	(0.0443)
250.ID	0.397***
	(0.146)
251.ID	-1.980***
	(0.0443)
252.ID	-1.765***
	(0.0443)
253.ID	-1.980***
	(0.0443)
254.ID	-1.980***
	(0.0443)
255.ID	0.509***
	(0.0443)
256.ID	-0
	(0.0443)
257.ID	-0
	(0.0443)
258.ID	-1.980***
	(0.0443)
259.ID	-0
	(0.0443)
260.ID	-0
	(0.0443)
261.ID	-2.444***
	(0.162)
263.ID	-1.980***
	(0.0443)
264.ID	0.509***
	(0.0443)
265.ID	0.509***
	(0.0443)
266.ID	-0
	(0.0443)
267.ID	-1.765***
	(0.0443)
268.ID	-0
	(0.0443)
269.ID	-1.980***
	(0.0443)
270.ID	-0
	(0.0443)
271.ID	-2.634***
	(0.0443)
272.ID	0.509***
	(0.0443)
274.ID	-1.980***
	(0.0443)
275.ID	0.509***
	(0.0443)
276.ID	-0.403***
	(0.0443)
277.ID	-0
	(0.0443)
278.ID	-2.426***
	(0.0443)
279.ID	-1.765***
	(0.0443)
280.ID	-0
	(0.0443)
281.ID	-0
	(0.0443)
282.ID	-2.117***
	(0.172)
283.ID	-1.980***
	(0.0443)
284.ID	-1.980***
	(0.0443)
285.ID	-1.980***
	(0.0443)
286.ID	-1.980***
	(0.0443)
288.ID	-0
	(0.0443)
289.ID	-0
	(0.0443)
290.ID	-0
	(0.0443)
291.ID	-1.980***
	(0.0443)
292.ID	-0
	(0.0443)
293.ID	-1.980***
	(0.0443)
294.ID	-1.588***
	(0.0443)
295.ID	-0
	(0.0443)
296.ID	-1.307***
	(0.0443)
297.ID	-0
	(0.0443)
298.ID	-0
	(0.0443)
299.ID	0.509***
	(0.0443)
300.ID	-1.588***
	(0.0443)
301.ID	-1.980***
	(0.0443)
302.ID	-0.628
	(1.107)
303.ID	-1.588***
	(0.0443)
304.ID	0.509***
	(0.0443)
305.ID	-0
	(0.0443)
306.ID	-1.588***
	(0.0443)
307.ID	-1.601***
	(0.198)
308.ID	-1.088***
	(0.0443)
309.ID	-1.765***
	(0.0443)
310.ID	-1.980***
	(0.0443)
311.ID	-3.253***
	(0.0443)
312.ID	-0
	(0.0443)
313.ID	-1.765***
	(0.0443)
314.ID	-1.980***
	(0.0443)
315.ID	-1.980***
	(0.0443)
317.ID	-0
	(0.0443)
318.ID	-0
	(0.0443)
319.ID	-0
	(0.0443)
320.ID	-1.765***
	(0.0443)
321.ID	-1.588***
	(0.0443)
322.ID	0.397***
	(0.0859)
323.ID	-1.765***
	(0.0443)
324.ID	-1.980***
	(0.0443)
325.ID	-1.980***
	(0.0443)
326.ID	-0
	(0.0443)
327.ID	-0
	(0.0443)
328.ID	-0
	(0.0443)
329.ID	-1.980***
	(0.0443)
330.ID	-0
	(0.0443)
331.ID	-1.980***
	(0.0443)
332.ID	-0
	(0.0443)
333.ID	-0.507***
	(0.0443)
334.ID	-1.980***
	(0.0443)
335.ID	-1.980***
	(0.0443)
336.ID	-0.0686
	(0.0443)
337.ID	-1.980***
	(0.0443)
338.ID	-0
	(0.0443)
339.ID	-0
	(0.0443)
340.ID	0.509***
	(0.0443)
341.ID	-0.882
	(0.853)
342.ID	-1.980***
	(0.0443)
343.ID	-0
	(0.0443)
344.ID	-1.588***
	(0.0443)
345.ID	-0
	(0.0443)
346.ID	-3.253***
	(0.0443)
347.ID	-1.588***
	(0.0443)
348.ID	-2.117***
	(0.172)
349.ID	-3.253***
	(0.0443)
350.ID	-1.980***
	(0.0443)
352.ID	-0
	(0.0443)
353.ID	-0.403***
	(0.0443)
354.ID	-1.980***
	(0.0443)
355.ID	-1.588***
	(0.0443)
356.ID	-1.765***
	(0.0443)
357.ID	-0
	(0.0443)
358.ID	-1.980***
	(0.0443)
359.ID	-1.980***
	(0.0443)
361.ID	-1.980***
	(0.0443)
364.ID	-0
	(0.0443)
365.ID	-1.980***
	(0.0443)
366.ID	0.509***
	(0.0443)
369.ID	-0
	(0.0443)
370.ID	-1.980***
	(0.0443)
372.ID	-0
	(0.0443)
373.ID	-1.980***
	(0.0443)
374.ID	-0.0313
	(0.0321)
375.ID	-1.980***
	(0.0443)
377.ID	-1.980***
	(0.0443)
378.ID	-1.980***
	(0.0443)
379.ID	-1.980***
	(0.0443)
381.ID	-2.444***
	(0.224)
382.ID	-3.253***
	(0.0443)
383.ID	-1.980***
	(0.0443)
385.ID	-0
	(0.0443)
386.ID	-2.634***
	(0.0443)
387.ID	-1.980***
	(0.0443)
388.ID	-1.676***
	(0.124)
389.ID	-0
	(0.0443)
390.ID	-0
	(0.0443)
391.ID	-1.980***
	(0.0443)
393.ID	-0
	(0.0443)
394.ID	-0
	(0.0443)
395.ID	-0
	(0.0443)
396.ID	-0
	(0.0443)
397.ID	-1.980***
	(0.0443)
398.ID	-2.634***
	(0.0443)
399.ID	-1.765***
	(0.0443)
400.ID	-0.990
	(0.960)
401.ID	-1.088***
	(0.0443)
402.ID	-1.980***
	(0.0443)
403.ID	-1.980***
	(0.0443)
404.ID	-1.588***
	(0.0443)
405.ID	-1.980***
	(0.0443)
406.ID	-0.403***
	(0.0443)
407.ID	-0
	(0.0443)
408.ID	0.509***
	(0.0443)
409.ID	-2.634***
	(0.0443)
410.ID	-1.980***
	(0.0443)
411.ID	-2.254***
	(0.0443)
412.ID	-0
	(0.0443)
413.ID	-1.588***
	(0.0443)
414.ID	-1.980***
	(0.0443)
415.ID	-1.980***
	(0.0443)
416.ID	-1.765***
	(0.0443)
417.ID	-2.634***
	(0.0443)
418.ID	-1.980***
	(0.0443)
419.ID	-1.980***
	(0.0443)
420.ID	-1.765***
	(0.0443)
421.ID	-1.980***
	(0.0443)
423.ID	-0
	(0.0443)
424.ID	-0
	(0.0443)
425.ID	-0
	(0.0443)
426.ID	-1.980***
	(0.0443)
428.ID	-1.980***
	(0.0443)
429.ID	-1.980***
	(0.0443)
430.ID	0.509***
	(0.0443)
431.ID	-1.765***
	(0.0443)
432.ID	-0
	(0.0443)
433.ID	-1.980***
	(0.0443)
434.ID	-1.980***
	(0.0443)
435.ID	0.509***
	(0.0443)
436.ID	-1.765***
	(0.0443)
437.ID	-2.254***
	(0.0443)
438.ID	-0
	(0.0443)
439.ID	-0
	(0.0443)
440.ID	-1.765***
	(0.0443)
441.ID	-0
	(0.0443)
442.ID	-0.254
	(0.225)
445.ID	-1.980***
	(0.0443)
446.ID	-1.127
	(1.098)
447.ID	-1.088***
	(0.0443)
448.ID	-0
	(0.0443)
449.ID	-0
	(0.0443)
450.ID	-1.980***
	(0.0443)
451.ID	-0
	(0.0443)
452.ID	-1.765***
	(0.0443)
453.ID	0.509***
	(0.0443)
454.ID	-1.765***
	(0.0443)
455.ID	-0.990
	(0.960)
456.ID	-3.253***
	(0.0443)
457.ID	-1.765***
	(0.0443)
458.ID	0.509***
	(0.0443)
459.ID	-1.765***
	(0.0443)
460.ID	-1.980***
	(0.0443)
461.ID	0.509***
	(0.0443)
462.ID	-1.213
	(1.184)
463.ID	0.509***
	(0.0443)
464.ID	-0
	(0.0443)
465.ID	-1.088***
	(0.0443)
466.ID	-0
	(0.0443)
467.ID	-0
	(0.0443)
468.ID	-0
	(0.0443)
469.ID	-1.980***
	(0.0443)
470.ID	-0
	(0.0443)
