	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0161*
	(0.00934)
1.ID	-1.588***
	(0.0114)
2.ID	-0
	(0.0114)
3.ID	-1.980***
	(0.0114)
4.ID	-0
	(0.0114)
5.ID	-1.765***
	(0.0114)
6.ID	-1.980***
	(0.0114)
7.ID	-0
	(0.0114)
8.ID	-1.765***
	(0.0114)
9.ID	-1.980***
	(0.0114)
10.ID	0.397***
	(0.104)
12.ID	0.509***
	(0.0114)
14.ID	-0
	(0.0114)
15.ID	-1.980***
	(0.0114)
16.ID	-0
	(0.0114)
17.ID	-1.980***
	(0.0114)
18.ID	-1.980***
	(0.0114)
19.ID	-1.765***
	(0.0114)
20.ID	-0
	(0.0114)
21.ID	-1.765***
	(0.0114)
22.ID	-1.588***
	(0.0114)
23.ID	-0
	(0.0114)
24.ID	-0
	(0.0114)
25.ID	-1.765***
	(0.0114)
26.ID	-2.634***
	(0.0114)
27.ID	-1.980***
	(0.0114)
28.ID	-1.980***
	(0.0114)
29.ID	-1.980***
	(0.0114)
30.ID	-1.980***
	(0.0114)
31.ID	-0.908***
	(0.0114)
32.ID	-0
	(0.0114)
33.ID	-0
	(0.0114)
34.ID	-0
	(0.0114)
35.ID	-1.980***
	(0.0114)
36.ID	-1.980***
	(0.0114)
37.ID	-1.980***
	(0.0114)
38.ID	-1.980***
	(0.0114)
39.ID	-0
	(0.0114)
40.ID	-0
	(0.0114)
41.ID	-1.588***
	(0.0114)
42.ID	0.509***
	(0.0114)
43.ID	-1.980***
	(0.0114)
44.ID	-3.245***
	(0.00931)
46.ID	-1.765***
	(0.0114)
47.ID	-2.254***
	(0.0114)
48.ID	-0
	(0.0114)
49.ID	-0
	(0.0114)
50.ID	-0
	(0.0114)
51.ID	-1.980***
	(0.0114)
52.ID	-1.765***
	(0.0114)
53.ID	-0
	(0.0114)
54.ID	-1.980***
	(0.0114)
55.ID	-1.980***
	(0.0114)
56.ID	-0
	(0.0114)
57.ID	-1.980***
	(0.0114)
58.ID	-0
	(0.0114)
59.ID	-1.307***
	(0.0114)
60.ID	-1.980***
	(0.0114)
61.ID	-0.990
	(0.983)
62.ID	-1.765***
	(0.0114)
63.ID	-1.980***
	(0.0114)
64.ID	-0
	(0.0114)
65.ID	-1.980***
	(0.0114)
66.ID	-1.765***
	(0.0114)
67.ID	-0
	(0.0114)
68.ID	-0.403***
	(0.0114)
69.ID	-1.980***
	(0.0114)
70.ID	0.509***
	(0.0114)
71.ID	0.509***
	(0.0114)
72.ID	0.509***
	(0.0114)
73.ID	-1.980***
	(0.0114)
74.ID	0.509***
	(0.0114)
76.ID	-1.980***
	(0.0114)
77.ID	-1.765***
	(0.0114)
78.ID	-1.980***
	(0.0114)
79.ID	-1.980***
	(0.0114)
80.ID	-0
	(0.0114)
81.ID	-1.980***
	(0.0114)
82.ID	-1.784***
	(0.188)
83.ID	-1.765***
	(0.0114)
84.ID	-0
	(0.0114)
85.ID	-0
	(0.0114)
86.ID	-0
	(0.0114)
87.ID	-0
	(0.0114)
88.ID	0.509***
	(0.0114)
89.ID	-1.980***
	(0.0114)
90.ID	-1.980***
	(0.0114)
91.ID	-0.624***
	(0.0114)
92.ID	-2.634***
	(0.0114)
93.ID	-1.588***
	(0.0114)
94.ID	-1.980***
	(0.0114)
95.ID	0.509***
	(0.0114)
96.ID	-1.980***
	(0.0114)
97.ID	-2.896***
	(0.0114)
98.ID	-1.088***
	(0.0114)
99.ID	-1.980***
	(0.0114)
100.ID	-1.765***
	(0.0114)
101.ID	-1.980***
	(0.0114)
102.ID	-2.634***
	(0.0114)
103.ID	-1.980***
	(0.0114)
104.ID	-1.980***
	(0.0114)
105.ID	-1.980***
	(0.0114)
106.ID	0.509***
	(0.0114)
107.ID	0.509***
	(0.0114)
108.ID	0.509***
	(0.0114)
109.ID	-1.765***
	(0.0114)
110.ID	-2.634***
	(0.0114)
111.ID	-2.634***
	(0.0114)
112.ID	-0
	(0.0114)
113.ID	-1.980***
	(0.0114)
114.ID	-0
	(0.0114)
115.ID	-0
	(0.0114)
116.ID	-1.765***
	(0.0114)
117.ID	-0
	(0.0114)
118.ID	-0
	(0.0114)
119.ID	0.509***
	(0.0114)
120.ID	-0.756***
	(0.0114)
121.ID	-0
	(0.0114)
122.ID	0.509***
	(0.0114)
123.ID	0.509***
	(0.0114)
125.ID	-0
	(0.0114)
126.ID	-0
	(0.0114)
127.ID	-2.634***
	(0.0114)
128.ID	-1.765***
	(0.0114)
129.ID	-0
	(0.0114)
130.ID	-1.980***
	(0.0114)
131.ID	-1.765***
	(0.0114)
132.ID	-2.634***
	(0.0114)
133.ID	-0
	(0.0114)
134.ID	-1.088***
	(0.0114)
135.ID	-0.990
	(0.999)
136.ID	-0
	(0.0114)
137.ID	-0
	(0.0114)
138.ID	0.509***
	(0.0114)
139.ID	-1.980***
	(0.0114)
140.ID	-1.588***
	(0.0114)
142.ID	-1.980***
	(0.0114)
144.ID	-1.980***
	(0.0114)
145.ID	-1.765***
	(0.0114)
146.ID	-0.882
	(0.891)
147.ID	0.509***
	(0.0114)
148.ID	-0
	(0.0114)
149.ID	-2.634***
	(0.0114)
150.ID	-1.980***
	(0.0114)
151.ID	-1.765***
	(0.0114)
152.ID	-0.990
	(0.983)
153.ID	-0
	(0.0114)
154.ID	-0
	(0.0114)
155.ID	-1.980***
	(0.0114)
156.ID	-1.980***
	(0.0114)
157.ID	-0
	(0.0114)
158.ID	-0
	(0.0114)
159.ID	-1.765***
	(0.0114)
160.ID	-0
	(0.0114)
161.ID	0.286***
	(0.0114)
163.ID	-1.426***
	(0.347)
164.ID	-1.980***
	(0.0114)
165.ID	-1.980***
	(0.0114)
166.ID	-0
	(0.0114)
167.ID	-1.980***
	(0.0114)
168.ID	-0
	(0.0114)
169.ID	-0
	(0.0114)
170.ID	-1.765***
	(0.0114)
171.ID	-1.765***
	(0.0114)
172.ID	-1.980***
	(0.0114)
173.ID	-0
	(0.0114)
174.ID	-0
	(0.0114)
175.ID	-1.765***
	(0.0114)
176.ID	-1.980***
	(0.0114)
177.ID	-0
	(0.0114)
178.ID	-2.634***
	(0.0114)
179.ID	-1.980***
	(0.0114)
180.ID	-0.829***
	(0.0114)
181.ID	-2.634***
	(0.0114)
182.ID	-1.980***
	(0.0114)
183.ID	-1.765***
	(0.0114)
184.ID	-1.980***
	(0.0114)
185.ID	0.509***
	(0.0114)
186.ID	-0.403***
	(0.0114)
187.ID	0.509***
	(0.0114)
188.ID	-0
	(0.0114)
189.ID	-1.765***
	(0.0114)
190.ID	-1.980***
	(0.0114)
191.ID	-1.765***
	(0.0114)
192.ID	-1.980***
	(0.0114)
194.ID	-0
	(0.0114)
196.ID	-1.980***
	(0.0114)
197.ID	-0
	(0.0114)
198.ID	-1.980***
	(0.0114)
199.ID	-1.980***
	(0.0114)
200.ID	-0
	(0.0114)
201.ID	-1.980***
	(0.0114)
202.ID	-0
	(0.0114)
203.ID	0.509***
	(0.0114)
204.ID	0.509***
	(0.0114)
205.ID	-0
	(0.0114)
206.ID	-1.980***
	(0.0114)
207.ID	-1.980***
	(0.0114)
208.ID	-1.980***
	(0.0114)
209.ID	0.254
	(0.247)
210.ID	-1.980***
	(0.0114)
212.ID	-1.980***
	(0.0114)
213.ID	0.509***
	(0.0114)
214.ID	-0.990
	(0.983)
217.ID	-0
	(0.0114)
218.ID	-1.980***
	(0.0114)
219.ID	-1.765***
	(0.0114)
220.ID	-0
	(0.0114)
221.ID	-0
	(0.0114)
222.ID	0.509***
	(0.0114)
223.ID	-1.765***
	(0.0114)
224.ID	-0
	(0.0114)
225.ID	-0
	(0.0114)
226.ID	-2.254***
	(0.0114)
227.ID	-0
	(0.0114)
228.ID	0.509***
	(0.0114)
229.ID	-0
	(0.0114)
230.ID	-0
	(0.0114)
231.ID	-0
	(0.0114)
232.ID	-1.980***
	(0.0114)
233.ID	-1.765***
	(0.0114)
234.ID	-0
	(0.0114)
235.ID	-1.088***
	(0.0114)
236.ID	0.509***
	(0.0114)
237.ID	-0
	(0.0114)
238.ID	-0
	(0.0114)
239.ID	0.143
	(0.135)
240.ID	-0
	(0.0114)
241.ID	-0
	(0.0114)
242.ID	-1.980***
	(0.0114)
243.ID	-0.403***
	(0.0114)
244.ID	-0
	(0.0114)
245.ID	-1.980***
	(0.0114)
246.ID	-0
	(0.0114)
247.ID	-0
	(0.0114)
248.ID	-1.588***
	(0.0114)
249.ID	-1.980***
	(0.0114)
250.ID	0.509***
	(0.0114)
251.ID	-1.980***
	(0.0114)
252.ID	-1.765***
	(0.0114)
253.ID	-1.980***
	(0.0114)
254.ID	-1.980***
	(0.0114)
255.ID	0.509***
	(0.0114)
256.ID	-0
	(0.0114)
257.ID	-0
	(0.0114)
258.ID	-1.980***
	(0.0114)
259.ID	-0
	(0.0114)
260.ID	-0
	(0.0114)
261.ID	-2.634***
	(0.0114)
263.ID	-1.980***
	(0.0114)
264.ID	0.509***
	(0.0114)
266.ID	-0
	(0.0114)
267.ID	-1.765***
	(0.0114)
268.ID	-0
	(0.0114)
269.ID	-0
	(0.0114)
270.ID	-0
	(0.0114)
271.ID	-1.980***
	(0.0114)
272.ID	0.509***
	(0.0114)
274.ID	-1.980***
	(0.0114)
275.ID	-1.765***
	(0.0114)
276.ID	-0.403***
	(0.0114)
277.ID	-0
	(0.0114)
278.ID	-2.426***
	(0.0114)
279.ID	-1.765***
	(0.0114)
280.ID	-0
	(0.0114)
282.ID	-2.117***
	(0.146)
283.ID	-1.980***
	(0.0114)
284.ID	-1.980***
	(0.0114)
285.ID	-1.980***
	(0.0114)
286.ID	-1.980***
	(0.0114)
288.ID	-0
	(0.0114)
289.ID	-0
	(0.0114)
290.ID	-0
	(0.0114)
291.ID	-1.980***
	(0.0114)
292.ID	-0
	(0.0114)
293.ID	-1.980***
	(0.0114)
294.ID	-1.588***
	(0.0114)
295.ID	-0
	(0.0114)
296.ID	-1.307***
	(0.0114)
297.ID	-0
	(0.0114)
298.ID	-0
	(0.0114)
299.ID	0.509***
	(0.0114)
300.ID	-0
	(0.0114)
301.ID	-1.980***
	(0.0114)
302.ID	0.509***
	(0.0114)
303.ID	-1.307***
	(0.0114)
304.ID	0.509***
	(0.0114)
305.ID	-0
	(0.0114)
306.ID	-1.588***
	(0.0114)
307.ID	-1.437***
	(0.0114)
308.ID	-1.088***
	(0.0114)
309.ID	-1.765***
	(0.0114)
310.ID	-1.980***
	(0.0114)
311.ID	-3.253***
	(0.0114)
312.ID	-0
	(0.0114)
313.ID	-1.765***
	(0.0114)
314.ID	-0.794
	(0.787)
315.ID	-1.980***
	(0.0114)
316.ID	-0.794
	(0.787)
317.ID	-0
	(0.0114)
318.ID	-0
	(0.0114)
319.ID	-0
	(0.0114)
320.ID	-1.765***
	(0.0114)
321.ID	-1.588***
	(0.0114)
322.ID	0.286***
	(0.0114)
323.ID	-1.765***
	(0.0114)
324.ID	-1.980***
	(0.0114)
325.ID	-1.980***
	(0.0114)
326.ID	-0
	(0.0114)
327.ID	-0
	(0.0114)
328.ID	-0
	(0.0114)
329.ID	-1.980***
	(0.0114)
330.ID	0.286***
	(0.0114)
331.ID	-1.980***
	(0.0114)
332.ID	-0
	(0.0114)
333.ID	-0
	(0.0114)
334.ID	-1.980***
	(0.0114)
335.ID	-0.990
	(0.983)
336.ID	-0.0686***
	(0.0114)
337.ID	-1.980***
	(0.0114)
338.ID	-0
	(0.0114)
339.ID	-0
	(0.0114)
340.ID	0.509***
	(0.0114)
341.ID	-0.739
	(1.018)
342.ID	-1.980***
	(0.0114)
343.ID	-0
	(0.0114)
344.ID	-1.588***
	(0.0114)
345.ID	0.509***
	(0.0114)
346.ID	-3.253***
	(0.0114)
347.ID	-1.588***
	(0.0114)
348.ID	-1.980***
	(0.0114)
349.ID	-3.253***
	(0.0114)
350.ID	-1.980***
	(0.0114)
352.ID	-0
	(0.0114)
353.ID	-0.201
	(0.194)
354.ID	-1.980***
	(0.0114)
355.ID	-1.588***
	(0.0114)
356.ID	-1.765***
	(0.0114)
357.ID	-0
	(0.0114)
358.ID	-1.980***
	(0.0114)
359.ID	-0
	(0.0114)
361.ID	-1.980***
	(0.0114)
364.ID	0.286***
	(0.0114)
365.ID	-1.980***
	(0.0114)
366.ID	0.509***
	(0.0114)
368.ID	-3.245***
	(0.00931)
369.ID	-0
	(0.0114)
370.ID	-0
	(0.0114)
372.ID	-0
	(0.0114)
373.ID	-1.980***
	(0.0114)
374.ID	-0
	(0.0114)
375.ID	-1.980***
	(0.0114)
377.ID	-0
	(0.0114)
378.ID	-1.980***
	(0.0114)
379.ID	-1.980***
	(0.0114)
381.ID	-1.980***
	(0.0114)
382.ID	-3.253***
	(0.0114)
383.ID	-1.980***
	(0.0114)
385.ID	-0
	(0.0114)
386.ID	-2.634***
	(0.0114)
387.ID	-1.980***
	(0.0114)
388.ID	-1.676***
	(0.0809)
389.ID	-0
	(0.0114)
390.ID	0.254
	(0.263)
391.ID	-1.980***
	(0.0114)
393.ID	-0
	(0.0114)
394.ID	-0
	(0.0114)
395.ID	-0
	(0.0114)
396.ID	-0
	(0.0114)
397.ID	-1.980***
	(0.0114)
398.ID	-2.634***
	(0.0114)
399.ID	-1.765***
	(0.0114)
400.ID	-0.990
	(0.983)
401.ID	-1.088***
	(0.0114)
402.ID	-1.980***
	(0.0114)
403.ID	-1.784***
	(0.188)
404.ID	-1.588***
	(0.0114)
405.ID	-1.980***
	(0.0114)
406.ID	-0.403***
	(0.0114)
407.ID	-0
	(0.0114)
408.ID	0.254
	(0.263)
409.ID	-2.634***
	(0.0114)
410.ID	-1.980***
	(0.0114)
411.ID	-2.254***
	(0.0114)
412.ID	-0
	(0.0114)
413.ID	-1.588***
	(0.0114)
414.ID	-1.980***
	(0.0114)
415.ID	-1.980***
	(0.0114)
416.ID	-1.765***
	(0.0114)
417.ID	-2.634***
	(0.0114)
418.ID	-1.980***
	(0.0114)
419.ID	-1.980***
	(0.0114)
420.ID	-1.765***
	(0.0114)
421.ID	-1.980***
	(0.0114)
423.ID	-0
	(0.0114)
424.ID	-0
	(0.0114)
425.ID	-0
	(0.0114)
426.ID	-1.980***
	(0.0114)
428.ID	-1.980***
	(0.0114)
429.ID	-1.980***
	(0.0114)
430.ID	0.509***
	(0.0114)
431.ID	-1.765***
	(0.0114)
432.ID	-0
	(0.0114)
433.ID	-1.980***
	(0.0114)
434.ID	-1.980***
	(0.0114)
435.ID	0.509***
	(0.0114)
436.ID	-1.765***
	(0.0114)
437.ID	-2.634***
	(0.0114)
438.ID	-0
	(0.0114)
439.ID	-0
	(0.0114)
440.ID	-1.765***
	(0.0114)
441.ID	-0
	(0.0114)
442.ID	-0.254
	(0.262)
445.ID	-1.980***
	(0.0114)
446.ID	-0
	(0.0114)
447.ID	-1.088***
	(0.0114)
448.ID	-0
	(0.0114)
449.ID	-0
	(0.0114)
450.ID	-1.980***
	(0.0114)
451.ID	-0
	(0.0114)
452.ID	-1.765***
	(0.0114)
453.ID	0.509***
	(0.0114)
454.ID	-1.765***
	(0.0114)
455.ID	-0
	(0.0114)
456.ID	-3.253***
	(0.0114)
457.ID	-0.628
	(1.146)
458.ID	0.509***
	(0.0114)
459.ID	-1.765***
	(0.0114)
460.ID	-1.980***
	(0.0114)
461.ID	0.509***
	(0.0114)
462.ID	-0
	(0.0114)
464.ID	-0
	(0.0114)
465.ID	-1.088***
	(0.0114)
466.ID	-0
	(0.0114)
467.ID	-0
	(0.0114)
468.ID	0.509***
	(0.0114)
469.ID	-1.980***
	(0.0114)
470.ID	-0
	(0.0114)
