	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00676
	(0.00728)
1.ID	-1.588***
	(0.00479)
2.ID	-0
	(0.00479)
3.ID	-1.980***
	(0.00479)
4.ID	-0
	(0.00479)
5.ID	-1.765***
	(0.00479)
6.ID	-1.980***
	(0.00479)
7.ID	-0
	(0.00479)
8.ID	-1.765***
	(0.00479)
9.ID	-1.980***
	(0.00479)
10.ID	0.509***
	(0.00479)
12.ID	0.509***
	(0.00479)
14.ID	-0
	(0.00479)
15.ID	-1.980***
	(0.00479)
16.ID	-0
	(0.00479)
17.ID	-1.980***
	(0.00479)
18.ID	-1.980***
	(0.00479)
19.ID	-1.765***
	(0.00479)
20.ID	-0
	(0.00479)
21.ID	-1.765***
	(0.00479)
22.ID	-1.588***
	(0.00479)
23.ID	-0
	(0.00479)
24.ID	-0
	(0.00479)
25.ID	-1.765***
	(0.00479)
26.ID	-2.634***
	(0.00479)
27.ID	-1.980***
	(0.00479)
28.ID	-1.980***
	(0.00479)
29.ID	-1.980***
	(0.00479)
30.ID	-1.980***
	(0.00479)
31.ID	-0.908***
	(0.00479)
32.ID	-0
	(0.00479)
33.ID	-0
	(0.00479)
34.ID	-0
	(0.00479)
35.ID	-1.980***
	(0.00479)
36.ID	-1.980***
	(0.00479)
37.ID	-1.980***
	(0.00479)
38.ID	-1.980***
	(0.00479)
39.ID	-0
	(0.00479)
40.ID	-0
	(0.00479)
41.ID	-1.588***
	(0.00479)
43.ID	-1.980***
	(0.00479)
46.ID	-1.765***
	(0.00479)
47.ID	-2.254***
	(0.00479)
48.ID	-0
	(0.00479)
49.ID	-0
	(0.00479)
50.ID	-0
	(0.00479)
51.ID	-1.980***
	(0.00479)
52.ID	-1.765***
	(0.00479)
53.ID	0.254
	(0.258)
54.ID	-1.980***
	(0.00479)
55.ID	-1.980***
	(0.00479)
56.ID	-0
	(0.00479)
57.ID	-1.980***
	(0.00479)
58.ID	-0
	(0.00479)
59.ID	-1.307***
	(0.00479)
60.ID	-1.980***
	(0.00479)
61.ID	-1.980***
	(0.00479)
62.ID	-1.765***
	(0.00479)
63.ID	-1.980***
	(0.00479)
64.ID	-0
	(0.00479)
65.ID	-1.980***
	(0.00479)
66.ID	-1.765***
	(0.00479)
67.ID	-0
	(0.00479)
68.ID	-0.403***
	(0.00479)
69.ID	-1.980***
	(0.00479)
70.ID	0.397***
	(0.108)
71.ID	0.509***
	(0.00479)
72.ID	0.509***
	(0.00479)
73.ID	-1.980***
	(0.00479)
74.ID	0.509***
	(0.00479)
76.ID	-1.980***
	(0.00479)
77.ID	-1.765***
	(0.00479)
78.ID	-1.980***
	(0.00479)
79.ID	-1.980***
	(0.00479)
80.ID	-0
	(0.00479)
81.ID	-1.980***
	(0.00479)
82.ID	-1.588***
	(0.00479)
83.ID	-1.765***
	(0.00479)
84.ID	-0
	(0.00479)
85.ID	-0
	(0.00479)
86.ID	-0
	(0.00479)
87.ID	-0
	(0.00479)
88.ID	0.509***
	(0.00479)
89.ID	-1.980***
	(0.00479)
90.ID	-1.980***
	(0.00479)
91.ID	-0.624***
	(0.00479)
92.ID	-2.634***
	(0.00479)
93.ID	-1.588***
	(0.00479)
94.ID	-1.980***
	(0.00479)
95.ID	0.509***
	(0.00479)
96.ID	-1.980***
	(0.00479)
97.ID	-2.896***
	(0.00479)
98.ID	-1.088***
	(0.00479)
99.ID	-1.980***
	(0.00479)
100.ID	-1.765***
	(0.00479)
101.ID	-1.980***
	(0.00479)
102.ID	-2.634***
	(0.00479)
103.ID	-1.980***
	(0.00479)
104.ID	-1.980***
	(0.00479)
105.ID	-1.980***
	(0.00479)
106.ID	0.509***
	(0.00479)
107.ID	0.509***
	(0.00479)
108.ID	0.509***
	(0.00479)
109.ID	-1.765***
	(0.00479)
110.ID	-2.634***
	(0.00479)
111.ID	-2.634***
	(0.00479)
112.ID	-0
	(0.00479)
113.ID	-1.980***
	(0.00479)
114.ID	-0
	(0.00479)
115.ID	-0
	(0.00479)
116.ID	-1.765***
	(0.00479)
117.ID	-0
	(0.00479)
118.ID	-0
	(0.00479)
119.ID	0.509***
	(0.00479)
120.ID	-0.756***
	(0.00479)
121.ID	-0
	(0.00479)
122.ID	0.509***
	(0.00479)
123.ID	0.509***
	(0.00479)
125.ID	-0
	(0.00479)
126.ID	-0
	(0.00479)
127.ID	-2.634***
	(0.00479)
128.ID	-1.765***
	(0.00479)
129.ID	-0
	(0.00479)
130.ID	-1.980***
	(0.00479)
131.ID	-1.765***
	(0.00479)
132.ID	-2.634***
	(0.00479)
133.ID	-0
	(0.00479)
134.ID	-1.088***
	(0.00479)
135.ID	-1.980***
	(0.00479)
136.ID	-0
	(0.00479)
137.ID	-0
	(0.00479)
138.ID	0.509***
	(0.00479)
139.ID	-1.980***
	(0.00479)
140.ID	-1.588***
	(0.00479)
142.ID	-1.980***
	(0.00479)
144.ID	-1.980***
	(0.00479)
145.ID	-1.765***
	(0.00479)
146.ID	-0
	(0.00479)
147.ID	0.509***
	(0.00479)
148.ID	-0
	(0.00479)
149.ID	-2.634***
	(0.00479)
150.ID	-1.980***
	(0.00479)
151.ID	-1.765***
	(0.00479)
152.ID	-0
	(0.00479)
154.ID	-0
	(0.00479)
155.ID	-1.980***
	(0.00479)
156.ID	-1.980***
	(0.00479)
157.ID	-0
	(0.00479)
158.ID	-0
	(0.00479)
159.ID	-1.765***
	(0.00479)
160.ID	-0
	(0.00479)
161.ID	0.286***
	(0.00479)
163.ID	-1.088***
	(0.00479)
164.ID	-1.980***
	(0.00479)
165.ID	-1.980***
	(0.00479)
166.ID	-0
	(0.00479)
167.ID	-1.980***
	(0.00479)
168.ID	-0
	(0.00479)
169.ID	-0
	(0.00479)
170.ID	-1.765***
	(0.00479)
171.ID	-1.765***
	(0.00479)
172.ID	-1.980***
	(0.00479)
173.ID	-0
	(0.00479)
174.ID	-0
	(0.00479)
175.ID	-1.765***
	(0.00479)
176.ID	-1.980***
	(0.00479)
177.ID	-0
	(0.00479)
178.ID	-2.634***
	(0.00479)
179.ID	-1.980***
	(0.00479)
180.ID	-0.829***
	(0.00479)
181.ID	-2.634***
	(0.00479)
182.ID	-1.980***
	(0.00479)
183.ID	-1.765***
	(0.00479)
184.ID	-1.980***
	(0.00479)
185.ID	0.509***
	(0.00479)
186.ID	-0.403***
	(0.00479)
188.ID	-0
	(0.00479)
189.ID	-1.765***
	(0.00479)
190.ID	-1.980***
	(0.00479)
191.ID	-1.765***
	(0.00479)
192.ID	-1.980***
	(0.00479)
194.ID	-0
	(0.00479)
196.ID	-1.980***
	(0.00479)
197.ID	-0
	(0.00479)
198.ID	-1.980***
	(0.00479)
199.ID	-1.980***
	(0.00479)
200.ID	-0
	(0.00479)
201.ID	-1.980***
	(0.00479)
202.ID	-0
	(0.00479)
203.ID	0.509***
	(0.00479)
204.ID	0.509***
	(0.00479)
205.ID	-0
	(0.00479)
206.ID	-1.980***
	(0.00479)
207.ID	-1.980***
	(0.00479)
208.ID	-1.980***
	(0.00479)
209.ID	0.254
	(0.258)
210.ID	-1.980***
	(0.00479)
212.ID	-1.980***
	(0.00479)
213.ID	0.509***
	(0.00479)
214.ID	-0.990
	(0.987)
217.ID	-0
	(0.00479)
218.ID	-1.980***
	(0.00479)
219.ID	-1.765***
	(0.00479)
220.ID	-0
	(0.00479)
221.ID	-0
	(0.00479)
222.ID	0.509***
	(0.00479)
223.ID	-1.765***
	(0.00479)
224.ID	-0
	(0.00479)
225.ID	-0
	(0.00479)
226.ID	-2.254***
	(0.00479)
227.ID	-0
	(0.00479)
228.ID	0.509***
	(0.00479)
229.ID	-0
	(0.00479)
230.ID	-0
	(0.00479)
231.ID	-1.765***
	(0.00479)
232.ID	-1.980***
	(0.00479)
233.ID	-1.765***
	(0.00479)
234.ID	-0
	(0.00479)
235.ID	-1.088***
	(0.00479)
236.ID	0.509***
	(0.00479)
237.ID	-0
	(0.00479)
238.ID	-0
	(0.00479)
239.ID	0.143
	(0.140)
240.ID	-0
	(0.00479)
241.ID	-0
	(0.00479)
242.ID	-0.990
	(0.994)
243.ID	-0.403***
	(0.00479)
244.ID	-0
	(0.00479)
245.ID	-1.980***
	(0.00479)
246.ID	-0
	(0.00479)
247.ID	-0
	(0.00479)
248.ID	-1.588***
	(0.00479)
249.ID	-1.784***
	(0.200)
250.ID	0.509***
	(0.00479)
251.ID	-1.980***
	(0.00479)
252.ID	-1.765***
	(0.00479)
253.ID	-1.980***
	(0.00479)
254.ID	-1.980***
	(0.00479)
255.ID	0.509***
	(0.00479)
256.ID	-0
	(0.00479)
257.ID	-0
	(0.00479)
258.ID	-1.980***
	(0.00479)
259.ID	-0
	(0.00479)
260.ID	-0
	(0.00479)
261.ID	-2.634***
	(0.00479)
263.ID	-1.980***
	(0.00479)
264.ID	0.509***
	(0.00479)
266.ID	-0
	(0.00479)
267.ID	-1.765***
	(0.00479)
268.ID	-0
	(0.00479)
269.ID	-0
	(0.00479)
270.ID	-0
	(0.00479)
271.ID	-1.980***
	(0.00479)
272.ID	0.509***
	(0.00479)
273.ID	-3.249***
	(0.00497)
274.ID	-1.980***
	(0.00479)
275.ID	-1.765***
	(0.00479)
276.ID	-0.403***
	(0.00479)
277.ID	-0
	(0.00479)
278.ID	-2.426***
	(0.00479)
279.ID	-1.765***
	(0.00479)
280.ID	-0
	(0.00479)
281.ID	-0
	(0.00479)
282.ID	-2.254***
	(0.00479)
283.ID	-1.980***
	(0.00479)
284.ID	-1.980***
	(0.00479)
285.ID	-1.980***
	(0.00479)
286.ID	-1.980***
	(0.00479)
288.ID	-0
	(0.00479)
289.ID	-0
	(0.00479)
290.ID	-0
	(0.00479)
291.ID	-1.980***
	(0.00479)
292.ID	-0
	(0.00479)
293.ID	-1.980***
	(0.00479)
294.ID	-1.588***
	(0.00479)
295.ID	-0
	(0.00479)
296.ID	-1.307***
	(0.00479)
297.ID	-0
	(0.00479)
298.ID	-0
	(0.00479)
299.ID	-0.736
	(1.242)
300.ID	-0.794
	(0.791)
301.ID	-1.980***
	(0.00479)
302.ID	0.509***
	(0.00479)
303.ID	-1.784***
	(0.200)
304.ID	0.509***
	(0.00479)
305.ID	-0
	(0.00479)
306.ID	-1.588***
	(0.00479)
307.ID	-1.601***
	(0.160)
308.ID	-1.088***
	(0.00479)
309.ID	-1.765***
	(0.00479)
310.ID	-1.980***
	(0.00479)
311.ID	-3.253***
	(0.00479)
312.ID	-0
	(0.00479)
313.ID	-1.765***
	(0.00479)
314.ID	-1.588***
	(0.00479)
315.ID	-1.980***
	(0.00479)
316.ID	-0.794
	(0.791)
317.ID	-0
	(0.00479)
318.ID	-0
	(0.00479)
319.ID	-0
	(0.00479)
320.ID	-1.765***
	(0.00479)
321.ID	-1.588***
	(0.00479)
322.ID	0.254
	(0.251)
323.ID	-1.765***
	(0.00479)
324.ID	-1.980***
	(0.00479)
325.ID	-1.980***
	(0.00479)
326.ID	-0
	(0.00479)
327.ID	-0
	(0.00479)
328.ID	-0
	(0.00479)
329.ID	-1.980***
	(0.00479)
330.ID	0.286***
	(0.00479)
331.ID	-1.980***
	(0.00479)
332.ID	-0
	(0.00479)
333.ID	-0
	(0.00479)
334.ID	-1.980***
	(0.00479)
335.ID	-1.980***
	(0.00479)
336.ID	-0.0686***
	(0.00479)
337.ID	-1.980***
	(0.00479)
338.ID	-0
	(0.00479)
339.ID	-0
	(0.00479)
340.ID	0.509***
	(0.00479)
341.ID	-1.765***
	(0.00479)
342.ID	-1.980***
	(0.00479)
343.ID	-0
	(0.00479)
344.ID	-1.588***
	(0.00479)
345.ID	0.254
	(0.251)
346.ID	-3.253***
	(0.00479)
347.ID	-1.588***
	(0.00479)
348.ID	-1.980***
	(0.00479)
349.ID	-3.253***
	(0.00479)
350.ID	-1.980***
	(0.00479)
352.ID	-0
	(0.00479)
353.ID	-0.403***
	(0.00479)
354.ID	-1.980***
	(0.00479)
355.ID	-1.588***
	(0.00479)
356.ID	-1.765***
	(0.00479)
357.ID	-0
	(0.00479)
358.ID	-1.980***
	(0.00479)
359.ID	-0
	(0.00479)
361.ID	-1.980***
	(0.00479)
364.ID	0.286***
	(0.00479)
365.ID	-1.980***
	(0.00479)
366.ID	0.509***
	(0.00479)
369.ID	-0
	(0.00479)
370.ID	-0
	(0.00479)
372.ID	-0
	(0.00479)
373.ID	-1.980***
	(0.00479)
374.ID	-0
	(0.00479)
375.ID	-1.980***
	(0.00479)
377.ID	-0.990
	(0.994)
378.ID	-1.980***
	(0.00479)
379.ID	-1.980***
	(0.00479)
381.ID	-2.254***
	(0.00479)
382.ID	-3.253***
	(0.00479)
383.ID	-1.980***
	(0.00479)
385.ID	-0
	(0.00479)
386.ID	-2.634***
	(0.00479)
387.ID	-1.980***
	(0.00479)
388.ID	-1.676***
	(0.0852)
389.ID	-0
	(0.00479)
390.ID	0.254
	(0.251)
391.ID	-1.980***
	(0.00479)
393.ID	-0
	(0.00479)
394.ID	-0
	(0.00479)
395.ID	-0
	(0.00479)
396.ID	-0
	(0.00479)
397.ID	-1.980***
	(0.00479)
398.ID	-2.634***
	(0.00479)
399.ID	-1.765***
	(0.00479)
400.ID	-0
	(0.00479)
401.ID	-1.088***
	(0.00479)
402.ID	-1.980***
	(0.00479)
403.ID	-1.980***
	(0.00479)
404.ID	-1.588***
	(0.00479)
405.ID	-1.980***
	(0.00479)
406.ID	-0.403***
	(0.00479)
407.ID	-0
	(0.00479)
408.ID	0.509***
	(0.00479)
409.ID	-2.634***
	(0.00479)
410.ID	-1.980***
	(0.00479)
411.ID	-2.254***
	(0.00479)
412.ID	-0
	(0.00479)
413.ID	-1.588***
	(0.00479)
414.ID	-1.980***
	(0.00479)
415.ID	-1.980***
	(0.00479)
416.ID	-1.765***
	(0.00479)
417.ID	-2.634***
	(0.00479)
418.ID	-1.980***
	(0.00479)
419.ID	-1.980***
	(0.00479)
420.ID	-1.765***
	(0.00479)
421.ID	-1.980***
	(0.00479)
423.ID	-0
	(0.00479)
424.ID	-0
	(0.00479)
425.ID	-0
	(0.00479)
426.ID	-1.980***
	(0.00479)
428.ID	-1.980***
	(0.00479)
429.ID	-1.980***
	(0.00479)
430.ID	0.509***
	(0.00479)
431.ID	-1.765***
	(0.00479)
432.ID	-0
	(0.00479)
433.ID	-1.980***
	(0.00479)
434.ID	-1.980***
	(0.00479)
435.ID	0.509***
	(0.00479)
436.ID	-1.765***
	(0.00479)
437.ID	-2.634***
	(0.00479)
438.ID	-0
	(0.00479)
439.ID	-0
	(0.00479)
440.ID	-1.765***
	(0.00479)
441.ID	-0
	(0.00479)
442.ID	-0
	(0.00479)
445.ID	-1.980***
	(0.00479)
446.ID	-0
	(0.00479)
447.ID	-1.088***
	(0.00479)
448.ID	-0
	(0.00479)
449.ID	-0
	(0.00479)
450.ID	-1.980***
	(0.00479)
451.ID	-0
	(0.00479)
452.ID	-1.765***
	(0.00479)
453.ID	0.509***
	(0.00479)
454.ID	-1.765***
	(0.00479)
455.ID	-0
	(0.00479)
456.ID	-3.253***
	(0.00479)
457.ID	0.509***
	(0.00479)
459.ID	-1.765***
	(0.00479)
460.ID	-1.980***
	(0.00479)
461.ID	0.509***
	(0.00479)
462.ID	-0
	(0.00479)
464.ID	-0
	(0.00479)
465.ID	-1.088***
	(0.00479)
466.ID	-0
	(0.00479)
467.ID	-0
	(0.00479)
468.ID	0.509***
	(0.00479)
469.ID	-1.980***
	(0.00479)
470.ID	-0
	(0.00479)
471.ID	0.509***
	(0.00479)
472.ID	0.509***
	(0.00479)
473.ID	-0
	(0.00479)
474.ID	-0
