	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00675
	(0.00728)
1.ID	-1.588***
	(0.00478)
2.ID	0
	(0.00478)
3.ID	-1.980***
	(0.00478)
4.ID	0
	(0.00478)
5.ID	-1.765***
	(0.00478)
6.ID	-1.980***
	(0.00478)
7.ID	0
	(0.00478)
8.ID	-1.765***
	(0.00478)
9.ID	-1.980***
	(0.00478)
10.ID	0.509***
	(0.00478)
12.ID	0.509***
	(0.00478)
14.ID	0
	(0.00478)
15.ID	-1.980***
	(0.00478)
16.ID	0
	(0.00478)
17.ID	-1.980***
	(0.00478)
18.ID	-1.980***
	(0.00478)
19.ID	-1.765***
	(0.00478)
20.ID	0
	(0.00478)
21.ID	-1.765***
	(0.00478)
22.ID	-1.588***
	(0.00478)
23.ID	0
	(0.00478)
24.ID	0
	(0.00478)
25.ID	-1.765***
	(0.00478)
26.ID	-2.634***
	(0.00478)
27.ID	-1.980***
	(0.00478)
28.ID	-1.980***
	(0.00478)
29.ID	-1.980***
	(0.00478)
30.ID	-1.980***
	(0.00478)
31.ID	-0.908***
	(0.00478)
32.ID	0
	(0.00478)
33.ID	0
	(0.00478)
34.ID	0
	(0.00478)
35.ID	-1.980***
	(0.00478)
36.ID	-1.980***
	(0.00478)
37.ID	-1.980***
	(0.00478)
38.ID	-1.980***
	(0.00478)
39.ID	0
	(0.00478)
40.ID	0
	(0.00478)
41.ID	-1.588***
	(0.00478)
43.ID	-1.980***
	(0.00478)
46.ID	-1.765***
	(0.00478)
47.ID	-2.254***
	(0.00478)
48.ID	0
	(0.00478)
49.ID	0
	(0.00478)
50.ID	0
	(0.00478)
51.ID	-1.980***
	(0.00478)
52.ID	-1.765***
	(0.00478)
53.ID	0.254
	(0.258)
54.ID	-1.980***
	(0.00478)
55.ID	-1.980***
	(0.00478)
56.ID	0
	(0.00478)
57.ID	-1.980***
	(0.00478)
58.ID	0
	(0.00478)
59.ID	-1.307***
	(0.00478)
60.ID	-1.980***
	(0.00478)
61.ID	-1.980***
	(0.00478)
62.ID	-1.765***
	(0.00478)
63.ID	-1.980***
	(0.00478)
64.ID	0
	(0.00478)
65.ID	-1.980***
	(0.00478)
66.ID	-1.765***
	(0.00478)
67.ID	0
	(0.00478)
68.ID	-0.403***
	(0.00478)
69.ID	-1.980***
	(0.00478)
70.ID	0.397***
	(0.108)
71.ID	0.509***
	(0.00478)
72.ID	0.509***
	(0.00478)
73.ID	-1.980***
	(0.00478)
74.ID	0.509***
	(0.00478)
76.ID	-1.980***
	(0.00478)
77.ID	-1.765***
	(0.00478)
78.ID	-1.980***
	(0.00478)
79.ID	-1.980***
	(0.00478)
80.ID	0
	(0.00478)
81.ID	-1.980***
	(0.00478)
82.ID	-1.588***
	(0.00478)
83.ID	-1.765***
	(0.00478)
84.ID	0
	(0.00478)
85.ID	0
	(0.00478)
86.ID	0
	(0.00478)
87.ID	0
	(0.00478)
88.ID	0.509***
	(0.00478)
89.ID	-1.980***
	(0.00478)
90.ID	-1.980***
	(0.00478)
91.ID	-0.624***
	(0.00478)
92.ID	-2.634***
	(0.00478)
93.ID	-1.588***
	(0.00478)
94.ID	-1.980***
	(0.00478)
95.ID	0.509***
	(0.00478)
96.ID	-1.980***
	(0.00478)
97.ID	-2.896***
	(0.00478)
98.ID	-1.088***
	(0.00478)
99.ID	-1.980***
	(0.00478)
100.ID	-1.765***
	(0.00478)
101.ID	-1.980***
	(0.00478)
102.ID	-2.634***
	(0.00478)
103.ID	-1.980***
	(0.00478)
104.ID	-1.980***
	(0.00478)
105.ID	-1.980***
	(0.00478)
106.ID	0.509***
	(0.00478)
107.ID	0.509***
	(0.00478)
108.ID	0.509***
	(0.00478)
109.ID	-1.765***
	(0.00478)
110.ID	-2.634***
	(0.00478)
111.ID	-2.634***
	(0.00478)
112.ID	0
	(0.00478)
113.ID	-1.980***
	(0.00478)
114.ID	0
	(0.00478)
115.ID	0
	(0.00478)
116.ID	-1.765***
	(0.00478)
117.ID	0
	(0.00478)
118.ID	0
	(0.00478)
119.ID	0.509***
	(0.00478)
120.ID	-0.756***
	(0.00478)
121.ID	0
	(0.00478)
122.ID	0.509***
	(0.00478)
123.ID	0.509***
	(0.00478)
125.ID	0
	(0.00478)
126.ID	0
	(0.00478)
127.ID	-2.634***
	(0.00478)
128.ID	-1.765***
	(0.00478)
129.ID	0
	(0.00478)
130.ID	-1.980***
	(0.00478)
131.ID	-1.765***
	(0.00478)
132.ID	-2.634***
	(0.00478)
133.ID	0
	(0.00478)
134.ID	-1.088***
	(0.00478)
135.ID	-1.980***
	(0.00478)
136.ID	0
	(0.00478)
137.ID	0
	(0.00478)
138.ID	0.509***
	(0.00478)
139.ID	-1.980***
	(0.00478)
140.ID	-1.588***
	(0.00478)
142.ID	-1.980***
	(0.00478)
144.ID	-1.980***
	(0.00478)
145.ID	-1.765***
	(0.00478)
146.ID	0
	(0.00478)
147.ID	0.509***
	(0.00478)
148.ID	0
	(0.00478)
149.ID	-2.634***
	(0.00478)
150.ID	-1.980***
	(0.00478)
151.ID	-1.765***
	(0.00478)
152.ID	0
	(0.00478)
154.ID	0
	(0.00478)
155.ID	-1.980***
	(0.00478)
156.ID	-1.980***
	(0.00478)
157.ID	0
	(0.00478)
158.ID	0
	(0.00478)
159.ID	-1.765***
	(0.00478)
160.ID	0
	(0.00478)
161.ID	0.286***
	(0.00478)
163.ID	-1.088***
	(0.00478)
164.ID	-1.980***
	(0.00478)
165.ID	-1.980***
	(0.00478)
166.ID	0
	(0.00478)
167.ID	-1.980***
	(0.00478)
168.ID	0
	(0.00478)
169.ID	0
	(0.00478)
170.ID	-1.765***
	(0.00478)
171.ID	-1.765***
	(0.00478)
172.ID	-1.980***
	(0.00478)
173.ID	0
	(0.00478)
174.ID	0
	(0.00478)
175.ID	-1.765***
	(0.00478)
176.ID	-1.980***
	(0.00478)
177.ID	0
	(0.00478)
178.ID	-2.634***
	(0.00478)
179.ID	-1.980***
	(0.00478)
180.ID	-0.829***
	(0.00478)
181.ID	-2.634***
	(0.00478)
182.ID	-1.980***
	(0.00478)
183.ID	-1.765***
	(0.00478)
184.ID	-1.980***
	(0.00478)
185.ID	0.509***
	(0.00478)
186.ID	-0.403***
	(0.00478)
188.ID	0
	(0.00478)
189.ID	-1.765***
	(0.00478)
190.ID	-1.980***
	(0.00478)
191.ID	-1.765***
	(0.00478)
192.ID	-1.980***
	(0.00478)
194.ID	0
	(0.00478)
196.ID	-1.980***
	(0.00478)
197.ID	0
	(0.00478)
198.ID	-1.980***
	(0.00478)
199.ID	-1.980***
	(0.00478)
200.ID	0
	(0.00478)
201.ID	-1.980***
	(0.00478)
202.ID	0
	(0.00478)
203.ID	0.509***
	(0.00478)
204.ID	0.509***
	(0.00478)
205.ID	0
	(0.00478)
206.ID	-1.980***
	(0.00478)
207.ID	-1.980***
	(0.00478)
208.ID	-1.980***
	(0.00478)
209.ID	0.254
	(0.258)
210.ID	-1.980***
	(0.00478)
212.ID	-1.980***
	(0.00478)
213.ID	0.509***
	(0.00478)
214.ID	-0.990
	(0.987)
217.ID	0
	(0.00478)
218.ID	-1.980***
	(0.00478)
219.ID	-1.765***
	(0.00478)
220.ID	0
	(0.00478)
221.ID	0
	(0.00478)
222.ID	0.509***
	(0.00478)
223.ID	-1.765***
	(0.00478)
224.ID	0
	(0.00478)
225.ID	0
	(0.00478)
226.ID	-2.254***
	(0.00478)
227.ID	0
	(0.00478)
228.ID	0.509***
	(0.00478)
229.ID	0
	(0.00478)
230.ID	0
	(0.00478)
231.ID	-1.765***
	(0.00478)
232.ID	-1.980***
	(0.00478)
233.ID	-1.765***
	(0.00478)
234.ID	0
	(0.00478)
235.ID	-1.088***
	(0.00478)
236.ID	0.509***
	(0.00478)
237.ID	0
	(0.00478)
238.ID	0
	(0.00478)
239.ID	0.143
	(0.140)
240.ID	0
	(0.00478)
241.ID	0
	(0.00478)
242.ID	-0.990
	(0.994)
243.ID	-0.403***
	(0.00478)
244.ID	0
	(0.00478)
245.ID	-1.980***
	(0.00478)
246.ID	0
	(0.00478)
247.ID	0
	(0.00478)
248.ID	-1.588***
	(0.00478)
249.ID	-1.784***
	(0.200)
250.ID	0.509***
	(0.00478)
251.ID	-1.980***
	(0.00478)
252.ID	-1.765***
	(0.00478)
253.ID	-1.980***
	(0.00478)
254.ID	-1.980***
	(0.00478)
255.ID	0.509***
	(0.00478)
256.ID	0
	(0.00478)
257.ID	0
	(0.00478)
258.ID	-1.980***
	(0.00478)
259.ID	0
	(0.00478)
260.ID	0
	(0.00478)
261.ID	-2.634***
	(0.00478)
263.ID	-1.980***
	(0.00478)
264.ID	0.509***
	(0.00478)
266.ID	0
	(0.00478)
267.ID	-1.765***
	(0.00478)
268.ID	0
	(0.00478)
269.ID	0
	(0.00478)
270.ID	0
	(0.00478)
271.ID	-1.980***
	(0.00478)
272.ID	0.509***
	(0.00478)
273.ID	-3.249***
	(0.00497)
274.ID	-1.980***
	(0.00478)
275.ID	-1.765***
	(0.00478)
276.ID	-0.403***
	(0.00478)
277.ID	0
	(0.00478)
278.ID	-2.426***
	(0.00478)
279.ID	-1.765***
	(0.00478)
280.ID	0
	(0.00478)
281.ID	0
	(0.00478)
282.ID	-2.254***
	(0.00478)
283.ID	-1.980***
	(0.00478)
284.ID	-1.980***
	(0.00478)
285.ID	-1.980***
	(0.00478)
286.ID	-1.980***
	(0.00478)
288.ID	0
	(0.00478)
289.ID	0
	(0.00478)
290.ID	0
	(0.00478)
291.ID	-1.980***
	(0.00478)
292.ID	0
	(0.00478)
293.ID	-1.980***
	(0.00478)
294.ID	-1.588***
	(0.00478)
295.ID	0
	(0.00478)
296.ID	-1.307***
	(0.00478)
297.ID	0
	(0.00478)
298.ID	0
	(0.00478)
299.ID	-0.736
	(1.242)
300.ID	-0.794
	(0.791)
301.ID	-1.980***
	(0.00478)
302.ID	0.509***
	(0.00478)
303.ID	-1.784***
	(0.200)
304.ID	0.509***
	(0.00478)
305.ID	0
	(0.00478)
306.ID	-1.588***
	(0.00478)
307.ID	-1.601***
	(0.160)
308.ID	-1.088***
	(0.00478)
309.ID	-1.765***
	(0.00478)
310.ID	-1.980***
	(0.00478)
311.ID	-3.253***
	(0.00478)
312.ID	0
	(0.00478)
313.ID	-1.765***
	(0.00478)
314.ID	-1.588***
	(0.00478)
315.ID	-1.980***
	(0.00478)
316.ID	-0.794
	(0.791)
317.ID	0
	(0.00478)
318.ID	0
	(0.00478)
319.ID	0
	(0.00478)
320.ID	-1.765***
	(0.00478)
321.ID	-1.588***
	(0.00478)
322.ID	0.254
	(0.251)
323.ID	-1.765***
	(0.00478)
324.ID	-1.980***
	(0.00478)
325.ID	-1.980***
	(0.00478)
326.ID	0
	(0.00478)
327.ID	0
	(0.00478)
328.ID	0
	(0.00478)
329.ID	-1.980***
	(0.00478)
330.ID	0.286***
	(0.00478)
331.ID	-1.980***
	(0.00478)
332.ID	0
	(0.00478)
333.ID	0
	(0.00478)
334.ID	-1.980***
	(0.00478)
335.ID	-1.980***
	(0.00478)
336.ID	-0.0686***
	(0.00478)
337.ID	-1.980***
	(0.00478)
338.ID	0
	(0.00478)
339.ID	0
	(0.00478)
340.ID	0.509***
	(0.00478)
341.ID	-1.765***
	(0.00478)
342.ID	-1.980***
	(0.00478)
343.ID	0
	(0.00478)
344.ID	-1.588***
	(0.00478)
345.ID	0.254
	(0.251)
346.ID	-3.253***
	(0.00478)
347.ID	-1.588***
	(0.00478)
348.ID	-1.980***
	(0.00478)
349.ID	-3.253***
	(0.00478)
350.ID	-1.980***
	(0.00478)
352.ID	0
	(0.00478)
353.ID	-0.403***
	(0.00478)
354.ID	-1.980***
	(0.00478)
355.ID	-1.588***
	(0.00478)
356.ID	-1.765***
	(0.00478)
357.ID	0
	(0.00478)
358.ID	-1.980***
	(0.00478)
359.ID	0
	(0.00478)
361.ID	-1.980***
	(0.00478)
364.ID	0.286***
	(0.00478)
365.ID	-1.980***
	(0.00478)
366.ID	0.509***
	(0.00478)
369.ID	0
	(0.00478)
370.ID	0
	(0.00478)
372.ID	0
	(0.00478)
373.ID	-1.980***
	(0.00478)
374.ID	0
	(0.00478)
375.ID	-1.980***
	(0.00478)
377.ID	-0.990
	(0.994)
378.ID	-1.980***
	(0.00478)
379.ID	-1.980***
	(0.00478)
381.ID	-2.254***
	(0.00478)
382.ID	-3.253***
	(0.00478)
383.ID	-1.980***
	(0.00478)
385.ID	0
	(0.00478)
386.ID	-2.634***
	(0.00478)
387.ID	-1.980***
	(0.00478)
388.ID	-1.676***
	(0.0852)
389.ID	0
	(0.00478)
390.ID	0.254
	(0.251)
391.ID	-1.980***
	(0.00478)
393.ID	0
	(0.00478)
394.ID	0
	(0.00478)
395.ID	0
	(0.00478)
396.ID	0
	(0.00478)
397.ID	-1.980***
	(0.00478)
398.ID	-2.634***
	(0.00478)
399.ID	-1.765***
	(0.00478)
400.ID	0
	(0.00478)
401.ID	-1.088***
	(0.00478)
402.ID	-1.980***
	(0.00478)
403.ID	-1.980***
	(0.00478)
404.ID	-1.588***
	(0.00478)
405.ID	-1.980***
	(0.00478)
406.ID	-0.403***
	(0.00478)
407.ID	0
	(0.00478)
408.ID	0.509***
	(0.00478)
409.ID	-2.634***
	(0.00478)
410.ID	-1.980***
	(0.00478)
411.ID	-2.254***
	(0.00478)
412.ID	0
	(0.00478)
413.ID	-1.588***
	(0.00478)
414.ID	-1.980***
	(0.00478)
415.ID	-1.980***
	(0.00478)
416.ID	-1.765***
	(0.00478)
417.ID	-2.634***
	(0.00478)
418.ID	-1.980***
	(0.00478)
419.ID	-1.980***
	(0.00478)
420.ID	-1.765***
	(0.00478)
421.ID	-1.980***
	(0.00478)
423.ID	0
	(0.00478)
424.ID	0
	(0.00478)
425.ID	0
	(0.00478)
426.ID	-1.980***
	(0.00478)
428.ID	-1.980***
	(0.00478)
429.ID	-1.980***
	(0.00478)
430.ID	0.509***
	(0.00478)
431.ID	-1.765***
	(0.00478)
432.ID	0
	(0.00478)
433.ID	-1.980***
	(0.00478)
434.ID	-1.980***
	(0.00478)
435.ID	0.509***
	(0.00478)
436.ID	-1.765***
	(0.00478)
437.ID	-2.634***
	(0.00478)
438.ID	0
	(0.00478)
439.ID	0
	(0.00478)
440.ID	-1.765***
	(0.00478)
441.ID	0
	(0.00478)
442.ID	0
	(0.00478)
445.ID	-1.980***
	(0.00478)
446.ID	0
	(0.00478)
447.ID	-1.088***
	(0.00478)
448.ID	0
	(0.00478)
449.ID	0
	(0.00478)
450.ID	-1.980***
	(0.00478)
451.ID	0
	(0.00478)
452.ID	-1.765***
	(0.00478)
453.ID	0.509***
	(0.00478)
454.ID	-1.765***
	(0.00478)
455.ID	0
	(0.00478)
456.ID	-3.253***
	(0.00478)
457.ID	0.509***
	(0.00478)
459.ID	-1.765***
	(0.00478)
460.ID	-1.980***
	(0.00478)
461.ID	0.509***
	(0.00478)
462.ID	0
	(0.00478)
464.ID	0
	(0.00478)
465.ID	-1.088***
	(0.00478)
466.ID	0
	(0.00478)
467.ID	0
	(0.00478)
468.ID	0.509***
	(0.00478)
469.ID	-1.980***
	(0.00478)
470.ID	0
	(0.00478)
471.ID	0.509***
	(0.00478)
472.ID	0.509***
	(0.00478)
473.ID	0
	(0.00478)
474.ID	0
	(0.00478)
475.ID	-1.980***
	(0.00478)
476.ID	0
	(0.00478)
477.ID	0.286***
	(0.00478)
478.ID	0.509***
	(0.00478)
479.ID	0
	(0.00478)
480.ID	-1.088***
	(0.00478)
481.ID	0
	(0.00478)
482.ID	0.509***
	(0.00478)
