	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0142
	(0.0138)
1.ID	-0.598***
	(0)
2.ID	0.990***
	(0)
3.ID	-0.990***
	(0)
4.ID	0.990***
	(0)
5.ID	-0.775***
	(0)
6.ID	-0.990***
	(0)
7.ID	0.990***
	(0)
8.ID	-0.775***
	(0)
9.ID	-0.990***
	(0)
10.ID	1.498***
	(0)
12.ID	1.498***
	(0)
15.ID	-0.990***
	(0)
16.ID	0.990***
	(0)
18.ID	-0.990***
	(0)
19.ID	-0.775***
	(0)
20.ID	0.990***
	(0)
21.ID	-0.775***
	(0)
23.ID	0.990***
	(0)
26.ID	-1.644***
	(0)
27.ID	-0.990***
	(0)
28.ID	-0.990***
	(0)
29.ID	-0.990***
	(0)
30.ID	-0.990***
	(0)
32.ID	0.990***
	(0)
33.ID	0.990***
	(0)
34.ID	0.990***
	(0)
36.ID	-0.990***
	(0)
37.ID	-0.990***
	(0)
38.ID	-0.990***
	(0)
39.ID	0.990***
	(0)
40.ID	0.990***
	(0)
41.ID	-0.598***
	(0)
42.ID	1.498***
	(0)
43.ID	-0.990***
	(0)
47.ID	-1.264***
	(0)
48.ID	0.990***
	(0)
49.ID	0.990***
	(0)
50.ID	0.990***
	(0)
51.ID	-0.990***
	(0)
53.ID	0.990***
	(0)
54.ID	-0.990***
	(0)
55.ID	-0.990***
	(0)
56.ID	0.990***
	(0)
57.ID	-0.990***
	(0)
58.ID	0.990***
	(0)
59.ID	-0.317***
	(0)
61.ID	-0.990***
	(0)
62.ID	-0.775***
	(0)
63.ID	-0.990***
	(0)
64.ID	1.133***
	(0)
65.ID	-0.990***
	(0)
66.ID	-0.775***
	(0)
67.ID	0.990***
	(0)
69.ID	-0.990***
	(0)
70.ID	1.498***
	(0)
71.ID	1.498***
	(0)
73.ID	-0.990***
	(0)
74.ID	0.990***
	(0)
76.ID	-0.990***
	(0)
77.ID	-0.775***
	(0)
78.ID	-0.990***
	(0)
79.ID	-0.990***
	(0)
80.ID	0.990***
	(0)
81.ID	-0.990***
	(0)
82.ID	-0.598***
	(0)
83.ID	-0.775***
	(0)
85.ID	0.990***
	(0)
86.ID	0.990***
	(0)
87.ID	0.990***
	(0)
88.ID	1.498***
	(0)
89.ID	-0.990***
	(0)
90.ID	-0.990***
	(0)
91.ID	0.366***
	(0)
92.ID	-1.644***
	(0)
93.ID	-0.598***
	(0)
94.ID	-0.990***
	(0)
95.ID	1.498***
	(0)
96.ID	-0.990***
	(0)
97.ID	-1.906***
	(0)
98.ID	-0.0978***
	(0)
99.ID	-0.882***
	(0)
100.ID	-0.775***
	(0)
101.ID	-0.990***
	(0)
102.ID	-1.644***
	(0)
103.ID	-0.990***
	(0)
104.ID	-0.990***
	(0)
105.ID	-0.990***
	(0)
106.ID	1.498***
	(0)
107.ID	1.498***
	(0)
108.ID	1.498***
	(0)
109.ID	-0.775***
	(0)
110.ID	-1.644***
	(0)
111.ID	-1.644***
	(0)
112.ID	0.990***
	(0)
114.ID	0.990***
	(0)
116.ID	-0.775***
	(0)
117.ID	0.990***
	(0)
118.ID	0.990***
	(0)
119.ID	1.498***
	(0)
120.ID	0.234***
	(0)
121.ID	0.990***
	(0)
123.ID	1.498***
	(0)
125.ID	0.990***
	(0)
126.ID	0.990***
	(0)
127.ID	-1.644***
	(0)
128.ID	-0.775***
	(0)
129.ID	0.990***
	(0)
130.ID	-0.990***
	(0)
131.ID	-0.775***
	(0)
132.ID	-1.644***
	(0)
133.ID	0.990***
	(0)
134.ID	-0.0978***
	(0)
135.ID	0.990***
	(0)
136.ID	0.990***
	(0)
137.ID	0.990***
	(0)
138.ID	1.498***
	(0)
139.ID	-0.990***
	(0)
140.ID	-0.598***
	(0)
142.ID	-0.990***
	(0)
143.ID	-0.990***
	(0)
144.ID	-0.990***
	(0)
145.ID	-0.775***
	(0)
146.ID	0.990***
	(0)
147.ID	1.498***
	(0)
148.ID	0.990***
	(0)
149.ID	-1.644***
	(0)
150.ID	-0.990***
	(0)
151.ID	-0.775***
	(0)
152.ID	0.990***
	(0)
153.ID	0.990***
	(0)
154.ID	1.244***
	(0)
155.ID	-0.990***
	(0)
156.ID	-0.990***
	(0)
157.ID	0.990***
	(0)
158.ID	0.990***
	(0)
159.ID	-0.775***
	(0)
160.ID	0
	(0)
161.ID	1.276***
	(0)
163.ID	-0.436***
	(0)
164.ID	-0.990***
	(0)
165.ID	-0.990***
	(0)
167.ID	-0.990***
	(0)
168.ID	0.990***
	(0)
170.ID	-0.775***
	(0)
173.ID	0.990***
	(0)
174.ID	0.990***
	(0)
175.ID	-0.775***
	(0)
176.ID	-0.990***
	(0)
178.ID	-1.644***
	(0)
179.ID	0
	(0)
180.ID	0.161***
	(0)
181.ID	-1.644***
	(0)
182.ID	-0.990***
	(0)
183.ID	-0.775***
	(0)
184.ID	-0.990***
	(0)
185.ID	0.362***
	(0)
186.ID	0.788***
	(0)
187.ID	1.498***
	(0)
188.ID	0.990***
	(0)
189.ID	0.108***
	(0)
190.ID	-0.990***
	(0)
191.ID	-0.775***
	(0)
192.ID	-0.990***
	(0)
194.ID	0.990***
	(0)
196.ID	-0.990***
	(0)
197.ID	0.990***
	(0)
198.ID	-0.990***
	(0)
199.ID	-0.990***
	(0)
201.ID	-0.990***
	(0)
202.ID	0.990***
	(0)
203.ID	1.498***
	(0)
204.ID	1.498***
	(0)
205.ID	0.990***
	(0)
206.ID	-0.990***
	(0)
207.ID	-0.990***
	(0)
208.ID	-0.990***
	(0)
209.ID	1.244***
	(0)
210.ID	-0.990***
	(0)
212.ID	-0.990***
	(0)
213.ID	1.498***
	(0)
214.ID	0.990***
	(0)
217.ID	0.990***
	(0)
218.ID	-0.990***
	(0)
219.ID	-0.775***
	(0)
220.ID	0.990***
	(0)
221.ID	0.990***
	(0)
222.ID	1.498***
	(0)
223.ID	-0.775***
	(0)
224.ID	0.990***
	(0)
225.ID	0.990***
	(0)
226.ID	-1.264***
	(0)
227.ID	0.990***
	(0)
228.ID	1.498***
	(0)
229.ID	0.990***
	(0)
230.ID	0.990***
	(0)
231.ID	0.990***
	(0)
232.ID	-0.990***
	(0)
233.ID	-0.775***
	(0)
234.ID	0.990***
	(0)
235.ID	-0.0978***
	(0)
236.ID	1.498***
	(0)
237.ID	0.990***
	(0)
238.ID	0.990***
	(0)
239.ID	0.990***
	(0)
240.ID	0.990***
	(0)
241.ID	0.990***
	(0)
242.ID	-0.990***
	(0)
243.ID	0.587***
	(0)
244.ID	1.133***
	(0)
245.ID	-0.990***
	(0)
247.ID	0.990***
	(0)
248.ID	-0.598***
	(0)
249.ID	-0.990***
	(0)
250.ID	1.498***
	(0)
251.ID	-0.882***
	(0)
252.ID	-0.775***
	(0)
253.ID	-0.990***
	(0)
254.ID	-0.990***
	(0)
255.ID	1.498***
	(0)
256.ID	0.990***
	(0)
257.ID	0.990***
	(0)
258.ID	-0.990***
	(0)
259.ID	0.990***
	(0)
260.ID	0.990***
	(0)
261.ID	-1.644***
	(0)
263.ID	-0.990***
	(0)
264.ID	1.498***
	(0)
267.ID	0.108***
	(0)
268.ID	0.990***
	(0)
269.ID	0
	(0)
270.ID	0.990***
	(0)
271.ID	-0.990***
	(0)
272.ID	1.498***
	(0)
275.ID	-0.775***
	(0)
277.ID	0.990***
	(0)
278.ID	-1.436***
	(0)
279.ID	-0.775***
	(0)
280.ID	0.990***
	(0)
281.ID	0.990***
	(0)
282.ID	-1.264***
	(0)
283.ID	-0.990***
	(0)
284.ID	-0.990***
	(0)
285.ID	-0.990***
	(0)
286.ID	-0.990***
	(0)
288.ID	0.990***
	(0)
289.ID	0.990***
	(0)
290.ID	0.990***
	(0)
291.ID	-0.990***
	(0)
292.ID	1.276***
	(0)
293.ID	-0.990***
	(0)
294.ID	-0.598***
	(0)
295.ID	0.990***
	(0)
296.ID	-0.317***
	(0)
297.ID	0.990***
	(0)
298.ID	0.990***
	(0)
299.ID	1.498***
	(0)
300.ID	0.196***
	(0)
301.ID	-0.990***
	(0)
302.ID	1.498***
	(0)
303.ID	-0.317***
	(0)
304.ID	1.498***
	(0)
305.ID	0.990***
	(0)
306.ID	-0.598***
	(0)
307.ID	-0.447***
	(0)
308.ID	-0.0978***
	(0)
309.ID	-0.775***
	(0)
310.ID	-0.990***
	(0)
311.ID	-2.263***
	(0)
312.ID	0.990***
	(0)
313.ID	-0.775***
	(0)
314.ID	-0.990***
	(0)
315.ID	-0.990***
	(0)
316.ID	-0.598***
	(0)
317.ID	0.990***
	(0)
318.ID	0.990***
	(0)
319.ID	0.990***
	(0)
320.ID	-0.775***
	(0)
321.ID	-0.598***
	(0)
322.ID	1.276***
	(0)
324.ID	0
	(0)
326.ID	0.990***
	(0)
327.ID	0.990***
	(0)
328.ID	0.990***
	(0)
329.ID	-0.990***
	(0)
330.ID	1.276***
	(0)
331.ID	-0.990***
	(0)
332.ID	0.990***
	(0)
333.ID	0.990***
	(0)
334.ID	-0.990***
	(0)
335.ID	-0.990***
	(0)
336.ID	0.921***
	(0)
337.ID	-0.990***
	(0)
338.ID	0.990***
	(0)
339.ID	0.990***
	(0)
340.ID	1.498***
	(0)
341.ID	-0.775***
	(0)
342.ID	-0.990***
	(0)
343.ID	0.990***
	(0)
344.ID	-0.686***
	(0)
345.ID	1.498***
	(0)
346.ID	-2.263***
	(0)
347.ID	-0.598***
	(0)
348.ID	-0.990***
	(0)
349.ID	-2.263***
	(0)
350.ID	-0.990***
	(0)
352.ID	0.990***
	(0)
353.ID	0.587***
	(0)
354.ID	-0.990***
	(0)
355.ID	-0.598***
	(0)
356.ID	-0.775***
	(0)
357.ID	0.990***
	(0)
358.ID	-0.990***
	(0)
359.ID	0.990***
	(0)
361.ID	-0.990***
	(0)
364.ID	1.276***
	(0)
365.ID	-0.990***
	(0)
366.ID	1.276***
	(0)
369.ID	0.990***
	(0)
372.ID	0.990***
	(0)
373.ID	-0.990***
	(0)
375.ID	-0.990***
	(0)
377.ID	0.990***
	(0)
378.ID	-0.990***
	(0)
379.ID	-0.882***
	(0)
381.ID	-1.264***
	(0)
382.ID	-2.263***
	(0)
383.ID	-0.990***
	(0)
385.ID	0.990***
	(0)
386.ID	-1.644***
	(0)
387.ID	-0.990***
	(0)
388.ID	-0.775***
	(0)
389.ID	0.990***
	(0)
390.ID	1.498***
	(0)
391.ID	-0.990***
	(0)
393.ID	0.990***
	(0)
394.ID	0.990***
	(0)
395.ID	0.990***
	(0)
396.ID	0.990***
	(0)
397.ID	-0.990***
	(0)
398.ID	-1.644***
	(0)
399.ID	-0.775***
	(0)
400.ID	0.990***
	(0)
401.ID	-0.0978***
	(0)
402.ID	-0.990***
	(0)
403.ID	-0.990***
	(0)
404.ID	-0.598***
	(0)
405.ID	-0.990***
	(0)
406.ID	0.788***
	(0)
407.ID	0.990***
	(0)
408.ID	1.498***
	(0)
409.ID	-1.644***
	(0)
410.ID	-0.990***
	(0)
411.ID	-1.264***
	(0)
412.ID	0.990***
	(0)
413.ID	-0.598***
	(0)
414.ID	-0.990***
	(0)
415.ID	-0.990***
	(0)
416.ID	-0.775***
	(0)
417.ID	-1.644***
	(0)
418.ID	-0.990***
	(0)
419.ID	-0.990***
	(0)
420.ID	-0.775***
	(0)
421.ID	-0.990***
	(0)
423.ID	0.990***
	(0)
424.ID	0.990***
	(0)
425.ID	0.990***
	(0)
426.ID	-0.990***
	(0)
428.ID	-0.990***
	(0)
429.ID	-0.990***
	(0)
430.ID	1.498***
	(0)
431.ID	-0.775***
	(0)
432.ID	0.990***
	(0)
433.ID	-0.990***
	(0)
434.ID	-0.990***
	(0)
435.ID	1.498***
	(0)
436.ID	-0.775***
	(0)
437.ID	-1.454***
	(0)
438.ID	0.990***
	(0)
439.ID	0.990***
	(0)
440.ID	-0.775***
	(0)
442.ID	0.736***
	(0)
445.ID	-0.990***
	(0)
446.ID	0.990***
	(0)
447.ID	-0.0978***
	(0)
448.ID	0
	(0)
449.ID	0.990***
	(0)
450.ID	-0.990***
	(0)
451.ID	0.990***
	(0)
452.ID	-0.775***
	(0)
454.ID	-0.775***
	(0)
456.ID	-2.263***
	(0)
457.ID	1.498***
	(0)
458.ID	1.498***
	(0)
459.ID	-0.775***
	(0)
460.ID	-0.990***
	(0)
462.ID	0.990***
	(0)
464.ID	0.990***
	(0)
465.ID	-0.0978***
	(0)
467.ID	0.990***
	(0)
468.ID	1.244***
	(0)
470.ID	0.990***
	(0)
471.ID	1.498***
	(0)
473.ID	0.990***
	(0)
474.ID	0.990***
	(0)
475.ID	-0.990***
	(0)
477.ID	1.276***
	(0)
478.ID	1.498***
	(0)
479.ID	0.990***
	(0)
480.ID	-0.0978***
	(0)
481.ID	0.990***
	(0)
482.ID	1.498***
	(0)
483.ID	-1.644***
	(0)
484.ID	1.276***
	(0)
485.ID	1.498***
	(0)
486.ID	-0.990***
	(0)
488.ID	1.498***
	(0)
489.ID	-1.264***
	(0)
490.ID	-0.990***
	(0)
491.ID	-2.270***
	(0.00689)
494.ID	0.990***
	(0)
495.ID	0.990***
	(0)
497.ID	-0.775***
	(0)
498.ID	1.498***
	(0)
499.ID	-0.447***
	(0)
501.ID	-0.775***
	(0)
502.ID	-1.626***
	(0)
503.ID	0.990***
	(0)
504.ID	0.990***
	(0)
505.ID	-0.0978***
	(0)
506.ID	-0.990***
	(0)
507.ID	0.990***
	(0)
508.ID	-0.990***
	(0)
509.ID	-0.990***
	(0)
510.ID	0.990***
	(0)
512.ID	-0.990***
	(0)
514.ID	1.498***
	(0)
515.ID	1.276***
	(0)
518.ID	-0.990***
	(0)
519.ID	-1.264***
	(0)
520.ID	0.990***
	(0)
521.ID	1.276***
	(0)
523.ID	1.276***
	(0)
525.ID	-0.775***
	(0)
526.ID	0.990***
	(0)
527.ID	0.990***
	(0)
528.ID	1.276***
	(0)
529.ID	0.990***
	(0)
530.ID	-0.775***
	(0)
532.ID	0.990***
	(0)
535.ID	-0.990***
	(0)
536.ID	-0.990***
	(0)
538.ID	-0.201***
	(0)
539.ID	-0.990***
	(0)
540.ID	-0.990***
	(0)
542.ID	1.498***
	(0)
543.ID	0.990***
	(0)
544.ID	-0.990***
	(0)
545.ID	-1.644***
	(0)
546.ID	-0.990***
	(0)
548.ID	-0.990***
	(0)
551.ID	0.990***
	(0)
552.ID	-0.990***
	(0)
553.ID	0.990***
	(0)
554.ID	-0.990***
	(0)
555.ID	0.990***
	(0)
556.ID	-0.990***
	(0)
558.ID	0.990***
	(0)
559.ID	0.990***
	(0)
560.ID	1.498***
	(0)
561.ID	1.244***
	(0)
562.ID	-0.990***
	(0)
563.ID	0.536***
	(0)
564.ID	0.990***
	(0)
565.ID	-0.990***
	(0)
567.ID	-0.990***
	(0)
568.ID	-0.990***
	(0)
569.ID	0.990***
	(0)
570.ID	-1.906***
	(0)
571.ID	0.990***
	(0)
573.ID	-0.990***
	(0)
574.ID	0.990***
	(0)
575.ID	0.990***
	(0)
576.ID	-0.990***
	(0)
578.ID	-0.775***
	(0)
579.ID	0.990***
	(0)
580.ID	0.990***
	(0)
581.ID	0.990***
	(0)
582.ID	-0.990***
	(0)
583.ID	-0.990***
	(0)
584.ID	0.990***
	(0)
585.ID	1.498***
	(0)
586.ID	-0.990***
	(0)
587.ID	-0.775***
	(0)
588.ID	-0.990***
	(0)
589.ID	0.990***
	(0)
591.ID	0.0818***
	(0)
592.ID	-0.775***
	(0)
593.ID	-0.990***
	(0)
594.ID	-2.263***
	(0)
595.ID	-0.990***
	(0)
596.ID	-0.990***
	(0)
597.ID	0.990***
	(0)
598.ID	0.587***
	(0)
