	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0232**
	(0.0103)
1.ID	-0
	(0.0164)
2.ID	1.588***
	(0.0164)
3.ID	-0.392***
	(0.0164)
4.ID	1.588***
	(0.0164)
5.ID	-0.177***
	(0.0164)
6.ID	-0.392***
	(0.0164)
7.ID	0.598
	(0.979)
8.ID	-0.177***
	(0.0164)
9.ID	-0.392***
	(0.0164)
10.ID	2.096***
	(0.0164)
12.ID	2.096***
	(0.0164)
14.ID	1.588***
	(0.0164)
15.ID	-0.392***
	(0.0164)
16.ID	1.588***
	(0.0164)
17.ID	-0.392***
	(0.0164)
18.ID	-0.392***
	(0.0164)
19.ID	-0.177***
	(0.0164)
20.ID	1.588***
	(0.0164)
21.ID	-0.177***
	(0.0164)
22.ID	-0
	(0.0164)
23.ID	1.588***
	(0.0164)
24.ID	1.588***
	(0.0164)
25.ID	-0.177***
	(0.0164)
26.ID	-1.046***
	(0.0164)
27.ID	-0.392***
	(0.0164)
28.ID	-0.392***
	(0.0164)
29.ID	-0.392***
	(0.0164)
30.ID	-0.392***
	(0.0164)
31.ID	0.680***
	(0.0164)
32.ID	1.588***
	(0.0164)
33.ID	1.588***
	(0.0164)
34.ID	1.588***
	(0.0164)
35.ID	-0.392***
	(0.0164)
36.ID	-0.392***
	(0.0164)
37.ID	-0.392***
	(0.0164)
38.ID	-0.392***
	(0.0164)
39.ID	1.588***
	(0.0164)
40.ID	1.588***
	(0.0164)
41.ID	-0
	(0.0164)
42.ID	2.096***
	(0.0164)
43.ID	-0.392***
	(0.0164)
46.ID	-0.177***
	(0.0164)
47.ID	-0.666***
	(0.0164)
48.ID	1.588***
	(0.0164)
49.ID	1.588***
	(0.0164)
50.ID	1.588***
	(0.0164)
51.ID	-0.392***
	(0.0164)
52.ID	-0.177***
	(0.0164)
53.ID	1.985***
	(0.100)
54.ID	-0.392***
	(0.0164)
55.ID	-0.392***
	(0.0164)
56.ID	1.588***
	(0.0164)
57.ID	-0.392***
	(0.0164)
58.ID	1.588***
	(0.0164)
59.ID	0.281***
	(0.0164)
60.ID	-0.392***
	(0.0164)
61.ID	-0.392***
	(0.0164)
62.ID	-0.177***
	(0.0164)
63.ID	-0.392***
	(0.0164)
64.ID	1.874***
	(0.0164)
65.ID	0.598
	(1.003)
66.ID	-0.177***
	(0.0164)
67.ID	1.588***
	(0.0164)
68.ID	1.185***
	(0.0164)
69.ID	-0.392***
	(0.0164)
70.ID	1.985***
	(0.100)
71.ID	2.096***
	(0.0164)
72.ID	2.096***
	(0.0164)
73.ID	-0.392***
	(0.0164)
74.ID	2.096***
	(0.0164)
76.ID	-0.392***
	(0.0164)
77.ID	-0.177***
	(0.0164)
78.ID	-0.392***
	(0.0164)
79.ID	-0.392***
	(0.0164)
80.ID	1.588***
	(0.0164)
81.ID	-0.392***
	(0.0164)
82.ID	-0
	(0.0164)
83.ID	-0.177***
	(0.0164)
84.ID	1.842***
	(0.266)
85.ID	1.588***
	(0.0164)
86.ID	1.588***
	(0.0164)
87.ID	1.588***
	(0.0164)
88.ID	2.096***
	(0.0164)
89.ID	-0.392***
	(0.0164)
90.ID	-0.392***
	(0.0164)
91.ID	0.964***
	(0.0164)
92.ID	-1.046***
	(0.0164)
93.ID	-0
	(0.0164)
94.ID	-0.392***
	(0.0164)
95.ID	2.096***
	(0.0164)
96.ID	-0.392***
	(0.0164)
97.ID	-1.308***
	(0.0164)
98.ID	0.500***
	(0.0164)
99.ID	-0.284***
	(0.0967)
100.ID	-0.177***
	(0.0164)
101.ID	-0.392***
	(0.0164)
102.ID	-1.046***
	(0.0164)
103.ID	-0.392***
	(0.0164)
104.ID	-0.392***
	(0.0164)
105.ID	-0.392***
	(0.0164)
106.ID	2.096***
	(0.0164)
107.ID	2.096***
	(0.0164)
108.ID	2.096***
	(0.0164)
109.ID	-0.177***
	(0.0164)
110.ID	-1.046***
	(0.0164)
111.ID	-1.046***
	(0.0164)
112.ID	1.588***
	(0.0164)
113.ID	-0.392***
	(0.0164)
114.ID	0.598
	(0.979)
115.ID	1.588***
	(0.0164)
116.ID	-0.177***
	(0.0164)
117.ID	1.588***
	(0.0164)
118.ID	1.588***
	(0.0164)
120.ID	0.832***
	(0.0164)
121.ID	1.588***
	(0.0164)
122.ID	2.096***
	(0.0164)
123.ID	2.096***
	(0.0164)
125.ID	1.588***
	(0.0164)
126.ID	1.588***
	(0.0164)
127.ID	-1.046***
	(0.0164)
128.ID	-0.177***
	(0.0164)
129.ID	1.588***
	(0.0164)
130.ID	-0.392***
	(0.0164)
131.ID	-0.177***
	(0.0164)
132.ID	-1.046***
	(0.0164)
133.ID	1.588***
	(0.0164)
134.ID	0.500***
	(0.0164)
135.ID	0.598
	(1.003)
136.ID	0.598
	(0.979)
137.ID	1.588***
	(0.0164)
138.ID	2.096***
	(0.0164)
139.ID	-0.392***
	(0.0164)
140.ID	-0
	(0.0164)
142.ID	-0.392***
	(0.0164)
144.ID	-0.392***
	(0.0164)
145.ID	-0.177***
	(0.0164)
146.ID	1.842***
	(0.266)
147.ID	2.096***
	(0.0164)
148.ID	1.588***
	(0.0164)
149.ID	-1.046***
	(0.0164)
150.ID	-0.392***
	(0.0164)
151.ID	-0.177***
	(0.0164)
152.ID	1.588***
	(0.0164)
153.ID	1.588***
	(0.0164)
154.ID	2.096***
	(0.0164)
155.ID	-0.392***
	(0.0164)
156.ID	-0.392***
	(0.0164)
157.ID	1.588***
	(0.0164)
158.ID	1.588***
	(0.0164)
159.ID	-0.177***
	(0.0164)
160.ID	0.598
	(0.979)
161.ID	1.874***
	(0.0164)
163.ID	0.162
	(0.327)
164.ID	-0.392***
	(0.0164)
165.ID	-0.392***
	(0.0164)
166.ID	1.588***
	(0.0164)
167.ID	-0.392***
	(0.0164)
168.ID	1.588***
	(0.0164)
169.ID	1.588***
	(0.0164)
170.ID	-0.177***
	(0.0164)
171.ID	-0.177***
	(0.0164)
172.ID	-0.392***
	(0.0164)
173.ID	1.588***
	(0.0164)
174.ID	0.598
	(1.003)
175.ID	-0.177***
	(0.0164)
176.ID	-0.392***
	(0.0164)
177.ID	1.588***
	(0.0164)
178.ID	-1.046***
	(0.0164)
179.ID	-0.392***
	(0.0164)
180.ID	0.759***
	(0.0164)
181.ID	-1.046***
	(0.0164)
182.ID	-0.392***
	(0.0164)
183.ID	-0.177***
	(0.0164)
184.ID	-0.392***
	(0.0164)
185.ID	0.960
	(1.126)
186.ID	1.386***
	(0.213)
187.ID	2.096***
	(0.0164)
188.ID	1.588***
	(0.0164)
189.ID	-0.177***
	(0.0164)
190.ID	-0.392***
	(0.0164)
191.ID	-0.177***
	(0.0164)
192.ID	-0.392***
	(0.0164)
194.ID	1.588***
	(0.0164)
196.ID	-0.392***
	(0.0164)
197.ID	1.588***
	(0.0164)
198.ID	-0.392***
	(0.0164)
199.ID	-0.392***
	(0.0164)
200.ID	1.588***
	(0.0164)
201.ID	-0.392***
	(0.0164)
202.ID	1.588***
	(0.0164)
203.ID	2.096***
	(0.0164)
204.ID	2.096***
	(0.0164)
205.ID	1.588***
	(0.0164)
206.ID	-0.392***
	(0.0164)
207.ID	-0.392***
	(0.0164)
208.ID	-0.392***
	(0.0164)
209.ID	2.096***
	(0.0164)
210.ID	-0.392***
	(0.0164)
212.ID	-0.392***
	(0.0164)
213.ID	2.096***
	(0.0164)
214.ID	-0.392***
	(0.0164)
217.ID	1.588***
	(0.0164)
218.ID	-0.392***
	(0.0164)
219.ID	-0.177***
	(0.0164)
220.ID	1.588***
	(0.0164)
221.ID	1.588***
	(0.0164)
222.ID	2.096***
	(0.0164)
223.ID	-0.177***
	(0.0164)
224.ID	1.588***
	(0.0164)
225.ID	1.588***
	(0.0164)
226.ID	-0.666***
	(0.0164)
227.ID	1.588***
	(0.0164)
228.ID	2.096***
	(0.0164)
229.ID	1.588***
	(0.0164)
230.ID	1.588***
	(0.0164)
231.ID	1.588***
	(0.0164)
232.ID	-0.392***
	(0.0164)
233.ID	-0.177***
	(0.0164)
234.ID	1.588***
	(0.0164)
235.ID	0.500***
	(0.0164)
236.ID	2.096***
	(0.0164)
237.ID	1.588***
	(0.0164)
238.ID	1.588***
	(0.0164)
239.ID	1.731***
	(0.132)
240.ID	1.588***
	(0.0164)
241.ID	1.588***
	(0.0164)
242.ID	-0.392***
	(0.0164)
243.ID	1.185***
	(0.0164)
244.ID	1.874***
	(0.0164)
245.ID	-0.392***
	(0.0164)
246.ID	1.588***
	(0.0164)
247.ID	1.588***
	(0.0164)
248.ID	-0
	(0.0164)
249.ID	-0.392***
	(0.0164)
250.ID	2.096***
	(0.0164)
251.ID	-0.392***
	(0.0164)
252.ID	-0.177***
	(0.0164)
253.ID	-0.392***
	(0.0164)
254.ID	-0.392***
	(0.0164)
255.ID	2.096***
	(0.0164)
256.ID	1.588***
	(0.0164)
257.ID	1.588***
	(0.0164)
258.ID	-0.392***
	(0.0164)
259.ID	1.588***
	(0.0164)
260.ID	1.588***
	(0.0164)
261.ID	-1.046***
	(0.0164)
263.ID	-0.392***
	(0.0164)
264.ID	2.096***
	(0.0164)
266.ID	1.588***
	(0.0164)
267.ID	-0.177***
	(0.0164)
268.ID	1.588***
	(0.0164)
269.ID	0.598
	(0.979)
270.ID	1.588***
	(0.0164)
271.ID	-0.392***
	(0.0164)
272.ID	2.096***
	(0.0164)
274.ID	-0.392***
	(0.0164)
275.ID	-0.177***
	(0.0164)
276.ID	1.185***
	(0.0164)
277.ID	1.588***
	(0.0164)
278.ID	-0.838***
	(0.0164)
279.ID	-0.177***
	(0.0164)
280.ID	1.588***
	(0.0164)
282.ID	-0.666***
	(0.0164)
283.ID	-0.392***
	(0.0164)
284.ID	-0.392***
	(0.0164)
285.ID	-0.392***
	(0.0164)
286.ID	-0.392***
	(0.0164)
288.ID	1.588***
	(0.0164)
289.ID	1.588***
	(0.0164)
290.ID	1.588***
	(0.0164)
291.ID	-0.392***
	(0.0164)
292.ID	1.731***
	(0.155)
293.ID	-0.392***
	(0.0164)
294.ID	-0.196
	(0.208)
295.ID	-0.392***
	(0.0164)
296.ID	0.281***
	(0.0164)
297.ID	1.588***
	(0.0164)
298.ID	1.588***
	(0.0164)
299.ID	2.096***
	(0.0164)
300.ID	-0.177***
	(0.0164)
301.ID	-0.392***
	(0.0164)
302.ID	2.096***
	(0.0164)
303.ID	0.281***
	(0.0164)
304.ID	2.096***
	(0.0164)
305.ID	1.588***
	(0.0164)
306.ID	-0
	(0.0164)
307.ID	-0.177***
	(0.0164)
308.ID	0.500***
	(0.0164)
309.ID	-0.284***
	(0.0967)
310.ID	-0.392***
	(0.0164)
311.ID	-1.665***
	(0.0164)
312.ID	1.588***
	(0.0164)
313.ID	-0.284***
	(0.0967)
314.ID	-0
	(0.0164)
315.ID	-0.392***
	(0.0164)
316.ID	0.0116
	(0.0127)
317.ID	1.588***
	(0.0164)
318.ID	1.588***
	(0.0164)
319.ID	1.588***
	(0.0164)
320.ID	-0.177***
	(0.0164)
321.ID	-0
	(0.0164)
322.ID	1.874***
	(0.0164)
323.ID	-0.177***
	(0.0164)
324.ID	0.598
	(1.003)
325.ID	-0.392***
	(0.0164)
326.ID	1.588***
	(0.0164)
327.ID	1.588***
	(0.0164)
328.ID	1.588***
	(0.0164)
329.ID	-0.392***
	(0.0164)
330.ID	1.874***
	(0.0164)
331.ID	-0.392***
	(0.0164)
332.ID	1.588***
	(0.0164)
333.ID	1.588***
	(0.0164)
334.ID	-0.392***
	(0.0164)
335.ID	-0.392***
	(0.0164)
336.ID	1.519***
	(0.0164)
337.ID	-0.392***
	(0.0164)
338.ID	1.588***
	(0.0164)
339.ID	1.588***
	(0.0164)
340.ID	2.096***
	(0.0164)
341.ID	-0.177***
	(0.0164)
342.ID	-0.392***
	(0.0164)
343.ID	1.588***
	(0.0164)
344.ID	-0.177***
	(0.0164)
345.ID	2.096***
	(0.0164)
346.ID	-1.665***
	(0.0164)
347.ID	-0
	(0.0164)
348.ID	-0.392***
	(0.0164)
349.ID	-1.665***
	(0.0164)
350.ID	-0.392***
	(0.0164)
352.ID	1.588***
	(0.0164)
353.ID	1.185***
	(0.0164)
354.ID	-0.392***
	(0.0164)
355.ID	-0
	(0.0164)
356.ID	-0.177***
	(0.0164)
357.ID	1.588***
	(0.0164)
358.ID	-0.392***
	(0.0164)
359.ID	1.588***
	(0.0164)
361.ID	-0.392***
	(0.0164)
364.ID	1.874***
	(0.0164)
365.ID	-0.392***
	(0.0164)
366.ID	1.985***
	(0.100)
369.ID	1.588***
	(0.0164)
370.ID	1.588***
	(0.0164)
372.ID	1.588***
	(0.0164)
373.ID	-0.392***
	(0.0164)
374.ID	1.588***
	(0.0164)
375.ID	-0.392***
	(0.0164)
377.ID	0.598
	(0.979)
378.ID	-0.392***
	(0.0164)
379.ID	-0.392***
	(0.0164)
381.ID	-0.856***
	(0.179)
382.ID	-1.665***
	(0.0164)
383.ID	-0.392***
	(0.0164)
385.ID	1.588***
	(0.0164)
386.ID	-1.046***
	(0.0164)
387.ID	-0.392***
	(0.0164)
388.ID	-0.177***
	(0.0164)
389.ID	1.588***
	(0.0164)
390.ID	1.588***
	(0.0164)
391.ID	-0.392***
	(0.0164)
393.ID	1.588***
	(0.0164)
394.ID	1.588***
	(0.0164)
395.ID	1.588***
	(0.0164)
396.ID	1.588***
	(0.0164)
397.ID	-0.392***
	(0.0164)
398.ID	-1.046***
	(0.0164)
399.ID	-0.177***
	(0.0164)
400.ID	1.588***
	(0.0164)
401.ID	0.500***
	(0.0164)
402.ID	-0.392***
	(0.0164)
403.ID	-0.392***
	(0.0164)
404.ID	-0
	(0.0164)
405.ID	-0.392***
	(0.0164)
406.ID	1.185***
	(0.0164)
407.ID	1.588***
	(0.0164)
408.ID	2.096***
	(0.0164)
409.ID	-1.046***
	(0.0164)
410.ID	-0.392***
	(0.0164)
411.ID	-0.529***
	(0.149)
412.ID	1.588***
	(0.0164)
413.ID	-0
	(0.0164)
414.ID	-0.392***
	(0.0164)
415.ID	-0.392***
	(0.0164)
416.ID	-0.177***
	(0.0164)
417.ID	0.271
	(1.330)
418.ID	-0.392***
	(0.0164)
419.ID	-0.392***
	(0.0164)
420.ID	-0.177***
	(0.0164)
421.ID	-0.392***
	(0.0164)
423.ID	1.588***
	(0.0164)
424.ID	1.588***
	(0.0164)
425.ID	1.588***
	(0.0164)
426.ID	-0.392***
	(0.0164)
428.ID	-0.392***
	(0.0164)
429.ID	-0.392***
	(0.0164)
430.ID	2.096***
	(0.0164)
431.ID	-0.177***
	(0.0164)
432.ID	1.588***
	(0.0164)
433.ID	-0.392***
	(0.0164)
434.ID	-0.392***
	(0.0164)
435.ID	2.096***
	(0.0164)
436.ID	-0.177***
	(0.0164)
437.ID	-1.046***
	(0.0164)
438.ID	1.588***
	(0.0164)
439.ID	1.588***
	(0.0164)
440.ID	-0.177***
	(0.0164)
441.ID	1.588***
	(0.0164)
442.ID	1.080***
	(0.0164)
445.ID	-0.392***
	(0.0164)
446.ID	1.588***
	(0.0164)
447.ID	0.500***
	(0.0164)
448.ID	1.588***
	(0.0164)
449.ID	1.588***
	(0.0164)
450.ID	-0.392***
	(0.0164)
451.ID	1.588***
	(0.0164)
452.ID	-0.177***
	(0.0164)
453.ID	2.096***
	(0.0164)
454.ID	-0.177***
	(0.0164)
455.ID	1.588***
	(0.0164)
456.ID	-1.665***
	(0.0164)
457.ID	2.096***
	(0.0164)
458.ID	2.096***
	(0.0164)
459.ID	-0.177***
	(0.0164)
460.ID	-0.392***
	(0.0164)
461.ID	2.096***
	(0.0164)
