	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0160*
	(0.00846)
1.ID	-0
	(0.0113)
2.ID	1.588***
	(0.0113)
3.ID	-0.392***
	(0.0113)
4.ID	1.588***
	(0.0113)
5.ID	-0.177***
	(0.0113)
6.ID	-0.392***
	(0.0113)
7.ID	1.588***
	(0.0113)
8.ID	-0.177***
	(0.0113)
9.ID	-0.392***
	(0.0113)
10.ID	1.985***
	(0.104)
12.ID	2.096***
	(0.0113)
14.ID	1.588***
	(0.0113)
15.ID	-0.392***
	(0.0113)
16.ID	1.588***
	(0.0113)
17.ID	1.588***
	(0.0113)
18.ID	-0.392***
	(0.0113)
19.ID	-0.177***
	(0.0113)
20.ID	1.588***
	(0.0113)
21.ID	-0.177***
	(0.0113)
22.ID	-0
	(0.0113)
23.ID	1.588***
	(0.0113)
24.ID	1.588***
	(0.0113)
25.ID	-0.177***
	(0.0113)
26.ID	-1.046***
	(0.0113)
27.ID	-0.392***
	(0.0113)
28.ID	-0.392***
	(0.0113)
29.ID	-0.392***
	(0.0113)
30.ID	-0.392***
	(0.0113)
31.ID	0.680***
	(0.0113)
32.ID	1.588***
	(0.0113)
33.ID	1.588***
	(0.0113)
34.ID	1.588***
	(0.0113)
35.ID	-0.392***
	(0.0113)
36.ID	-0.392***
	(0.0113)
37.ID	-0.392***
	(0.0113)
38.ID	-0.392***
	(0.0113)
39.ID	1.588***
	(0.0113)
40.ID	1.588***
	(0.0113)
41.ID	-0
	(0.0113)
42.ID	2.096***
	(0.0113)
43.ID	-0.392***
	(0.0113)
46.ID	-0.177***
	(0.0113)
47.ID	-0.666***
	(0.0113)
48.ID	1.588***
	(0.0113)
49.ID	1.588***
	(0.0113)
50.ID	1.588***
	(0.0113)
51.ID	-0.392***
	(0.0113)
52.ID	-0.177***
	(0.0113)
53.ID	1.842***
	(0.263)
54.ID	-0.392***
	(0.0113)
55.ID	-0.392***
	(0.0113)
56.ID	1.588***
	(0.0113)
57.ID	-0.392***
	(0.0113)
58.ID	1.588***
	(0.0113)
59.ID	0.281***
	(0.0113)
60.ID	-0.392***
	(0.0113)
61.ID	-0.392***
	(0.0113)
62.ID	-0.177***
	(0.0113)
63.ID	-0.392***
	(0.0113)
64.ID	1.588***
	(0.0113)
65.ID	-0.392***
	(0.0113)
66.ID	-0.177***
	(0.0113)
67.ID	1.588***
	(0.0113)
68.ID	1.185***
	(0.0113)
69.ID	-0.392***
	(0.0113)
70.ID	2.096***
	(0.0113)
71.ID	2.096***
	(0.0113)
72.ID	2.096***
	(0.0113)
73.ID	-0.392***
	(0.0113)
74.ID	2.096***
	(0.0113)
76.ID	-0.392***
	(0.0113)
77.ID	-0.177***
	(0.0113)
78.ID	-0.392***
	(0.0113)
79.ID	-0.392***
	(0.0113)
80.ID	1.588***
	(0.0113)
81.ID	-0.392***
	(0.0113)
82.ID	-0
	(0.0113)
83.ID	-0.177***
	(0.0113)
84.ID	1.588***
	(0.0113)
85.ID	1.588***
	(0.0113)
86.ID	1.588***
	(0.0113)
87.ID	1.588***
	(0.0113)
88.ID	2.096***
	(0.0113)
89.ID	-0.392***
	(0.0113)
90.ID	-0.392***
	(0.0113)
91.ID	0.964***
	(0.0113)
92.ID	-1.046***
	(0.0113)
93.ID	-0
	(0.0113)
94.ID	-0.392***
	(0.0113)
95.ID	2.096***
	(0.0113)
96.ID	-0.392***
	(0.0113)
97.ID	-1.308***
	(0.0113)
98.ID	0.500***
	(0.0113)
99.ID	-0.177***
	(0.0113)
100.ID	-0.177***
	(0.0113)
101.ID	-0.392***
	(0.0113)
102.ID	-1.046***
	(0.0113)
103.ID	-0.392***
	(0.0113)
104.ID	-0.392***
	(0.0113)
105.ID	-0.392***
	(0.0113)
106.ID	2.096***
	(0.0113)
107.ID	2.096***
	(0.0113)
108.ID	2.096***
	(0.0113)
109.ID	-0.177***
	(0.0113)
110.ID	-1.046***
	(0.0113)
111.ID	-1.355***
	(0.318)
112.ID	1.588***
	(0.0113)
113.ID	-0.392***
	(0.0113)
114.ID	1.588***
	(0.0113)
115.ID	1.588***
	(0.0113)
116.ID	-0.177***
	(0.0113)
117.ID	1.588***
	(0.0113)
118.ID	1.588***
	(0.0113)
119.ID	2.096***
	(0.0113)
120.ID	0.832***
	(0.0113)
121.ID	1.588***
	(0.0113)
122.ID	2.096***
	(0.0113)
123.ID	2.096***
	(0.0113)
125.ID	1.588***
	(0.0113)
126.ID	1.588***
	(0.0113)
127.ID	-1.046***
	(0.0113)
128.ID	-0.177***
	(0.0113)
129.ID	1.588***
	(0.0113)
130.ID	-0.392***
	(0.0113)
131.ID	-0.177***
	(0.0113)
132.ID	-1.046***
	(0.0113)
133.ID	1.588***
	(0.0113)
134.ID	0.500***
	(0.0113)
135.ID	1.588***
	(0.0113)
136.ID	0.598
	(0.999)
137.ID	1.588***
	(0.0113)
138.ID	1.842***
	(0.247)
139.ID	-0.392***
	(0.0113)
140.ID	-0
	(0.0113)
142.ID	-0.392***
	(0.0113)
144.ID	-0.392***
	(0.0113)
145.ID	-0.177***
	(0.0113)
146.ID	1.842***
	(0.247)
147.ID	2.096***
	(0.0113)
148.ID	1.588***
	(0.0113)
149.ID	-1.046***
	(0.0113)
150.ID	-0.392***
	(0.0113)
151.ID	-0.177***
	(0.0113)
152.ID	1.588***
	(0.0113)
153.ID	1.588***
	(0.0113)
154.ID	2.096***
	(0.0113)
155.ID	-0.392***
	(0.0113)
156.ID	-0.392***
	(0.0113)
157.ID	1.588***
	(0.0113)
158.ID	1.588***
	(0.0113)
159.ID	-0.177***
	(0.0113)
160.ID	1.588***
	(0.0113)
161.ID	1.874***
	(0.0113)
163.ID	-0.177***
	(0.0113)
164.ID	-0.392***
	(0.0113)
165.ID	-0.392***
	(0.0113)
166.ID	1.588***
	(0.0113)
167.ID	-0.392***
	(0.0113)
168.ID	1.588***
	(0.0113)
169.ID	1.588***
	(0.0113)
170.ID	-0.177***
	(0.0113)
171.ID	-0.0885
	(0.0809)
172.ID	-0.392***
	(0.0113)
173.ID	1.588***
	(0.0113)
174.ID	1.588***
	(0.0113)
175.ID	-0.177***
	(0.0113)
176.ID	-0.392***
	(0.0113)
177.ID	1.588***
	(0.0113)
178.ID	-1.046***
	(0.0113)
179.ID	-0.392***
	(0.0113)
180.ID	0.719***
	(0.0482)
181.ID	-1.046***
	(0.0113)
182.ID	-0.392***
	(0.0113)
183.ID	-0.177***
	(0.0113)
184.ID	-0.392***
	(0.0113)
185.ID	2.096***
	(0.0113)
186.ID	1.588***
	(0.0113)
187.ID	2.096***
	(0.0113)
188.ID	1.588***
	(0.0113)
189.ID	-0.177***
	(0.0113)
190.ID	-0.392***
	(0.0113)
191.ID	-0.177***
	(0.0113)
192.ID	-0.392***
	(0.0113)
194.ID	1.588***
	(0.0113)
196.ID	-0.392***
	(0.0113)
197.ID	1.588***
	(0.0113)
198.ID	-0.392***
	(0.0113)
199.ID	-0.392***
	(0.0113)
200.ID	1.588***
	(0.0113)
201.ID	-0.392***
	(0.0113)
202.ID	1.588***
	(0.0113)
203.ID	2.096***
	(0.0113)
204.ID	2.096***
	(0.0113)
205.ID	1.588***
	(0.0113)
206.ID	-0.392***
	(0.0113)
207.ID	-0.392***
	(0.0113)
208.ID	-0.392***
	(0.0113)
209.ID	2.096***
	(0.0113)
210.ID	-0.392***
	(0.0113)
212.ID	-0.719**
	(0.319)
213.ID	2.096***
	(0.0113)
214.ID	0.598
	(0.983)
217.ID	1.588***
	(0.0113)
218.ID	-0.392***
	(0.0113)
219.ID	-0.177***
	(0.0113)
220.ID	1.588***
	(0.0113)
221.ID	1.588***
	(0.0113)
222.ID	2.096***
	(0.0113)
223.ID	-0.177***
	(0.0113)
224.ID	1.588***
	(0.0113)
225.ID	1.588***
	(0.0113)
226.ID	-0.666***
	(0.0113)
227.ID	1.588***
	(0.0113)
228.ID	2.096***
	(0.0113)
229.ID	1.588***
	(0.0113)
230.ID	1.588***
	(0.0113)
231.ID	1.588***
	(0.0113)
232.ID	-0.392***
	(0.0113)
233.ID	-0.177***
	(0.0113)
234.ID	1.588***
	(0.0113)
235.ID	0.500***
	(0.0113)
236.ID	2.096***
	(0.0113)
237.ID	1.588***
	(0.0113)
238.ID	1.588***
	(0.0113)
239.ID	1.588***
	(0.0113)
240.ID	1.588***
	(0.0113)
241.ID	1.588***
	(0.0113)
242.ID	-0.392***
	(0.0113)
243.ID	0.396
	(0.797)
244.ID	1.874***
	(0.0113)
245.ID	-0.392***
	(0.0113)
246.ID	1.588***
	(0.0113)
247.ID	1.588***
	(0.0113)
248.ID	-0
	(0.0113)
249.ID	-0.392***
	(0.0113)
250.ID	-0.284***
	(0.1000)
251.ID	-0.392***
	(0.0113)
252.ID	-0.177***
	(0.0113)
253.ID	-0.392***
	(0.0113)
254.ID	-0.392***
	(0.0113)
255.ID	2.096***
	(0.0113)
256.ID	1.588***
	(0.0113)
257.ID	1.588***
	(0.0113)
258.ID	-0.392***
	(0.0113)
259.ID	1.588***
	(0.0113)
260.ID	1.588***
	(0.0113)
261.ID	-1.046***
	(0.0113)
263.ID	-0.392***
	(0.0113)
264.ID	2.096***
	(0.0113)
266.ID	1.588***
	(0.0113)
267.ID	-0.177***
	(0.0113)
268.ID	1.588***
	(0.0113)
269.ID	0.598
	(0.999)
270.ID	1.588***
	(0.0113)
271.ID	-0.392***
	(0.0113)
272.ID	2.096***
	(0.0113)
274.ID	-0.392***
	(0.0113)
275.ID	-0.177***
	(0.0113)
276.ID	1.185***
	(0.0113)
277.ID	1.588***
	(0.0113)
278.ID	-0.838***
	(0.0113)
279.ID	-0.177***
	(0.0113)
280.ID	1.588***
	(0.0113)
282.ID	-0.666***
	(0.0113)
283.ID	-0.392***
	(0.0113)
284.ID	-0.392***
	(0.0113)
285.ID	-0.392***
	(0.0113)
286.ID	-0.392***
	(0.0113)
288.ID	1.588***
	(0.0113)
289.ID	1.588***
	(0.0113)
290.ID	1.588***
	(0.0113)
291.ID	-0.392***
	(0.0113)
292.ID	1.874***
	(0.0113)
293.ID	-0.392***
	(0.0113)
294.ID	-0
	(0.0113)
295.ID	1.588***
	(0.0113)
296.ID	0.281***
	(0.0113)
297.ID	1.588***
	(0.0113)
298.ID	1.588***
	(0.0113)
299.ID	2.096***
	(0.0113)
300.ID	-0
	(0.0113)
301.ID	-0.392***
	(0.0113)
302.ID	2.096***
	(0.0113)
303.ID	0.281***
	(0.0113)
304.ID	2.096***
	(0.0113)
305.ID	1.588***
	(0.0113)
306.ID	-0
	(0.0113)
307.ID	-0.177***
	(0.0113)
308.ID	0.500***
	(0.0113)
309.ID	-0.177***
	(0.0113)
310.ID	-0.392***
	(0.0113)
311.ID	-1.665***
	(0.0113)
312.ID	1.588***
	(0.0113)
313.ID	-0.177***
	(0.0113)
314.ID	-0
	(0.0113)
315.ID	-0.392***
	(0.0113)
316.ID	0.794
	(0.786)
317.ID	1.588***
	(0.0113)
318.ID	1.588***
	(0.0113)
319.ID	1.588***
	(0.0113)
320.ID	-0.177***
	(0.0113)
321.ID	-0
	(0.0113)
322.ID	1.874***
	(0.0113)
323.ID	2.096***
	(0.0113)
324.ID	0.598
	(0.983)
325.ID	-0.392***
	(0.0113)
326.ID	1.588***
	(0.0113)
327.ID	1.588***
	(0.0113)
328.ID	1.588***
	(0.0113)
329.ID	-0.392***
	(0.0113)
330.ID	1.874***
	(0.0113)
331.ID	-0.392***
	(0.0113)
332.ID	1.588***
	(0.0113)
333.ID	1.080***
	(0.0113)
334.ID	-0.392***
	(0.0113)
335.ID	-0.392***
	(0.0113)
336.ID	1.519***
	(0.0113)
337.ID	-0.392***
	(0.0113)
338.ID	1.588***
	(0.0113)
339.ID	1.588***
	(0.0113)
340.ID	2.096***
	(0.0113)
341.ID	-0.177***
	(0.0113)
342.ID	-0.392***
	(0.0113)
343.ID	1.588***
	(0.0113)
344.ID	-0.177***
	(0.0113)
345.ID	1.588***
	(0.0113)
346.ID	-1.665***
	(0.0113)
347.ID	-0
	(0.0113)
348.ID	-0.392***
	(0.0113)
349.ID	-1.665***
	(0.0113)
350.ID	-0.392***
	(0.0113)
352.ID	1.588***
	(0.0113)
353.ID	1.185***
	(0.0113)
354.ID	-0.392***
	(0.0113)
355.ID	-0
	(0.0113)
356.ID	-0.177***
	(0.0113)
357.ID	1.588***
	(0.0113)
358.ID	-0.392***
	(0.0113)
359.ID	1.588***
	(0.0113)
361.ID	-0.392***
	(0.0113)
364.ID	1.874***
	(0.0113)
365.ID	-0.392***
	(0.0113)
366.ID	2.096***
	(0.0113)
369.ID	1.588***
	(0.0113)
370.ID	1.588***
	(0.0113)
372.ID	1.588***
	(0.0113)
373.ID	-0.392***
	(0.0113)
374.ID	1.588***
	(0.0113)
375.ID	-0.392***
	(0.0113)
377.ID	-0.392***
	(0.0113)
378.ID	-0.392***
	(0.0113)
379.ID	-0.284***
	(0.1000)
381.ID	-0.856***
	(0.198)
382.ID	-1.665***
	(0.0113)
383.ID	-0.392***
	(0.0113)
385.ID	1.588***
	(0.0113)
386.ID	-1.046***
	(0.0113)
387.ID	-0.392***
	(0.0113)
388.ID	-0.177***
	(0.0113)
389.ID	1.588***
	(0.0113)
390.ID	2.096***
	(0.0113)
391.ID	-0.392***
	(0.0113)
393.ID	1.588***
	(0.0113)
394.ID	1.588***
	(0.0113)
395.ID	1.588***
	(0.0113)
396.ID	1.588***
	(0.0113)
397.ID	-0.392***
	(0.0113)
398.ID	-1.046***
	(0.0113)
399.ID	-0.177***
	(0.0113)
400.ID	1.588***
	(0.0113)
401.ID	0.500***
	(0.0113)
402.ID	-0.392***
	(0.0113)
403.ID	-0.392***
	(0.0113)
404.ID	-0
	(0.0113)
405.ID	-0.392***
	(0.0113)
406.ID	1.185***
	(0.0113)
407.ID	1.588***
	(0.0113)
408.ID	2.096***
	(0.0113)
409.ID	-1.046***
	(0.0113)
410.ID	-0.392***
	(0.0113)
411.ID	-0.666***
	(0.0113)
412.ID	1.588***
	(0.0113)
413.ID	-0
	(0.0113)
414.ID	-0.392***
	(0.0113)
415.ID	-0.392***
	(0.0113)
416.ID	-0.177***
	(0.0113)
417.ID	-1.046***
	(0.0113)
418.ID	-0.392***
	(0.0113)
419.ID	-0.392***
	(0.0113)
420.ID	-0.177***
	(0.0113)
421.ID	-0.392***
	(0.0113)
423.ID	1.588***
	(0.0113)
424.ID	1.588***
	(0.0113)
425.ID	1.588***
	(0.0113)
426.ID	-0.392***
	(0.0113)
428.ID	-0.392***
	(0.0113)
429.ID	-0.392***
	(0.0113)
430.ID	2.096***
	(0.0113)
431.ID	-0.177***
	(0.0113)
432.ID	1.588***
	(0.0113)
433.ID	-0.392***
	(0.0113)
435.ID	1.842***
	(0.263)
436.ID	-0.177***
	(0.0113)
437.ID	-1.046***
	(0.0113)
438.ID	1.588***
	(0.0113)
439.ID	1.588***
	(0.0113)
440.ID	-0.177***
	(0.0113)
441.ID	1.588***
	(0.0113)
442.ID	1.080***
	(0.0113)
445.ID	-0.392***
	(0.0113)
446.ID	1.588***
	(0.0113)
447.ID	0.500***
	(0.0113)
448.ID	0.598
	(0.983)
449.ID	1.588***
	(0.0113)
450.ID	-0.392***
	(0.0113)
451.ID	1.588***
	(0.0113)
452.ID	-0.177***
	(0.0113)
454.ID	-0.177***
	(0.0113)
456.ID	-1.665***
	(0.0113)
457.ID	2.096***
	(0.0113)
458.ID	2.096***
	(0.0113)
459.ID	-0.177***
	(0.0113)
460.ID	-0.392***
	(0.0113)
461.ID	2.096***
	(0.0113)
462.ID	1.588***
	(0.0113)
464.ID	1.588***
