	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0206**
	(0.00904)
2.treated	-0.0109
	(0.00975)
1.ID	0.131
	(0.126)
2.ID	1.718***
	(0.126)
3.ID	-0.261**
	(0.126)
4.ID	1.718***
	(0.126)
5.ID	-0.118
	(0.145)
6.ID	0.399
	(0.673)
7.ID	0.399
	(0.667)
8.ID	0.0127
	(0.141)
9.ID	-0.261**
	(0.126)
10.ID	2.227***
	(0.126)
12.ID	2.227***
	(0.126)
14.ID	1.718***
	(0.126)
15.ID	-0.261**
	(0.126)
16.ID	1.718***
	(0.126)
17.ID	-0.261**
	(0.126)
18.ID	-0.261**
	(0.126)
19.ID	-0.0463
	(0.126)
20.ID	1.718***
	(0.126)
21.ID	-0.0463
	(0.126)
22.ID	0.131
	(0.126)
23.ID	1.718***
	(0.126)
24.ID	1.718***
	(0.126)
25.ID	-0.0463
	(0.126)
26.ID	-0.915***
	(0.126)
27.ID	-0.261**
	(0.126)
28.ID	-0.261**
	(0.126)
29.ID	-0.261**
	(0.126)
30.ID	-0.261**
	(0.126)
31.ID	0.810***
	(0.126)
32.ID	1.718***
	(0.126)
33.ID	1.718***
	(0.126)
34.ID	1.718***
	(0.126)
35.ID	-0.261**
	(0.126)
36.ID	-0.261**
	(0.126)
37.ID	-0.261**
	(0.126)
38.ID	-0.261**
	(0.126)
39.ID	1.718***
	(0.126)
40.ID	1.718***
	(0.126)
41.ID	0.131
	(0.126)
42.ID	2.227***
	(0.126)
43.ID	-0.261**
	(0.126)
46.ID	-0.0463
	(0.126)
47.ID	-0.536***
	(0.126)
48.ID	1.718***
	(0.126)
49.ID	1.718***
	(0.126)
50.ID	1.718***
	(0.126)
51.ID	-0.261**
	(0.126)
52.ID	-0.0463
	(0.126)
53.ID	1.888***
	(0.207)
54.ID	-0.261**
	(0.126)
55.ID	0.399
	(0.673)
56.ID	1.718***
	(0.126)
57.ID	-0.261**
	(0.126)
59.ID	0.412***
	(0.126)
60.ID	-0.261**
	(0.126)
61.ID	-0.261**
	(0.126)
62.ID	-0.0463
	(0.126)
63.ID	-0.261**
	(0.126)
64.ID	1.909***
	(0.161)
65.ID	-0.261**
	(0.126)
66.ID	-0.0463
	(0.126)
67.ID	1.718***
	(0.126)
68.ID	1.316***
	(0.126)
69.ID	-0.261**
	(0.126)
70.ID	2.227***
	(0.126)
71.ID	2.227***
	(0.126)
72.ID	2.227***
	(0.126)
73.ID	-0.261**
	(0.126)
74.ID	2.227***
	(0.126)
76.ID	-0.261**
	(0.126)
77.ID	-0.0463
	(0.126)
78.ID	-0.261**
	(0.126)
79.ID	-0.261**
	(0.126)
80.ID	1.718***
	(0.126)
81.ID	-0.261**
	(0.126)
82.ID	0.131
	(0.126)
83.ID	-0.0463
	(0.126)
84.ID	2.079***
	(0.143)
85.ID	1.718***
	(0.126)
86.ID	1.718***
	(0.126)
87.ID	1.718***
	(0.126)
88.ID	2.227***
	(0.126)
89.ID	-0.261**
	(0.126)
90.ID	-0.261**
	(0.126)
91.ID	1.302***
	(0.243)
92.ID	-0.915***
	(0.126)
93.ID	0.131
	(0.126)
94.ID	-0.261**
	(0.126)
95.ID	2.227***
	(0.126)
96.ID	-0.261**
	(0.126)
97.ID	-1.178***
	(0.126)
98.ID	0.631***
	(0.126)
99.ID	-0.118
	(0.145)
100.ID	-0.0463
	(0.126)
101.ID	-0.261**
	(0.126)
102.ID	-0.915***
	(0.126)
103.ID	-0.261**
	(0.126)
104.ID	-0.261**
	(0.126)
105.ID	-0.261**
	(0.126)
106.ID	2.227***
	(0.126)
107.ID	2.227***
	(0.126)
108.ID	2.227***
	(0.126)
109.ID	-0.0463
	(0.126)
110.ID	-0.915***
	(0.126)
111.ID	-0.915***
	(0.126)
112.ID	1.718***
	(0.126)
113.ID	-0.261**
	(0.126)
114.ID	-0.261**
	(0.126)
115.ID	1.718***
	(0.126)
116.ID	-0.0463
	(0.126)
117.ID	1.718***
	(0.126)
118.ID	1.718***
	(0.126)
119.ID	2.227***
	(0.126)
120.ID	0.962***
	(0.126)
121.ID	1.718***
	(0.126)
122.ID	2.227***
	(0.126)
123.ID	2.227***
	(0.126)
125.ID	1.718***
	(0.126)
126.ID	1.718***
	(0.126)
127.ID	-0.915***
	(0.126)
128.ID	-0.0463
	(0.126)
129.ID	1.718***
	(0.126)
130.ID	-0.353**
	(0.153)
131.ID	-0.0463
	(0.126)
132.ID	-0.915***
	(0.126)
133.ID	1.718***
	(0.126)
134.ID	0.631***
	(0.126)
135.ID	1.718***
	(0.126)
136.ID	1.718***
	(0.126)
137.ID	1.718***
	(0.126)
138.ID	2.227***
	(0.126)
139.ID	-0.261**
	(0.126)
140.ID	0.131
	(0.126)
142.ID	-0.261**
	(0.126)
144.ID	-0.261**
	(0.126)
145.ID	-0.0463
	(0.126)
146.ID	1.888***
	(0.207)
147.ID	2.227***
	(0.126)
148.ID	1.718***
	(0.126)
149.ID	-0.915***
	(0.126)
150.ID	-0.261**
	(0.126)
151.ID	-0.0463
	(0.126)
152.ID	1.058
	(0.672)
153.ID	1.718***
	(0.126)
154.ID	1.300*
	(0.707)
155.ID	-0.261**
	(0.126)
156.ID	-0.261**
	(0.126)
157.ID	1.718***
	(0.126)
158.ID	1.130*
	(0.602)
159.ID	-0.0463
	(0.126)
160.ID	1.718***
	(0.126)
161.ID	2.005***
	(0.126)
163.ID	0.405
	(0.258)
164.ID	-0.261**
	(0.126)
165.ID	-0.261**
	(0.126)
166.ID	1.718***
	(0.126)
167.ID	-0.261**
	(0.126)
168.ID	1.718***
	(0.126)
169.ID	1.718***
	(0.126)
170.ID	0.542
	(0.602)
171.ID	0.179
	(0.259)
172.ID	-0.261**
	(0.126)
173.ID	1.718***
	(0.126)
174.ID	1.718***
	(0.126)
175.ID	-0.0463
	(0.126)
176.ID	-0.261**
	(0.126)
177.ID	1.718***
	(0.126)
178.ID	-1.122***
	(0.242)
179.ID	-0.261**
	(0.126)
180.ID	0.889***
	(0.126)
181.ID	-0.915***
	(0.126)
182.ID	-0.261**
	(0.126)
183.ID	-0.0463
	(0.126)
184.ID	-0.261**
	(0.126)
185.ID	1.300*
	(0.700)
186.ID	1.584***
	(0.184)
187.ID	2.227***
	(0.126)
188.ID	1.718***
	(0.126)
189.ID	-0.0463
	(0.126)
190.ID	-0.261**
	(0.126)
191.ID	-0.0463
	(0.126)
192.ID	0.399
	(0.673)
194.ID	1.718***
	(0.126)
196.ID	-0.261**
	(0.126)
197.ID	1.718***
	(0.126)
198.ID	-0.261**
	(0.126)
199.ID	-0.261**
	(0.126)
200.ID	1.718***
	(0.126)
201.ID	-0.261**
	(0.126)
202.ID	1.718***
	(0.126)
203.ID	2.227***
	(0.126)
204.ID	2.227***
	(0.126)
205.ID	1.718***
	(0.126)
206.ID	-0.261**
	(0.126)
207.ID	-0.261**
	(0.126)
208.ID	-0.261**
	(0.126)
209.ID	2.227***
	(0.126)
210.ID	-0.261**
	(0.126)
212.ID	-0.261**
	(0.126)
213.ID	2.227***
	(0.126)
214.ID	-0.261**
	(0.126)
215.ID	-0.251**
	(0.126)
217.ID	1.718***
	(0.126)
218.ID	-0.261**
	(0.126)
219.ID	-0.0463
	(0.126)
220.ID	1.718***
	(0.126)
222.ID	2.227***
	(0.126)
223.ID	-0.0463
	(0.126)
224.ID	2.057***
	(0.211)
225.ID	1.058
	(0.672)
226.ID	-0.536***
	(0.126)
227.ID	1.718***
	(0.126)
228.ID	2.227***
	(0.126)
229.ID	1.718***
	(0.126)
230.ID	1.718***
	(0.126)
231.ID	1.718***
	(0.126)
232.ID	-0.261**
	(0.126)
233.ID	-0.0463
	(0.126)
234.ID	1.718***
	(0.126)
235.ID	0.631***
	(0.126)
236.ID	2.227***
	(0.126)
237.ID	1.718***
	(0.126)
238.ID	1.718***
	(0.126)
239.ID	1.814***
	(0.158)
240.ID	1.718***
	(0.126)
241.ID	1.718***
	(0.126)
242.ID	-0.261**
	(0.126)
243.ID	1.316***
	(0.126)
244.ID	1.909***
	(0.158)
245.ID	-0.261**
	(0.126)
246.ID	1.718***
	(0.126)
247.ID	1.718***
	(0.126)
248.ID	0.131
	(0.126)
249.ID	-0.261**
	(0.126)
250.ID	2.227***
	(0.126)
251.ID	-0.261**
	(0.126)
252.ID	-0.0463
	(0.126)
253.ID	-0.261**
	(0.126)
254.ID	-0.261**
	(0.126)
255.ID	2.227***
	(0.126)
256.ID	1.718***
	(0.126)
257.ID	1.718***
	(0.126)
258.ID	-0.261**
	(0.126)
259.ID	1.718***
	(0.126)
260.ID	1.718***
	(0.126)
261.ID	-0.915***
	(0.126)
263.ID	-0.261**
	(0.126)
264.ID	2.227***
	(0.126)
266.ID	1.718***
	(0.126)
267.ID	-0.0463
	(0.126)
268.ID	1.718***
	(0.126)
269.ID	0.399
	(0.667)
270.ID	1.718***
	(0.126)
271.ID	-0.261**
	(0.126)
274.ID	-0.261**
	(0.126)
275.ID	-0.0463
	(0.126)
276.ID	1.450***
	(0.184)
277.ID	1.718***
	(0.126)
278.ID	-0.708***
	(0.126)
279.ID	-0.0463
	(0.126)
280.ID	1.718***
	(0.126)
281.ID	1.718***
	(0.126)
282.ID	-0.536***
	(0.126)
283.ID	-0.261**
	(0.126)
284.ID	-0.261**
	(0.126)
285.ID	-0.261**
	(0.126)
286.ID	-0.261**
	(0.126)
288.ID	1.718***
	(0.126)
289.ID	1.718***
	(0.126)
290.ID	1.718***
	(0.126)
291.ID	-0.261**
	(0.126)
292.ID	2.005***
	(0.126)
293.ID	-0.261**
	(0.126)
294.ID	0.131
	(0.126)
295.ID	-0.261**
	(0.126)
296.ID	0.412***
	(0.126)
297.ID	1.718***
	(0.126)
298.ID	1.718***
	(0.126)
299.ID	2.227***
	(0.126)
300.ID	1.189**
	(0.540)
301.ID	-0.261**
	(0.126)
303.ID	0.412***
	(0.126)
304.ID	2.227***
	(0.126)
305.ID	1.718***
	(0.126)
306.ID	0.131
	(0.126)
307.ID	-0.0463
	(0.126)
308.ID	0.631***
	(0.126)
309.ID	-0.0463
	(0.126)
310.ID	-0.261**
	(0.126)
311.ID	-1.534***
	(0.126)
312.ID	1.718***
	(0.126)
313.ID	-0.0463
	(0.126)
314.ID	0.131
	(0.126)
315.ID	-0.261**
	(0.126)
317.ID	1.718***
	(0.126)
318.ID	1.718***
	(0.126)
319.ID	1.718***
	(0.126)
320.ID	-0.0463
	(0.126)
321.ID	0.131
	(0.126)
322.ID	2.005***
	(0.126)
323.ID	-0.0463
	(0.126)
324.ID	1.718***
	(0.126)
325.ID	-0.261**
	(0.126)
326.ID	1.718***
	(0.126)
327.ID	1.718***
	(0.126)
328.ID	1.718***
	(0.126)
329.ID	-0.261**
	(0.126)
330.ID	2.005***
	(0.126)
331.ID	-0.261**
	(0.126)
332.ID	1.718***
	(0.126)
333.ID	1.211***
	(0.126)
334.ID	-0.261**
	(0.126)
335.ID	-0.261**
	(0.126)
336.ID	1.650***
	(0.126)
337.ID	-0.261**
	(0.126)
338.ID	1.718***
	(0.126)
339.ID	1.718***
	(0.126)
340.ID	2.227***
	(0.126)
341.ID	0.637
	(0.691)
342.ID	-0.261**
	(0.126)
343.ID	1.718***
	(0.126)
344.ID	-0.0463
	(0.126)
345.ID	1.718***
	(0.126)
346.ID	-1.534***
	(0.126)
347.ID	0.131
	(0.126)
348.ID	-0.261**
	(0.126)
349.ID	-1.534***
	(0.126)
350.ID	-0.261**
	(0.126)
352.ID	1.718***
	(0.126)
353.ID	1.316***
	(0.126)
354.ID	-0.261**
	(0.126)
355.ID	0.131
	(0.126)
356.ID	-0.0463
	(0.126)
357.ID	1.718***
	(0.126)
358.ID	-0.261**
	(0.126)
359.ID	1.718***
	(0.126)
361.ID	-0.261**
	(0.126)
364.ID	2.005***
	(0.126)
365.ID	-0.261**
	(0.126)
366.ID	2.005***
	(0.126)
369.ID	1.718***
	(0.126)
370.ID	1.718***
	(0.126)
372.ID	1.718***
	(0.126)
373.ID	-0.261**
	(0.126)
374.ID	1.718***
	(0.126)
375.ID	-0.261**
	(0.126)
377.ID	-0.261**
	(0.126)
378.ID	-0.261**
	(0.126)
379.ID	-0.0463
	(0.126)
381.ID	-0.536***
	(0.126)
382.ID	-1.534***
	(0.126)
383.ID	-0.261**
	(0.126)
385.ID	1.718***
	(0.126)
386.ID	-0.915***
	(0.126)
387.ID	-0.261**
	(0.126)
388.ID	-0.0463
	(0.126)
389.ID	1.718***
	(0.126)
390.ID	2.227***
	(0.126)
391.ID	-0.190
	(0.145)
393.ID	1.718***
	(0.126)
394.ID	1.718***
	(0.126)
395.ID	1.718***
	(0.126)
396.ID	1.718***
	(0.126)
397.ID	-0.261**
	(0.126)
398.ID	-0.915***
	(0.126)
399.ID	-0.0463
	(0.126)
400.ID	0.399
	(0.667)
401.ID	0.631***
	(0.126)
402.ID	-0.261**
	(0.126)
403.ID	-0.261**
	(0.126)
404.ID	0.660
	(0.545)
405.ID	-0.261**
	(0.126)
406.ID	1.316***
	(0.126)
407.ID	1.718***
	(0.126)
408.ID	2.057***
	(0.207)
409.ID	-0.915***
	(0.126)
410.ID	-0.261**
	(0.126)
411.ID	-0.536***
	(0.126)
412.ID	1.718***
	(0.126)
413.ID	0.131
	(0.126)
414.ID	-0.261**
	(0.126)
415.ID	-0.261**
	(0.126)
416.ID	-0.0463
	(0.126)
417.ID	-0.697***
	(0.252)
418.ID	-0.261**
	(0.126)
419.ID	-0.261**
	(0.126)
420.ID	-0.0463
	(0.126)
421.ID	-0.261**
	(0.126)
423.ID	1.718***
	(0.126)
424.ID	1.718***
	(0.126)
425.ID	1.718***
	(0.126)
426.ID	-0.261**
	(0.126)
428.ID	-0.261**
	(0.126)
429.ID	-0.261**
	(0.126)
430.ID	2.227***
	(0.126)
431.ID	-0.0463
	(0.126)
432.ID	1.718***
	(0.126)
433.ID	-0.261**
	(0.126)
434.ID	-0.261**
	(0.126)
435.ID	2.227***
	(0.126)
436.ID	-0.0463
	(0.126)
437.ID	-0.789***
	(0.179)
438.ID	1.718***
	(0.126)
439.ID	1.718***
	(0.126)
440.ID	-0.0463
	(0.126)
441.ID	1.718***
	(0.126)
442.ID	1.211***
	(0.126)
445.ID	-0.261**
	(0.126)
446.ID	1.718***
	(0.126)
447.ID	0.631***
	(0.126)
448.ID	0.131
	(0.126)
449.ID	1.718***
	(0.126)
450.ID	-0.261**
	(0.126)
451.ID	1.718***
	(0.126)
452.ID	-0.0463
	(0.126)
453.ID	2.227***
	(0.126)
454.ID	-0.0463
	(0.126)
455.ID	1.718***
	(0.126)
456.ID	-1.534***
	(0.126)
457.ID	2.227***
	(0.126)
458.ID	2.227***
	(0.126)
459.ID	-0.0463
	(0.126)
460.ID	-0.261**
	(0.126)
461.ID	2.227***
	(0.126)
462.ID	1.718***
	(0.126)
464.ID	1.718***
	(0.126)
465.ID	0.631***
	(0.126)
466.ID	1.718***
	(0.126)
467.ID	1.718***
	(0.126)
468.ID	2.227***
	(0.126)
469.ID	-0.261**
	(0.126)
470.ID	1.718***
	(0.126)
471.ID	2.227***
	(0.126)
472.ID	2.227***
	(0.126)
473.ID	1.718***
	(0.126)
474.ID	1.718***
	(0.126)
475.ID	-0.261**
	(0.126)
476.ID	1.718***
	(0.126)
477.ID	2.005***
	(0.126)
478.ID	2.227***
	(0.126)
479.ID	1.718***
	(0.126)
480.ID	0.631***
	(0.126)
481.ID	1.718***
	(0.126)
482.ID	2.227***
	(0.126)
483.ID	-0.915***
	(0.126)
484.ID	2.005***
	(0.126)
485.ID	2.227***
	(0.126)
486.ID	-0.261**
	(0.126)
