	(1)
VARIABLES	llm_刑期
	
1.treated	-1.673
	(1.140)
2.treated	-1.595
	(1.090)
3.treated	-2.348**
	(1.192)
1.ID	6***
	(0)
2.ID	150***
	(0)
3.ID	-6***
	(0)
4.ID	150***
	(0)
5.ID	-0
	(0)
6.ID	-6***
	(0)
7.ID	72***
	(0)
8.ID	-0
	(0)
9.ID	-6***
	(0)
10.ID	270***
	(0)
12.ID	270***
	(0)
14.ID	150***
	(0)
15.ID	-6***
	(0)
16.ID	150***
	(0)
17.ID	-6***
	(0)
18.ID	-6***
	(0)
19.ID	-0
	(0)
20.ID	150***
	(0)
21.ID	-0
	(0)
22.ID	6***
	(0)
23.ID	150***
	(0)
24.ID	150***
	(0)
25.ID	-0
	(0)
26.ID	-18***
	(0)
27.ID	-6***
	(0)
28.ID	-6***
	(0)
29.ID	-6***
	(0)
30.ID	-6***
	(0)
31.ID	42***
	(0)
32.ID	150***
	(0)
33.ID	111***
	(0)
34.ID	150***
	(0)
35.ID	-6***
	(0)
36.ID	-6***
	(0)
37.ID	-6***
	(0)
38.ID	-6***
	(0)
39.ID	150***
	(0)
40.ID	150***
	(0)
41.ID	6***
	(0)
42.ID	270***
	(0)
43.ID	-6***
	(0)
46.ID	-0
	(0)
47.ID	-12***
	(0)
48.ID	150***
	(0)
49.ID	150***
	(0)
50.ID	150***
	(0)
51.ID	-6***
	(0)
52.ID	-0
	(0)
54.ID	-6***
	(0)
55.ID	-6***
	(0)
56.ID	150***
	(0)
57.ID	-6***
	(0)
58.ID	150***
	(0)
59.ID	18***
	(0)
60.ID	-6***
	(0)
61.ID	-6***
	(0)
62.ID	-0
	(0)
63.ID	-6***
	(0)
64.ID	195***
	(0)
65.ID	-6***
	(0)
66.ID	-0
	(0)
67.ID	150***
	(0)
68.ID	90***
	(0)
69.ID	-6***
	(0)
71.ID	270***
	(0)
72.ID	270***
	(0)
73.ID	-6***
	(0)
74.ID	270***
	(0)
76.ID	-6***
	(0)
77.ID	36***
	(0)
78.ID	-6***
	(0)
79.ID	-6***
	(0)
80.ID	150***
	(0)
81.ID	-6***
	(0)
82.ID	6***
	(0)
83.ID	-0
	(0)
84.ID	240***
	(0)
85.ID	150***
	(0)
86.ID	150***
	(0)
87.ID	150***
	(0)
88.ID	270***
	(0)
89.ID	-6.315***
	(0.220)
90.ID	-6***
	(0)
91.ID	66***
	(0)
92.ID	-18***
	(0)
93.ID	6***
	(0)
94.ID	-6***
	(0)
95.ID	270***
	(0)
96.ID	-6***
	(0)
97.ID	-21***
	(0)
98.ID	30***
	(0)
99.ID	-4.500***
	(0)
100.ID	-0
	(0)
101.ID	-6***
	(0)
102.ID	-18***
	(0)
103.ID	-6***
	(0)
104.ID	-6***
	(0)
105.ID	-6***
	(0)
106.ID	270***
	(0)
107.ID	270***
	(0)
108.ID	270***
	(0)
109.ID	-0
	(0)
110.ID	-18***
	(0)
111.ID	-18***
	(0)
113.ID	-6***
	(0)
114.ID	33***
	(0)
115.ID	150***
	(0)
116.ID	4.500***
	(0)
117.ID	150***
	(0)
118.ID	150***
	(0)
120.ID	54***
	(0)
121.ID	108***
	(0)
122.ID	270***
	(0)
123.ID	270***
	(0)
125.ID	150***
	(0)
126.ID	150***
	(0)
127.ID	-18***
	(0)
128.ID	-0
	(0)
129.ID	150***
	(0)
130.ID	-7.500***
	(0)
131.ID	-1.500***
	(0)
132.ID	-18***
	(0)
134.ID	30***
	(0)
135.ID	72***
	(0)
136.ID	150***
	(0)
137.ID	150***
	(0)
138.ID	202.5***
	(0)
139.ID	-6***
	(0)
140.ID	6***
	(0)
142.ID	-6***
	(0)
145.ID	-0
	(0)
146.ID	210***
	(0)
147.ID	270***
	(0)
148.ID	150***
	(0)
149.ID	-18***
	(0)
150.ID	-6***
	(0)
151.ID	-0
	(0)
152.ID	72***
	(0)
153.ID	150***
	(0)
154.ID	210***
	(0)
155.ID	-6***
	(0)
156.ID	-6***
	(0)
157.ID	150***
	(0)
158.ID	150***
	(0)
159.ID	-0
	(0)
160.ID	150***
	(0)
161.ID	210***
	(0)
163.ID	15***
	(0)
164.ID	-6***
	(0)
165.ID	-6***
	(0)
166.ID	111***
	(0)
167.ID	-6***
	(0)
168.ID	150***
	(0)
169.ID	150***
	(0)
170.ID	-0
	(0)
171.ID	-0
	(0)
172.ID	-6***
	(0)
173.ID	150***
