	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0248**
	(0.0110)
2.treated	-0.0271**
	(0.0109)
3.treated	-0.0301***
	(0.0108)
1.ID	0.196*
	(0.118)
2.ID	1.784***
	(0.118)
3.ID	-0.196*
	(0.118)
4.ID	1.784***
	(0.118)
5.ID	0.0191
	(0.118)
6.ID	-0.196*
	(0.118)
7.ID	0.794
	(0.580)
8.ID	0.0191
	(0.118)
9.ID	-0.196*
	(0.118)
10.ID	2.292***
	(0.118)
12.ID	2.292***
	(0.118)
14.ID	1.784***
	(0.118)
15.ID	-0.196*
	(0.118)
16.ID	1.784***
	(0.118)
17.ID	-0.196*
	(0.118)
18.ID	-0.196*
	(0.118)
19.ID	0.0191
	(0.118)
20.ID	1.784***
	(0.118)
21.ID	0.0191
	(0.118)
22.ID	0.196*
	(0.118)
23.ID	1.784***
	(0.118)
24.ID	1.784***
	(0.118)
25.ID	0.0191
	(0.118)
26.ID	-0.850***
	(0.118)
27.ID	-0.196*
	(0.118)
28.ID	-0.196*
	(0.118)
29.ID	-0.196*
	(0.118)
30.ID	-0.196*
	(0.118)
31.ID	0.876***
	(0.118)
32.ID	1.784***
	(0.118)
33.ID	1.289**
	(0.506)
34.ID	1.784***
	(0.118)
35.ID	-0.196*
	(0.118)
36.ID	-0.196*
	(0.118)
37.ID	-0.196*
	(0.118)
38.ID	-0.196*
	(0.118)
39.ID	1.784***
	(0.118)
40.ID	1.784***
	(0.118)
41.ID	0.196*
	(0.118)
42.ID	2.292***
	(0.118)
43.ID	-0.196*
	(0.118)
46.ID	0.0191
	(0.118)
47.ID	-0.470***
	(0.118)
48.ID	1.784***
	(0.118)
49.ID	1.784***
	(0.118)
50.ID	1.784***
	(0.118)
51.ID	-0.196*
	(0.118)
52.ID	0.0191
	(0.118)
54.ID	-0.196*
	(0.118)
55.ID	-0.196*
	(0.118)
56.ID	1.784***
	(0.118)
57.ID	-0.196*
	(0.118)
58.ID	1.784***
	(0.118)
59.ID	0.477***
	(0.118)
60.ID	-0.196*
	(0.118)
61.ID	-0.196*
	(0.118)
62.ID	0.0191
	(0.118)
63.ID	-0.196*
	(0.118)
64.ID	1.998***
	(0.137)
65.ID	-0.196*
	(0.118)
66.ID	0.0191
	(0.118)
67.ID	1.784***
	(0.118)
68.ID	1.381***
	(0.118)
69.ID	-0.196*
	(0.118)
71.ID	2.292***
	(0.118)
72.ID	2.292***
	(0.118)
73.ID	-0.196*
	(0.118)
74.ID	2.292***
	(0.118)
76.ID	-0.196*
	(0.118)
77.ID	0.406
	(0.471)
78.ID	-0.196*
	(0.118)
79.ID	-0.196*
	(0.118)
80.ID	1.784***
	(0.118)
81.ID	-0.196*
	(0.118)
82.ID	0.196*
	(0.118)
83.ID	0.0191
	(0.118)
84.ID	2.181***
	(0.133)
85.ID	1.784***
	(0.118)
86.ID	1.784***
	(0.118)
87.ID	1.784***
	(0.118)
88.ID	2.292***
	(0.118)
89.ID	-0.199*
	(0.118)
90.ID	-0.196*
	(0.118)
91.ID	1.160***
	(0.118)
92.ID	-0.850***
	(0.118)
93.ID	0.196*
	(0.118)
94.ID	-0.196*
	(0.118)
95.ID	2.292***
	(0.118)
96.ID	-0.196*
	(0.118)
97.ID	-1.112***
	(0.118)
98.ID	0.696***
	(0.118)
99.ID	-0.142
	(0.127)
100.ID	0.0191
	(0.118)
101.ID	-0.196*
	(0.118)
102.ID	-0.850***
	(0.118)
103.ID	-0.196*
	(0.118)
104.ID	-0.196*
	(0.118)
105.ID	-0.196*
	(0.118)
106.ID	2.292***
	(0.118)
107.ID	2.292***
	(0.118)
108.ID	2.292***
	(0.118)
109.ID	0.0191
	(0.118)
110.ID	-0.850***
	(0.118)
111.ID	-0.850***
	(0.118)
113.ID	-0.196*
	(0.118)
114.ID	0.299
	(0.503)
115.ID	1.784***
	(0.118)
116.ID	0.134
	(0.167)
117.ID	1.784***
	(0.118)
118.ID	1.784***
	(0.118)
120.ID	1.028***
	(0.118)
121.ID	1.125*
	(0.668)
122.ID	2.292***
	(0.118)
123.ID	2.292***
	(0.118)
125.ID	1.784***
	(0.118)
126.ID	1.784***
	(0.118)
127.ID	-0.850***
	(0.118)
128.ID	0.0191
	(0.118)
129.ID	1.784***
	(0.118)
130.ID	-0.265*
	(0.135)
131.ID	-0.0347
	(0.129)
132.ID	-0.850***
	(0.118)
134.ID	0.696***
	(0.118)
135.ID	0.794
	(0.580)
136.ID	1.784***
	(0.118)
137.ID	1.784***
	(0.118)
138.ID	1.724***
	(0.578)
139.ID	-0.196*
	(0.118)
140.ID	0.196*
	(0.118)
142.ID	-0.196*
	(0.118)
145.ID	0.0191
	(0.118)
146.ID	2.038***
	(0.192)
147.ID	2.292***
	(0.118)
148.ID	1.784***
	(0.118)
149.ID	-0.850***
	(0.118)
150.ID	-0.196*
	(0.118)
151.ID	0.0191
	(0.118)
152.ID	0.794
	(0.580)
153.ID	1.784***
	(0.118)
154.ID	2.038***
	(0.191)
155.ID	-0.196*
	(0.118)
156.ID	-0.196*
	(0.118)
157.ID	1.784***
	(0.118)
158.ID	1.784***
	(0.118)
159.ID	0.0191
	(0.118)
160.ID	1.784***
	(0.118)
161.ID	2.070***
	(0.118)
163.ID	0.358
	(0.231)
164.ID	-0.196*
	(0.118)
165.ID	-0.196*
	(0.118)
166.ID	1.289**
	(0.508)
167.ID	-0.196*
	(0.118)
168.ID	1.784***
	(0.118)
169.ID	1.784***
	(0.118)
170.ID	0.0191
	(0.118)
171.ID	0.0191
	(0.118)
172.ID	-0.196*
	(0.118)
173.ID	1.784***
	(0.118)
174.ID	1.784***
	(0.118)
175.ID	0.0191
	(0.118)
176.ID	-0.196*
	(0.118)
177.ID	1.784***
	(0.118)
178.ID	-0.850***
	(0.118)
179.ID	-0.196*
	(0.118)
180.ID	0.955***
	(0.118)
181.ID	-0.850***
	(0.118)
182.ID	-0.196*
	(0.118)
183.ID	0.0191
	(0.118)
184.ID	-0.196*
	(0.118)
185.ID	1.597***
	(0.551)
186.ID	1.683***
	(0.155)
187.ID	2.292***
	(0.118)
188.ID	1.784***
	(0.118)
189.ID	-0.0347
	(0.129)
190.ID	-0.196*
	(0.118)
191.ID	0.0191
	(0.118)
192.ID	-0.196*
	(0.118)
194.ID	1.784***
	(0.118)
196.ID	-0.196*
	(0.118)
197.ID	1.784***
	(0.118)
198.ID	-0.196*
	(0.118)
199.ID	-0.196*
	(0.118)
200.ID	1.784***
	(0.118)
201.ID	-0.196*
	(0.118)
202.ID	1.784***
	(0.118)
203.ID	2.292***
	(0.118)
204.ID	2.292***
	(0.118)
205.ID	1.784***
	(0.118)
206.ID	-0.196*
	(0.118)
207.ID	-0.196*
	(0.118)
208.ID	-0.196*
	(0.118)
209.ID	2.038***
	(0.192)
210.ID	-0.196*
	(0.118)
212.ID	-0.360*
	(0.200)
213.ID	2.237***
	(0.129)
214.ID	-0.196*
	(0.118)
215.ID	-1.469***
	(0.118)
218.ID	-0.196*
	(0.118)
219.ID	0.0191
	(0.118)
220.ID	1.784***
	(0.118)
221.ID	1.784***
	(0.118)
222.ID	2.292***
	(0.118)
223.ID	0.0191
	(0.118)
224.ID	1.911***
	(0.175)
225.ID	1.784***
	(0.118)
226.ID	-0.402***
	(0.133)
227.ID	1.784***
	(0.118)
228.ID	2.292***
	(0.118)
229.ID	1.784***
	(0.118)
230.ID	1.784***
	(0.118)
231.ID	0.901*
	(0.519)
232.ID	0.299
	(0.503)
233.ID	0.0191
	(0.118)
234.ID	1.784***
	(0.118)
235.ID	0.696***
	(0.118)
236.ID	2.292***
	(0.118)
237.ID	1.784***
	(0.118)
238.ID	1.784***
	(0.118)
239.ID	2.070***
	(0.118)
240.ID	1.784***
	(0.118)
241.ID	1.784***
	(0.118)
242.ID	-0.196*
	(0.118)
243.ID	1.582***
	(0.163)
244.ID	2.070***
	(0.118)
245.ID	-0.142
	(0.131)
246.ID	1.784***
	(0.118)
247.ID	1.784***
	(0.118)
249.ID	0.299
	(0.512)
250.ID	2.165***
	(0.171)
251.ID	-0.196*
	(0.118)
253.ID	-0.196*
	(0.118)
254.ID	-0.196*
	(0.118)
255.ID	2.292***
	(0.118)
257.ID	1.784***
	(0.118)
258.ID	-0.196*
	(0.118)
259.ID	1.784***
	(0.118)
260.ID	1.784***
	(0.118)
261.ID	-0.850***
	(0.118)
263.ID	-0.196*
	(0.118)
264.ID	2.165***
	(0.171)
265.ID	1.790***
	(0.118)
267.ID	0.0191
	(0.118)
268.ID	1.784***
	(0.118)
269.ID	-0.196*
	(0.118)
270.ID	1.784***
	(0.118)
271.ID	0.299
	(0.503)
272.ID	2.292***
	(0.118)
274.ID	-0.196*
	(0.118)
275.ID	0.0191
	(0.118)
276.ID	1.381***
	(0.118)
277.ID	1.784***
	(0.118)
278.ID	-0.642***
	(0.118)
279.ID	0.0191
	(0.118)
280.ID	1.784***
	(0.118)
281.ID	1.784***
	(0.118)
282.ID	-0.333**
	(0.140)
283.ID	-0.196*
	(0.118)
284.ID	-0.196*
	(0.118)
285.ID	-0.196*
	(0.118)
286.ID	-0.196*
	(0.118)
288.ID	1.784***
	(0.118)
289.ID	1.784***
	(0.118)
290.ID	1.784***
	(0.118)
291.ID	-0.196*
	(0.118)
292.ID	1.998***
	(0.142)
293.ID	-0.196*
	(0.118)
294.ID	0.196*
	(0.118)
295.ID	-0.196*
	(0.118)
296.ID	0.477***
	(0.118)
297.ID	1.784***
	(0.118)
298.ID	1.784***
	(0.118)
299.ID	2.292***
	(0.118)
300.ID	1.784***
	(0.118)
301.ID	-0.196*
	(0.118)
302.ID	1.724***
	(0.580)
303.ID	0.266*
	(0.138)
304.ID	2.292***
	(0.118)
305.ID	1.784***
	(0.118)
306.ID	0.196*
	(0.118)
307.ID	0.0191
	(0.118)
308.ID	0.696***
	(0.118)
309.ID	-0.0347
	(0.129)
310.ID	-0.196*
	(0.118)
311.ID	-1.469***
	(0.118)
312.ID	1.784***
	(0.118)
313.ID	0.0191
	(0.118)
314.ID	0
	(0.162)
315.ID	-0.196*
	(0.118)
316.ID	0.990**
	(0.478)
317.ID	1.784***
	(0.118)
318.ID	1.784***
	(0.118)
319.ID	1.784***
	(0.118)
320.ID	0.0191
	(0.118)
321.ID	0.196*
	(0.118)
322.ID	1.998***
	(0.142)
323.ID	0.0191
	(0.118)
324.ID	1.784***
	(0.118)
325.ID	-0.196*
	(0.118)
326.ID	1.784***
	(0.118)
327.ID	1.784***
	(0.118)
328.ID	1.784***
	(0.118)
329.ID	-0.196*
	(0.118)
330.ID	2.070***
	(0.118)
331.ID	-0.196*
	(0.118)
332.ID	1.784***
	(0.118)
333.ID	1.530***
	(0.185)
334.ID	-0.196*
	(0.118)
335.ID	-0.196*
	(0.118)
336.ID	1.715***
	(0.118)
337.ID	-0.196*
	(0.118)
338.ID	1.784***
	(0.118)
339.ID	1.784***
	(0.118)
340.ID	2.165***
	(0.171)
341.ID	0.0191
	(0.118)
342.ID	-0.196*
	(0.118)
343.ID	1.784***
	(0.118)
344.ID	0.0191
	(0.118)
345.ID	2.292***
	(0.118)
346.ID	-1.469***
	(0.118)
347.ID	0.196*
	(0.118)
348.ID	-0.196*
	(0.118)
349.ID	-1.314***
	(0.196)
350.ID	-0.196*
	(0.118)
351.ID	-1.459***
	(0.118)
352.ID	1.784***
	(0.118)
353.ID	1.381***
	(0.118)
354.ID	-0.196*
	(0.118)
355.ID	0.196*
	(0.118)
356.ID	0.0191
	(0.118)
357.ID	1.784***
	(0.118)
358.ID	-0.196*
	(0.118)
359.ID	1.784***
	(0.118)
361.ID	-0.196*
	(0.118)
364.ID	2.070***
	(0.118)
365.ID	-0.196*
	(0.118)
366.ID	2.125***
	(0.132)
369.ID	1.784***
	(0.118)
370.ID	1.289**
	(0.507)
372.ID	1.784***
	(0.118)
373.ID	-0.196*
	(0.118)
374.ID	1.784***
	(0.118)
375.ID	-0.196*
	(0.118)
377.ID	-0.196*
	(0.118)
378.ID	-0.196*
	(0.118)
379.ID	0.0191
	(0.118)
381.ID	-0.360*
	(0.207)
382.ID	-1.469***
	(0.118)
383.ID	-0.196*
	(0.118)
385.ID	1.784***
	(0.118)
386.ID	-0.850***
	(0.118)
387.ID	-0.196*
	(0.118)
388.ID	0.0191
	(0.118)
389.ID	1.784***
	(0.118)
390.ID	2.292***
	(0.118)
391.ID	-0.196*
	(0.118)
393.ID	1.784***
	(0.118)
394.ID	1.784***
	(0.118)
395.ID	1.784***
	(0.118)
396.ID	0.794
	(0.580)
397.ID	-0.196*
	(0.118)
398.ID	-0.850***
	(0.118)
399.ID	0.0191
	(0.118)
400.ID	1.289**
	(0.508)
401.ID	0.696***
	(0.118)
402.ID	-0.196*
	(0.118)
403.ID	-0.196*
	(0.118)
404.ID	0.196*
	(0.118)
406.ID	1.381***
	(0.118)
407.ID	1.784***
	(0.118)
408.ID	2.292***
	(0.118)
409.ID	-0.850***
	(0.118)
410.ID	-0.196*
	(0.118)
411.ID	-0.196*
	(0.118)
412.ID	1.784***
	(0.118)
413.ID	0.196*
	(0.118)
414.ID	-0.196*
	(0.118)
415.ID	-0.196*
	(0.118)
416.ID	0.0191
	(0.118)
417.ID	-0.850***
	(0.118)
418.ID	-0.196*
	(0.118)
419.ID	-0.196*
	(0.118)
420.ID	0.0191
	(0.118)
421.ID	-0.196*
	(0.118)
423.ID	1.784***
	(0.118)
424.ID	1.784***
	(0.118)
425.ID	1.784***
	(0.118)
426.ID	-0.196*
	(0.118)
428.ID	-0.196*
	(0.118)
429.ID	-0.196*
	(0.118)
430.ID	2.292***
	(0.118)
431.ID	0.0191
	(0.118)
432.ID	1.784***
	(0.118)
433.ID	-0.196*
	(0.118)
434.ID	-0.196*
	(0.118)
435.ID	2.292***
	(0.118)
436.ID	-0.0347
	(0.129)
437.ID	-0.850***
	(0.118)
439.ID	1.784***
	(0.118)
440.ID	0.0191
	(0.118)
441.ID	1.784***
	(0.118)
442.ID	1.276***
	(0.118)
445.ID	-0.196*
	(0.118)
446.ID	1.784***
	(0.118)
448.ID	1.387***
	(0.413)
449.ID	1.784***
	(0.118)
450.ID	-0.196*
	(0.118)
451.ID	1.784***
	(0.118)
452.ID	0.0191
	(0.118)
453.ID	2.292***
	(0.118)
454.ID	0.0191
	(0.118)
455.ID	1.784***
	(0.118)
456.ID	-1.469***
	(0.118)
457.ID	2.292***
	(0.118)
458.ID	2.292***
	(0.118)
459.ID	0.0191
	(0.118)
460.ID	-0.196*
	(0.118)
461.ID	2.292***
	(0.118)
462.ID	1.784***
	(0.118)
464.ID	1.784***
	(0.118)
465.ID	0.696***
	(0.118)
466.ID	1.784***
	(0.118)
467.ID	1.784***
	(0.118)
468.ID	2.292***
	(0.118)
469.ID	-0.196*
	(0.118)
470.ID	1.784***
	(0.118)
471.ID	2.292***
	(0.118)
472.ID	2.292***
	(0.118)
473.ID	1.784***
	(0.118)
474.ID	1.784***
	(0.118)
475.ID	-0.196*
	(0.118)
477.ID	2.070***
	(0.118)
478.ID	2.292***
	(0.118)
479.ID	1.784***
	(0.118)
480.ID	0.696***
	(0.118)
481.ID	1.784***
	(0.118)
482.ID	2.292***
	(0.118)
483.ID	-0.850***
	(0.118)
484.ID	2.070***
	(0.118)
485.ID	2.292***
	(0.118)
486.ID	-0.196*
	(0.118)
488.ID	2.292***
	(0.118)
489.ID	-0.470***
	(0.118)
490.ID	0.370
	(0.573)
491.ID	-1.462***
	(0.118)
493.ID	-0.196*
	(0.118)
494.ID	1.784***
	(0.118)
497.ID	0.0191
	(0.118)
498.ID	2.292***
	(0.118)
