	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00573
	(0.00806)
2.treated	-0.00700
	(0.00931)
1.ID	-0
	(0.00521)
2.ID	1.588***
	(0.00521)
3.ID	-0.392***
	(0.00521)
4.ID	1.588***
	(0.00521)
5.ID	-0.177***
	(0.00521)
6.ID	-0.392***
	(0.00521)
7.ID	1.683***
	(0.0954)
8.ID	-0.177***
	(0.00521)
9.ID	-0.392***
	(0.00521)
10.ID	2.096***
	(0.00521)
12.ID	2.096***
	(0.00521)
15.ID	-0.392***
	(0.00521)
16.ID	1.588***
	(0.00521)
18.ID	-0.392***
	(0.00521)
19.ID	-0.177***
	(0.00521)
20.ID	1.588***
	(0.00521)
21.ID	-0.177***
	(0.00521)
22.ID	-0
	(0.00521)
23.ID	1.588***
	(0.00521)
24.ID	1.588***
	(0.00521)
25.ID	-0.177***
	(0.00521)
26.ID	-1.046***
	(0.00521)
27.ID	-0.320***
	(0.0752)
28.ID	-0.392***
	(0.00521)
29.ID	-0.392***
	(0.00521)
30.ID	-0.392***
	(0.00521)
31.ID	0.680***
	(0.00521)
32.ID	1.588***
	(0.00521)
33.ID	1.588***
	(0.00521)
34.ID	1.588***
	(0.00521)
35.ID	-0.392***
	(0.00521)
36.ID	-0.392***
	(0.00521)
37.ID	-0.392***
	(0.00521)
39.ID	1.588***
	(0.00521)
40.ID	1.588***
	(0.00521)
41.ID	-0
	(0.00521)
42.ID	2.096***
	(0.00521)
43.ID	-0.392***
	(0.00521)
46.ID	-0.249***
	(0.0722)
47.ID	-0.666***
	(0.00521)
48.ID	1.588***
	(0.00521)
49.ID	1.588***
	(0.00521)
51.ID	-0.392***
	(0.00521)
52.ID	-0.177***
	(0.00521)
53.ID	1.853***
	(0.145)
54.ID	-0.392***
	(0.00521)
55.ID	-0.392***
	(0.00521)
56.ID	1.588***
	(0.00521)
57.ID	-0.392***
	(0.00521)
58.ID	1.588***
	(0.00521)
60.ID	-0.392***
	(0.00521)
61.ID	-0.392***
	(0.00521)
62.ID	-0.177***
	(0.00521)
63.ID	-0.392***
	(0.00521)
64.ID	1.874***
	(0.00521)
66.ID	-0.177***
	(0.00521)
67.ID	1.588***
	(0.00521)
68.ID	1.185***
	(0.00521)
69.ID	-0.392***
	(0.00521)
70.ID	2.022***
	(0.0774)
71.ID	2.096***
	(0.00521)
72.ID	2.096***
	(0.00521)
73.ID	-0.392***
	(0.00521)
74.ID	2.096***
	(0.00521)
76.ID	-0.392***
	(0.00521)
78.ID	-0.392***
	(0.00521)
79.ID	-0.392***
	(0.00521)
81.ID	-0.392***
	(0.00521)
82.ID	-0
	(0.00521)
83.ID	-0.177***
	(0.00521)
85.ID	0.928
	(0.657)
86.ID	1.588***
	(0.00521)
87.ID	1.588***
	(0.00521)
88.ID	2.096***
	(0.00521)
89.ID	-0.392***
	(0.00521)
90.ID	-0.392***
	(0.00521)
91.ID	0.964***
	(0.00521)
92.ID	-1.046***
	(0.00521)
93.ID	-0
	(0.00521)
94.ID	-0.392***
	(0.00521)
95.ID	2.096***
	(0.00521)
96.ID	-0.392***
	(0.00521)
97.ID	-1.308***
	(0.00521)
98.ID	0.500***
	(0.00521)
99.ID	-0.177***
	(0.00521)
100.ID	-0.177***
	(0.00521)
102.ID	-1.046***
	(0.00521)
103.ID	-0.392***
	(0.00521)
104.ID	-0.392***
	(0.00521)
105.ID	-0.392***
	(0.00521)
106.ID	2.096***
	(0.00521)
107.ID	2.096***
	(0.00521)
108.ID	2.096***
	(0.00521)
109.ID	-0.177***
	(0.00521)
110.ID	-1.046***
	(0.00521)
111.ID	-1.046***
	(0.00521)
112.ID	1.588***
	(0.00521)
113.ID	-0.392***
	(0.00521)
114.ID	0.928
	(0.657)
115.ID	1.588***
	(0.00521)
116.ID	-0.177***
	(0.00521)
117.ID	1.588***
	(0.00521)
118.ID	1.588***
	(0.00521)
119.ID	2.096***
	(0.00521)
120.ID	0.832***
	(0.00521)
121.ID	1.588***
	(0.00521)
122.ID	2.096***
	(0.00521)
123.ID	2.096***
	(0.00521)
126.ID	1.588***
	(0.00521)
127.ID	-1.046***
	(0.00521)
128.ID	-0.177***
	(0.00521)
129.ID	1.588***
	(0.00521)
130.ID	-0.392***
	(0.00521)
131.ID	-0.177***
	(0.00521)
132.ID	-1.046***
	(0.00521)
133.ID	1.588***
	(0.00521)
134.ID	0.500***
	(0.00521)
135.ID	-0.392***
	(0.00521)
136.ID	1.588***
	(0.00521)
137.ID	1.588***
	(0.00521)
138.ID	2.096***
	(0.00521)
139.ID	-0.392***
	(0.00521)
140.ID	-0
	(0.00521)
142.ID	-0.392***
	(0.00521)
145.ID	-0.177***
	(0.00521)
146.ID	1.757***
	(0.170)
147.ID	2.096***
	(0.00521)
149.ID	-1.046***
	(0.00521)
150.ID	-0.392***
	(0.00521)
151.ID	-0.177***
	(0.00521)
152.ID	1.588***
	(0.00521)
154.ID	1.757***
	(0.170)
155.ID	-0.392***
	(0.00521)
156.ID	-0.392***
	(0.00521)
158.ID	1.588***
	(0.00521)
159.ID	-0.118*
	(0.0624)
160.ID	1.588***
	(0.00521)
161.ID	1.874***
	(0.00521)
163.ID	0.0487
	(0.229)
164.ID	-0.392***
	(0.00521)
165.ID	-0.392***
	(0.00521)
166.ID	0.928
	(0.657)
167.ID	-0.392***
	(0.00521)
168.ID	1.588***
	(0.00521)
169.ID	1.588***
	(0.00521)
170.ID	-0.177***
	(0.00521)
171.ID	-0.177***
	(0.00521)
172.ID	-0.392***
	(0.00521)
173.ID	1.588***
	(0.00521)
174.ID	1.588***
	(0.00521)
175.ID	-0.177***
	(0.00521)
176.ID	-0.392***
	(0.00521)
177.ID	1.588***
	(0.00521)
178.ID	-1.046***
	(0.00521)
179.ID	-0.392***
	(0.00521)
180.ID	0.759***
	(0.00521)
181.ID	-0.919***
	(0.130)
182.ID	-0.392***
	(0.00521)
183.ID	-0.249***
	(0.0722)
184.ID	-0.392***
	(0.00521)
185.ID	2.096***
	(0.00521)
186.ID	1.185***
	(0.00521)
188.ID	1.588***
	(0.00521)
189.ID	-0.177***
	(0.00521)
190.ID	-0.392***
	(0.00521)
191.ID	-0.177***
	(0.00521)
192.ID	-0.392***
	(0.00521)
194.ID	1.588***
	(0.00521)
196.ID	-0.392***
	(0.00521)
197.ID	1.588***
	(0.00521)
198.ID	-0.392***
	(0.00521)
199.ID	-0.392***
	(0.00521)
200.ID	1.588***
	(0.00521)
201.ID	-0.392***
	(0.00521)
202.ID	1.588***
	(0.00521)
203.ID	2.096***
	(0.00521)
204.ID	2.096***
	(0.00521)
205.ID	1.588***
	(0.00521)
206.ID	-0.392***
	(0.00521)
207.ID	-0.392***
	(0.00521)
208.ID	-0.392***
	(0.00521)
209.ID	1.927***
	(0.166)
210.ID	-0.392***
	(0.00521)
212.ID	-0.392***
	(0.00521)
213.ID	2.096***
	(0.00521)
214.ID	-0.392***
	(0.00521)
217.ID	1.588***
	(0.00521)
218.ID	-0.392***
	(0.00521)
219.ID	-0.177***
	(0.00521)
220.ID	1.588***
	(0.00521)
221.ID	1.588***
	(0.00521)
223.ID	-0.177***
	(0.00521)
224.ID	1.588***
	(0.00521)
225.ID	1.588***
	(0.00521)
226.ID	-0.666***
	(0.00521)
227.ID	1.588***
	(0.00521)
229.ID	1.588***
	(0.00521)
230.ID	1.588***
	(0.00521)
231.ID	1.588***
	(0.00521)
232.ID	-0.392***
	(0.00521)
233.ID	-0.177***
	(0.00521)
234.ID	1.588***
	(0.00521)
235.ID	0.500***
	(0.00521)
236.ID	2.096***
	(0.00521)
237.ID	1.588***
	(0.00521)
239.ID	1.683***
	(0.0925)
240.ID	1.588***
	(0.00521)
242.ID	-0.392***
	(0.00521)
243.ID	1.185***
	(0.00521)
245.ID	-0.392***
	(0.00521)
246.ID	1.588***
	(0.00521)
248.ID	-0
	(0.00521)
249.ID	-0.392***
	(0.00521)
250.ID	2.096***
	(0.00521)
251.ID	-0.392***
	(0.00521)
252.ID	-0.177***
	(0.00521)
254.ID	-0.392***
	(0.00521)
257.ID	1.588***
	(0.00521)
258.ID	-0.392***
	(0.00521)
259.ID	1.588***
	(0.00521)
261.ID	-1.046***
	(0.00521)
263.ID	-0.392***
	(0.00521)
264.ID	2.096***
	(0.00521)
265.ID	1.581***
	(0.00600)
266.ID	1.588***
	(0.00521)
267.ID	-0.177***
	(0.00521)
268.ID	1.588***
	(0.00521)
269.ID	0.928
	(0.657)
271.ID	-0.320***
	(0.0752)
272.ID	2.096***
	(0.00521)
274.ID	-0.392***
	(0.00521)
275.ID	-0.177***
	(0.00521)
276.ID	1.185***
	(0.00521)
277.ID	1.588***
	(0.00521)
278.ID	-0.838***
	(0.00521)
279.ID	-0.177***
	(0.00521)
280.ID	1.588***
	(0.00521)
281.ID	1.588***
	(0.00521)
282.ID	-0.575***
	(0.0949)
283.ID	-0.392***
	(0.00521)
284.ID	-0.392***
	(0.00521)
285.ID	-0.392***
	(0.00521)
286.ID	-0.392***
	(0.00521)
288.ID	1.588***
	(0.00521)
289.ID	1.588***
	(0.00521)
291.ID	-0.392***
	(0.00521)
292.ID	1.683***
	(0.0954)
293.ID	-0.392***
	(0.00521)
294.ID	-0
	(0.00521)
295.ID	-0.392***
	(0.00521)
297.ID	1.588***
	(0.00521)
298.ID	1.588***
	(0.00521)
299.ID	2.096***
	(0.00521)
300.ID	0.999*
	(0.589)
301.ID	-0.392***
	(0.00521)
302.ID	1.338*
	(0.755)
303.ID	0.281***
	(0.00521)
305.ID	1.588***
	(0.00521)
306.ID	-0
	(0.00521)
307.ID	-0.0679
	(0.113)
308.ID	0.500***
	(0.00521)
309.ID	-0.177***
	(0.00521)
310.ID	-0.392***
	(0.00521)
311.ID	-1.665***
	(0.00521)
312.ID	1.588***
	(0.00521)
313.ID	-0.249***
	(0.0686)
314.ID	-0.131
	(0.128)
315.ID	-0.392***
	(0.00521)
317.ID	1.588***
	(0.00521)
318.ID	1.588***
	(0.00521)
319.ID	1.588***
	(0.00521)
321.ID	-0
	(0.00521)
322.ID	1.874***
	(0.00521)
323.ID	-0.177***
	(0.00521)
324.ID	1.588***
	(0.00521)
326.ID	1.588***
	(0.00521)
327.ID	1.588***
	(0.00521)
329.ID	-0.392***
	(0.00521)
330.ID	1.874***
	(0.00521)
331.ID	-0.392***
	(0.00521)
333.ID	1.249***
	(0.166)
334.ID	-0.392***
	(0.00521)
335.ID	-0.392***
	(0.00521)
336.ID	1.519***
	(0.00521)
337.ID	-0.392***
	(0.00521)
338.ID	1.588***
	(0.00521)
339.ID	1.588***
	(0.00521)
340.ID	2.096***
	(0.00521)
341.ID	-0.249***
	(0.0750)
342.ID	-0.392***
	(0.00521)
343.ID	1.225***
	(0.363)
344.ID	-0.177***
	(0.00521)
345.ID	1.927***
	(0.166)
346.ID	-1.665***
	(0.00521)
347.ID	-0
	(0.00521)
348.ID	-0.392***
	(0.00521)
349.ID	-1.665***
	(0.00521)
350.ID	-0.392***
	(0.00521)
352.ID	1.588***
	(0.00521)
353.ID	1.185***
	(0.00521)
354.ID	-0.392***
	(0.00521)
355.ID	-0
	(0.00521)
356.ID	-0.177***
	(0.00521)
357.ID	1.588***
	(0.00521)
358.ID	-0.392***
	(0.00521)
359.ID	1.588***
	(0.00521)
361.ID	-0.392***
	(0.00521)
364.ID	1.778***
	(0.0923)
365.ID	-0.392***
	(0.00521)
366.ID	1.948***
	(0.0741)
370.ID	1.588***
	(0.00521)
373.ID	-0.392***
	(0.00521)
374.ID	1.588***
	(0.00521)
375.ID	-0.392***
	(0.00521)
377.ID	-0.392***
	(0.00521)
378.ID	-0.392***
	(0.00521)
379.ID	-0.320***
	(0.0752)
381.ID	-1.046***
	(0.00521)
382.ID	-1.665***
	(0.00521)
383.ID	-0.392***
	(0.00521)
385.ID	1.588***
	(0.00521)
386.ID	-1.046***
	(0.00521)
387.ID	-0.392***
	(0.00521)
388.ID	-0.177***
	(0.00521)
389.ID	1.588***
	(0.00521)
390.ID	1.757***
	(0.173)
391.ID	-0.392***
	(0.00521)
393.ID	1.588***
	(0.00521)
394.ID	1.588***
	(0.00521)
395.ID	1.588***
	(0.00521)
397.ID	-0.392***
	(0.00521)
398.ID	-1.046***
	(0.00521)
399.ID	-0.177***
	(0.00521)
400.ID	0.928
	(0.657)
401.ID	0.500***
	(0.00521)
402.ID	-0.392***
	(0.00521)
403.ID	-0.392***
	(0.00521)
404.ID	-0
	(0.00521)
405.ID	-0.392***
	(0.00521)
406.ID	1.185***
	(0.00521)
407.ID	1.588***
	(0.00521)
408.ID	1.927***
	(0.170)
409.ID	-1.046***
	(0.00521)
410.ID	-0.392***
	(0.00521)
411.ID	-0.575***
	(0.0949)
413.ID	-0
	(0.00521)
414.ID	-0.392***
	(0.00521)
415.ID	-0.392***
	(0.00521)
416.ID	-0.177***
	(0.00521)
417.ID	-1.046***
	(0.00521)
418.ID	0.268
	(0.657)
419.ID	-0.392***
	(0.00521)
420.ID	-0.177***
	(0.00521)
421.ID	-0.392***
	(0.00521)
423.ID	1.588***
	(0.00521)
424.ID	1.588***
	(0.00521)
426.ID	-0.392***
	(0.00521)
428.ID	-0.392***
	(0.00521)
429.ID	-0.392***
	(0.00521)
430.ID	2.096***
	(0.00521)
431.ID	-0.177***
	(0.00521)
432.ID	1.588***
	(0.00521)
433.ID	-0.392***
	(0.00521)
434.ID	-0.392***
	(0.00521)
435.ID	2.096***
	(0.00521)
436.ID	-0.177***
	(0.00521)
437.ID	-1.046***
	(0.00521)
438.ID	1.588***
	(0.00521)
439.ID	1.588***
	(0.00521)
440.ID	-0.177***
	(0.00521)
441.ID	1.588***
	(0.00521)
447.ID	0.500***
	(0.00521)
448.ID	1.058**
	(0.530)
450.ID	-0.392***
	(0.00521)
451.ID	1.588***
	(0.00521)
452.ID	-0.177***
	(0.00521)
453.ID	2.096***
	(0.00521)
454.ID	-0.177***
	(0.00521)
455.ID	1.588***
	(0.00521)
456.ID	-1.665***
	(0.00521)
457.ID	2.096***
	(0.00521)
458.ID	2.096***
	(0.00521)
459.ID	-0.177***
	(0.00521)
460.ID	-0.392***
	(0.00521)
462.ID	1.588***
	(0.00521)
465.ID	0.500***
	(0.00521)
466.ID	1.588***
	(0.00521)
467.ID	1.588***
	(0.00521)
468.ID	2.096***
	(0.00521)
469.ID	-0.392***
	(0.00521)
470.ID	1.588***
	(0.00521)
471.ID	2.096***
	(0.00521)
472.ID	2.096***
	(0.00521)
473.ID	1.588***
	(0.00521)
474.ID	1.588***
	(0.00521)
475.ID	-0.392***
	(0.00521)
476.ID	1.588***
	(0.00521)
477.ID	1.874***
	(0.00521)
478.ID	2.096***
	(0.00521)
479.ID	1.588***
	(0.00521)
480.ID	0.500***
	(0.00521)
481.ID	1.588***
	(0.00521)
482.ID	2.096***
	(0.00521)
483.ID	-1.046***
	(0.00521)
484.ID	1.874***
	(0.00521)
488.ID	2.096***
	(0.00521)
489.ID	-0.666***
	(0.00521)
490.ID	-0.392***
	(0.00521)
491.ID	-1.668***
	(0.00521)
493.ID	-0.392***
	(0.00521)
494.ID	1.588***
	(0.00521)
495.ID	1.757***
	(0.170)
497.ID	-0.177***
	(0.00521)
498.ID	2.096***
	(0.00521)
499.ID	0.150***
	(0.00521)
501.ID	-0.177***
	(0.00521)
502.ID	-1.665***
	(0.00521)
503.ID	1.172***
	(0.211)
504.ID	1.588***
	(0.00521)
505.ID	0.500***
	(0.00521)
506.ID	-0.392***
	(0.00521)
507.ID	1.588***
	(0.00521)
508.ID	-0.392***
	(0.00521)
509.ID	-0.392***
	(0.00521)
