	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00572
	(0.00806)
2.treated	-0.00699
	(0.00930)
1.ID	-0
	(0.00520)
2.ID	1.588***
	(0.00520)
3.ID	-0.392***
	(0.00520)
4.ID	1.588***
	(0.00520)
5.ID	-0.177***
	(0.00520)
6.ID	-0.392***
	(0.00520)
7.ID	1.683***
	(0.0954)
8.ID	-0.177***
	(0.00520)
9.ID	-0.392***
	(0.00520)
10.ID	2.096***
	(0.00520)
12.ID	2.096***
	(0.00520)
15.ID	-0.392***
	(0.00520)
16.ID	1.588***
	(0.00520)
18.ID	-0.392***
	(0.00520)
19.ID	-0.177***
	(0.00520)
20.ID	1.588***
	(0.00520)
21.ID	-0.177***
	(0.00520)
22.ID	-0
	(0.00520)
23.ID	1.588***
	(0.00520)
24.ID	1.588***
	(0.00520)
25.ID	-0.177***
	(0.00520)
26.ID	-1.046***
	(0.00520)
27.ID	-0.320***
	(0.0752)
28.ID	-0.392***
	(0.00520)
29.ID	-0.392***
	(0.00520)
30.ID	-0.392***
	(0.00520)
31.ID	0.680***
	(0.00520)
32.ID	1.588***
	(0.00520)
33.ID	1.588***
	(0.00520)
34.ID	1.588***
	(0.00520)
35.ID	-0.392***
	(0.00520)
36.ID	-0.392***
	(0.00520)
37.ID	-0.392***
	(0.00520)
39.ID	1.588***
	(0.00520)
40.ID	1.588***
	(0.00520)
41.ID	-0
	(0.00520)
42.ID	2.096***
	(0.00520)
43.ID	-0.392***
	(0.00520)
46.ID	-0.249***
	(0.0722)
47.ID	-0.666***
	(0.00520)
48.ID	1.588***
	(0.00520)
49.ID	1.588***
	(0.00520)
51.ID	-0.392***
	(0.00520)
52.ID	-0.177***
	(0.00520)
53.ID	1.853***
	(0.145)
54.ID	-0.392***
	(0.00520)
55.ID	-0.392***
	(0.00520)
56.ID	1.588***
	(0.00520)
57.ID	-0.392***
	(0.00520)
58.ID	1.588***
	(0.00520)
60.ID	-0.392***
	(0.00520)
61.ID	-0.392***
	(0.00520)
62.ID	-0.177***
	(0.00520)
63.ID	-0.392***
	(0.00520)
64.ID	1.874***
	(0.00520)
66.ID	-0.177***
	(0.00520)
67.ID	1.588***
	(0.00520)
68.ID	1.185***
	(0.00520)
69.ID	-0.392***
	(0.00520)
70.ID	2.022***
	(0.0774)
71.ID	2.096***
	(0.00520)
72.ID	2.096***
	(0.00520)
73.ID	-0.392***
	(0.00520)
74.ID	2.096***
	(0.00520)
76.ID	-0.392***
	(0.00520)
78.ID	-0.392***
	(0.00520)
79.ID	-0.392***
	(0.00520)
81.ID	-0.392***
	(0.00520)
82.ID	-0
	(0.00520)
83.ID	-0.177***
	(0.00520)
85.ID	0.928
	(0.657)
86.ID	1.588***
	(0.00520)
87.ID	1.588***
	(0.00520)
88.ID	2.096***
	(0.00520)
89.ID	-0.392***
	(0.00520)
90.ID	-0.392***
	(0.00520)
91.ID	0.964***
	(0.00520)
92.ID	-1.046***
	(0.00520)
93.ID	-0
	(0.00520)
94.ID	-0.392***
	(0.00520)
95.ID	2.096***
	(0.00520)
96.ID	-0.392***
	(0.00520)
97.ID	-1.308***
	(0.00520)
98.ID	0.500***
	(0.00520)
99.ID	-0.177***
	(0.00520)
100.ID	-0.177***
	(0.00520)
102.ID	-1.046***
	(0.00520)
103.ID	-0.392***
	(0.00520)
104.ID	-0.392***
	(0.00520)
105.ID	-0.392***
	(0.00520)
106.ID	2.096***
	(0.00520)
107.ID	2.096***
	(0.00520)
108.ID	2.096***
	(0.00520)
109.ID	-0.177***
	(0.00520)
110.ID	-1.046***
	(0.00520)
111.ID	-1.046***
	(0.00520)
112.ID	1.588***
	(0.00520)
113.ID	-0.392***
	(0.00520)
114.ID	0.928
	(0.657)
115.ID	1.588***
	(0.00520)
116.ID	-0.177***
	(0.00520)
117.ID	1.588***
	(0.00520)
118.ID	1.588***
	(0.00520)
119.ID	2.096***
	(0.00520)
120.ID	0.832***
	(0.00520)
121.ID	1.588***
	(0.00520)
122.ID	2.096***
	(0.00520)
123.ID	2.096***
	(0.00520)
126.ID	1.588***
	(0.00520)
127.ID	-1.046***
	(0.00520)
128.ID	-0.177***
	(0.00520)
129.ID	1.588***
	(0.00520)
130.ID	-0.392***
	(0.00520)
131.ID	-0.177***
	(0.00520)
132.ID	-1.046***
	(0.00520)
133.ID	1.588***
	(0.00520)
134.ID	0.500***
	(0.00520)
135.ID	-0.392***
	(0.00520)
136.ID	1.588***
	(0.00520)
137.ID	1.588***
	(0.00520)
138.ID	2.096***
	(0.00520)
139.ID	-0.392***
	(0.00520)
140.ID	-0
	(0.00520)
142.ID	-0.392***
	(0.00520)
145.ID	-0.177***
	(0.00520)
146.ID	1.757***
	(0.170)
147.ID	2.096***
	(0.00520)
149.ID	-1.046***
	(0.00520)
150.ID	-0.392***
	(0.00520)
151.ID	-0.177***
	(0.00520)
152.ID	1.588***
	(0.00520)
154.ID	1.757***
	(0.170)
155.ID	-0.392***
	(0.00520)
156.ID	-0.392***
	(0.00520)
158.ID	1.588***
	(0.00520)
159.ID	-0.118*
	(0.0624)
160.ID	1.588***
	(0.00520)
161.ID	1.874***
	(0.00520)
163.ID	0.0487
	(0.229)
164.ID	-0.392***
	(0.00520)
165.ID	-0.392***
	(0.00520)
166.ID	0.928
	(0.657)
167.ID	-0.392***
	(0.00520)
168.ID	1.588***
	(0.00520)
169.ID	1.588***
	(0.00520)
170.ID	-0.177***
	(0.00520)
171.ID	-0.177***
	(0.00520)
172.ID	-0.392***
	(0.00520)
173.ID	1.588***
	(0.00520)
174.ID	1.588***
	(0.00520)
175.ID	-0.177***
	(0.00520)
176.ID	-0.392***
	(0.00520)
177.ID	1.588***
	(0.00520)
178.ID	-1.046***
	(0.00520)
179.ID	-0.392***
	(0.00520)
180.ID	0.759***
	(0.00520)
181.ID	-0.919***
	(0.130)
182.ID	-0.392***
	(0.00520)
183.ID	-0.249***
	(0.0722)
184.ID	-0.392***
	(0.00520)
185.ID	2.096***
	(0.00520)
186.ID	1.185***
	(0.00520)
188.ID	1.588***
	(0.00520)
189.ID	-0.177***
	(0.00520)
190.ID	-0.392***
	(0.00520)
191.ID	-0.177***
	(0.00520)
192.ID	-0.392***
	(0.00520)
194.ID	1.588***
	(0.00520)
196.ID	-0.392***
	(0.00520)
197.ID	1.588***
	(0.00520)
198.ID	-0.392***
	(0.00520)
199.ID	-0.392***
	(0.00520)
200.ID	1.588***
	(0.00520)
201.ID	-0.392***
	(0.00520)
202.ID	1.588***
	(0.00520)
203.ID	2.096***
	(0.00520)
204.ID	2.096***
	(0.00520)
205.ID	1.588***
	(0.00520)
206.ID	-0.392***
	(0.00520)
207.ID	-0.392***
	(0.00520)
208.ID	-0.392***
	(0.00520)
209.ID	1.927***
	(0.166)
210.ID	-0.392***
	(0.00520)
212.ID	-0.392***
	(0.00520)
213.ID	2.096***
	(0.00520)
214.ID	-0.392***
	(0.00520)
217.ID	1.588***
	(0.00520)
218.ID	-0.392***
	(0.00520)
219.ID	-0.177***
	(0.00520)
220.ID	1.588***
	(0.00520)
221.ID	1.588***
	(0.00520)
223.ID	-0.177***
	(0.00520)
224.ID	1.588***
	(0.00520)
225.ID	1.588***
	(0.00520)
226.ID	-0.666***
	(0.00520)
227.ID	1.588***
	(0.00520)
229.ID	1.588***
	(0.00520)
230.ID	1.588***
	(0.00520)
231.ID	1.588***
	(0.00520)
232.ID	-0.392***
	(0.00520)
233.ID	-0.177***
	(0.00520)
234.ID	1.588***
	(0.00520)
235.ID	0.500***
	(0.00520)
236.ID	2.096***
	(0.00520)
237.ID	1.588***
	(0.00520)
239.ID	1.683***
	(0.0925)
240.ID	1.588***
	(0.00520)
242.ID	-0.392***
	(0.00520)
243.ID	1.185***
	(0.00520)
245.ID	-0.392***
	(0.00520)
246.ID	1.588***
	(0.00520)
248.ID	-0
	(0.00520)
249.ID	-0.392***
	(0.00520)
250.ID	2.096***
	(0.00520)
251.ID	-0.392***
	(0.00520)
252.ID	-0.177***
	(0.00520)
254.ID	-0.392***
	(0.00520)
257.ID	1.588***
	(0.00520)
258.ID	-0.392***
	(0.00520)
259.ID	1.588***
	(0.00520)
261.ID	-1.046***
	(0.00520)
263.ID	-0.392***
	(0.00520)
264.ID	2.096***
	(0.00520)
265.ID	1.581***
	(0.00600)
266.ID	1.588***
	(0.00520)
267.ID	-0.177***
	(0.00520)
268.ID	1.588***
	(0.00520)
269.ID	0.928
	(0.657)
271.ID	-0.320***
	(0.0752)
272.ID	2.096***
	(0.00520)
274.ID	-0.392***
	(0.00520)
275.ID	-0.177***
	(0.00520)
276.ID	1.185***
	(0.00520)
277.ID	1.588***
	(0.00520)
278.ID	-0.838***
	(0.00520)
279.ID	-0.177***
	(0.00520)
280.ID	1.588***
	(0.00520)
281.ID	1.588***
	(0.00520)
282.ID	-0.575***
	(0.0949)
283.ID	-0.392***
	(0.00520)
284.ID	-0.392***
	(0.00520)
285.ID	-0.392***
	(0.00520)
286.ID	-0.392***
	(0.00520)
288.ID	1.588***
	(0.00520)
289.ID	1.588***
	(0.00520)
291.ID	-0.392***
	(0.00520)
292.ID	1.683***
	(0.0954)
293.ID	-0.392***
	(0.00520)
294.ID	-0
	(0.00520)
295.ID	-0.392***
	(0.00520)
297.ID	1.588***
	(0.00520)
298.ID	1.588***
	(0.00520)
299.ID	2.096***
	(0.00520)
300.ID	0.999*
	(0.589)
301.ID	-0.392***
	(0.00520)
302.ID	1.338*
	(0.755)
303.ID	0.281***
	(0.00520)
305.ID	1.588***
	(0.00520)
306.ID	-0
	(0.00520)
307.ID	-0.0679
	(0.113)
308.ID	0.500***
	(0.00520)
309.ID	-0.177***
	(0.00520)
310.ID	-0.392***
	(0.00520)
311.ID	-1.665***
	(0.00520)
312.ID	1.588***
	(0.00520)
313.ID	-0.249***
	(0.0686)
314.ID	-0.131
	(0.128)
315.ID	-0.392***
	(0.00520)
317.ID	1.588***
	(0.00520)
318.ID	1.588***
	(0.00520)
319.ID	1.588***
	(0.00520)
321.ID	-0
	(0.00520)
322.ID	1.874***
	(0.00520)
323.ID	-0.177***
	(0.00520)
324.ID	1.588***
	(0.00520)
326.ID	1.588***
	(0.00520)
327.ID	1.588***
	(0.00520)
329.ID	-0.392***
	(0.00520)
330.ID	1.874***
	(0.00520)
331.ID	-0.392***
	(0.00520)
333.ID	1.249***
	(0.166)
334.ID	-0.392***
	(0.00520)
335.ID	-0.392***
	(0.00520)
336.ID	1.519***
	(0.00520)
337.ID	-0.392***
	(0.00520)
338.ID	1.588***
	(0.00520)
339.ID	1.588***
	(0.00520)
340.ID	2.096***
	(0.00520)
341.ID	-0.249***
	(0.0750)
342.ID	-0.392***
	(0.00520)
343.ID	1.225***
	(0.363)
344.ID	-0.177***
	(0.00520)
345.ID	1.927***
	(0.166)
346.ID	-1.665***
	(0.00520)
347.ID	-0
	(0.00520)
348.ID	-0.392***
	(0.00520)
349.ID	-1.665***
	(0.00520)
350.ID	-0.392***
	(0.00520)
352.ID	1.588***
	(0.00520)
353.ID	1.185***
	(0.00520)
354.ID	-0.392***
	(0.00520)
355.ID	-0
	(0.00520)
356.ID	-0.177***
	(0.00520)
357.ID	1.588***
	(0.00520)
358.ID	-0.392***
	(0.00520)
359.ID	1.588***
	(0.00520)
361.ID	-0.392***
	(0.00520)
364.ID	1.778***
	(0.0923)
365.ID	-0.392***
	(0.00520)
366.ID	1.948***
	(0.0741)
370.ID	1.588***
	(0.00520)
373.ID	-0.392***
	(0.00520)
374.ID	1.588***
	(0.00520)
375.ID	-0.392***
	(0.00520)
377.ID	-0.392***
	(0.00520)
378.ID	-0.392***
	(0.00520)
379.ID	-0.320***
	(0.0752)
381.ID	-1.046***
	(0.00520)
382.ID	-1.665***
	(0.00520)
383.ID	-0.392***
	(0.00520)
385.ID	1.588***
	(0.00520)
386.ID	-1.046***
	(0.00520)
387.ID	-0.392***
	(0.00520)
388.ID	-0.177***
	(0.00520)
389.ID	1.588***
	(0.00520)
390.ID	1.757***
	(0.173)
391.ID	-0.392***
	(0.00520)
393.ID	1.588***
	(0.00520)
394.ID	1.588***
	(0.00520)
395.ID	1.588***
	(0.00520)
397.ID	-0.392***
	(0.00520)
398.ID	-1.046***
	(0.00520)
399.ID	-0.177***
	(0.00520)
400.ID	0.928
	(0.657)
401.ID	0.500***
	(0.00520)
402.ID	-0.392***
	(0.00520)
403.ID	-0.392***
	(0.00520)
404.ID	-0
	(0.00520)
405.ID	-0.392***
	(0.00520)
406.ID	1.185***
	(0.00520)
407.ID	1.588***
	(0.00520)
408.ID	1.927***
	(0.170)
409.ID	-1.046***
	(0.00520)
410.ID	-0.392***
	(0.00520)
411.ID	-0.575***
	(0.0949)
413.ID	-0
	(0.00520)
414.ID	-0.392***
	(0.00520)
415.ID	-0.392***
	(0.00520)
416.ID	-0.177***
	(0.00520)
417.ID	-1.046***
	(0.00520)
418.ID	0.268
	(0.657)
419.ID	-0.392***
	(0.00520)
420.ID	-0.177***
	(0.00520)
421.ID	-0.392***
	(0.00520)
423.ID	1.588***
	(0.00520)
424.ID	1.588***
	(0.00520)
426.ID	-0.392***
	(0.00520)
428.ID	-0.392***
	(0.00520)
429.ID	-0.392***
	(0.00520)
430.ID	2.096***
	(0.00520)
431.ID	-0.177***
	(0.00520)
432.ID	1.588***
	(0.00520)
433.ID	-0.392***
	(0.00520)
434.ID	-0.392***
	(0.00520)
435.ID	2.096***
	(0.00520)
436.ID	-0.177***
	(0.00520)
437.ID	-1.046***
	(0.00520)
438.ID	1.588***
	(0.00520)
439.ID	1.588***
	(0.00520)
440.ID	-0.177***
	(0.00520)
441.ID	1.588***
	(0.00520)
447.ID	0.500***
	(0.00520)
448.ID	1.058**
	(0.530)
450.ID	-0.392***
	(0.00520)
451.ID	1.588***
	(0.00520)
452.ID	-0.177***
	(0.00520)
453.ID	2.096***
	(0.00520)
454.ID	-0.177***
	(0.00520)
455.ID	1.588***
	(0.00520)
456.ID	-1.665***
	(0.00520)
457.ID	2.096***
	(0.00520)
458.ID	2.096***
	(0.00520)
459.ID	-0.177***
	(0.00520)
460.ID	-0.392***
	(0.00520)
462.ID	1.588***
	(0.00520)
465.ID	0.500***
	(0.00520)
466.ID	1.588***
	(0.00520)
467.ID	1.588***
	(0.00520)
468.ID	2.096***
	(0.00520)
469.ID	-0.392***
	(0.00520)
470.ID	1.588***
	(0.00520)
471.ID	2.096***
	(0.00520)
472.ID	2.096***
	(0.00520)
473.ID	1.588***
	(0.00520)
474.ID	1.588***
	(0.00520)
475.ID	-0.392***
	(0.00520)
476.ID	1.588***
	(0.00520)
477.ID	1.874***
	(0.00520)
478.ID	2.096***
	(0.00520)
479.ID	1.588***
	(0.00520)
480.ID	0.500***
	(0.00520)
481.ID	1.588***
	(0.00520)
482.ID	2.096***
	(0.00520)
483.ID	-1.046***
	(0.00520)
484.ID	1.874***
	(0.00520)
488.ID	2.096***
	(0.00520)
489.ID	-0.666***
	(0.00520)
490.ID	-0.392***
	(0.00520)
491.ID	-1.668***
	(0.00520)
493.ID	-0.392***
	(0.00520)
494.ID	1.588***
	(0.00520)
495.ID	1.757***
	(0.170)
497.ID	-0.177***
	(0.00520)
498.ID	2.096***
	(0.00520)
499.ID	0.150***
	(0.00520)
501.ID	-0.177***
	(0.00520)
502.ID	-1.665***
	(0.00520)
503.ID	1.172***
	(0.211)
504.ID	1.588***
	(0.00520)
505.ID	0.500***
	(0.00520)
506.ID	-0.392***
	(0.00520)
507.ID	1.588***
	(0.00520)
508.ID	-0.392***
	(0.00520)
509.ID	-0.392***
	(0.00520)
