	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0134
	(0.0126)
1.ID	0
	(0.00947)
2.ID	1.588***
	(0.00947)
3.ID	-0.392***
	(0.00947)
4.ID	1.588***
	(0.00947)
5.ID	-0.177***
	(0.00947)
6.ID	-0.392***
	(0.00947)
7.ID	1.588***
	(0.00947)
8.ID	-0.177***
	(0.00947)
9.ID	-0.392***
	(0.00947)
10.ID	2.096***
	(0.00947)
12.ID	2.096***
	(0.00947)
14.ID	1.588***
	(0.00947)
15.ID	-0.392***
	(0.00947)
16.ID	1.588***
	(0.00947)
17.ID	1.588***
	(0.00947)
18.ID	-0.392***
	(0.00947)
19.ID	-0.177***
	(0.00947)
20.ID	1.588***
	(0.00947)
21.ID	-0.0885
	(0.0822)
22.ID	0
	(0.00947)
23.ID	1.588***
	(0.00947)
24.ID	1.588***
	(0.00947)
25.ID	0.960
	(1.145)
26.ID	-1.046***
	(0.00947)
27.ID	-0.392***
	(0.00947)
28.ID	-0.529***
	(0.144)
29.ID	-0.392***
	(0.00947)
30.ID	-0.392***
	(0.00947)
31.ID	0.680***
	(0.00947)
32.ID	1.594***
	(0.00918)
33.ID	1.588***
	(0.00947)
34.ID	1.588***
	(0.00947)
35.ID	-0.392***
	(0.00947)
36.ID	-0.392***
	(0.00947)
37.ID	-0.392***
	(0.00947)
38.ID	-0.392***
	(0.00947)
39.ID	1.588***
	(0.00947)
40.ID	1.588***
	(0.00947)
41.ID	0
	(0.00947)
42.ID	2.096***
	(0.00947)
43.ID	-0.392***
	(0.00947)
46.ID	-0.177***
	(0.00947)
47.ID	-0.666***
	(0.00947)
48.ID	1.588***
	(0.00947)
49.ID	1.588***
	(0.00947)
50.ID	1.588***
	(0.00947)
51.ID	-0.392***
	(0.00947)
52.ID	-0.177***
	(0.00947)
53.ID	2.096***
	(0.00947)
54.ID	-0.392***
	(0.00947)
55.ID	-0.392***
	(0.00947)
56.ID	1.588***
	(0.00947)
57.ID	-0.392***
	(0.00947)
58.ID	1.588***
	(0.00947)
59.ID	0.281***
	(0.00947)
60.ID	-0.392***
	(0.00947)
61.ID	-0.392***
	(0.00947)
62.ID	-0.177***
	(0.00947)
63.ID	-0.392***
	(0.00947)
64.ID	1.731***
	(0.150)
65.ID	0.598
	(0.985)
66.ID	-0.177***
	(0.00947)
67.ID	1.588***
	(0.00947)
68.ID	1.185***
	(0.00947)
69.ID	-0.392***
	(0.00947)
71.ID	2.096***
	(0.00947)
72.ID	2.096***
	(0.00947)
73.ID	-0.392***
	(0.00947)
74.ID	2.096***
	(0.00947)
76.ID	-0.392***
	(0.00947)
77.ID	0.598
	(0.985)
78.ID	-0.392***
	(0.00947)
79.ID	-0.392***
	(0.00947)
80.ID	1.588***
	(0.00947)
81.ID	-0.392***
	(0.00947)
82.ID	0
	(0.00947)
83.ID	-0.177***
	(0.00947)
84.ID	2.096***
	(0.00947)
85.ID	1.588***
	(0.00947)
86.ID	1.588***
	(0.00947)
87.ID	1.588***
	(0.00947)
88.ID	2.096***
	(0.00947)
89.ID	-0.392***
	(0.00947)
90.ID	-0.392***
	(0.00947)
91.ID	0.964***
	(0.00947)
92.ID	-1.046***
	(0.00947)
93.ID	0
	(0.00947)
94.ID	-0.392***
	(0.00947)
95.ID	2.096***
	(0.00947)
96.ID	-0.392***
	(0.00947)
97.ID	-1.308***
	(0.00947)
98.ID	0.500***
	(0.00947)
99.ID	-0.284***
	(0.101)
100.ID	-0.177***
	(0.00947)
101.ID	-0.392***
	(0.00947)
102.ID	-1.046***
	(0.00947)
103.ID	-0.392***
	(0.00947)
105.ID	-0.392***
	(0.00947)
107.ID	2.096***
	(0.00947)
108.ID	2.096***
	(0.00947)
109.ID	-0.177***
	(0.00947)
110.ID	-1.046***
	(0.00947)
111.ID	-1.046***
	(0.00947)
112.ID	1.588***
	(0.00947)
113.ID	-0.392***
	(0.00947)
114.ID	0.598
	(0.985)
115.ID	1.588***
	(0.00947)
116.ID	-0.177***
	(0.00947)
117.ID	1.588***
	(0.00947)
118.ID	1.588***
	(0.00947)
119.ID	2.096***
	(0.00947)
120.ID	0.832***
	(0.00947)
121.ID	1.588***
	(0.00947)
122.ID	0.852
	(1.253)
123.ID	2.096***
	(0.00947)
125.ID	1.588***
	(0.00947)
127.ID	-1.046***
	(0.00947)
128.ID	-0.177***
	(0.00947)
129.ID	1.588***
	(0.00947)
130.ID	-0.392***
	(0.00947)
131.ID	-0.177***
	(0.00947)
132.ID	-1.046***
	(0.00947)
133.ID	1.588***
	(0.00947)
134.ID	0.500***
	(0.00947)
135.ID	1.588***
	(0.00947)
136.ID	1.588***
	(0.00947)
137.ID	1.588***
	(0.00947)
138.ID	2.096***
	(0.00947)
139.ID	-0.392***
	(0.00947)
140.ID	0
	(0.00947)
142.ID	-0.392***
	(0.00947)
143.ID	-0.399***
	(0.00918)
144.ID	-0.392***
	(0.00947)
145.ID	-0.177***
	(0.00947)
146.ID	1.588***
	(0.00947)
148.ID	1.588***
	(0.00947)
149.ID	-1.046***
	(0.00947)
151.ID	-0.177***
	(0.00947)
152.ID	0.598
	(0.985)
153.ID	1.588***
	(0.00947)
154.ID	1.842***
	(0.261)
155.ID	-0.392***
	(0.00947)
156.ID	-0.392***
	(0.00947)
157.ID	1.588***
	(0.00947)
158.ID	1.588***
	(0.00947)
159.ID	-0.177***
	(0.00947)
160.ID	1.588***
	(0.00947)
161.ID	1.874***
	(0.00947)
163.ID	0.500***
	(0.00947)
164.ID	-0.392***
	(0.00947)
165.ID	-0.392***
	(0.00947)
166.ID	1.588***
	(0.00947)
167.ID	-0.392***
	(0.00947)
168.ID	1.588***
	(0.00947)
169.ID	1.588***
	(0.00947)
170.ID	-0.177***
	(0.00947)
171.ID	-0.177***
	(0.00947)
172.ID	-0.392***
	(0.00947)
173.ID	1.588***
	(0.00947)
174.ID	1.588***
	(0.00947)
176.ID	-0.392***
	(0.00947)
177.ID	1.588***
	(0.00947)
178.ID	-1.046***
	(0.00947)
179.ID	0.598
	(0.985)
180.ID	0.759***
	(0.00947)
181.ID	-1.046***
	(0.00947)
182.ID	-0.392***
	(0.00947)
183.ID	-0.177***
	(0.00947)
184.ID	-0.392***
	(0.00947)
185.ID	2.096***
	(0.00947)
186.ID	1.386***
	(0.195)
187.ID	2.096***
	(0.00947)
188.ID	1.842***
	(0.261)
189.ID	-0.177***
	(0.00947)
190.ID	-0.392***
	(0.00947)
191.ID	-0.177***
	(0.00947)
192.ID	-0.392***
	(0.00947)
194.ID	1.588***
	(0.00947)
196.ID	-0.392***
	(0.00947)
197.ID	1.588***
	(0.00947)
198.ID	-0.392***
	(0.00947)
199.ID	-0.392***
	(0.00947)
200.ID	1.588***
	(0.00947)
201.ID	-0.392***
	(0.00947)
202.ID	1.588***
	(0.00947)
203.ID	2.096***
	(0.00947)
204.ID	2.096***
	(0.00947)
206.ID	-0.392***
	(0.00947)
207.ID	-0.392***
	(0.00947)
208.ID	-0.392***
	(0.00947)
209.ID	1.842***
	(0.261)
212.ID	-0.392***
	(0.00947)
213.ID	2.096***
	(0.00947)
214.ID	-0.392***
	(0.00947)
215.ID	-1.658***
	(0.00918)
217.ID	1.588***
	(0.00947)
218.ID	-0.392***
	(0.00947)
219.ID	-0.177***
	(0.00947)
220.ID	1.588***
	(0.00947)
221.ID	1.588***
	(0.00947)
222.ID	2.096***
	(0.00947)
223.ID	1.842***
	(0.261)
224.ID	1.842***
	(0.261)
225.ID	1.588***
	(0.00947)
226.ID	-0.666***
	(0.00947)
227.ID	1.588***
	(0.00947)
228.ID	2.096***
	(0.00947)
229.ID	1.588***
	(0.00947)
230.ID	1.588***
	(0.00947)
231.ID	1.588***
	(0.00947)
232.ID	-0.392***
	(0.00947)
233.ID	-0.177***
	(0.00947)
234.ID	1.588***
	(0.00947)
235.ID	0.500***
	(0.00947)
236.ID	2.096***
	(0.00947)
237.ID	1.588***
	(0.00947)
238.ID	0.705
	(0.877)
239.ID	1.731***
	(0.150)
240.ID	1.588***
	(0.00947)
242.ID	-0.392***
	(0.00947)
243.ID	1.185***
	(0.00947)
245.ID	-0.392***
	(0.00947)
246.ID	1.588***
	(0.00947)
247.ID	1.588***
	(0.00947)
248.ID	0
	(0.00947)
249.ID	-0.392***
	(0.00947)
250.ID	1.842***
	(0.248)
251.ID	-0.392***
	(0.00947)
252.ID	-0.177***
	(0.00947)
253.ID	-0.392***
	(0.00947)
254.ID	-0.392***
	(0.00947)
256.ID	1.588***
	(0.00947)
257.ID	1.588***
	(0.00947)
258.ID	-0.392***
	(0.00947)
260.ID	1.588***
	(0.00947)
261.ID	-1.046***
	(0.00947)
263.ID	-0.392***
	(0.00947)
264.ID	2.096***
	(0.00947)
266.ID	1.588***
	(0.00947)
267.ID	-0.177***
	(0.00947)
268.ID	1.588***
	(0.00947)
269.ID	0.598
	(0.985)
270.ID	1.588***
	(0.00947)
271.ID	-0.392***
	(0.00947)
274.ID	-0.392***
	(0.00947)
275.ID	-0.177***
	(0.00947)
276.ID	1.185***
	(0.00947)
277.ID	1.588***
	(0.00947)
278.ID	-0.838***
	(0.00947)
279.ID	-0.177***
	(0.00947)
280.ID	1.588***
	(0.00947)
281.ID	1.588***
	(0.00947)
282.ID	-0.666***
	(0.00947)
283.ID	-0.392***
	(0.00947)
284.ID	-0.392***
	(0.00947)
285.ID	-0.392***
	(0.00947)
286.ID	-0.392***
	(0.00947)
288.ID	1.588***
	(0.00947)
289.ID	1.588***
	(0.00947)
290.ID	1.588***
	(0.00947)
291.ID	-0.392***
	(0.00947)
292.ID	1.874***
	(0.00947)
293.ID	-0.392***
	(0.00947)
294.ID	0
	(0.00947)
295.ID	0.598
	(0.998)
296.ID	0.281***
	(0.00947)
297.ID	1.588***
	(0.00947)
298.ID	1.588***
	(0.00947)
299.ID	2.096***
	(0.00947)
300.ID	1.588***
	(0.00947)
301.ID	-0.392***
	(0.00947)
302.ID	2.096***
	(0.00947)
303.ID	0.140
	(0.148)
304.ID	2.096***
	(0.00947)
305.ID	1.588***
	(0.00947)
306.ID	0
	(0.00947)
307.ID	-0.177***
	(0.00947)
309.ID	-0.177***
	(0.00947)
310.ID	-0.392***
	(0.00947)
311.ID	-1.665***
	(0.00947)
312.ID	1.588***
	(0.00947)
313.ID	-0.177***
	(0.00947)
314.ID	-0.392***
	(0.00947)
315.ID	-0.392***
	(0.00947)
316.ID	0.794
	(0.802)
317.ID	1.588***
	(0.00947)
318.ID	1.588***
	(0.00947)
319.ID	1.588***
	(0.00947)
320.ID	-0.177***
	(0.00947)
321.ID	0
	(0.00947)
322.ID	1.985***
	(0.105)
323.ID	0.960
	(1.145)
324.ID	0.598
	(0.985)
325.ID	-0.392***
	(0.00947)
326.ID	1.588***
	(0.00947)
327.ID	1.588***
	(0.00947)
328.ID	1.588***
	(0.00947)
329.ID	-0.392***
	(0.00947)
330.ID	1.874***
	(0.00947)
331.ID	-0.392***
	(0.00947)
332.ID	1.588***
	(0.00947)
333.ID	1.588***
	(0.00947)
334.ID	-0.392***
	(0.00947)
335.ID	-0.392***
	(0.00947)
336.ID	1.519***
	(0.00947)
337.ID	-0.392***
	(0.00947)
338.ID	1.588***
	(0.00947)
339.ID	1.588***
	(0.00947)
340.ID	2.096***
	(0.00947)
341.ID	-0.177***
	(0.00947)
342.ID	-0.392***
	(0.00947)
343.ID	1.588***
	(0.00947)
344.ID	-0.177***
	(0.00947)
346.ID	-1.665***
	(0.00947)
347.ID	0
	(0.00947)
348.ID	-0.392***
	(0.00947)
349.ID	-1.665***
	(0.00947)
350.ID	-0.392***
	(0.00947)
352.ID	1.588***
	(0.00947)
353.ID	1.185***
	(0.00947)
354.ID	-0.392***
	(0.00947)
355.ID	0
	(0.00947)
358.ID	-0.392***
	(0.00947)
359.ID	1.588***
	(0.00947)
361.ID	-0.392***
	(0.00947)
364.ID	1.874***
	(0.00947)
365.ID	-0.392***
	(0.00947)
366.ID	2.096***
	(0.00947)
369.ID	1.588***
	(0.00947)
370.ID	1.588***
	(0.00947)
372.ID	1.588***
	(0.00947)
373.ID	-0.392***
	(0.00947)
374.ID	1.588***
	(0.00947)
375.ID	-0.392***
	(0.00947)
377.ID	-0.392***
	(0.00947)
378.ID	-0.392***
	(0.00947)
379.ID	-0.177***
	(0.00947)
381.ID	-0.719**
	(0.321)
382.ID	-1.665***
	(0.00947)
383.ID	-0.392***
	(0.00947)
385.ID	1.588***
	(0.00947)
386.ID	-1.046***
	(0.00947)
387.ID	-0.392***
	(0.00947)
388.ID	-0.177***
	(0.00947)
389.ID	1.588***
	(0.00947)
390.ID	2.096***
	(0.00947)
391.ID	-0.392***
	(0.00947)
393.ID	1.588***
	(0.00947)
394.ID	1.588***
	(0.00947)
395.ID	1.588***
	(0.00947)
396.ID	1.588***
	(0.00947)
397.ID	-0.392***
	(0.00947)
398.ID	-1.046***
	(0.00947)
399.ID	-0.177***
	(0.00947)
400.ID	1.588***
	(0.00947)
401.ID	0.500***
	(0.00947)
402.ID	-0.392***
	(0.00947)
403.ID	-0.392***
	(0.00947)
404.ID	0
	(0.00947)
405.ID	-0.392***
	(0.00947)
406.ID	1.185***
	(0.00947)
407.ID	1.588***
	(0.00947)
408.ID	2.096***
	(0.00947)
409.ID	-1.046***
	(0.00947)
410.ID	-0.392***
	(0.00947)
411.ID	-0.392***
	(0.00947)
412.ID	1.588***
	(0.00947)
413.ID	0
	(0.00947)
414.ID	-0.392***
	(0.00947)
415.ID	-0.392***
	(0.00947)
416.ID	-0.177***
	(0.00947)
417.ID	-1.046***
	(0.00947)
418.ID	-0.392***
	(0.00947)
419.ID	-0.392***
	(0.00947)
420.ID	-0.177***
	(0.00947)
421.ID	-0.392***
	(0.00947)
423.ID	1.588***
	(0.00947)
424.ID	1.588***
	(0.00947)
425.ID	1.588***
	(0.00947)
426.ID	-0.392***
	(0.00947)
428.ID	-0.392***
	(0.00947)
429.ID	-0.392***
	(0.00947)
430.ID	2.096***
	(0.00947)
431.ID	-0.177***
	(0.00947)
432.ID	1.588***
	(0.00947)
433.ID	-0.392***
	(0.00947)
434.ID	-0.392***
	(0.00947)
435.ID	2.096***
	(0.00947)
436.ID	0.960
	(1.145)
437.ID	-1.046***
	(0.00947)
438.ID	1.588***
	(0.00947)
439.ID	1.588***
	(0.00947)
440.ID	-0.177***
	(0.00947)
441.ID	1.588***
	(0.00947)
442.ID	1.080***
	(0.00947)
445.ID	-0.392***
	(0.00947)
446.ID	1.588***
	(0.00947)
447.ID	0.500***
	(0.00947)
448.ID	1.588***
	(0.00947)
449.ID	1.588***
	(0.00947)
450.ID	-0.392***
	(0.00947)
451.ID	1.588***
	(0.00947)
452.ID	-0.177***
	(0.00947)
454.ID	-0.177***
	(0.00947)
455.ID	1.588***
	(0.00947)
456.ID	-1.665***
	(0.00947)
458.ID	2.096***
	(0.00947)
459.ID	-0.177***
	(0.00947)
460.ID	-0.392***
	(0.00947)
461.ID	2.096***
	(0.00947)
462.ID	1.588***
	(0.00947)
464.ID	1.588***
	(0.00947)
465.ID	0.500***
	(0.00947)
466.ID	1.588***
	(0.00947)
467.ID	1.588***
	(0.00947)
468.ID	2.096***
	(0.00947)
469.ID	-0.392***
	(0.00947)
470.ID	1.588***
	(0.00947)
471.ID	2.096***
	(0.00947)
472.ID	2.096***
	(0.00947)
473.ID	1.588***
	(0.00947)
474.ID	1.588***
	(0.00947)
475.ID	-0.392***
	(0.00947)
476.ID	1.588***
	(0.00947)
477.ID	1.874***
	(0.00947)
478.ID	2.096***
	(0.00947)
479.ID	1.588***
	(0.00947)
480.ID	0.500***
