	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0235
	(0.0170)
1.ID	-0
	(0)
2.ID	1.588***
	(0)
3.ID	-0.392***
	(0)
4.ID	1.588***
	(0)
5.ID	-0.177***
	(0)
6.ID	-0.392***
	(0)
7.ID	1.588***
	(0)
8.ID	-0.177***
	(0)
9.ID	-0.392***
	(0)
10.ID	2.096***
	(0)
12.ID	2.096***
	(0)
14.ID	1.588***
	(0)
15.ID	-0.392***
	(0)
16.ID	1.588***
	(0)
17.ID	1.588***
	(0)
18.ID	-0.392***
	(0)
19.ID	-0.177***
	(0)
20.ID	1.588***
	(0)
21.ID	-0.0885***
	(0)
23.ID	1.588***
	(0)
26.ID	-1.046***
	(0)
27.ID	-0.392***
	(0)
28.ID	-0.529***
	(0)
29.ID	-0.392***
	(0)
30.ID	-0.392***
	(0)
32.ID	1.599***
	(0.00851)
33.ID	1.588***
	(0)
34.ID	1.588***
	(0)
36.ID	-0.392***
	(0)
37.ID	-0.392***
	(0)
38.ID	-0.392***
	(0)
39.ID	1.588***
	(0)
40.ID	1.588***
	(0)
41.ID	-0
	(0)
42.ID	2.096***
	(0)
43.ID	-0.392***
	(0)
47.ID	-0.666***
	(0)
48.ID	1.588***
	(0)
49.ID	1.588***
	(0)
50.ID	1.588***
	(0)
51.ID	-0.392***
	(0)
53.ID	2.096***
	(0)
54.ID	-0.392***
	(0)
55.ID	-0.392***
	(0)
56.ID	1.588***
	(0)
57.ID	-0.392***
	(0)
58.ID	1.588***
	(0)
59.ID	0.281***
	(0)
61.ID	-0.392***
	(0)
62.ID	-0.177***
	(0)
63.ID	-0.392***
	(0)
64.ID	1.731***
	(0)
65.ID	0.598***
	(0)
66.ID	-0.177***
	(0)
67.ID	1.588***
	(0)
69.ID	-0.392***
	(0)
71.ID	2.096***
	(0)
73.ID	-0.392***
	(0)
74.ID	2.096***
	(0)
76.ID	-0.392***
	(0)
77.ID	0.598***
	(0)
78.ID	-0.392***
	(0)
79.ID	-0.392***
	(0)
80.ID	1.588***
	(0)
81.ID	-0.392***
	(0)
82.ID	-0
	(0)
83.ID	-0.177***
	(0)
84.ID	2.096***
	(0)
85.ID	1.588***
	(0)
86.ID	1.588***
	(0)
87.ID	1.588***
	(0)
88.ID	2.096***
	(0)
89.ID	-0.392***
	(0)
90.ID	-0.392***
	(0)
91.ID	0.964***
	(0)
92.ID	-1.046***
	(0)
93.ID	-0
	(0)
94.ID	-0.392***
	(0)
95.ID	2.096***
	(0)
96.ID	-0.392***
	(0)
97.ID	-1.308***
	(0)
98.ID	0.500***
	(0)
99.ID	-0.284***
	(0)
100.ID	-0.177***
	(0)
101.ID	-0.392***
	(0)
102.ID	-1.046***
	(0)
103.ID	-0.392***
	(0)
105.ID	-0.392***
	(0)
107.ID	2.096***
	(0)
108.ID	2.096***
	(0)
109.ID	-0.177***
	(0)
110.ID	-1.046***
	(0)
111.ID	-1.046***
	(0)
112.ID	1.588***
	(0)
114.ID	0.598***
	(0)
116.ID	-0.177***
	(0)
117.ID	1.588***
	(0)
118.ID	1.588***
	(0)
119.ID	2.096***
	(0)
120.ID	0.832***
	(0)
121.ID	1.588***
	(0)
123.ID	2.096***
	(0)
125.ID	1.588***
	(0)
127.ID	-1.046***
	(0)
128.ID	-0.177***
	(0)
129.ID	1.588***
	(0)
130.ID	-0.392***
	(0)
131.ID	-0.177***
	(0)
132.ID	-1.046***
	(0)
133.ID	1.588***
	(0)
134.ID	0.500***
	(0)
135.ID	1.588***
	(0)
136.ID	1.588***
	(0)
137.ID	1.588***
	(0)
138.ID	2.096***
	(0)
139.ID	-0.392***
	(0)
140.ID	-0
	(0)
142.ID	-0.392***
	(0)
143.ID	-0.404***
	(0.00851)
144.ID	-0.392***
	(0)
145.ID	-0.177***
	(0)
146.ID	1.588***
	(0)
148.ID	1.588***
	(0)
149.ID	-1.046***
	(0)
151.ID	-0.177***
	(0)
152.ID	0.598***
	(0)
153.ID	1.588***
	(0)
154.ID	1.842***
	(0)
155.ID	-0.392***
	(0)
156.ID	-0.392***
	(0)
157.ID	1.588***
	(0)
158.ID	1.588***
	(0)
159.ID	-0.177***
	(0)
160.ID	1.588***
	(0)
161.ID	1.874***
	(0)
163.ID	0.500***
	(0)
164.ID	-0.392***
	(0)
165.ID	-0.392***
	(0)
167.ID	-0.392***
	(0)
168.ID	1.588***
	(0)
170.ID	-0.177***
	(0)
173.ID	1.588***
	(0)
174.ID	1.588***
	(0)
176.ID	-0.392***
	(0)
177.ID	1.588***
	(0)
178.ID	-1.046***
	(0)
179.ID	0.598***
	(0)
180.ID	0.759***
	(0)
181.ID	-1.046***
	(0)
182.ID	-0.392***
	(0)
183.ID	-0.177***
	(0)
184.ID	-0.392***
	(0)
185.ID	2.096***
	(0)
186.ID	1.386***
	(0)
187.ID	2.096***
	(0)
188.ID	1.842***
	(0)
189.ID	-0.177***
	(0)
190.ID	-0.392***
	(0)
191.ID	-0.177***
	(0)
192.ID	-0.392***
	(0)
194.ID	1.588***
	(0)
196.ID	-0.392***
	(0)
197.ID	1.588***
	(0)
198.ID	-0.392***
	(0)
199.ID	-0.392***
	(0)
200.ID	1.588***
	(0)
201.ID	-0.392***
	(0)
202.ID	1.588***
	(0)
203.ID	2.096***
	(0)
204.ID	2.096***
	(0)
206.ID	-0.392***
	(0)
207.ID	-0.392***
	(0)
208.ID	-0.392***
	(0)
209.ID	1.842***
	(0)
212.ID	-0.392***
	(0)
213.ID	2.096***
	(0)
214.ID	-0.392***
	(0)
215.ID	-1.653***
	(0.00851)
217.ID	1.588***
	(0)
218.ID	-0.392***
	(0)
219.ID	-0.177***
	(0)
220.ID	1.588***
	(0)
221.ID	1.588***
	(0)
222.ID	2.096***
	(0)
223.ID	1.842***
	(0)
224.ID	1.842***
	(0)
225.ID	1.588***
	(0)
226.ID	-0.666***
	(0)
227.ID	1.588***
	(0)
228.ID	2.096***
	(0)
229.ID	1.588***
	(0)
230.ID	1.588***
	(0)
231.ID	1.588***
	(0)
232.ID	-0.392***
	(0)
233.ID	-0.177***
	(0)
234.ID	1.588***
	(0)
235.ID	0.500***
	(0)
236.ID	2.096***
	(0)
237.ID	1.588***
	(0)
238.ID	0.705***
	(0)
239.ID	1.731***
	(0)
240.ID	1.588***
	(0)
242.ID	-0.392***
	(0)
243.ID	1.185***
	(0)
245.ID	-0.392***
	(0)
246.ID	1.588***
	(0)
247.ID	1.588***
	(0)
248.ID	-0
	(0)
249.ID	-0.392***
	(0)
250.ID	1.842***
	(0)
251.ID	-0.392***
	(0)
252.ID	-0.177***
	(0)
253.ID	-0.392***
	(0)
254.ID	-0.392***
	(0)
256.ID	1.588***
	(0)
257.ID	1.588***
	(0)
258.ID	-0.392***
	(0)
260.ID	1.588***
	(0)
261.ID	-1.046***
	(0)
263.ID	-0.392***
	(0)
264.ID	2.096***
	(0)
266.ID	1.588***
	(0)
267.ID	-0.177***
	(0)
268.ID	1.588***
	(0)
269.ID	0.598***
	(0)
270.ID	1.588***
	(0)
271.ID	-0.392***
	(0)
275.ID	-0.177***
	(0)
277.ID	1.588***
	(0)
278.ID	-0.838***
	(0)
279.ID	-0.177***
	(0)
280.ID	1.588***
	(0)
281.ID	1.588***
	(0)
282.ID	-0.666***
	(0)
283.ID	-0.392***
	(0)
284.ID	-0.392***
	(0)
285.ID	-0.392***
	(0)
286.ID	-0.392***
	(0)
288.ID	1.588***
	(0)
289.ID	1.588***
	(0)
290.ID	1.588***
	(0)
291.ID	-0.392***
	(0)
292.ID	1.874***
	(0)
293.ID	-0.392***
	(0)
294.ID	-0
	(0)
295.ID	0.598***
	(0)
296.ID	0.281***
	(0)
297.ID	1.588***
	(0)
298.ID	1.588***
	(0)
299.ID	2.096***
	(0)
300.ID	1.588***
	(0)
301.ID	-0.392***
	(0)
302.ID	2.096***
	(0)
303.ID	0.140***
	(0)
304.ID	2.096***
	(0)
305.ID	1.588***
	(0)
306.ID	-0
	(0)
307.ID	-0.177***
	(0)
309.ID	-0.177***
	(0)
310.ID	-0.392***
	(0)
311.ID	-1.665***
	(0)
312.ID	1.588***
	(0)
313.ID	-0.177***
	(0)
314.ID	-0.392***
	(0)
315.ID	-0.392***
	(0)
316.ID	0.794***
	(0)
317.ID	1.588***
	(0)
318.ID	1.588***
	(0)
319.ID	1.588***
	(0)
320.ID	-0.177***
	(0)
321.ID	-0
	(0)
322.ID	1.985***
	(0)
324.ID	0.598***
	(0)
326.ID	1.588***
	(0)
327.ID	1.588***
	(0)
328.ID	1.588***
	(0)
329.ID	-0.392***
	(0)
330.ID	1.874***
	(0)
331.ID	-0.392***
	(0)
332.ID	1.588***
	(0)
333.ID	1.588***
	(0)
334.ID	-0.392***
	(0)
335.ID	-0.392***
	(0)
336.ID	1.519***
	(0)
337.ID	-0.392***
	(0)
338.ID	1.588***
	(0)
339.ID	1.588***
	(0)
340.ID	2.096***
	(0)
341.ID	-0.177***
	(0)
342.ID	-0.392***
	(0)
343.ID	1.588***
	(0)
344.ID	-0.177***
	(0)
346.ID	-1.665***
	(0)
347.ID	-0
	(0)
348.ID	-0.392***
	(0)
349.ID	-1.665***
	(0)
350.ID	-0.392***
	(0)
352.ID	1.588***
	(0)
353.ID	1.185***
	(0)
354.ID	-0.392***
	(0)
355.ID	-0
	(0)
358.ID	-0.392***
	(0)
359.ID	1.588***
	(0)
361.ID	-0.392***
	(0)
364.ID	1.874***
	(0)
365.ID	-0.392***
	(0)
366.ID	2.096***
	(0)
369.ID	1.588***
	(0)
372.ID	1.588***
	(0)
373.ID	-0.392***
	(0)
374.ID	1.588***
	(0)
375.ID	-0.392***
	(0)
377.ID	-0.392***
	(0)
378.ID	-0.392***
	(0)
379.ID	-0.177***
	(0)
381.ID	-0.719***
	(0)
382.ID	-1.665***
	(0)
383.ID	-0.392***
	(0)
385.ID	1.588***
	(0)
386.ID	-1.046***
	(0)
387.ID	-0.392***
	(0)
388.ID	-0.177***
	(0)
389.ID	1.588***
	(0)
390.ID	2.096***
	(0)
391.ID	-0.392***
	(0)
393.ID	1.588***
	(0)
394.ID	1.588***
	(0)
395.ID	1.588***
	(0)
396.ID	1.588***
	(0)
397.ID	-0.392***
	(0)
398.ID	-1.046***
	(0)
399.ID	-0.177***
	(0)
400.ID	1.588***
	(0)
401.ID	0.500***
	(0)
402.ID	-0.392***
	(0)
403.ID	-0.392***
	(0)
404.ID	-0
	(0)
405.ID	-0.392***
	(0)
406.ID	1.185***
	(0)
407.ID	1.588***
	(0)
408.ID	2.096***
	(0)
409.ID	-1.046***
	(0)
410.ID	-0.392***
	(0)
411.ID	-0.392***
	(0)
412.ID	1.588***
	(0)
413.ID	-0
	(0)
414.ID	-0.392***
	(0)
415.ID	-0.392***
	(0)
416.ID	-0.177***
	(0)
417.ID	-1.046***
	(0)
418.ID	-0.392***
	(0)
419.ID	-0.392***
	(0)
420.ID	-0.177***
	(0)
421.ID	-0.392***
	(0)
423.ID	1.588***
	(0)
424.ID	1.588***
	(0)
425.ID	1.588***
	(0)
426.ID	-0.392***
	(0)
428.ID	-0.392***
	(0)
429.ID	-0.392***
	(0)
430.ID	2.096***
	(0)
431.ID	-0.177***
	(0)
432.ID	1.588***
	(0)
433.ID	-0.392***
	(0)
434.ID	-0.392***
	(0)
435.ID	2.096***
	(0)
436.ID	0.960***
	(0)
437.ID	-1.046***
	(0)
438.ID	1.588***
	(0)
439.ID	1.588***
	(0)
440.ID	-0.177***
	(0)
441.ID	1.588***
	(0)
442.ID	1.080***
	(0)
445.ID	-0.392***
	(0)
446.ID	1.588***
	(0)
447.ID	0.500***
	(0)
448.ID	1.588***
	(0)
449.ID	1.588***
	(0)
450.ID	-0.392***
	(0)
451.ID	1.588***
	(0)
452.ID	-0.177***
	(0)
454.ID	-0.177***
	(0)
456.ID	-1.665***
	(0)
458.ID	2.096***
	(0)
459.ID	-0.177***
	(0)
460.ID	-0.392***
	(0)
461.ID	2.096***
	(0)
462.ID	1.588***
	(0)
464.ID	1.588***
	(0)
465.ID	0.500***
	(0)
467.ID	1.588***
	(0)
468.ID	2.096***
	(0)
470.ID	1.588***
	(0)
471.ID	2.096***
	(0)
472.ID	2.096***
	(0)
473.ID	1.588***
	(0)
474.ID	1.588***
	(0)
475.ID	-0.392***
	(0)
476.ID	1.588***
	(0)
477.ID	1.874***
	(0)
478.ID	2.096***
	(0)
479.ID	1.588***
	(0)
480.ID	0.500***
	(0)
481.ID	1.588***
	(0)
482.ID	2.096***
	(0)
483.ID	-1.046***
	(0)
484.ID	1.874***
	(0)
485.ID	2.096***
	(0)
486.ID	-0.392***
	(0)
489.ID	-0.666***
	(0)
490.ID	-0.392***
	(0)
494.ID	1.588***
	(0)
495.ID	2.096***
	(0)
497.ID	-0.177***
	(0)
498.ID	2.096***
	(0)
499.ID	0.150***
	(0)
501.ID	-0.177***
	(0)
502.ID	-1.665***
	(0)
503.ID	1.588***
	(0)
504.ID	1.588***
	(0)
505.ID	0.500***
	(0)
506.ID	-0.392***
	(0)
507.ID	1.588***
	(0)
508.ID	-0.392***
	(0)
509.ID	-0.392***
	(0)
510.ID	1.588***
	(0)
512.ID	-0.392***
	(0)
514.ID	2.096***
	(0)
515.ID	1.874***
	(0)
518.ID	-0.392***
	(0)
519.ID	-0.666***
	(0)
520.ID	1.588***
	(0)
521.ID	1.874***
	(0)
523.ID	1.731***
	(0)
525.ID	0.705***
	(0)
526.ID	1.588***
	(0)
527.ID	1.731***
	(0)
529.ID	1.588***
	(0)
530.ID	-0.177***
	(0)
532.ID	1.588***
	(0)
535.ID	-0.392***
	(0)
536.ID	1.588***
	(0)
538.ID	1.185***
	(0)
539.ID	-0.392***
	(0)
540.ID	-0.392***
	(0)
542.ID	2.096***
	(0)
543.ID	1.588***
	(0)
544.ID	-0.392***
	(0)
545.ID	-1.046***
	(0)
546.ID	-0.392***
	(0)
548.ID	-0.392***
	(0)
551.ID	1.588***
	(0)
552.ID	-0.392***
	(0)
553.ID	1.588***
	(0)
554.ID	-0.392***
	(0)
555.ID	1.588***
	(0)
556.ID	-0.392***
	(0)
558.ID	1.588***
	(0)
559.ID	0.869***
	(0)
560.ID	2.096***
	(0)
561.ID	2.096***
	(0)
562.ID	-0.392***
	(0)
563.ID	1.134***
	(0)
564.ID	1.588***
	(0)
565.ID	-0.392***
	(0)
567.ID	-0.392***
	(0)
569.ID	1.588***
	(0)
570.ID	-1.308***
	(0)
571.ID	1.588***
	(0)
573.ID	-0.392***
	(0)
574.ID	1.588***
	(0)
575.ID	1.588***
	(0)
576.ID	-0.392***
	(0)
577.ID	1.588***
	(0)
579.ID	1.588***
	(0)
581.ID	1.588***
	(0)
582.ID	-0.392***
	(0)
583.ID	-0.392***
	(0)
584.ID	1.588***
	(0)
585.ID	1.842***
	(0)
586.ID	-0.392***
	(0)
587.ID	-0.177***
	(0)
588.ID	-0.392***
	(0)
589.ID	1.588***
	(0)
591.ID	0.680***
	(0)
592.ID	-0.177***
	(0)
593.ID	-0.392***
	(0)
594.ID	-1.046***
	(0)
595.ID	-0.392***
	(0)
596.ID	-0.392***
	(0)
597.ID	1.588***
	(0)
598.ID	1.185***
	(0)
599.ID	-0.392***
	(0)
600.ID	-0.392***
	(0)
601.ID	0.960***
	(0)
604.ID	1.588***
	(0)
605.ID	-0.392***
	(0)
606.ID	2.096***
	(0)
607.ID	1.588***
	(0)
610.ID	-0.392***
	(0)
611.ID	-0
	(0)
612.ID	1.588***
	(0)
613.ID	1.588***
	(0)
614.ID	-0.392***
	(0)
615.ID	-0.392***
	(0)
616.ID	1.588***
	(0)
