	(1)
VARIABLES	lgxq_llm
	
1.treated	0.0134
	(0.0126)
1.ID	0
	(0.00948)
2.ID	1.588***
	(0.00948)
3.ID	-0.392***
	(0.00948)
4.ID	1.588***
	(0.00948)
5.ID	-0.177***
	(0.00948)
6.ID	-0.392***
	(0.00948)
7.ID	1.588***
	(0.00948)
8.ID	-0.177***
	(0.00948)
9.ID	-0.392***
	(0.00948)
10.ID	2.096***
	(0.00948)
12.ID	2.096***
	(0.00948)
14.ID	1.588***
	(0.00948)
15.ID	-0.392***
	(0.00948)
16.ID	1.588***
	(0.00948)
17.ID	1.588***
	(0.00948)
18.ID	-0.392***
	(0.00948)
19.ID	-0.177***
	(0.00948)
20.ID	1.588***
	(0.00948)
21.ID	-0.0885
	(0.0822)
22.ID	0
	(0.00948)
23.ID	1.588***
	(0.00948)
24.ID	1.588***
	(0.00948)
25.ID	0.960
	(1.145)
26.ID	-1.046***
	(0.00948)
27.ID	-0.392***
	(0.00948)
28.ID	-0.529***
	(0.144)
29.ID	-0.392***
	(0.00948)
30.ID	-0.392***
	(0.00948)
31.ID	0.680***
	(0.00948)
32.ID	1.594***
	(0.00919)
33.ID	1.588***
	(0.00948)
34.ID	1.588***
	(0.00948)
35.ID	-0.392***
	(0.00948)
36.ID	-0.392***
	(0.00948)
37.ID	-0.392***
	(0.00948)
38.ID	-0.392***
	(0.00948)
39.ID	1.588***
	(0.00948)
40.ID	1.588***
	(0.00948)
41.ID	0
	(0.00948)
42.ID	2.096***
	(0.00948)
43.ID	-0.392***
	(0.00948)
46.ID	-0.177***
	(0.00948)
47.ID	-0.666***
	(0.00948)
48.ID	1.588***
	(0.00948)
49.ID	1.588***
	(0.00948)
50.ID	1.588***
	(0.00948)
51.ID	-0.392***
	(0.00948)
52.ID	-0.177***
	(0.00948)
53.ID	2.096***
	(0.00948)
54.ID	-0.392***
	(0.00948)
55.ID	-0.392***
	(0.00948)
56.ID	1.588***
	(0.00948)
57.ID	-0.392***
	(0.00948)
58.ID	1.588***
	(0.00948)
59.ID	0.281***
	(0.00948)
60.ID	-0.392***
	(0.00948)
61.ID	-0.392***
	(0.00948)
62.ID	-0.177***
	(0.00948)
63.ID	-0.392***
	(0.00948)
64.ID	1.731***
	(0.150)
65.ID	0.598
	(0.985)
66.ID	-0.177***
	(0.00948)
67.ID	1.588***
	(0.00948)
68.ID	1.185***
	(0.00948)
69.ID	-0.392***
	(0.00948)
71.ID	2.096***
	(0.00948)
72.ID	2.096***
	(0.00948)
73.ID	-0.392***
	(0.00948)
74.ID	2.096***
	(0.00948)
76.ID	-0.392***
	(0.00948)
77.ID	0.598
	(0.985)
78.ID	-0.392***
	(0.00948)
79.ID	-0.392***
	(0.00948)
80.ID	1.588***
	(0.00948)
81.ID	-0.392***
	(0.00948)
82.ID	0
	(0.00948)
83.ID	-0.177***
	(0.00948)
84.ID	2.096***
	(0.00948)
85.ID	1.588***
	(0.00948)
86.ID	1.588***
	(0.00948)
87.ID	1.588***
	(0.00948)
88.ID	2.096***
	(0.00948)
89.ID	-0.392***
	(0.00948)
90.ID	-0.392***
	(0.00948)
91.ID	0.964***
	(0.00948)
92.ID	-1.046***
	(0.00948)
93.ID	0
	(0.00948)
94.ID	-0.392***
	(0.00948)
95.ID	2.096***
	(0.00948)
96.ID	-0.392***
	(0.00948)
97.ID	-1.308***
	(0.00948)
98.ID	0.500***
	(0.00948)
99.ID	-0.284***
	(0.101)
100.ID	-0.177***
	(0.00948)
101.ID	-0.392***
	(0.00948)
102.ID	-1.046***
	(0.00948)
103.ID	-0.392***
	(0.00948)
105.ID	-0.392***
	(0.00948)
107.ID	2.096***
	(0.00948)
108.ID	2.096***
	(0.00948)
109.ID	-0.177***
	(0.00948)
110.ID	-1.046***
	(0.00948)
111.ID	-1.046***
	(0.00948)
112.ID	1.588***
	(0.00948)
113.ID	-0.392***
	(0.00948)
114.ID	0.598
	(0.985)
115.ID	1.588***
	(0.00948)
116.ID	-0.177***
	(0.00948)
117.ID	1.588***
	(0.00948)
118.ID	1.588***
	(0.00948)
119.ID	2.096***
	(0.00948)
120.ID	0.832***
	(0.00948)
121.ID	1.588***
	(0.00948)
122.ID	0.852
	(1.253)
123.ID	2.096***
	(0.00948)
125.ID	1.588***
	(0.00948)
127.ID	-1.046***
	(0.00948)
128.ID	-0.177***
	(0.00948)
129.ID	1.588***
	(0.00948)
130.ID	-0.392***
	(0.00948)
131.ID	-0.177***
	(0.00948)
132.ID	-1.046***
	(0.00948)
133.ID	1.588***
	(0.00948)
134.ID	0.500***
	(0.00948)
135.ID	1.588***
	(0.00948)
136.ID	1.588***
	(0.00948)
137.ID	1.588***
	(0.00948)
138.ID	2.096***
	(0.00948)
139.ID	-0.392***
	(0.00948)
140.ID	0
	(0.00948)
142.ID	-0.392***
	(0.00948)
143.ID	-0.399***
	(0.00919)
144.ID	-0.392***
	(0.00948)
145.ID	-0.177***
	(0.00948)
146.ID	1.588***
	(0.00948)
148.ID	1.588***
	(0.00948)
149.ID	-1.046***
	(0.00948)
151.ID	-0.177***
	(0.00948)
152.ID	0.598
	(0.985)
153.ID	1.588***
	(0.00948)
154.ID	1.842***
	(0.261)
155.ID	-0.392***
	(0.00948)
156.ID	-0.392***
	(0.00948)
157.ID	1.588***
	(0.00948)
158.ID	1.588***
	(0.00948)
159.ID	-0.177***
	(0.00948)
160.ID	1.588***
	(0.00948)
161.ID	1.874***
	(0.00948)
163.ID	0.500***
	(0.00948)
164.ID	-0.392***
	(0.00948)
165.ID	-0.392***
	(0.00948)
166.ID	1.588***
	(0.00948)
167.ID	-0.392***
	(0.00948)
168.ID	1.588***
	(0.00948)
169.ID	1.588***
	(0.00948)
170.ID	-0.177***
	(0.00948)
171.ID	-0.177***
	(0.00948)
172.ID	-0.392***
	(0.00948)
173.ID	1.588***
	(0.00948)
174.ID	1.588***
	(0.00948)
176.ID	-0.392***
	(0.00948)
177.ID	1.588***
	(0.00948)
178.ID	-1.046***
	(0.00948)
179.ID	0.598
	(0.985)
180.ID	0.759***
	(0.00948)
181.ID	-1.046***
	(0.00948)
182.ID	-0.392***
	(0.00948)
183.ID	-0.177***
	(0.00948)
184.ID	-0.392***
	(0.00948)
185.ID	2.096***
	(0.00948)
186.ID	1.386***
	(0.195)
187.ID	2.096***
	(0.00948)
188.ID	1.842***
	(0.261)
189.ID	-0.177***
	(0.00948)
190.ID	-0.392***
	(0.00948)
191.ID	-0.177***
	(0.00948)
192.ID	-0.392***
	(0.00948)
194.ID	1.588***
	(0.00948)
196.ID	-0.392***
	(0.00948)
197.ID	1.588***
	(0.00948)
198.ID	-0.392***
	(0.00948)
199.ID	-0.392***
	(0.00948)
200.ID	1.588***
	(0.00948)
201.ID	-0.392***
	(0.00948)
202.ID	1.588***
	(0.00948)
203.ID	2.096***
	(0.00948)
204.ID	2.096***
	(0.00948)
206.ID	-0.392***
	(0.00948)
207.ID	-0.392***
	(0.00948)
208.ID	-0.392***
	(0.00948)
209.ID	1.842***
	(0.261)
212.ID	-0.392***
	(0.00948)
213.ID	2.096***
	(0.00948)
214.ID	-0.392***
	(0.00948)
215.ID	-1.658***
	(0.00919)
217.ID	1.588***
	(0.00948)
218.ID	-0.392***
	(0.00948)
219.ID	-0.177***
	(0.00948)
220.ID	1.588***
	(0.00948)
221.ID	1.588***
	(0.00948)
222.ID	2.096***
	(0.00948)
223.ID	1.842***
	(0.261)
224.ID	1.842***
	(0.261)
225.ID	1.588***
	(0.00948)
226.ID	-0.666***
	(0.00948)
227.ID	1.588***
	(0.00948)
228.ID	2.096***
	(0.00948)
229.ID	1.588***
	(0.00948)
230.ID	1.588***
	(0.00948)
231.ID	1.588***
	(0.00948)
232.ID	-0.392***
	(0.00948)
233.ID	-0.177***
	(0.00948)
234.ID	1.588***
	(0.00948)
235.ID	0.500***
	(0.00948)
236.ID	2.096***
	(0.00948)
237.ID	1.588***
	(0.00948)
238.ID	0.705
	(0.877)
239.ID	1.731***
	(0.150)
240.ID	1.588***
	(0.00948)
242.ID	-0.392***
	(0.00948)
243.ID	1.185***
	(0.00948)
245.ID	-0.392***
	(0.00948)
246.ID	1.588***
	(0.00948)
247.ID	1.588***
	(0.00948)
248.ID	0
	(0.00948)
249.ID	-0.392***
	(0.00948)
250.ID	1.842***
	(0.248)
251.ID	-0.392***
	(0.00948)
252.ID	-0.177***
	(0.00948)
253.ID	-0.392***
	(0.00948)
254.ID	-0.392***
	(0.00948)
256.ID	1.588***
	(0.00948)
257.ID	1.588***
	(0.00948)
258.ID	-0.392***
	(0.00948)
260.ID	1.588***
	(0.00948)
261.ID	-1.046***
	(0.00948)
263.ID	-0.392***
	(0.00948)
264.ID	2.096***
	(0.00948)
266.ID	1.588***
	(0.00948)
267.ID	-0.177***
	(0.00948)
268.ID	1.588***
	(0.00948)
269.ID	0.598
	(0.985)
270.ID	1.588***
	(0.00948)
271.ID	-0.392***
	(0.00948)
274.ID	-0.392***
	(0.00948)
275.ID	-0.177***
	(0.00948)
276.ID	1.185***
	(0.00948)
277.ID	1.588***
	(0.00948)
278.ID	-0.838***
	(0.00948)
279.ID	-0.177***
	(0.00948)
280.ID	1.588***
	(0.00948)
281.ID	1.588***
	(0.00948)
282.ID	-0.666***
	(0.00948)
283.ID	-0.392***
	(0.00948)
284.ID	-0.392***
	(0.00948)
285.ID	-0.392***
	(0.00948)
286.ID	-0.392***
	(0.00948)
288.ID	1.588***
	(0.00948)
289.ID	1.588***
	(0.00948)
290.ID	1.588***
	(0.00948)
291.ID	-0.392***
	(0.00948)
292.ID	1.874***
	(0.00948)
293.ID	-0.392***
	(0.00948)
294.ID	0
	(0.00948)
295.ID	0.598
	(0.998)
296.ID	0.281***
	(0.00948)
297.ID	1.588***
	(0.00948)
298.ID	1.588***
	(0.00948)
299.ID	2.096***
	(0.00948)
300.ID	1.588***
	(0.00948)
301.ID	-0.392***
	(0.00948)
302.ID	2.096***
	(0.00948)
303.ID	0.140
	(0.148)
304.ID	2.096***
	(0.00948)
305.ID	1.588***
	(0.00948)
306.ID	0
	(0.00948)
307.ID	-0.177***
	(0.00948)
309.ID	-0.177***
	(0.00948)
310.ID	-0.392***
	(0.00948)
311.ID	-1.665***
	(0.00948)
312.ID	1.588***
	(0.00948)
313.ID	-0.177***
	(0.00948)
314.ID	-0.392***
	(0.00948)
315.ID	-0.392***
	(0.00948)
316.ID	0.794
	(0.802)
317.ID	1.588***
	(0.00948)
318.ID	1.588***
	(0.00948)
319.ID	1.588***
	(0.00948)
320.ID	-0.177***
	(0.00948)
321.ID	0
	(0.00948)
322.ID	1.985***
	(0.105)
323.ID	0.960
	(1.145)
324.ID	0.598
	(0.985)
325.ID	-0.392***
	(0.00948)
326.ID	1.588***
	(0.00948)
327.ID	1.588***
	(0.00948)
328.ID	1.588***
	(0.00948)
329.ID	-0.392***
	(0.00948)
330.ID	1.874***
	(0.00948)
331.ID	-0.392***
	(0.00948)
332.ID	1.588***
	(0.00948)
333.ID	1.588***
	(0.00948)
334.ID	-0.392***
	(0.00948)
335.ID	-0.392***
	(0.00948)
336.ID	1.519***
	(0.00948)
337.ID	-0.392***
	(0.00948)
338.ID	1.588***
	(0.00948)
339.ID	1.588***
	(0.00948)
340.ID	2.096***
	(0.00948)
341.ID	-0.177***
	(0.00948)
342.ID	-0.392***
	(0.00948)
343.ID	1.588***
	(0.00948)
344.ID	-0.177***
	(0.00948)
346.ID	-1.665***
	(0.00948)
347.ID	0
	(0.00948)
348.ID	-0.392***
	(0.00948)
349.ID	-1.665***
	(0.00948)
350.ID	-0.392***
	(0.00948)
352.ID	1.588***
	(0.00948)
353.ID	1.185***
	(0.00948)
354.ID	-0.392***
	(0.00948)
355.ID	0
	(0.00948)
358.ID	-0.392***
	(0.00948)
359.ID	1.588***
	(0.00948)
361.ID	-0.392***
	(0.00948)
364.ID	1.874***
	(0.00948)
365.ID	-0.392***
	(0.00948)
366.ID	2.096***
	(0.00948)
369.ID	1.588***
	(0.00948)
370.ID	1.588***
	(0.00948)
372.ID	1.588***
	(0.00948)
373.ID	-0.392***
	(0.00948)
374.ID	1.588***
	(0.00948)
375.ID	-0.392***
	(0.00948)
377.ID	-0.392***
	(0.00948)
378.ID	-0.392***
	(0.00948)
379.ID	-0.177***
	(0.00948)
381.ID	-0.719**
	(0.321)
382.ID	-1.665***
	(0.00948)
383.ID	-0.392***
	(0.00948)
385.ID	1.588***
	(0.00948)
386.ID	-1.046***
	(0.00948)
387.ID	-0.392***
	(0.00948)
388.ID	-0.177***
	(0.00948)
389.ID	1.588***
	(0.00948)
390.ID	2.096***
	(0.00948)
391.ID	-0.392***
	(0.00948)
393.ID	1.588***
	(0.00948)
394.ID	1.588***
	(0.00948)
395.ID	1.588***
	(0.00948)
396.ID	1.588***
	(0.00948)
397.ID	-0.392***
	(0.00948)
398.ID	-1.046***
	(0.00948)
399.ID	-0.177***
	(0.00948)
400.ID	1.588***
	(0.00948)
401.ID	0.500***
	(0.00948)
402.ID	-0.392***
	(0.00948)
403.ID	-0.392***
	(0.00948)
404.ID	0
	(0.00948)
405.ID	-0.392***
	(0.00948)
406.ID	1.185***
	(0.00948)
407.ID	1.588***
	(0.00948)
408.ID	2.096***
	(0.00948)
409.ID	-1.046***
	(0.00948)
410.ID	-0.392***
	(0.00948)
411.ID	-0.392***
	(0.00948)
412.ID	1.588***
	(0.00948)
413.ID	0
	(0.00948)
414.ID	-0.392***
	(0.00948)
415.ID	-0.392***
	(0.00948)
416.ID	-0.177***
	(0.00948)
417.ID	-1.046***
	(0.00948)
418.ID	-0.392***
	(0.00948)
419.ID	-0.392***
	(0.00948)
420.ID	-0.177***
	(0.00948)
421.ID	-0.392***
	(0.00948)
423.ID	1.588***
	(0.00948)
424.ID	1.588***
	(0.00948)
425.ID	1.588***
	(0.00948)
426.ID	-0.392***
	(0.00948)
428.ID	-0.392***
	(0.00948)
429.ID	-0.392***
	(0.00948)
430.ID	2.096***
	(0.00948)
431.ID	-0.177***
	(0.00948)
432.ID	1.588***
	(0.00948)
433.ID	-0.392***
	(0.00948)
434.ID	-0.392***
	(0.00948)
435.ID	2.096***
	(0.00948)
436.ID	0.960
	(1.145)
437.ID	-1.046***
	(0.00948)
438.ID	1.588***
	(0.00948)
439.ID	1.588***
	(0.00948)
440.ID	-0.177***
	(0.00948)
441.ID	1.588***
	(0.00948)
442.ID	1.080***
	(0.00948)
445.ID	-0.392***
	(0.00948)
446.ID	1.588***
	(0.00948)
447.ID	0.500***
	(0.00948)
448.ID	1.588***
	(0.00948)
449.ID	1.588***
	(0.00948)
450.ID	-0.392***
	(0.00948)
451.ID	1.588***
	(0.00948)
452.ID	-0.177***
	(0.00948)
454.ID	-0.177***
	(0.00948)
455.ID	1.588***
	(0.00948)
456.ID	-1.665***
	(0.00948)
458.ID	2.096***
	(0.00948)
459.ID	-0.177***
	(0.00948)
460.ID	-0.392***
	(0.00948)
461.ID	2.096***
	(0.00948)
462.ID	1.588***
	(0.00948)
464.ID	1.588***
	(0.00948)
465.ID	0.500***
	(0.00948)
466.ID	1.588***
	(0.00948)
467.ID	1.588***
	(0.00948)
468.ID	2.096***
	(0.00948)
469.ID	-0.392***
	(0.00948)
470.ID	1.588***
	(0.00948)
471.ID	2.096***
	(0.00948)
472.ID	2.096***
	(0.00948)
473.ID	1.588***
	(0.00948)
474.ID	1.588***
	(0.00948)
475.ID	-0.392***
	(0.00948)
476.ID	1.588***
	(0.00948)
477.ID	1.874***
	(0.00948)
478.ID	2.096***
	(0.00948)
479.ID	1.588***
	(0.00948)
480.ID	0.500***
