	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.00910
	(0.0139)
1.ID	0.196
	(0.201)
2.ID	1.784***
	(0.201)
3.ID	-0.196
	(0.201)
4.ID	1.784***
	(0.201)
5.ID	0.0191
	(0.201)
6.ID	-0.196
	(0.201)
7.ID	0.794
	(1.007)
8.ID	0.0191
	(0.201)
9.ID	-0.196
	(0.201)
10.ID	2.292***
	(0.201)
12.ID	2.292***
	(0.201)
14.ID	1.784***
	(0.201)
15.ID	-0.196
	(0.201)
16.ID	1.784***
	(0.201)
17.ID	-0.196
	(0.201)
18.ID	-0.196
	(0.201)
19.ID	0.0191
	(0.201)
20.ID	1.784***
	(0.201)
21.ID	0.0191
	(0.201)
22.ID	0.196
	(0.201)
23.ID	1.784***
	(0.201)
24.ID	1.784***
	(0.201)
25.ID	0.0191
	(0.201)
27.ID	-0.0885
	(0.226)
28.ID	-0.196
	(0.201)
29.ID	-0.196
	(0.201)
30.ID	-0.196
	(0.201)
31.ID	0.876***
	(0.201)
32.ID	1.784***
	(0.201)
33.ID	0.794
	(1.007)
34.ID	1.784***
	(0.201)
35.ID	-0.196
	(0.201)
36.ID	-0.196
	(0.201)
37.ID	-0.196
	(0.201)
38.ID	-0.196
	(0.201)
39.ID	1.784***
	(0.201)
40.ID	1.784***
	(0.201)
41.ID	0.196
	(0.201)
42.ID	2.292***
	(0.201)
43.ID	-0.196
	(0.201)
46.ID	0.0191
	(0.201)
47.ID	-0.470**
	(0.201)
48.ID	0.794
	(1.007)
49.ID	1.784***
	(0.201)
50.ID	1.784***
	(0.201)
51.ID	-0.196
	(0.201)
52.ID	0.0191
	(0.201)
53.ID	2.038***
	(0.321)
54.ID	-0.196
	(0.201)
55.ID	-0.196
	(0.201)
56.ID	1.784***
	(0.201)
57.ID	-0.196
	(0.201)
58.ID	1.784***
	(0.201)
59.ID	0.477**
	(0.201)
60.ID	-0.196
	(0.201)
61.ID	-0.196
	(0.201)
62.ID	0.0191
	(0.201)
63.ID	-0.196
	(0.201)
64.ID	1.784***
	(0.201)
65.ID	-0.196
	(0.201)
66.ID	0.0191
	(0.201)
67.ID	1.784***
	(0.201)
68.ID	1.381***
	(0.201)
69.ID	-0.196
	(0.201)
70.ID	2.181***
	(0.232)
71.ID	2.292***
	(0.201)
72.ID	2.038***
	(0.328)
73.ID	-0.196
	(0.201)
74.ID	1.784***
	(0.201)
76.ID	-0.196
	(0.201)
77.ID	0.901
	(0.910)
78.ID	-0.196
	(0.201)
79.ID	-0.196
	(0.201)
80.ID	1.784***
	(0.201)
81.ID	-0.196
	(0.201)
82.ID	0.196
	(0.201)
83.ID	0.0191
	(0.201)
84.ID	2.038***
	(0.328)
85.ID	1.784***
	(0.201)
86.ID	1.784***
	(0.201)
87.ID	1.784***
	(0.201)
88.ID	2.292***
	(0.201)
89.ID	-0.196
	(0.201)
90.ID	-0.196
	(0.201)
91.ID	1.160***
	(0.201)
92.ID	0.467
	(1.338)
93.ID	0.196
	(0.201)
94.ID	-0.196
	(0.201)
95.ID	2.292***
	(0.201)
96.ID	-0.196
	(0.201)
97.ID	-1.112***
	(0.201)
98.ID	0.696***
	(0.201)
99.ID	-0.0885
	(0.226)
100.ID	0.0191
	(0.201)
101.ID	-0.196
	(0.201)
102.ID	-0.850***
	(0.201)
103.ID	-0.196
	(0.201)
104.ID	-0.196
	(0.201)
105.ID	-0.0885
	(0.230)
106.ID	2.292***
	(0.201)
107.ID	2.292***
	(0.201)
108.ID	2.292***
	(0.201)
109.ID	0.0191
	(0.201)
110.ID	-0.850***
	(0.201)
111.ID	-0.850***
	(0.201)
112.ID	1.784***
	(0.201)
113.ID	-0.196
	(0.201)
114.ID	0.794
	(1.007)
115.ID	1.784***
	(0.201)
116.ID	0.108
	(0.218)
117.ID	1.784***
	(0.201)
118.ID	1.784***
	(0.201)
119.ID	2.292***
	(0.201)
120.ID	1.028***
	(0.201)
121.ID	1.784***
	(0.201)
122.ID	2.292***
	(0.201)
123.ID	2.292***
	(0.201)
125.ID	1.784***
	(0.201)
126.ID	1.784***
	(0.201)
127.ID	-0.850***
	(0.201)
128.ID	0.0191
	(0.201)
129.ID	1.784***
	(0.201)
130.ID	-0.196
	(0.201)
131.ID	0.0191
	(0.201)
132.ID	-0.850***
	(0.201)
133.ID	1.784***
	(0.201)
134.ID	0.696***
	(0.201)
135.ID	1.784***
	(0.201)
136.ID	-0.196
	(0.201)
137.ID	1.784***
	(0.201)
138.ID	2.292***
	(0.201)
139.ID	-0.196
	(0.201)
140.ID	0.196
	(0.201)
142.ID	-0.196
	(0.201)
143.ID	-0.191
	(0.201)
144.ID	-0.196
	(0.201)
145.ID	0.0191
	(0.201)
146.ID	2.038***
	(0.328)
147.ID	2.292***
	(0.201)
148.ID	1.784***
	(0.201)
149.ID	-0.850***
	(0.201)
150.ID	-0.196
	(0.201)
151.ID	0.0191
	(0.201)
152.ID	0.794
	(1.007)
153.ID	1.784***
	(0.201)
154.ID	1.784***
	(0.201)
155.ID	-0.196
	(0.201)
156.ID	-0.196
	(0.201)
157.ID	1.784***
	(0.201)
158.ID	0.990
	(0.824)
159.ID	0.0191
	(0.201)
160.ID	1.784***
	(0.201)
161.ID	1.044
	(1.042)
163.ID	0.696***
	(0.201)
164.ID	-0.196
	(0.201)
165.ID	-0.196
	(0.201)
166.ID	1.784***
	(0.201)
167.ID	-0.196
	(0.201)
168.ID	1.784***
	(0.201)
169.ID	1.784***
	(0.201)
170.ID	0.0191
	(0.201)
171.ID	0.0191
	(0.201)
172.ID	-0.196
	(0.201)
173.ID	1.784***
	(0.201)
174.ID	1.784***
	(0.201)
175.ID	0.0191
	(0.201)
176.ID	-0.196
	(0.201)
177.ID	1.784***
	(0.201)
178.ID	-0.850***
	(0.201)
179.ID	0.794
	(1.016)
180.ID	0.955***
	(0.201)
181.ID	-0.850***
	(0.201)
182.ID	-0.196
	(0.201)
183.ID	0.0191
	(0.201)
184.ID	-0.196
	(0.201)
185.ID	2.292***
	(0.201)
186.ID	1.381***
	(0.201)
187.ID	2.292***
	(0.201)
188.ID	1.784***
	(0.201)
189.ID	0.0191
	(0.201)
190.ID	-0.196
	(0.201)
191.ID	0.0191
	(0.201)
192.ID	-0.196
	(0.201)
194.ID	1.784***
	(0.201)
196.ID	-0.196
	(0.201)
198.ID	-0.196
	(0.201)
199.ID	-0.196
	(0.201)
200.ID	1.784***
	(0.201)
201.ID	-0.196
	(0.201)
202.ID	1.784***
	(0.201)
203.ID	1.364
	(0.956)
206.ID	-0.196
	(0.201)
207.ID	-0.196
	(0.201)
208.ID	-0.196
	(0.201)
209.ID	2.038***
	(0.328)
210.ID	-0.196
	(0.201)
212.ID	-0.196
	(0.201)
213.ID	2.292***
	(0.201)
217.ID	1.784***
	(0.201)
218.ID	-0.196
	(0.201)
219.ID	0.0191
	(0.201)
220.ID	1.784***
	(0.201)
221.ID	1.784***
	(0.201)
222.ID	2.292***
	(0.201)
223.ID	1.156
	(1.151)
224.ID	2.038***
	(0.328)
225.ID	1.784***
	(0.201)
226.ID	-0.470**
	(0.201)
227.ID	1.784***
	(0.201)
229.ID	1.784***
	(0.201)
230.ID	1.784***
	(0.201)
231.ID	0.901
	(0.910)
232.ID	-0.196
	(0.201)
233.ID	0.0191
	(0.201)
234.ID	1.784***
	(0.201)
235.ID	0.696***
	(0.201)
236.ID	2.292***
	(0.201)
237.ID	1.784***
	(0.201)
238.ID	1.784***
	(0.201)
239.ID	1.927***
	(0.249)
240.ID	1.784***
	(0.201)
242.ID	-0.196
	(0.201)
243.ID	1.582***
	(0.288)
244.ID	1.927***
	(0.249)
245.ID	-0.196
	(0.201)
246.ID	1.784***
	(0.201)
247.ID	1.784***
	(0.201)
248.ID	0.196
	(0.201)
249.ID	-0.196
	(0.201)
250.ID	2.292***
	(0.201)
251.ID	-0.196
	(0.201)
252.ID	0.0191
	(0.201)
253.ID	-0.196
	(0.201)
254.ID	-0.196
	(0.201)
255.ID	2.292***
	(0.201)
257.ID	1.784***
	(0.201)
258.ID	-0.196
	(0.201)
260.ID	1.784***
	(0.201)
261.ID	-0.850***
	(0.201)
263.ID	-0.196
	(0.201)
264.ID	2.292***
	(0.201)
266.ID	2.038***
	(0.328)
267.ID	0.0191
	(0.201)
268.ID	1.784***
	(0.201)
269.ID	-0.196
	(0.201)
270.ID	1.784***
	(0.201)
271.ID	-0.196
	(0.201)
272.ID	2.292***
	(0.201)
274.ID	-0.196
	(0.201)
275.ID	0.0191
	(0.201)
276.ID	1.381***
	(0.201)
277.ID	1.784***
	(0.201)
278.ID	-0.642***
	(0.201)
279.ID	0.0191
	(0.201)
280.ID	1.784***
	(0.201)
281.ID	1.784***
	(0.201)
282.ID	-0.196
	(0.201)
283.ID	-0.196
	(0.201)
284.ID	-0.196
	(0.201)
285.ID	-0.196
	(0.201)
286.ID	-0.196
	(0.201)
288.ID	1.784***
	(0.201)
289.ID	1.784***
	(0.201)
290.ID	1.784***
	(0.201)
291.ID	-0.196
	(0.201)
292.ID	1.927***
	(0.249)
293.ID	-0.196
	(0.201)
294.ID	0.196
	(0.201)
295.ID	-0.196
	(0.201)
296.ID	0.477**
	(0.201)
297.ID	1.784***
	(0.201)
298.ID	1.784***
	(0.201)
299.ID	2.292***
	(0.201)
300.ID	0.901
	(0.902)
301.ID	-0.196
	(0.201)
302.ID	1.156
	(1.151)
303.ID	0.477**
	(0.201)
304.ID	2.292***
	(0.201)
305.ID	1.784***
	(0.201)
306.ID	0.196
	(0.201)
307.ID	0.183
	(0.256)
308.ID	0.696***
	(0.201)
309.ID	0.0191
	(0.201)
310.ID	-0.196
	(0.201)
311.ID	-1.469***
	(0.201)
312.ID	1.784***
	(0.201)
313.ID	0.0191
	(0.201)
314.ID	-0
	(0.278)
315.ID	-0.196
	(0.201)
316.ID	0.990
	(0.824)
317.ID	1.784***
	(0.201)
318.ID	1.784***
	(0.201)
319.ID	1.784***
	(0.201)
321.ID	0.196
	(0.201)
322.ID	2.181***
	(0.227)
323.ID	1.156
	(1.160)
324.ID	1.784***
	(0.201)
325.ID	-0.196
	(0.201)
326.ID	1.784***
	(0.201)
327.ID	1.784***
	(0.201)
328.ID	1.784***
	(0.201)
329.ID	-0.196
	(0.201)
330.ID	2.070***
	(0.201)
331.ID	-0.196
	(0.201)
332.ID	1.784***
	(0.201)
333.ID	1.784***
	(0.201)
334.ID	-0.196
	(0.201)
335.ID	-0.196
	(0.201)
336.ID	1.715***
	(0.201)
337.ID	-0.196
	(0.201)
338.ID	1.784***
	(0.201)
339.ID	1.784***
	(0.201)
340.ID	2.292***
	(0.201)
341.ID	0.0191
	(0.201)
342.ID	-0.196
	(0.201)
343.ID	1.784***
	(0.201)
344.ID	0.108
	(0.218)
345.ID	2.038***
	(0.328)
346.ID	-1.469***
	(0.201)
347.ID	0.196
	(0.201)
348.ID	-0.196
	(0.201)
349.ID	-1.469***
	(0.201)
350.ID	-0.196
	(0.201)
352.ID	1.784***
	(0.201)
353.ID	1.381***
	(0.201)
354.ID	-0.196
	(0.201)
355.ID	0.196
	(0.201)
356.ID	0.0191
	(0.201)
357.ID	1.784***
	(0.201)
358.ID	-0.196
	(0.201)
359.ID	0.794
	(1.016)
361.ID	-0.196
	(0.201)
364.ID	2.070***
	(0.201)
365.ID	-0.196
	(0.201)
366.ID	2.292***
	(0.201)
369.ID	1.784***
	(0.201)
370.ID	1.784***
	(0.201)
372.ID	1.784***
	(0.201)
373.ID	-0.196
	(0.201)
374.ID	1.784***
	(0.201)
377.ID	0.794
	(1.016)
378.ID	-0.196
	(0.201)
379.ID	-0.0885
	(0.230)
381.ID	-0.660**
	(0.280)
382.ID	-1.469***
	(0.201)
383.ID	-0.196
	(0.201)
385.ID	1.784***
	(0.201)
386.ID	-0.850***
	(0.201)
387.ID	-0.196
	(0.201)
388.ID	0.108
	(0.218)
389.ID	1.784***
	(0.201)
390.ID	2.038***
	(0.328)
391.ID	-0.196
	(0.201)
393.ID	1.784***
	(0.201)
394.ID	1.784***
	(0.201)
395.ID	1.784***
	(0.201)
396.ID	1.784***
	(0.201)
397.ID	-0.196
	(0.201)
398.ID	-0.850***
	(0.201)
399.ID	0.0191
	(0.201)
400.ID	0.794
	(1.007)
401.ID	0.696***
	(0.201)
402.ID	-0.196
	(0.201)
403.ID	-0.196
	(0.201)
404.ID	0.196
	(0.201)
405.ID	-0.196
	(0.201)
406.ID	1.381***
	(0.201)
407.ID	1.784***
	(0.201)
408.ID	2.292***
	(0.201)
409.ID	-0.850***
	(0.201)
410.ID	-0.196
	(0.201)
411.ID	-0.333
	(0.246)
412.ID	1.784***
	(0.201)
413.ID	0.196
	(0.201)
414.ID	-0.196
	(0.201)
415.ID	-0.196
	(0.201)
416.ID	0.0191
	(0.201)
417.ID	-0.850***
	(0.201)
418.ID	-0.196
	(0.201)
419.ID	-0.196
	(0.201)
420.ID	0.0191
	(0.201)
421.ID	-0.196
	(0.201)
423.ID	1.784***
	(0.201)
424.ID	1.784***
	(0.201)
425.ID	1.784***
	(0.201)
426.ID	-0.196
	(0.201)
428.ID	-0.196
	(0.201)
429.ID	-0.196
	(0.201)
430.ID	2.292***
	(0.201)
431.ID	0.0191
	(0.201)
432.ID	1.784***
	(0.201)
433.ID	-0.196
	(0.201)
434.ID	-0.196
	(0.201)
435.ID	2.292***
	(0.201)
436.ID	0.901
	(0.902)
437.ID	-0.660**
	(0.273)
438.ID	1.784***
	(0.201)
439.ID	1.784***
	(0.201)
440.ID	0.0191
	(0.201)
441.ID	1.784***
	(0.201)
442.ID	1.530***
	(0.320)
445.ID	-0.196
	(0.201)
446.ID	1.784***
	(0.201)
447.ID	0.696***
	(0.201)
448.ID	0.990
	(0.815)
449.ID	1.784***
	(0.201)
450.ID	-0.196
	(0.201)
451.ID	1.784***
	(0.201)
452.ID	0.0191
	(0.201)
453.ID	2.292***
	(0.201)
454.ID	0.0191
	(0.201)
455.ID	1.784***
	(0.201)
456.ID	-1.159***
	(0.365)
457.ID	2.292***
	(0.201)
458.ID	2.292***
	(0.201)
459.ID	0.0191
	(0.201)
460.ID	-0.196
	(0.201)
461.ID	2.292***
	(0.201)
462.ID	1.784***
	(0.201)
464.ID	1.784***
	(0.201)
465.ID	0.696***
	(0.201)
466.ID	1.784***
	(0.201)
467.ID	1.784***
	(0.201)
468.ID	2.038***
	(0.328)
469.ID	0.937
	(1.148)
470.ID	1.784***
	(0.201)
471.ID	2.292***
	(0.201)
472.ID	2.292***
	(0.201)
473.ID	1.784***
	(0.201)
474.ID	1.784***
	(0.201)
475.ID	-0.196
	(0.201)
476.ID	1.784***
	(0.201)
477.ID	2.070***
	(0.201)
478.ID	2.292***
	(0.201)
479.ID	1.784***
	(0.201)
480.ID	0.696***
	(0.201)
481.ID	1.784***
	(0.201)
482.ID	2.292***
	(0.201)
483.ID	-0.850***
	(0.201)
484.ID	2.070***
	(0.201)
485.ID	2.292***
	(0.201)
486.ID	-0.196
	(0.201)
488.ID	2.292***
	(0.201)
489.ID	-0.470**
	(0.201)
490.ID	-0.196
	(0.201)
493.ID	-0.196
	(0.201)
494.ID	1.784***
	(0.201)
495.ID	2.038***
	(0.328)
497.ID	-0.0885
	(0.230)
498.ID	2.292***
	(0.201)
499.ID	0.346*
	(0.201)
501.ID	0.0191
	(0.201)
502.ID	-1.469***
	(0.201)
503.ID	1.270***
	(0.232)
504.ID	1.784***
	(0.201)
505.ID	0.696***
	(0.201)
506.ID	-0.196
	(0.201)
507.ID	1.784***
	(0.201)
508.ID	-0.196
	(0.201)
509.ID	-0.196
	(0.201)
