	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.000672
	(0.00959)
1.ID	-1.588***
	(0.000476)
2.ID	-0
	(0.000476)
3.ID	-1.980***
	(0.000476)
4.ID	-0
	(0.000476)
5.ID	-1.765***
	(0.000476)
6.ID	-1.980***
	(0.000476)
7.ID	-0
	(0.000476)
8.ID	-0.628
	(1.137)
9.ID	-1.980***
	(0.000476)
10.ID	0.509***
	(0.000476)
12.ID	0.509***
	(0.000476)
14.ID	-0
	(0.000476)
15.ID	-1.980***
	(0.000476)
16.ID	-0
	(0.000476)
17.ID	-0.990
	(0.990)
18.ID	-1.980***
	(0.000476)
19.ID	-1.765***
	(0.000476)
20.ID	-0
	(0.000476)
21.ID	-1.676***
	(0.0888)
22.ID	-1.588***
	(0.000476)
23.ID	-0
	(0.000476)
24.ID	-0
	(0.000476)
25.ID	-1.765***
	(0.000476)
26.ID	-2.634***
	(0.000476)
27.ID	-1.980***
	(0.000476)
28.ID	-1.980***
	(0.000476)
29.ID	-1.980***
	(0.000476)
30.ID	-1.980***
	(0.000476)
31.ID	-0.908***
	(0.000476)
32.ID	-0
	(0.000476)
33.ID	-0
	(0.000476)
34.ID	-0
	(0.000476)
35.ID	-1.980***
	(0.000476)
36.ID	-1.980***
	(0.000476)
37.ID	-1.980***
	(0.000476)
38.ID	-1.980***
	(0.000476)
39.ID	-0
	(0.000476)
40.ID	-0
	(0.000476)
41.ID	-1.588***
	(0.000476)
42.ID	0.509***
	(0.000476)
43.ID	-1.980***
	(0.000476)
46.ID	-1.765***
	(0.000476)
47.ID	-2.254***
	(0.000476)
48.ID	-0
	(0.000476)
49.ID	-0
	(0.000476)
50.ID	-0
	(0.000476)
51.ID	-1.980***
	(0.000476)
52.ID	-1.765***
	(0.000476)
53.ID	-0.990
	(0.991)
54.ID	-1.980***
	(0.000476)
55.ID	-1.980***
	(0.000476)
56.ID	-0
	(0.000476)
57.ID	-1.980***
	(0.000476)
59.ID	-1.307***
	(0.000476)
60.ID	-1.980***
	(0.000476)
61.ID	-1.980***
	(0.000476)
62.ID	-1.765***
	(0.000476)
63.ID	-1.980***
	(0.000476)
64.ID	-0
	(0.000476)
65.ID	-1.980***
	(0.000476)
66.ID	-1.765***
	(0.000476)
67.ID	-0
	(0.000476)
68.ID	-0.403***
	(0.000476)
69.ID	-1.980***
	(0.000476)
71.ID	0.509***
	(0.000476)
72.ID	0.509***
	(0.000476)
73.ID	-1.980***
	(0.000476)
74.ID	-0
	(0.000476)
76.ID	-1.980***
	(0.000476)
77.ID	-1.765***
	(0.000476)
78.ID	-1.980***
	(0.000476)
79.ID	-1.980***
	(0.000476)
80.ID	-0
	(0.000476)
81.ID	-1.980***
	(0.000476)
82.ID	-1.588***
	(0.000476)
83.ID	-1.765***
	(0.000476)
84.ID	-0
	(0.000476)
85.ID	-0
	(0.000476)
86.ID	-0
	(0.000476)
87.ID	-0
	(0.000476)
88.ID	0.509***
	(0.000476)
89.ID	-1.980***
	(0.000476)
90.ID	-1.980***
	(0.000476)
91.ID	-0.624***
	(0.000476)
92.ID	-1.317
	(1.317)
93.ID	-1.588***
	(0.000476)
94.ID	-1.980***
	(0.000476)
95.ID	0.509***
	(0.000476)
96.ID	-1.980***
	(0.000476)
97.ID	-2.896***
	(0.000476)
98.ID	-1.088***
	(0.000476)
99.ID	-1.765***
	(0.000476)
100.ID	-1.765***
	(0.000476)
101.ID	-1.980***
	(0.000476)
102.ID	-2.634***
	(0.000476)
103.ID	-1.980***
	(0.000476)
104.ID	-1.980***
	(0.000476)
105.ID	-1.980***
	(0.000476)
106.ID	0.509***
	(0.000476)
107.ID	0.509***
	(0.000476)
108.ID	0.509***
	(0.000476)
109.ID	-1.765***
	(0.000476)
110.ID	-2.634***
	(0.000476)
111.ID	-2.634***
	(0.000476)
112.ID	-0
	(0.000476)
113.ID	-1.980***
	(0.000476)
114.ID	-0
	(0.000476)
115.ID	-0
	(0.000476)
116.ID	-1.676***
	(0.0888)
117.ID	-0
	(0.000476)
118.ID	-0
	(0.000476)
119.ID	0.509***
	(0.000476)
120.ID	-0.756***
	(0.000476)
121.ID	-0
	(0.000476)
122.ID	0.509***
	(0.000476)
123.ID	0.509***
	(0.000476)
125.ID	-0
	(0.000476)
126.ID	-0
	(0.000476)
127.ID	-2.634***
	(0.000476)
128.ID	-1.765***
	(0.000476)
129.ID	-0
	(0.000476)
130.ID	-1.980***
	(0.000476)
131.ID	-1.765***
	(0.000476)
132.ID	-2.634***
	(0.000476)
133.ID	-0
	(0.000476)
134.ID	-1.088***
	(0.000476)
135.ID	-0.990
	(0.991)
136.ID	-0
	(0.000476)
137.ID	-0
	(0.000476)
138.ID	0.509***
	(0.000476)
139.ID	-1.980***
	(0.000476)
140.ID	-1.588***
	(0.000476)
142.ID	-1.980***
	(0.000476)
144.ID	-1.980***
	(0.000476)
145.ID	-1.765***
	(0.000476)
146.ID	-0
	(0.000476)
147.ID	0.509***
	(0.000476)
148.ID	-0
	(0.000476)
149.ID	-2.634***
	(0.000476)
150.ID	-1.980***
	(0.000476)
151.ID	-1.765***
	(0.000476)
152.ID	-0
	(0.000476)
153.ID	-0
	(0.000476)
154.ID	-0
	(0.000476)
155.ID	-1.980***
	(0.000476)
156.ID	-1.980***
	(0.000476)
157.ID	-0
	(0.000476)
158.ID	-0
	(0.000476)
159.ID	-1.765***
	(0.000476)
160.ID	-0
	(0.000476)
161.ID	0.286***
	(0.000476)
163.ID	-1.088***
	(0.000476)
164.ID	-1.980***
	(0.000476)
165.ID	-1.980***
	(0.000476)
166.ID	-0
	(0.000476)
167.ID	-1.980***
	(0.000476)
168.ID	-0
	(0.000476)
169.ID	-0
	(0.000476)
170.ID	-1.765***
	(0.000476)
171.ID	-1.765***
	(0.000476)
172.ID	-1.980***
	(0.000476)
173.ID	-0
	(0.000476)
174.ID	-0
	(0.000476)
175.ID	-1.765***
	(0.000476)
176.ID	-1.980***
	(0.000476)
177.ID	-0
	(0.000476)
178.ID	-2.634***
	(0.000476)
179.ID	-0
	(0.000476)
180.ID	-0.829***
	(0.000476)
181.ID	-2.444***
	(0.190)
182.ID	-1.980***
	(0.000476)
183.ID	-1.765***
	(0.000476)
184.ID	-0.990
	(0.991)
185.ID	0.509***
	(0.000476)
186.ID	-0.403***
	(0.000476)
187.ID	0.509***
	(0.000476)
188.ID	-0
	(0.000476)
189.ID	-0.882
	(0.883)
190.ID	-1.980***
	(0.000476)
191.ID	-1.765***
	(0.000476)
192.ID	-1.980***
	(0.000476)
194.ID	-0
	(0.000476)
196.ID	-1.980***
	(0.000476)
197.ID	-0
	(0.000476)
198.ID	-1.980***
	(0.000476)
199.ID	-1.980***
	(0.000476)
200.ID	-0
	(0.000476)
201.ID	-1.980***
	(0.000476)
202.ID	-0
	(0.000476)
203.ID	0.509***
	(0.000476)
204.ID	0.509***
	(0.000476)
205.ID	-0
	(0.000476)
206.ID	-1.980***
	(0.000476)
207.ID	-1.980***
	(0.000476)
208.ID	-1.980***
	(0.000476)
209.ID	-0
	(0.000476)
210.ID	-1.980***
	(0.000476)
212.ID	-1.980***
	(0.000476)
213.ID	0.509***
	(0.000476)
214.ID	-0
	(0.000476)
217.ID	-0
	(0.000476)
218.ID	-1.980***
	(0.000476)
219.ID	-1.765***
	(0.000476)
220.ID	-0
	(0.000476)
221.ID	-0
	(0.000476)
222.ID	0.509***
	(0.000476)
223.ID	-1.765***
	(0.000476)
224.ID	-0
	(0.000476)
225.ID	-0
	(0.000476)
226.ID	-2.117***
	(0.138)
227.ID	-0
	(0.000476)
228.ID	0.509***
	(0.000476)
229.ID	-0
	(0.000476)
230.ID	-0
	(0.000476)
231.ID	-0.882
	(0.883)
232.ID	-1.980***
	(0.000476)
233.ID	-1.765***
	(0.000476)
234.ID	-0
	(0.000476)
235.ID	-1.088***
	(0.000476)
236.ID	0.509***
	(0.000476)
237.ID	-0
	(0.000476)
238.ID	-0
	(0.000476)
239.ID	0.509***
	(0.000476)
240.ID	-0
	(0.000476)
241.ID	-0
	(0.000476)
242.ID	-1.980***
	(0.000476)
243.ID	-0.403***
	(0.000476)
244.ID	0.286***
	(0.000476)
245.ID	-1.980***
	(0.000476)
246.ID	-0
	(0.000476)
247.ID	-0
	(0.000476)
248.ID	-1.588***
	(0.000476)
249.ID	-1.980***
	(0.000476)
250.ID	0.509***
	(0.000476)
251.ID	-1.980***
	(0.000476)
252.ID	-0.882
	(0.882)
253.ID	-1.980***
	(0.000476)
254.ID	-1.980***
	(0.000476)
255.ID	0.509***
	(0.000476)
256.ID	-0
	(0.000476)
257.ID	-0
	(0.000476)
258.ID	-1.980***
	(0.000476)
260.ID	-0
	(0.000476)
261.ID	-2.634***
	(0.000476)
263.ID	-1.980***
	(0.000476)
264.ID	0.509***
	(0.000476)
266.ID	-0
	(0.000476)
267.ID	-1.765***
	(0.000476)
268.ID	-0
	(0.000476)
269.ID	-0
	(0.000476)
270.ID	-0
	(0.000476)
271.ID	-1.872***
	(0.108)
272.ID	0.509***
	(0.000476)
274.ID	-1.980***
	(0.000476)
275.ID	-1.765***
	(0.000476)
276.ID	-0.403***
	(0.000476)
277.ID	-0
	(0.000476)
278.ID	-2.426***
	(0.000476)
279.ID	-1.765***
	(0.000476)
281.ID	-0
	(0.000476)
282.ID	-2.254***
	(0.000476)
283.ID	-1.980***
	(0.000476)
284.ID	-1.980***
	(0.000476)
285.ID	-1.980***
	(0.000476)
288.ID	-0
	(0.000476)
289.ID	-0
	(0.000476)
290.ID	-0
	(0.000476)
291.ID	-1.980***
	(0.000476)
292.ID	-0
	(0.000476)
293.ID	-1.980***
	(0.000476)
294.ID	-1.588***
	(0.000476)
295.ID	-0
	(0.000476)
296.ID	-1.307***
	(0.000476)
297.ID	-0
	(0.000476)
298.ID	-0
	(0.000476)
299.ID	0.509***
	(0.000476)
300.ID	-0
	(0.000476)
301.ID	-1.980***
	(0.000476)
302.ID	0.509***
	(0.000476)
303.ID	-1.307***
	(0.000476)
305.ID	-0
	(0.000476)
306.ID	-1.588***
	(0.000476)
307.ID	-1.437***
	(0.000476)
308.ID	-1.088***
	(0.000476)
309.ID	-1.765***
	(0.000476)
310.ID	-1.980***
	(0.000476)
311.ID	-3.253***
	(0.000476)
312.ID	-0
	(0.000476)
313.ID	-1.765***
	(0.000476)
314.ID	-1.980***
	(0.000476)
315.ID	-1.980***
	(0.000476)
316.ID	-2.007***
	(0.419)
317.ID	-0
	(0.000476)
318.ID	-0
	(0.000476)
319.ID	-0
	(0.000476)
320.ID	-1.765***
	(0.000476)
321.ID	-1.588***
	(0.000476)
322.ID	0.509***
	(0.000476)
323.ID	-0.628
	(1.137)
324.ID	-0
	(0.000476)
325.ID	-1.980***
	(0.000476)
326.ID	-0
	(0.000476)
327.ID	-0
	(0.000476)
328.ID	-0
	(0.000476)
329.ID	-1.980***
	(0.000476)
330.ID	0.286***
	(0.000476)
331.ID	-1.980***
	(0.000476)
332.ID	-0
	(0.000476)
333.ID	-0.507***
	(0.000476)
334.ID	-1.980***
	(0.000476)
335.ID	-1.980***
	(0.000476)
336.ID	-0.0686***
	(0.000476)
337.ID	-1.980***
	(0.000476)
338.ID	-0
	(0.000476)
340.ID	0.509***
	(0.000476)
341.ID	-1.765***
	(0.000476)
342.ID	-1.980***
	(0.000476)
343.ID	-0
	(0.000476)
344.ID	-1.588***
	(0.000476)
345.ID	0.509***
	(0.000476)
346.ID	-3.253***
	(0.000476)
347.ID	-1.588***
	(0.000476)
348.ID	-1.980***
	(0.000476)
349.ID	-3.253***
	(0.000476)
350.ID	-1.980***
	(0.000476)
352.ID	-0
	(0.000476)
353.ID	-0.403***
	(0.000476)
354.ID	-1.980***
	(0.000476)
355.ID	-1.588***
	(0.000476)
356.ID	-1.765***
	(0.000476)
357.ID	-0
	(0.000476)
358.ID	-1.980***
	(0.000476)
359.ID	-0
	(0.000476)
361.ID	-1.980***
	(0.000476)
364.ID	0.286***
	(0.000476)
365.ID	-1.980***
	(0.000476)
366.ID	0.397***
	(0.111)
369.ID	-0
	(0.000476)
370.ID	-0
	(0.000476)
372.ID	-0
	(0.000476)
373.ID	-1.980***
	(0.000476)
374.ID	-0
	(0.000476)
377.ID	-0.990
	(0.990)
378.ID	-1.980***
	(0.000476)
379.ID	-1.765***
	(0.000476)
381.ID	-2.117***
	(0.138)
382.ID	-3.253***
	(0.000476)
383.ID	-1.980***
	(0.000476)
385.ID	-0
	(0.000476)
386.ID	-2.634***
	(0.000476)
387.ID	-1.980***
	(0.000476)
388.ID	-1.765***
	(0.000476)
389.ID	-0
	(0.000476)
390.ID	0.509***
	(0.000476)
391.ID	-0.990
	(0.991)
393.ID	-0
	(0.000476)
394.ID	-0
	(0.000476)
395.ID	-0
	(0.000476)
396.ID	-0
	(0.000476)
397.ID	-1.980***
	(0.000476)
398.ID	-2.634***
	(0.000476)
399.ID	-1.765***
	(0.000476)
400.ID	-0
	(0.000476)
401.ID	-1.088***
	(0.000476)
402.ID	-1.980***
	(0.000476)
403.ID	-1.980***
	(0.000476)
404.ID	-1.588***
	(0.000476)
405.ID	-1.980***
	(0.000476)
406.ID	-0.403***
	(0.000476)
407.ID	-0
	(0.000476)
408.ID	-0.736
	(1.244)
409.ID	-2.634***
	(0.000476)
410.ID	-1.980***
	(0.000476)
411.ID	-2.254***
	(0.000476)
412.ID	-0
	(0.000476)
413.ID	-1.588***
	(0.000476)
414.ID	-1.980***
	(0.000476)
415.ID	-1.980***
	(0.000476)
416.ID	-1.765***
	(0.000476)
417.ID	-2.634***
	(0.000476)
418.ID	-1.980***
	(0.000476)
419.ID	-1.980***
	(0.000476)
420.ID	-1.765***
	(0.000476)
421.ID	-1.980***
	(0.000476)
423.ID	-0
	(0.000476)
424.ID	-0
	(0.000476)
425.ID	-0
	(0.000476)
426.ID	-1.980***
	(0.000476)
428.ID	-1.980***
	(0.000476)
429.ID	-1.980***
	(0.000476)
430.ID	0.509***
	(0.000476)
431.ID	-1.765***
	(0.000476)
432.ID	-0
	(0.000476)
433.ID	-1.980***
	(0.000476)
434.ID	-1.980***
	(0.000476)
435.ID	0.509***
	(0.000476)
436.ID	-1.765***
	(0.000476)
437.ID	-2.634***
	(0.000476)
438.ID	-0
	(0.000476)
439.ID	-0
	(0.000476)
440.ID	-1.765***
	(0.000476)
441.ID	-0
	(0.000476)
442.ID	-0
	(0.000476)
445.ID	-1.980***
	(0.000476)
446.ID	-0
	(0.000476)
448.ID	-0
	(0.000476)
449.ID	-0
	(0.000476)
450.ID	-1.980***
	(0.000476)
451.ID	-0
	(0.000476)
452.ID	-1.765***
	(0.000476)
453.ID	0.509***
	(0.000476)
454.ID	-1.765***
	(0.000476)
455.ID	-0
	(0.000476)
456.ID	-2.634***
	(0.000476)
457.ID	0.509***
	(0.000476)
459.ID	-1.765***
	(0.000476)
460.ID	-1.980***
	(0.000476)
462.ID	-0
	(0.000476)
464.ID	-0
	(0.000476)
465.ID	-1.088***
	(0.000476)
466.ID	-0
	(0.000476)
467.ID	-0
	(0.000476)
468.ID	0.509***
	(0.000476)
469.ID	-1.980***
	(0.000476)
470.ID	-0
	(0.000476)
471.ID	0.509***
	(0.000476)
472.ID	0.509***
	(0.000476)
473.ID	-0
	(0.000476)
474.ID	-0
	(0.000476)
475.ID	-1.980***
	(0.000476)
476.ID	-0
	(0.000476)
477.ID	0.286***
	(0.000476)
478.ID	0.509***
	(0.000476)
479.ID	-0
	(0.000476)
480.ID	-1.088***
	(0.000476)
481.ID	-0
	(0.000476)
482.ID	0.509***
	(0.000476)
483.ID	-2.634***
