	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00606
	(0.0123)
1.ID	-1.588***
	(0)
2.ID	0
	(0)
3.ID	-1.980***
	(0)
4.ID	0
	(0)
5.ID	-1.765***
	(0)
6.ID	-1.980***
	(0)
7.ID	0
	(0)
8.ID	-1.765***
	(0)
9.ID	-1.980***
	(0)
10.ID	0.509***
	(0)
12.ID	0.509***
	(0)
14.ID	0
	(0)
15.ID	-1.980***
	(0)
16.ID	0
	(0)
17.ID	-0.990***
	(0)
18.ID	-1.980***
	(0)
19.ID	-1.765***
	(0)
20.ID	0
	(0)
21.ID	-1.765***
	(0)
22.ID	-1.588***
	(0)
23.ID	0
	(0)
24.ID	0
	(0)
25.ID	-1.765***
	(0)
26.ID	-2.634***
	(0)
27.ID	-1.980***
	(0)
28.ID	-1.980***
	(0)
29.ID	-1.980***
	(0)
30.ID	-1.980***
	(0)
31.ID	-0.908***
	(0)
32.ID	0
	(0)
33.ID	0
	(0)
34.ID	0
	(0)
35.ID	-1.980***
	(0)
36.ID	-1.980***
	(0)
37.ID	-1.980***
	(0)
38.ID	-1.980***
	(0)
39.ID	0
	(0)
40.ID	0
	(0)
41.ID	-1.588***
	(0)
42.ID	0.509***
	(0)
43.ID	-1.980***
	(0)
46.ID	-1.765***
	(0)
47.ID	-2.254***
	(0)
48.ID	0
	(0)
49.ID	0
	(0)
50.ID	0
	(0)
51.ID	-1.980***
	(0)
52.ID	-1.765***
	(0)
53.ID	0.254***
	(0)
54.ID	-1.980***
	(0)
55.ID	-1.980***
	(0)
56.ID	0
	(0)
57.ID	-1.980***
	(0)
58.ID	0
	(0)
59.ID	-1.307***
	(0)
60.ID	-1.980***
	(0)
61.ID	-1.980***
	(0)
62.ID	-1.765***
	(0)
63.ID	-1.980***
	(0)
64.ID	0
	(0)
65.ID	-1.980***
	(0)
66.ID	-1.765***
	(0)
67.ID	0
	(0)
68.ID	-0.403***
	(0)
69.ID	-1.980***
	(0)
70.ID	0.286***
	(0)
71.ID	0.509***
	(0)
72.ID	0.509***
	(0)
73.ID	-1.980***
	(0)
74.ID	0
	(0)
76.ID	-1.980***
	(0)
77.ID	-1.765***
	(0)
78.ID	-1.980***
	(0)
79.ID	-1.980***
	(0)
80.ID	0
	(0)
81.ID	-1.980***
	(0)
82.ID	-1.588***
	(0)
83.ID	-1.765***
	(0)
84.ID	0
	(0)
85.ID	0
	(0)
86.ID	0
	(0)
87.ID	0
	(0)
88.ID	0.509***
	(0)
89.ID	-1.980***
	(0)
90.ID	-1.980***
	(0)
91.ID	-0.624***
	(0)
92.ID	-2.634***
	(0)
93.ID	-1.588***
	(0)
94.ID	-1.980***
	(0)
95.ID	0.509***
	(0)
96.ID	-1.980***
	(0)
97.ID	-2.896***
	(0)
98.ID	-1.088***
	(0)
99.ID	-1.765***
	(0)
100.ID	-1.765***
	(0)
101.ID	-1.980***
	(0)
102.ID	-2.634***
	(0)
103.ID	-1.980***
	(0)
104.ID	-1.980***
	(0)
105.ID	-1.980***
	(0)
106.ID	0.509***
	(0)
107.ID	0.509***
	(0)
108.ID	0.509***
	(0)
109.ID	-1.872***
	(0)
110.ID	-2.634***
	(0)
111.ID	-2.634***
	(0)
112.ID	0
	(0)
113.ID	-1.980***
	(0)
114.ID	0
	(0)
115.ID	0
	(0)
116.ID	-1.676***
	(0)
117.ID	0
	(0)
118.ID	0
	(0)
119.ID	0.509***
	(0)
120.ID	-0.756***
	(0)
121.ID	0
	(0)
122.ID	0.254***
	(0)
123.ID	-0.628***
	(0)
125.ID	0
	(0)
126.ID	0
	(0)
127.ID	-1.317***
	(0)
128.ID	-1.765***
	(0)
129.ID	0
	(0)
130.ID	-1.980***
	(0)
131.ID	-1.765***
	(0)
132.ID	-2.634***
	(0)
133.ID	0
	(0)
134.ID	-1.088***
	(0)
135.ID	-1.980***
	(0)
136.ID	0
	(0)
137.ID	0
	(0)
138.ID	0.254***
	(0)
139.ID	-1.980***
	(0)
140.ID	-1.588***
	(0)
142.ID	-1.980***
	(0)
144.ID	-1.980***
	(0)
145.ID	-1.765***
	(0)
146.ID	0
	(0)
147.ID	0.509***
	(0)
148.ID	0
	(0)
149.ID	-2.634***
	(0)
150.ID	-1.980***
	(0)
151.ID	-1.765***
	(0)
152.ID	0
	(0)
153.ID	0
	(0)
154.ID	0
	(0)
155.ID	-1.980***
	(0)
156.ID	-1.980***
	(0)
157.ID	0
	(0)
158.ID	0
	(0)
159.ID	-1.765***
	(0)
160.ID	0
	(0)
161.ID	-0.739***
	(0)
163.ID	-1.088***
	(0)
164.ID	-1.980***
	(0)
165.ID	-1.980***
	(0)
166.ID	0
	(0)
167.ID	-1.980***
	(0)
168.ID	0
	(0)
169.ID	0
	(0)
170.ID	-1.765***
	(0)
171.ID	-1.765***
	(0)
172.ID	-1.980***
	(0)
173.ID	0
	(0)
174.ID	0
	(0)
175.ID	-1.765***
	(0)
176.ID	-1.980***
	(0)
177.ID	0
	(0)
178.ID	-2.634***
	(0)
179.ID	0
	(0)
180.ID	-0.829***
	(0)
181.ID	-2.634***
	(0)
182.ID	-1.980***
	(0)
183.ID	-0.882***
	(0)
184.ID	-1.980***
	(0)
185.ID	0.509***
	(0)
186.ID	-0.403***
	(0)
187.ID	0.509***
	(0)
188.ID	0
	(0)
189.ID	-1.765***
	(0)
190.ID	-1.980***
	(0)
191.ID	-1.765***
	(0)
192.ID	-1.980***
	(0)
194.ID	0
	(0)
196.ID	-1.980***
	(0)
197.ID	0
	(0)
198.ID	-1.980***
	(0)
199.ID	-1.980***
	(0)
200.ID	0
	(0)
201.ID	-1.980***
	(0)
202.ID	0
	(0)
203.ID	0.509***
	(0)
204.ID	0.509***
	(0)
205.ID	0
	(0)
206.ID	-1.980***
	(0)
207.ID	-1.980***
	(0)
208.ID	-1.980***
	(0)
209.ID	0
	(0)
210.ID	-1.980***
	(0)
212.ID	-1.980***
	(0)
213.ID	0.509***
	(0)
214.ID	0
	(0)
217.ID	0
	(0)
218.ID	-1.980***
	(0)
219.ID	-1.765***
	(0)
220.ID	0
	(0)
221.ID	0
	(0)
222.ID	0.509***
	(0)
223.ID	-1.765***
	(0)
224.ID	0
	(0)
225.ID	0
	(0)
226.ID	-2.254***
	(0)
227.ID	0
	(0)
228.ID	0.509***
	(0)
229.ID	0
	(0)
230.ID	0
	(0)
231.ID	-1.765***
	(0)
232.ID	-0.990***
	(0)
233.ID	-1.765***
	(0)
234.ID	0
	(0)
235.ID	-1.088***
	(0)
236.ID	0.509***
	(0)
237.ID	0
	(0)
239.ID	0.397***
	(0)
240.ID	0
	(0)
241.ID	0
	(0)
242.ID	-1.980***
	(0)
243.ID	-0.403***
	(0)
244.ID	0.143***
	(0)
245.ID	-1.980***
	(0)
246.ID	0
	(0)
247.ID	0
	(0)
248.ID	-1.588***
	(0)
249.ID	-1.980***
	(0)
250.ID	0.254***
	(0)
251.ID	-1.980***
	(0)
252.ID	-1.765***
	(0)
253.ID	-1.980***
	(0)
254.ID	-1.980***
	(0)
255.ID	0.509***
	(0)
256.ID	0
	(0)
257.ID	0
	(0)
258.ID	-1.980***
	(0)
259.ID	0
	(0)
260.ID	0
	(0)
261.ID	-2.634***
	(0)
263.ID	-1.980***
	(0)
264.ID	0.509***
	(0)
266.ID	0
	(0)
267.ID	-1.765***
	(0)
268.ID	0
	(0)
269.ID	0
	(0)
270.ID	0
	(0)
271.ID	-1.872***
	(0)
272.ID	0.509***
	(0)
274.ID	-0.990***
	(0)
275.ID	-1.765***
	(0)
276.ID	-0.403***
	(0)
277.ID	0
	(0)
278.ID	-2.426***
	(0)
279.ID	-1.765***
	(0)
280.ID	0
	(0)
281.ID	0
	(0)
282.ID	-2.254***
	(0)
283.ID	-1.980***
	(0)
284.ID	-1.980***
	(0)
285.ID	-1.980***
	(0)
286.ID	-1.980***
	(0)
288.ID	0
	(0)
289.ID	0
	(0)
290.ID	0
	(0)
291.ID	-1.980***
	(0)
292.ID	0
	(0)
293.ID	-1.980***
	(0)
294.ID	-1.588***
	(0)
295.ID	-0.990***
	(0)
296.ID	-1.307***
	(0)
297.ID	0
	(0)
298.ID	0
	(0)
299.ID	0.509***
	(0)
300.ID	0
	(0)
301.ID	-1.980***
	(0)
302.ID	0.509***
	(0)
303.ID	-1.307***
	(0)
304.ID	0.509***
	(0)
305.ID	0
	(0)
306.ID	-1.588***
	(0)
307.ID	-1.437***
	(0)
308.ID	-1.088***
	(0)
309.ID	-1.765***
	(0)
310.ID	-1.980***
	(0)
311.ID	-3.253***
	(0)
312.ID	0
	(0)
313.ID	-1.765***
	(0)
314.ID	-1.588***
	(0)
315.ID	-1.980***
	(0)
316.ID	-1.588***
	(0)
317.ID	0
	(0)
318.ID	0
	(0)
319.ID	0
	(0)
320.ID	-1.765***
	(0)
321.ID	-1.588***
	(0)
322.ID	0.509***
	(0)
323.ID	-1.765***
	(0)
324.ID	0
	(0)
325.ID	-1.980***
	(0)
326.ID	0
	(0)
327.ID	0
	(0)
328.ID	0
	(0)
329.ID	-0.990***
	(0)
330.ID	0.143***
	(0)
331.ID	-1.980***
	(0)
332.ID	0
	(0)
333.ID	-0.254***
	(0)
334.ID	-1.980***
	(0)
335.ID	-1.980***
	(0)
336.ID	-0.0686***
	(0)
337.ID	-1.980***
	(0)
338.ID	0
	(0)
339.ID	0
	(0)
340.ID	0.509***
	(0)
341.ID	-1.765***
	(0)
342.ID	-1.980***
	(0)
343.ID	0
	(0)
344.ID	-1.588***
	(0)
345.ID	0.509***
	(0)
346.ID	-3.253***
	(0)
347.ID	-1.588***
	(0)
348.ID	-1.980***
	(0)
349.ID	-3.253***
	(0)
350.ID	-1.980***
	(0)
352.ID	0
	(0)
353.ID	-0.403***
	(0)
354.ID	-1.980***
	(0)
355.ID	-1.588***
	(0)
356.ID	-1.765***
	(0)
357.ID	0
	(0)
358.ID	-1.980***
	(0)
359.ID	0
	(0)
361.ID	-1.980***
	(0)
364.ID	0.286***
	(0)
365.ID	-1.980***
	(0)
366.ID	0.509***
	(0)
369.ID	0
	(0)
370.ID	0
	(0)
372.ID	0
	(0)
373.ID	-1.980***
	(0)
374.ID	0
	(0)
375.ID	-1.980***
	(0)
377.ID	-0.990***
	(0)
378.ID	-1.980***
	(0)
379.ID	-1.765***
	(0)
381.ID	-2.634***
	(0)
382.ID	-3.253***
	(0)
383.ID	-1.980***
	(0)
385.ID	0
	(0)
386.ID	-2.634***
	(0)
387.ID	-1.980***
	(0)
388.ID	-1.765***
	(0)
389.ID	0
	(0)
390.ID	0.254***
	(0)
391.ID	-1.980***
	(0)
393.ID	0
	(0)
394.ID	0
	(0)
395.ID	0
	(0)
396.ID	0
	(0)
397.ID	-1.980***
	(0)
398.ID	-2.634***
	(0)
399.ID	-1.765***
	(0)
400.ID	0
	(0)
401.ID	-1.088***
	(0)
402.ID	-1.980***
	(0)
403.ID	-1.980***
	(0)
404.ID	-1.588***
	(0)
405.ID	-1.980***
	(0)
406.ID	-0.403***
	(0)
407.ID	0
	(0)
408.ID	0.509***
	(0)
409.ID	-2.634***
	(0)
410.ID	-1.980***
	(0)
411.ID	-2.254***
	(0)
412.ID	0
	(0)
413.ID	-1.588***
	(0)
414.ID	-1.980***
	(0)
415.ID	-1.980***
	(0)
416.ID	-1.765***
	(0)
417.ID	-2.634***
	(0)
418.ID	-1.980***
	(0)
419.ID	-1.980***
	(0)
420.ID	-1.765***
	(0)
421.ID	-1.980***
	(0)
423.ID	0
	(0)
424.ID	0
	(0)
425.ID	0
	(0)
426.ID	-1.980***
	(0)
428.ID	-1.980***
	(0)
429.ID	-1.980***
	(0)
430.ID	0.509***
	(0)
431.ID	-1.765***
	(0)
432.ID	0
	(0)
433.ID	-1.980***
	(0)
434.ID	-1.980***
	(0)
435.ID	0.509***
	(0)
436.ID	-1.765***
	(0)
437.ID	-2.634***
	(0)
438.ID	0
	(0)
439.ID	0
	(0)
440.ID	-1.765***
	(0)
441.ID	0
	(0)
442.ID	0
	(0)
445.ID	-1.980***
	(0)
446.ID	0
	(0)
447.ID	-1.088***
	(0)
448.ID	0
	(0)
449.ID	0
	(0)
450.ID	-1.980***
	(0)
451.ID	0
	(0)
452.ID	-1.765***
	(0)
453.ID	0.509***
	(0)
454.ID	-1.765***
	(0)
455.ID	0
	(0)
456.ID	-2.634***
	(0)
457.ID	0.509***
	(0)
458.ID	0.509***
	(0)
459.ID	-1.765***
	(0)
460.ID	-1.980***
	(0)
461.ID	0.509***
	(0)
462.ID	0
	(0)
464.ID	0
	(0)
465.ID	-1.088***
	(0)
466.ID	0
	(0)
467.ID	0
	(0)
468.ID	0.509***
	(0)
469.ID	-1.980***
	(0)
470.ID	0
	(0)
471.ID	0.509***
	(0)
472.ID	0.509***
	(0)
473.ID	0
	(0)
474.ID	0
	(0)
475.ID	-1.980***
	(0)
476.ID	0
	(0)
477.ID	0.286***
	(0)
478.ID	0.509***
	(0)
479.ID	0
	(0)
480.ID	-1.088***
	(0)
481.ID	0
	(0)
482.ID	0.509***
	(0)
483.ID	-2.634***
	(0)
484.ID	0.286***
	(0)
485.ID	0.509***
	(0)
486.ID	-1.980***
	(0)
488.ID	0.509***
	(0)
489.ID	-2.254***
	(0)
490.ID	-1.980***
	(0)
493.ID	-0.990***
	(0)
494.ID	0
	(0)
495.ID	0
	(0)
497.ID	-1.765***
	(0)
498.ID	0.509***
	(0)
499.ID	-1.437***
	(0)
501.ID	-1.765***
	(0)
502.ID	-3.253***
	(0)
503.ID	-0.312***
	(0)
504.ID	0
	(0)
505.ID	-1.088***
	(0)
506.ID	-1.980***
	(0)
507.ID	0
	(0)
508.ID	-1.980***
	(0)
509.ID	-1.980***
	(0)
510.ID	0
	(0)
512.ID	-1.980***
	(0)
514.ID	0.509***
	(0)
515.ID	0.286***
	(0)
518.ID	-1.980***
	(0)
519.ID	-2.254***
	(0)
520.ID	0
	(0)
521.ID	0.286***
	(0)
523.ID	0
	(0)
524.ID	0
	(0)
525.ID	-1.765***
	(0)
526.ID	0
	(0)
527.ID	0
	(0)
528.ID	0.286***
	(0)
529.ID	0
	(0)
530.ID	-1.765***
	(0)
532.ID	0
	(0)
535.ID	-1.980***
	(0)
536.ID	0
	(0)
538.ID	-0.403***
	(0)
539.ID	-1.980***
	(0)
540.ID	-1.980***
	(0)
541.ID	0.286***
	(0)
542.ID	0.509***
	(0)
543.ID	0
	(0)
544.ID	-1.980***
	(0)
545.ID	-2.634***
	(0)
546.ID	-1.980***
	(0)
548.ID	-1.980***
	(0)
549.ID	0
	(0)
550.ID	0
	(0)
551.ID	0
	(0)
552.ID	-1.980***
	(0)
553.ID	0
	(0)
554.ID	-1.980***
	(0)
555.ID	0
	(0)
556.ID	-1.980***
	(0)
558.ID	0
	(0)
559.ID	0
	(0)
560.ID	0.509***
	(0)
561.ID	0
	(0)
562.ID	-1.980***
	(0)
563.ID	-0.454***
	(0)
564.ID	0
	(0)
565.ID	-1.980***
	(0)
567.ID	-1.980***
	(0)
568.ID	-1.980***
	(0)
569.ID	0
	(0)
570.ID	-2.896***
	(0)
571.ID	0
	(0)
573.ID	-1.980***
	(0)
574.ID	0
	(0)
575.ID	0
	(0)
576.ID	-1.980***
	(0)
577.ID	0
	(0)
578.ID	-1.765***
	(0)
579.ID	0
	(0)
580.ID	0
	(0)
581.ID	0
	(0)
582.ID	-1.980***
	(0)
583.ID	-1.980***
	(0)
584.ID	0
	(0)
585.ID	0.509***
	(0)
586.ID	-1.980***
	(0)
587.ID	-1.765***
	(0)
588.ID	-1.980***
	(0)
589.ID	0
	(0)
590.ID	0
