	(1)
VARIABLES	lgxq_llm
	
1.treated	0.00606
	(0.00873)
1.ID	-1.588***
	(0.00429)
2.ID	0
	(0.00429)
3.ID	-1.980***
	(0.00429)
4.ID	0
	(0.00429)
5.ID	-1.765***
	(0.00429)
6.ID	-1.980***
	(0.00429)
7.ID	0
	(0.00429)
8.ID	-1.765***
	(0.00429)
9.ID	-1.980***
	(0.00429)
10.ID	0.509***
	(0.00429)
12.ID	0.509***
	(0.00429)
14.ID	0
	(0.00429)
15.ID	-1.980***
	(0.00429)
16.ID	0
	(0.00429)
17.ID	-0.990
	(0.988)
18.ID	-1.980***
	(0.00429)
19.ID	-1.765***
	(0.00429)
20.ID	0
	(0.00429)
21.ID	-1.765***
	(0.00429)
22.ID	-1.588***
	(0.00429)
23.ID	0
	(0.00429)
24.ID	0
	(0.00429)
25.ID	-1.765***
	(0.00429)
26.ID	-2.634***
	(0.00429)
27.ID	-1.980***
	(0.00429)
28.ID	-1.980***
	(0.00429)
29.ID	-1.980***
	(0.00429)
30.ID	-1.980***
	(0.00429)
31.ID	-0.908***
	(0.00429)
32.ID	0
	(0.00429)
33.ID	0
	(0.00429)
34.ID	0
	(0.00429)
35.ID	-1.980***
	(0.00429)
36.ID	-1.980***
	(0.00429)
37.ID	-1.980***
	(0.00429)
38.ID	-1.980***
	(0.00429)
39.ID	0
	(0.00429)
40.ID	0
	(0.00429)
41.ID	-1.588***
	(0.00429)
42.ID	0.509***
	(0.00429)
43.ID	-1.980***
	(0.00429)
46.ID	-1.765***
	(0.00429)
47.ID	-2.254***
	(0.00429)
48.ID	0
	(0.00429)
49.ID	0
	(0.00429)
50.ID	0
	(0.00429)
51.ID	-1.980***
	(0.00429)
52.ID	-1.765***
	(0.00429)
53.ID	0.254
	(0.251)
54.ID	-1.980***
	(0.00429)
55.ID	-1.980***
	(0.00429)
56.ID	0
	(0.00429)
57.ID	-1.980***
	(0.00429)
58.ID	0
	(0.00429)
59.ID	-1.307***
	(0.00429)
60.ID	-1.980***
	(0.00429)
61.ID	-1.980***
	(0.00429)
62.ID	-1.765***
	(0.00429)
63.ID	-1.980***
	(0.00429)
64.ID	0
	(0.00429)
65.ID	-1.980***
	(0.00429)
66.ID	-1.765***
	(0.00429)
67.ID	0
	(0.00429)
68.ID	-0.403***
	(0.00429)
69.ID	-1.980***
	(0.00429)
70.ID	0.286***
	(0.00429)
71.ID	0.509***
	(0.00429)
72.ID	0.509***
	(0.00429)
73.ID	-1.980***
	(0.00429)
74.ID	0
	(0.00429)
76.ID	-1.980***
	(0.00429)
77.ID	-1.765***
	(0.00429)
78.ID	-1.980***
	(0.00429)
79.ID	-1.980***
	(0.00429)
80.ID	0
	(0.00429)
81.ID	-1.980***
	(0.00429)
82.ID	-1.588***
	(0.00429)
83.ID	-1.765***
	(0.00429)
84.ID	0
	(0.00429)
85.ID	0
	(0.00429)
86.ID	0
	(0.00429)
87.ID	0
	(0.00429)
88.ID	0.509***
	(0.00429)
89.ID	-1.980***
	(0.00429)
90.ID	-1.980***
	(0.00429)
91.ID	-0.624***
	(0.00429)
92.ID	-2.634***
	(0.00429)
93.ID	-1.588***
	(0.00429)
94.ID	-1.980***
	(0.00429)
95.ID	0.509***
	(0.00429)
96.ID	-1.980***
	(0.00429)
97.ID	-2.896***
	(0.00429)
98.ID	-1.088***
	(0.00429)
99.ID	-1.765***
	(0.00429)
100.ID	-1.765***
	(0.00429)
101.ID	-1.980***
	(0.00429)
102.ID	-2.634***
	(0.00429)
103.ID	-1.980***
	(0.00429)
104.ID	-1.980***
	(0.00429)
105.ID	-1.980***
	(0.00429)
106.ID	0.509***
	(0.00429)
107.ID	0.509***
	(0.00429)
108.ID	0.509***
	(0.00429)
109.ID	-1.872***
	(0.105)
110.ID	-2.634***
	(0.00429)
111.ID	-2.634***
	(0.00429)
112.ID	0
	(0.00429)
113.ID	-1.980***
	(0.00429)
114.ID	0
	(0.00429)
115.ID	0
	(0.00429)
116.ID	-1.676***
	(0.0916)
117.ID	0
	(0.00429)
118.ID	0
	(0.00429)
119.ID	0.509***
	(0.00429)
120.ID	-0.756***
	(0.00429)
121.ID	0
	(0.00429)
122.ID	0.254
	(0.251)
123.ID	-0.628
	(1.140)
125.ID	0
	(0.00429)
126.ID	0
	(0.00429)
127.ID	-1.317
	(1.321)
128.ID	-1.765***
	(0.00429)
129.ID	0
	(0.00429)
130.ID	-1.980***
	(0.00429)
131.ID	-1.765***
	(0.00429)
132.ID	-2.634***
	(0.00429)
133.ID	0
	(0.00429)
134.ID	-1.088***
	(0.00429)
135.ID	-1.980***
	(0.00429)
136.ID	0
	(0.00429)
137.ID	0
	(0.00429)
138.ID	0.254
	(0.251)
139.ID	-1.980***
	(0.00429)
140.ID	-1.588***
	(0.00429)
142.ID	-1.980***
	(0.00429)
144.ID	-1.980***
	(0.00429)
145.ID	-1.765***
	(0.00429)
146.ID	0
	(0.00429)
147.ID	0.509***
	(0.00429)
148.ID	0
	(0.00429)
149.ID	-2.634***
	(0.00429)
150.ID	-1.980***
	(0.00429)
151.ID	-1.765***
	(0.00429)
152.ID	0
	(0.00429)
153.ID	0
	(0.00429)
154.ID	0
	(0.00429)
155.ID	-1.980***
	(0.00429)
156.ID	-1.980***
	(0.00429)
157.ID	0
	(0.00429)
158.ID	0
	(0.00429)
159.ID	-1.765***
	(0.00429)
160.ID	0
	(0.00429)
161.ID	-0.739
	(1.023)
163.ID	-1.088***
	(0.00429)
164.ID	-1.980***
	(0.00429)
165.ID	-1.980***
	(0.00429)
166.ID	0
	(0.00429)
167.ID	-1.980***
	(0.00429)
168.ID	0
	(0.00429)
169.ID	0
	(0.00429)
170.ID	-1.765***
	(0.00429)
171.ID	-1.765***
	(0.00429)
172.ID	-1.980***
	(0.00429)
173.ID	0
	(0.00429)
174.ID	0
	(0.00429)
175.ID	-1.765***
	(0.00429)
176.ID	-1.980***
	(0.00429)
177.ID	0
	(0.00429)
178.ID	-2.634***
	(0.00429)
179.ID	0
	(0.00429)
180.ID	-0.829***
	(0.00429)
181.ID	-2.634***
	(0.00429)
182.ID	-1.980***
	(0.00429)
183.ID	-0.882
	(0.880)
184.ID	-1.980***
	(0.00429)
185.ID	0.509***
	(0.00429)
186.ID	-0.403***
	(0.00429)
187.ID	0.509***
	(0.00429)
188.ID	0
	(0.00429)
189.ID	-1.765***
	(0.00429)
190.ID	-1.980***
	(0.00429)
191.ID	-1.765***
	(0.00429)
192.ID	-1.980***
	(0.00429)
194.ID	0
	(0.00429)
196.ID	-1.980***
	(0.00429)
197.ID	0
	(0.00429)
198.ID	-1.980***
	(0.00429)
199.ID	-1.980***
	(0.00429)
200.ID	0
	(0.00429)
201.ID	-1.980***
	(0.00429)
202.ID	0
	(0.00429)
203.ID	0.509***
	(0.00429)
204.ID	0.509***
	(0.00429)
205.ID	0
	(0.00429)
206.ID	-1.980***
	(0.00429)
207.ID	-1.980***
	(0.00429)
208.ID	-1.980***
	(0.00429)
209.ID	0
	(0.00429)
210.ID	-1.980***
	(0.00429)
212.ID	-1.980***
	(0.00429)
213.ID	0.509***
	(0.00429)
214.ID	0
	(0.00429)
217.ID	0
	(0.00429)
218.ID	-1.980***
	(0.00429)
219.ID	-1.765***
	(0.00429)
220.ID	0
	(0.00429)
221.ID	0
	(0.00429)
222.ID	0.509***
	(0.00429)
223.ID	-1.765***
	(0.00429)
224.ID	0
	(0.00429)
225.ID	0
	(0.00429)
226.ID	-2.254***
	(0.00429)
227.ID	0
	(0.00429)
228.ID	0.509***
	(0.00429)
229.ID	0
	(0.00429)
230.ID	0
	(0.00429)
231.ID	-1.765***
	(0.00429)
232.ID	-0.990
	(0.994)
233.ID	-1.765***
	(0.00429)
234.ID	0
	(0.00429)
235.ID	-1.088***
	(0.00429)
236.ID	0.509***
	(0.00429)
237.ID	0
	(0.00429)
239.ID	0.397***
	(0.114)
240.ID	0
	(0.00429)
241.ID	0
	(0.00429)
242.ID	-1.980***
	(0.00429)
243.ID	-0.403***
	(0.00429)
244.ID	0.143
	(0.146)
245.ID	-1.980***
	(0.00429)
246.ID	0
	(0.00429)
247.ID	0
	(0.00429)
248.ID	-1.588***
	(0.00429)
249.ID	-1.980***
	(0.00429)
250.ID	0.254
	(0.258)
251.ID	-1.980***
	(0.00429)
252.ID	-1.765***
	(0.00429)
253.ID	-1.980***
	(0.00429)
254.ID	-1.980***
	(0.00429)
255.ID	0.509***
	(0.00429)
256.ID	0
	(0.00429)
257.ID	0
	(0.00429)
258.ID	-1.980***
	(0.00429)
259.ID	0
	(0.00429)
260.ID	0
	(0.00429)
261.ID	-2.634***
	(0.00429)
263.ID	-1.980***
	(0.00429)
264.ID	0.509***
	(0.00429)
266.ID	0
	(0.00429)
267.ID	-1.765***
	(0.00429)
268.ID	0
	(0.00429)
269.ID	0
	(0.00429)
270.ID	0
	(0.00429)
271.ID	-1.872***
	(0.105)
272.ID	0.509***
	(0.00429)
274.ID	-0.990
	(0.988)
275.ID	-1.765***
	(0.00429)
276.ID	-0.403***
	(0.00429)
277.ID	0
	(0.00429)
278.ID	-2.426***
	(0.00429)
279.ID	-1.765***
	(0.00429)
280.ID	0
	(0.00429)
281.ID	0
	(0.00429)
282.ID	-2.254***
	(0.00429)
283.ID	-1.980***
	(0.00429)
284.ID	-1.980***
	(0.00429)
285.ID	-1.980***
	(0.00429)
286.ID	-1.980***
	(0.00429)
288.ID	0
	(0.00429)
289.ID	0
	(0.00429)
290.ID	0
	(0.00429)
291.ID	-1.980***
	(0.00429)
292.ID	0
	(0.00429)
293.ID	-1.980***
	(0.00429)
294.ID	-1.588***
	(0.00429)
295.ID	-0.990
	(0.988)
296.ID	-1.307***
	(0.00429)
297.ID	0
	(0.00429)
298.ID	0
	(0.00429)
299.ID	0.509***
	(0.00429)
300.ID	0
	(0.00429)
301.ID	-1.980***
	(0.00429)
302.ID	0.509***
	(0.00429)
303.ID	-1.307***
	(0.00429)
304.ID	0.509***
	(0.00429)
305.ID	0
	(0.00429)
306.ID	-1.588***
	(0.00429)
307.ID	-1.437***
	(0.00429)
308.ID	-1.088***
	(0.00429)
309.ID	-1.765***
	(0.00429)
310.ID	-1.980***
	(0.00429)
311.ID	-3.253***
	(0.00429)
312.ID	0
	(0.00429)
313.ID	-1.765***
	(0.00429)
314.ID	-1.588***
	(0.00429)
315.ID	-1.980***
	(0.00429)
316.ID	-1.588***
	(0.00429)
317.ID	0
	(0.00429)
318.ID	0
	(0.00429)
319.ID	0
	(0.00429)
320.ID	-1.765***
	(0.00429)
321.ID	-1.588***
	(0.00429)
322.ID	0.509***
	(0.00429)
323.ID	-1.765***
	(0.00429)
324.ID	0
	(0.00429)
325.ID	-1.980***
	(0.00429)
326.ID	0
	(0.00429)
327.ID	0
	(0.00429)
328.ID	0
	(0.00429)
329.ID	-0.990
	(0.988)
330.ID	0.143
	(0.140)
331.ID	-1.980***
	(0.00429)
332.ID	0
	(0.00429)
333.ID	-0.254
	(0.251)
334.ID	-1.980***
	(0.00429)
335.ID	-1.980***
	(0.00429)
336.ID	-0.0686***
	(0.00429)
337.ID	-1.980***
	(0.00429)
338.ID	0
	(0.00429)
339.ID	0
	(0.00429)
340.ID	0.509***
	(0.00429)
341.ID	-1.765***
	(0.00429)
342.ID	-1.980***
	(0.00429)
343.ID	0
	(0.00429)
344.ID	-1.588***
	(0.00429)
345.ID	0.509***
	(0.00429)
346.ID	-3.253***
	(0.00429)
347.ID	-1.588***
	(0.00429)
348.ID	-1.980***
	(0.00429)
349.ID	-3.253***
	(0.00429)
350.ID	-1.980***
	(0.00429)
352.ID	0
	(0.00429)
353.ID	-0.403***
	(0.00429)
354.ID	-1.980***
	(0.00429)
355.ID	-1.588***
	(0.00429)
356.ID	-1.765***
	(0.00429)
357.ID	0
	(0.00429)
358.ID	-1.980***
	(0.00429)
359.ID	0
	(0.00429)
361.ID	-1.980***
	(0.00429)
364.ID	0.286***
	(0.00429)
365.ID	-1.980***
	(0.00429)
366.ID	0.509***
	(0.00429)
369.ID	0
	(0.00429)
370.ID	0
	(0.00429)
372.ID	0
	(0.00429)
373.ID	-1.980***
	(0.00429)
374.ID	0
	(0.00429)
375.ID	-1.980***
	(0.00429)
377.ID	-0.990
	(0.994)
378.ID	-1.980***
	(0.00429)
379.ID	-1.765***
	(0.00429)
381.ID	-2.634***
	(0.00429)
382.ID	-3.253***
	(0.00429)
383.ID	-1.980***
	(0.00429)
385.ID	0
	(0.00429)
386.ID	-2.634***
	(0.00429)
387.ID	-1.980***
	(0.00429)
388.ID	-1.765***
	(0.00429)
389.ID	0
	(0.00429)
390.ID	0.254
	(0.258)
391.ID	-1.980***
	(0.00429)
393.ID	0
	(0.00429)
394.ID	0
	(0.00429)
395.ID	0
	(0.00429)
396.ID	0
	(0.00429)
397.ID	-1.980***
	(0.00429)
398.ID	-2.634***
	(0.00429)
399.ID	-1.765***
	(0.00429)
400.ID	0
	(0.00429)
401.ID	-1.088***
	(0.00429)
402.ID	-1.980***
	(0.00429)
403.ID	-1.980***
	(0.00429)
404.ID	-1.588***
	(0.00429)
405.ID	-1.980***
	(0.00429)
406.ID	-0.403***
	(0.00429)
407.ID	0
	(0.00429)
408.ID	0.509***
	(0.00429)
409.ID	-2.634***
	(0.00429)
410.ID	-1.980***
	(0.00429)
411.ID	-2.254***
	(0.00429)
412.ID	0
	(0.00429)
413.ID	-1.588***
	(0.00429)
414.ID	-1.980***
	(0.00429)
415.ID	-1.980***
	(0.00429)
416.ID	-1.765***
	(0.00429)
417.ID	-2.634***
	(0.00429)
418.ID	-1.980***
	(0.00429)
419.ID	-1.980***
	(0.00429)
420.ID	-1.765***
	(0.00429)
421.ID	-1.980***
	(0.00429)
423.ID	0
	(0.00429)
424.ID	0
	(0.00429)
425.ID	0
	(0.00429)
426.ID	-1.980***
	(0.00429)
428.ID	-1.980***
	(0.00429)
429.ID	-1.980***
	(0.00429)
430.ID	0.509***
	(0.00429)
431.ID	-1.765***
	(0.00429)
432.ID	0
	(0.00429)
433.ID	-1.980***
	(0.00429)
434.ID	-1.980***
	(0.00429)
435.ID	0.509***
	(0.00429)
436.ID	-1.765***
	(0.00429)
437.ID	-2.634***
	(0.00429)
438.ID	0
	(0.00429)
439.ID	0
	(0.00429)
440.ID	-1.765***
	(0.00429)
441.ID	0
	(0.00429)
442.ID	0
	(0.00429)
445.ID	-1.980***
	(0.00429)
446.ID	0
	(0.00429)
447.ID	-1.088***
	(0.00429)
448.ID	0
	(0.00429)
449.ID	0
	(0.00429)
450.ID	-1.980***
	(0.00429)
451.ID	0
	(0.00429)
452.ID	-1.765***
	(0.00429)
453.ID	0.509***
	(0.00429)
454.ID	-1.765***
	(0.00429)
455.ID	0
	(0.00429)
456.ID	-2.634***
	(0.00429)
457.ID	0.509***
	(0.00429)
458.ID	0.509***
	(0.00429)
459.ID	-1.765***
	(0.00429)
460.ID	-1.980***
	(0.00429)
461.ID	0.509***
	(0.00429)
462.ID	0
	(0.00429)
464.ID	0
	(0.00429)
465.ID	-1.088***
	(0.00429)
466.ID	0
	(0.00429)
467.ID	0
	(0.00429)
468.ID	0.509***
	(0.00429)
469.ID	-1.980***
	(0.00429)
470.ID	0
	(0.00429)
471.ID	0.509***
	(0.00429)
472.ID	0.509***
	(0.00429)
473.ID	0
	(0.00429)
474.ID	0
	(0.00429)
475.ID	-1.980***
	(0.00429)
476.ID	0
	(0.00429)
477.ID	0.286***
	(0.00429)
478.ID	0.509***
	(0.00429)
479.ID	0
	(0.00429)
480.ID	-1.088***
	(0.00429)
481.ID	0
	(0.00429)
