	(1)
VARIABLES	llm_刑期
	
1.treated	1.211
	(0.847)
2.treated	0.135
	(1.285)
1.ID	-144***
	(0)
3.ID	-156***
	(0)
4.ID	-0
	(0)
5.ID	-150***
	(0)
6.ID	-156***
	(0)
7.ID	-0
	(0)
8.ID	30***
	(0)
9.ID	-156***
	(0)
10.ID	120***
	(0)
12.ID	120***
	(0)
14.ID	-0
	(0)
16.ID	-0
	(0)
17.ID	-52***
	(0)
18.ID	-156***
	(0)
19.ID	-150***
	(0)
20.ID	-0
	(0)
21.ID	-150***
	(0)
22.ID	-144***
	(0)
23.ID	-0
	(0)
24.ID	-0
	(0)
25.ID	-150***
	(0)
26.ID	-168***
	(0)
27.ID	-156***
	(0)
28.ID	-156***
	(0)
29.ID	-156***
	(0)
30.ID	-156***
	(0)
31.ID	-108***
	(0)
32.ID	-0
	(0)
33.ID	-0
	(0)
34.ID	-0
	(0)
35.ID	-156***
	(0)
36.ID	-156***
	(0)
37.ID	-156***
	(0)
39.ID	-0
	(0)
40.ID	-0
	(0)
41.ID	-144***
	(0)
42.ID	120***
	(0)
43.ID	-156***
	(0)
46.ID	-150***
	(0)
47.ID	-162***
	(0)
48.ID	-0
	(0)
49.ID	-0
	(0)
50.ID	-0
	(0)
51.ID	-156***
	(0)
52.ID	-150***
	(0)
53.ID	80***
	(0)
54.ID	-156***
	(0)
55.ID	-156***
	(0)
56.ID	-0
	(0)
57.ID	-156***
	(0)
58.ID	-0
	(0)
60.ID	-156***
	(0)
61.ID	-156***
	(0)
62.ID	-150***
	(0)
63.ID	-156***
	(0)
64.ID	-0
	(0)
67.ID	-0
	(0)
68.ID	-60***
	(0)
69.ID	-156***
	(0)
70.ID	60***
	(0)
71.ID	120.4***
	(0.284)
72.ID	120***
	(0)
73.ID	-156***
	(0)
74.ID	-40***
	(0)
76.ID	-156***
	(0)
77.ID	-150***
	(0)
78.ID	-156***
	(0)
79.ID	-156***
	(0)
81.ID	-156***
	(0)
82.ID	-144***
	(0)
83.ID	-150***
	(0)
84.ID	-0
	(0)
85.ID	-0
	(0)
86.ID	-0
	(0)
87.ID	-0
	(0)
88.ID	120***
	(0)
89.ID	-156***
	(0)
90.ID	-156***
	(0)
91.ID	-84***
	(0)
92.ID	-168***
	(0)
93.ID	-144***
	(0)
94.ID	-156***
	(0)
95.ID	120***
	(0)
96.ID	-156***
	(0)
97.ID	-171***
	(0)
98.ID	-120***
	(0)
99.ID	-150***
	(0)
100.ID	-150***
	(0)
102.ID	-168***
	(0)
103.ID	-104***
	(0)
104.ID	-156***
	(0)
105.ID	-156***
	(0)
106.ID	120***
	(0)
107.ID	120***
	(0)
108.ID	120***
	(0)
109.ID	-150***
	(0)
110.ID	-168***
	(0)
111.ID	-168***
	(0)
112.ID	-0
	(0)
113.ID	-156***
	(0)
114.ID	-0
	(0)
115.ID	-0
	(0)
116.ID	-144***
	(0)
117.ID	-0
	(0)
118.ID	-0
	(0)
119.ID	120***
	(0)
120.ID	-96***
	(0)
121.ID	-0
	(0)
122.ID	120***
	(0)
123.ID	30***
	(0)
126.ID	-0
	(0)
127.ID	-168***
	(0)
128.ID	-150***
	(0)
129.ID	-0
	(0)
131.ID	-148***
	(0)
132.ID	-168***
	(0)
133.ID	-0
	(0)
134.ID	-120***
	(0)
135.ID	-156***
	(0)
136.ID	-52***
	(0)
137.ID	-0
	(0)
138.ID	120***
	(0)
139.ID	-156***
	(0)
140.ID	-144***
	(0)
144.ID	-156***
	(0)
145.ID	-150***
	(0)
146.ID	-0
	(0)
147.ID	120***
	(0)
149.ID	-166***
	(0)
150.ID	-156***
	(0)
151.ID	-150***
	(0)
152.ID	-0
	(0)
153.ID	-0
	(0)
154.ID	-0
	(0)
156.ID	-104***
	(0)
157.ID	-0
	(0)
158.ID	-0
	(0)
159.ID	-150***
	(0)
160.ID	-0
	(0)
161.ID	60***
	(0)
163.ID	-120***
	(0)
164.ID	-156***
	(0)
166.ID	-0
	(0)
167.ID	-156***
	(0)
168.ID	-0
	(0)
169.ID	-0
	(0)
170.ID	-150***
	(0)
171.ID	-150***
	(0)
172.ID	-156***
	(0)
173.ID	-0
	(0)
174.ID	-0
	(0)
175.ID	-150***
	(0)
177.ID	-0
	(0)
178.ID	-170***
	(0)
180.ID	-102***
	(0)
181.ID	-166***
	(0)
182.ID	-156***
	(0)
