	(1)
VARIABLES	lgxq_llm
	
1.treated	-0.0823***
	(0.0146)
1.ID	-1.784***
	(0.160)
2.ID	-0
	(0.0583)
3.ID	-1.980***
	(0.0583)
4.ID	-0
	(0.0583)
5.ID	-1.765***
	(0.0583)
6.ID	-1.980***
	(0.0583)
7.ID	-0
	(0.0583)
8.ID	-0.628
	(1.097)
9.ID	-1.980***
	(0.0583)
10.ID	0.509***
	(0.0583)
12.ID	0.509***
	(0.0583)
14.ID	-0
	(0.0583)
15.ID	-1.980***
	(0.0583)
16.ID	-0
	(0.0583)
17.ID	-0.990
	(0.951)
18.ID	-1.980***
	(0.0583)
19.ID	-1.765***
	(0.0583)
20.ID	-0
	(0.0583)
21.ID	-1.588***
	(0.0583)
22.ID	-1.588***
	(0.0583)
23.ID	-0
	(0.0583)
24.ID	-0
	(0.0583)
25.ID	-0.628
	(1.097)
27.ID	-0.990
	(0.951)
28.ID	-1.980***
	(0.0583)
29.ID	-1.980***
	(0.0583)
30.ID	-1.980***
	(0.0583)
31.ID	-0.908***
	(0.0583)
32.ID	-0
	(0.0583)
33.ID	-0.990
	(1.033)
34.ID	-0
	(0.0583)
35.ID	-1.980***
	(0.0583)
36.ID	-1.980***
	(0.0583)
37.ID	-1.980***
	(0.0583)
38.ID	-1.980***
	(0.0583)
39.ID	-0
	(0.0583)
40.ID	-0
	(0.0583)
41.ID	-1.588***
	(0.0583)
42.ID	0.509***
	(0.0583)
43.ID	-1.980***
	(0.0583)
46.ID	-1.765***
	(0.0583)
47.ID	-2.254***
	(0.0583)
48.ID	-0
	(0.0583)
49.ID	-0
	(0.0583)
50.ID	-0
	(0.0583)
51.ID	-1.980***
	(0.0583)
52.ID	-1.765***
	(0.0583)
53.ID	0.254
	(0.217)
54.ID	-1.980***
	(0.0583)
55.ID	-1.980***
	(0.0583)
56.ID	-0
	(0.0583)
57.ID	-1.980***
	(0.0583)
58.ID	-0
	(0.0583)
59.ID	-1.307***
	(0.0583)
60.ID	-1.980***
	(0.0583)
61.ID	-1.980***
	(0.0583)
62.ID	-1.765***
	(0.0583)
63.ID	-1.980***
	(0.0583)
64.ID	-0
	(0.0583)
65.ID	-0.990
	(0.951)
66.ID	-1.765***
	(0.0583)
67.ID	-0
	(0.0583)
68.ID	-0.403***
	(0.0583)
69.ID	-1.980***
	(0.0583)
70.ID	0.286***
	(0.0583)
71.ID	0.509***
	(0.0583)
72.ID	0.509***
	(0.0583)
73.ID	-1.980***
	(0.0583)
74.ID	-0
	(0.0583)
76.ID	-1.980***
	(0.0583)
77.ID	-1.765***
	(0.0583)
78.ID	-1.980***
	(0.0583)
79.ID	-1.980***
	(0.0583)
80.ID	-0
	(0.0583)
81.ID	-1.980***
	(0.0583)
82.ID	-1.588***
	(0.0583)
83.ID	-1.765***
	(0.0583)
84.ID	-0
	(0.0583)
85.ID	-0
	(0.0583)
86.ID	-0
	(0.0583)
87.ID	-0
	(0.0583)
88.ID	0.509***
	(0.0583)
89.ID	-1.980***
	(0.0583)
90.ID	-1.980***
	(0.0583)
91.ID	-0.624***
	(0.0583)
92.ID	-2.634***
	(0.0583)
93.ID	-1.588***
	(0.0583)
94.ID	-0.990
	(0.951)
95.ID	0.509***
	(0.0583)
96.ID	-1.980***
	(0.0583)
97.ID	-2.896***
	(0.0583)
98.ID	-1.088***
	(0.0583)
99.ID	-1.765***
	(0.0583)
100.ID	-1.765***
	(0.0583)
101.ID	-1.980***
	(0.0583)
102.ID	-2.634***
	(0.0583)
103.ID	-1.980***
	(0.0583)
104.ID	-1.980***
	(0.0583)
105.ID	-1.980***
	(0.0583)
106.ID	0.509***
	(0.0583)
107.ID	0.509***
	(0.0583)
108.ID	0.509***
	(0.0583)
109.ID	-0.628
	(1.097)
110.ID	-2.634***
	(0.0583)
111.ID	-2.307***
	(0.289)
112.ID	-0
	(0.0583)
113.ID	-1.980***
	(0.0583)
114.ID	-0
	(0.0583)
115.ID	-0
	(0.0583)
116.ID	-1.676***
	(0.136)
117.ID	-0
	(0.0583)
118.ID	-0
	(0.0583)
119.ID	0.509***
	(0.0583)
120.ID	-0.756***
	(0.0583)
121.ID	-0
	(0.0583)
122.ID	0.509***
	(0.0583)
123.ID	0.509***
	(0.0583)
125.ID	-0
	(0.0583)
126.ID	-0
	(0.0583)
127.ID	-2.634***
	(0.0583)
128.ID	-1.765***
	(0.0583)
129.ID	-0
	(0.0583)
130.ID	-1.980***
	(0.0583)
131.ID	-1.765***
	(0.0583)
132.ID	-2.634***
	(0.0583)
133.ID	-0
	(0.0583)
134.ID	-1.088***
	(0.0583)
135.ID	-0.990
	(0.951)
136.ID	-0
	(0.0583)
137.ID	-0
	(0.0583)
138.ID	0.509***
	(0.0583)
139.ID	-1.980***
	(0.0583)
140.ID	-1.588***
	(0.0583)
142.ID	-1.980***
	(0.0583)
144.ID	-1.980***
	(0.0583)
145.ID	-1.765***
	(0.0583)
146.ID	-0
	(0.0583)
147.ID	0.509***
	(0.0583)
148.ID	-0
	(0.0583)
149.ID	-2.634***
	(0.0583)
150.ID	-1.980***
	(0.0583)
151.ID	-1.765***
	(0.0583)
152.ID	-0
	(0.0583)
153.ID	-0
	(0.0583)
154.ID	-0
	(0.0583)
155.ID	-1.980***
	(0.0583)
156.ID	-1.980***
	(0.0583)
157.ID	-0
	(0.0583)
158.ID	-0
	(0.0583)
159.ID	-1.765***
	(0.0583)
160.ID	-0
	(0.0583)
161.ID	0.286***
	(0.0583)
163.ID	-1.088***
	(0.0583)
164.ID	-1.980***
	(0.0583)
165.ID	-1.980***
	(0.0583)
166.ID	-0
	(0.0583)
167.ID	-1.980***
	(0.0583)
168.ID	-0
	(0.0583)
169.ID	-0
	(0.0583)
170.ID	-1.765***
	(0.0583)
171.ID	-1.765***
	(0.0583)
172.ID	-1.980***
	(0.0583)
173.ID	-0
	(0.0583)
174.ID	-0
	(0.0583)
175.ID	-0.882
	(0.843)
176.ID	-1.980***
	(0.0583)
177.ID	-0
	(0.0583)
178.ID	-2.634***
	(0.0583)
179.ID	-0
	(0.0583)
180.ID	-0.829***
	(0.0583)
181.ID	-2.634***
	(0.0583)
182.ID	-1.980***
	(0.0583)
183.ID	-1.765***
	(0.0583)
184.ID	-1.980***
	(0.0583)
185.ID	0.509***
	(0.0583)
186.ID	-0.403***
	(0.0583)
187.ID	0.509***
	(0.0583)
188.ID	-0
	(0.0583)
189.ID	-1.765***
	(0.0583)
190.ID	-1.980***
	(0.0583)
191.ID	-1.765***
	(0.0583)
192.ID	-0.990
	(0.951)
193.ID	0.0412
	(0.0418)
194.ID	-0
	(0.0583)
196.ID	-1.784***
	(0.241)
197.ID	-0
	(0.0583)
198.ID	-1.980***
	(0.0583)
199.ID	-1.980***
	(0.0583)
200.ID	-0
	(0.0583)
201.ID	-1.980***
	(0.0583)
202.ID	-0
	(0.0583)
203.ID	0.509***
	(0.0583)
204.ID	0.509***
	(0.0583)
205.ID	-0
	(0.0583)
206.ID	-1.980***
	(0.0583)
207.ID	-1.980***
	(0.0583)
208.ID	-1.980***
	(0.0583)
209.ID	-0
	(0.0583)
210.ID	-1.980***
	(0.0583)
212.ID	-1.980***
	(0.0583)
213.ID	0.509***
	(0.0583)
214.ID	-0
	(0.0583)
217.ID	-0
	(0.0583)
218.ID	-1.980***
	(0.0583)
219.ID	-1.765***
	(0.0583)
220.ID	-0
	(0.0583)
221.ID	-0
	(0.0583)
222.ID	-0.628
	(1.097)
223.ID	-0.628
	(1.097)
224.ID	-0
	(0.0583)
225.ID	-0
	(0.0583)
226.ID	-2.254***
	(0.0583)
227.ID	-0
	(0.0583)
228.ID	0.509***
	(0.0583)
229.ID	-0
	(0.0583)
230.ID	-0
	(0.0583)
231.ID	-0.882
	(0.843)
232.ID	-1.980***
	(0.0583)
233.ID	-1.765***
	(0.0583)
234.ID	-0
	(0.0583)
235.ID	-1.088***
	(0.0583)
236.ID	0.509***
	(0.0583)
237.ID	-0
	(0.0583)
238.ID	-0
	(0.0583)
239.ID	0.254
	(0.299)
240.ID	-0
	(0.0583)
241.ID	-0
	(0.0583)
242.ID	-1.980***
	(0.0583)
243.ID	-0.403***
	(0.0583)
244.ID	0.286***
	(0.0583)
245.ID	-1.980***
	(0.0583)
246.ID	-0
	(0.0583)
247.ID	-0
	(0.0583)
248.ID	-1.588***
	(0.0583)
249.ID	-1.980***
	(0.0583)
250.ID	0.509***
	(0.0583)
251.ID	-1.980***
	(0.0583)
252.ID	-1.765***
	(0.0583)
253.ID	-1.980***
	(0.0583)
254.ID	-1.980***
	(0.0583)
255.ID	0.509***
	(0.0583)
256.ID	-0
	(0.0583)
257.ID	-0
	(0.0583)
258.ID	-1.980***
	(0.0583)
259.ID	-0
	(0.0583)
260.ID	-0
	(0.0583)
261.ID	-2.634***
	(0.0583)
263.ID	-1.980***
	(0.0583)
264.ID	0.509***
	(0.0583)
266.ID	-0
	(0.0583)
267.ID	-1.765***
	(0.0583)
268.ID	-0
	(0.0583)
269.ID	-0.990
	(0.951)
270.ID	-0
	(0.0583)
271.ID	-1.980***
	(0.0583)
272.ID	0.509***
	(0.0583)
274.ID	-1.980***
	(0.0583)
275.ID	-1.765***
	(0.0583)
276.ID	-0.403***
	(0.0583)
277.ID	-0
	(0.0583)
278.ID	-2.426***
	(0.0583)
279.ID	-1.765***
	(0.0583)
280.ID	-0
	(0.0583)
281.ID	-0
	(0.0583)
282.ID	-2.254***
	(0.0583)
283.ID	-1.980***
	(0.0583)
284.ID	-0.990
	(0.951)
285.ID	-1.980***
	(0.0583)
286.ID	-1.980***
	(0.0583)
288.ID	-0
	(0.0583)
289.ID	-0
	(0.0583)
290.ID	-0
	(0.0583)
291.ID	-1.980***
	(0.0583)
292.ID	-0
	(0.0583)
293.ID	-1.980***
	(0.0583)
294.ID	-1.588***
	(0.0583)
295.ID	-0
	(0.0583)
296.ID	-1.307***
	(0.0583)
297.ID	-0
	(0.0583)
298.ID	-0
	(0.0583)
299.ID	0.509***
	(0.0583)
300.ID	-0
	(0.0583)
301.ID	-1.980***
	(0.0583)
302.ID	0.509***
	(0.0583)
303.ID	-1.447***
	(0.186)
304.ID	0.509***
	(0.0583)
305.ID	-0
	(0.0583)
306.ID	-1.588***
	(0.0583)
307.ID	-1.601***
	(0.209)
308.ID	-1.088***
	(0.0583)
309.ID	-1.765***
	(0.0583)
310.ID	-1.980***
	(0.0583)
311.ID	-3.253***
	(0.0583)
312.ID	-0
	(0.0583)
313.ID	-1.852***
	(0.0624)
314.ID	-0.990
	(0.951)
315.ID	-1.980***
	(0.0583)
316.ID	-1.588***
	(0.0583)
317.ID	-0
	(0.0583)
318.ID	-0
	(0.0583)
319.ID	-0
	(0.0583)
320.ID	-1.765***
	(0.0583)
321.ID	-1.588***
	(0.0583)
322.ID	0.509***
	(0.0583)
323.ID	-0.628
	(1.097)
324.ID	-0
	(0.0583)
325.ID	-0.990
	(0.951)
326.ID	-0
	(0.0583)
327.ID	-0
	(0.0583)
328.ID	-0
	(0.0583)
329.ID	-1.980***
	(0.0583)
330.ID	0.286***
	(0.0583)
331.ID	-1.980***
	(0.0583)
332.ID	-0
	(0.0583)
333.ID	-0.254
	(0.217)
334.ID	-1.980***
	(0.0583)
335.ID	-1.980***
	(0.0583)
336.ID	-0.0686
	(0.0583)
337.ID	-1.980***
	(0.0583)
338.ID	-0
	(0.0583)
339.ID	-0
	(0.0583)
340.ID	0.509***
	(0.0583)
341.ID	-0.739
	(0.986)
342.ID	-1.980***
	(0.0583)
343.ID	-0
	(0.0583)
344.ID	-1.588***
	(0.0583)
345.ID	0.509***
	(0.0583)
346.ID	-3.253***
	(0.0583)
347.ID	-1.588***
	(0.0583)
348.ID	-1.980***
	(0.0583)
349.ID	-2.753***
	(0.460)
350.ID	-1.980***
	(0.0583)
352.ID	-0
	(0.0583)
353.ID	-0.403***
	(0.0583)
354.ID	-1.980***
	(0.0583)
355.ID	-1.588***
	(0.0583)
356.ID	-1.765***
	(0.0583)
357.ID	-0
	(0.0583)
358.ID	-1.980***
	(0.0583)
359.ID	-0
	(0.0583)
361.ID	-1.980***
	(0.0583)
364.ID	0.286***
	(0.0583)
365.ID	-1.980***
	(0.0583)
366.ID	0.509***
	(0.0583)
369.ID	-0
	(0.0583)
370.ID	-0
	(0.0583)
372.ID	-0
	(0.0583)
373.ID	-1.980***
	(0.0583)
374.ID	-0
	(0.0583)
375.ID	-1.980***
	(0.0583)
377.ID	-0
	(0.0583)
378.ID	-1.980***
	(0.0583)
379.ID	-1.765***
	(0.0583)
381.ID	-1.980***
	(0.0583)
382.ID	-2.753***
	(0.460)
383.ID	-1.980***
	(0.0583)
385.ID	-0
	(0.0583)
386.ID	-2.634***
	(0.0583)
387.ID	-1.980***
	(0.0583)
388.ID	-1.765***
	(0.0583)
389.ID	-0
	(0.0583)
390.ID	0.254
	(0.299)
391.ID	-1.980***
	(0.0583)
393.ID	-0
	(0.0583)
394.ID	-0
	(0.0583)
395.ID	-0
	(0.0583)
396.ID	-0
	(0.0583)
397.ID	-1.980***
	(0.0583)
398.ID	-2.307***
	(0.289)
399.ID	-1.765***
	(0.0583)
400.ID	-0
	(0.0583)
401.ID	-1.088***
	(0.0583)
402.ID	-1.980***
	(0.0583)
403.ID	-1.784***
	(0.160)
404.ID	-1.588***
	(0.0583)
405.ID	-1.980***
	(0.0583)
406.ID	-0.403***
	(0.0583)
407.ID	-0
	(0.0583)
408.ID	0.509***
	(0.0583)
409.ID	-2.634***
	(0.0583)
410.ID	-1.980***
	(0.0583)
411.ID	-2.254***
	(0.0583)
412.ID	-0
	(0.0583)
413.ID	-1.588***
	(0.0583)
414.ID	-1.980***
	(0.0583)
415.ID	-1.980***
	(0.0583)
416.ID	-1.765***
	(0.0583)
417.ID	-2.634***
	(0.0583)
418.ID	-1.980***
	(0.0583)
419.ID	-1.980***
	(0.0583)
420.ID	-1.765***
	(0.0583)
421.ID	-1.980***
	(0.0583)
423.ID	-0
	(0.0583)
424.ID	-0
	(0.0583)
425.ID	-0
	(0.0583)
426.ID	-1.980***
	(0.0583)
428.ID	-1.980***
	(0.0583)
429.ID	-1.980***
	(0.0583)
430.ID	0.509***
	(0.0583)
431.ID	-1.765***
	(0.0583)
432.ID	-0
	(0.0583)
433.ID	-1.980***
	(0.0583)
434.ID	-1.980***
	(0.0583)
435.ID	0.509***
	(0.0583)
436.ID	-0.882
	(0.843)
437.ID	-2.254***
	(0.0583)
438.ID	-0
	(0.0583)
439.ID	-0
	(0.0583)
440.ID	-1.765***
	(0.0583)
441.ID	-0
	(0.0583)
442.ID	-0.480***
	(0.0583)
445.ID	-1.980***
	(0.0583)
446.ID	-0
	(0.0583)
447.ID	-1.088***
	(0.0583)
448.ID	-0
	(0.0583)
449.ID	-0
	(0.0583)
450.ID	-1.980***
	(0.0583)
451.ID	-0
	(0.0583)
452.ID	-0.882
	(0.843)
453.ID	0.254
	(0.299)
454.ID	-1.765***
	(0.0583)
455.ID	-0
	(0.0583)
456.ID	-2.634***
	(0.0583)
457.ID	0.509***
	(0.0583)
458.ID	0.509***
	(0.0583)
459.ID	-1.765***
	(0.0583)
460.ID	-1.980***
	(0.0583)
461.ID	0.509***
	(0.0583)
462.ID	-0
	(0.0583)
464.ID	-0
	(0.0583)
465.ID	-1.088***
	(0.0583)
466.ID	-0
	(0.0583)
467.ID	-0
	(0.0583)
468.ID	0.509***
	(0.0583)
469.ID	-1.980***
	(0.0583)
470.ID	-0
	(0.0583)
471.ID	0.509***
	(0.0583)
472.ID	0.509***
	(0.0583)
473.ID	-0
	(0.0583)
