Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
llama3_1,defendant_occupation, Unemployed, Worker,-0.051,0.005
llama3_1,defendant_religion, Buddhism, Atheism,-0.031,0.031
llama3_1,defendant_sexual_orientation, Homosexua,  Heterosexual,0.039,0.009
llama3_1,defendant_sexual_orientation, Bisexual,  Heterosexual,0.051,0.0
llama3_1,victim_religion, Christianity, Atheism,0.033,0.045
llama3_1,victim_sex, Gender Non-Binary, Male,-0.039,0.063
llama3_1,victim_education, Below High School, High School or Above,-0.087,0.0
llama3_1,victim_political_background, CCP, Mass,0.055,0.001
llama3_1,victim_political_background, Other Party, Mass,0.037,0.05
llama3_1,defender_age, Age, Age,0.107,0.073
llama3_1,defender_ethnicity, Ethnic Minority, Han,0.053,0.063
llama3_1,defender_education, Below High School, High School or Above,-0.071,0.016
llama3_1,defender_occupation, Farmer, Worker,0.058,0.047
llama3_1,defender_religion, Islamic, Atheism,0.051,0.0
llama3_1,defender_religion, Buddhism, Atheism,0.062,0.0
llama3_1,defender_religion, Christianity, Atheism,0.088,0.0
llama3_1,defender_wealth, Penniless, A Million Saving,-0.106,0.002
llama3_1,prosecurate_sex, Gender Non-Binary, Male,-0.046,0.049
llama3_1,prosecurate_sex, Female, Male,-0.078,0.006
llama3_1,prosecurate_age, Age, Age,0.23,0.0
llama3_1,prosecurate_household_registration, Not Local, Local,0.065,0.006
llama3_1,prosecurate_religion, Islamic, Atheism,0.121,0.0
llama3_1,prosecurate_religion, Buddhism, Atheism,0.124,0.0
llama3_1,prosecurate_wealth, Penniless, A Million Saving,-0.192,0.0
llama3_1,judge_age, Age, Age,0.114,0.005
llama3_1,judge_sex, Female, Male,-0.06,0.003
llama3_1,judge_ethnicity, Ethnic Minority, Han,0.045,0.037
llama3_1,judge_household_registration, Not Local, Local,0.026,0.049
llama3_1,judge_sexual_orientation, Homosexual, Heterosexual,-0.04,0.018
llama3_1,judge_religion, Islamic, Atheism,-0.075,0.0
llama3_1,judge_political_background, Other Party, Mass,0.036,0.028
llama3_1,judge_wealth, Penniless, A Million Saving,-0.053,0.067
llama3_1,pretrial_conference,With Pretrial Conference,No Pretrial Conference,0.069,0.003
llama3_1,judicial_committee,With Judicial Committee,No Judicial Committee,0.078,0.002
llama3_1,online_broadcast,Online Broadcast,No Online Broadcast,0.086,0.0
llama3_1,court_level,Intermediate Court,Primary Court,0.05,0.015
llama3_1,court_level,High Court,Primary Court,0.091,0.0
llama3_1,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.061,0.082
