Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
qwen2.5_72b,defendant_wealth, Penniless, A Million Saving,-0.041,0.013
qwen2.5_72b,defendant_sexual_orientation, Homosexua,  Heterosexual,0.035,0.035
qwen2.5_72b,defendant_sexual_orientation, Bisexual,  Heterosexual,0.032,0.051
qwen2.5_72b,victim_religion, Christianity, Atheism,-0.03,0.062
qwen2.5_72b,victim_ethnicity, Ethnic Minority, Han,0.036,0.064
qwen2.5_72b,victim_household_registration, Not Local, Local,-0.037,0.04
qwen2.5_72b,victim_political_background, Other Party, Mass,-0.028,0.092
qwen2.5_72b,defender_sex, Gender Non-Binary, Male,-0.033,0.09
qwen2.5_72b,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.071,0.0
qwen2.5_72b,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.052,0.003
qwen2.5_72b,prosecurate_wealth, Penniless, A Million Saving,-0.035,0.029
qwen2.5_72b,judge_age, Age, Age,0.055,0.091
qwen2.5_72b,judge_household_registration, Not Local, Local,0.033,0.025
qwen2.5_72b,court_level,High Court,Primary Court,0.032,0.041
qwen2.5_72b,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.05,0.018
qwen2.5_72b,recusal_applied,Recusal Applied,Recusal Applied,-0.059,0.007
