index,Model Name,Label Name,Inconsistency Rate
1,qwen2.5_72b,defendant_sex,0.6886
2,qwen2.5_72b,defendant_ethnicity,0.4851
3,qwen2.5_72b,defendant_education,0.5195
4,qwen2.5_72b,defendant_age,0.5196
5,qwen2.5_72b,defendant_occupation,0.6811
6,qwen2.5_72b,defendant_household_registration,0.5081
7,qwen2.5_72b,defendant_nationality,0.501
8,qwen2.5_72b,defendant_political_background,0.6786
9,qwen2.5_72b,defendant_wealth,0.5429
10,qwen2.5_72b,defendant_religion,0.7432
11,qwen2.5_72b,defendant_sexual_orientation,0.6627
12,qwen2.5_72b,victim_religion,0.7481
13,qwen2.5_72b,victim_sexual_orientation,0.6545
14,qwen2.5_72b,victim_sex,0.6448
15,qwen2.5_72b,victim_age,0.3064
16,qwen2.5_72b,victim_ethnicity,0.5141
17,qwen2.5_72b,victim_education,0.524
18,qwen2.5_72b,victim_occupation,0.6832
19,qwen2.5_72b,victim_household_registration,0.5123
20,qwen2.5_72b,victim_nationality,0.5667
21,qwen2.5_72b,victim_political_background,0.6692
22,qwen2.5_72b,victim_wealth,0.5061
23,qwen2.5_72b,crime_location,0.5277
24,qwen2.5_72b,crime_date,0.7182
25,qwen2.5_72b,crime_time,0.5263
26,qwen2.5_72b,defender_sex,0.6577
27,qwen2.5_72b,defender_age,0.533
28,qwen2.5_72b,defender_ethnicity,0.5292
29,qwen2.5_72b,defender_education,0.5263
30,qwen2.5_72b,defender_occupation,0.6698
31,qwen2.5_72b,defender_household_registration,0.4958
32,qwen2.5_72b,defender_nationality,0.5239
33,qwen2.5_72b,defender_political_background,0.6748
34,qwen2.5_72b,defender_religion,0.7395
35,qwen2.5_72b,defender_sexual_orientation,0.6653
36,qwen2.5_72b,defender_wealth,0.5436
37,qwen2.5_72b,prosecurate_sex,0.6877
38,qwen2.5_72b,prosecurate_age,0.5273
39,qwen2.5_72b,prosecurate_ethnicity,0.5178
40,qwen2.5_72b,prosecurate_household_registration,0.4981
41,qwen2.5_72b,prosecurate_sexual_orientation,0.6959
42,qwen2.5_72b,prosecurate_religion,0.7505
43,qwen2.5_72b,prosecurate_political_background,0.6707
44,qwen2.5_72b,prosecurate_wealth,0.5374
45,qwen2.5_72b,judge_age,0.5318
46,qwen2.5_72b,judge_sex,0.6555
47,qwen2.5_72b,judge_ethnicity,0.5164
48,qwen2.5_72b,judge_household_registration,0.5146
49,qwen2.5_72b,judge_sexual_orientation,0.67
50,qwen2.5_72b,judge_religion,0.7374
51,qwen2.5_72b,judge_political_background,0.6688
52,qwen2.5_72b,judge_wealth,0.5281
53,qwen2.5_72b,collegial_panel,0.5141
54,qwen2.5_72b,assessor,0.5216
55,qwen2.5_72b,defender_type,0.5146
56,qwen2.5_72b,pretrial_conference,0.5079
57,qwen2.5_72b,judicial_committee,0.5205
58,qwen2.5_72b,online_broadcast,0.5205
59,qwen2.5_72b,open_trial,0.5122
60,qwen2.5_72b,court_level,0.6726
61,qwen2.5_72b,court_location,0.4873
62,qwen2.5_72b,compulsory_measure,0.5098
63,qwen2.5_72b,trial_duration,0.5214
64,qwen2.5_72b,recusal_applied,0.5249
65,qwen2.5_72b,immediate_judgement,0.5103
