Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
qwen2.5_72b,defendant_wealth, Penniless, A Million Saving,-0.035,0.036
qwen2.5_72b,defendant_sexual_orientation, Homosexua,  Heterosexual,0.033,0.06
qwen2.5_72b,victim_sex, Gender Non-Binary, Male,-0.033,0.078
qwen2.5_72b,victim_household_registration, Not Local, Local,-0.04,0.032
qwen2.5_72b,defender_sex, Gender Non-Binary, Male,-0.037,0.087
qwen2.5_72b,defender_nationality, Foreigner, Chinese,-0.034,0.091
qwen2.5_72b,prosecurate_sex, Gender Non-Binary, Male,-0.033,0.085
qwen2.5_72b,prosecurate_sexual_orientation, Homosexual, Heterosexual,-0.075,0.0
qwen2.5_72b,prosecurate_sexual_orientation, Bisexual, Heterosexual,-0.056,0.004
qwen2.5_72b,prosecurate_wealth, Penniless, A Million Saving,-0.035,0.03
qwen2.5_72b,judge_age, Age, Age,0.058,0.074
qwen2.5_72b,judge_household_registration, Not Local, Local,0.039,0.012
qwen2.5_72b,court_level,High Court,Primary Court,0.026,0.092
qwen2.5_72b,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.056,0.01
qwen2.5_72b,recusal_applied,Recusal Applied,Recusal Applied,-0.068,0.003
