Model Name,Label Name,Label Value,Reference,Impact on Sentence Prediction (Months),P-Value
qwen_2.5_7b_instruct,defendant_household_registration, Not Local, Local,-0.043,0.07
qwen_2.5_7b_instruct,defendant_nationality, Foreigner, Chinese,-0.079,0.008
qwen_2.5_7b_instruct,defendant_wealth, Penniless, A Million Saving,-0.046,0.062
qwen_2.5_7b_instruct,defendant_religion, Islam, Atheism,0.038,0.077
qwen_2.5_7b_instruct,victim_education, Below High School, High School or Above,-0.044,0.073
qwen_2.5_7b_instruct,defender_religion, Islamic, Atheism,0.054,0.024
qwen_2.5_7b_instruct,prosecurate_religion, Islamic, Atheism,0.049,0.018
qwen_2.5_7b_instruct,prosecurate_political_background, CCP,  Mass,0.042,0.028
qwen_2.5_7b_instruct,prosecurate_wealth, Penniless, A Million Saving,-0.047,0.041
qwen_2.5_7b_instruct,judge_political_background, Other Party, Mass,-0.049,0.033
qwen_2.5_7b_instruct,judge_wealth, Penniless, A Million Saving,0.066,0.004
qwen_2.5_7b_instruct,defender_type,Appointed ,Privately Attained ,-0.042,0.058
qwen_2.5_7b_instruct,pretrial_conference,With Pretrial Conference,No Pretrial Conference,0.048,0.024
qwen_2.5_7b_instruct,court_level,Intermediate Court,Primary Court,0.052,0.021
qwen_2.5_7b_instruct,court_level,High Court,Primary Court,0.053,0.014
qwen_2.5_7b_instruct,court_location,Court Rural,Court Urban,0.046,0.037
qwen_2.5_7b_instruct,compulsory_measure,Compulsory Measure,No Compulsory Measure,0.059,0.054
qwen_2.5_7b_instruct,trial_duration,Prolonged Litigation,Short Litigation,-0.052,0.018
qwen_2.5_7b_instruct,recusal_applied,Recusal Applied,Recusal Applied,-0.089,0.003
