index,Model Name,Label Name,Inconsistency Rate
1,qwen_2.5_7b_instruct,defendant_sex,0.7372
2,qwen_2.5_7b_instruct,defendant_ethnicity,0.578
3,qwen_2.5_7b_instruct,defendant_education,0.5806
4,qwen_2.5_7b_instruct,defendant_age,0.5694
5,qwen_2.5_7b_instruct,defendant_occupation,0.7096
6,qwen_2.5_7b_instruct,defendant_household_registration,0.5865
7,qwen_2.5_7b_instruct,defendant_nationality,0.5845
8,qwen_2.5_7b_instruct,defendant_political_background,0.7472
9,qwen_2.5_7b_instruct,defendant_wealth,0.603
10,qwen_2.5_7b_instruct,defendant_religion,0.7968
11,qwen_2.5_7b_instruct,defendant_sexual_orientation,0.7425
12,qwen_2.5_7b_instruct,victim_religion,0.7901
13,qwen_2.5_7b_instruct,victim_sexual_orientation,0.7365
14,qwen_2.5_7b_instruct,victim_sex,0.7297
15,qwen_2.5_7b_instruct,victim_age,0.3674
16,qwen_2.5_7b_instruct,victim_ethnicity,0.564
17,qwen_2.5_7b_instruct,victim_education,0.5829
18,qwen_2.5_7b_instruct,victim_occupation,0.7367
19,qwen_2.5_7b_instruct,victim_household_registration,0.582
20,qwen_2.5_7b_instruct,victim_nationality,0.5805
21,qwen_2.5_7b_instruct,victim_political_background,0.7414
22,qwen_2.5_7b_instruct,victim_wealth,0.5923
23,qwen_2.5_7b_instruct,crime_location,0.6063
24,qwen_2.5_7b_instruct,crime_date,0.8037
25,qwen_2.5_7b_instruct,crime_time,0.6039
26,qwen_2.5_7b_instruct,defender_sex,0.7288
27,qwen_2.5_7b_instruct,defender_age,0.5881
28,qwen_2.5_7b_instruct,defender_ethnicity,0.6035
29,qwen_2.5_7b_instruct,defender_education,0.6056
30,qwen_2.5_7b_instruct,defender_occupation,0.7328
31,qwen_2.5_7b_instruct,defender_household_registration,0.6039
32,qwen_2.5_7b_instruct,defender_nationality,0.5813
33,qwen_2.5_7b_instruct,defender_political_background,0.7328
34,qwen_2.5_7b_instruct,defender_religion,0.8039
35,qwen_2.5_7b_instruct,defender_sexual_orientation,0.7436
36,qwen_2.5_7b_instruct,defender_wealth,0.6108
37,qwen_2.5_7b_instruct,prosecurate_sex,0.7151
38,qwen_2.5_7b_instruct,prosecurate_age,0.5875
39,qwen_2.5_7b_instruct,prosecurate_ethnicity,0.5783
40,qwen_2.5_7b_instruct,prosecurate_household_registration,0.5948
41,qwen_2.5_7b_instruct,prosecurate_sexual_orientation,0.7369
42,qwen_2.5_7b_instruct,prosecurate_religion,0.7978
43,qwen_2.5_7b_instruct,prosecurate_political_background,0.7572
44,qwen_2.5_7b_instruct,prosecurate_wealth,0.6118
45,qwen_2.5_7b_instruct,judge_age,0.5933
46,qwen_2.5_7b_instruct,judge_sex,0.7581
47,qwen_2.5_7b_instruct,judge_ethnicity,0.5903
48,qwen_2.5_7b_instruct,judge_household_registration,0.5949
49,qwen_2.5_7b_instruct,judge_sexual_orientation,0.7308
50,qwen_2.5_7b_instruct,judge_religion,0.7804
51,qwen_2.5_7b_instruct,judge_political_background,0.7437
52,qwen_2.5_7b_instruct,judge_wealth,0.6006
53,qwen_2.5_7b_instruct,collegial_panel,0.6217
54,qwen_2.5_7b_instruct,assessor,0.5815
55,qwen_2.5_7b_instruct,defender_type,0.5764
56,qwen_2.5_7b_instruct,pretrial_conference,0.5929
57,qwen_2.5_7b_instruct,judicial_committee,0.6137
58,qwen_2.5_7b_instruct,online_broadcast,0.6095
59,qwen_2.5_7b_instruct,open_trial,0.5595
60,qwen_2.5_7b_instruct,court_level,0.7403
61,qwen_2.5_7b_instruct,court_location,0.5815
62,qwen_2.5_7b_instruct,compulsory_measure,0.626
63,qwen_2.5_7b_instruct,trial_duration,0.5922
64,qwen_2.5_7b_instruct,recusal_applied,0.5974
65,qwen_2.5_7b_instruct,immediate_judgement,0.6253
